"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_11","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume" 
"We present a novel approach to out-of-core time-varying isosurface visualization. We attempt to interactively visualize time-varying datasets which are too large to fit into main memory using a technique which is dramatically different from existing algorithms. Inspired by video encoding techniques, we examine the data differences between time steps to extract isosurface information. We exploit span space extraction techniques to retrieve operations necessary to update isosurface geometry from neighboring time steps. Because only the changes between time steps need to be retrieved from disk, I/O bandwidth requirements are minimized. We apply temporal compression to further reduce disk access and employ a point-based previewing technique that is refined in idle interaction cycles. Our experiments on computational simulation data indicate that this method is an extremely viable solution to large time-varying isosurface visualization. Our work advances the state-of-the-art by enabling all isosurfaces to be represented by a compact set of operations","https://ieeexplore.ieee.org/document/4015492/","LOCKED","4015492","Institute for Data Analysis and Visualization at the University of California, Davis","https://ieeexplore.ieee.org/author/37823091200","1","Kenneth W. Waters","37823091200","Institute for Data Analysis and Visualization at the University of California, Davis","https://ieeexplore.ieee.org/author/37828723800","2","Christopher S. Co","37828723800","Institute for Data Analysis and Visualization at the University of California, Davis","https://ieeexplore.ieee.org/author/37267811400","3","Kenneth I. Joy","37267811400","","","","","","","","","","","","","","","","","","","","4","0","Journals","10.1109/TVCG.2006.188","1282","https://ieeexplore.ieee.org/document/4015492/","Isosurface","time-varying","","","span space","out-of-core","point-based rendering","","","","","","Isosurfaces","Data visualization","Data mining","Geometry","Data analysis","Encoding","Computational modeling","Bandwidth","Computational fluid dynamics","Workstations","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015492","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","22","1275","Using Difference Intervals for Time-Varying Isosurface Visualization","12"
"We describe ASK-GraphView, a node-link-based graph visualization system that allows clustering and interactive navigation of large graphs, ranging in size up to 16 million edges. The system uses a scalable architecture and a series of increasingly sophisticated clustering algorithms to construct a hierarchy on an arbitrary, weighted undirected input graph. By lowering the interactivity requirements we can scale to substantially bigger graphs. The user is allowed to navigate this hierarchy in a top down manner by interactively expanding individual clusters. ASK-GraphView also provides facilities for filtering and coloring, annotation and cluster labeling","https://ieeexplore.ieee.org/document/4015416/","LOCKED","4015416","Ask.com and DIMACS, Rutgers University","https://ieeexplore.ieee.org/author/37662339600","1","James Abello","37662339600","IBM, but this work was performedwhile consulting for Ask.com","https://ieeexplore.ieee.org/author/37326291000","2","Frank van Ham","37326291000","Ask.com","https://ieeexplore.ieee.org/author/37823691100","3","Neeraj Krishnan","37823691100","","","","","","","","","","","","","","","","","","","","140","6","Journals","10.1109/TVCG.2006.120","676","https://ieeexplore.ieee.org/document/4015416/","Information Visualization","Graph Visualization","","","Graph Clustering.","","","","","","","","Large-scale systems","Visualization","Navigation","Clustering algorithms","Filtering","Labeling","Tree graphs","Scalability","Finite element methods","Aggregates","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015416","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","23","669","ASK-GraphView: A Large Scale Graph Visualization System","12"
"In his text Visualizing Data, William Cleveland demonstrates how the aspect ratio of a line chart can affect an analyst's perception of trends in the data. Cleveland proposes an optimization technique for computing the aspect ratio such that the average absolute orientation of line segments in the chart is equal to 45 degrees. This technique, called banking to 45deg, is designed to maximize the discriminability of the orientations of the line segments in the chart. In this paper, we revisit this classic result and describe two new extensions. First, we propose alternate optimization criteria designed to further improve the visual perception of line segment orientations. Second, we develop multi-scale banking, a technique that combines spectral analysis with banking to 45deg. Our technique automatically identifies trends at various frequency scales and then generates a banked chart for each of these scales. We demonstrate the utility of our techniques in a range of visualization tools and analysis examples","https://ieeexplore.ieee.org/document/4015420/","LOCKED","4015420","Computer Science Division of the University of California, Berkeley.","https://ieeexplore.ieee.org/author/37550791300","1","Jeffrey Heer","37550791300","Computer Science Division of the University of California, Berkeley","https://ieeexplore.ieee.org/author/37282718200","2","Maneesh Agrawala","37282718200","","","","","","","","","","","","","","","","","","","","","","","","","32","0","Journals","10.1109/TVCG.2006.163","708","https://ieeexplore.ieee.org/document/4015420/","Information visualization","banking to 45 degrees","","","line charts","time-series","sparklines","graphical perception","","","","","Banking","Frequency","Carbon dioxide","Data visualization","Observatories","Acceleration","Time measurement","Design optimization","Visual perception","Spectral analysis","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015420","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","24","701","Multi-Scale Banking to 45 Degrees","12"
"This paper presents an interactive visualization system, named WebSearchViz, for visualizing the Web search results and facilitating users' navigation and exploration. The metaphor in our model is the solar system with its planets and asteroids revolving around the sun. Location, color, movement, and spatial distance of objects in the visual space are used to represent the semantic relationships between a query and relevant Web pages. Especially, the movement of objects and their speeds add a new dimension to the visual space, illustrating the degree of relevance among a query and Web search results in the context of users' subjects of interest. By interacting with the visual space, users are able to observe the semantic relevance between a query and a resulting Web page with respect to their subjects of interest, context information, or concern. Users' subjects of interest can be dynamically changed, redefined, added, or deleted from the visual space","https://ieeexplore.ieee.org/document/4015455/","LOCKED","4015455","Electrical and Computer Engineering Department at Iowa State University","https://ieeexplore.ieee.org/author/37280728200","1","Tien Nguyen","37280728200","University of Wisconsin at Milwaukee","https://ieeexplore.ieee.org/author/37836748400","2","Jin Zhang","37836748400","","","","","","","","","","","","","","","","","","","","","","","","","34","12","Journals","10.1109/TVCG.2006.111","988","https://ieeexplore.ieee.org/document/4015455/","Visualization model","Web search results","","","movement","speed","","","","","","","Web search","Web pages","Data visualization","Humans","Navigation","Solar system","Planets","Sun","Visual perception","Web sites","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015455","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","25","981","A Novel Visualization Model for Web Search Results","12"
"Volumetric datasets with multiple variables on each voxel over multiple time steps are often complex, especially when considering the exponentially large attribute space formed by the variables in combination with the spatial and temporal dimensions. It is intuitive, practical, and thus often desirable, to interactively select a subset of the data from within that high-dimensional value space for efficient visualization. This approach is straightforward to implement if the dataset is small enough to be stored entirely in-core. However, to handle datasets sized at hundreds of gigabytes and beyond, this simplistic approach becomes infeasible and thus, more sophisticated solutions are needed. In this work, we developed a system that supports efficient visualization of an arbitrary subset, selected by range-queries, of a large multivariate time-varying dataset. By employing specialized data structures and schemes of data distribution, our system can leverage a large number of networked computers as parallel data servers, and guarantees a near optimal load-balance. We demonstrate our system of scalable data servers using two large time-varying simulation datasets","https://ieeexplore.ieee.org/document/4015494/","LOCKED","4015494","The University of Tennessee","https://ieeexplore.ieee.org/author/37828700000","1","Markus Glatter","37828700000","The University of Tennessee","https://ieeexplore.ieee.org/author/37281262900","2","Jian Huang","37281262900","The University of Tennessee","https://ieeexplore.ieee.org/author/37279695300","3","Jinzhu Gao","37279695300","Oak Ridge National Lab","https://ieeexplore.ieee.org/author/37828698800","4","Colin Mollenhour","37828698800","","","","","","","","","","","","","","","15","0","Journals","10.1109/TVCG.2006.175","1298","https://ieeexplore.ieee.org/document/4015494/","Parallel and distributed volume visualization","large data set visualization","","","multi-variate visualization","volume visualization.","","","","","","","Data visualization","Computational modeling","Network servers","Time varying systems","Computer networks","Concurrent computing","Astrophysics","Parallel processing","Data processing","Pipelines","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015494","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","26","1291","Scalable Data Servers for Large Multivariate Volume Visualization","12"
"We present a new approach for the visual analysis of state transition graphs. We deal with multivariate graphs where a number of attributes are associated with every node. Our method provides an interactive attribute-based clustering facility. Clustering results in metric, hierarchical and relational data, represented in a single visualization. To visualize hierarchically structured quantitative data, we introduce a novel technique: the bar tree. We combine this with a node-link diagram to visualize the hierarchy and an arc diagram to visualize relational data. Our method enables the user to gain significant insight into large state transition graphs containing tens of thousands of nodes. We illustrate the effectiveness of our approach by applying it to a real-world use case. The graph we consider models the behavior of an industrial wafer stepper and contains 55 043 nodes and 289 443 edges","https://ieeexplore.ieee.org/document/4015418/","LOCKED","4015418","Department of Mathematics and Computer Science, Technische Universiteit Eindhoven, PO Box 513, 5600 MB Eindhoven, The Netherlands","https://ieeexplore.ieee.org/author/38488125800","1","A. Johannes Pretorius","38488125800","Department of Mathematics and Computer Science, Technische Universiteit Eindhoven, PO Box 513, 5600 MB Eindhoven, The Netherlands","https://ieeexplore.ieee.org/author/37267249200","2","Jarke J. Van Wijk","37267249200","","","","","","","","","","","","","","","","","","","","","","","","","29","0","Journals","10.1109/TVCG.2006.192","692","https://ieeexplore.ieee.org/document/4015418/","Graph visualization","multivariate visualization","","","interactive clustering","state spaces","transition systems","finite state machines.","","","","","Data visualization","Tree graphs","Semiconductor device modeling","Industrial relations","State-space methods","Automata","Computer languages","Mathematics","Computer science","","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015418","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","27","685","Visual Analysis of Multivariate State Transition Graphs","12"
"We have previously shown that random sampling is an effective clutter reduction technique and that a sampling lens can facilitate focus+context viewing of particular regions. This demands an efficient method of estimating the overlap or occlusion of large numbers of intersecting lines in order to automatically adjust the sampling rate within the lens. This paper proposes several ways for measuring occlusion in parallel coordinate plots. An empirical study into the accuracy and efficiency of the occlusion measures show that a probabilistic approach combined with a 'binning' technique is very fast and yet approaches the accuracy of the more expensive 'true' complete measurement","https://ieeexplore.ieee.org/document/4015422/","LOCKED","4015422","Lancaster Univ.","https://ieeexplore.ieee.org/author/37283380700","1","Geoffrey Ellis","37283380700","Lancaster Univ.","https://ieeexplore.ieee.org/author/37283381700","2","Alan Dix","37283381700","","","","","","","","","","","","","","","","","","","","","","","","","62","0","Journals","10.1109/TVCG.2006.138","724","https://ieeexplore.ieee.org/document/4015422/","Sampling","random sampling","","","lens","clutter","occlusion","density reduction","overplotting","information visualisation","parallel coordinates.","","Sampling methods","Lenses","Displays","Data visualization","Coordinate measuring machines","Filtering","Motion measurement","","","","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015422","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","28","717","Enabling Automatic Clutter Reduction in Parallel Coordinate Plots","12"
"We describe a concurrent visualization pipeline designed for operation in a production supercomputing environment. The facility was initially developed on the NASA Ames ""Columbia"" supercomputer for a massively parallel forecast model (GEOS4). During the 2005 Atlantic hurricane season, GEOS4 was run 4 times a day under tight time constraints so that its output could be included in an ensemble prediction that was made available to forecasters at the National Hurricane Center. Given this time-critical context, we designed a configurable concurrent pipeline to visualize multiple global fields without significantly affecting the runtime model performance or reliability. We use MPEG compression of the accruing images to facilitate live low-bandwidth distribution of multiple visualization streams to remote sites. We also describe the use of our concurrent visualization framework with a global ocean circulation model, which provides a 864-fold increase in the temporal resolution of practically achievable animations. In both the atmospheric and oceanic circulation models, the application scientists gained new insights into their model dynamics, due to the high temporal resolution animations attainable","https://ieeexplore.ieee.org/document/4015457/","LOCKED","4015457","IEEE Computer Society","https://ieeexplore.ieee.org/author/37282594500","1","David Ellsworth","37282594500","AMTl, NASA Ames Res. Center, Moffett Field, CA","https://ieeexplore.ieee.org/author/37273679700","2","Bryan Green","37273679700","","https://ieeexplore.ieee.org/author/37373380100","3","Chris Henze","37373380100","IEEE Computer Society","https://ieeexplore.ieee.org/author/37264891100","4","Patrick Moran","37264891100","IEEE Computer Society","https://ieeexplore.ieee.org/author/37837582600","5","Timothy Sandstrom","37837582600","","","","","","","","","","23","0","Journals","10.1109/TVCG.2006.128","1004","https://ieeexplore.ieee.org/document/4015457/","Supercomputing","concurrent visualization","","","interactive visual computing","time-varying data","high temporal resolution visualization","GEOS4 global climate model","hurricane visualization","ECCO","ocean modeling.","","Visualization","Production","Atmospheric modeling","Pipelines","Hurricanes","Time factors","Animation","NASA","Supercomputers","Predictive models","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015457","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","29","997","Concurrent Visualization in a Production Supercomputing Environment","12"
"In multiresolution volume visualization, a visual representation of level-of-detail (LOD) quality is important for us to examine, compare, and validate different LOD selection algorithms. While traditional methods rely on ultimate images for quality measurement, we introduce the LOD map - an alternative representation of LOD quality and a visual interface for navigating multiresolution data exploration. Our measure for LOD quality is based on the formulation of entropy from information theory. The measure takes into account the distortion and contribution of multiresolution data blocks. A LOD map is generated through the mapping of key LOD ingredients to a treemap representation. The ordered treemap layout is used for relative stable update of the LOD map when the view or LOD changes. This visual interface not only indicates the quality of LODs in an intuitive way, but also provides immediate suggestions for possible LOD improvement through visually-striking features. It also allows us to compare different views and perform rendering budget control. A set of interactive techniques is proposed to make the LOD adjustment a simple and easy task. We demonstrate the effectiveness and efficiency of our approach on large scientific and medical data sets","https://ieeexplore.ieee.org/document/4015461/","LOCKED","4015461","Department of Computer Science and Engineering, The Ohio State University, 395 Dreese Laboratories, Columbus, OH","https://ieeexplore.ieee.org/author/37405886900","1","Chaoli Wang","37405886900","Department of Computer Science and Engineering, The Ohio State University, 395 Dreese Laboratories, Columbus, OH","https://ieeexplore.ieee.org/author/37279493500","2","Han-wei Shen","37279493500","","","","","","","","","","","","","","","","","","","","","","","","","22","0","Journals","10.1109/TVCG.2006.159","1036","https://ieeexplore.ieee.org/document/4015461/","LOD map","knowledge representation","","","perceptual reasoning","multiresolution rendering","large volume visualization Author 1:","","","","","","Navigation","Data visualization","Distortion measurement","Rendering (computer graphics)","Signal resolution","Image resolution","Chaos","Entropy","Information theory","Biomedical imaging","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015461","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","30","1029","LOD Map - A Visual Interface for Navigating Multiresolution Volume Visualization","12"
"We describe a new progressive technique that allows real-time rendering of extremely large tetrahedral meshes. Our approach uses a client-server architecture to incrementally stream portions of the mesh from a server to a client which refines the quality of the approximate rendering until it converges to a full quality rendering. The results of previous steps are re-used in each subsequent refinement, thus leading to an efficient rendering. Our novel approach keeps very little geometry on the client and works by refining a set of rendered images at each step. Our interactive representation of the dataset is efficient, light-weight, and high quality. We present a framework for the exploration of large datasets stored on a remote server with a thin client that is capable of rendering and managing full quality volume visualizations","https://ieeexplore.ieee.org/document/4015496/","LOCKED","4015496","Scientific Computing and Imaging Institute at the University of Utah","https://ieeexplore.ieee.org/author/37426872800","1","Steven P. Callahan","37426872800","Scientific Computing and Imaging Institute at the University of Utah","https://ieeexplore.ieee.org/author/37565304300","2","Louis Bavoil","37565304300","Lawrence Livermore National Laboratory","https://ieeexplore.ieee.org/author/37284312600","3","Valerio Pascucci","37284312600","Scientific Computing and Imaging Institute at the University of Utah","https://ieeexplore.ieee.org/author/37275249200","4","Claudio T. Silva","37275249200","","","","","","","","","","","","","","","17","1","Journals","10.1109/TVCG.2006.171","1314","https://ieeexplore.ieee.org/document/4015496/","Volume Rendering","Large Unstructured Grids","","","Client-Server","Progressive Rendering","Level-of-Detail","","","","","","Rendering (computer graphics)","Data visualization","Portable computers","Geometry","Graphics","Quality management","Computational modeling","Displays","Hardware","Image storage","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015496","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","31","1307","Progressive Volume Rendering of Large Unstructured Grids","12"
"Networks have remained a challenge for information visualization designers because of the complex issues of node and link layout coupled with the rich set of tasks that users present. This paper offers a strategy based on two principles: (1) layouts are based on user-defined semantic substrates, which are non-overlapping regions in which node placement is based on node attributes, (2) users interactively adjust sliders to control link visibility to limit clutter and thus ensure comprehensibility of source and destination. Scalability is further facilitated by user control of which nodes are visible. We illustrate our semantic substrates approach as implemented in NVSS 1.0 with legal precedent data for up to 1122 court cases in three regions with 7645 legal citations","https://ieeexplore.ieee.org/document/4015424/","LOCKED","4015424","Professor with the Computer Science Department and the Human-Computer Interaction Laboratory at the University of Maryland, College Park","https://ieeexplore.ieee.org/author/37283016400","1","Ben Shneiderman","37283016400","PhD Candidate with the Computer Science Department and the Human-Computer Interaction Laboratory at the University of Maryland, College Park","https://ieeexplore.ieee.org/author/37561646300","2","Aleks Aris","37561646300","","","","","","","","","","","","","","","","","","","","","","","","","155","47","Journals","10.1109/TVCG.2006.166","740","https://ieeexplore.ieee.org/document/4015424/","Network visualization","semantic substrate","","","information visualization","graphical user interfaces","","","","","","","Data visualization","Displays","Law","Legal factors","Tunneling","Filters","Scalability","Graphical user interfaces","Terminology","Automatic control","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015424","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","32","733","Network Visualization by Semantic Substrates","12"
"This paper describes a set of visual cues of contact designed to improve the interactive manipulation of virtual objects in industrial assembly/maintenance simulations. These visual cues display information of proximity, contact and effort between virtual objects when the user manipulates a part inside a digital mock-up. The set of visual cues encloses the apparition of glyphs (arrow, disk, or sphere) when the manipulated object is close or in contact with another part of the virtual environment. Light sources can also be added at the level of contact points. A filtering technique is proposed to decrease the number of glyphs displayed at the same time. Various effects - such as change in color, change in size, and deformation of shape - can be applied to the glyphs as a function of proximity with other objects or amplitude of the contact forces. A preliminary evaluation was conducted to gather the subjective preference of a group of participants during the simulation of an automotive assembly operation. The collected questionnaires showed that participants globally appreciated our visual cues of contact. The changes in color appeared to be preferred concerning the display of distances and proximity information. Size changes and deformation effects appeared to be preferred in terms of perception of contact forces between the parts. Last, light sources were selected to focus the attention of the user on the contact areas","https://ieeexplore.ieee.org/document/4015459/","LOCKED","4015459","CEA LSI, Fontenay-aux-Roses","https://ieeexplore.ieee.org/author/37828724200","1","Jean Sreng","37828724200","","https://ieeexplore.ieee.org/author/37295204100","2","Anatole Lecuyer","37295204100","IEEE Computer Society","https://ieeexplore.ieee.org/author/37828726000","3","Christine Megard","37828726000","","https://ieeexplore.ieee.org/author/37297749600","4","Claude Andriot","37297749600","","","","","","","","","","","","","","","20","2","Journals","10.1109/TVCG.2006.189","1020","https://ieeexplore.ieee.org/document/4015459/","virtual prototyping","assembly/maintenance simulation","","","visual cues","glyph","light","contact","proximity","force","","","Assembly","Force feedback","Displays","Virtual environment","Light sources","Virtual prototyping","Haptic interfaces","Large scale integration","Virtual reality","Design engineering","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015459","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","33","1013","Using Visual Cues of Contact to Improve Interactive Manipulation of Virtual Objects in Industrial Assembly/Maintenance Simulations","12"
"A method for the semi-automatic detection and visualization of defects in models of nematic liquid crystals (NLCs) is introduced; this method is suitable for unstructured models, a previously unsolved problem. The detected defects - also known as disclinations - are regions were the alignment of the liquid crystal rapidly changes over space; these defects play a large role in the physical behavior of the NLC substrate. Defect detection is based upon a measure of total angular change of crystal orientation (the director) over a node neighborhood via the use of a nearest neighbor path. Visualizations based upon the detection algorithm clearly identify complete defect regions as opposed to incomplete visual descriptions provided by cutting-plane and isosurface approaches. The introduced techniques are currently in use by scientists studying the dynamics of defect change","https://ieeexplore.ieee.org/document/4015463/","LOCKED","4015463","Vital Images, 5850 Opus Parkway, Suite 300, Minnetonka, MN 55343. Work completed at Mississippi State University","https://ieeexplore.ieee.org/author/38272355300","1","Ketan Mehta","38272355300","Department of Computer Science and Engineering, James Worth Bagley College of Engineering, Mississippi State University, Mississippi State, MS, 39762","https://ieeexplore.ieee.org/author/38275083200","2","T.j. Jankun-Kelly","38275083200","","","","","","","","","","","","","","","","","","","","","","","","","6","0","Journals","10.1109/TVCG.2006.133","1052","https://ieeexplore.ieee.org/document/4015463/","scientific visualization","disclination","","","nematic liquid crystal","defects","unstructured grid","feature extraction","","","","","Liquid crystals","Visualization","Detection algorithms","Biosensors","Nearest neighbor searches","Isosurfaces","Feature extraction","Solids","Organic materials","Physics","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015463","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","34","1045","Detection and Visualization of Defects in 3D Unstructured Models of Nematic Liquid Crystals","12"
"We present visualization tools for analyzing molecular simulations of liquid crystal (LC) behavior. The simulation data consists of terabytes of data describing the position and orientation of every molecule in the simulated system over time. Condensed matter physicists study the evolution of topological defects in these data, and our visualization tools focus on that goal. We first convert the discrete simulation data to a sampled version of a continuous second-order tensor field and then use combinations of visualization methods to simultaneously display combinations of contractions of the tensor data, providing an interactive environment for exploring these complicated data. The system, built using AVS, employs colored cutting planes, colored isosurfaces, and colored integral curves to display fields of tensor contractions including Westin's scalar cl, cp , and cs metrics and the principal eigenvector. Our approach has been in active use in the physics lab for over a year. It correctly displays structures already known; it displays the data in a spatially and temporally smoother way than earlier approaches, avoiding confusing grid effects and facilitating the study of multiple time steps; it extends the use of tools developed for visualizing diffusion tensor data, re-interpreting them in the context of molecular simulations; and it has answered long-standing questions regarding the orientation of molecules around defects and the conformational changes of the defects","https://ieeexplore.ieee.org/document/4015498/","LOCKED","4015498","","https://ieeexplore.ieee.org/author/37087701134","1","Vadim Slavin","37087701134","","https://ieeexplore.ieee.org/author/37087703242","2","Robert Pelcovits","37087703242","","https://ieeexplore.ieee.org/author/38275048800","3","George Loriot","38275048800","","https://ieeexplore.ieee.org/author/38277115900","4","Andrew Callan-Jones","38277115900","","https://ieeexplore.ieee.org/author/37275712600","5","David Laidlaw","37275712600","","","","","","","","","","12","0","Journals","10.1109/TVCG.2006.182","1328","https://ieeexplore.ieee.org/document/4015498/","Tensor Visualization","Case Studies","","","Liquid Crystals","Molecular Modeling","","","","","","","Liquid crystals","Liquid crystal displays","Data visualization","Tensile stress","Crystallization","Liquid crystal devices","Biological system modeling","Numerical simulation","Shape","Computational modeling","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015498","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","35","1323","Techniques for the Visualization of Topological Defect Behavior in Nematic Liquid Crystals","12"
"In many applications, data is collected and indexed by geo-spatial location. Discovering interesting patterns through visualization is an important way of gaining insight about such data. A previously proposed approach is to apply local placement functions such as PixelMaps that transform the input data set into a solution set that preserves certain constraints while making interesting patterns more obvious and avoid data loss from overplotting. In experience, this family of spatial transformations can reveal fine structures in large point sets, but it is sometimes difficult to relate those structures to basic geographic features such as cities and regional boundaries. Recent information visualization research has addressed other types of transformation functions that make spatially-transformed maps with recognizable shapes. These types of spatial-transformation are called global shape functions. In particular, cartogram-based map distortion has been studied. On the other hand, cartogram-based distortion does not handle point sets readily. In this study, we present a framework that allows the user to specify a global shape function and a local placement function. We combine cartogram-based layout (global shape) with PixelMaps (local placement), obtaining some of the benefits of each toward improved exploration of dense geo-spatial data sets","https://ieeexplore.ieee.org/document/4015426/","LOCKED","4015426","IEEE Computer Society","https://ieeexplore.ieee.org/author/37282557300","1","Christian Panse","37282557300","IEEE Computer Society","https://ieeexplore.ieee.org/author/37827860500","2","Mike Sips","37827860500","IEEE Computer Society","https://ieeexplore.ieee.org/author/37283138700","3","Daniel Keim","37283138700","IEEE Computer Society","https://ieeexplore.ieee.org/author/37372818600","4","Stephen North","37372818600","","","","","","","","","","","","","","","18","0","Journals","10.1109/TVCG.2006.198","756","https://ieeexplore.ieee.org/document/4015426/","Geo-spatial Data","Shape Transformation","","","Cartogram","Pixel Placement","","","","","","","Shape","Data visualization","Cities and towns","Credit cards","Data analysis","Marketing and sales","Telephony","Cellular phones","Kernel","Genomics","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015426","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","36","749","Visualization of Geo-spatial Point Sets via Global Shape Transformation and Local Pixel Placement","12"
