"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"HNC Software, Inc. has developed a system called DEPICT for visualizing the information content of large textual corpora. The system is built around two separate neural network methodologies: context vectors and self-organizing maps. Context vectors (CVs) are high dimensional information representations that encode the semantic content of the textual entities they represent. Self-organizing maps (SOMs) are capable of transforming an input, high dimensional signal space into a much lower (usually two or three) dimensional output space useful for visualization. Neither process requires human intervention, nor an external knowledge base. Together, these neural network techniques can be utilized to automatically identify the relevant information themes present in a corpus, and present those themes to the user in a intuitive visual form.","https://ieeexplore.ieee.org/document/559228/","LOCKED","559228","HNC Software Inc., San Diego, CA, USA","https://ieeexplore.ieee.org/author/37349445400","1","D.A. Rushall","37349445400","","https://ieeexplore.ieee.org/author/37349438900","2","M.R. Ilgen","37349438900","","","","","","","","","","","","","","","","","","","","","","","","","","10","2","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559228","107","Visualization","Image retrieval","Routing","Neural networks","Space technology","Organizing","Geometry","Algorithm design and analysis","Statistics","Information retrieval","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559228","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","11","100","DEPICT: Documents Evaluated as Pictures. Visualizing information using context vectors and self-organizing maps"
"Automated graphical generation systems should be able to design effective presentations for heterogeneous (quantitative and qualitative) information in static or interactive environments. When building such a system, it is important to thoroughly understand the presentation-related characteristics of domain-specific information. We define a data-analysis taxonomy that can be used to characterize heterogeneous information. In addition to capturing the presentation-related properties of data, our characterization takes into account the user's information-seeking goals and visual-interpretation preferences. We use automatically-generated examples from two different application domains to demonstrate the coverage of the proposed taxonomy and its utility for selecting effective graphical techniques.","https://ieeexplore.ieee.org/document/559211/","LOCKED","559211","Dept. of Comput. Sci., Columbia Univ., New York, NY, USA","https://ieeexplore.ieee.org/author/37399569300","1","M.X. Zhou","37399569300","","https://ieeexplore.ieee.org/author/37266699900","2","S.K. Feiner","37266699900","","","","","","","","","","","","","","","","","","","","","","","","","","10","8","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559211","20","Taxonomy","Application software","Buildings","Data visualization","Shape","Computer science","Animation","Testing","Computer network management","Hospitals","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559211","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","12","13","Data characterization for automatically visualizing heterogeneous information"
"Interactive techniques are powerful tools for manipulating visualizations to analyze, communicate and acquire information. This is especially true for large data sets or complex 3D visualizations. Although many new types of interaction have been introduced recently, very little work has been done on understanding what their components are, how they are related and how they can be combined. This paper begins to address these issues with a framework for classifying interactive visualizations. Our goal is a framework that will enable us to develop toolkits for assembling visualization interfaces both interactively and automatically.","https://ieeexplore.ieee.org/document/559213/","LOCKED","559213","Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37343565300","1","M.C. Chuah","37343565300","","https://ieeexplore.ieee.org/author/37357418100","2","S.F. Roth","37357418100","","","","","","","","","","","","","","","","","","","","","","","","","","41","1","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559213","36","Data visualization","User interfaces","Mice","Computer science","Information analysis","Assembly","Graphics","Hardware","Information filtering","Information filters","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559213","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","13","29","On the semantics of interactive visualizations"
"As the use of 3D information presentation becomes more prevalent, the need for effective viewing tools grows accordingly. Much work has been done in developing tools for 2D spaces which allow for detail in context views. We examine the extension of such 2D methods to 3D and explore the limitations encountered in accessing internal regions of the data with these methods. We then describe a novel solution to this problem of internal access with the introduction of a distortion function which creates a clear line of sight to the focus revealing sections previously obscured. The distortion is symmetric about the line of sight and is smoothly integrated back into the original 3D layout.","https://ieeexplore.ieee.org/document/559215/","LOCKED","559215","Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada","","1","M. Sheelagh T. Carpendale","","Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada","","2","D.J. Cowperthwaite","","Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada","","3","F.D. Fracchia","","","","","","","","","","","","","","","","","","","","","","14","35","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559215","53","Humans","Three dimensional displays","Computer vision","Data visualization","Two dimensional displays","Psychology","Solid modeling","Tail","","","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559215","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","14","46","Distortion viewing techniques for 3-dimensional data"
"This paper presents the query and visualization interfaces of the Master Environmental Library (MEL) system. MEL uses the World Wide Web (WWW) to make accessible distributed data whose metadata conform to the Federal Geographic Data Committee's (FGDC) content standards for digital geospatial metadata. The interfaces are implemented as Java/sup TM/ applets and are more intuitive, interactive and possess greater functionality than their Hypertext Markup Language (HTML) counterparts. As well as querying, the interface allows users to visualize and manage the list of query results so that users can more quickly discover the datasets of real interest. Several new tools used to visualize attributes of the metadata are presented.","https://ieeexplore.ieee.org/document/559225/","LOCKED","559225","Mar Inc., USA","https://ieeexplore.ieee.org/author/37349545700","1","N. Alper","37349545700","","https://ieeexplore.ieee.org/author/37357556500","2","C. Stein","37357556500","","","","","","","","","","","","","","","","","","","","","","","","","","4","15","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559225","84","World Wide Web","Java","Data visualization","HTML","Markup languages","Software libraries","Web sites","Information retrieval","Distributed databases","Object oriented modeling","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559225","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","15","77","Geospatial metadata querying and visualization on the WWW using Java/sup TM/ applets"
"Visage is a prototype user interface environment for exploring and analyzing information. It represents an approach to coordinating multiple visualizations, analysis and presentation tools in data-intensive domains. Visage is based on an information-centric approach to user interface design which strives to eliminate impediments to direct user access to information objects across applications and visualizations. Visage consists of a set of data manipulation operations, an intelligent system for generating a wide variety of data visualizations (SAGE) and a briefing tool that supports the conversion of visual displays used during exploration into interactive presentation slides. This paper presents the user interface components and styles of interaction that are central to Visage's information-centric approach.","https://ieeexplore.ieee.org/document/559210/","LOCKED","559210","Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37357418100","1","S.F. Roth","37357418100","","https://ieeexplore.ieee.org/author/37305539000","2","P. Lucas","37305539000","","https://ieeexplore.ieee.org/author/37349377800","3","J.A. Senn","37349377800","https://ieeexplore.ieee.org/author/37349375500","4","C.C. Gomberg","37349375500","https://ieeexplore.ieee.org/author/37345262200","5","M.B. Burks","37345262200","https://ieeexplore.ieee.org/author/37349338400","6","P.J. Stroffolino","37349338400","https://ieeexplore.ieee.org/author/37086976940","7","A.J. Kolojechick","37086976940","https://ieeexplore.ieee.org/author/37349336300","8","C. Dunmire","37349336300","39","11","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559210","12","User interfaces","Data visualization","Information analysis","Displays","Filters","Computer science","Prototypes","Impedance","Intelligent systems","Data analysis","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559210","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","16","3","Visage: a user interface environment for exploring information"
"Discusses a software tool called VANISH (Visualizing And Navigating Information Structured Hierarchically), which supports the rapid prototyping of interactive 2D and 3D information visualizations. VANISH supports rapid prototyping through a special-purpose visual language called VaPL (VANISH Programming Language) tailored for visualizations, through a software architecture that insulates visualization-specific code from changes in both the domain being visualized and the presentation toolkit used, and through the reuse of visualization techniques between application domains. The generality of VANISH is established by showing how it is able to re-create a wide variety of ""standard"" visualization techniques. VANISH's support for prototyping is shown through an extended example, where we build a C++ class browser, exploring many visualization alternatives in the process.","https://ieeexplore.ieee.org/document/559212/","LOCKED","559212","Dept. of Comput. Sci., Waterloo Univ., Ont., Canada","https://ieeexplore.ieee.org/author/37267671500","1","R. Kazman","37267671500","","https://ieeexplore.ieee.org/author/38558074600","2","J. Carriere","38558074600","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559212","28","Prototypes","Visualization","Software prototyping","Insulation","Computer languages","Page description languages","Software tools","Application software","Programming profession","Software architecture","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559212","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","17","21","Rapid prototyping of information visualizations using VANISH"
"This paper presents efficient methods for implementing general non-linear magnification transformations. Techniques are provided for: combining linear and non-linear magnifications, constraining the domain of magnifications, combining multiple transformations, and smoothly interpolating between magnified and normal views. In addition, piecewise linear methods are introduced which allow greater efficiency and expressiveness than their continuous counterparts.","https://ieeexplore.ieee.org/document/559214/","LOCKED","559214","Dept. of Comput. Sci., Indiana Univ., Bloomington, IN, USA","https://ieeexplore.ieee.org/author/37349418300","1","T.A. Keahey","37349418300","","https://ieeexplore.ieee.org/author/37340580700","2","E.L. Robertson","37340580700","","","","","","","","","","","","","","","","","","","","","","","","","","47","159","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559214","45","Image resolution","Spatial resolution","Visualization","Computer science","Piecewise linear techniques","Computer displays","Computer applications","Application software","Computer graphics","Layout","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559214","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","18","38","Techniques for non-linear magnification transformations"
"Visualization is a critical technology for understanding complex, data-rich systems. Effective visualizations make important features of the data immediately recognizable and enable the user to discover interesting and useful results by highlighting patterns. A key element of such systems is the ability to interact with displays of data by selecting a subset for further investigation. This operation is needed for use in linked-views systems and in drill-down analysis. It is a common manipulation in many other systems. It is as ubiquitous as selecting icons in a desktop GUI. It is therefore surprising to note that little research has been done on how selection can be implemented. This paper addresses this omission, presenting a taxonomy for selection mechanisms and discussing the interactions between branches of the taxonomy. Our suggestion of 524,288 possible systems [2/sup 16/ operation systems/spl times/2 (memory/memoryless)/spl times/2 (data-dependent/independent)/spl times/2 (brush/lasso)] is more in fun than serious, as within the taxonomy there are many different choices that can be made. This framework is the result of considering both the current state of the art and historical antecedents.","https://ieeexplore.ieee.org/document/559216/","LOCKED","559216","AT&T Bell Labs., Naperville, IL, USA","https://ieeexplore.ieee.org/author/37354829000","1","G.J. Wills","37354829000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","3","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559216","60","Data visualization","Graphical user interfaces","Taxonomy","Displays","Operating systems","Pattern recognition","Graphics","Geographic Information Systems","","","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559216","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","19","54","Selection: 524,288 ways to say ""this is interesting"""
"","","EPHEMERA","559209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559209","","","","","","","","","","","","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559209","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","20","iii","Proceedings IEEE Symposium on Information Visualization '96"
