"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"","https://ieeexplore.ieee.org/document/569203/","LOCKED","569203","The MITRE Corporation","https://ieeexplore.ieee.org/author/37352200300","1","N.D. Gershon","37352200300","","","","","","https://ieeexplore.ieee.org/author/38270960300","2","N. Gershon","38270960300","","https://ieeexplore.ieee.org/author/37357593500","3","R. Braham","37357593500","","https://ieeexplore.ieee.org/author/38278125100","4","D. Fracchia","38278125100","","https://ieeexplore.ieee.org/author/37271142500","5","A. Glassner","37271142500","https://ieeexplore.ieee.org/author/38277819700","6","B. Mones-Hattal","38277819700","https://ieeexplore.ieee.org/author/38270369600","7","R. Rose","38270369600","","","","","","","","","","","","","0","0","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.569203","443","Computer graphics","World Wide Web","Research and development","Data visualization","Books","History","Mathematics","Computer science education","Advertising","Photography","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=569203","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","11","441","Breaking the Myth: One Picture is Not (always) Worth a Thousand Words"
"As ecological awareness increases there has been a shift towards more integrated forest management. Accurate modeling of future states of forested landscapes will allow better planning for safeguarding our forest resource for future generations. We present an initial exploration into providing visual access to information generated by SELES (Spatially Explicit Landscape Event Simulator). We explore the application of our visual access distortion technique to a block of temporal data created from a sequence of landscape event based information. This type of access extends the possibilities of visual exploration for temporal and spatial interrelations in a data set.","https://ieeexplore.ieee.org/document/568148/","LOCKED","568148","Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada","","1","M. Sheelagh T. Carpendale","","","","","","Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada","","2","A. Fall","","Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada","","3","D.J. Cowperthwaite","","Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada","","4","J. Fall","","Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada","","5","F.D. Fracchia","","","","","","","","","","","","","","","","","","","","","","4","0","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568148","428","Computer aided software engineering","Biological system modeling","Vegetation mapping","Animation","Fires","Data visualization","Discrete event simulation","Inspection","Navigation","Resource management","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568148","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","12","425","Case study: visual access for landscape event based temporal data"
"It is well known that the spatial frequency spectra of membrane and thin-plate splines exhibit self-affine characteristics and hence behave as fractals. This behavior was exploited in generating the constrained fractal surfaces in the work of Szeliski and Terzopoulos (1989), which were generated by using a Gibbs sampler algorithm. The algorithm involves locally perturbing a constrained spline surface with white noise until the spline surface reaches an equilibrium state. In this paper, we introduce a very fast generalized Gibbs sampler that combines two novel techniques, namely a preconditioning technique in a wavelet basis for constraining the splines and a perturbation scheme in which, unlike the traditional Gibbs sampler, all sites (surface nodes) that do not share a common neighbor are updated simultaneously. In addition, we demonstrate the capability to generate arbitrary-order fractal surfaces without resorting to blending techniques. Using this fast Gibbs sampler algorithm, we demonstrate the synthesis of realistic terrain models from sparse elevation data.","https://ieeexplore.ieee.org/document/567598/","LOCKED","567598","Dept. of Comput. & Inf. Sci., Florida Univ., Gainesville, FL, USA","https://ieeexplore.ieee.org/author/38558447400","1","B.C. Vemuri","38558447400","","","","","","https://ieeexplore.ieee.org/author/38562783600","2","C. Mandal","38562783600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.567598","35","Fractals","Computer graphics","Shape control","Biomembranes","Numerical analysis","Application software","Frequency","White noise","Surface waves","Iterative algorithms","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=567598","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","13","29","A fast Gibbs sampler for synthesizing constrained fractals"
"A new technique for interactive vector field visualization using large numbers of properly illuminated stream lines is presented. Taking into account ambient, diffuse, and specular reflection terms as well as transparency, we employ a realistic shading model which significantly increases quality and realism of the resulting images. While many graphics workstations offer hardware support for illuminating surface primitives, usually no means for an accurate shading of line primitives are provided. However, we show that proper illumination of lines can be implemented by exploiting the texture mapping capabilities of modern graphics hardware. In this way high rendering performance with interactive frame rates can be achieved. We apply the technique to render large numbers of integral curves in a vector field. The impression of the resulting images can be further improved by making the curves partially transparent. We also describe methods for controlling the distribution of stream lines in space. These methods enable us to use illuminated stream lines within an interactive visualization environment.","https://ieeexplore.ieee.org/document/567777/","LOCKED","567777","Konrad-Zuse-Zentrum fur Informationstech., Berlin, Germany","https://ieeexplore.ieee.org/author/37845978200","1","M. Zockler","37845978200","","","","","","https://ieeexplore.ieee.org/author/37845979400","2","D. Stalling","37845979400","","https://ieeexplore.ieee.org/author/37282272000","3","H.-C. Hege","37282272000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65","4","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.567777","113","Visualization","Streaming media","Hardware","Rendering (computer graphics)","Layout","Lighting","Optical reflection","Image generation","Computer graphics","Workstations","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=567777","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","14","107","Interactive visualization of 3D-vector fields using illuminated stream lines"
"We present efficient sequential and parallel algorithms for isosurface extraction. Based on the Span Space data representation, new data subdivision and searching methods are described. We also present a parallel implementation with an emphasis on load balancing. The performance of our sequential algorithm to locate the cell elements intersected by isosurfaces is faster than the Kd tree searching method originally used for the Span Space algorithm. The parallel algorithm can achieve high load balancing for massively parallel machines with distributed memory architectures.","https://ieeexplore.ieee.org/document/568121/","LOCKED","568121","Dept. of Comput. Sci., Utah Univ., Salt Lake City, UT, USA","https://ieeexplore.ieee.org/author/37086996853","1","Han-Wei Shen","37086996853","","","","","","https://ieeexplore.ieee.org/author/37266777200","2","C.D. Hansen","37266777200","","https://ieeexplore.ieee.org/author/37282553200","3","Y. Livnat","37282553200","","https://ieeexplore.ieee.org/author/37276931400","4","C.R. Johnson","37276931400","","","","","","","","","","","","","","","","","","","","","","","","","","61","0","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568121","294","Isosurfaces","Data visualization","Workstations","Laboratories","Computer science","Cities and towns","Data mining","High performance computing","Large-scale systems","Computer graphics","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568121","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","15","287","Isosurfacing in span space with utmost efficiency (ISSUE)"
"We present new volume rendering techniques for efficiently generating high-quality stereoscopic images and propose criteria to evaluate stereo volume rendering algorithms. Specifically, we present fast stereo volume ray casting algorithms using segment composition and linearly-interpolated re-projection. A fast stereo shear-warp volume rendering algorithm is also presented and discussed.","https://ieeexplore.ieee.org/document/567603/","LOCKED","567603","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37350343500","1","T. He","37350343500","","","","","","https://ieeexplore.ieee.org/author/37268052800","2","A. Kaufman","37268052800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.567603","56","Rendering (computer graphics)","Casting","Sampling methods","Image segmentation","Data visualization","Acceleration","Helium","Computer science","Virtual reality","Image generation","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=567603","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","16","49","Fast stereo volume rendering"
"","https://ieeexplore.ieee.org/document/568160/","LOCKED","568160","SUNY at Stony Brook","https://ieeexplore.ieee.org/author/37268052800","1","A. Kaufman","37268052800","","","","","","https://ieeexplore.ieee.org/author/37275698100","2","H. Pfister","37275698100","","https://ieeexplore.ieee.org/author/37296980500","3","G. Knittel","37296980500","","https://ieeexplore.ieee.org/author/37418709500","4","J. Hesser","37418709500","","https://ieeexplore.ieee.org/author/37370924200","5","J.C. Goble","37370924200","","","","","","","","","","","","","","","","","","","","","1","0","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568160","447","Computer architecture","Rendering (computer graphics)","Computer graphics","Hardware","Laboratories","Workstations","Very large scale integration","Token networks","Distributed control","Control systems","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568160","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","17","445","Real-time Accelerators for Volume Rendering"
"An isosurface can be efficiently generated by visiting adjacent intersected cells in order, as if the isosurface were propagating itself. We previously proposed an extrema graph method (T. Itoh and K. Koyamada, 1995), which generates a graph connecting extremum points. The isosurface propagation starts from some of the intersected cells that are found both by visiting the cells through which arcs of the graph pass and by visiting the cells on the boundary of a volume. We propose an efficient method of searching for cells intersected by an isosurface. This method generates a volumetric skeleton. consisting of cells, like an extrema graph, by applying a thinning algorithm used in the image recognition area. Since it preserves the topological features of the volume and the connectivity of the extremum points, it necessarily intersects every isosurface. The method is more efficient than the extrema graph method, since it does not require that cells on the boundary be visited.","https://ieeexplore.ieee.org/document/568123/","LOCKED","568123","Res. Lab., IBM Japan Ltd., Tokyo, Japan","","1","T. Itoh","","","","","","","","2","Y. Yamaguchi","","","","3","K. Koyamada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","0","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568123","310","Isosurfaces","Skeleton","Image recognition","Laboratories","Art","Joining processes","Numerical simulation","Visualization","Displays","Silver","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568123","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","18","303","Volume thinning for automatic isosurface propagation"
"Almost all scientific visualization involving surfaces is currently done via triangles. The speed at which such triangulated surfaces can be displayed is crucial to interactive visualization and is bounded by the rate at which triangulated data can be sent to the graphics subsystem for rendering. Partitioning polygonal models into triangle strips can significantly reduce rendering times over transmitting each triangle individually. We present new and efficient algorithms for constructing triangle strips from partially triangulated models, and experimental results showing these strips are on average 15% better than those from previous codes. Further, we study the impact of larger buffer sizes and various queuing disciplines on the effectiveness of triangle strips.","https://ieeexplore.ieee.org/document/568125/","LOCKED","568125","State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37861966100","1","F. Evans","37861966100","","","","","","https://ieeexplore.ieee.org/author/37390017300","2","S. Skiena","37390017300","","https://ieeexplore.ieee.org/author/37282560200","3","A. Varshney","37282560200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","7","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568125","326","Strips","Data visualization","Rendering (computer graphics)","Graphics","Partitioning algorithms","Costs","Solid modeling","Computer displays","Virtual reality","Engines","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568125","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","19","319","Optimizing triangle strips for fast rendering"
"Rendering deformable volume data currently needs separate processes for deformation and rendering, and is expensive in terms of both computational and memory costs. Recognizing the importance of unifying these processes, we present a new approach to the direct rendering of deformable volumes without explicitly constructing the intermediate deformed volumes. The volume deformation is done by a radial basis function that is piecewise linearly approximated by an adaptive subdivision of the octree encoded target volume. The octree blocks in the target volume are then projected, reverse morphed and texture mapped, using the SGI 3D texture mapping hardware, in a back-to-front order. A template-based Z-plane/block intersection method is used to expedite the block projection computation.","https://ieeexplore.ieee.org/document/567609/","LOCKED","567609","Nat. Univ. of Singapore, Singapore","https://ieeexplore.ieee.org/author/37289749900","1","Shiaofen Fang","37289749900","","","","","","https://ieeexplore.ieee.org/author/37856558400","2","Su Huang","37856558400","","https://ieeexplore.ieee.org/author/37301843300","3","Rajagopalan Srinivasan","37301843300","","https://ieeexplore.ieee.org/author/37325476100","4","Raghu Raghavan","37325476100","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.567609","80","Encoding","Hardware","Rendering (computer graphics)","Visualization","Deformable models","Computational efficiency","Solid modeling","Interpolation","Software algorithms","Animation","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=567609","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","20","73","Deformable volume rendering by 3D texture mapping and octree encoding"
"Typically, feedback from analysis of three-dimensional volume image structures are presented in the visual domain. This ignores the potential for complementary analysis of feedback in the aural domain. This paper presents a system in which visualization of a volume image may be enhanced through representation of the voxel structure by a sound sequence (termed a 'sonification') in which a sequence of sound signals is generated by the mapping of voxel values to pitch, amplitude, timing and other acoustic parameters according to the design of the selected sound instrument(s). Stereo audio or spatial audio processing techniques are employed to enhance the perception of the representative sonification as emanating from the visual loci of the associated voxel.","https://ieeexplore.ieee.org/document/568129/","LOCKED","568129","Dept. of Inf. Eng., Chinese Univ. of Hong Kong, Shatin, Hong Kong","https://ieeexplore.ieee.org/author/37862094900","1","D. Rossiter","37862094900","","","","","","https://ieeexplore.ieee.org/author/37415393700","2","Wai-Yin Ng","37415393700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568129","354","Visualization","Feedback","Graphical user interfaces","Packaging","Image analysis","Information analysis","Speech recognition","Graphics","Control systems","Electronic mail","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568129","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","21","351","A system for the complementary visualization of 3D volume images using 2D and 3D binaurally processed sonification representations"
"In researching the communication mechanisms between cells of the immune system, visualization of proteins in three dimensions can be used to determine which proteins are capable of interacting with one another at a given time by showing their spatial colocality. Volume data sets are created using digital confocal immunofluorescence microscopy. A variety of visualization approaches are then used to examine the interactions. These include volume rendering, isosurface extraction, and virtual reality. Based on our experiences, we have concluded that no single one of these approaches provides a complete solution for visualizing biological data. However, in combination, their respective strengths complement one another to provide an understanding of the data.","https://ieeexplore.ieee.org/document/568133/","LOCKED","568133","Dept. of Pediatrics, Nat. Jewish Center for Immunology & Respiratory Med., USA","","1","C.R.F. Monks","","","","","","","","2","P.J. Crossno","","","","3","G. Davidson","","","","4","C. Pavlakos","","","","5","A. Kupfer","","","6","C. Silva","","","7","B. Wylie","","","","","","","","","","","","","","4","2","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568133","366","Proteins","Data visualization","Animation","Rendering (computer graphics)","Laboratories","Transfer functions","Glands","Deconvolution","Collaboration","Isosurfaces","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568133","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","22","363","Three dimensional visualization of proteins in cellular interactions"
"The antenna of a cellular telephone in close proximity to the human head for a variety of time periods raises questions. This research uses the finite-difference time-domain (FDTD) method to calculate the power deposition from a cellular telephone on a high-resolution model of a human head as measured by the specific absorption rates (SAR) in W/kg. Visualization has been used to verify the modeling for simulation, assisted in analyzing the data and understanding the physical aspects controlling the power absorption.","https://ieeexplore.ieee.org/document/568135/","LOCKED","568135","Dept. of Electr. Eng., Utah Univ., Salt Lake City, UT, USA","https://ieeexplore.ieee.org/author/37847101500","1","V. Pandit","37847101500","","","","","","https://ieeexplore.ieee.org/author/38185363300","2","R. McDermott","38185363300","","https://ieeexplore.ieee.org/author/37284107000","3","G. Lazzi","37284107000","","https://ieeexplore.ieee.org/author/37266169000","4","C. Furse","37266169000","","https://ieeexplore.ieee.org/author/37265915300","5","O. Gandhi","37265915300","","","","","","","","","","","","","","","","","","","","","7","0","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568135","374","Humans","Telephony","Finite difference methods","Time domain analysis","Antenna measurements","Power measurement","Anthropometry","Specific absorption rate","Data visualization","Analytical models","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568135","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","23","371","Electrical energy absorption in the human head from a cellular telephone"
"Brushing is a data visualization technique that identifies and highlights data subsets. We introduce a form of brushing in which the brushed data is usually displayed at a different resolution than the non brushed data. The paper presents the rationale behind the multiresolution support of multivariate data visualization and describes the construction of multiresolution brushing using wavelet approximations. The idea is implemented in an enhanced version of XmdvTool. Real scientific data is used for demonstration and practical applications are suggested.","https://ieeexplore.ieee.org/document/567800/","LOCKED","567800","Dept. of Comput. Sci., New Hampshire Univ., Durham, NH, USA","https://ieeexplore.ieee.org/author/38193849400","1","Pak Chung Wong","38193849400","","","","","","https://ieeexplore.ieee.org/author/38227675400","2","R.D. Bergeron","38227675400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","1","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.567800","148","Multidimensional systems","Data visualization","Displays","Computer science","Light scattering","Brushes","Electrical capacitance tomography","Stacking","Inspection","Application software","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=567800","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","24","141","Multiresolution multidimensional wavelet brushing"
"Visualization of CFD data for turbomachinery design poses some special requirements which are often not addressed by standard flow visualization systems. The authors discuss the issues involved with this particular application and its requirements with respect to flow visualization. Aiming at a feature-based visualization for this task, they examine various existing techniques to locate vortices. The specific flow conditions for turbomachines demonstrate limitations of current methods. Visualization of turbomachinery flow thus raises some challenges and research topics, particularly regarding feature extraction.","https://ieeexplore.ieee.org/document/568137/","LOCKED","568137","Swiss Center for Sci. Comput., Eidgenossische Tech. Hochschule, Zurich, Switzerland","https://ieeexplore.ieee.org/author/37365755100","1","M. Roth","37365755100","","","","","","https://ieeexplore.ieee.org/author/37282541100","2","R. Peikert","37282541100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","0","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568137","384","Computer aided software engineering","Turbomachinery","Data visualization","Computational fluid dynamics","Feature extraction","Geometry","Blades","Hydraulic turbines","Power generation","Manufacturing","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568137","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","25","381","Flow visualization for turbomachinery design"
"The authors describe a graphical system developed for researchers in materials science for extracting information from data obtained by atomic force microscopy. In particular, they consider the problem of computing surface orientations from data obtained from ceramic materials. The visualization problems they consider in designing this system include finding useful mechanisms for the researcher to interact with the data, presenting results in forms familiar to the scientist, and enhancing traditional display techniques.","https://ieeexplore.ieee.org/document/568141/","LOCKED","568141","Comput. & Appl. Math. Lab., Nat. Inst. of Stand. & Technol., Gaithersburg, MD, USA","https://ieeexplore.ieee.org/author/37392147700","1","J. Hagedorn","37392147700","","","","","","https://ieeexplore.ieee.org/author/37298450200","2","H. Rushmeier","37298450200","","https://ieeexplore.ieee.org/author/37397136700","3","J. Blendell","37397136700","","https://ieeexplore.ieee.org/author/37320305100","4","M. Vaudin","37320305100","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568141","400","Atomic measurements","Force measurement","Atomic force microscopy","Surface morphology","Shape","Data mining","Probes","Data visualization","Materials science and technology","Laboratories","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568141","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","26","397","A system for measuring surface facet orientation from atomic force microscope data"
"The paper presents interactive flow visualization methods that highlight directional information in the flow field. An added benefit of the proposed methods is that they reduce the amount of data being displayed and hence reduce clutter. The main idea behind these methods is the use of light sources to select and highlight regions in the flow field with similar directions. Varying the lighting conditions, by moving the light source and/or adding more lights, emphasizes different vector directions, set of directions, and vectors within a specified angle of a particular direction. The methods are straight forward, computationally inexpensive, and can be combined with other techniques that use glyph representation and other flow geometry such as streamlines for feature visualization. The authors apply these methods to an analytic data set to help explain how they work, and then to a simulation data set to highlight flow reversals.","https://ieeexplore.ieee.org/document/568139/","LOCKED","568139","Dept. of Comput. Sci., California Univ., Santa Cruz, CA, USA","https://ieeexplore.ieee.org/author/37372278100","1","E. Boring","37372278100","","","","","","https://ieeexplore.ieee.org/author/37267352000","2","A. Pang","37267352000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","1","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568139","392","Data visualization","Light sources","Computer science","Computational geometry","Data analysis","Computational modeling","Analytical models","Acceleration","Surface treatment","Wheels","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568139","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","27","389","Directional flow visualization of vector fields"
"In many mechanical design-related activities, the visualization tool needs to convey not only the shape of the objects, but also their interior problem regions. Due to the binary nature of these models, existing shading models often fall short of supporting a realistic display. In this case study, we present several new contextual shading methods that we originally developed for our design visualization tools. The results are then compared with gray-scale shading applied to a gray-level version of the binary object. The comparison shows that our method can be applied to any binary object and yields promising results.","https://ieeexplore.ieee.org/document/568143/","LOCKED","568143","Center for Die Casting, Ohio State Univ., Columbus, OH, USA","","1","S.C. Lu","","","","","","","","2","A.B. Rebello","","","","3","D.H. Cui","","","","4","R. Yagel","","","","5","R.A. Miller","","","6","G.L. Kinzel","","","","","","","","","","","","","","","","","","1","0","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568143","407","Visualization","Shape","Die casting","Displays","Manufacturing","Skin","Information science","Gray-scale","Graphics","Geometry","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568143","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","28","405","A 3-D contextual shading method for visualization of diecasting defects"
"We introduce an algorithm for reconstructing a solid model given a series of planar cross sections. The main contribution of this work is the use of knowledge obtained during the interpolation of neighboring layers while attempting to interpolate a particular layer. This knowledge is used to reconstruct a surface in which consecutive layers are connected smoothly. In most previous work, each layer is interpolated independently of what happened or will happen in the other layers. We also discuss various objective functions which aim to optimize the reconstruction, and present an evaluation of the different objective functions by using various criteria.","https://ieeexplore.ieee.org/document/567804/","LOCKED","567804","Tel Aviv Univ., Israel","https://ieeexplore.ieee.org/author/37326555000","1","G. Barequet","37326555000","","","","","","https://ieeexplore.ieee.org/author/37864698600","2","D. Shapiro","37864698600","","https://ieeexplore.ieee.org/author/37337567000","3","A. Tal","37337567000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","2","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.567804","156","History","Surface reconstruction","Image reconstruction","Interpolation","Surface topography","Solid modeling","Memory","Biomedical imaging","Geographic Information Systems","Computed tomography","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=567804","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","29","149","History consideration in reconstructing polyhedral surfaces from parallel slices"
