"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_affiliation","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_affiliation","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_12_affiliation","articles_authors_authors_12_authorUrl","articles_authors_authors_12_author_order","articles_authors_authors_12_full_name","articles_authors_authors_12_id","articles_authors_authors_13_affiliation","articles_authors_authors_13_authorUrl","articles_authors_authors_13_author_order","articles_authors_authors_13_full_name","articles_authors_authors_13_id","articles_authors_authors_14_affiliation","articles_authors_authors_14_authorUrl","articles_authors_authors_14_author_order","articles_authors_authors_14_full_name","articles_authors_authors_14_id","articles_authors_authors_15_affiliation","articles_authors_authors_15_authorUrl","articles_authors_authors_15_author_order","articles_authors_authors_15_full_name","articles_authors_authors_15_id","articles_authors_authors_16_affiliation","articles_authors_authors_16_authorUrl","articles_authors_authors_16_author_order","articles_authors_authors_16_full_name","articles_authors_authors_16_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_isbn_formats_isbns_1_format","articles_isbn_formats_isbns_1_isbnType","articles_isbn_formats_isbns_1_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"The microblog challenge presented an opportunity to use commercial software for visual analysis. An epidemic outbreak occurred in the city of Vastopolis, requiring visualizations of symptoms and their spread over time. Using these tools, analysts could successfully identify the outbreak's origin and pattern of dispersion. The maps used to analyze the data and present the results provided clear, easily understood representations, and presented a logical explanation of a complex progression of events.","https://ieeexplore.ieee.org/document/6102486/","LOCKED","6102486","Vision Systems & Technology, Inc., a SAS Company, Australia","https://ieeexplore.ieee.org/author/38239847300","1","Kevin Boone","38239847300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Vision Systems & Technology, Inc., a SAS Company, Australia","https://ieeexplore.ieee.org/author/37374975000","2","Edward Swing","37374975000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102486","308","https://ieeexplore.ieee.org/document/6102486/","Spatial Analysis","Information Visualization","ArcGIS","","","","","","","Data visualization","Bridges","Stomach","Synthetic aperture sonar","Software","Dispersion","Rivers","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102486","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","11","307","Mapping an epidemic outbreak: Effective analysis and presentation"
"MobileAnalymator (Mobile Analysis Animator) is a visual analytic system designed to analyze geospatial-temporal data on mobile devices. The system is an Internet based application that allows analysts to work in flexile enviornments at anytime. Its client side is developed by Adobe Flash to animate and interact with data. The server side uses Java and MySQL to query, compute, and serve data. The analyst can run the analytical task from a tablet (or computer) with Internet connection. MobileAnalymator adopted spatial and temporal autocorrelations in the interface design and integrated tangible interaction in the navigation to support analysis process.","https://ieeexplore.ieee.org/document/6102490/","LOCKED","6102490","Interaction Design, Purdue University, USA","https://ieeexplore.ieee.org/author/38241087200","1","Yingjie Victor Chen","38241087200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Interaction Design, Purdue University, USA","https://ieeexplore.ieee.org/author/38238364000","2","Zhenyu Cheryl Qian","38238364000","Interaction Design, Purdue University, USA","https://ieeexplore.ieee.org/author/38240128900","3","Li Zhang","38240128900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102490","314","https://ieeexplore.ieee.org/document/6102490/","","","","","","","","","","Blogs","Data visualization","Internet","Mobile handsets","Animation","Geospatial analysis","Visual analytics","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102490","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","12","313","MobileAnalymator: Animating data changes on mobile devices"
"We presented Scatterblogs, a system for microblog analysis that seamlessly integrates search backend and visual frontend. It provides powerful, automatic algorithms for detecting spatio-temporal `anomalies' within blog entries as well as corresponding visual representations and interaction facilities for inspecting anomalies or exploiting them in further analytic steps. Apart from that, we consider the system's combinatoric facilities for building complex hypotheses from temporal, spatial, and content-related aspects an important feature. This was the key for creating a cross-checked analysis for MC1.","https://ieeexplore.ieee.org/document/6102488/","LOCKED","6102488","Institute for Visualization and Interactive Systems, Universität Stuttgart, Germany","https://ieeexplore.ieee.org/author/37683989300","1","Harald Bosch","37683989300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Institute for Visualization and Interactive Systems, Universität Stuttgart, Germany","https://ieeexplore.ieee.org/author/38233559700","2","Dennis Thom","38233559700","Institute for Visualization and Interactive Systems, Universität Stuttgart, Germany","https://ieeexplore.ieee.org/author/37667957300","3","Michael Wörner","37667957300","Institute for Visualization and Interactive Systems, Universität Stuttgart, Germany","https://ieeexplore.ieee.org/author/37593029700","4","Steffen Koch","37593029700","Institute for Visualization and Interactive Systems, Universität Stuttgart, Germany","https://ieeexplore.ieee.org/author/38233561200","5","Edwin Püttmann","38233561200","Institute for Visualization and Interactive Systems, Universität Stuttgart, Germany","https://ieeexplore.ieee.org/author/38233561600","6","Dominik Jäckle","38233561600","Institute for Visualization and Interactive Systems, Universität Stuttgart, Germany","https://ieeexplore.ieee.org/author/37268023800","7","Thomas Ertl","37268023800","","","","","","","","","","","","","","","","19","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102488","310","https://ieeexplore.ieee.org/document/6102488/","","","","","","","","","","Visualization","Spatiotemporal phenomena","Accidents","Lenses","Cities and towns","Tag clouds","Context","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102488","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","13","309","ScatterBlogs: Geo-spatial document analysis"
"We present a multiple views visualization for the security data in the VAST 2010 Mini Challenge 2. The visualization is used to monitor log event activity on the network log data included in the challenge. Interactions are provided that allow analysts to investigate suspicious activity and escalate events as needed. Additionally, a database application is used to allow SQL queries for more detailed investigation.","https://ieeexplore.ieee.org/document/6102492/","LOCKED","6102492","Computer Science, UNC-Charlotte, USA","https://ieeexplore.ieee.org/author/37546111900","1","Lane Harrison","37546111900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Computer Science, UNC-Charlotte, USA","https://ieeexplore.ieee.org/author/37606064200","2","Wenwen Dou","37606064200","Computer Science, UNC-Charlotte, USA","https://ieeexplore.ieee.org/author/37545504600","3","Aidong Lu","37545504600","Computer Science, UNC-Charlotte, USA","https://ieeexplore.ieee.org/author/37300425000","4","William Ribarsky","37300425000","Computer Science, UNC-Charlotte, USA","https://ieeexplore.ieee.org/author/37601069300","5","Xiaoyu Wang","37601069300","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102492","318","https://ieeexplore.ieee.org/document/6102492/","","","","","","","","","","Data visualization","Intrusion detection","Databases","Electronic mail","Visualization","Image color analysis","","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102492","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","14","317","Guiding security analysis through visualization"
"This article describes our analytic process and experience of using the Jigsaw system in working on the VAST 2011 Mini Challenge 3. We describe how we extracted and worked with entities from the documents, and how Jigsaw's computational analysis capabilities and visualizations scaffolded the investigation. Based on our experiences, we discuss desirable features that would enhance the analytic power of Jigsaw.","https://ieeexplore.ieee.org/document/6102496/","LOCKED","6102496","Mercyhurst College, USA","https://ieeexplore.ieee.org/author/38235560700","1","Elizabeth Braunstein","38235560700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Univ. of Colorado Denver, USA","https://ieeexplore.ieee.org/author/37428446300","2","Carsten Görg","37428446300","Georgia Tech, USA","https://ieeexplore.ieee.org/author/37592993600","3","Zhicheng Liu","37592993600","Georgia Tech, USA","https://ieeexplore.ieee.org/author/37267736900","4","John Stasko","37267736900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102496","326","https://ieeexplore.ieee.org/document/6102496/","Visual analytics","investigative analysis","information visualization","data ingestion","evidence marshalling","","","","","Visualization","Text analysis","Organizations","Electronic mail","Data visualization","Information retrieval","Manuals","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102496","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","15","325","Jigsaw to save vastopolis"
"The task of the VAST 2011 Grand Challenge was to investigate potential terrorist activities and their relation to the spread of an epidemic. Three different data sets were provided as part of three Mini Challenges (MCs). MC 1 was about analyzing geo-tagged microblogging (Twitter) messages to characterize the spread of an epidemic. MC 2 required analyzing threats to a computer network using a situational awareness approach. In MC 3 possible criminal and terrorist activities were to be analyzed based on a collection of news articles. To solve the Grand Challenge, insight from each of the individual MCs had to be integrated appropriately.","https://ieeexplore.ieee.org/document/6102498/","LOCKED","6102498","Data Analysis and Visualization Group, University of Konstanz, Germany","https://ieeexplore.ieee.org/author/38267713800","1","Enrico Bertini","38267713800","Data Analysis and Visualization Group, University of Konstanz, Germany","https://ieeexplore.ieee.org/author/38233604500","11","Christian Scheible","38233604500","Data Analysis and Visualization Group, University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37282557600","12","Tobias Schreck","37282557600","Data Analysis and Visualization Group, University of Konstanz, Germany","https://ieeexplore.ieee.org/author/38233604000","13","Stephan Sellien","38233604000","Data Analysis and Visualization Group, University of Konstanz, Germany","https://ieeexplore.ieee.org/author/38233603600","14","Florian Stoffel","38233603600","Data Analysis and Visualization Group, University of Konstanz, Germany","https://ieeexplore.ieee.org/author/38233606900","15","Mark Tautzenberger","38233606900","Data Analysis and Visualization Group, University of Konstanz, Germany","https://ieeexplore.ieee.org/author/38233606500","16","Matthias Zieker","38233606500","Data Analysis and Visualization Group, University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37283138700","17","Daniel A. Keim","37283138700","Data Analysis and Visualization Group, University of Konstanz, Germany","https://ieeexplore.ieee.org/author/38233607000","2","Juri Buchmüller","38233607000","Data Analysis and Visualization Group, University of Konstanz, Germany","https://ieeexplore.ieee.org/author/38242836400","3","Fabian Fischer","38242836400","Data Analysis and Visualization Group, University of Konstanz, Germany","https://ieeexplore.ieee.org/author/38242146100","4","Stephan Huber","38242146100","Data Analysis and Visualization Group, University of Konstanz, Germany","https://ieeexplore.ieee.org/author/38233610100","5","Thomas Lindemeier","38233610100","Data Analysis and Visualization Group, University of Konstanz, Germany","https://ieeexplore.ieee.org/author/38233609600","6","Fabian Maaß","38233609600","Data Analysis and Visualization Group, University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37392086200","7","Florian Mansmann","37392086200","Data Analysis and Visualization Group, University of Konstanz, Germany","https://ieeexplore.ieee.org/author/38233608600","8","Thomas Ramm","38233608600","Data Analysis and Visualization Group, University of Konstanz, Germany","https://ieeexplore.ieee.org/author/38233605200","9","Michael Regenscheit","38233605200","Data Analysis and Visualization Group, University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37601356700","10","Christian Rohrdantz","37601356700","3","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102498","330","https://ieeexplore.ieee.org/document/6102498/","","","","","","","","","","Tag clouds","Software","Visual analytics","Data analysis","Terrorism","Rivers","Imaging","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102498","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","16","329","Visual analytics of terrorist activities related to epidemics"
"Projection Pursuit has been an effective method for finding interesting low-dimensional (usually 2D) projections in multidimensional spaces. Unfortunately, projection pursuit is not scalable to high-dimensional spaces. We introduce a novel method for approximating the results of projection pursuit to find class-separating views by using random projections. We build an analytic visualization platform based on this algorithm that is scalable to extremely large problems. Then, we discuss its extension to the recognition of other noteworthy configurations in high-dimensional spaces.","https://ieeexplore.ieee.org/document/6102465/","LOCKED","6102465","Department of Computer Science, University of Illinois at Chicago, USA","https://ieeexplore.ieee.org/author/37548165700","1","Anushka Anand","37548165700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Department of Computer Science, University of Illinois at Chicago, USA","https://ieeexplore.ieee.org/author/37560536200","2","Leland Wilkinson","37560536200","Department of Computer Science, University of Illinois at Chicago, USA","https://ieeexplore.ieee.org/author/37606167900","3","Tuan Nhon Dang","37606167900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102465","264","https://ieeexplore.ieee.org/document/6102465/","","","","","","","","","","Data models","Context modeling","Data mining","Visual analytics","Handwriting recognition","Electronic mail","Cancer","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102465","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","17","263","Using random projections to identify class-separating variables in high-dimensional spaces"
"It is a laborious process to quantify relationship patterns within a feature-rich archive. For example, understanding the degree of neuroanatomical similarity between the scanned subjects of a Magnetic Resonance Imaging (MRI) repository is a nontrivial task. In this work we present a Coordinated Multiple View (CMV) system for visually analyzing collections of feature-rich datasets. A query-based user interface operates on a feature-respective data scheme, and is geared towards domain experts that are non-specialists in informatics and analytics. We employ multi-dimensional scaling (MDS) to project feature surface representations into three-dimensions, where proximity in location is proportional to the feature similarity. Through query feedback and environment navigation, the user groups clusters that exhibit probable trends across feature and attribute. The system provides supervised classification methods for determining attribute classes within the user selected groups. Finally, using visual or analytical feature-wise exploration the user determines intra-group feature commonality.","https://ieeexplore.ieee.org/document/6102467/","LOCKED","6102467","Laboratory of Neuro Imaging, University of California Los Angeles, 90034, USA","https://ieeexplore.ieee.org/author/37603001800","1","Ian Bowman","37603001800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Laboratory of Neuro Imaging, University of California Los Angeles, 90034, USA","https://ieeexplore.ieee.org/author/37288595800","2","Shantanu H. Joshi","37288595800","Laboratory of Neuro Imaging, University of California Los Angeles, 90034, USA","https://ieeexplore.ieee.org/author/37589311500","3","John Darrell Van Horn","37589311500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102467","268","https://ieeexplore.ieee.org/document/6102467/","Coordinated multiple views","query-based visualization","data mining","","","","","","","Frequency selective surfaces","Magnetic resonance imaging","Feature extraction","Image color analysis","Visualization","Neuroimaging","","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102467","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","18","267","Query-based coordinated multiple views with Feature Similarity Space for visual analysis of MRI repositories"
"It is common to classify data in hierarchies, they provide a comprehensible way of understanding big amounts of data. From budgets to organizational charts or even the stock market, trees are everywhere and people find them easy to use. However when analysts need to compare two versions of the same tree structure, or two related taxonomies, the task is not so easy. Much work has been done on this topic, but almost all of it has been restricted to either compare the trees by topology, or by the node attribute values. With this project we are proposing TreeVersity, a framework for comparing tree structures, both by structural changes and by differences in the node attributes. This paper is based on our previous work on comparing traffic agencies using LifeFlow [1, 2] and on a first prototype of TreeVersity.","https://ieeexplore.ieee.org/document/6102471/","LOCKED","6102471","HCIL & Department of Computer Science, University of Maryland, USA","https://ieeexplore.ieee.org/author/38319608500","1","John Alexis Guerra Gómez","38319608500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Department of Art, University of Maryland, USA","https://ieeexplore.ieee.org/author/38326034700","2","Audra Buck-Coleman","38326034700","HCIL & UMIACS, University of Maryland, USA","https://ieeexplore.ieee.org/author/37283026800","3","Catherine Plaisant","37283026800","HCIL & Department of Computer Science, University of Maryland, USA","https://ieeexplore.ieee.org/author/37283016400","4","Ben Shneiderman","37283016400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102471","276","https://ieeexplore.ieee.org/document/6102471/","","","","","","","","","","Vegetation","Data visualization","Visualization","Educational institutions","Image color analysis","Computer science","Topology","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102471","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","19","275","TreeVersity: Comparing tree structures by topology and node's attributes differences"
"Agent-based simulation has become a key technique for modeling and simulating dynamic, complicated behaviors in social and behavioral sciences. Lacking the appropriate tools and support, it is difficult for social scientists to thoroughly analyze the results of these simulations. In this work, we capture the complex relationships between discrete simulation states by visualizing the data as a temporal graph. In collaboration with expert analysts, we identify two graph structures which capture important relationships between pivotal states in the simulation and their inevitable outcomes. Finally, we demonstrate the utility of these structures in the interactive analysis of a large-scale social science simulation of political power in present-day Thailand.","https://ieeexplore.ieee.org/document/6102469/","LOCKED","6102469","Tufts University, USA","https://ieeexplore.ieee.org/author/38229914800","1","R. Jordan Crouser","38229914800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Tufts University, USA","https://ieeexplore.ieee.org/author/38239232000","2","Jeremy G. Freeman","38239232000","Tufts University, USA","https://ieeexplore.ieee.org/author/37592409400","3","Remco Chang","37592409400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102469","272","https://ieeexplore.ieee.org/document/6102469/","","","","","","","","","","Analytical models","Algorithm design and analysis","Data models","Data visualization","Real time systems","Visual analytics","Electronic mail","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102469","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","20","271","Exploring agent-based simulations using temporal graphs"
"Recent work in visual analytics has explored the extent to which information regarding analyst action and reasoning can be inferred from interaction. However, these methods typically rely on humans instead of automatic extraction techniques. Furthermore, there is little discussion regarding the role of user frustration when interacting with a visual interface. We demonstrate that automatic extraction of user frustration is possible given action-level visualization interaction logs. An experiment is described which collects data that accurately reflects user emotion transitions and corresponding interaction sequences. This data is then used in building HiddenMarkov Models (HMMs) which statistically connect interaction events with frustration. The capabilities of HMMs in predicting user frustration are tested using standard machine learning evaluation methods. The resulting classifier serves as a suitable predictor of user frustration that performs similarly across different users and datasets.","https://ieeexplore.ieee.org/document/6102473/","LOCKED","6102473","Computer Science, UNC-Charlotte, USA","https://ieeexplore.ieee.org/author/37546111900","1","Lane Harrison","37546111900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Computer Science, UNC-Charlotte, USA","https://ieeexplore.ieee.org/author/37606064200","2","Wenwen Dou","37606064200","Computer Science, UNC-Charlotte, USA","https://ieeexplore.ieee.org/author/37545504600","3","Aidong Lu","37545504600","Computer Science, UNC-Charlotte, USA","https://ieeexplore.ieee.org/author/37300425000","4","William Ribarsky","37300425000","Computer Science, UNC-Charlotte, USA","https://ieeexplore.ieee.org/author/37601069300","5","Xiaoyu Wang","37601069300","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102473","280","https://ieeexplore.ieee.org/document/6102473/","","","","","","","","","","Hidden Markov models","Humans","Data visualization","Accuracy","Visual analytics","Predictive models","Face","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102473","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","21","279","Analysts aren't machines: Inferring frustration through visualization interaction"
"This paper presents a novel system for analyzing temporal changes in bloggers' activities and interests on a topic through a 3D visualization of dependency structures related to the topic. Having a dependency database built from a blog archive, our 3D visualization framework helps users to interactively exploring temporal changes in bloggers' activities and interests related to the topic.","https://ieeexplore.ieee.org/document/6102475/","LOCKED","6102475","Institute of Industrial Science, University of Tokyo, Japan","https://ieeexplore.ieee.org/author/37534010200","1","Masahiko Itoh","37534010200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Institute of Industrial Science, University of Tokyo, Japan","https://ieeexplore.ieee.org/author/37598015400","2","Naoki Yoshinaga","37598015400","Institute of Industrial Science, University of Tokyo, Japan","https://ieeexplore.ieee.org/author/37328454400","3","Masashi Toyoda","37328454400","Institute of Industrial Science, University of Tokyo, Japan","https://ieeexplore.ieee.org/author/37283954000","4","Masaru Kitsuregawa","37283954000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102475","284","https://ieeexplore.ieee.org/document/6102475/","","","","","","","","","","Visualization","Blogs","Three dimensional displays","Databases","Time frequency analysis","Educational institutions","Data visualization","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102475","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","22","283","3D Visualization of temporal changes in bloggers' activities and interests"
"The researchers explore the intersections between Information Assurance and Risk using visual analysis of text mining operations. The methodological approach involves searching for and extracting for analysis those abstracts and keywords groupings that relate to risk within a defined subset of scientific research journals. This analysis is conducted through a triangulated study incorporating visualizations produced using both Starlight and In-Spire visual analysis software. The results are definitional, showing current attitudes within the Information Assurance research community towards risk management strategies, while simultaneously demonstrating the value of visual analysis processes when engaging in sense making of a large body of knowledge.","https://ieeexplore.ieee.org/document/6102477/","LOCKED","6102477","University of British Columbia, USA","https://ieeexplore.ieee.org/author/38279266800","1","Victoria Lemieux","38279266800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Washington, USA","https://ieeexplore.ieee.org/author/38276808600","2","Barbara Endicott-Popovsky","38276808600","University of Washington, USA","https://ieeexplore.ieee.org/author/38293285300","3","Karl Eckler","38293285300","University of British Columbia, USA","https://ieeexplore.ieee.org/author/38305609100","4","Thomas Dang","38305609100","University of British Columbia, USA","https://ieeexplore.ieee.org/author/37990064400","5","Adam Jansen","37990064400","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","23-28 Oct. 2011","Providence, RI, USA","Conferences","10.1109/VAST.2011.6102477","288","https://ieeexplore.ieee.org/document/6102477/","Risk","Risk Management","Information Assurance","Information Security","Visual Analysis","","","","","Visualization","Educational institutions","Databases","Abstracts","Availability","Security","Taxonomy","6102423","978-1-4673-0015-5","Print ISBN","New-2005","978-1-4673-0015-5","Electronic ISBN","New-2005","978-1-4673-0014-8","11EX5936","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102477","23-28 Oct. 2011","6093899","2011 IEEE Conference on Visual Analytics Science and Technology (VAST)","2011","IEEE","23","287","Visualizing an information assurance risk taxonomy"
