"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation_0","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_insert_date","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_issn","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Many real-world KDD (Knowledge Discovery & Data Mining) applications involve the navigation of large volumes of information on the web, such as, Internet resources, hot topics, and telecom phone switches. Quite often users feel lost, confused and overwhelmed with displays that contain too much information. This paper discusses a new content-driven visual mining infrastructure called VisMine, that uses several innovative techniques: (1) hidden visual structure and relationships for uncluttering displays; (2) simultaneous visual presentations for high-dimensional knowledge discovery; and (3) a new visual interface to plug in existing graphic toolkits for expanding its use in a wide variety of visual applications. We have applied this infrastructure to three data mining visualization applications-topic hierarchy for document navigation, web-based trouble shooting, and telecom switch mining.","https://ieeexplore.ieee.org/document/801867/","LOCKED","801867","Hewlett Packard Research Laboratories, USA","Hewlett Packard Research Laboratories, USA","https://ieeexplore.ieee.org/author/37274264300","1","M.C. Hao","37274264300","Hewlett Packard Research Laboratories, USA","Hewlett Packard Research Laboratories, USA","https://ieeexplore.ieee.org/author/37275646700","2","U. Dayal","37275646700","Hewlett Packard Research Laboratories, USA","","Hewlett Packard Research Laboratories, USA","https://ieeexplore.ieee.org/author/37275459900","3","M. Hsu","37275459900","Hewlett Packard Research Laboratories, USA","Hewlett Packard Research Laboratories, USA","https://ieeexplore.ieee.org/author/37391067500","4","J. Baker","37391067500","Hewlett Packard Research Laboratories, USA","Hewlett Packard Research Laboratories, USA","https://ieeexplore.ieee.org/author/37087851473","5","R. D'Eletto","37087851473","7","4","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801867","96","127","https://ieeexplore.ieee.org/document/801867/","Java","Switches","Data mining","Navigation","Telecommunication switching","Displays","Internet","Plugs","Graphics","Data visualization","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801867","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","11","124","A Java-based visual mining infrastructure and applications"
"This paper introduces the Sunflower visual metaphor for information visualization. The visual metaphor is presented as an alternative to current techniques of dimensional compression and the visualization tools that employ them. The paper discusses the motivation for the Sunflower paradigm, its implementation and critical factors for producing an effective visualization. A primary driver in this research effort has been to develop a visualization tool that facilitates browsing, knowledge discovery, and that supports learning through sense making and integration of new information.","https://ieeexplore.ieee.org/document/801868/","LOCKED","801868","Department of Management Information Systems, University of Arizona Tucson, USA","Department of Management Information Systems, University of Arizona Tucson, USA","https://ieeexplore.ieee.org/author/37434158300","1","S.J. Rose","37434158300","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801868","119","131","https://ieeexplore.ieee.org/document/801868/","Visualization","Displays","Management information systems","Rivers","Tellurium","Knowledge management","Information retrieval","Conducting materials","Information processing","Extraterrestrial measurements","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801868","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","12","128","The sunflower visual metaphor, a new paradigm for dimensional compression"
"We examine how animating a viewpoint change in a spatial information system affects a user's ability to build a mental map of the information in the space. We found that animation improves users' ability to reconstruct the information space, with no penalty on task performance time. We believe that this study provides strong evidence for adding animated transitions in many applications with fixed spatial data where the user navigates around the data space.","https://ieeexplore.ieee.org/document/801854/","LOCKED","801854","Computer Science Department, Human-Computer Interaction Laboratory, Institute for Advanced Computer Studies, University of Maryland, College Park, MD, USA","Computer Science Department, Human-Computer Interaction Laboratory, Institute for Advanced Computer Studies, University of Maryland, College Park, MD, USA","https://ieeexplore.ieee.org/author/37279760100","1","B.B. Bederson","37279760100","College of Education, Human-Computer Interaction Laboratory, Institute for Advanced Computer Studies, University of Maryland, College Park, MD, USA","College of Education, Human-Computer Interaction Laboratory, Institute for Advanced Computer Studies, University of Maryland, College Park, MD, USA","https://ieeexplore.ieee.org/author/37087982297","2","A. Boltman","37087982297","","","","","","","","","","","","","","","","","","","","54","4","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801854","658","35","https://ieeexplore.ieee.org/document/801854/","Animation","Educational institutions","User interfaces","Electrical capacitance tomography","Visualization","Delay","Computer science","Computer science education","Navigation","Humans","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801854","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","13","28","Does animation help users build mental maps of spatial information?"
"A similarity metric based on the low-level content of images can be used to create a visualisation in which visually similar images are displayed close to each other. We are carrying out a series of experiments to evaluate the usefulness of this type of visualisation as an image browsing aid. The initial experiment, described, considered whether people would find a given photograph more quickly in a visualisation than in a randomly arranged grid of images. The results show that the subjects were faster with the visualisation, although in post-experiment interviews many of them said that they preferred the clarity and regularity of the grid. We describe an algorithm with which the best aspects of the two layout types can be combined.","https://ieeexplore.ieee.org/document/801855/","LOCKED","801855","Computer Laboratory, University of Cambridge, Cambridge, UK","Computer Laboratory, University of Cambridge, Cambridge, UK","https://ieeexplore.ieee.org/author/37087983095","1","K. Rodden","37087983095","Computer Laboratory, University of Cambridge, Cambridge, UK","Computer Laboratory, University of Cambridge, Cambridge, UK","https://ieeexplore.ieee.org/author/37087984908","2","W. Basalaj","37087984908","AT and T Laboratories, Cambridge, UK","","AT and T Laboratories, Cambridge, UK","https://ieeexplore.ieee.org/author/37089145984","3","D. Sinclair","37089145984","AT and T Laboratories, Cambridge, UK","AT and T Laboratories, Cambridge, UK","https://ieeexplore.ieee.org/author/37087982343","4","K. Wood","37087982343","","","","","","","32","3","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801855","233","43","https://ieeexplore.ieee.org/document/801855/","Visualization","Laboratories","Electrical capacitance tomography","Image storage","Image retrieval","Information retrieval","Digital images","Content based retrieval","Prototypes","","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801855","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","14","36","Evaluating a visualisation of image similarity as a tool for image browsing"
"In the process of knowledge discovery, workers examine available information in order to make sense of it. By sensemaking, we mean interacting with and operating on the information with a variety of information processing mechanisms. Previously, we introduced a concept that uses the spreadsheet metaphor with cells containing visualizations of complex data. We extend and apply a cognitive model called ""visual sensemaking"" to the visualization spreadsheet. We use the task of making sense of a large Web site as a concrete example throughout the paper for demonstration. Using a variety of visualization techniques, such as the Disk Tree and Cone Tree, we show that the interactions of the visualization spreadsheet help users draw conclusions from the overall relationships of the entire information set.","https://ieeexplore.ieee.org/document/801853/","LOCKED","801853","Xerox Palo Alto Research Center, Palo Alto, CA, USA","Xerox Palo Alto Research Center, Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37448030800","1","E.H. Chi","37448030800","Xerox Palo Alto Research Center, Palo Alto, CA, USA","Xerox Palo Alto Research Center, Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37444594200","2","S.K. Card","37444594200","","","","","","","","","","","","","","","","","","","","14","1","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801853","203","25","https://ieeexplore.ieee.org/document/801853/","Data visualization","Information processing","Tree graphs","Information analysis","Concrete","Web sites","Environmental factors","Costs","Data mining","Graphics","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801853","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","15","18","Sensemaking of evolving Web sites using visualization spreadsheets"
"This paper describes concepts that underlie the design and implementation of an information exploration system that allows users to impose arbitrary hierarchical organizations on their data. Such hierarchies allow a user to embed important semantic information into the hierarchy definition. Our goal is to recognize the significance of this implicit information and to utilize it in the hierarchy visualization. The innovative features of our system include the dynamic modification of the hierarchy definitions and the definition and implementation of a set of layout algorithms that utilize semantic information implicit in the tree construction.","https://ieeexplore.ieee.org/document/801859/","LOCKED","801859","Computer Science Department, University of New Hampshire, Durham, NH, USA","Computer Science Department, University of New Hampshire, Durham, NH, USA","https://ieeexplore.ieee.org/author/37087720874","1","R.M. Wilson","37087720874","Computer Science Department, University of New Hampshire, Durham, NH, USA","Computer Science Department, University of New Hampshire, Durham, NH, USA","https://ieeexplore.ieee.org/author/38227675400","2","R.D. Bergeron","38227675400","","","","","","","","","","","","","","","","","","","","13","3","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801859","266","72","https://ieeexplore.ieee.org/document/801859/","Data visualization","Educational institutions","Data mining","Organizing","Turning","Remuneration","Law","Legal factors","Partitioning algorithms","","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801859","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","16","65","Dynamic hierarchy specification and visualization"
"We have developed a technique, Aggregate Towers, that allows geospatial data to be visualized across a range of map scales. We use a combination of data aggregation algorithms and dynamically aggregating data markers (e.g., icons or symbols) to accommodate interactive zooming by a user while maintaining a representation that remains intuitive, consistent across multiple scales and uncluttered. This approach implicitly generates multiple levels of overview displays from a single set of underlying data.","https://ieeexplore.ieee.org/document/801863/","LOCKED","801863","MITRE Corporation, Bedford, MA, USA","MITRE Corporation, Bedford, MA, USA","https://ieeexplore.ieee.org/author/37087931986","1","J.K. Rayson","37087931986","","","","","","","","","","","","","","","","","","","","","","","","","","7","19","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801863","142","99","https://ieeexplore.ieee.org/document/801863/","Aggregates","Poles and towers","Data visualization","Displays","Chromium","Electrical capacitance tomography","Military computing","Radar imaging","Fuels","Diseases","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801863","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","17","92","Aggregate Towers: scale sensitive visualization and decluttering of geospatial data"
"Domain Analysis for Data Visualization (DADV) is a technique to use when investigating a domain where data visualizations are going to be designed and added to existing software systems. DADV was used to design the data visualization in VisEIO-LCA, which is a framework to visualize environmental data about products. Most of the visualizations are designed using the following stages: formatting data in tables, selecting visual structures, and rendering the data on the screen. Although many visualization authors perform implicit domain analysis, in this paper domain analysis is added explicitly to the process of designing visualizations with the goal of producing move usable software tools. Environmental Life-Cycle Assessment (LCA) is used as a test bed for this technique.","https://ieeexplore.ieee.org/document/801856/","LOCKED","801856","Civil and Environmental Engineering Department, Carnegie Mellon University, Pittsburgh, PA, USA","Civil and Environmental Engineering Department, Carnegie Mellon University, Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37444499700","1","O.J. Espinosa","37444499700","Civil and Environmental Engineering Department, Carnegie Mellon University, Pittsburgh, PA, USA","Civil and Environmental Engineering Department, Carnegie Mellon University, Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37340027400","2","C. Hendrickson","37340027400","Civil and Environmental Engineering Department, Carnegie Mellon University, Pittsburgh, PA, USA","","Civil and Environmental Engineering Department, Carnegie Mellon University, Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37353587300","3","J.H. Garrett","37353587300","","","","","","","","","","","","","5","0","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801856","185","52","https://ieeexplore.ieee.org/document/801856/","Data visualization","Process design","Performance analysis","Data analysis","Graphics","Problem-solving","Data engineering","Design engineering","Life testing","Multidimensional systems","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801856","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","18","44","Domain analysis: a technique to design a user-centered visualization framework"
"VisageWeb is an information-centric user interface to the World Wide Web built within the Visage data visualization environment. This paper traces the development of the VisageWeb project, using it to motivate an exploration of how an information-centric architecture copes with new visualization challenges. We conclude with a presentation of the VisageWeb prototype itself.","https://ieeexplore.ieee.org/document/801864/","LOCKED","801864","MAYA Design Group, Inc., Pittsburgh, PA, USA","MAYA Design Group, Inc., Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37087445952","1","M. Higgins","37087445952","MAYA Design Group, Inc., Pittsburgh, PA, USA","MAYA Design Group, Inc., Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37305539000","2","P. Lucas","37305539000","","None","","https://ieeexplore.ieee.org/author/37086967373","3","J. Sean","37086967373","","","","","","","","","","","","","3","1","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801864","77","107","https://ieeexplore.ieee.org/document/801864/","Data visualization","World Wide Web","User interfaces","Web sites","Prototypes","Service oriented architecture","Web pages","Organizing","Information analysis","Data analysis","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801864","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","19","100","VisageWeb: visualizing WWW data in Visage"
"Presents the table of contents of the proceedings.","","EPHEMERA","801830","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801830","83","vi","https://ieeexplore.ieee.org/document/801830/","","","","","","","","","","","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801830","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","20","v","Table of contents"
"The author index contains an entry for each author and coauthor included in the proceedings record.","","EPHEMERA","801870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801870","46","155","https://ieeexplore.ieee.org/document/801870/","","","","","","","","","","","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801870","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","21","155","Author index"
"Presents the front cover of the proceedings record.","","EPHEMERA","801829","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801829","179","","https://ieeexplore.ieee.org/document/801829/","","","","","","","","","","","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801829","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","22","i","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)"
