"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"The explosive growth of information systems on the Internet has clearly demonstrated the need to organise, filter, and present information in ways which allow users to cope with the sheer quantities of information available. The scope for visualisation of Gopher and WWW spaces is restricted by the limitations of their respective data models. The far richer data model supported by the Hyper-G Internet information system is exploited by its Harmony client to provide a number of tightly-coupled, two- and three-dimensional visualisation and navigational facilities, which help provide location feedback and alleviate user disorientation.","https://ieeexplore.ieee.org/document/528692/","LOCKED","528692","Inst. for Inf. Process. & Comput. Supported New Media, Graz Univ. of Technol., Austria","https://ieeexplore.ieee.org/author/37340122200","1","K. Andrews","37340122200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","12","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528692","104","Internet","Information systems","Data visualization","Data models","Explosives","Information filtering","Information filters","World Wide Web","Navigation","Feedback","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528692","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","11","97","Case study. Visualising cyberspace: information visualisation in the Harmony Internet browser"
"We describe the theoretical background for AVE, an automatic visualization engine for semantic networks. We have a functional notion of aesthetics and therefore understand meaningfulness as a central issue for information visualization. This implies that the diagrams should communicate the characteristics of the data as effectively as possible. In this generative theory of diagram design, we include data characterization, systematic use of graphical means of expression and the combination of graphical means of expression. After giving a brief introduction and an application scenario we discuss these aspects in detail. Finally, a process model of an automatic visualization process is sketched and directions for further research are outlined.","https://ieeexplore.ieee.org/document/528681/","LOCKED","528681","GMD-Inst. for Integrated Publication & Inf. Sci., Darmstadt, Germany","https://ieeexplore.ieee.org/author/37352314100","1","K. Reichenberger","37352314100","GMD-Inst. for Integrated Publication & Inf. Sci., Darmstadt, Germany","https://ieeexplore.ieee.org/author/37357591400","2","T. Kamps","37357591400","GMD-Inst. for Integrated Publication & Inf. Sci., Darmstadt, Germany","https://ieeexplore.ieee.org/author/37352316100","3","G. Golovchinsky","37352316100","","","","","","","","","","","","","","","","","","","","","4","0","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528681","18","Data visualization","Engines","Character generation","","","","","","","","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528681","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","12","11","Towards a generative theory of diagram design"
"It is well known that graphical representations could be very helpful to browse in graph structured information. But this promising approach requires the capability of an automatic layout system because the tedious and time consuming task of a manual layout leads to a rejection of this approach by the user. In our approach, we split the task of retrieving information into two phases that are getting the orientation within the network and reading currently visited information. We present layout algorithms for both phases which have the benefit of being flexible and adaptable to individual user requests and ensure the topological consistency, i.e. the stability of the topology of the information layout during a sequence of display layouts. The results show that especially the possibility of an animation of the layout process can assist the user essentially in maintaining the orientation in the information network.","https://ieeexplore.ieee.org/document/528683/","LOCKED","528683","Tech. Univ. Braunschweig, Germany","https://ieeexplore.ieee.org/author/37352125700","1","P. Luders","37352125700","Tech. Univ. Braunschweig, Germany","https://ieeexplore.ieee.org/author/37297213900","2","R. Ernst","37297213900","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528683","33","Displays","Layout","Information retrieval","Stability","Network topology","Animation","","","","","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528683","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","13","26","Research report: improving browsing in information by the automatic display layout"
"Visualizations which depict entire information spaces provide context for navigation and browsing tasks; however, the limited size of the display screen makes creating effective global views difficult. We have developed a technique for displaying and navigating large information spaces. The key concept is the use of an information mural, a two-dimensional reduced representation of an entire information space that fits completely within a display window or screen. Information murals use grayscale shading and color along with anti-aliasing techniques to create a miniature version of the entire data set. By incorporating navigational capabilities, information murals become a tool that can be used as a global view along with more detailed informational displays. Information murals are utilized in our software visualization research to help depict the execution of object-oriented programs, and can also be used in more general information visualization applications.","https://ieeexplore.ieee.org/document/528685/","LOCKED","528685","Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA","https://ieeexplore.ieee.org/author/37352201100","1","D.F. Jerding","37352201100","Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA","https://ieeexplore.ieee.org/author/37267736900","2","J.T. Stasko","37267736900","","","","","","","","","","","","","","","","","","","","","","","","","","15","3","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528685","50","Navigation","Large screen displays","Two dimensional displays","Gray-scale","Data visualization","Application software","","","","","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528685","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","14","43","The information mural: a technique for displaying and navigating large information spaces"
"Virtual reality can aid in designing large and complex structures such as ships, skyscrapers, factories, and aircraft. But before VR can realize this potential, we need to solve a number of problems. One of these problems: the user's need to see and interact with non-geometric information is examined. Our VR environment, RealEyes, can display large-scale and detailed geometry at reasonable frame rates (>20 Hz) allowing a user to see and navigate within a design from a first person perspective. However, much (if not most) of the information associated with a particular design has no geometric representation. This includes information such as schematics of electrical, hydraulic, and plumbing systems; information describing materials or processes; and descriptive (textual) information of other types. Many researchers have developed a wealth of techniques for presenting such data on flat-screen displays, but until recently, we have not had a means for naturally displaying such information within a VR environment. To make non-geometric data more available, we have implemented a version of Mosaic that functions within a fully immersive VR system. Our system, VRMosaic, allows a user of VR to access and display most of the data available using flat screen Mosaic. Moreover, we have made it extensible to allow for the seamless integration of specialized forms of data and interaction. This paper describes how we implemented VRMosaic using a VR-capable version of Interviews, It also describes some Mosaic-like uses of that system and some ""non-Mosaic-like"" extensions.","https://ieeexplore.ieee.org/document/528687/","LOCKED","528687","Inf. & Support Services, Boeing Co., Seattle, WA, USA","https://ieeexplore.ieee.org/author/37352263600","1","I.G. Angus","37352263600","Inf. & Support Services, Boeing Co., Seattle, WA, USA","https://ieeexplore.ieee.org/author/37352265700","2","H.A. Sowizral","37352265700","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528687","64","Virtual environment","Virtual reality","Displays","Marine vehicles","Production facilities","Aircraft","Large-scale systems","Geometry","Navigation","","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528687","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","15","59","VRMosaic: WEB access from within a virtual environment"
"It is becoming increasingly important that support is provided for users who are dealing with complex information spaces. The need is driven by the growing number of domains where there is a requirement for users to understand, navigate and manipulate large sets of computer based data; by the increasing size and complexity of this information and by the pressures to use this information efficiently. The paradigmatic example is the World Wide Web, but other domains include software systems, information systems and concurrent engineering. One approach to providing this support is to provide sophisticated visualisation tools which lead the users to form an intuitive understanding of the structure and behaviour of their domain and which provide mechanisms which allow them to manipulate objects within their system. The paper describes such a tool and a number of visualisation techniques that it implements.","https://ieeexplore.ieee.org/document/528691/","LOCKED","528691","Sch. of Comput. Sci., Birmingham Univ., UK","https://ieeexplore.ieee.org/author/37352143000","1","R.J. Hendley","37352143000","Sch. of Comput. Sci., Birmingham Univ., UK","https://ieeexplore.ieee.org/author/37357792700","2","N.S. Drew","37357792700","Sch. of Comput. Sci., Birmingham Univ., UK","https://ieeexplore.ieee.org/author/37349028500","3","A.M. Wood","37349028500","Sch. of Comput. Sci., Birmingham Univ., UK","https://ieeexplore.ieee.org/author/37356853400","4","R. Beale","37356853400","","","","","","","","","","","","","","","","32","5","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528691","96","Visualization","Navigation","Web sites","Software systems","Information systems","Concurrent engineering","","","","","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528691","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","16","90","Case study. Narcissus: visualising information"
"The paper describes an implementation of a tool for visualizing and interacting with huge information hierarchies, and some preliminary empirical evaluation of the tool's efficacy. Existing systems for visualizing huge hierarchies using cone trees ""break down"" once the hierarchy to be displayed exceeds roughly 1000 nodes, due to increasing visual clutter. The paper describes a system called fsviz which visualizes arbitrarily large hierarchies while retaining user control. This is accomplished by augmenting cone trees with several graphical and interaction techniques: usage-based filtering, animated zooming, hand-coupled rotation, fish-eye zooming, coalescing of distant nodes, texturing, effective use of colour for depth cueing, and the applications of dynamic queries. The fsviz system also improves upon earlier cone tree visualization systems through a more elaborate node layout algorithm. This algorithm enhances the usefulness of cone tree visualization for large hierarchies by all but eliminating clutter.","https://ieeexplore.ieee.org/document/528689/","LOCKED","528689","Dept. of Comput. Sci., Waterloo Univ., Ont., Canada","https://ieeexplore.ieee.org/author/38558074600","1","J. Carriere","38558074600","Dept. of Comput. Sci., Waterloo Univ., Ont., Canada","https://ieeexplore.ieee.org/author/37267671500","2","R. Kazman","37267671500","","","","","","","","","","","","","","","","","","","","","","","","","","27","17","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528689","81","Visualization","Tree graphs","Control systems","Filtering","Animation","Layout","","","","","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528689","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","17","74","Research report. Interacting with huge hierarchies: beyond cone trees"
"As the Internet continues to grow, the amount of accessible information becomes increasingly vast. Search tools exist that allow users to find relevant information. However, a search can often produce such a large amount of data that it becomes hard to ferret out the most appropriate and highest quality information. In addition, some search tools lose valuable information when displaying the results to the user. The paper describes a search visualization tool, called FISH, for viewing hierarchically structured information and managing information overload. FISH (Forager for the Information Super Highway) allows users to visualize the results of search requests across large document spaces in a way that preserves the structure of the information space. FISH displays the returned documents as rectangles, using a combination of order, indentation, size, and color to denote document hierarchy, the score of the documents with respect to the search, and other data attributes. In addition, the user can navigate through the document space for in-depth probing and refinement.","https://ieeexplore.ieee.org/document/528693/","LOCKED","528693","Mitre Corp., Bedford, MA, USA","https://ieeexplore.ieee.org/author/37341386400","1","R. Mitchell","37341386400","Mitre Corp., Bedford, MA, USA","https://ieeexplore.ieee.org/author/37343297300","2","D. Day","37343297300","Mitre Corp., Bedford, MA, USA","https://ieeexplore.ieee.org/author/37352245200","3","L. Hirschman","37352245200","","","","","","","","","","","","","","","","","","","","","4","3","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528693","111","Internet","Marine animals","Data visualization","Information management","Road transportation","Displays","Navigation","","","","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528693","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","18","105","Case study: fishing for information on the Internet"
"The author index contains an entry for each author and coauthor included in the proceedings record.","","EPHEMERA","528698","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528698","","","","","","","","","","","","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528698","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","19","153","Author index"
"","","EPHEMERA","528679","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528679","","","","","","","","","","","","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528679","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","20","i","Proceedings of Visualization 1995 Conference"
