"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume" 
"Dashboards are one of the most common use cases for data visualization, and their design and contexts of use are considerably different from exploratory visualization tools. In this paper, we look at the broad scope of how dashboards are used in practice through an analysis of dashboard examples and documentation about their use. We systematically review the literature surrounding dashboard use, construct a design space for dashboards, and identify major dashboard types. We characterize dashboards by their design goals, levels of interaction, and the practices around them. Our framework and literature review suggest a number of fruitful research directions to better support dashboard design, implementation and use.","https://ieeexplore.ieee.org/document/8443395/","LOCKED","8443395","Microsoft Corporation","","1","Alper Sarikaya","","Tableau Research","","2","Michael Correll","","Simon Fraser University","","3","Lyn Bartram","","Tableau Research","","4","Melanie Tory","","Honeycomb.io","","5","Danyel Fisher","","","","","","","","","","","","","","","","","","","","","","13","0","Journals","10.1109/TVCG.2018.2864903","692","https://ieeexplore.ieee.org/document/8443395/","Dashboards","literature review","","survey","design space","open coding","","","","","","Visualization","Data visualization","Encoding","Measurement","Decision making","Monitoring","Tools","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8443395","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","26","682","What Do We Talk About When We Talk About Dashboards?","25"
"While many VA workflows make use of machine-learned models to support analytical tasks, VA workflows have become increasingly important in understanding and improving Machine Learning (ML) processes. In this paper, we propose an ontology (VIS4ML) for a subarea of VA, namely “VA-assisted ML”. The purpose of VIS4ML is to describe and understand existing VA workflows used in ML as well as to detect gaps in ML processes and the potential of introducing advanced VA techniques to such processes. Ontologies have been widely used to map out the scope of a topic in biology, medicine, and many other disciplines. We adopt the scholarly methodologies for constructing VIS4ML, including the specification, conceptualization, formalization, implementation, and validation of ontologies. In particular, we reinterpret the traditional VA pipeline to encompass model-development workflows. We introduce necessary definitions, rules, syntaxes, and visual notations for formulating VIS4ML and make use of semantic web technologies for implementing it in the Web Ontology Language (OWL). VIS4ML captures the high-level knowledge about previous workflows where VA is used to assist in ML. It is consistent with the established VA concepts and will continue to evolve along with the future developments in VA and ML. While this ontology is an effort for building the theoretical foundation of VA, it can be used by practitioners in real-world applications to optimize model-development workflows by systematically examining the potential benefits that can be brought about by either machine or human capabilities. Meanwhile, VIS4ML is intended to be extensible and will continue to be updated to reflect future advancements in using VA for building high-quality data-analytical models or for building such models rapidly.","https://ieeexplore.ieee.org/document/8440124/","LOCKED","8440124","University of Konstanz","","1","Dominik Sacha","","University of Konstanz","","2","Matthias Kraus","","University of Konstanz","","3","Daniel A. Keim","","University of Oxford","","4","Min Chen","","","","","","","","","","","","","","","","","","","","","","","","","","","11","0","Journals","10.1109/TVCG.2018.2864838","395","https://ieeexplore.ieee.org/document/8440124/","Visual Analytics","Visualization","","Machine Learning","Human-Computer Interaction","Ontology","VIS4ML","","","","","Ontologies","Data visualization","Analytical models","Data models","Task analysis","OWL","Machine learning","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440124","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","27","385","VIS4ML: An Ontology for Visual Analytics Assisted Machine Learning","25"
"To interpret data visualizations, people must determine how visual features map onto concepts. For example, to interpret colormaps, people must determine how dimensions of color (e.g., lightness, hue) map onto quantities of a given measure (e.g., brain activity, correlation magnitude). This process is easier when the encoded mappings in the visualization match people's predictions of how visual features will map onto concepts, their inferred mappings. To harness this principle in visualization design, it is necessary to understand what factors determine people's inferred mappings. In this study, we investigated how inferred color-quantity mappings for colormap data visualizations were influenced by the background color. Prior literature presents seemingly conflicting accounts of how the background color affects inferred color-quantity mappings. The present results help resolve those conflicts, demonstrating that sometimes the background has an effect and sometimes it does not, depending on whether the colormap appears to vary in opacity. When there is no apparent variation in opacity, participants infer that darker colors map to larger quantities (dark-is-more bias). As apparent variation in opacity increases, participants become biased toward inferring that more opaque colors map to larger quantities (opaque-is-more bias). These biases work together on light backgrounds and conflict on dark backgrounds. Under such conflicts, the opaque-is-more bias can negate, or even supersede the dark-is-more bias. The results suggest that if a design goal is to produce colormaps that match people's inferred mappings and are robust to changes in background color, it is beneficial to use colormaps that will not appear to vary in opacity on any background color, and to encode larger quantities in darker colors.","https://ieeexplore.ieee.org/document/8454346/","LOCKED","8454346","Department of Psychology and Wisconsin Institute for DiscoveryUniversity of Wisconsin-Madison","https://ieeexplore.ieee.org/author/37085509824","1","Karen B. Schloss","37085509824","Department of Computer ScienceBrown University","https://ieeexplore.ieee.org/author/38488457200","2","Connor C. Gramazio","38488457200","School of Public HealthBrown University","https://ieeexplore.ieee.org/author/37086525676","3","Allison T. Silverman","37086525676","Department of Psychology and Wisconsin Institute for DiscoveryUniversity of Wisconsin-Madison","https://ieeexplore.ieee.org/author/37086526326","4","Madeline L. Parker","37086526326","Department of Applied and Computational MathematicsCalifornia Institute of Technology","https://ieeexplore.ieee.org/author/37086528539","5","Audrey S. Wang","37086528539","","","","","","","","","","","","","","","","","","","","","4","0","Journals","10.1109/TVCG.2018.2865147","819","https://ieeexplore.ieee.org/document/8454346/","Visual Reasoning","Visual Communication","","Colormaps","Color Perception","Visual Encoding","Visual Design","","","","","Image color analysis","Data visualization","Visualization","","","","","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8454346","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","28","810","Mapping Color to Meaning in Colormap Data Visualizations","25"
"Regarded as a high-level tactic in soccer, a team formation assigns players different tasks and indicates their active regions on the pitch, thereby influencing the team performance significantly. Analysis of formations in soccer has become particularly indispensable for soccer analysts. However, formations of a team are intrinsically time-varying and contain inherent spatial information. The spatio-temporal nature of formations and other characteristics of soccer data, such as multivariate features, make analysis of formations in soccer a challenging problem. In this study, we closely worked with domain experts to characterize domain problems of formation analysis in soccer and formulated several design goals. We design a novel spatio-temporal visual representation of changes in team formation, allowing analysts to visually analyze the evolution of formations and track the spatial flow of players within formations over time. Based on the new design, we further design and develop ForVizor, a visual analytics system, which empowers users to track the spatio-temporal changes in formation and understand how and why such changes occur. With ForVizor, domain experts conduct formation analysis of two games. Analysis results with insights and useful feedback are summarized in two case studies.","https://ieeexplore.ieee.org/document/8440804/","LOCKED","8440804","State Key Lab of CAD&CGZhejiang University","","1","Yingcai Wu","","State Key Lab of CAD&CGZhejiang University","","2","Xiao Xie","","State Key Lab of CAD&CGZhejiang University","","3","Jiachen Wang","","State Key Lab of CAD&CGZhejiang University","","4","Dazhen Deng","","State Key Lab of CAD&CGZhejiang University","","5","Hongye Liang","","Department of Sport ScienceZhejiang University","","6","Hui Zhang","","Department of Sport ScienceZhejiang University","","7","Shoubin Cheng","","State Key Lab of CAD&CGZhejiang University","","8","Wei Chen","","","","","","","8","0","Journals","10.1109/TVCG.2018.2865041","75","https://ieeexplore.ieee.org/document/8440804/","Soccer data","formation analysis","","spatio-temporal visualization","","","","","","","","Games","Data visualization","Videos","Visual analytics","Tools","","","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440804","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","29","65","ForVizor: Visualizing Spatio-Temporal Team Formations in Soccer","25"
"The diverse and vibrant ecosystem of interactive visualizations on the web presents an opportunity for researchers and practitioners to observe and analyze how everyday people interact with data visualizations. However, existing metrics of visualization interaction behavior used in research do not fully reveal the breadth of peoples' open-ended explorations with visualizations. One possible way to address this challenge is to determine high-level goals for visualization interaction metrics, and infer corresponding features from user interaction data that characterize different aspects of peoples' explorations of visualizations. In this paper, we identify needs for visualization behavior measurement, and develop corresponding candidate features that can be inferred from users' interaction data. We then propose metrics that capture novel aspects of peoples' open-ended explorations, including exploration uniqueness and exploration pacing. We evaluate these metrics along with four other metrics recently proposed in visualization literature by applying them to interaction data from prior visualization studies. The results of these evaluations suggest that these new metrics 1) reveal new characteristics of peoples' use of visualizations, 2) can be used to evaluate statistical differences between visualization designs, and 3) are statistically independent of prior metrics used in visualization research. We discuss implications of these results for future studies, including the potential for applying these metrics in visualization interaction analysis, as well as emerging challenges in developing and selecting metrics depicting visualization explorations.","https://ieeexplore.ieee.org/document/8454489/","LOCKED","8454489","Worcester Polytechnic Institute","","1","Mi Feng","","Bucknell University","","2","Evan Peck","","Worcester Polytechnic Institute","","3","Lane Harrison","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","Journals","10.1109/TVCG.2018.2865117","511","https://ieeexplore.ieee.org/document/8454489/","Interaction","Visualization","","Quantitative Evaluation","","","","","","","","Data visualization","Extraterrestrial measurements","Companies","Visual analytics","Feature extraction","","","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8454489","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","30","501","Patterns and Pace: Quantifying Diverse Exploration Behavior with Visualizations on the Web","25"
"Neural sequence-to-sequence models have proven to be accurate and robust for many sequence prediction tasks, and have become the standard approach for automatic translation of text. The models work with a five-stage blackbox pipeline that begins with encoding a source sequence to a vector space and then decoding out to a new target sequence. This process is now standard, but like many deep learning methods remains quite difficult to understand or debug. In this work, we present a visual analysis tool that allows interaction and “what if”-style exploration of trained sequence-to-sequence models through each stage of the translation process. The aim is to identify which patterns have been learned, to detect model errors, and to probe the model with counterfactual scenario. We demonstrate the utility of our tool through several real-world sequence-to-sequence use cases on large-scale models.","https://ieeexplore.ieee.org/document/8494828/","LOCKED","8494828","IBM ReseatchMIT-IBM Watson AI Lab.","","1","Hendrik Strobelt","","Harvard NLP group","","2","Sebastian Gehrmann","","Hatvatd Visual Computing group","","3","Michael Behrisch","","IBM ReseatchMIT-IBM Watson AI Lab.","","4","Adam Perer","","Hatvatd Visual Computing group","","5","Hanspeter Pfister","","Harvard NLP group","","6","Alexander M. Rush","","","","","","","","","","","","","","","","","22","0","Journals","10.1109/TVCG.2018.2865044","363","https://ieeexplore.ieee.org/document/8494828/","Explainable AI","Visual Debugging","","Visual Analytics","Machine Learning","Deep Learning","NLP","","","","","Analytical models","Visualization","Tools","Predictive models","Machine learning","Data models","Atmosphere","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8494828","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","31","353","Seq2seq-Vis: A Visual Debugging Tool for Sequence-to-Sequence Models","25"
"Ensemble sensitivity analysis (ESA) has been established in the atmospheric sciences as a correlation-based approach to determine the sensitivity of a scalar forecast quantity computed by a numerical weather prediction model to changes in another model variable at a different model state. Its applications include determining the origin of forecast errors and placing targeted observations to improve future forecasts. We - a team of visualization scientists and meteorologists - present a visual analysis framework to improve upon current practice of ESA. We support the user in selecting regions to compute a meaningful target forecast quantity by embedding correlation-based grid-point clustering to obtain statistically coherent regions. The evolution of sensitivity features computed via ESA are then traced through time, by integrating a quantitative measure of feature matching into optical-flow-based feature assignment, and displayed by means of a swipe-path showing the geo-spatial evolution of the sensitivities. Visualization of the internal correlation structure of computed features guides the user towards those features robustly predicting a certain weather event. We demonstrate the use of our method by application to real-world 2D and 3D cases that occurred during the 2016 NAWDEX field campaign, showing the interactive generation of hypothesis chains to explore how atmospheric processes sensitive to each other are interrelated.","https://ieeexplore.ieee.org/document/8440839/","LOCKED","8440839","Computer Graphics & Visualization Group, Technische Universitiit München, Garching, Germany","","1","Alexander Kumpf","","Computer Graphics & Visualization Group, Technische Universitiit München, Garching, Germany","","2","Marc Rautenhaus","","Universität Hamburg, Regional Computing Center, Hamburg, Germany","","3","Michael Riemer","","Computer Graphics & Visualization Group, Technische Universitiit München, Garching, Germany","","4","Rüdiger Westermann","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","Journals","10.1109/TVCG.2018.2864901","108","https://ieeexplore.ieee.org/document/8440839/","Correlation","clustering","","tracking","ensemble visualization","","","","","","","Correlation","Sensitivity","Atmospheric modeling","Weather forecasting","Visualization","Computational modeling","","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440839","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","32","98","Visual Analysis of the Temporal Evolution of Ensemble Forecast Sensitivities","25"
"Selecting a good aspect ratio is crucial for effective 2D diagrams. There are several aspect ratio selection methods for function plots and line charts, but only few can handle general, discrete diagrams such as 2D scatter plots. However, these methods either lack a perceptual foundation or heavily rely on intermediate isoline representations, which depend on choosing the right isovalues and are time-consuming to compute. This paper introduces a general image-based approach for selecting aspect ratios for a wide variety of 2D diagrams, ranging from scatter plots and density function plots to line charts. Our approach is derived from Federer's co-area formula and a line integral representation that enable us to directly construct image-based versions of existing selection methods using density fields. In contrast to previous methods, our approach bypasses isoline computation, so it is faster to compute, while following the perceptual foundation to select aspect ratios. Furthermore, this approach is complemented by an anisotropic kernel density estimation to construct density fields, allowing us to more faithfully characterize data patterns, such as the subgroups in scatterplots or dense regions in time series. We demonstrate the effectiveness of our approach by quantitatively comparing to previous methods and revisiting a prior user study. Finally, we present extensions for ROI banking, multi-scale banking, and the application to image data.","https://ieeexplore.ieee.org/document/8440843/","LOCKED","8440843","Shandong University","","1","Yunhai Wang","","SIAT, Shenzhen VisuCA Key Lab, China","","2","Zeyu Wang","","Chinese University of Hong Kong","","3","Chi-Wing Fu","","VISUS, University of Stuttgart, Germany","","4","Hansjörq Schmauder","","Konstanz University, Germany","","5","Oliver Deussen","","VISUS, University of Stuttgart, Germany","","6","Daniel Weiskopf","","","","","","","","","","","","","","","","","1","0","Journals","10.1109/TVCG.2018.2865266","849","https://ieeexplore.ieee.org/document/8440843/","Aspect ratio","image-based method","","Federer's co-area formula","density field","anisotropic kernel density estimation","","","","","","Two dimensional displays","Banking","Data visualization","Kernel","Market research","Estimation","Visualization","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440843","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","33","840","Image-Based Aspect Ratio Selection","25"
"Understanding and accounting for uncertainty is critical to effectively reasoning about visualized data. However, evaluating the impact of an uncertainty visualization is complex due to the difficulties that people have interpreting uncertainty and the challenge of defining correct behavior with uncertainty information. Currently, evaluators of uncertainty visualization must rely on general purpose visualization evaluation frameworks which can be ill-equipped to provide guidance with the unique difficulties of assessing judgments under uncertainty. To help evaluators navigate these complexities, we present a taxonomy for characterizing decisions made in designing an evaluation of an uncertainty visualization. Our taxonomy differentiates six levels of decisions that comprise an uncertainty visualization evaluation: the behavioral targets of the study, expected effects from an uncertainty visualization, evaluation goals, measures, elicitation techniques, and analysis approaches. Applying our taxonomy to 86 user studies of uncertainty visualizations, we find that existing evaluation practice, particularly in visualization research, focuses on Performance and Satisfaction-based measures that assume more predictable and statistically-driven judgment behavior than is suggested by research on human judgment and decision making. We reflect on common themes in evaluation practice concerning the interpretation and semantics of uncertainty, the use of confidence reporting, and a bias toward evaluating performance as accuracy rather than decision quality. We conclude with a concrete set of recommendations for evaluators designed to reduce the mismatch between the conceptualization of uncertainty in visualization versus other fields.","https://ieeexplore.ieee.org/document/8457476/","LOCKED","8457476","Northwestern University","","1","Jessica Hullman","","University of Washington","","2","Xiaoli Qiao","","Tableau Software","","3","Michael Correll","","University of Washington","","4","Alex Kale","","University of Michigan","","5","Matthew Kay","","","","","","","","","","","","","","","","","","","","","","10","0","Journals","10.1109/TVCG.2018.2864889","913","https://ieeexplore.ieee.org/document/8457476/","Uncertainty visualization","user study","","subjective confidence","probability distribution","","","","","","","Uncertainty","Visualization","Taxonomy","Data visualization","Task analysis","Measurement uncertainty","Decision making","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8457476","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","34","903","In Pursuit of Error: A Survey of Uncertainty Visualization Evaluation","25"
"This paper presents a framework for externalizing and analyzing expert knowledge about discrepancies in data through the use of visualization. Grounded in an 18-month design study with global health experts, the framework formalizes the notion of data discrepancies as implicit error, both in global health data and more broadly. We use the term implicit error to describe measurement error that is inherent to and pervasive throughout a dataset, but that isn't explicitly accounted for or defined. Instead, implicit error exists in the minds of experts, is mainly qualitative, and is accounted for subjectively during expert interpretation of the data. Externalizing knowledge surrounding implicit error can assist in synchronizing, validating, and enhancing interpretation, and can inform error analysis and mitigation. The framework consists of a description of implicit error components that are important for downstream analysis, along with a process model for externalizing and analyzing implicit error using visualization. As a second contribution, we provide a rich, reflective, and verifiable description of our research process as an exemplar summary toward the ongoing inquiry into ways of increasing the validity and transferability of design study research.","https://ieeexplore.ieee.org/document/8449328/","LOCKED","8449328","University of UtahSchool of Computing","https://ieeexplore.ieee.org/author/37085621040","1","Nina Mccurdy","37085621040","Texas Tech UniversityCollege of Arts … Sciences","https://ieeexplore.ieee.org/author/37086543367","2","Julie Gerdes","37086543367","University of UtahSchool of Computing","https://ieeexplore.ieee.org/author/37564728700","3","Miriah Meyer","37564728700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","0","Journals","10.1109/TVCG.2018.2864913","935","https://ieeexplore.ieee.org/document/8449328/","implicit error","knowledge externalization","","design study","","","","","","","","Tools","Data visualization","Public healthcare","Surveillance","Diseases","Visualization","","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8449328","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","35","925","A Framework for Externalizing Implicit Error Using Visualization","25"
"Convolutional neural networks can successfully perform many computer vision tasks on images. For visualization, how do CNNs perform when applied to graphical perception tasks? We investigate this question by reproducing Cleveland and McGill's seminal 1984 experiments, which measured human perception efficiency of different visual encodings and defined elementary perceptual tasks for visualization. We measure the graphical perceptual capabilities of four network architectures on five different visualization tasks and compare to existing and new human performance baselines. While under limited circumstances CNNs are able to meet or outperform human task performance, we find that CNNs are not currently a good model for human graphical perception. We present the results of these experiments to foster the understanding of how CNNs succeed and fail when applied to data visualizations.","https://ieeexplore.ieee.org/document/8440806/","LOCKED","8440806","Harvard University","","1","Daniel Haehn","","Brown University","","2","James Tompkin","","Harvard University","","3","Hanspeter Pfister","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","0","Journals","10.1109/TVCG.2018.2865138","650","https://ieeexplore.ieee.org/document/8440806/","Machine Perception","Graphical Perception","","Deep Learning","Convolutional Neural Networks","","","","","","","Visualization","Task analysis","Bars","Data visualization","Convolutional neural networks","Multilayer perceptrons","Computational modeling","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440806","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","36","641","Evaluating ‘Graphical Perception’ with CNNs","25"
"Today's data-rich documents are often complex datasets in themselves, consisting of information in different formats such as text, figures, and data tables. These additional media augment the textual narrative in the document. However, the static layout of a traditional for-print document often impedes deep understanding of its content because of the need to navigate to access content scattered throughout the text. In this paper, we seek to facilitate enhanced comprehension of such documents through a contextual visualization technique that couples text content with data tables contained in the document. We parse the text content and data tables, cross-link the components using a keyword-based matching algorithm, and generate on-demand visualizations based on the reader's current focus within a document. We evaluate this technique in a user study comparing our approach to a traditional reading experience. Results from our study show that (1) participants comprehend the content better with tighter coupling of text and data, (2) the contextual visualizations enable participants to develop better summaries that capture the main data-rich insights within the document, and (3) overall, our method enables participants to develop a more detailed understanding of the document content.","https://ieeexplore.ieee.org/document/8440810/","LOCKED","8440810","University of Maryland, College Park, MD, USA","","1","Sriram Karthik Badam","","Adobe Research, Seattle, WA, USA","","2","Zhicheng Liu","","University of Maryland, College Park, MD, USA","","3","Niklas Elmqvist","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","Journals","10.1109/TVCG.2018.2865119","671","https://ieeexplore.ieee.org/document/8440810/","Document reading","contextual visualizations","","visual aids","comprehension","summarization","","","","","","Data visualization","Visualization","Layout","Portable document format","Media","Hurricanes","Couplings","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440810","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","37","661","Elastic Documents: Coupling Text and Tables through Contextual Visualizations for Enhanced Document Reading","25"
"Dimensionality reduction is commonly applied to multidimensional data to reduce the complexity of their analysis. In visual analysis systems, projections embed multidimensional data into 2D or 3D spaces for graphical representation. To facilitate a robust and accurate analysis, essential characteristics of the multidimensional data shall be preserved when projecting. Orthographic star coordinates is a state-of-the-art linear projection method that avoids distortion of multidimensional clusters by restricting interactive exploration to orthographic projections. However, existing numerical methods for computing orthographic star coordinates have a number of limitations when putting them into practice. We overcome these limitations by proposing the novel concept of shape-preserving star coordinates where shape preservation is assured using a superset of orthographic projections. Our scheme is explicit, exact, simple, fast, parameter-free, and stable. To maintain a valid shape-preserving star-coordinates configuration during user interaction with one of the star-coordinates axes, we derive an algorithm that only requires us to modify the configuration of one additional compensatory axis. Different design goals can be targeted by using different strategies for selecting the compensatory axis. We propose and discuss four strategies including a strategy that approximates orthographic star coordinates very well and a data-driven strategy. We further present shape-preserving morphing strategies between two shape-preserving configurations, which can be adapted for the generation of data tours. We apply our concept to multiple data analysis scenarios to document its applicability and validate its desired properties.","https://ieeexplore.ieee.org/document/8440845/","LOCKED","8440845","Westfälische Wilhelms-Universität Münster, Germany","","1","Vladimir Molchanov","","Westfälische Wilhelms-Universität Münster, Germany","","2","Lars Linsen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","Journals","10.1109/TVCG.2018.2865118","458","https://ieeexplore.ieee.org/document/8440845/","Star coordinates","multidimensional data projection","","multivariate data visualization","","","","","","","","Shape","Two dimensional displays","Visualization","Data analysis","Principal component analysis","Distortion","Data visualization","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440845","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","38","449","Shape-preserving Star Coordinates","25"
"3D symmetric tensor fields appear in many science and engineering fields, and topology-driven analysis is important in many of these application domains, such as solid mechanics and fluid dynamics. Degenerate curves and neutral surfaces are important topological features in 3D symmetric tensor fields. Existing methods to extract degenerate curves and neutral surfaces often miss parts of the curves and surfaces, respectively. Moreover, these methods are computationally expensive due to the lack of knowledge of structures of degenerate curves and neutral surfaces.<;/p> <;p>In this paper, we provide theoretical analysis on the geometric and topological structures of degenerate curves and neutral surfaces of 3D linear tensor fields. These structures lead to parameterizations for degenerate curves and neutral surfaces that can not only provide more robust extraction of these features but also incur less computational cost.<;/p> <;p>We demonstrate the benefits of our approach by applying our degenerate curve and neutral surface detection techniques to solid mechanics simulation data sets.","https://ieeexplore.ieee.org/document/8453873/","LOCKED","8453873","Oregon State University","","1","Lawrence Roy","","Oregon State University","","2","Prashant Kumar","","Oregon State University","","3","Yue Zhang","","Oregon State University","","4","Eugene Zhang","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","Journals","10.1109/TVCG.2018.2864768","1111","https://ieeexplore.ieee.org/document/8453873/","Tensor field visualization","3D symmetric tensor fields","","tensor field topology","traceless tensors","degenerate curve extraction","neutral surface extraction","","","","","Tensile stress","Eigenvalues and eigenfunctions","Three-dimensional displays","Feature extraction","Topology","Solids","Robustness","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8453873","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","39","1102","Robust and Fast Extraction of 3D Symmetric Tensor Field Topology","25"
"Vortices are one of the most-frequently studied phenomena in fluid flows. The center of the rotating motion is called the vortex coreline and its successful detection strongly depends on the choice of the reference frame. The optimal frame moves with the center of the vortex, which incidentally makes the observed fluid flow steady and thus standard vortex coreline extractors such as Sujudi-Haimes become applicable. Recently, an objective optimization framework was proposed that determines a near-steady reference frame for tracer particles. In this paper, we extend this technique to the detection of vortex corelines of inertial particles. An inertial particle is a finite-sized object that is carried by a fluid flow. In contrast to the usual tracer particles, they do not move tangentially with the flow, since they are subject to gravity and exhibit mass-dependent inertia. Their particle state is determined by their position and own velocity, which makes the search for the optimal frame a high-dimensional problem. We demonstrate in this paper that the objective detection of an inertial vortex coreline can be reduced in 2D to a critical point search in 2D. For 3D flows, however, the vortex coreline criterion remains a parallel vectors condition in 6D. To detect the vortex corelines we propose a recursive subdivision approach that is tailored to the underlying structure of the 6D vectors. The resulting algorithm is objective, and we demonstrate the vortex coreline extraction in a number of 2D and 3D vector fields.","https://ieeexplore.ieee.org/document/8440096/","LOCKED","8440096","Computer Graphics LaboratoryETH Zürich","","1","Tobias Günther","","Visual Computing GroupUniversity of Magdeburg","","2","Holger Theisel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","Journals","10.1109/TVCG.2018.2864828","966","https://ieeexplore.ieee.org/document/8440096/","Vortex extraction","inertial particles","","objectivity","vortex coreline","","","","","","","Three-dimensional displays","Visualization","Two dimensional displays","Atmospheric measurements","Particle measurements","Tensile stress","Feature extraction","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440096","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","40","956","Objective Vortex Corelines of Finite-sized Objects in Fluid Flows","25"
