"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_12_authorUrl","articles_authors_authors_12_author_order","articles_authors_authors_12_full_name","articles_authors_authors_12_id","articles_authors_authors_13_authorUrl","articles_authors_authors_13_author_order","articles_authors_authors_13_full_name","articles_authors_authors_13_id","articles_authors_authors_14_authorUrl","articles_authors_authors_14_author_order","articles_authors_authors_14_full_name","articles_authors_authors_14_id","articles_authors_authors_15_authorUrl","articles_authors_authors_15_author_order","articles_authors_authors_15_full_name","articles_authors_authors_15_id","articles_authors_authors_16_authorUrl","articles_authors_authors_16_author_order","articles_authors_authors_16_full_name","articles_authors_authors_16_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title" 
"Traditionally, sort-middle is a technique that has been difficult to attain on clusters because of the tight coupling of geometry and rasterization processes on commodity graphics hardware. In this paper, we describe the implementation of a new sort-middle approach for performing immediate-mode rendering in Chromium. The Chromium Rendering System is used extensively to drive multi-projector displays on PC clusters with inexpensive commodity graphics components. By default, Chromium uses a sort-first approach to distribute rendering work to individual nodes in a PC cluster. While this sort-first approach works effectively in retained-mode rendering, it suffers from various network bottlenecks when rendering in immediate-mode. Current techniques avoid these bottlenecks by sorting vertex data as a pre-processing step and grouping vertices into specific bounding boxes, using Chromium's bounding box extension. These steps may be expensive, especially if the dataset is dynamic. In our approach, we utilize standard programmable graphics hardware and extend standard APIs to achieve a separation in the rendering pipeline. The pre-processing of vertex data or the grouping of vertices into bounding boxes are not required. Additionally, the amount of OpenGL state commands transmitted through the network are reduced. Our results indicate that the approach can attain twice the frame rates as compared to Chromium's sort-first approach when rendering in immediate-mode.","https://ieeexplore.ieee.org/document/1532784/","LOCKED","1532784","Dept. of Comput. Sci., Idaho Univ., Moscow, ID, USA","https://ieeexplore.ieee.org/author/37558107200","1","J.L. Williams","37558107200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dept. of Comput. Sci., Idaho Univ., Moscow, ID, USA","https://ieeexplore.ieee.org/author/37398872700","2","R.E. Hiromoto","37398872700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532784","110","https://ieeexplore.ieee.org/document/1532784/","","","","","","Chromium","Rendering (computer graphics)","Computer graphics","Personal communication networks","Computer displays","Hardware","Application software","Computer interfaces","Computer networks","Distributed computing","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532784","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","20","103","Sort-middle multi-projector immediate-mode rendering in Chromium"
"Indirect volume rendering is a widespread method for the display of volume datasets. It is based on the extraction of polygonal iso-surfaces from volumetric data, which are then rendered using conventional rasterization methods. Whereas this rendering approach is fast and relatively easy to implement, it cannot easily provide an understandable display of structures occluded by the directly visible iso-surface. Simple approaches like alpha-blending for transparency when drawing the iso-surface often generate a visually complex output, which is difficult to interpret. Moreover, such methods can significantly increase the computational complexity of the rendering process. In this paper, we therefore propose a new approach for the illustrative indirect rendering of volume data in real-time. This algorithm emphasizes the silhouette of objects represented by the iso-surface. Additionally, shading intensities on objects are reproduced with a monochrome hatching technique. Using a specially designed two-pass rendering process, structures behind the front layer of the iso-surface are automatically extracted with a depth peeling method. The shapes of these hidden structures are also displayed as silhouette outlines. As an additional option, the geometry of explicitly specified inner objects can be displayed with constant translucency. Although these inner objects always remain visible, a specific shading and depth attenuation method is used to convey the depth relationships. We describe the implementation of the algorithm, which exploits the programmability of state-of-the-art graphics processing units (GPUs). The algorithm described in this paper does not require any preprocessing of the input data or a manual definition of inner structures. Since the presented method works on iso-surfaces, which are stored as polygonal datasets, it can also be applied to other types of polygonal models.","https://ieeexplore.ieee.org/document/1532855/","LOCKED","1532855","Visual Comput. for Medicine, Tubingen Univ., Germany","https://ieeexplore.ieee.org/author/37551595300","1","J. Fischer","37551595300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Visual Comput. for Medicine, Tubingen Univ., Germany","https://ieeexplore.ieee.org/author/37448237300","2","D. Bartz","37448237300","","https://ieeexplore.ieee.org/author/37356207300","3","W. Strasser","37356207300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","3","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532855","670","https://ieeexplore.ieee.org/document/1532855/","","","","","","Displays","Rendering (computer graphics)","Geometry","Biomedical imaging","Shape","Data mining","Computer graphics","Engines","Image generation","Isosurfaces","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532855","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","21","663","Illustrative display of hidden iso-surface structures"
"The size and resolution of volume datasets in science and medicine are increasing at a rate much greater than the resolution of the screens used to view them. This limits the amount of data that can be viewed simultaneously, potentially leading to a loss of overall context of the data when the user views or zooms into a particular area of interest. We propose a focus+context framework that uses various standard and advanced magnification lens rendering techniques to magnify the features of interest, while compressing the remaining volume regions without clipping them away completely. Some of these lenses can be interactively configured by the user to specify the desired magnification patterns, while others are feature-adaptive. All our lenses are accelerated on the GPU. They allow the user to interactively manage the available screen area, dedicating more area to the more resolution-important features.","https://ieeexplore.ieee.org/document/1532818/","LOCKED","1532818","Center for Visual Comput., Comput. Sci., Stony Brook Univ., NY, USA","https://ieeexplore.ieee.org/author/37280763200","1","L. Wang","37280763200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Center for Visual Comput., Comput. Sci., Stony Brook Univ., NY, USA","https://ieeexplore.ieee.org/author/37067591000","2","Y. Zhao","37067591000","Center for Visual Comput., Comput. Sci., Stony Brook Univ., NY, USA","https://ieeexplore.ieee.org/author/37273119700","3","K. Mueller","37273119700","Center for Visual Comput., Comput. Sci., Stony Brook Univ., NY, USA","https://ieeexplore.ieee.org/author/37268052800","4","A. Kaufman","37268052800","","","","","","","","","","","","","","","","","","","","","","","","","","","30","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532818","374","https://ieeexplore.ieee.org/document/1532818/","","","","","","Lenses","Focusing","Computer graphics","Humans","Image generation","Computer displays","Large screen displays","Rendering (computer graphics)","Retina","Navigation","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532818","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","22","367","The magic volume lens: an interactive focus+context technique for volume rendering"
"Quality surface meshes for molecular models are desirable in the studies of protein shapes and functionalities. However, there is still no robust software that is capable to generate such meshes with good quality. In this paper, we present a Delaunay-based surface triangulation algorithm generating quality surface meshes for the molecular skin model. We expand the restricted union of balls along the surface and generate an /spl epsiv/-sampling of the skin surface incrementally. At the same time, a quality surface mesh is extracted from the Delaunay triangulation of the sample points. The algorithm supports robust and efficient implementation and guarantees the mesh quality and topology as well. Our results facilitate molecular visualization and have made a contribution towards generating quality volumetric tetrahedral meshes for the macromolecules.","https://ieeexplore.ieee.org/document/1532822/","LOCKED","1532822","Sch. of Comput., Nat. Univ. of Singapore, Singapore","https://ieeexplore.ieee.org/author/37280211200","1","H.-L. Cheng","37280211200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sch. of Comput., Nat. Univ. of Singapore, Singapore","https://ieeexplore.ieee.org/author/37275305400","2","X. Shi","37275305400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532822","405","https://ieeexplore.ieee.org/document/1532822/","","","","","","Mesh generation","Skin","Robustness","Visualization","Isosurfaces","Computational biology","Biology computing","Proteins","Shape","Software quality","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532822","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","23","399","Quality mesh generation for molecular skin surfaces using restricted union of balls"
"We describe OpenGL multipipe SDK (MPK), a toolkit for scalable parallel rendering based on OpenGL. MPK provides a uniform application programming interface (API) to manage scalable graphics applications across many different graphics subsystems. MPK-based applications run seamlessly from single-processor, single-pipe desktop systems to large multi-processor, multipipe scalable graphics systems. The application is oblivious of the system configuration, which can be specified through a configuration file at run time. To scale application performance, MPK uses a decomposition system that supports different modes for task partitioning and implements optimized CPU-based composition algorithms. MPK also provides a customizable image composition interface, which can be used to apply post-processing algorithms on raw pixel data obtained from executing sub-tasks on multiple graphics pipes in parallel. This can be used to implement parallel versions of any CPU-based algorithm, not necessarily used for rendering. In this paper, we motivate the need for a scalable graphics API and discuss the architecture of MPK. We present MPK's graphics configuration interface, introduce the notion of compound-based decomposition schemes and describe our implementation. We present some results from our work on a couple of target system architectures and conclude with future directions of research in this area.","https://ieeexplore.ieee.org/document/1532786/","LOCKED","1532786","","https://ieeexplore.ieee.org/author/37284272700","1","Praveen Bhaniramka","37284272700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ieeexplore.ieee.org/author/37561217000","2","P.C.D. Robert","37561217000","","https://ieeexplore.ieee.org/author/37550837300","3","S. Eilemann","37550837300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","1","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532786","126","https://ieeexplore.ieee.org/document/1532786/","","","","","","Rendering (computer graphics)","Computer graphics","Partitioning algorithms","Hardware","Scalability","Computer architecture","Data visualization","Displays","Switches","Silicon","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532786","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","24","119","OpenGL multipipe SDK: a toolkit for scalable parallel rendering"
"We present a new particle tracing approach for the simulation of mid- and high-frequency sound. Inspired by the photorealism obtained by methods like photon mapping, we develop a similar method for the physical simulation of sound within rooms. For given source and listener positions, our method computes a finite-response filter accounting for the different reflections at various surfaces with frequency-dependent absorption coefficients. Convoluting this filter with an anechoic input signal reproduces a realistic aural impression of the simulated room. We do not consider diffraction effects due to low frequencies, since these can be better computed by finite elements. Our method allows the visualization of a wave front propagation using color-coded blobs traversing the paths of individual phonons.","https://ieeexplore.ieee.org/document/1532790/","LOCKED","1532790","TU Kaiserslautern, Germany","https://ieeexplore.ieee.org/author/37282067000","1","M. Bertram","37282067000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TU Kaiserslautern, Germany","https://ieeexplore.ieee.org/author/37282727900","2","E. Deines","37282727900","","https://ieeexplore.ieee.org/author/37543023400","3","J. Mohring","37543023400","","https://ieeexplore.ieee.org/author/37550794800","4","J. Jegorovs","37550794800","","https://ieeexplore.ieee.org/author/37282578800","5","H. Hagen","37282578800","","","","","","","","","","","","","","","","","","","","","","11","6","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532790","158","https://ieeexplore.ieee.org/document/1532790/","","","","","","Phonons","Visualization","Computational modeling","Frequency","Layout","Acoustic propagation","Absorption","Computer simulation","Acoustic applications","Computer graphics","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532790","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","25","151","Phonon tracing for auralization and visualization of sound"
"Traditionally, time-varying data has been visualized using snapshots of the individual time steps or an animation of the snapshots shown in a sequential manner. For larger datasets with many time-varying features, animation can be limited in its use, as an observer can only track a limited number of features over the last few frames. Visually inspecting each snapshot is not practical either for a large number of time-steps. We propose new techniques inspired from the illustration literature to convey change over time more effectively in a time-varying dataset. Speedlines are used extensively by cartoonists to convey motion, speed, or change over different panels. Flow ribbons are another technique used by cartoonists to depict motion in a single frame. Strobe silhouettes are used to depict previous positions of an object to convey the previous positions of the object to the user. These illustration-inspired techniques can be used in conjunction with animation to convey change over time.","https://ieeexplore.ieee.org/document/1532857/","LOCKED","1532857","Maryland Univ., Baltimore, MD, USA","https://ieeexplore.ieee.org/author/37278517400","1","A. Joshi","37278517400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Maryland Univ., Baltimore, MD, USA","https://ieeexplore.ieee.org/author/37282292000","2","P. Rheingans","37282292000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532857","686","https://ieeexplore.ieee.org/document/1532857/","","","","","","Data visualization","Feature extraction","Animation","Birds","Weather forecasting","Ultrasonic imaging","Data analysis","Algorithm design and analysis","Data mining","Humans","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532857","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","26","679","Illustration-inspired techniques for visualizing time-varying data"
"This paper presents a novel approach for surface reconstruction from point clouds. The proposed technique is general in the sense that it naturally handles both manifold and non-manifold surfaces, providing a consistent way for reconstructing closed surfaces as well as surfaces with boundaries. It is also robust in the presence of noise, irregular sampling and surface gaps. Furthermore, it is fast, parallelizable and easy to implement because it is based on simple local operations. In this approach, surface reconstruction consists of three major steps: first, the space containing the point cloud is subdivided, creating a voxel representation. Then, a voxel surface is computed using gap filling and topological thinning operations. Finally, the resulting voxel surface is converted into a polygonal mesh. We demonstrate the effectiveness of our approach by reconstructing polygonal models from range scans of real objects as well as from synthetic data.","https://ieeexplore.ieee.org/document/1532824/","LOCKED","1532824","Stony Brook Univ., NY, USA","https://ieeexplore.ieee.org/author/37280545800","1","J. Wang","37280545800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ieeexplore.ieee.org/author/37554064200","2","M.M. Oliveira","37554064200","","https://ieeexplore.ieee.org/author/37268052800","3","A.E. Kaufman","37268052800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532824","422","https://ieeexplore.ieee.org/document/1532824/","","","","","","Surface reconstruction","Clouds","Noise robustness","Sampling methods","Computer graphics","Topology","Computational geometry","Chromium","Virtual reality","Application software","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532824","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","27","415","Reconstructing manifold and non-manifold surfaces from point clouds"
"VisTrails is a new system that enables interactive multiple-view visualizations by simplifying the creation and maintenance of visualization pipelines, and by optimizing their execution. It provides a general infrastructure that can be combined with existing visualization systems and libraries. A key component of VisTrails is the visualization trail (vistrail), a formal specification of a pipeline. Unlike existing dataflow-based systems, in VisTrails there is a clear separation between the specification of a pipeline and its execution instances. This separation enables powerful scripting capabilities and provides a scalable mechanism for generating a large number of visualizations. VisTrails also leverages the vistrail specification to identify and avoid redundant operations. This optimization is especially useful while exploring multiple visualizations. When variations of the same pipeline need to be executed, substantial speedups can be obtained by caching the results of overlapping subsequences of the pipelines. In this paper, we describe the design and implementation of VisTrails, and show its effectiveness in different application scenarios.","https://ieeexplore.ieee.org/document/1532788/","LOCKED","1532788","Sci. Comput. & Imaging Inst., Utah Univ., Salt Lake City, UT, USA","https://ieeexplore.ieee.org/author/37565304300","1","L. Bavoil","37565304300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sci. Comput. & Imaging Inst., Utah Univ., Salt Lake City, UT, USA","https://ieeexplore.ieee.org/author/37426872800","2","S.P. Callahan","37426872800","","https://ieeexplore.ieee.org/author/37282576500","3","P.J. Crossno","37282576500","","https://ieeexplore.ieee.org/author/37283149600","4","J. Freire","37283149600","","https://ieeexplore.ieee.org/author/37550809300","5","C.E. Scheidegger","37550809300","","https://ieeexplore.ieee.org/author/37275249200","6","C.T. Silva","37275249200","https://ieeexplore.ieee.org/author/37549893300","7","H.T. Vo","37549893300","","","","","","","","","","","","","52","6","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532788","142","https://ieeexplore.ieee.org/document/1532788/","","","","","","Pipelines","Data visualization","Rivers","Power generation","Mouth","User interfaces","Graphical user interfaces","Graphics","Visual databases","Demand forecasting","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532788","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","28","135","VisTrails: enabling interactive multiple-view visualizations"
"We present a practical and general-purpose approach to large and complex visual data analysis where visualization processing, rendering and subsequent human interpretation is constrained to the subset of data deemed interesting by the user. In many scientific data analysis applications, ""interesting"" data can be defined by compound Boolean range queries of the form (temperature>1000) AND (70<pressure<90). As data sizes grow larger, a central challenge is to answer such queries as efficiently as possible. Prior work in the visualization community has focused on answering range queries for scalar fields within the context of accelerating the search phase of isosurface algorithms. In contrast, our work describes an approach that leverages state-of-the-art indexing technology from the scientific data management community called ""bitmap indexing"". Our implementation, which we call ""DEX"" (short for dextrous data explorer), uses bitmap indexing to efficiently answer multivariate, multidimensional data queries to provide input to a visualization pipeline. We present an analysis overview and benchmark results that show bitmap indexing offers significant storage and performance improvements when compared to previous approaches for accelerating the search phase of isosurface algorithms. More importantly, since bitmap indexing supports complex multidimensional, multivariate range queries, it is more generally applicable to scientific data visualization and analysis problems. In addition to benchmark performance and analysis, we apply DEX to a typical scientific visualization problem encountered in combustion simulation data analysis.","https://ieeexplore.ieee.org/document/1532792/","LOCKED","1532792","Computational Res. Div., Lawrence Berkeley Lab., CA, USA","https://ieeexplore.ieee.org/author/37283413300","1","K. Stockinger","37283413300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Computational Res. Div., Lawrence Berkeley Lab., CA, USA","https://ieeexplore.ieee.org/author/37281789600","2","J. Shalf","37281789600","Computational Res. Div., Lawrence Berkeley Lab., CA, USA","https://ieeexplore.ieee.org/author/37278663800","3","K. Wu","37278663800","Computational Res. Div., Lawrence Berkeley Lab., CA, USA","https://ieeexplore.ieee.org/author/38550755500","4","E.W. Bethel","38550755500","","","","","","","","","","","","","","","","","","","","","","","","","","","23","3","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532792","174","https://ieeexplore.ieee.org/document/1532792/","","","","","","Data visualization","Indexing","Data analysis","Acceleration","Isosurfaces","Multidimensional systems","Performance analysis","Humans","Temperature distribution","Technology management","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532792","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","29","167","Query-driven visualization of large data sets"
"Line primitives are a very powerful visual attribute used for scientific visualization and in particular for 3D vector-field visualization. We extend the basic line primitives with additional visual attributes including color, line width, texture and orientation. To implement the visual attributes we represent the stylized line primitives as generalized cylinders. One important contribution of our work is an efficient rendering algorithm for stylized lines, which is hybrid in the sense that it uses both CPU and GPU based rendering. We improve the depth perception with a shadow algorithm. We present several applications for the visualization with stylized lines among which are the visualizations of 3D vector fields and molecular structures.","https://ieeexplore.ieee.org/document/1532859/","LOCKED","1532859","Max-Planck-Inst. fur Inf., Saarbrucken, Germany","https://ieeexplore.ieee.org/author/37294992500","1","C. Stoll","37294992500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Max-Planck-Inst. fur Inf., Saarbrucken, Germany","https://ieeexplore.ieee.org/author/37565742800","2","S. Gumhold","37565742800","Max-Planck-Inst. fur Inf., Saarbrucken, Germany","https://ieeexplore.ieee.org/author/37271851300","3","H.-P. Seidel","37271851300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532859","702","https://ieeexplore.ieee.org/document/1532859/","","","","","","Data visualization","Rendering (computer graphics)","Navigation","Image quality","Application software","Chromium","Computer graphics","Lighting","Uninterruptible power systems","Geometry","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532859","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","30","695","Visualization with stylized line primitives"
"We introduce a technique to visualize the gradual evolutionary change of the shapes of living things as a morph between known three-dimensional shapes. Given geometric computer models of anatomical shapes for some collection of specimens - here the skulls of the some of the extant members of a family of monkeys - an evolutionary tree for the group implies a hypothesis about the way in which the shape changed through time. We use a statistical model which expresses the value of some continuous variable at an internal point in the tree as a weighted average of the values at the leaves. The framework of geometric morphometrics can then be used to define a shape-space, based on the correspondences of landmark points on the surfaces, within which these weighted averages can be realized as actual surfaces. Our software provides tools for performing and visualizing such an analysis in three dimensions. Beginning with laser range scans of crania, we use our landmark editor to interactively place landmark points on the surface. We use these to compute a ""tree-morph"" that smoothly interpolates the shapes across the tree. Each intermediate shape in the morph is a linear combination of all of the input surfaces. We create a surface model for an intermediate shape by warping all the input meshes towards the correct shape and then blending them together. To do the blending, we compute a weighted average of their associated trivariate distance functions and then extract a surface from the resulting function. We implement this idea using the squared distance function, rather than the usual signed distance function, in a novel way.","https://ieeexplore.ieee.org/document/1532826/","LOCKED","1532826","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37282066500","1","D.F. Wiley","37282066500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37565128700","2","N. Amenta","37565128700","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/38274691700","3","D.A. Alcantara","38274691700","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/38275103600","4","D. Ghosh","38275103600","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/38273169100","5","Y.J. Kil","38273169100","","https://ieeexplore.ieee.org/author/38274069300","6","E. Delson","38274069300","https://ieeexplore.ieee.org/author/38277123500","7","W. Harcourt-Smith","38277123500","https://ieeexplore.ieee.org/author/38180785300","8","F.J. Rohlf","38180785300","https://ieeexplore.ieee.org/author/38271062200","9","K. St John","38271062200","https://ieeexplore.ieee.org/author/37282068700","10","B. Hamann","37282068700","55","1","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532826","438","https://ieeexplore.ieee.org/document/1532826/","","","","","","Shape","Surface morphology","Evolution (biology)","Statistical analysis","Data visualization","Genomics","Bioinformatics","Skull","Humans","Data analysis","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532826","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","31","431","Evolutionary morphing"
"Gaining a comprehensive understanding of turbulent flows still poses one of the great challenges in fluid dynamics. A well-established approach to advance this research is the analysis of the vortex structures contained in the flow. In order to be able to perform this analysis efficiently, supporting visualization tools with clearly defined requirements are needed. In this paper, we present a visualization system which matches these requirements to a large extent. The system consists of two components. The first component analyzes the flow by means of a novel combination of vortex core line detection and the /spl lambda//sub 2/ method. The second component is a vortex browser which allows for an interactive exploration and manipulation of the vortices detected and separated during the first phase. Our system improves the reliability and applicability of existing vortex detection methods and allows for a more efficient study of vortical flows which is demonstrated in an evaluation performed by experts.","https://ieeexplore.ieee.org/document/1532830/","LOCKED","1532830","Inst. for Visualization & Interactive Syst., Stuttgart Univ., Germany","https://ieeexplore.ieee.org/author/37267809900","1","S. Stegmaier","37267809900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ieeexplore.ieee.org/author/37397347800","2","U. Rist","37397347800","","https://ieeexplore.ieee.org/author/37085368197","3","T. Ertl","37085368197","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532830","470","https://ieeexplore.ieee.org/document/1532830/","","","","","","Data visualization","Aerodynamics","Computational modeling","Isosurfaces","Interactive systems","Computer graphics","Computer worms","Performance analysis","Phase detection","Performance evaluation","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532830","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","32","463","Opening the can of worms: an exploration tool for vortical flows"
