"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation_0","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_insert_date","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Information visualization encounters a wide variety of different data domains. The visualization community has developed representation methods and interactive techniques. As a community, we have realized that the requirements in each domain are often dramatically different. In order to easily apply existing methods, researchers have developed a semiology of graphic representations. We have extended this research into a framework that includes operators and interactions in visualization systems, such as a visualization spreadsheet. We discuss properties of this framework and use it to characterize operations spanning a variety of different visualization techniques. The framework developed in the paper enables a new way of exploring and evaluating the design space of visualization operators, and helps end users in their analysis tasks.","https://ieeexplore.ieee.org/document/729560/","LOCKED","729560","Department of Computer Science and Engineering, University of Minnesota, USA","Department of Computer Science and Engineering, University of Minnesota, USA","https://ieeexplore.ieee.org/author/37088132215","1","Ed Huai-Hsin Chi","37088132215","Department of Computer Science and Engineering, University of Minnesota, USA","Department of Computer Science and Engineering, University of Minnesota, USA","https://ieeexplore.ieee.org/author/37282873000","2","J.T. Riedl","37282873000","","","","","","","","","","","","","","","","","","","32","1","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729560","926","70","https://ieeexplore.ieee.org/document/729560/","Data visualization","Scattering","Computer science","Graphics","Displays","Filters","File systems","Humans","Couplings","Pipelines","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729560","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","11","63","An operator interaction framework for visualization systems"
"To gain insight and understanding of complex information collections, users must be able to visualize and explore many facets of the information. The paper presents several novel visual methods from an information analyst's perspective. The authors present a sample scenario, using the various methods to gain a variety of insights from a large information collection. They conclude that no single paradigm or visual method is sufficient for many analytical tasks. Often a suite of integrated methods offers a better analytic environment in today's emerging culture of information overload and rapidly changing issues. They also conclude that the interactions among these visual paradigms are equally as important as, if not more important than, the paradigms themselves.","https://ieeexplore.ieee.org/document/729570/","LOCKED","729570","Pacific Northwest National Laboratory, USA","Pacific Northwest National Laboratory, USA","https://ieeexplore.ieee.org/author/37374614800","1","B. Hetzler","37374614800","Pacific Northwest National Laboratory, USA","Pacific Northwest National Laboratory, USA","https://ieeexplore.ieee.org/author/37363311600","2","P. Whitney","37363311600","Pacific Northwest National Laboratory, USA","Pacific Northwest National Laboratory, USA","https://ieeexplore.ieee.org/author/37372798600","3","L. Martucci","37372798600","Pacific Northwest National Laboratory, USA","Pacific Northwest National Laboratory, USA","https://ieeexplore.ieee.org/author/37273308900","4","J. Thomas","37273308900","","","","","","","27","10","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729570","222","144","https://ieeexplore.ieee.org/document/729570/","Information analysis","Laboratories","Ontologies","Text analysis","Information retrieval","Data visualization","Taxonomy","Filters","Prototypes","Government","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729570","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","12","137","Multi-faceted insight through interoperable visual information analysis paradigms"
"Information visualization focuses on the use of visual means for exploring non-visual information. While free-form text is a rich, common source of information, visualization of text is a challenging problem since text is inherently non-spatial. The paper explores the use of implicit surface models for visualizing text. The authors describe several techniques for text visualization that aid in understanding document content and document relationships. A simple method is defined for mapping document content to shape. By comparing the shapes of multiple documents, global content similarities and differences may be noted. In addition, they describe a visual clustering method in which documents are arranged in 3D based upon similarity scoring. Documents deemed closely related blend together as a single connected shape. Hence, a document corpus becomes a collection of shapes that reflect inter-document relationships. These techniques provide methods to visualize individual documents as well as corpus meta-data. They then combine the two techniques to produce transparent clusters enclosing individual document shapes. This provides a way to visualize both local and global contextual information. Finally, they elaborate on several potential applications of these methods.","https://ieeexplore.ieee.org/document/729568/","LOCKED","729568","Department of EECS, George Washington University, USA","Department of EECS, George Washington University, USA","https://ieeexplore.ieee.org/author/37373506600","1","R.M. Rohrer","37373506600","CSEE Department, University of Maryland Baltimore County, USA","CSEE Department, University of Maryland Baltimore County, USA","https://ieeexplore.ieee.org/author/37282598900","2","D.S. Ebert","37282598900","Department of EECS, George Washington University, USA","Department of EECS, George Washington University, USA","https://ieeexplore.ieee.org/author/37265573100","3","J.L. Sibert","37265573100","","","","","","","","","","","","","22","4","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729568","323","129","https://ieeexplore.ieee.org/document/729568/","Visualization","Shape control","Humans","Self organizing feature maps","Neural networks","Scattering","Navigation","Information analysis","Amorphous materials","Animation","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729568","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","13","121","The shape of Shakespeare: visualizing text using implicit surfaces"
"A number of usability studies report that many users of the WWW cannot find pages already visited, additionally many users cannot visualise where they are, or where they have been browsing. Currently, readily available WWW browsers provide history mechanisms that offer little or no support in the presentation and manipulation of visited sites. Manipulation and presentation of usage data, such as a browse history has been used in a number of cases to aid users in searching for previously attained data, and to teach or assist other users in their browse or searching techniques. The paper presents a virtual reality (VR) based application to be used alongside traditional Web browsers, which provides them with a flexibly tailorable real time visualisation of their history.","https://ieeexplore.ieee.org/document/729553/","LOCKED","729553","Swedish Institute of Computer Science, Kista, Sweden","Swedish Institute of Computer Science, Kista, Sweden","https://ieeexplore.ieee.org/author/37265491900","1","E. Frecon","37265491900","Computing Department, Lancaster University, Lancaster, UK","Computing Department, Lancaster University, Lancaster, UK","https://ieeexplore.ieee.org/author/37087260028","2","G. Smith","37087260028","","","","","","","","","","","","","","","","","","","17","21","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729553","231","10","https://ieeexplore.ieee.org/document/729553/","History","Virtual reality","World Wide Web","Visualization","Usability","Navigation","Computer graphics","Computer science","Chromium","Electrical capacitance tomography","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729553","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","14","3","WEBPATH-a three dimensional Web history"
"We present a new visualization technique, called RDT (Reconfigurable Disc Tree) which can alleviate the disadvantages of cone trees significantly for large hierarchies while maintaining its context of using 3D depth. In RDT, each node is associated with a disc, around which its children are placed. Using discs instead of cones as the basic shape in RDT has several advantages: significant reduction of occluded region, sharp increase in number of displayed nodes, and easy projection onto plane without visual overlapping. We show that RDT can greatly enhance user perception by transforming its shapes dynamically in several ways: (1) disc tree which can significantly reduce the occluded region by the foreground objects; (2) compact disc tree which can increase the number of nodes displayed on the screen; and (3) plane disc tree which can be mapped onto the plane without visual overlapping. We describe an implementation of our visualization system called VISIT (Visual Information System for reconfigurable dIsc tree). It provides 2D and 3D layouts for RDT and various user interface features such as tree reconfiguration, tree transformation, tree shading, viewing transformation, animation, selection and browsing which can enhance the user perception and navigation capabilities. We also evaluate our system using the following three metrics: percentage of occlusion, density of displayed nodes on a screen, and number of identifiable nodes.","https://ieeexplore.ieee.org/document/729555/","LOCKED","729555","Department of Electronics Engineering, Korea University, Seoul, South Korea","Department of Electronics Engineering, Korea University, Seoul, South Korea","https://ieeexplore.ieee.org/author/37087169964","1","Chang-Sung Jeong","37087169964","Computer Science Department, University of California, Santa Cruz, CA, USA","Computer Science Department, University of California, Santa Cruz, CA, USA","https://ieeexplore.ieee.org/author/37267352000","2","A. Pang","37267352000","","","","","","","","","","","","","","","","","","","17","1","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729555","244","25","https://ieeexplore.ieee.org/document/729555/","Visualization","Tree graphs","Shape","Space technology","Maintenance engineering","Computer science","Lapping","Information systems","User interfaces","Animation","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729555","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","15","19","Reconfigurable disc trees for visualizing large hierarchical information space"
"We present IVORY a newly developed, platform-independent framework for physics based visualization. IVORY is especially designed for information visualization applications and multidimensional graph layout. It is fully implemented in Java 1.1 and its architecture features client server setup, which allows us to run the visualization even on thin clients. In addition, VRML 2.0 exports can be viewed by any VRML plugged-in WWW browser. Individual visual metaphors are invoked into IVORY via an advanced plug-in mechanism, where plug-ins can be implemented by any experienced user. The configuration of IVORY is accomplished using a script language, called IVML. Some interactive visualization examples, such as the integration of a haptic interface illustrate the performance and versatility of our system. Our current implementation supports NT 4.0.","https://ieeexplore.ieee.org/document/729562/","LOCKED","729562","Department of Computer Science, Swiss Federal Institute of Technology, Zurich, Switzerland","Department of Computer Science, Swiss Federal Institute of Technology, Zurich, Switzerland","https://ieeexplore.ieee.org/author/37374656700","1","T.C. Sprenger","37374656700","Department of Computer Science, Swiss Federal Institute of Technology, Zurich, Switzerland","Department of Computer Science, Swiss Federal Institute of Technology, Zurich, Switzerland","https://ieeexplore.ieee.org/author/37275694700","2","M.H. Gross","37275694700","Department of Computer Science, Swiss Federal Institute of Technology, Zurich, Switzerland","Department of Computer Science, Swiss Federal Institute of Technology, Zurich, Switzerland","https://ieeexplore.ieee.org/author/37374656400","3","D. Bielser","37374656400","Department of Computer Science, Swiss Federal Institute of Technology, Zurich, Switzerland","Department of Computer Science, Swiss Federal Institute of Technology, Zurich, Switzerland","https://ieeexplore.ieee.org/author/37370045100","4","T. Strasser","37370045100","","","","","","","7","3","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729562","84","86","https://ieeexplore.ieee.org/document/729562/","Java","Data visualization","Application software","Libraries","Data mining","Multidimensional systems","Computer science","Plugs","Haptic interfaces","Object oriented modeling","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729562","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","16","79","IVORY-an object-oriented framework for physics-based information visualization in Java"
"Algorithm animation systems and graphical debuggers perform the task of translating program state into visual representations. While algorithm animations typically rely on user augmented source code to produce visualizations, debuggers make use of symbolic information in the target program. As a result, visualizations produced by debuggers often lack important semantic content, making them inferior to algorithm animation systems. The paper presents a method to provide higher level, more informative visualizations in a debugger using a technique called traversal based visualization. The debugger traverses a data structure using a set of user supplied patterns to identify parts of the data structure to be drawn a similar way. A declarative language is used to specify the patterns and the actions to take when the patterns are encountered. Alternatively, the user can construct traversal specifications through a graphical user interface to the declarative language. Furthermore, the debugger supports modification of data. Changes made to the on-screen representation are reflected in the underlying data.","https://ieeexplore.ieee.org/document/729554/","LOCKED","729554","Department of Computer Science, Princeton University, Princeton, NJ, USA","Department of Computer Science, Princeton University, Princeton, NJ, USA","https://ieeexplore.ieee.org/author/38179814200","1","J.L. Korn","38179814200","Department of Computer Science, Princeton University, Princeton, NJ, USA","Department of Computer Science, Princeton University, Princeton, NJ, USA","https://ieeexplore.ieee.org/author/37339549500","2","A.W. Appel","37339549500","","","","","","","","","","","","","","","","","","","4","0","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729554","130","18","https://ieeexplore.ieee.org/document/729554/","Data visualization","Data structures","Animation","Displays","Software algorithms","Debugging","Computer science","Graphical user interfaces","Chromium","Image generation","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729554","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","17","11","Traversal-based visualization of data structures"
"Protein fold recognition (threading) involves the prediction of a protein's three-dimensional shape based on its similarity to a protein whose structure is known. Fold predictions are low resolution; no effort is made to rotate the protein's component amino acid side chains into their correct spatial orientations. Rather, the goal is to recognize the protein family member that most closely resembles the target sequence of unknown structure and to create a sensible alignment of the target to the structure (i.e., a structure-sequence alignment). To complement this structure prediction method the authors have implemented a low resolution molecular graphics tool. Since amino acid side chain orientation is not relevant in fold recognition, amino acid residues are represented by abstract shapes or glyphs much like Lego/sup TM/ blocks. They also borrow techniques from comparative streamline visualization to provide clean depictions of the entire protein structure model. By creating a low resolution representation of protein structure, they are able to approximately double the amount of information on the screen. This implementation also possesses the advantage of eliminating distracting and possibly misleading visual clutter resulting from the mapping of protein alignment information onto a high resolution display of a known structure.","https://ieeexplore.ieee.org/document/729566/","LOCKED","729566","Computer Science Department, University of California, Santa Cruz, USA","Computer Science Department, University of California, Santa Cruz, USA","https://ieeexplore.ieee.org/author/37087260558","1","M. Hansen","37087260558","Computer Science Department, University of California, Santa Cruz, USA","Computer Science Department, University of California, Santa Cruz, USA","https://ieeexplore.ieee.org/author/37087261775","2","D. Meads","37087261775","Computer Science Department, University of California, Santa Cruz, USA","Computer Science Department, University of California, Santa Cruz, USA","https://ieeexplore.ieee.org/author/37267352000","3","A. Pang","37267352000","","","","","","","","","","","","","3","0","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729566","114","110","https://ieeexplore.ieee.org/document/729566/","Amino acids","Protein engineering","Data visualization","Shape","Spatial resolution","Displays","Bioinformatics","Computer science","Target recognition","Prediction methods","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729566","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","18","106","Comparative visualization of protein structure-sequence alignments"
"Presents an index of the authors whose papers are published in the conference.","","EPHEMERA","729571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729571","32","162","https://ieeexplore.ieee.org/document/729571/","","","","","","","","","","","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729571","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","19","162","Index of authors"
"Presents the title page of the proceedings record.","","EPHEMERA","729552","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729552","135","","https://ieeexplore.ieee.org/document/729552/","","","","","","","","","","","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729552","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","20","iii","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)"
