"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_issn","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"We are studying difficult geometric problems in computer-aided mechanical design where visualization plays a key role. The research addresses the fundamental design task of contact analysis: deriving the part contacts and the ensuing motion constraints in a mechanical system. We have automated contact analysis of general planar systems via configuration space computation. Configuration space is a geometric representation of rigid-body interaction that encodes quantitative information, such as part motion paths, and qualitative information, such as system failure modes. The configuration space dimension equals the number of degrees of freedom in the system. Three-dimensional spaces are most important, but higher-dimensions are often useful. The qualitative aspects, which relate to the topology of the configuration space, are best understood by visualization. We explain what configuration space is, how it encodes contact information, and what research challenges it poses for visualization.","https://ieeexplore.ieee.org/document/745349/","LOCKED","745349","Purdue Univ., West Lafayette, IN, USA","https://ieeexplore.ieee.org/author/37282563500","1","E. Sacks","37282563500","https://ieeexplore.ieee.org/author/37371987800","2","L. Joskowicz","37371987800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745349","486","Visualization","Mechanical systems","Pervasive computing","Biomedical computing","Computer science","Software prototyping","Software design","Shape measurement","Motion pictures","Cameras","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745349","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","11","483","Configuration space visualization for mechanical design"
"","https://ieeexplore.ieee.org/document/745353/","LOCKED","745353","University of North Carolina at Chapel Hill","","1","S. Uselton","","","2","J. Ahrens","","","3","W. Bethel","","","4","L. Treinish","","","5","A. State","","","","","","","","","","","","","","","","","","2","0","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745353","504","Data analysis","Computational modeling","Atmospheric modeling","Data visualization","Medical simulation","Nuclear weapons","Testing","Laboratories","Application software","Acceleration","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745353","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","12","501","Multi-Source Data Analysis Challenges"
"This paper presents techniques for interactively visualizing tensor fields using deformations. The conceptual idea behind this approach is to allow the tensor field to manifest its influence on idealized objects placed within the tensor field. This is similar, though not exactly the same, to surfaces deforming under load in order to relieve built up stress and strain. We illustrate the effectiveness of the Deviator-Isotropic tensor decomposition in deformation visualizations of CFD strain rate. We also investigate how directional flow techniques can be extended to distinguish between regions of tensile versus compressive forces.","https://ieeexplore.ieee.org/document/745316/","LOCKED","745316","Dept. of Comput. Sci., California Univ., Santa Cruz, CA, USA","https://ieeexplore.ieee.org/author/37372278100","1","E. Boring","37372278100","https://ieeexplore.ieee.org/author/37267352000","2","A. Pang","37267352000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","2","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745316","304","Tensile stress","Data visualization","Capacitive sensors","Computational fluid dynamics","Data engineering","Liquid crystals","Fluid flow measurement","Geologic measurements","Mechanical variables measurement","Force measurement","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745316","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","13","297","Interactive deformations from tensor fields"
"We attack the problem of image based rendering with occlusions and general camera motions by using distorted multiperspective images; such images provide multiple viewpoint photometry similar to the paintings of cubist artists. We take scene geometry, in contrast, to be embodied in mappings of viewing rays from their original 3D intercepts into the warped multiperspective image space. This approach allows us to render approximations of scenes with occlusions using time dense and spatially sparse sequences of camera rays, which is a significant improvement over the storage requirements of an equivalent animation sequence. Additional data compression can be achieved using sparse time keyframes as well. Interpolating the paths of sparse time key rays correctly in image space requires singular interpolation functions with spatial discontinuities. While there are many technical questions yet to be resolved, the employment of these singular interpolation functions in the multiperspective image space appears to be of potential interest for generating general viewpoint scene renderings with minimal data storage.","https://ieeexplore.ieee.org/document/745320/","LOCKED","745320","Indiana Univ., Bloomington, IN, USA","https://ieeexplore.ieee.org/author/37333439100","1","A.J. Hanson","37333439100","https://ieeexplore.ieee.org/author/37371964800","2","E.A. Wernert","37371964800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745320","334","Rendering (computer graphics)","Layout","Cameras","Interpolation","Photometry","Painting","Geometry","Animation","Data compression","Spatial resolution","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745320","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","14","327","Image-based rendering with occlusions via cubist images"
"Scalar fields arise in every scientific application. Existing scalar visualization techniques require that the user infers the global scalar structure from what is frequently an insufficient display of information. We present a visualization technique which numerically detects the structure at all scales, removing from the user the responsibility of extracting information implicit in the data, and presenting the structure explicitly for analysis. We further demonstrate how scalar topology detection proves useful for correct visualization and image processing applications such as image co-registration, isocontouring, and mesh compression.","https://ieeexplore.ieee.org/document/745284/","LOCKED","745284","Dept. of Comput. Sci., Texas Univ., Austin, TX, USA","https://ieeexplore.ieee.org/author/37282899200","1","C.L. Bajaj","37282899200","https://ieeexplore.ieee.org/author/37284312600","2","V. Pascucci","37284312600","https://ieeexplore.ieee.org/author/37355637500","3","D.R. Schikore","37355637500","","","","","","","","","","","","","","","","","","","","","","","","","21","5","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745284","58","Topology","Data visualization","Displays","Data mining","Scientific computing","Laboratories","Application software","Information analysis","Image processing","Medical services","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745284","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","15","51","Visualization of scalar topology for structural enhancement"
"","https://ieeexplore.ieee.org/document/745355/","LOCKED","745355","University of Minnesota Computer Scientist","","1","D. Laidlaw","","","2","D. Kremers","","","3","V. Interrante","","","4","F. Frankel","","","5","T. Banchoff","","","","","","","","","","","","","","","","","","1","0","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745355","509","Art","Visualization","Petroleum","Painting","Humans","Mathematics","Biology computing","Concurrent computing","Bandwidth","Concrete","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745355","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","16","507","Art and Visualization: Oil and Water?"
"We show that it is feasible to perform interactive isosurfacing of very large rectilinear datasets with brute-force ray tracing on a conventional (distributed) shared-memory multiprocessor machine. Rather than generate geometry representing the isosurface and render with a z-buffer, for each pixel we trace a ray through a volume and do an analytic isosurface intersection computation. Although this method has a high intrinsic computational cost, its simplicity and scalability make it ideal for large datasets on current high-end systems. Incorporating simple optimizations, such as volume bricking and a shallow hierarchy, enables interactive rendering (i.e. 10 frames per second) of the 1 GByte full resolution Visible Woman dataset on an SGI Reality Monster. The graphics capabilities of the Reality Monster are used only for display of the final color image.","https://ieeexplore.ieee.org/document/745713/","LOCKED","745713","Dept. of Comput. Sci., Utah Univ., Salt Lake City, UT, USA","https://ieeexplore.ieee.org/author/37361048100","1","S. Parker","37361048100","https://ieeexplore.ieee.org/author/37266808400","2","P. Shirley","37266808400","https://ieeexplore.ieee.org/author/37282553200","3","Y. Livnat","37282553200","https://ieeexplore.ieee.org/author/37266777200","4","C. Hansen","37266777200","https://ieeexplore.ieee.org/author/37373213900","5","P.-P. Sloan","37373213900","","","","","","","","","","","","","","","","","114","47","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745713","238","Ray tracing","Isosurfaces","Rendering (computer graphics)","Hardware","Computer science","Computational geometry","Computational efficiency","Scalability","Computer graphics","Displays","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745713","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","17","233","Interactive ray tracing for isosurface rendering"
"We develop multiresolution models for analyzing and visualizing two-dimensional flows over curvilinear grids. Our models are based upon nested spaces of piecewise defined functions defined over nested curvilinear grid domains. The nested domains are selected so as to maintain the original geometry of the inner boundary. We first give the refinement and decomposition equations for Haar wavelets over these domains. Next, using lifting techniques we develop and show examples of piecewise linear wavelets over curvilinear grids.","https://ieeexplore.ieee.org/document/745318/","LOCKED","745318","Dept. of Comput. Sci. & Eng., Arizona State Univ., Tempe, AZ, USA","https://ieeexplore.ieee.org/author/37283754100","1","G.M. Nielson","37283754100","https://ieeexplore.ieee.org/author/37366444500","2","Il.-H. Jung","37366444500","https://ieeexplore.ieee.org/author/37362401700","3","J. Sung","37362401700","","","","","","","","","","","","","","","","","","","","","","","","","3","1","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745318","317","Data visualization","Image reconstruction","Computer science","Maintenance engineering","Geometry","Wavelet domain","Piecewise linear techniques","Computer graphics","Equations","Mathematical model","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745318","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","18","313","Wavelets over curvilinear grids"
"Generation of a three-dimensional model from an unorganized set of points is an active area of research in computer graphics. Alpha shapes can be employed to construct a surface which most closely reflects the object described by the points. However, no /spl alpha/-shape, for any value of /spl alpha/, can properly detail discontinuous regions of a model. We introduce herein two methods of improving the results of reconstruction using /spl alpha/-shapes: density-scaling, which modulates the value of a depending on the density of points in a region; and anisotropic shaping, which modulates the form of the /spl alpha/-ball based on point normals. We give experimental results that show the successes and limitations of our method.","https://ieeexplore.ieee.org/document/745286/","LOCKED","745286","Lab. for Comput. Sci., MIT, Cambridge, MA, USA","https://ieeexplore.ieee.org/author/37369233200","1","M. Teichmann","37369233200","https://ieeexplore.ieee.org/author/37347604500","2","M. Capps","37347604500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","1","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745286","72","Surface reconstruction","Anisotropic magnetoresistance","Shape","Image reconstruction","Sampling methods","Rough surfaces","Surface roughness","Tensile stress","Laboratories","Computer science","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745286","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","19","67","Surface reconstruction with anisotropic density-scaled alpha shapes"
"We are interested in feature extraction from volume data in terms of coherent surfaces and 3D space curves. The input can be an inaccurate scalar or vector field, sampled densely or sparsely on a regular 3D grid, in which poor resolution and the presence of spurious noisy samples make traditional iso-surface techniques inappropriate. In this paper, we present a general-purpose methodology to extract surfaces or curves from a digital 3D potential vector field {(s,v~)}, in which each voxel holds a scalar s designating the strength and a vector v~ indicating the direction. For scalar, sparse or low-resolution data, we ""vectorize"" and ""densify"" the volume by tensor voting to produce dense vector fields that are suitable as input to our algorithms, the extremal surface and curve algorithms. Both algorithms extract, with sub-voxel precision, coherent features representing local extrema in the given vector field. These coherent features are a hole-free triangulation mesh (in the surface case), and a set of connected, oriented and non-intersecting polyline segments (in the curve case). We demonstrate the general usefulness of both extremal algorithms on a variety of real data by properly extracting their inherent extremal properties, such as (a) shock waves induced by abrupt velocity or direction changes in a flow field, (b) interacting vortex cores and vorticity lines in a velocity field, (c) crest-lines and ridges implicit in a digital terrain map, and (d) grooves, anatomical lines and complex surfaces from noisy dental data.","https://ieeexplore.ieee.org/document/745290/","LOCKED","745290","Univ. of Southern California, Los Angeles, CA, USA","https://ieeexplore.ieee.org/author/37281400600","1","C.-K. Tang","37281400600","https://ieeexplore.ieee.org/author/37280043300","2","G. Medioni","37280043300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745290","102","Feature extraction","Surface fitting","Data mining","Data visualization","Shock waves","Dentistry","Intelligent robots","Noise shaping","Tensile stress","Voting","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745290","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","20","95","Extremal feature extraction from 3-D vector and noisy scalar fields"
"Spot noise and line integral convolution (LIC) are two texture synthesis techniques for vector field visualization. The two techniques are compared. Continuous directional convolution is used as a common basis for comparing the techniques. It is shown that the techniques are based on the same mathematical concept. Comparisons of the visual appearance of the output and performance of the algorithms are made.","https://ieeexplore.ieee.org/document/745324/","LOCKED","745324","Center for Math. & Comput. Sci., CWI, Amsterdam, Netherlands","https://ieeexplore.ieee.org/author/37327212900","1","W. de Leeuw","37327212900","https://ieeexplore.ieee.org/author/37282925600","2","R. van Liere","37282925600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745324","365","Convolution","Data visualization","Filters","Kernel","Computer graphics","Computational modeling","Analytical models","Computer simulation","Animation","Shape","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745324","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","21","359","Comparing LIC and spot noise"
"Presents a new method for using texture to visualize multi-dimensional data elements arranged on an underlying 3D height field. We hope to use simple texture patterns in combination with other visual features like hue and intensity to increase the number of attribute values we can display simultaneously. Our technique builds perceptual texture elements (or pexels) to represent each data element. Attribute values encoded in the data element are used to vary the appearance of a corresponding pexel. Texture patterns that form when the pexels are displayed can be used to rapidly and accurately explore the dataset. Our pexels are built by controlling three separate texture dimensions: height, density and regularity. Results from computer graphics, computer vision and cognitive psychology have identified these dimensions as important for the formation of perceptual texture patterns. We conducted a set of controlled experiments to measure the effectiveness of these dimensions, and to identify any visual interference that may occur when all three are displayed simultaneously at the same spatial location. Results from our experiments show that these dimensions can be used in specific combinations to form perceptual textures for visualizing multidimensional datasets. We demonstrate the effectiveness of our technique by applying it to two real-world visualization environments: tracking typhoon activity in southeast Asia, and analyzing ocean conditions in the northern Pacific.","https://ieeexplore.ieee.org/document/745292/","LOCKED","745292","North Carolina State Univ., Raleigh, NC, USA","https://ieeexplore.ieee.org/author/37298406100","1","C.G. Healey","37298406100","https://ieeexplore.ieee.org/author/37372253300","2","J.T. Enns","37372253300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","0","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745292","118","Multidimensional systems","Data visualization","Displays","Computer graphics","Computer vision","Psychology","Sea measurements","Interference","Typhoons","Asia","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745292","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","22","111","Building perceptual textures to visualize multidimensional datasets"
"We propose a general paradigm for computing optimal coordinate frame fields that may be exploited to visualize curves and surfaces. Parallel transport framings, which work well for open curves, generally fail to have desirable properties for cyclic curves and for surfaces. We suggest that minimal quaternion measure provides an appropriate heuristic generalization of parallel transport. Our approach differs from minimal tangential acceleration approaches due to the addition of ""sliding ring"" constraints that fix one frame axis, but allow an axial rotational freedom whose value is varied in the optimization process. Our fundamental tool is the quaternion Gauss map, a generalization to quaternion space of the tangent map for curves and of the Gauss map for surfaces. The quaternion Gauss map takes 3D coordinate frame fields for curves and surfaces into corresponding curves and surfaces constrained to the space of possible orientations in quaternion space. Standard optimization tools provide application specific means of choosing optimal, e.g., length- or area-minimizing, quaternion frame fields in this constrained space.","https://ieeexplore.ieee.org/document/745326/","LOCKED","745326","Dept. of Comput. Sci., Indiana Univ., Bloomington, IN, USA","https://ieeexplore.ieee.org/author/37333439100","1","A.J. Hanson","37333439100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","2","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745326","382","Quaternions","Gaussian processes","Visualization","Constraint optimization","Computer graphics","Computer science","Robustness","Chromium","Application software","Displays","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745326","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","23","375","Constrained optimal framings of curves and surfaces using quaternion Gauss maps"
"Within biological systems, water molecules undergo continuous stochastic Brownian motion. The diffusion rate can give clues to the structure of the underlying tissues. In some tissues, the rate is anisotropic. Diffusion-rate images can be calculated from diffusion-weighted MRI. A 2D diffusion tensor image (DTI) and an associated anatomical scalar field define seven values at each spatial location. We present two new methods for visually representing DTIs. The first method displays an array of ellipsoids, where the shape of each ellipsoid represents one tensor value. The ellipsoids are all normalized to approximately the same size so that they can be displayed simultaneously in context. The second method uses concepts from oil painting to represent the seven-valued data with multiple layers of varying brush strokes. Both methods successfully display most or all of the information in DTIs and provide exploratory methods for understanding them. The ellipsoid method has a simpler interpretation and explanation than the painting-motivated method; the painting-motivated method displays more of the information and is easier to read quantatively. We demonstrate the methods on images of the mouse spinal cord. The visualizations show significant differences between spinal cords from mice suffering from experimental allergic encephalomyelitis and spinal cords from wild-type mice. The differences are consistent with differences shown histologically and suggest that our new non-invasive imaging methodology and visualization of the results could have early diagnostic value for neurodegenerative diseases.","https://ieeexplore.ieee.org/document/745294/","LOCKED","745294","California Inst. of Technol., Pasadena, CA, USA","https://ieeexplore.ieee.org/author/37275712600","1","D.H. Laidlaw","37275712600","https://ieeexplore.ieee.org/author/37359190700","2","E.T. Ahrens","37359190700","https://ieeexplore.ieee.org/author/37371978600","3","D. Kremers","37371978600","https://ieeexplore.ieee.org/author/37371978400","4","M.J. Avalos","37371978400","https://ieeexplore.ieee.org/author/37368212100","5","R.E. Jacobs","37368212100","https://ieeexplore.ieee.org/author/37371977900","6","C. Readhead","37371977900","","","","","","","","","","","","","64","3","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745294","134","Visualization","Tensile stress","Mice","Spinal cord","Ellipsoids","Displays","Biological systems","Stochastic systems","Anisotropic magnetoresistance","Magnetic resonance imaging","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745294","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","24","127","Visualizing diffusion tensor images of the mouse spinal cord"
"The paper describes the architecture of a data level comparative visualization system and experiences using it to study computational fluid dynamics data and experimental wind tunnel data. We illustrate how the system can be used to compare data sets from different sources, data sets with different resolutions and data sets computed using different mathematical models of fluid flow. Suggested improvements to the system based on user feedback are also discussed.","https://ieeexplore.ieee.org/document/745332/","LOCKED","745332","Dept. of Comput. Sci., California Univ., CA, USA","https://ieeexplore.ieee.org/author/37362345800","1","Q. Shen","37362345800","https://ieeexplore.ieee.org/author/37267352000","2","A. Pang","37267352000","https://ieeexplore.ieee.org/author/37372247300","3","S. Uselton","37372247300","","","","","","","","","","","","","","","","","","","","","","","","","11","1","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745332","418","Computational fluid dynamics","Data visualization","Streaming media","Computer science","Computer architecture","Data flow computing","Mathematical model","Fluid flow","Feedback","Image analysis","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745332","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","25","415","Data level comparison of wind tunnel and computational fluid dynamics data"
"Medical image analysis is shifting from current film oriented light screen environments to computer environments that involve viewing and analyzing large sets of images on a computer screen. Magnetic resonance imaging (MRI) studies, in particular, can involve many images. The paper examines how best to meet the needs of radiologists in a computational environment. To this end, a field study was conducted to observe radiologists' interactions during MRI analysis in the traditional light screen environment. Key issues uncovered involve control over focus and context, dynamic grouping of images and retrieval of images and image groups. To address the problem of focus and context, existing layout adjustment and magnification techniques are explored to provide the most appropriate solution. Our interest is in combining the methodologies of human computer interaction studies with computational presentation possibilities to design a visual environment for the crucial field of medical image analysis.","https://ieeexplore.ieee.org/document/745334/","LOCKED","745334","Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada","https://ieeexplore.ieee.org/author/37372192800","1","J.E. van der Heyden","37372192800","https://ieeexplore.ieee.org/author/37326090900","2","M.S.T. Carpendale","37326090900","https://ieeexplore.ieee.org/author/37372061500","3","K. Inkpen","37372061500","https://ieeexplore.ieee.org/author/37284302300","4","M.S. Atkins","37284302300","","","","","","","","","","","","","","","","","","","","","3","1","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745334","426","Magnetic resonance","Magnetic resonance imaging","Biomedical imaging","Medical diagnostic imaging","Image analysis","Focusing","Magnetic analysis","Hospitals","Image processing","Large screen displays","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745334","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","26","423","Visual presentation of magnetic resonance images"
"Many high-performance isosurface extraction algorithms have been proposed in the past several years as a result of intensive research efforts. When applying these algorithms to large-scale time-varying fields, the storage overhead incurred from storing the search index often becomes overwhelming. This paper proposes an algorithm for locating isosurface cells in time-varying fields. We devise a new data structure, called the temporal hierarchical index tree, which utilizes the temporal coherence that exists in a time-varying field and adaptively coalesces the cells' extreme values over time; the resulting extreme values are then used to create the isosurface cell search index. For a typical time-varying scalar data set, not only does this temporal hierarchical index tree require much less storage space, but also the amount of I/O required to access the indices from the disk at different time steps is substantially reduced. We illustrate the utility and speed of our algorithm with data from several large-scale time-varying CFD simulations. Our algorithm can achieve more than 80% of disk-space savings when compared with the existing techniques, while the isosurface extraction time is nearly optimal.","https://ieeexplore.ieee.org/document/745298/","LOCKED","745298","MRJ Technol. Solutions, NASA Ames Res. Center, Moffett Field, CA, USA","https://ieeexplore.ieee.org/author/37366741500","1","H.-W. Shen","37366741500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","0","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745298","166","Isosurfaces","Data mining","NASA","Large-scale systems","Data visualization","Acceleration","Space technology","Tree data structures","Computational fluid dynamics","Data analysis","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745298","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","27","159","Isosurface extraction in time-varying fields using a temporal hierarchical index tree"
"The paper details the use of a Virtual Environment for Reconstructive Surgery (VERS) in the case of a 17 year-old boy with a severe facial defect, arising from the removal of a soft tissue tumor. Computed tomography (CT) scans were taken of the patient, the data were segmented, a mesh was generated, and this patient-specific mesh was used in a virtual environment by the surgeons for preoperative visualization of the defect, planning of the surgery, and production of a custom surgical template to aid in repairing the defect. The paper details the case of this patient, provides a background on the virtual environment technology used, discusses the difficulties encountered, and describes the lessons learned.","https://ieeexplore.ieee.org/document/745336/","LOCKED","745336","Nat. Biocomput. Center, Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37329570500","1","K. Montgomery","37329570500","https://ieeexplore.ieee.org/author/37372282800","2","M. Stephanides","37372282800","https://ieeexplore.ieee.org/author/37372280500","3","S. Schendel","37372280500","https://ieeexplore.ieee.org/author/37364193600","4","M. Ross","37364193600","","","","","","","","","","","","","","","","","","","","","3","0","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745336","434","Virtual environment","Surgery","Data visualization","Image reconstruction","NASA","Neoplasms","Computed tomography","Space technology","Plastics","Radiology","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745336","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","28","431","A case study using the virtual environment for reconstructive surgery"
