"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Some new piecewise constant wavelets defined over nested triangulated domains are presented and applied to the problem of multiresolution analysis of flow over a spherical domain. These new, nearly orthogonal wavelets have advantages over the existing weaker biorthogonal wavelets. In the planar case of uniform areas, the wavelets converge to one of two fully orthogonal Haar wavelets. These new, fully orthogonal wavelets are proven to be the only possible wavelets of this type.","https://ieeexplore.ieee.org/document/663871/","LOCKED","663871","Dept. of Comput. Sci. & Eng., Arizona State Univ., Tempe, AZ, USA","https://ieeexplore.ieee.org/author/37283754100","1","G.M. Nielson","37283754100","","","","","","","","","https://ieeexplore.ieee.org/author/37366444500","2","Il-Hong Jung","37366444500","https://ieeexplore.ieee.org/author/37362401700","3","Junwon Sung","37362401700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","2","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663871","149","Wavelet domain","Wavelet analysis","Labeling","Application software","Computer science","Multiresolution analysis","Fluid flow","Data structures","","","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663871","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","11","143","Haar wavelets over triangular domains with applications to multiresolution models for flow over a sphere"
"Recursive subdivision schemes have been extensively used in computer graphics and scientific visualization for modeling smooth surfaces of arbitrary topology. Recursive subdivision generates a visually pleasing smooth surface in the limit from an initial user-specified polygonal mesh through the repeated application of a fixed set of subdivision rules. In this paper, we present a new dynamic surface model based on the Catmull-Clark (1978) subdivision scheme, which is a very popular method to model complicated objects of arbitrary genus because of many of its nice properties. Our new dynamic surface model inherits the attractive properties of the Catmull-Clark subdivision scheme as well as that of the physics-based modeling paradigm. This new model provides a direct and intuitive means of manipulating geometric shapes, a fast, robust and hierarchical approach for recovering complex geometric shapes from range and volume data using very few degrees of freedom (control vertices). We provide an analytic formulation and introduce the physical quantities required to develop the dynamic subdivision surface model which can be interactively deformed by applying synthesized forces in real time. The governing dynamic differential equation is derived using Lagrangian mechanics and a finite element discretization. Our experiments demonstrate that this new dynamic model has a promising future in computer graphics, geometric shape design and scientific visualization.","https://ieeexplore.ieee.org/document/663905/","LOCKED","663905","Dept. of Comput. & Inf. Sci. & Eng., Florida Univ., Gainesville, FL, USA","https://ieeexplore.ieee.org/author/38557137500","1","C. Mandal","38557137500","","","","","","","","","https://ieeexplore.ieee.org/author/37276553900","2","Hong Qin","37276553900","https://ieeexplore.ieee.org/author/38558447400","3","B.C. Vemuri","38558447400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","10","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663905","377","Data visualization","Shape control","Computer graphics","Solid modeling","Topology","Mesh generation","Application software","Robust control","Deformable models","Differential equations","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663905","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","12","371","Dynamic smooth subdivision surfaces for data visualization"
"The authors present a multiresolution framework, called Multi-Tetra framework, that approximates volume data with different levels-of-detail tetrahedra. The framework is generated through a recursive subdivision of the volume data and is represented by binary trees. Instead of using a certain level of the Multi-Tetra framework for approximation, an error-based model (EBM) is generated by recursively fusing a sequence of tetrahedra from different levels of the Multi-Tetra framework. The EBM significantly reduces the number of voxels required to model an object, while preserving the original topology. The approach provides continuous distribution of rendered intensity or generated isosurfaces along boundaries of different levels-of-detail thus solving the crack problem. The model supports typical rendering approaches, such as marching cubes, direct volume projection, and splatting. Experimental results demonstrate the strengths of the approach.","https://ieeexplore.ieee.org/document/663869/","LOCKED","663869","Center for Visual Comput., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37067734000","1","Yong Zhou","37067734000","","","","","","","","","https://ieeexplore.ieee.org/author/37559619200","2","Baoquan Chen","37559619200","https://ieeexplore.ieee.org/author/37268052800","3","A. Kaufman","37268052800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","0","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663869","142","Data visualization","Rendering (computer graphics)","Computer graphics","Isosurfaces","Data mining","Displays","Image resolution","Computer science","Binary trees","Topology","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663869","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","13","135","Multiresolution tetrahedral framework for visualizing regular volume data"
"Multilevel representations and mesh reduction techniques have been used for accelerating the processing and the rendering of large datasets representing scalar- or vector-valued functions defined on complex 2D or 3D meshes. We present a method based on finite element approximations which combines these two approaches in a new and unique way that is conceptually simple and theoretically sound. The main idea is to consider mesh reduction as an approximation problem in appropriate finite element spaces. Starting with a very coarse triangulation of the functional domain, a hierarchy of highly non-uniform tetrahedral (or triangular in 2D) meshes is generated adaptively by local refinement. This process is driven by controlling the local error of the piecewise linear finite element approximation of the function on each mesh element. A reliable and efficient computation of the global approximation error and a multilevel preconditioned conjugate gradient solver are the key components of the implementation. In order to analyze the properties and advantages of the adaptively generated tetrahedral meshes, we implemented two volume visualization algorithms: an iso-surface extractor and a ray-caster. Both algorithms, while conceptually simple, show significant speedups over conventional methods delivering comparable rendering quality from adaptively compressed datasets.","https://ieeexplore.ieee.org/document/663907/","LOCKED","663907","Comput. Graphics Group, Erlangen-Nurnberg Univ., Germany","https://ieeexplore.ieee.org/author/37612367400","1","R. Grosso","37612367400","","","","","","","","","https://ieeexplore.ieee.org/author/37372245300","2","C. Lurig","37372245300","https://ieeexplore.ieee.org/author/37268023800","3","T. Ertl","37268023800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","11","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663907","394","Finite element methods","Optimization methods","Data visualization","Piecewise linear approximation","Acceleration","Error correction","Piecewise linear techniques","Linear approximation","Approximation error","Algorithm design and analysis","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663907","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","14","387","The multilevel finite element method for adaptive mesh optimization and visualization of volume data"
"Software has been developed to apply visualization techniques to aeronautics data collected during wind tunnel experiments. Interaction between the software developers and the aeroscientists has been crucial in making the software. The interaction has also been important in building the scientists' confidence in the use of interactive, computer-mediated analysis tools.","https://ieeexplore.ieee.org/document/663911/","LOCKED","663911","MRJ Technol. Solutions, NASA Ames Res. Center, Moffett Field, CA, USA","https://ieeexplore.ieee.org/author/37372247300","1","S.P. Uselton","37372247300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","0","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663911","420","Data visualization","Data acquisition","NASA","Object oriented modeling","Data analysis","Collaborative software","Pressure measurement","Testing","Aerodynamics","Computational fluid dynamics","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663911","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","15","417","exVis: developing a wind tunnel data visualization tool"
"Genus-reducing simplifications are important in constructing multiresolution hierarchies for level-of-detail-based rendering, especially for datasets that have several relatively small holes, tunnels, and cavities. We present a genus-reducing simplification approach that is complementary to the existing work on genus-preserving simplifications. We propose a simplification framework in which genus-reducing and genus-preserving simplifications alternate to yield much better multiresolution hierarchies than would have been possible by using either one of them. In our approach we first identify the holes and the concavities by extending the concept of /spl alpha/-hulls to polygonal meshes under the L/sub /spl infin// distance metric and then generate valid triangulations to fill them.","https://ieeexplore.ieee.org/document/663909/","LOCKED","663909","State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/38274901700","1","J. El-Sana","38274901700","","","","","","","","","https://ieeexplore.ieee.org/author/37282560200","2","A. Varshney","37282560200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","2","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663909","410","Computer graphics","Rendering (computer graphics)","Hardware","Topology","Switches","Chromium","Three dimensional displays","Computer displays","Computational geometry","Solid modeling","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663909","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","16","403","Controlled simplification of genus for polygonal models"
"Large simulation grids and multi-grid configurations impose many constraints on commercial visualization software. When available RAM is limited and graphics primitives are numbered in millions, alternative techniques for data access and processing are necessary. In this case study, we present our contributions to a visualization environment based on the AVS/Express software. We demonstrate how the efficient visualization of large datasets relies upon several forms of resource sharing, and alternate and efficient data access techniques.","https://ieeexplore.ieee.org/document/663913/","LOCKED","663913","Swiss Center for Sci. Comput., Switzerland","https://ieeexplore.ieee.org/author/37284061600","1","J.M. Favre","37284061600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663913","428","Object oriented modeling","Data visualization","Computational modeling","Tensile stress","Isosurfaces","Graphics","Resource management","Scientific computing","Hardware","Electrostatic precipitators","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663913","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","17","425","Towards efficient visualization support for single-block and multi-block datasets"
"We present collaborative scientific visualization in STUDIERSTUBE. STUDIERSTUBE is an augmented reality system that has several advantages over conventional desktop and other virtual reality environments, including true stereoscopy, 3D-interaction, individual viewpoints and customized views for multiple users, unhindered natural collaboration and low cost. We demonstrate the application of this concept for the interaction of multiple users and illustrate it with several visualizations of dynamical systems in DynSys3D, a visualization system running on top of AVS.","https://ieeexplore.ieee.org/document/663921/","LOCKED","663921","Wien Univ. of Technol., Austria","https://ieeexplore.ieee.org/author/37267442100","1","A. Fuhrmann","37267442100","","","","","","","","","https://ieeexplore.ieee.org/author/37427428300","2","H. Loffelmann","37427428300","https://ieeexplore.ieee.org/author/37297103800","3","D. Schmalstieg","37297103800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","0","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663921","462","Collaboration","Augmented reality","Data visualization","Virtual reality","Collaborative work","Computer graphics","Computer displays","Three dimensional displays","Virtual environment","Head","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663921","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","18","459","Collaborative augmented reality: exploring dynamical systems"
"The ability to forecast the progress of crisis events would significantly reduce human suffering and loss of life, the destruction of property and expenditures for assessment and recovery. Los Alamos National Laboratory has established a scientific thrust in crisis forecasting to address this national challenge. In the initial phase of this project, scientists at Los Alamos are developing computer models to predict the spread of a wildfire. Visualization of the results of the wildfire simulation will be used by scientists to assess the quality of the simulation and eventually by fire personnel as a visual forecast of the wildfire's evolution. The fire personnel and scientists want the visualization to look as realistic as possible without compromising scientific accuracy. This paper describes how the visualization was created, analyzes the tools and approach that were used, and suggests directions for future work and research.","https://ieeexplore.ieee.org/document/663919/","LOCKED","663919","Adv. Comput. Lab., Los Alamos Nat. Lab., NM, USA","https://ieeexplore.ieee.org/author/37282713700","1","J. Ahrens","37282713700","","","","","","","","","https://ieeexplore.ieee.org/author/37282708700","2","P. McCormick","37282708700","https://ieeexplore.ieee.org/author/37617519400","3","J. Bossert","37617519400","https://ieeexplore.ieee.org/author/37621785900","4","J. Reisner","37621785900","https://ieeexplore.ieee.org/author/37612260000","5","J. Winterkamp","37612260000","","","","","","","","","","","","","","","","","","","","","4","0","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663919","454","Computer aided software engineering","Visualization","Fires","Predictive models","Weather forecasting","Personnel","Read-write memory","Wind","Humans","Laboratories","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663919","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","19","451","Case study: wildfire visualization"
"An algorithm for computing a triangulated surface which separates a collection of data points that have been segmented into a number of different classes is presented. The problem generalizes the concept of an isosurface which separates data points that have been segmented into only two classes: those for which data function values are above the threshold and those which are below the threshold value. The algorithm is very simple, easy to implement and applies without limit to the number of classes.","https://ieeexplore.ieee.org/document/663887/","LOCKED","663887","Dept. of Comput. Sci. & Eng., Arizona State Univ., Tempe, AZ, USA","https://ieeexplore.ieee.org/author/37283754100","1","G.M. Nielson","37283754100","","","","","","","","","https://ieeexplore.ieee.org/author/37413313200","2","R. Franke","37413313200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","0","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663887","233","Isosurfaces","Computer science","Data engineering","Solid modeling","Medical simulation","Material properties","Mathematics","Data structures","","","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663887","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","20","229","Computing the separating surface for segmented data"
"Modular visualization environments (MVEs) have recently been regarded as the de facto standard for scientific data visualization, mainly due to adoption of the visual programming style, reusability, and extendability. However, since scientists and engineers as the MVE principal user are not always familiar with how to map numerical data to proper graphical primitives, the set of built-in modules is not fully used to construct necessary application networks. Therefore, a certain mechanism needs to be incorporated into MVEs, which makes use of heuristics and expertise of visualization specialists (visineers), and which supports the user in designing his/her applications with MVEs. The Wehrend's goal-oriented taxonomy of visualization techniques is adopted as the basic philosophy to develop a system, called GADGET, for application design guidance for MVEs. The GADGET system interactively helps the user design appropriate applications according to the specific visualization goals, temporal efficiency versus accuracy requirements, and such properties as dimension and mesh type of a given target dataset. Also the GADGET system is capable of assisting the user in customizing a prototype modular network for his/her desired applications by showing execution examples involving datasets of the same type. The paper provides an overview of the GADGET guidance mechanism and system architecture, with an emphasis on its knowledge base design. Sample data visualization problems are used to demonstrate the usefulness of the GADGET system.","https://ieeexplore.ieee.org/document/663889/","LOCKED","663889","Dept. of Inf. Sci., Ochanomizu Univ., Tokyo, Japan","https://ieeexplore.ieee.org/author/37282596600","1","I. Fujishiro","37282596600","","","","","","","","","https://ieeexplore.ieee.org/author/37282600100","2","Y. Takeshima","37282600100","https://ieeexplore.ieee.org/author/37618383200","3","Y. Ichikawa","37618383200","https://ieeexplore.ieee.org/author/37364307400","4","K. Nakamura","37364307400","","","","","","","","","","","","","","","","","","","","","","","","","4","0","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663889","252","Data visualization","Taxonomy","Software reusability","Data engineering","Computer architecture","Chromium","Artificial intelligence","Problem-solving","User interfaces","Filtering","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663889","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","21","245","GADGET: goal-oriented application design guidance for modular visualization environments"
"Presents a new method for auralization of the vorticity of a streamline in a vector field. This technique involves using a composite tone formed by superimposing sine waves of various amplitudes whose frequency and amplitude vary in such a way as to give the perception that the resulting sound increases or decreases endlessly in pitch without ever extending beyond the listener's range of audible frequencies. Continuous clockwise or counterclockwise rotations of a streamline resulting from vorticity can then be displayed aurally as an apparently continuous increase or decrease in pitch.","https://ieeexplore.ieee.org/document/663856/","LOCKED","663856","GE Corp. Res. & Dev., Schenectady, NY, USA","https://ieeexplore.ieee.org/author/37378427600","1","C.R. Volpe","37378427600","","","","","","","","","https://ieeexplore.ieee.org/author/37347783300","2","E.P. Glinert","37347783300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663856","57","Computational fluid dynamics","Frequency","Clocks","Streaming media","Auditory displays","Computer science","Data visualization","Audio user interfaces","Timbre","Auditory system","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663856","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","22","51","Auralization of streamline vorticity in computational fluid dynamics data"
"Terrain visualization is a difficult problem for applications requiring accurate images of large datasets at high frame rates, such as flight simulation and ground-based aircraft testing using synthetic sensor simulation. On current graphics hardware, the problem is to maintain dynamic, view-dependent triangle meshes and texture maps that produce good images at the required frame rate. We present an algorithm for constructing triangle meshes that optimizes flexible view-dependent error metrics, produces guaranteed error bounds, achieves specified triangle counts directly and uses frame-to-frame coherence to operate at high frame rates for thousands of triangles per frame. Our method, dubbed Real-time Optimally Adapting Meshes (ROAM), uses two priority queues to drive split and merge operations that maintain continuous triangulations built from pre-processed bintree triangles. We introduce two additional performance optimizations: incremental triangle stripping and priority-computation deferral lists. ROAM's execution time is proportional to the number of triangle changes per frame, which is typically a few percent of the output mesh size; hence ROAM's performance is insensitive to the resolution and extent of the input terrain. Dynamic terrain and simple vertex morphing are supported.","https://ieeexplore.ieee.org/document/663860/","LOCKED","663860","Los Alamos Nat. Lab., NM, USA","https://ieeexplore.ieee.org/author/37267813100","1","M. Duchaineau","37267813100","","","","","","","","","https://ieeexplore.ieee.org/author/37443252200","2","M. Wolinsky","37443252200","https://ieeexplore.ieee.org/author/37443253500","3","D.E. Sigeti","37443253500","https://ieeexplore.ieee.org/author/37086991386","4","M.C. Miller","37086991386","https://ieeexplore.ieee.org/author/38275631100","5","C. Aldrich","38275631100","https://ieeexplore.ieee.org/author/38277260000","6","M.B. Mineev-Weinstein","38277260000","","","","","","","","","","","","","","","","","207","7","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663860","88","Geometry","Laboratories","Visualization","Computer graphics","Aerospace simulation","Aircraft manufacture","Testing","Image sensors","Hardware","Chromium","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663860","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","23","81","ROAMing terrain: Real-time Optimally Adapting Meshes"
"Currently, the most popular method of visualizing music is music notation. Through music notation, an experienced musician can gain an impression of how a particular piece of music sounds simply by looking at the notes on paper. However, most listeners are unfamiliar or uncomfortable with the complex nature of music notation. The goal of this project is to present an alternate method for visualizing music that makes use of color and 3D space. This paper describes one method of visualizing music in 3D space. The implementation of this method shows that music visualization is an effective technique, although it is certainly not the only possible method for accomplishing the task. Throughout the course of this project, several variations and alternative approaches were discussed. The final version of this project reflects the decisions that were made in order to present the best possible representation of music data.","https://ieeexplore.ieee.org/document/663931/","LOCKED","663931","Dept. of Comput. Sci., Texas A&M Univ., College Station, TX, USA","https://ieeexplore.ieee.org/author/37383381900","1","S.M. Smith","37383381900","","","","","","","","","https://ieeexplore.ieee.org/author/37344773600","2","G.N. Williams","37344773600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","0","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663931","503","Multiple signal classification","Music","Instruments","Data visualization","Timbre","Computer science","Rhythm","Shape","","","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663931","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","24","499","A visualization of music"
"The authors give I/O-optimal techniques for the extraction of isosurfaces from volumetric data, by a novel application of the I/O-optimal interval tree of Arge and Vitter (1996). The main idea is to preprocess the data set once and for all to build an efficient search structure in disk, and then each time one wants to extract an isosurface, they perform an output-sensitive query on the search structure to retrieve only those active cells that are intersected by the isosurface. During the query operation, only two blocks of main memory space are needed, and only those active cells are brought into the main memory, plus some negligible overhead of disk accesses. This implies that one can efficiently visualize very large data sets on workstations with just enough main memory to hold the isosurfaces themselves. The implementation is delicate but not complicated. They give the first implementation of the I/O-optimal interval tree, and also implement their methods as an I/O filter for Vtk's isosurface extraction for the case of unstructured grids. They show that, in practice, the algorithms improve the performance of isosurface extraction by speeding up the active-cell searching process so that it is no longer a bottleneck. Moreover, this search time is independent of the main memory available. The practical efficiency of the techniques reflects their theoretical optimality.","https://ieeexplore.ieee.org/document/663895/","LOCKED","663895","State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37362725400","1","Yi-Jen Chiang","37362725400","","","","","","","","","https://ieeexplore.ieee.org/author/37275249200","2","C.T. Silva","37275249200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","0","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663895","300","Isosurfaces","Data mining","Visualization","Computer displays","Mathematics","Statistics","Information retrieval","Workstations","Packaging","Phase estimation","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663895","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","25","293","I/O optimal isosurface extraction"
"Presents an algorithm for the visualization of vector field topology based on Clifford algebra. It allows the detection of higher-order singularities. This is accomplished by first analysing the possible critical points and then choosing a suitable polynomial approximation, because conventional methods based on piecewise linear or bilinear approximation do not allow higher-order critical points and destroy the topology in such cases. The algorithm is still very fast, because of using linear approximation outside the areas with several critical points.","https://ieeexplore.ieee.org/document/663858/","LOCKED","663858","Dept. of Comput. Sci., Kaiserslautern Univ., Germany","https://ieeexplore.ieee.org/author/37282574800","1","G. Scheuermann","37282574800","","","","","","","","","https://ieeexplore.ieee.org/author/37282578800","2","H. Hagen","37282578800","https://ieeexplore.ieee.org/author/37420744100","3","H. Kruger","37420744100","https://ieeexplore.ieee.org/author/38512568600","4","M. Menzel","38512568600","https://ieeexplore.ieee.org/author/37372689000","5","A. Rockwood","37372689000","","","","","","","","","","","","","","","","","","","","","19","0","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663858","74","Visualization","Spirals","H infinity control","Linear approximation","","","","","","","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663858","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","26","67","Visualization of higher order singularities in vector fields"
"The paper discusses a unique way to visualize height field data-the use of solid fabricated parts with a photomapped texture to display scalar information. In this process, the data in a height field are turned into a 3D solid representation through solid freeform fabrication techniques, in this case laminated object manufacturing. Next, that object is used as a 3D ""photographic plate"" to allow a texture image representing scalar data to be permanently mapped onto it. The paper discusses this process and how it can be used in different visualization situations.","https://ieeexplore.ieee.org/document/663862/","LOCKED","663862","California Univ., San Diego, La Jolla, CA, USA","https://ieeexplore.ieee.org/author/37364046500","1","D. Clark","37364046500","","","","","","","","","https://ieeexplore.ieee.org/author/37280473500","2","M. Bailey","37280473500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663862","94","Data visualization","Fabrication","Solid modeling","Three dimensional displays","Supercomputers","Humans","Glass","Workstations","Research and development","Prototypes","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663862","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","27","89","Visualization of height field data with physical models and texture photomapping"
