"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_affiliation","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_affiliation","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_12_affiliation","articles_authors_authors_12_authorUrl","articles_authors_authors_12_author_order","articles_authors_authors_12_full_name","articles_authors_authors_12_id","articles_authors_authors_13_affiliation","articles_authors_authors_13_authorUrl","articles_authors_authors_13_author_order","articles_authors_authors_13_full_name","articles_authors_authors_13_id","articles_authors_authors_14_affiliation","articles_authors_authors_14_authorUrl","articles_authors_authors_14_author_order","articles_authors_authors_14_full_name","articles_authors_authors_14_id","articles_authors_authors_15_affiliation","articles_authors_authors_15_authorUrl","articles_authors_authors_15_author_order","articles_authors_authors_15_full_name","articles_authors_authors_15_id","articles_authors_authors_16_affiliation","articles_authors_authors_16_authorUrl","articles_authors_authors_16_author_order","articles_authors_authors_16_full_name","articles_authors_authors_16_id","articles_authors_authors_17_affiliation","articles_authors_authors_17_authorUrl","articles_authors_authors_17_author_order","articles_authors_authors_17_full_name","articles_authors_authors_17_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume" 
"We present an approach utilizing Topological Data Analysis to study the structure of face poses used in affective computing, i.e., the process of recognizing human emotion. The approach uses a conditional comparison of different emotions, both respective and irrespective of time, with multiple topological distance metrics, dimension reduction techniques, and face subsections (e.g., eyes, nose, mouth, etc.). The results confirm that our topology-based approach captures known patterns, distinctions between emotions, and distinctions between individuals, which is an important step towards more robust and explainable emotion recognition by machines.","https://ieeexplore.ieee.org/document/9552237/","LOCKED","9552237","University of Massachusetts, Amherst, USA","https://ieeexplore.ieee.org/author/37089213488","1","Hamza Elhamdadi","37089213488","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of South Florida, USA","https://ieeexplore.ieee.org/author/38266035700","2","Shaun Canavan","38266035700","University of South Florida, USA","https://ieeexplore.ieee.org/author/37398611400","3","Paul Rosen","37398611400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2021.3114784","779","https://ieeexplore.ieee.org/document/9552237/","Affective computing","topological data analysis","","explainability","visualization","","","","","","","Face recognition","Affective computing","Three-dimensional displays","Topology","Feature extraction","Data visualization","Data analysis","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552237","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","26","769","AffectiveTDA: Using Topological Data Analysis to Improve Analysis and Explainability in Affective Computing","28"
"Situated visualization is an emerging concept within visualization, in which data is visualized in situ, where it is relevant to people. The concept has gained interest from multiple research communities, including visualization, human-computer interaction (HCI) and augmented reality. This has led to a range of explorations and applications of the concept, however, this early work has focused on the operational aspect of situatedness leading to inconsistent adoption of the concept and terminology. First, we contribute a literature survey in which we analyze 44 papers that explicitly use the term “situated visualization” to provide an overview of the research area, how it defines situated visualization, common application areas and technology used, as well as type of data and type of visualizations. Our survey shows that research on situated visualization has focused on technology-centric approaches that foreground a spatial understanding of situatedness. Secondly, we contribute five perspectives on situatedness (space, time, place, activity, and community) that together expand on the prevalent notion of situatedness in the corpus. We draw from six case studies and prior theoretical developments in HCI. Each perspective develops a generative way of looking at and working with situatedness in design and research. We outline future directions, including considering technology, material and aesthetics, leveraging the perspectives for design, and methods for stronger engagement with target audiences. We conclude with opportunities to consolidate situated visualization research.","https://ieeexplore.ieee.org/document/9552238/","LOCKED","9552238","Aarhus University, Denmark","https://ieeexplore.ieee.org/author/37089208838","1","Nathalie Bressa","37089208838","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Aarhus University, Denmark","https://ieeexplore.ieee.org/author/37089205697","2","Henrik Korsgaard","37089205697","Université Claude Bernard Lyon 1, LIRIS, CNRS UMR5205, France","https://ieeexplore.ieee.org/author/38190079100","3","Aurélien Tabard","38190079100","Eindhoven University of Technology, Netherlands","https://ieeexplore.ieee.org/author/37089208056","4","Steven Houben","37089208056","Autodesk Research, Canada","https://ieeexplore.ieee.org/author/38012864900","5","Jo Vermeulen","38012864900","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","Journals","10.1109/TVCG.2021.3114835","117","https://ieeexplore.ieee.org/document/9552238/","Situated visualization","literature survey","","situatedness","","","","","","","","Data visualization","Human computer interaction","Encoding","Visual analytics","Terminology","Keyword search","Augmented reality","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552238","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","27","107","What's the Situation with Situated Visualization? A Survey and Perspectives on Situatedness","28"
"Data stories often seek to elicit affective feelings from viewers. However, how to design affective data stories remains under-explored. In this work, we investigate one specific design factor, animation, and present Kineticharts, an animation design scheme for creating charts that express five positive affects: joy, amusement, surprise, tenderness, and excitement. These five affects were found to be frequently communicated through animation in data stories. Regarding each affect, we designed varied kinetic motions represented by bar charts, line charts, and pie charts, resulting in 60 animated charts for the five affects. We designed Kineticharts by first conducting a need-finding study with professional practitioners from data journalism and then analyzing a corpus of affective motion graphics to identify salient kinetic patterns. We evaluated Kineticharts through two user studies. The results suggest that Kineticharts can accurately convey affects, and improve the expressiveness of data stories, as well as enhance user engagement without hindering data comprehension compared to the animation design from DataClips, an authoring tool for data videos.","https://ieeexplore.ieee.org/document/9552240/","LOCKED","9552240","Intelligent Big Data Visualization Lab at Tongji University, China","https://ieeexplore.ieee.org/author/37088861952","1","Xingyu Lan","37088861952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Intelligent Big Data Visualization Lab at Tongji University, China","https://ieeexplore.ieee.org/author/37086368227","2","Yang Shi","37086368227","Intelligent Big Data Visualization Lab at Tongji University, China","https://ieeexplore.ieee.org/author/37089205448","3","Yanqiu Wu","37089205448","Intelligent Big Data Visualization Lab at Tongji University, China","https://ieeexplore.ieee.org/author/37089205740","4","Xiaohan Jiao","37089205740","Intelligent Big Data Visualization Lab at Tongji University, China","https://ieeexplore.ieee.org/author/37604309600","5","Nan Cao","37604309600","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2021.3114775","943","https://ieeexplore.ieee.org/document/9552240/","Animation","Storytelling","","Affective Design","","","","","","","","Animation","Data visualization","Videos","Visualization","Interviews","Mood","Journalism","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552240","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","28","933","Kineticharts: Augmenting Affective Expressiveness of Charts in Data Stories with Animation Design","28"
"Significant work has been done towards deep learning (DL) models for automatic lung and lesion segmentation and classification of COVID-19 on chest CT data. However, comprehensive visualization systems focused on supporting the dual visual+DL diagnosis of COVID-19 are non-existent. We present <i>COVID-view</i>, a visualization application specially tailored for radiologists to diagnose COVID-19 from chest CT data. The system incorporates a complete pipeline of automatic lungs segmentation, localization/isolation of lung abnormalities, followed by visualization, visual and DL analysis, and measurement/quantification tools. Our system combines the traditional 2D workflow of radiologists with newer 2D and 3D visualization techniques with DL support for a more comprehensive diagnosis. <i>COVID-view</i> incorporates a novel DL model for classifying the patients into positive/negative COVID-19 cases, which acts as a reading aid for the radiologist using <i>COVID-view</i> and provides the attention heatmap as an explainable DL for the model output. We designed and evaluated <i>COVID-view</i> through suggestions, close feedback and conducting case studies of real-world patient data by expert radiologists who have substantial experience diagnosing chest CT scans for COVID-19, pulmonary embolism, and other forms of lung infections. We present requirements and task analysis for the diagnosis of COVID-19 that motivate our design choices and results in a practical system which is capable of handling real-world patient cases.","https://ieeexplore.ieee.org/document/9552241/","PROMOTIONAL","9552241","Department of Computer Science, Stony Brook University, USA","https://ieeexplore.ieee.org/author/37086546820","1","Shreeraj Jadhav","37086546820","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Department of Computer Science, Stony Brook University, USA","https://ieeexplore.ieee.org/author/37089207608","2","Gaofeng Deng","37089207608","Department of Radiology, Stony Brook University Hospital, USA","https://ieeexplore.ieee.org/author/37088610241","3","Marlene Zawin","37088610241","Department of Computer Science, Stony Brook University, USA","https://ieeexplore.ieee.org/author/37268052800","4","Arie E. Kaufman","37268052800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2021.3114851","237","https://ieeexplore.ieee.org/document/9552241/","visual-deep learning diagnosis","COVID-19","","chest CT","volume rendering","MIP","classification model","explainable DL","","","","COVID-19","Lung","Computed tomography","Visualization","Three-dimensional displays","Solid modeling","Lesions","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552241","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","29","227","<italic>COVID</italic>-view: Diagnosis of COVID-19 using Chest CT","28"
"Undirected graphs are frequently used to model phenomena that deal with interacting objects, such as social networks, brain activity and communication networks. The topology of an undirected graph <inline-formula><tex-math notation=""LaTeX"">$G$</tex-math><alternatives><graphic orientation=""portrait"" position=""float"" xlink:href=""28tvcg01-beusekom-3114773-eqinline-1-small.tif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula> can be captured by an adjacency matrix; this matrix in turn can be visualized directly to give insight into the graph structure. Which visual patterns appear in such a matrix visualization crucially depends on the <i>ordering</i> of its rows and columns. Formally defining the quality of an ordering and then automatically computing a high-quality ordering are both challenging problems; however, effective heuristics exist and are used in practice. <p>Often, graphs do not exist in isolation but as part of a collection of graphs on the same set of vertices, for example, brain scans over time or of different people. To visualize such graph collections, we need a <i>single</i> ordering that works well for all matrices <i>simultaneously</i>. The current state-of-the-art solves this problem by taking a (weighted) union over all graphs and applying existing heuristics. However, this union leads to a loss of information, specifically in those parts of the graphs which are different. We propose a <i>collection-aware</i> approach to avoid this loss of information and apply it to two popular heuristic methods: leaf order and barycenter.</p> <p>The de-facto standard computational quality metrics for matrix ordering capture only block-diagonal patterns (cliques). Instead, we propose to use <i>Moran's</i> <inline-formula><tex-math notation=""LaTeX"">$I$</tex-math><alternatives><graphic orientation=""portrait"" position=""float"" xlink:href=""28tvcg01-beusekom-3114773-eqinline-2-small.tif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula>, a spatial auto-correlation metric, which captures the full range of established patterns. Moran's <inline-formula><tex-math notation=""LaTeX"">$I$</tex-math><alternatives><graphic orientation=""portrait"" position=""float"" xlink:href=""28tvcg01-beusekom-3114773-eqinline-3-small.tif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula> refines previously proposed stress measures. Furthermore, the popular leaf order method heuristically optimizes a similar measure which further supports the use of Moran's <inline-formula><tex-math notation=""LaTeX"">$I$</tex-math><alternatives><graphic orientation=""portrait"" position=""float"" xlink:href=""28tvcg01-beusekom-3114773-eqinline-4-small.tif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula> in this context. An ordering that maximizes Moran's <inline-formula><tex-math notation=""LaTeX"">$I$</tex-math><alternatives><graphic orientation=""portrait"" position=""float"" xlink:href=""28tvcg01-beusekom-3114773-eqinline-5-small.tif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula> can be computed via solutions to the Traveling Salesperson Problem (TSP); orderings that approximate the optimal ordering can be computed more efficiently, using any of the approximation algorithms for metric TSP.</p> <p>We evaluated our methods for simultaneous orderings on real-world datasets using Moran's <inline-formula><tex-math notation=""LaTeX"">$I$</tex-math><alternatives><graphic orientation=""portrait"" position=""float"" xlink:href=""28tvcg01-beusekom-3114773-eqinline-6-small.tif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula> as the quality metric. Our results show that our collection-aware approach matches or improves performance compared to the union approach, depending on the similarity of the graphs in the collection. Specifically, our Moran's <inline-formula><tex-math notation=""LaTeX"">$I$</tex-math><alternatives><graphic orientation=""portrait"" position=""float"" xlink:href=""28tvcg01-beusekom-3114773-eqinline-7-small.tif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula>-based collection-aware leaf order implementation consistently outperforms other implementations. Our collection-aware implementations carry no significant additional computational costs.</p>","https://ieeexplore.ieee.org/document/9552242/","LOCKED","9552242","TU Eindhoven, the Netherlands","https://ieeexplore.ieee.org/author/37089206339","1","Nathan van Beusekom","37089206339","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TU Eindhoven, the Netherlands","https://ieeexplore.ieee.org/author/37073861100","2","Wouter Meulemans","37073861100","TU Eindhoven, the Netherlands","https://ieeexplore.ieee.org/author/37591266000","3","Bettina Speckmann","37591266000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2021.3114773","10","https://ieeexplore.ieee.org/document/9552242/","Matrix ordering","graph visualization","","algorithms","quality measures","","","","","","","Visualization","Measurement","Tools","Symmetric matrices","Current measurement","Standards","Social networking (online)","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552242","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","30","1","Simultaneous Matrix Orderings for Graph Collections","28"
"Labels, short textual annotations are an important component of data visualizations, illustrations, infographics, and geographical maps. In interactive applications, the labeling method responsible for positioning the labels should not take the resources from the application itself. In other words, the labeling method should provide the result as fast as possible. In this work, we propose a greedy point-feature labeling method running on GPU. In contrast to existing methods that position the labels sequentially, the proposed method positions several labels in parallel. Yet, we guarantee that the positioned labels will not overlap, nor will they overlap important visual features. When the proposed method is searching for the label position of a point-feature, the available label candidates are evaluated with respect to overlaps with important visual features, conflicts with label candidates of other point-features, and their ambiguity. The evaluation of each label candidate is done in constant time independently from the number of point-features, the number of important visual features, and the resolution of the created image. Our measurements indicate that the proposed method is able to position more labels than existing greedy methods that do not evaluate conflicts between the label candidates. At the same time, the proposed method achieves a significant increase in performance. The increase in performance is mainly due to the parallelization and the efficient evaluation of label candidates.","https://ieeexplore.ieee.org/document/9552249/","LOCKED","9552249","Faculty of Electrical Engineering, Czech Technical University in Prague, Czech Republic","https://ieeexplore.ieee.org/author/37089206430","1","Vaclav Pavlovec","37089206430","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Faculty of Electrical Engineering, Czech Technical University in Prague, Czech Republic","https://ieeexplore.ieee.org/author/37086543101","2","Ladislav Cmolik","37086543101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2021.3114854","613","https://ieeexplore.ieee.org/document/9552249/","Label placement","Point-feature labeling","","GPU","","","","","","","","Labeling","Visualization","Layout","Data visualization","Graphics processing units","Annotations","Optimization","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552249","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","31","604","Rapid Labels: Point-Feature Labeling on GPU","28"
"Video moderation, which refers to remove deviant or explicit content from e-commerce livestreams, has become prevalent owing to social and engaging features. However, this task is tedious and time consuming due to the difficulties associated with watching and reviewing multimodal video content, including video frames and audio clips. To ensure effective video moderation, we propose VideoModerator, a risk-aware framework that seamlessly integrates human knowledge with machine insights. This framework incorporates a set of advanced machine learning models to extract the risk-aware features from multimodal video content and discover potentially deviant videos. Moreover, this framework introduces an interactive visualization interface with three views, namely, a video view, a frame view, and an audio view. In the video view, we adopt a segmented timeline and highlight high-risk periods that may contain deviant information. In the frame view, we present a novel visual summarization method that combines risk-aware features and video context to enable quick video navigation. In the audio view, we employ a storyline-based design to provide a multi-faceted overview which can be used to explore audio content. Furthermore, we report the usage of VideoModerator through a case scenario and conduct experiments and a controlled user study to validate its effectiveness.","https://ieeexplore.ieee.org/document/9552250/","LOCKED","9552250","State Key Lab of CAD&CG, Zhejiang University and Zhejiang Lab, China","https://ieeexplore.ieee.org/author/37086543321","1","Tan Tang","37086543321","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","State Key Lab of CAD&CG, Zhejiang University and Zhejiang Lab, China","https://ieeexplore.ieee.org/author/37085523487","2","Yanhong Wu","37085523487","State Key Lab of CAD&CG, Zhejiang University and Zhejiang Lab, China","https://ieeexplore.ieee.org/author/37407308300","3","Yingcai Wu","37407308300","Department of Computing, Xi'an Jiaotong-Liverpool University, China","https://ieeexplore.ieee.org/author/37593898200","4","Lingyun Yu","37593898200","Alibaba Group, China","https://ieeexplore.ieee.org/author/37086863152","5","Yuhong Li","37086863152","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","Journals","10.1109/TVCG.2021.3114781","856","https://ieeexplore.ieee.org/document/9552250/","video moderation","video visualization","","e-commerce livestreaming","","","","","","","","Visualization","Task analysis","Visual analytics","Machine learning","Motion pictures","Feature extraction","Data mining","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552250","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","32","846","VideoModerator: A Risk-aware Framework for Multimodal Video Moderation in E-Commerce","28"
"Table2Text systems generate textual output based on structured data utilizing machine learning. These systems are essential for fluent natural language interfaces in tools such as virtual assistants; however, left to generate freely these ML systems often produce misleading or unexpected outputs. GenNI (Generation Negotiation Interface) is an interactive visual system for high-level human-AI collaboration in producing descriptive text. The tool utilizes a deep learning model designed with explicit control states. These controls allow users to globally constrain model generations, without sacrificing the representation power of the deep learning models. The visual interface makes it possible for users to interact with AI systems following a Refine-Forecast paradigm to ensure that the generation system acts in a manner human users find suitable. We report multiple use cases on two experiments that improve over uncontrolled generation approaches, while at the same time providing fine-grained control. A demo and source code are available at https://genni.vizhub.ai.","https://ieeexplore.ieee.org/document/9552430/","LOCKED","9552430","IBM Research & MIT-IBM Watson AI Lab, Cambridge, Massachusetts, United States","https://ieeexplore.ieee.org/author/38108845300","1","Hendrik Strobelt","38108845300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cornell University, New York, New York, United States","https://ieeexplore.ieee.org/author/37089206918","2","Jambay Kinley","37089206918","Visual Computing Group, Harvard University, Cambridge, Massachusetts, United States","https://ieeexplore.ieee.org/author/37085432818","3","Robert Krueger","37085432818","Visual Computing Group, Harvard University, Cambridge, Massachusetts, United States","https://ieeexplore.ieee.org/author/37409575800","4","Johanna Beyer","37409575800","Visual Computing Group, Harvard University, Cambridge, Massachusetts, United States","https://ieeexplore.ieee.org/author/37275698100","5","Hanspeter Pfister","37275698100","Cornell University, New York, New York, United States","https://ieeexplore.ieee.org/author/37086236961","6","Alexander M. Rush","37086236961","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2021.3114845","1116","https://ieeexplore.ieee.org/document/9552430/","Tabular Data","Text/Document Data","","Machine Learning","Statistics","Modelling","Simulation Applications","","","","","Computational modeling","Visualization","Tools","Data models","Collaboration","Task analysis","Deep learning","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552430","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","33","1106","GenNI: Human-AI Collaboration for Data-Backed Text Generation","28"
"We present Joint t-Stochastic Neighbor Embedding (Joint t-SNE), a technique to generate comparable projections of multiple high-dimensional datasets. Although t-SNE has been widely employed to visualize high-dimensional datasets from various domains, it is limited to projecting a single dataset. When a series of high-dimensional datasets, such as datasets changing over time, is projected independently using t-SNE, misaligned layouts are obtained. Even items with identical features across datasets are projected to different locations, making the technique unsuitable for comparison tasks. To tackle this problem, we introduce edge similarity, which captures the similarities between two adjacent time frames based on the Graphlet Frequency Distribution (GFD). We then integrate a novel loss term into the t-SNE loss function, which we call vector constraints, to preserve the vectors between projected points across the projections, allowing these points to serve as visual landmarks for direct comparisons between projections. Using synthetic datasets whose ground-truth structures are known, we show that Joint t-SNE outperforms existing techniques, including Dynamic t-SNE, in terms of local coherence error, Kullback-Leibler divergence, and neighborhood preservation. We also showcase a real-world use case to visualize and compare the activation of different layers of a neural network.","https://ieeexplore.ieee.org/document/9552433/","LOCKED","9552433","Shandong University, CN, China","https://ieeexplore.ieee.org/author/37089208318","1","Yinqiao Wang","37089208318","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shandong University, CN, China","https://ieeexplore.ieee.org/author/37089205574","2","Lu Chen","37089205574","Sungkyunkwan University, KR, South Korea","https://ieeexplore.ieee.org/author/37085589835","3","Jaemin Jo","37085589835","Shandong University, CN, China","https://ieeexplore.ieee.org/author/37085804605","4","Yunhai Wang","37085804605","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2021.3114765","632","https://ieeexplore.ieee.org/document/9552433/","High-dimensional data","projection","","embedding","t-stochastic neighbor embedding","","","","","","","Visualization","Task analysis","Optimization","Time measurement","Position measurement","Gain measurement","Distortion","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552433","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","34","623","Joint <italic>t</italic>-SNE for Comparable Projections of Multiple High-Dimensional Datasets","28"
"A growing number of longitudinal cohort studies are generating data with extensive patient observations across multiple timepoints. Such data offers promising opportunities to better understand the progression of diseases. However, these observations are usually treated as general events in existing visual analysis tools. As a result, their capabilities in modeling disease progression are not fully utilized. To fill this gap, we designed and implemented ThreadStates, an interactive visual analytics tool for the exploration of longitudinal patient cohort data. The focus of ThreadStates is to identify the states of disease progression by learning from observation data in a human-in-the-loop manner. We propose a novel Glyph Matrix design and combine it with a scatter plot to enable seamless identification, observation, and refinement of states. The disease progression patterns are then revealed in terms of state transitions using Sankey-based visualizations. We employ sequence clustering techniques to find patient groups with distinctive progression patterns, and to reveal the association between disease progression and patient-level features. The design and development were driven by a requirement analysis and iteratively refined based on feedback from domain experts over the course of a 10-month design study. Case studies and expert interviews demonstrate that ThreadStates can successively summarize disease states, reveal disease progression, and compare patient groups.","https://ieeexplore.ieee.org/document/9552435/","LOCKED","9552435","Harvard University, USA","https://ieeexplore.ieee.org/author/37086543277","1","Qianwen Wang","37086543277","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dana-Farber Cancer Institute, USA","https://ieeexplore.ieee.org/author/37089208898","2","Tali Mazor","37089208898","University of Tübingen, Germany","https://ieeexplore.ieee.org/author/37089207308","3","Theresa A Harbig","37089207308","Dana-Farber Cancer Institute, USA","https://ieeexplore.ieee.org/author/37089205855","4","Ethan Cerami","37089205855","Harvard University, USA","https://ieeexplore.ieee.org/author/37972937500","5","Nils Gehlenborg","37972937500","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2021.3114840","247","https://ieeexplore.ieee.org/document/9552435/","Disease Progression","State Identification","","Sequence Visualization","","","","","","","","Diseases","Data visualization","Hidden Markov models","Visual analytics","Cancer","Tools","Data mining","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552435","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","35","238","ThreadStates: State-based Visual Analysis of Disease Progression","28"
