"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"We introduce two dynamic visualization techniques using multidimensional scaling to analyze transient data streams such as newswires and remote sensing imagery. While the time-sensitive nature of these data streams requires immediate attention in many applications, the unpredictable and unbounded characteristics of this information can potentially overwhelm many scaling algorithms that require a full re-computation for every update. We present an adaptive visualization technique based on data stratification to ingest stream information adaptively when influx rate exceeds processing rate. We also describe an incremental visualization technique based on data fusion to project new information directly onto a visualization subspace spanned by the singular vectors of the previously processed neighboring data. The ultimate goal is to leverage the value of legacy and new information and minimize re-processing of the entire dataset in full resolution. We demonstrate these dynamic visualization results using a newswire corpus and a remote sensing imagery sequence.","https://ieeexplore.ieee.org/document/1249014/","LOCKED","1249014","PNNL, Richland, WA, USA","https://ieeexplore.ieee.org/author/38193849400","1","Pak Chung Wong","38193849400","PNNL, Richland, WA, USA","https://ieeexplore.ieee.org/author/37372586800","2","H. Foote","37372586800","PNNL, Richland, WA, USA","https://ieeexplore.ieee.org/author/38022952100","3","D. Adams","38022952100","PNNL, Richland, WA, USA","https://ieeexplore.ieee.org/author/37672002300","4","W. Cowley","37672002300","PNNL, Richland, WA, USA","https://ieeexplore.ieee.org/author/37273308900","5","J. Thomas","37273308900","9","2","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249014","104","https://ieeexplore.ieee.org/document/1249014/","Data visualization","Streaming media","Transient analysis","Remote sensing","Data analysis","Multidimensional systems","Image databases","Visual databases","Computer graphics","Scattering","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249014","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","11","97","Dynamic visualization of transient data streams"
"Data sets with a large number of nominal variables, some with high cardinality, are becoming increasingly common and need to be explored. Unfortunately, most existing visual exploration displays are designed to handle numeric variables only. When importing data sets with nominal values into such visualization tools, most solutions to date are rather simplistic. Often, techniques that map nominal values to numbers do not assign order or spacing among the values in a manner that conveys semantic relationships. Moreover, displays designed for nominal variables usually cannot handle high cardinality variables well. This paper addresses the problem of how to display nominal variables in general-purpose visual exploration tools designed for numeric variables. Specifically, we investigate (1) how to assign order and spacing among the nominal values, and (2) how to reduce the number of distinct values to display. We propose that nominal variables be pre-processed using a distance-quantification-classing (DQC) approach before being imported into a visual exploration tool. In the distance step, we identify a set of independent dimensions that can be used to calculate the distance between nominal values. In the quantification step, we use the independent dimensions and the distance information to assign order and spacing among the nominal values. In the classing step, we use results from the previous steps to determine which values within a variable are similar to each other and thus can be grouped together. Each step in the DQC approach can be accomplished by a variety of techniques. We extended the XmdvTool package to incorporate this approach. We evaluated our approach on several data sets using a variety of evaluation measures.","https://ieeexplore.ieee.org/document/1249016/","LOCKED","1249016","Dept. of Comput. Sci., Worcester Polytech. Inst., USA","https://ieeexplore.ieee.org/author/38202898100","1","G.E. Rosario","38202898100","Dept. of Comput. Sci., Worcester Polytech. Inst., USA","https://ieeexplore.ieee.org/author/37279217900","2","E.A. Rundensteiner","37279217900","Dept. of Comput. Sci., Worcester Polytech. Inst., USA","https://ieeexplore.ieee.org/author/38183230000","3","D.C. Brown","38183230000","Dept. of Comput. Sci., Worcester Polytech. Inst., USA","https://ieeexplore.ieee.org/author/37268441700","4","M.O. Ward","37268441700","","","","","","7","1","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249016","120","https://ieeexplore.ieee.org/document/1249016/","Data visualization","Information analysis","Pattern analysis","Computer science","Computer displays","Packaging","Chromium","Mathematics","Probability","Pattern recognition","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249016","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","12","113","Mapping nominal values to numbers for effective visualization"
"Dynamic queries facilitate rapid exploration of information by real-time visual display of both query formulation and results. Dynamic query sliders are linked to the main visualization to filter data. A common alternative to dynamic queries is to link several simple visualizations, such as histograms, to the main visualization with a brushing interaction strategy. Selecting data in the histograms highlights that data in the main visualization. We compare these two approaches in an empirical experiment on DataMaps, a geographic data visualization tool. Dynamic query sliders resulted in better performance for simple range tasks, while brushing histograms was better for complex trend evaluation and attribute relation tasks. Participants preferred brushing histograms for understanding relationships between attributes and the rich information they provided.","https://ieeexplore.ieee.org/document/1249020/","LOCKED","1249020","Dept. of Comput. Sci., Virginia Polytech. Inst & State Univ., Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/38199879300","1","Qing Li","38199879300","Dept. of Comput. Sci., Virginia Polytech. Inst & State Univ., Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/37419565900","2","C. North","37419565900","","","","","","","","","","","","","","","","1","2","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249020","153","https://ieeexplore.ieee.org/document/1249020/","Histograms","Data visualization","Information filtering","Information filters","Displays","Information retrieval","User interfaces","Manipulator dynamics","Multidimensional systems","Visual databases","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249020","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","13","147","Empirical comparison of dynamic query sliders and brushing histograms"
"Large and high-dimensional data sets mapped to low-dimensional visualizations often result in perceptual ambiguities. One such ambiguity is overlap or occlusion that occurs when the number of records exceeds the number of unique locations in the presentation or when there exist two or more records that map to the same location. To lessen the affect of occlusion, non-standard visual attributes (i.e. shading and/or transparency) are applied, or such records may be remapped to a corresponding jittered location. The resulting mapping efficiently portrays the crowding of records but fails to provide the insight into the relationship between the neighboring records. We introduce a new interactive technique that intelligibly organizes overlapped points, a neural network-based smart jittering algorithm. We demonstrate this technique on a scatter plot, the most widely used visualization. The algorithm can be applied to other one, two, and multi-dimensional visualizations which represent data as points, including 3-dimensional scatter plots, RadViz, polar coordinates.","https://ieeexplore.ieee.org/document/1249018/","LOCKED","1249018","LSU Comput. Sci., LSU Health Sci. Center, Shreveport, LA, USA","https://ieeexplore.ieee.org/author/37546988100","1","M. Trutschl","37546988100","","https://ieeexplore.ieee.org/author/37360588500","2","G. Grinstein","37360588500","","https://ieeexplore.ieee.org/author/37063728500","3","U. Cvek","37063728500","","","","","","","","","","","14","4","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249018","136","https://ieeexplore.ieee.org/document/1249018/","Data visualization","Computer science","Scattering","Displays","Computer graphics","Artificial neural networks","Neural networks","Multidimensional systems","Chromium","User interfaces","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249018","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","14","131","Intelligently resolving point occlusion"
"As visualization researchers, we are interested in gaining a better understanding of how to effectively use texture to facilitate shape perception. If we could design the ideal texture pattern to apply to an arbitrary smoothly curving shape to be most accurately and effectively perceived, what would the characteristics of that texture pattern be? In this paper we describe the results of a comprehensive controlled observer experiment intended to yield insight into that question. Here, we report the results of a new study comparing the relative accuracy of observers' judgments of shape type (elliptical, cylindrical, hyperbolic or flat) and shape orientation (convex, concave, both, or neither) for local views of boundary masked quadric surface patches under six different principal direction texture pattern conditions plus two texture conditions (an isotropic pattern and a non-principal direction oriented anisotropic pattern), under both perspective and orthographic projection conditions and from both head-on and oblique viewpoints. Our results confirm the hypothesis that accurate shape perception is facilitated to a statistically significantly greater extent by some principal direction texture patterns than by others. Specifically, we found that, for both views, under conditions of perspective projection, participants more often correctly identified the shape category and the shape orientation when the surface was textured with the pattern that contained oriented energy along both the first and second principal directions only than in the case of any other texture condition. Patterns containing markings following only one of the principal directions, or containing information along other directions in addition to the principal directions yielded poorer performance overall.","https://ieeexplore.ieee.org/document/1249022/","LOCKED","1249022","Minnesota Univ., Minneapolis, MN, USA","https://ieeexplore.ieee.org/author/38307086000","1","Sunghee Kim","38307086000","Minnesota Univ., Minneapolis, MN, USA","https://ieeexplore.ieee.org/author/38335711400","2","H. Hagh-Shenas","38335711400","Minnesota Univ., Minneapolis, MN, USA","https://ieeexplore.ieee.org/author/37282637800","3","V. Interrante","37282637800","","","","","","","","","","","1","0","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249022","170","https://ieeexplore.ieee.org/document/1249022/","Surface texture","Anisotropic magnetoresistance","Shape control","Data visualization","Computer displays","Probes","Geometry","Chromium","Computer graphics","Material properties","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249022","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","15","163","Conveying shape with texture: an experimental investigation of the impact of texture type on shape categorization judgments"
"This paper proposes a conceptual model called compound brushing for modeling the brushing techniques used in dynamic data visualization. In this approach, brushing techniques are modeled as higraphs with five types of basic entities: data, selection, device, renderer, and transformation. Using this model, a flexible visual programming tool is designed not only to configure/control various common types of brushing techniques currently used in dynamic data visualization, but also to investigate new brushing techniques.","https://ieeexplore.ieee.org/document/1249024/","LOCKED","1249024","SAS Inst. Inc., Cary, NC, USA","https://ieeexplore.ieee.org/author/38201292600","1","Hong Chen","38201292600","","","","","","","","","","","","","","","","","","","","","0","0","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249024","188","https://ieeexplore.ieee.org/document/1249024/","Brushes","Data visualization","Dynamic programming","Graphics","Scattering","Shape","Synthetic aperture sonar","Rendering (computer graphics)","Chromium","Utility programs","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249024","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","16","181","Compound brushing [dynamic data visualization]"
"Traditionally, node link diagrams are the prime choice when it comes to visualizing software architectures. However, node link diagrams often fall short when used to visualize large graph structures. In this paper we investigate the use of call matrices as visual aids in the management of large software projects. We argue that call matrices have a number of advantages over traditional node link diagrams when the main object of interest is the link instead of the node. Matrix visualizations can provide stable and crisp layouts of large graphs and are inherently well suited for large multilevel visualizations because of their recursive structure. We discuss a number of visualization issues, using a very large software project currently under development at Philips Medical Systems as a running example.","https://ieeexplore.ieee.org/document/1249030/","LOCKED","1249030","Dept. of Math. & Comput. Sci., Technische Universiteit Eindhoven, Netherlands","https://ieeexplore.ieee.org/author/37326291000","1","F. van Ham","37326291000","","","","","","","","","","","","","","","","","","","","","35","0","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249030","232","https://ieeexplore.ieee.org/document/1249030/","Visualization","Software engineering","Software systems","Programming profession","Biomedical imaging","Mathematics","Computer science","Software architecture","Project management","Chromium","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249030","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","17","227","Using multilevel call matrices in large software projects"
"This paper describes Thread Arcs, a novel interactive visualization technique designed to help people use threads found in email. Thread Arcs combine the chronology of messages with the branching tree structure of a conversational thread in a mixed-model visualization by Venolia and Neustaedter (2003) that is stable and compact. By quickly scanning and interacting with Thread Arcs, people can see various attributes of conversations and find relevant messages in them easily. We tested this technique against other visualization techniques with users' own email in a functional prototype email client. Thread Arcs proved an excellent match for the types of threads found in users' email for the qualities users wanted in small-scale visualizations.","https://ieeexplore.ieee.org/document/1249028/","LOCKED","1249028","","https://ieeexplore.ieee.org/author/38203152100","1","B. Kerr","38203152100","","","","","","","","","","","","","","","","","","","","","36","18","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249028","218","https://ieeexplore.ieee.org/document/1249028/","Yarn","Visualization","Tree data structures","Testing","User interfaces","Collaboration","Prototypes","Chromium","Electronic mail","Disk recording","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249028","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","18","211","Thread Arcs: an email thread visualization"
"This paper reports on the development of a visualization system for architectural lighting designers. It starts by motivating the problem as both complex in its physics and social organization. Three iterations of prototypes for displaying time and space varying phenomena are discussed. Fieldwork is presented to identify where in practice they will be most effective. A set of user studies, one of which is analyzed in fine-grained detail, show how building designers incorporate visualization on hypothetical design problems. This has positive implications for both energy efficiency and lighting quality in buildings.","https://ieeexplore.ieee.org/document/1249032/","LOCKED","1249032","Interdisciplinary Doctoral Program, California Univ., Berkeley, CA, USA","https://ieeexplore.ieee.org/author/37086356254","1","D.C. Glaser","37086356254","","https://ieeexplore.ieee.org/author/37086354252","2","R. Tan","37086354252","","https://ieeexplore.ieee.org/author/37329993400","3","J. Canny","37329993400","","https://ieeexplore.ieee.org/author/37640856000","4","E. Yi-Luen Do","37640856000","","","","","","3","0","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249032","248","https://ieeexplore.ieee.org/document/1249032/","Buildings","Visualization","Physics","Computer science","Prototypes","Energy efficiency","Computer interfaces","Virtual prototyping","Computer architecture","Extraterrestrial phenomena","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249032","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","19","241","Developing architectural lighting representations"
"We propose a new method for assessing the perceptual organization of information graphics, based on the premise that the visual structure of an image should match the structure of the data it is intended to convey. The core of our method is a new formal model of one type of perceptual structure, based on classical machine vision techniques for analyzing an image at multiple resolutions. The model takes as input an arbitrary grayscale image and returns a lattice structure describing the visual organization of the image. We show how this model captures several aspects of traditional design aesthetics, and we describe a software tool that implements the model to help designers analyze and refine visual displays. Our emphasis here is on demonstrating the model's potential as a design aid rather than as a description of human perception, but given its initial promise we propose a variety of ways in which the model could be extended and validated.","https://ieeexplore.ieee.org/document/1249005/","LOCKED","1249005","Collaborative User Experience Group, IBM Res., White Plains, NY, USA","https://ieeexplore.ieee.org/author/37550759700","1","M. Wattenberg","37550759700","","https://ieeexplore.ieee.org/author/37542391000","2","D. Fisher","37542391000","","","","","","","","","","","","","","","","5","0","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249005","30","https://ieeexplore.ieee.org/document/1249005/","Graphics","Displays","Visualization","Humans","Image analysis","Gray-scale","Software tools","Design methodology","Guidelines","Collaboration","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249005","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","20","23","A model of multi-scale perceptual organization in information graphics"
"In this paper, we focus on some of the key design decisions we faced during the process of architecting a visualization system and present some possible choices, with their associated advantages and disadvantages. We frame this discussion within the context of Rivet, our general visualization environment designed for rapidly prototyping interactive, exploratory visualization tools for analysis. As we designed increasingly sophisticated visualizations, we needed to refine Rivet in order to be able to create these richer displays for larger and more complex data sets. The design decisions we discuss in this paper include: the internal data model, data access, semantic meta-data information the visualization can use to create effective visual decodings, the need for data transformations in a visualization tool, modular objects for flexibility, and the tradeoff between simplicity and expressiveness when providing methods for creating visualizations.","https://ieeexplore.ieee.org/document/1249007/","LOCKED","1249007","Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37652594600","1","D. Tang","37652594600","Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37442008700","2","C. Stolte","37442008700","Stanford Univ., CA, USA","","3","R. Bosche","","","","","","","","","","","","4","1","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249007","48","https://ieeexplore.ieee.org/document/1249007/","Data visualization","Data models","Information analysis","Prototypes","Displays","Encoding","Chromium","Information systems","Polarization","User interfaces","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249007","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","21","41","Design choices when architecting visualizations"
"Many networks under study in information visualization are ""small world"" networks. These networks first appeared in the study of social networks and were shown to be relevant models in other application domains such as software reverse engineering and biology. Furthermore, many of these networks actually have a multiscale nature: they can be viewed as a network of groups that are themselves small world networks. We describe a metric that has been designed in order to identify the weakest edges in a small world network leading to an easy and low cost filtering procedure that breaks up a graph into smaller and highly connected components. We show how this metric can be exploited through an interactive navigation of the network based on semantic zooming. Once the network is decomposed into a hierarchy of sub-networks, a user can easily find groups and subgroups of actors and understand their dynamics.","https://ieeexplore.ieee.org/document/1249011/","LOCKED","1249011","LaBRI, Bordeaux, France","https://ieeexplore.ieee.org/author/37282996500","1","D. Auber","37282996500","","https://ieeexplore.ieee.org/author/37282997400","2","Y. Chiricota","37282997400","","https://ieeexplore.ieee.org/author/37283172300","3","F. Jourdan","37283172300","","https://ieeexplore.ieee.org/author/37283186100","4","G. Melancon","37283186100","","","","","","54","0","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249011","81","https://ieeexplore.ieee.org/document/1249011/","Visualization","Motion pictures","Social network services","Application software","Computer graphics","Databases","Biological system modeling","Reverse engineering","Computational biology","Costs","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249011","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","22","75","Multiscale visualization of small world networks"
"Graph and tree visualization techniques enable interactive exploration of complex relations while communicating topology. However, most existing techniques have not been designed for situations where visual information such as images is also present at each node and must be displayed. This paper presents MoireGraphs to address this need. MoireGraphs combine a new focus+context radial graph layout with a suite of interaction techniques (focus strength changing, radial rotation, level highlighting, secondary foci, animated transitions and node information) to assist in the exploration of graphs with visual nodes. The method is scalable to hundreds of displayed visual nodes.","https://ieeexplore.ieee.org/document/1249009/","LOCKED","1249009","Mississippi State Univ., Starkville, MS, USA","https://ieeexplore.ieee.org/author/38275083200","1","T.J. Jankun-Kelly","38275083200","","https://ieeexplore.ieee.org/author/37275869400","2","Kwan-Liu Ma","37275869400","","","","","","","","","","","","","","","","28","8","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249009","66","https://ieeexplore.ieee.org/document/1249009/","Focusing","Tree graphs","Topology","Geometry","Layout","Computer graphics","Displays","Animation","Data visualization","Computer science","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249009","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","23","59","MoireGraphs: radial focus+context visualization and interaction for graphs with visual nodes"
"In visualising multidimensional data, it is well known that different types of algorithms to process them. Data sets might be distinguished according to volume, variable types and distribution, and each of these characteristics imposes constraints upon the choice of applicable algorithms for their visualization. Previous work has shown that a hybrid algorithmic approach can be successful in addressing the impact of data volume on the feasibility of multidimensional scaling (MDS). This suggests that hybrid combinations of appropriate algorithms might also successfully address other characteristics of data. This paper presents a system and framework in which a user can easily explore hybrid algorithms and the data flowing through them. Visual programming and a novel algorithmic architecture let the user semi-automatically define data flows and the co-ordination of multiple views.","https://ieeexplore.ieee.org/document/1249013/","LOCKED","1249013","Dept. of Comput. Sci., Glasgow Univ., UK","https://ieeexplore.ieee.org/author/37282731400","1","G. Ross","37282731400","Dept. of Comput. Sci., Glasgow Univ., UK","https://ieeexplore.ieee.org/author/37283487400","2","M. Chalmers","37283487400","","","","","","","","","","","","","","","","1","0","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249013","96","https://ieeexplore.ieee.org/document/1249013/","Multidimensional systems","Clustering algorithms","Data visualization","Visual databases","Computer architecture","Chromium","Pattern recognition","Data structures","Computer graphics","Springs","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249013","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","24","91","A virtual workspace for hybrid multidimensional scaling algorithms"
"Large number of dimensions not only cause clutter in multi-dimensional visualizations, but also make it difficult for users to navigate the data space. Effective dimension management, such as dimension ordering, spacing and filtering, is critical for visual exploration of such datasets. Dimension ordering and spacing explicitly reveal dimension relationships in arrangement-sensitive multidimensional visualization techniques, such as parallel coordinates, star glyphs, and pixel-oriented techniques. They facilitate the visual discovery of patterns within the data. Dimension filtering hides some of the dimensions to reduce clutter while preserving the major information of the dataset. In this paper, we propose an interactive hierarchical dimension ordering, spacing and filtering approach, called DOSFA. DOSFA is based on dimension hierarchies derived from similarities among dimensions. It is scalable multi-resolution approach making dimensional management a tractable task. On the one hand, it automatically generates default settings for dimension ordering, spacing and filtering. On the other hand, it allows users to efficiently control all aspects of this dimension management process via visual interaction tools for dimension hierarchy manipulation. A case study visualizing a dataset containing over 200 dimensions reveals high dimensional visualization techniques.","https://ieeexplore.ieee.org/document/1249015/","LOCKED","1249015","Dept. of comuter Sci., Worcester Polytech. Inst., MA, USA","https://ieeexplore.ieee.org/author/37292632600","1","Jing Yang","37292632600","Dept. of comuter Sci., Worcester Polytech. Inst., MA, USA","https://ieeexplore.ieee.org/author/37929204000","2","Wei Peng","37929204000","Dept. of comuter Sci., Worcester Polytech. Inst., MA, USA","https://ieeexplore.ieee.org/author/37268441700","3","M.O. Ward","37268441700","Dept. of comuter Sci., Worcester Polytech. Inst., MA, USA","https://ieeexplore.ieee.org/author/37279217900","4","E.A. Rundensteiner","37279217900","","","","","","20","3","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249015","112","https://ieeexplore.ieee.org/document/1249015/","Multidimensional systems","Data visualization","Face detection","Displays","Navigation","Information filtering","Information filters","Visual databases","Stacking","Computer science","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249015","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","25","105","Interactive hierarchical dimension ordering, spacing and filtering for exploration of high dimensional datasets"
"We present a novel family of data-driven linear transformations, aimed at visualizing multivariate data in a low-dimensional space in a way that optimally preserves the structure of the data. The well-studied PCA and Fisher's LDA (linear discriminant analysis) are shown to be special members in this family of transformations, and we demonstrate how to generalize these two methods such as to enhance their performance. Furthermore, our technique is the only one, to the best of our knowledge, that reflects in the resulting embedding both the data coordinates and pairwise similarities and/or dissimilarities between the data elements. Even more so, when information on the clustering (labeling) decomposition of the data is known, this information can be integrated in the linear transformation, resulting in embeddings that clearly show the separation between the clusters, as well as their infrastructure. All this makes our technique very flexible and powerful, and lets us cope with kinds of data that other techniques fail to describe properly.","https://ieeexplore.ieee.org/document/1249017/","LOCKED","1249017","Dept. of Comput. Sci. & Appl. Math., Weizmann Inst. of Sci., Rehovot, Israel","https://ieeexplore.ieee.org/author/37414256700","1","Y. Koren","37414256700","Dept. of Comput. Sci. & Appl. Math., Weizmann Inst. of Sci., Rehovot, Israel","https://ieeexplore.ieee.org/author/38144155300","2","L. Carmel","38144155300","","","","","","","","","","","","","","","","15","0","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249017","128","https://ieeexplore.ieee.org/document/1249017/","Data visualization","Principal component analysis","Linear discriminant analysis","Design optimization","Numerical analysis","Visual databases","Clustering algorithms","Computer science","Mathematics","Labeling","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249017","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","26","121","Visualization of labeled data using linear transformations"
"This paper presents the results of an experiment aimed at investigating how different methods of viewing visual programs affect users' understanding. The first two methods used traditional flat and semantic zooming models of program representation; the third is a new representation that uses semantic zooming combined with blending and proximity. The results of several search tasks performed by approximately 80 participants showed that the new method resulted in both faster and more accurate searches than the other methods.","https://ieeexplore.ieee.org/document/1249021/","LOCKED","1249021","Center for High Performance Comput., New Mexico Univ., Albuquerque, NM, USA","https://ieeexplore.ieee.org/author/38026709000","1","K.L. Summers","38026709000","","https://ieeexplore.ieee.org/author/38202832700","2","T.E. Goldsmith","38202832700","","https://ieeexplore.ieee.org/author/37085932011","3","S. Kubica","37085932011","","https://ieeexplore.ieee.org/author/37297193300","4","T.P. Caudell","37297193300","","","","","","0","0","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249021","162","https://ieeexplore.ieee.org/document/1249021/","Visualization","Programming profession","Electronic mail","Testing","High performance computing","Psychology","Chromium","User interfaces","Programming environments","Humans","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249021","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","27","155","An experimental evaluation of continuous semantic zooming in program"
