"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"We present a hardware-accelerated method for visualizing 3D flow fields. The method is based on insertion, advection, and decay of dye. To this aim, we extend the texture-based IBFV technique presented by van Wijk (2001) for 2D flow visualization in two main directions. First, we decompose the 3D flow visualization problem in a series of 2D instances of the mentioned IBFV technique. This makes our method benefit from the hardware acceleration the original IBFV technique introduced. Secondly, we extend the concept of advected gray value (or color) noise by introducing opacity (or matter) noise. This allows us to produce sparse 3D noise pattern advections, thus address the occlusion problem inherent to 3D flow visualization. Overall, the presented method delivers interactively animated 3D flow, uses only standard OpenGL 1.1 calls and 2D textures, and is simple to understand and implement.","https://ieeexplore.ieee.org/document/1250377/","LOCKED","1250377","Dept. of Math. & Comput. Sci., Technische Universiteit Eindhoven, Netherlands","https://ieeexplore.ieee.org/author/37268047100","1","A. Telea","37268047100","Dept. of Math. & Comput. Sci., Technische Universiteit Eindhoven, Netherlands","https://ieeexplore.ieee.org/author/37267249200","2","J.J. van Wijk","37267249200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","2","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250377","240","https://ieeexplore.ieee.org/document/1250377/","Hardware","Data visualization","Colored noise","Animation","Rendering (computer graphics)","Acceleration","Computational fluid dynamics","Streaming media","Graphics","Mathematics","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250377","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","11","233","3D IBFV: hardware-accelerated 3D flow visualization"
"We present a haptic rendering technique that uses directional constraints to facilitate enhanced exploration modes for volumetric datasets. The algorithm restricts user motion in certain directions by incrementally moving a proxy point along the axes of a local reference frame. Reaction forces are generated by a spring coupler between the proxy and the data probe, which can be tuned to the capabilities of the haptic interface. Secondary haptic effects including field forces, friction, and texture can be easily incorporated to convey information about additional characteristics of the data. We illustrate the technique with two examples: displaying fiber orientation in heart muscle layers and exploring diffusion tensor fiber tracts in brain white matter tissue. Initial evaluation of the approach indicates that haptic constraints provide an intuitive means or displaying directional information in volume data.","https://ieeexplore.ieee.org/document/1250381/","LOCKED","1250381","Sci. Comput. & Imaging Inst., Utah Univ., USA","https://ieeexplore.ieee.org/author/37426872100","1","M. Ikits","37426872100","Sci. Comput. & Imaging Inst., Utah Univ., USA","https://ieeexplore.ieee.org/author/38198607400","2","J.D. Brederson","38198607400","Sci. Comput. & Imaging Inst., Utah Univ., USA","https://ieeexplore.ieee.org/author/37266777200","3","C.D. Hansen","37266777200","Sci. Comput. & Imaging Inst., Utah Univ., USA","https://ieeexplore.ieee.org/author/37276931400","4","C.R. Johnson","37276931400","","","","","","","","","","","","","","","","","","","","","","28","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250381","269","https://ieeexplore.ieee.org/document/1250381/","Haptic interfaces","Probes","Rendering (computer graphics)","Data visualization","Feedback","Friction","Computer graphics","Scientific computing","Springs","Optical fiber couplers","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250381","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","12","263","A constraint-based technique for haptic volume exploration"
"The Internet pervades many aspects of our lives and is becoming indispensable to critical functions in areas such as commerce, government, production and general information dissemination. To maintain the stability and efficiency of the Internet, every effort must be made to protect it against various forms of attacks, malicious users, and errors. A key component in the Internet security effort is the routine examination of Internet routing data, which unfortunately can be too large and complicated to browse directly. We have developed an interactive visualization process which proves to be very effective for the analysis of Internet routing data. In this application paper, we show how each step in the visualization process helps direct the analysis and glean insights from the data. These insights include the discovery of patterns, detection of faults and abnormal events, understanding of event correlations, formation of causation hypotheses, and classification of anomalies. We also discuss lessons learned in our visual analysis study.","https://ieeexplore.ieee.org/document/1250415/","LOCKED","1250415","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37412023800","1","Soon Tee Teoh","37412023800","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37275869400","2","Kwan-Liu Ma","37275869400","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37281058700","3","S.F. Wu","37281058700","","","","","","","","","","","","","","","","","","","","","","","","","","","14","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250415","530","https://ieeexplore.ieee.org/document/1250415/","Internet","Routing","Data visualization","Business","Government","Production","Stability","Protection","Data security","Information security","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250415","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","13","523","A visual exploration process for the analysis of Internet routing data"
"We introduce a new method for visualizing symmetric tensor fields. The technique produces images and animations reminiscent of line integral convolution (LIC). The technique is also slightly related to hyperstreamlines in that it is used to visualize tensor fields. However, the similarity ends there. HyperLIC uses a multi-pass approach to show the anisotropic properties in a 2D or 3D tensor field. We demonstrate this technique using data sets from computational fluid dynamics as well as diffusion-tensor MRI.","https://ieeexplore.ieee.org/document/1250379/","LOCKED","1250379","Comput. Sci. Dept., California Univ., Santa Cruz, CA, USA","https://ieeexplore.ieee.org/author/37274785100","1","Xiaoqiang Zheng","37274785100","Comput. Sci. Dept., California Univ., Santa Cruz, CA, USA","https://ieeexplore.ieee.org/author/37267352000","2","A. Pang","37267352000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250379","256","https://ieeexplore.ieee.org/document/1250379/","Tensile stress","Anisotropic magnetoresistance","Data visualization","Animation","Eigenvalues and eigenfunctions","Convolution","Computer science","Computational fluid dynamics","Magnetic resonance imaging","Chromium","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250379","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","14","249","HyperLIC"
"Weather visualization is a difficult problem because it comprises volumetric multi-field data and traditional surface-based approaches obscure details of the complex three-dimensional structure of cloud dynamics. Therefore, visually accurate volumetric multi-field visualization of storm scale and cloud scale data is needed to effectively and efficiently communicate vital information to weather forecasters, improving storm forecasting, atmospheric dynamics models, and weather spotter training. We have developed a new approach to multi-field visualization that uses field specific, physically-based opacity, transmission, and lighting calculations per-field for the accurate visualization of storm and cloud scale weather data. Our approach extends traditional transfer function approaches to multi-field data and to volumetric illumination and scattering.","https://ieeexplore.ieee.org/document/1250383/","LOCKED","1250383","Purdue Univ., West Lafayette, IN, USA","https://ieeexplore.ieee.org/author/37552979700","1","K. Riley","37552979700","Purdue Univ., West Lafayette, IN, USA","https://ieeexplore.ieee.org/author/37282598900","2","D. Ebert","37282598900","","https://ieeexplore.ieee.org/author/37266777200","3","C. Hansen","37266777200","","https://ieeexplore.ieee.org/author/37550576700","4","J. Levit","37550576700","","","","","","","","","","","","","","","","","","","","","","19","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250383","286","https://ieeexplore.ieee.org/document/1250383/","Data visualization","Weather forecasting","Storms","Clouds","Isosurfaces","Light scattering","Particle scattering","Predictive models","Computer graphics","Meteorology","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250383","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","15","279","Visually accurate multi-field weather visualization"
"Simulation of rigid body dynamics has been a field of active research for quite some time. However, the presentation of simulation results has received far less attention so far. We present an interactive and intuitive 3D visualization framework for rigid body simulation data. We introduce various glyphs representing vector attributes such as force and velocity as well as angular attributes including angular velocity and torque. We have integrated our visualization method into an application developed at one of the leading companies in automotive engine design and simulation. We apply our principles to visualization of chain and belt driven timing drives in engines.","https://ieeexplore.ieee.org/document/1250417/","LOCKED","1250417","VRVis Res. Center, Austria","https://ieeexplore.ieee.org/author/38190845700","1","Z. Konyha","38190845700","VRVis Res. Center, Austria","https://ieeexplore.ieee.org/author/38188281400","2","K. Matkovic","38188281400","VRVis Res. Center, Austria","https://ieeexplore.ieee.org/author/37274158800","3","H. Hauser","37274158800","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250417","546","https://ieeexplore.ieee.org/document/1250417/","Data visualization","Computational modeling","Computer simulation","Vehicle dynamics","Analytical models","Biological system modeling","Computer graphics","Animation","Belts","Automotive engineering","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250417","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","16","539","Interactive 3D visualization of rigid body systems"
"In this paper, we describe a set of 3D and 4D visualization tools and techniques for CORIE, a complex environmental observation and forecasting system (EOFS) for the Columbia River. The Columbia River, a complex and highly variable estuary, is the target of numerous cross-disciplinary ecosystem research projects and is at the heart of multiple sustainable development issues with long reaching implications for the Pacific Northwest. However, there has been until recently no comprehensive and objective system available for modeling this environment, and as a consequence, researchers and agencies have had inadequate tools for evaluating the effects of natural resource management decisions. CORIE was designed to address this gap and is a major step towards the vision of a scalable, multi-use, real-time EOFS. Although CORIE already had a rich set of visualization tools, most of them produced 2D visualizations and did not allow for interactive visualization. Our work adds advanced interactive 3D tools to CORIE, which can be used for further inspection of the simulated and measured data.","https://ieeexplore.ieee.org/document/1250421/","LOCKED","1250421","OGI Sch. of Sci. & Eng., Oregon Health & Sci. Univ., Portland, OR, USA","https://ieeexplore.ieee.org/author/38139545800","1","W.H. Jimenez","38139545800","OGI Sch. of Sci. & Eng., Oregon Health & Sci. Univ., Portland, OR, USA","https://ieeexplore.ieee.org/author/38152504300","2","W.T. Correa","38152504300","OGI Sch. of Sci. & Eng., Oregon Health & Sci. Univ., Portland, OR, USA","https://ieeexplore.ieee.org/author/37275249200","3","C.T. Silva","37275249200","OGI Sch. of Sci. & Eng., Oregon Health & Sci. Univ., Portland, OR, USA","https://ieeexplore.ieee.org/author/37371354900","4","A.M. Baptista","37371354900","","","","","","","","","","","","","","","","","","","","","","1","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250421","574","https://ieeexplore.ieee.org/document/1250421/","Sea measurements","Observatories","Rivers","Ecosystems","Data visualization","Predictive models","Heart","Sustainable development","Computational modeling","Power engineering computing","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250421","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","17","569","Visualizing spatial and temporal variability in coastal observatories"
"A survey of graphics developers on the issue of texture mapping hardware for volume rendering would most likely find that the vast majority of them view limited texture memory as one of the most serious drawbacks of an otherwise fine technology. In this paper, we propose a compression scheme for static and time-varying volumetric data sets based on vector quantization that allows us to circumvent this limitation. We describe a hierarchical quantization scheme that is based on a multiresolution covariance analysis of the original field. This allows for the efficient encoding of large-scale data sets, yet providing a mechanism to exploit temporal coherence in non-stationary fields. We show, that decoding and rendering the compressed data stream can be done on the graphics chip using programmable hardware. In this way, data transfer between the CPU and the graphics processing unit (GPU) can be minimized thus enabling flexible and memory efficient real-time rendering options. We demonstrate the effectiveness of our approach by demonstrating interactive renditions of Gigabyte data sets at reasonable fidelity on commodity graphics hardware.","https://ieeexplore.ieee.org/document/1250385/","LOCKED","1250385","Comput. Graphics & Visualization Group, Tech. Univ. Munich, Germany","https://ieeexplore.ieee.org/author/37560044500","1","J. Schneider","37560044500","Comput. Graphics & Visualization Group, Tech. Univ. Munich, Germany","https://ieeexplore.ieee.org/author/37444424000","2","R. Westermann","37444424000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250385","300","https://ieeexplore.ieee.org/document/1250385/","Rendering (computer graphics)","Computer graphics","Hardware","Vector quantization","Data visualization","Large-scale systems","Decoding","Central Processing Unit","Shock waves","Encoding","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250385","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","18","293","Compression domain volume rendering"
"A new method was developed to increase the saliency of changing variables in a cardiovascular visualization for use by anesthesiologists in the operating room (OR). Clinically meaningful changes in patient physiology were identified and then mapped to the inherent psychophysical properties of the visualization. A long history of psychophysical research has provided an understanding of the parameters within which the human information processing system is able to detect changes in the size, shape and color of visual objects (Gescheider, 1976, Spence, 1990, and Baird, 1970). These detection thresholds are known as just noticeable differences (JNDs) which characterize the amount of change in an object's attribute that is recognizable 50% of the time. A prototype version of the display has been demonstrated to facilitate anesthesiologist's performance while reducing cognitive workload during simulated cardiac events (Agutter et al., 2002). In order to further improve the utility of the new cardiovascular visualization, the clinically relevant changes in cardiovascular variables are mapped to noticeable perceptual changes in the representational elements of the display. The results of the method described in this paper are used to merge information from the psychophysical properties of the cardiovascular visualization, with clinically relevant changes in the patient's cardiovascular physiology as measured by the clinical meaningfulness questionnaire. The result of this combination will create a visualization that is sensitive to changes in the cardiovascular health of the patient and communicates this information to the user in a meaningful, salient and intuitive manner.","https://ieeexplore.ieee.org/document/1250352/","LOCKED","1250352","Appl. Med. Visualizations, West Valley, UT, USA","https://ieeexplore.ieee.org/author/38202614000","1","R. Albert","38202614000","Appl. Med. Visualizations, West Valley, UT, USA","https://ieeexplore.ieee.org/author/37725245800","2","N. Syroid","37725245800","","https://ieeexplore.ieee.org/author/38200661900","3","Y. Zhang","38200661900","","https://ieeexplore.ieee.org/author/37442679500","4","J. Agutter","37442679500","","https://ieeexplore.ieee.org/author/37281841200","5","F. Drews","37281841200","https://ieeexplore.ieee.org/author/37726237200","6","D. Strayer","37726237200","https://ieeexplore.ieee.org/author/37430681500","7","G. Hutchinson","37430681500","https://ieeexplore.ieee.org/author/37293901500","8","D. Westenskow","37293901500","","","","","1","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250352","42","https://ieeexplore.ieee.org/document/1250352/","Psychology","Cardiology","Displays","Visualization","Physiology","History","Humans","Information processing","Object detection","Shape","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250352","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","19","35","Psychophysical scaling of a cardiovascular information display"
"We describe an interactive visualization and modeling program for the creation of protein structures ""from scratch."" The input to our program is an amino acid sequence - decoded from a gene - and a sequence of predicted secondary structure types for each amino acid - provided by external structure prediction programs. Our program can be used in the set-up phase of a protein structure prediction process; the structures created with it serve as input for a subsequent global internal energy minimization, or another method of protein structure prediction. Our program supports basic visualization methods for protein structures, interactive manipulation based on inverse kinematics, and visualization guides to aid a user in creating ""good"" initial structures.","https://ieeexplore.ieee.org/document/1250423/","LOCKED","1250423","Dept. of Comput. Sci., Univ. of California, Davis, CA, USA","https://ieeexplore.ieee.org/author/37726031300","1","O. Kreylos","37726031300","Dept. of Comput. Sci., Univ. of California, Davis, CA, USA","https://ieeexplore.ieee.org/author/37267387800","2","N.L. Max","37267387800","Dept. of Comput. Sci., Univ. of California, Davis, CA, USA","https://ieeexplore.ieee.org/author/37282068700","3","B. Hamann","37282068700","","https://ieeexplore.ieee.org/author/37565737200","4","S.N. Crivelli","37565737200","","https://ieeexplore.ieee.org/author/38550755500","5","E. Wes Bethel","38550755500","","","","","","","","","","","","","","","","","5","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250423","588","https://ieeexplore.ieee.org/document/1250423/","Proteins","Amino acids","Sequences","Visualization","Chemicals","Spine","Predictive models","Kinematics","Computational biology","Computer graphics","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250423","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","20","581","Interactive protein manipulation"
"Non-linear filtering is an important task for volume analysis. This paper presents hardware-based implementations of various non-linear filters for volume smoothing with edge preservation. The Cg high-level shading language is used in combination with latest PC consumer graphics hardware. Filtering is divided into pervertex and per-fragment stages. In both stages we propose techniques to increase the filtering performance. The vertex program pre-computes texture coordinates in order to address all contributing input samples of the operator mask. Thus additional computations are avoided in the fragment program. The presented fragment programs preserve cache coherence, exploit 4D vector arithmetic, and internal fixed point arithmetic to increase performance. We show the applicability of non-linear filters as part of a GPU-based segmentation pipeline. The resulting binary mask is compressed and decompressed in the graphics memory on-the-fly.","https://ieeexplore.ieee.org/document/1250387/","LOCKED","1250387","Inst. of Comput. Graphics & Algorithms, Vienna Univ. of Technol., Austria","https://ieeexplore.ieee.org/author/37282726800","1","I. Viola","37282726800","Inst. of Comput. Graphics & Algorithms, Vienna Univ. of Technol., Austria","https://ieeexplore.ieee.org/author/37282727500","2","A. Kanitsar","37282727500","Inst. of Comput. Graphics & Algorithms, Vienna Univ. of Technol., Austria","https://ieeexplore.ieee.org/author/37282552200","3","M.E. Groller","37282552200","","","","","","","","","","","","","","","","","","","","","","","","","","","12","2","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250387","316","https://ieeexplore.ieee.org/document/1250387/","Filtering","Nonlinear filters","Hardware","Smoothing methods","Image segmentation","Pipelines","Computer graphics","Image reconstruction","Image edge detection","Fixed-point arithmetic","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250387","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","21","309","Hardware-based nonlinear filtering and segmentation using high-level shading languages"
"Visibility culling has the potential to accelerate large data visualization in significant ways. Unfortunately, existing algorithms do not scale well when parallelized, and require full re-computation whenever the opacity transfer function is modified. To address these issues, we have designed a Plenoptic Opacity Function (POF) scheme to encode the view-dependent opacity of a volume block. POFs are computed off-line during a pre-processing stage, only once for each block. We show that using POFs is (i) an efficient, conservative and effective way to encode the opacity variations of a volume block for a range of views, (ii) flexible for re-use by a family of opacity transfer functions without the need for additional off-line processing, and (iii) highly scalable for use in massively parallel implementations. Our results confirm the efficacy of POFs for visibility culling in large-scale parallel volume rendering; we can interactively render the Visible Woman dataset using software ray-casting on 32 processors, with interactive modification of the opacity transfer function on-the-fly.","https://ieeexplore.ieee.org/document/1250391/","LOCKED","1250391","Ohio State Univ., USA","https://ieeexplore.ieee.org/author/37279695300","1","Jinzhu Gao","37279695300","","https://ieeexplore.ieee.org/author/37281262900","2","Jian Huang","37281262900","","https://ieeexplore.ieee.org/author/37279493500","3","Han-Wei Shen","37279493500","","https://ieeexplore.ieee.org/author/37282739200","4","J.A. Kohl","37282739200","","","","","","","","","","","","","","","","","","","","","","5","2","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250391","348","https://ieeexplore.ieee.org/document/1250391/","Data visualization","Transfer functions","Computer graphics","Electronic mail","Acceleration","Large-scale systems","Rendering (computer graphics)","Computer networks","Chromium","Medical services","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250391","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","22","341","Visibility culling using plenoptic opacity functions for large volume visualization"
"We describe how to count the cases that arise in a family of visualization techniques, including marching cubes, sweeping simplices, contour meshing, interval volumes, and separating surfaces. Counting the cases is the first step toward developing a generic visualization algorithm to produce substitopes (geometric substitution of polytopes). We demonstrate the method using a software system (""GAP"") for computational group theory. The case-counts are organized into a table that provides taxonomy of members of the family; numbers in the table are derived from actual lists of cases, which are computed by our methods. The calculation confirms previously reported case-counts for large dimensions that are too large to check by hand, and predicts the number of cases that will arise in algorithms that have not yet been invented.","https://ieeexplore.ieee.org/document/1250354/","LOCKED","1250354","Florida State Univ., Gainesville, FL, USA","https://ieeexplore.ieee.org/author/37356983700","1","D.C. Banks","37356983700","","https://ieeexplore.ieee.org/author/37646706300","2","S. Linton","37646706300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250354","58","https://ieeexplore.ieee.org/document/1250354/","Computer aided software engineering","Data visualization","Software algorithms","Level set","Algorithm design and analysis","Isosurfaces","Bones","Lesions","Software systems","Taxonomy","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250354","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","23","51","Counting cases in marching cubes: toward a generic algorithm for producing substitopes"
"In this paper we use advanced tensor visualization techniques to study 3D diffusion tensor MRI data of a heart. We use scalar and tensor glyph visualization methods to investigate the data and apply a moving least squares (MLS) fiber tracing method to recover and visualize the helical structure and the orientation of the heart muscle fibers.","https://ieeexplore.ieee.org/document/1250425/","LOCKED","1250425","Dept. of Comput. Sci., California Inst. of Technol., USA","https://ieeexplore.ieee.org/author/37266085200","1","L. Zhukov","37266085200","Dept. of Comput. Sci., California Inst. of Technol., USA","https://ieeexplore.ieee.org/author/37360174300","2","A.H. Barr","37360174300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","1","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250425","602","https://ieeexplore.ieee.org/document/1250425/","Tensile stress","Magnetic resonance imaging","Heart","Diffusion tensor imaging","Muscles","Eigenvalues and eigenfunctions","Ellipsoids","Data visualization","Cells (biology)","Least squares methods","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250425","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","24","597","Heart-muscle fiber reconstruction from diffusion tensor MRI"
"We present a method to represent unstructured scalar fields at multiple levels of detail. Using a parallelizable classification algorithm to build a cluster hierarchy, we generate a multiresolution representation of a given volumetric scalar data set. The method uses principal component analysis (PCA) for cluster generation and a fitting technique based on radial basis functions (RBFs). Once the cluster hierarchy has been generated, we utilize a variety of techniques for extracting different levels of detail. The main strength of this work is its generality. Regardless of grid type, this method can be applied to any discrete scalar field representation, even one given as a ""point cloud"".","https://ieeexplore.ieee.org/document/1250389/","LOCKED","1250389","Dept. of Comput. Sci., Univ. of California, Davis, CA, USA","https://ieeexplore.ieee.org/author/37828723800","1","C.S. Co","37828723800","Dept. of Comput. Sci., Univ. of California, Davis, CA, USA","https://ieeexplore.ieee.org/author/37350243300","2","B. Heckel","37350243300","Dept. of Comput. Sci., Univ. of California, Davis, CA, USA","https://ieeexplore.ieee.org/author/37282578800","3","Hagen H","37282578800","Dept. of Comput. Sci., Univ. of California, Davis, CA, USA","https://ieeexplore.ieee.org/author/37282068700","4","B. Hamann","37282068700","Dept. of Comput. Sci., Univ. of California, Davis, CA, USA","https://ieeexplore.ieee.org/author/37267811400","5","K.I. Joy","37267811400","","","","","","","","","","","","","","","","","10","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250389","332","https://ieeexplore.ieee.org/document/1250389/","Data mining","Computer graphics","Data visualization","Principal component analysis","Scattering","Computational geometry","Solid modeling","Binary trees","Image processing","Computer science","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250389","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","25","325","Hierarchical clustering for unstructured volumetric scalar fields"
"There are numerous algorithms in graphics and visualization whose performance is known to decay as the topological complexity of the input increases. On the other hand, the standard pipeline for 3D geometry acquisition often produces 3D models that are topologically more complex than their real forms. We present a simple and efficient algorithm that allows us to simplify the topology of an isosurface by alternating the values of some number of voxels. Its utility and performance are demonstrated on several examples, including signed distance functions from polygonal models and CT scans.","https://ieeexplore.ieee.org/document/1250356/","LOCKED","1250356","Georgia Tech, USA","https://ieeexplore.ieee.org/author/37330183900","1","A. Szymczak","37330183900","Georgia Tech, USA","https://ieeexplore.ieee.org/author/38198915600","2","J. Vanderhyde","38198915600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250356","74","https://ieeexplore.ieee.org/document/1250356/","Isosurfaces","Geometry","Solid modeling","Topology","Computer graphics","Reconstruction algorithms","Arm","Visualization","Pipelines","Computed tomography","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250356","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","26","67","Extraction of topologically simple isosurfaces from volume datasets"
