"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_issn","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"ThemeRiver/sup TM/ is a prototype system that visualizes thematic variations over time within a large collection of documents. The ""river"" flows from left to right through time, changing width to depict changes in thematic strength of temporally associated documents. Colored ""currents"" flowing within the river narrow or widen to indicate decreases or increases in the strength of an individual topic or a group of topics in the associated documents. The river is shown within the context of a timeline and a corresponding textual presentation of external events.","https://ieeexplore.ieee.org/document/885098/","LOCKED","885098","Battelle Pacific Northwest Lab., Richland, WA, USA","https://ieeexplore.ieee.org/author/37282588900","1","S. Havre","37282588900","https://ieeexplore.ieee.org/author/37374614800","2","B. Hetzler","37374614800","https://ieeexplore.ieee.org/author/37725426400","3","L. Nowell","37725426400","","","","","","","","","","","","","171","5","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885098","123","Rivers","Histograms","Prototypes","Data visualization","Bars","USA Councils","Usability","Testing","","","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885098","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","11","115","ThemeRiver: visualizing theme changes over time"
"One area in need of new research in information visualization is the operation and analysis of large-scale electric power systems. In analyzing power systems, one is usually confronted with a large amount of multivariate data. With systems containing tens of thousands of electrical nodes (buses), a key challenge is to present this data in a form so the user can assess the state of the system in an intuitive and quick manner. This is particularly true when trying to analyze relationships between actual network power flows, the scheduled power flows, and the capacity of the transmission system. With electric industry restructuring and the move towards having a single entity, such as an independent system operator or pool, operate a much larger system, this need has become more acute. This paper presents several power system visualization techniques to help in this task. These techniques include animation of power system flow values, contouring of bus and transmission line flow values, data aggregation techniques and interactive 3D data visualization.","https://ieeexplore.ieee.org/document/885101/","LOCKED","885101","Illinois Univ., Urbana, IL, USA","https://ieeexplore.ieee.org/author/37272088600","1","T.J. Overbye","37272088600","https://ieeexplore.ieee.org/author/37333495700","2","J.D. Weber","37333495700","","","","","","","","","","","","","","","","","31","1","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885101","16c","Data visualization","Load flow","Power systems","Information analysis","Large-scale systems","Power system analysis computing","Job shop scheduling","Industrial relations","Animation","Power transmission lines","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885101","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","12","131","New methods for the visualization of electric power system information"
"COMIND is a tool for conceptual design of industrial products. It helps designers define and evaluate the initial design space by using search algorithms to generate sets of feasible solutions. Two algorithm visualization techniques, Kaleidoscope and Lattice, and one visualization of n-dimensional data, MAP, are used to externalize the machine's problem solving strategies and the tradeoffs as a result of using these strategies. After a short training period, users are able to discover tactics to explore design space effectively, evaluate new design solutions, and learn important relationships among design criteria, search speed and solution quality. We thus propose that visualization can serve as a tool for interactive intelligence, ie., human-machine collaboration for solving complex problems.","https://ieeexplore.ieee.org/document/885103/","LOCKED","885103","Dept. of Comput. Sci., Swiss Federal Inst. of Technol., Lausanne, Switzerland","https://ieeexplore.ieee.org/author/37390082400","1","P. Pu","37390082400","https://ieeexplore.ieee.org/author/37589762800","2","D. Lalanne","37589762800","","","","","","","","","","","","","","","","","2","1","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885103","153","Problem-solving","Visualization","Product design","Space exploration","Visual databases","Computer science","Chemical technology","Computer industry","Lattices","Hip","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885103","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","13","145","Interactive problem solving via algorithm visualization"
"Drawing on ethnographic studies of (landscape) architects at work, this paper presents a human-centered approach to information visualization. A 3D collaborative electronic workspace allows people to configure, save and browse arrangements of heterogeneous work materials. Spatial arrangements and links are created and maintained as an integral part of ongoing work with 'live' documents and objects. The result is an extension of the physical information space of the architects' studio that utilizes the potential of electronic data storage, visualization and network technologies to support work with information in context.","https://ieeexplore.ieee.org/document/885105/","LOCKED","885105","Dept. of Sociology, Lancaster Univ., UK","https://ieeexplore.ieee.org/author/38026813600","1","M. Buscher","38026813600","https://ieeexplore.ieee.org/author/38031107700","2","D. Shapiro","38031107700","https://ieeexplore.ieee.org/author/37442180300","3","M. Christensen","37442180300","https://ieeexplore.ieee.org/author/38017841600","4","P. Mogensen","38017841600","https://ieeexplore.ieee.org/author/38018324800","5","P. Orbaek","38018324800","","","","","2","0","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885105","171","Data visualization","Computer architecture","Humans","Collaborative work","Space technology","Electrical capacitance tomography","Sociology","Computer science","Memory","Logistics","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885105","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","14","167","Creativity, complexity, and precision: information visualization for (landscape) architecture"
"Data visualization environments help users understand and analyze their data by permitting interactive browsing of graphical representations of the data. To further facilitate understanding and analysis, many visualization environments have special features known as portals, which are sub-windows of a data canvas. Portals provide a way to display multiple graphical representations simultaneously, in a nested fashion. This makes portals an extremely powerful and flexible paradigm for data visualization. Unfortunately, with this flexibility comes complexity. There are over a hundred possible ways each portal can be configured to exhibit different behaviors. Many of these behaviors are confusing and certain behaviors can be inappropriate for a particular setting. It is desirable to eliminate confusing and inappropriate behaviors. The authors construct a taxonomy of portal behaviors and give recommendations to help designers of visualization systems decide which behaviors are intuitive and appropriate for a particular setting. They apply these recommendations to an example setting that is fully visually programmable and analyze the resulting reduced set of behaviors. Finally, the authors consider a real visualization environment and demonstrate some problems associated with behaviors that do not follow their recommendations.","https://ieeexplore.ieee.org/document/885087/","LOCKED","885087","Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37371920000","1","C. Olston","37371920000","https://ieeexplore.ieee.org/author/37354912800","2","A. Woodruff","37354912800","","","","","","","","","","","","","","","","","5","1","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885087","25","Portals","Data visualization","Data analysis","Taxonomy","Cities and towns","Navigation","Two dimensional displays","Concrete","Transportation","Shape","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885087","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","15","15","Getting portals to behave"
"Radial, space-filling visualizations can be useful for depicting information hierarchies, but they suffer from one major problem. As the hierarchy grows in size, many items become small, peripheral slices that are difficult to distinguish. We have developed three visualization/interaction techniques that provide flexible browsing of the display. The techniques allow viewers to examine the small items in detail while providing context within the entire information hierarchy. Additionally, smooth transitions between views help users maintain orientation within the complete information space.","https://ieeexplore.ieee.org/document/885091/","LOCKED","885091","GVU Center, Georgia Inst. of Technol., Atlanta, GA, USA","https://ieeexplore.ieee.org/author/37267736900","1","J. Stasko","37267736900","https://ieeexplore.ieee.org/author/38020590400","2","E. Zhang","38020590400","","","","","","","","","","","","","","","","","157","6","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885091","65","Navigation","Visualization","File systems","Educational institutions","Computer displays","Space technology","Organization Charts","Geometry","","","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885091","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","16","57","Focus+context display and navigation techniques for enhancing radial, space-filling hierarchy visualizations"
"We describe MGV, an integrated visualization and exploration system for massive multi-digraph navigation. MGV's only assumption is that the vertex set of the underlying digraph corresponds to the set of leaves of a predetermined tree T. MGV builds an out-of-core graph hierarchy and provides mechanisms to plug in arbitrary visual representations for each graph hierarchy slice. Navigation from one level to another of the hierarchy corresponds to the implementation of a drill-down interface. In order to provide the user with navigation control and interactive response, MGV incorporates a number of visualization techniques like interactive pixel-oriented 2D and 3D maps, statistical displays, multi-linked views, and a zoomable label based interface. This makes the association of geographic information and graph data very natural. MGV follows the client-server paradigm and it is implemented in C and Java-3D. We highlight the main algorithmic and visualization techniques behind the tools and point out along the way several possible application scenarios. Our techniques are being applied to multi-graphs defined on vertex sets with sizes ranging from 100 million to 250 million vertices.","https://ieeexplore.ieee.org/document/885089/","LOCKED","885089","","https://ieeexplore.ieee.org/author/37662339600","1","J. Abello","37662339600","https://ieeexplore.ieee.org/author/38179814200","2","J. Korn","38179814200","","","","","","","","","","","","","","","","","6","0","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885089","47","Data visualization","Navigation","Read-write memory","Random access memory","Laboratories","Tree graphs","Plugs","Three dimensional displays","Two dimensional displays","Java","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885089","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","17","39","Visualizing massive multi-digraphs"
"Since novice users of visualization systems lack knowledge and expertise in data visualization, it is a tough task for them to generate efficient and effective visualizations that allow them to comprehend information that is embedded in the data. Therefore, systems supporting the users to design appropriate visualizations are of great importance. The GADGET (Goal-oriented Application Design Guidance for modular visualization EnvironmenTs) system, which has been developed by the authors (1997), interactively helps users to design scientific visualization applications by presenting appropriate MVE (Modular Visualization Environment) prototypes according to the specification of the visualization goals expressed mainly with the Wehrend matrix (S. Wehrend & C. Lewis, 1990). This paper extends this approach in order to develop a system named GADGET/IV, which is intended to provide the users with an environment for semi-automatic design of information visualization (IV) applications. To this end, a novel goal-oriented taxonomy of IV techniques is presented. Also, an initial design of the system architecture and user assistance flow is described. The usefulness of the GADGET/IV system is illustrated with example problems of Web site access frequency analysis.","https://ieeexplore.ieee.org/document/885093/","LOCKED","885093","Dept. of Inf. Sci., Ochanomizu Univ., Tokyo, Japan","https://ieeexplore.ieee.org/author/37282596600","1","I. Fujishiro","37282596600","https://ieeexplore.ieee.org/author/37618383200","2","Y. Ichikawa","37618383200","https://ieeexplore.ieee.org/author/38015236500","3","R. Furuhata","38015236500","https://ieeexplore.ieee.org/author/37282600100","4","Y. Takeshima","37282600100","","","","","","","","","7","1","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885093","83","Data visualization","Prototypes","Taxonomy","Computers","User interfaces","Programming environments","Guidelines","Data engineering","Power engineering and energy","","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885093","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","18","77","GADGET/IV: a taxonomic approach to semi-automatic design of information visualization applications using modular visualization environment"
"By virtue of their spatio-cognitive abilities, humans are able to navigate through geographic space as well as meaningfully communicate geographic information represented in cartographic form. The current dominance of spatial metaphors in information visualization research is the result of the realization that those cognitive skills also have value in the exploration and analysis of non-geographic information. While mapping or landscape metaphors are routinely used in this field, there is a noticeable lack of consideration for existing cartographic expertise. This is especially apparent whenever problematic issues are encountered, such as graphic complexity or feature labeling. There are a number of areas in which a cartographic outlook could provide a valuable perspective. This paper discusses how geographic and cartographic notions may influence the design of visualizations for textual information spaces. Map projections, generalization, feature labeling and map design issues are discussed.","https://ieeexplore.ieee.org/document/885095/","LOCKED","885095","Dept. of Geogr., New Orleans Univ., LA, USA","https://ieeexplore.ieee.org/author/38015091900","1","A. Skupin","38015091900","","","","","","","","","","","","","","","","","","","","","22","0","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885095","97","Visualization","","","","","","","","","","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885095","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","19","91","From metaphor to method: cartographic perspectives on information visualization"
"The author index contains an entry for each author and coauthor included in the proceedings record.","","EPHEMERA","885107","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885107","179","","","","","","","","","","","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885107","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","20","179","Author index"
"Presents the title page of the proceedings record.","","EPHEMERA","885085","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885085","","","","","","","","","","","","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885085","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","21","iii","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings"
"","","EPHEMERA","885106","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885106","","","","","","","","","","","","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885106","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","22","173","KES'2000. Fourth International Conference on Knowledge-Based Intelligent Engineering Systems and Allied Technologies. Proceedings (Cat. No.00TH8516)"
