"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume" 
"We present a design study of the TensorFlow Graph Visualizer, part of the TensorFlow machine intelligence platform. This tool helps users understand complex machine learning architectures by visualizing their underlying dataflow graphs. The tool works by applying a series of graph transformations that enable standard layout techniques to produce a legible interactive diagram. To declutter the graph, we decouple non-critical nodes from the layout. To provide an overview, we build a clustered graph using the hierarchical structure annotated in the source code. To support exploration of nested structure on demand, we perform edge bundling to enable stable and responsive cluster expansion. Finally, we detect and highlight repeated structures to emphasize a model's modular composition. To demonstrate the utility of the visualizer, we describe example usage scenarios and report user feedback. Overall, users find the visualizer useful for understanding, debugging, and sharing the structures of their models.","https://ieeexplore.ieee.org/document/8019861/","LOCKED","8019861","Paul G. Allen School of Computer Science & EngineeringUniversity of Washington","https://ieeexplore.ieee.org/author/37085702905","1","Kanit Wongsuphasawat","37085702905","Google Research","https://ieeexplore.ieee.org/author/37992125500","2","Daniel Smilkov","37992125500","Google Research","https://ieeexplore.ieee.org/author/37086232046","3","James Wexler","37086232046","Google Research","https://ieeexplore.ieee.org/author/37086231467","4","Jimbo Wilson","37086231467","Google Research","https://ieeexplore.ieee.org/author/37086242182","5","Dandelion Mané","37086242182","Google Research","https://ieeexplore.ieee.org/author/37358697400","6","Doug Fritz","37358697400","Google Research","https://ieeexplore.ieee.org/author/37355137900","7","Dilip Krishnan","37355137900","Google Research","https://ieeexplore.ieee.org/author/37681355300","8","Fernanda B. Viégas","37681355300","Google Research","https://ieeexplore.ieee.org/author/37550759700","9","Martin Wattenberg","37550759700","","","","","","47","0","Journals","10.1109/TVCG.2017.2744878","12","https://ieeexplore.ieee.org/document/8019861/","Neural Network","Graph Visualization","Dataflow Graph","Clustered Graph","","","","","","","Visualization","Layout","Machine learning","Computational modeling","Tools","Neural networks","Standards","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8019861","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","18","1","Visualizing Dataflow Graphs of Deep Learning Models in TensorFlow","24"
"Central to many text analysis methods is the notion of a concept: a set of semantically related keywords characterizing a specific object, phenomenon, or theme. Advances in word embedding allow building a concept from a small set of seed terms. However, naive application of such techniques may result in false positive errors because of the polysemy of natural language. To mitigate this problem, we present a visual analytics system called ConceptVector that guides a user in building such concepts and then using them to analyze documents. Document-analysis case studies with real-world datasets demonstrate the fine-grained analysis provided by ConceptVector. To support the elaborate modeling of concepts, we introduce a bipolar concept model and support for specifying irrelevant words. We validate the interactive lexicon building interface by a user study and expert reviews. Quantitative evaluation shows that the bipolar lexicon generated with our methods is comparable to human-generated ones.","https://ieeexplore.ieee.org/document/8023823/","OPEN_ACCESS","8023823","University of Maryland, College Park, MD, USA","https://ieeexplore.ieee.org/author/37085506226","1","Deokgun Park","37085506226","Google Inc., Mountain View, CA, USA","https://ieeexplore.ieee.org/author/37086252748","2","Seungyeon Kim","37086252748","Korea University, Seoul, Republic of Korea","https://ieeexplore.ieee.org/author/37086259890","3","Jurim Lee","37086259890","Korea University, Seoul, Republic of Korea","https://ieeexplore.ieee.org/author/37602784600","4","Jaegul Choo","37602784600","Northwestern University, Evanston, IL, USA","https://ieeexplore.ieee.org/author/37591165700","5","Nicholas Diakopoulos","37591165700","University of Maryland, College Park, MD, USA","https://ieeexplore.ieee.org/author/37295438200","6","Niklas Elmqvist","37295438200","","","","","","","","","","","","","","","","","","","","","9","0","Journals","10.1109/TVCG.2017.2744478","370","https://ieeexplore.ieee.org/document/8023823/","Text analytics","visual analytics","word embedding","text summarization","text classification","concepts","","","","","Text analysis","Visual analytics","Semantics","Buildings","Computational modeling","Data visualization","Sentiment analysis","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8023823","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","19","361","ConceptVector: Text Visual Analytics via Interactive Lexicon Building Using Word Embedding","24"
"Conventional dot plots use a constant dot size and are typically applied to show the frequency distribution of small data sets. Unfortunately, they are not designed for a high dynamic range of frequencies. We address this problem by introducing nonlinear dot plots. Adopting the idea of nonlinear scaling from logarithmic bar charts, our plots allow for dots of varying size so that columns with a large number of samples are reduced in height. For the construction of these diagrams, we introduce an efficient two-way sweep algorithm that leads to a dense and symmetrical layout. We compensate aliasing artifacts at high dot densities by a specifically designed low-pass filtering method. Examples of nonlinear dot plots are compared to conventional dot plots as well as linear and logarithmic histograms. Finally, we include feedback from an expert review.","https://ieeexplore.ieee.org/document/8017644/","LOCKED","8017644","VISUS, University of Stuttgart, Germany","https://ieeexplore.ieee.org/author/37086247268","1","Nils Rodrigues","37086247268","VISUS, University of Stuttgart, Germany","https://ieeexplore.ieee.org/author/37268045000","2","Daniel Weiskopf","37268045000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","Journals","10.1109/TVCG.2017.2744018","625","https://ieeexplore.ieee.org/document/8017644/","Nonlinear dot plot","statistical graphics","sweep algorithm","layout","","","","","","","Histograms","Data visualization","Layout","Dynamic range","Bars","Rendering (computer graphics)","Algorithm design and analysis","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8017644","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","20","616","Nonlinear Dot Plots","24"
"We present the first approach to integrative structural modeling of the biological mesoscale within an interactive visual environment. These complex models can comprise up to millions of molecules with defined atomic structures, locations, and interactions. Their construction has previously been attempted only within a non-visual and non-interactive environment. Our solution unites the modeling and visualization aspect, enabling interactive construction of atomic resolution mesoscale models of large portions of a cell. We present a novel set of GPU algorithms that build the basis for the rapid construction of complex biological structures. These structures consist of multiple membrane-enclosed compartments including both soluble molecules and fibrous structures. The compartments are defined using volume voxelization of triangulated meshes. For membranes, we present an extension of the Wang Tile concept that populates the bilayer with individual lipids. Soluble molecules are populated within compartments distributed according to a Halton sequence. Fibrous structures, such as RNA or actin filaments, are created by self-avoiding random walks. Resulting overlaps of molecules are resolved by a forced-based system. Our approach opens new possibilities to the world of interactive construction of cellular compartments. We demonstrate its effectiveness by showcasing scenes of different scale and complexity that comprise blood plasma, mycoplasma, and HIV.","https://ieeexplore.ieee.org/document/8019859/","LOCKED","8019859","TU Wien, Austria","https://ieeexplore.ieee.org/author/37086226921","1","Tobias Klein","37086226921","The Scripps Research Institute, California, USA","https://ieeexplore.ieee.org/author/38488560700","2","Ludovic Autin","38488560700","Masaryk University, Brno, Czech Republic","https://ieeexplore.ieee.org/author/37085711031","3","Barbora Kozlíková","37085711031","The Scripps Research Institute, California, USA","https://ieeexplore.ieee.org/author/37086211853","4","David S. Goodsell","37086211853","The Scripps Research Institute, California, USA","https://ieeexplore.ieee.org/author/37283384700","5","Arthur Olson","37283384700","TU Wien, VRVis Research Center, Austria","https://ieeexplore.ieee.org/author/37282552200","6","M. Eduard Gröller","37282552200","TU Wien, Austria","https://ieeexplore.ieee.org/author/37282726800","7","Ivan Viola","37282726800","","","","","","","","","","","","","","","","3","0","Journals","10.1109/TVCG.2017.2744258","872","https://ieeexplore.ieee.org/document/8019859/","Interactive modeling","population","biological data","interactive visualization","","","","","","","Computational modeling","Biomembranes","Three-dimensional displays","Visualization","Biological system modeling","Tools","","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8019859","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","21","862","Instant Construction and Visualization of Crowded Biological Environments","24"
"People often rank and order data points as a vital part of making decisions. Multi-attribute ranking systems are a common tool used to make these data-driven decisions. Such systems often take the form of a table-based visualization in which users assign weights to the attributes representing the quantifiable importance of each attribute to a decision, which the system then uses to compute a ranking of the data. However, these systems assume that users are able to quantify their conceptual understanding of how important particular attributes are to a decision. This is not always easy or even possible for users to do. Rather, people often have a more holistic understanding of the data. They form opinions that data point A is better than data point B but do not necessarily know which attributes are important. To address these challenges, we present a visual analytic application to help people rank multi-variate data points. We developed a prototype system, Podium, that allows users to drag rows in the table to rank order data points based on their perception of the relative value of the data. Podium then infers a weighting model using Ranking SVM that satisfies the user's data preferences as closely as possible. Whereas past systems help users understand the relationships between data points based on changes to attribute weights, our approach helps users to understand the attributes that might inform their understanding of the data. We present two usage scenarios to describe some of the potential uses of our proposed technique: (1) understanding which attributes contribute to a user's subjective preferences for data, and (2) deconstructing attributes of importance for existing rankings. Our proposed approach makes powerful machine learning techniques more usable to those who may not have expertise in these areas.","https://ieeexplore.ieee.org/document/8019863/","LOCKED","8019863","Georgia Institute of Technology, Atlanta, GA, USA","https://ieeexplore.ieee.org/author/37085898933","1","Emily Wall","37085898933","Georgia Institute of Technology, Atlanta, GA, USA","https://ieeexplore.ieee.org/author/37086216294","2","Subhajit Das","37086216294","Georgia Institute of Technology, Atlanta, GA, USA","https://ieeexplore.ieee.org/author/37086217672","3","Ravish Chawla","37086217672","Georgia Institute of Technology, Atlanta, GA, USA","https://ieeexplore.ieee.org/author/37086225703","4","Bharath Kalidindi","37086225703","DePaul University, Chicago, IL, USA","https://ieeexplore.ieee.org/author/38237586900","5","Eli T. Brown","38237586900","Georgia Institute of Technology, Atlanta, GA, USA","https://ieeexplore.ieee.org/author/37681759500","6","Alex Endert","37681759500","","","","","","","","","","","","","","","","","","","","","9","0","Journals","10.1109/TVCG.2017.2745078","297","https://ieeexplore.ieee.org/document/8019863/","Mixed-initiative visual analytics","multi-attribute ranking","user interaction","","","","","","","","Data visualization","Support vector machines","Visual analytics","Data models","Prototypes","Computational modeling","","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8019863","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","22","288","Podium: Ranking Data Using Mixed-Initiative Visual Analytics","24"
"We provide a reappraisal of Tal and Wansink's study “Blinded with Science”, where seemingly trivial charts were shown to increase belief in drug efficacy, presumably because charts are associated with science. Through a series of four replications conducted on two crowdsourcing platforms, we investigate an alternative explanation, namely, that the charts allowed participants to better assess the drug's efficacy. Considered together, our experiments suggest that the chart seems to have indeed promoted understanding, although the effect is likely very small. Meanwhile, we were unable to replicate the original study's findings, as text with chart appeared to be no more persuasive - and sometimes less persuasive - than text alone. This suggests that the effect may not be as robust as claimed and may need specific conditions to be reproduced. Regardless, within our experimental settings and considering our study as a whole ($\mathrm{N}=623$), the chart's contribution to understanding was clearly larger than its contribution to persuasion.","https://ieeexplore.ieee.org/document/8017611/","LOCKED","8017611","Inria","https://ieeexplore.ieee.org/author/37590932700","1","Pierre Dragicevic","37590932700","Sorbonne UniversitésUPMC Univ Paris 6CNRSISIR","https://ieeexplore.ieee.org/author/37076983200","2","Yvonne Jansen","37076983200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","Journals","10.1109/TVCG.2017.2744298","790","https://ieeexplore.ieee.org/document/8017611/","Replication study","persuasion","charts","data comprehension","methodology","","","","","","Drugs","Bars","Data visualization","Sociology","Statistics","Data mining","","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8017611","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","23","781","Blinded with Science or Informed by Charts? A Replication Study","24"
"Single-cell analysis through mass cytometry has become an increasingly important tool for immunologists to study the immune system in health and disease. Mass cytometry creates a high-dimensional description vector for single cells by time-of-flight measurement. Recently, t-Distributed Stochastic Neighborhood Embedding (t-SNE) has emerged as one of the state-of-the-art techniques for the visualization and exploration of single-cell data. Ever increasing amounts of data lead to the adoption of Hierarchical Stochastic Neighborhood Embedding (HSNE), enabling the hierarchical representation of the data. Here, the hierarchy is explored selectively by the analyst, who can request more and more detail in areas of interest. Such hierarchies are usually explored by visualizing disconnected plots of selections in different levels of the hierarchy. This poses problems for navigation, by imposing a high cognitive load on the analyst. In this work, we present an interactive summary-visualization to tackle this problem. CyteGuide guides the analyst through the exploration of hierarchically represented single-cell data, and provides a complete overview of the current state of the analysis. We conducted a two-phase user study with domain experts that use HSNE for data exploration. We first studied their problems with their current workflow using HSNE and the requirements to ease this workflow in a field study. These requirements have been the basis for our visual design. In the second phase, we verified our proposed solution in a user evaluation.","https://ieeexplore.ieee.org/document/8017575/","LOCKED","8017575","Computer Graphics and Visualization Group, Delft University of Technology, The Netherlands","https://ieeexplore.ieee.org/author/37846851700","1","Thomas Höllt","37846851700","Computer Graphics and Visualization Group, Delft University of Technology, The Netherlands","https://ieeexplore.ieee.org/author/38528612200","2","Nicola Pezzotti","38528612200","Department of Immunohematology and Blood Transfusion, Leiden University Medical Center, The Netherlands","https://ieeexplore.ieee.org/author/37086218078","3","Vincent van Unen","37086218078","Department of Immunohematology and Blood Transfusion, Leiden University Medical Center, The Netherlands","https://ieeexplore.ieee.org/author/37086227142","4","Frits Koning","37086227142","Department of Radiology, Division of Image Processing, Leiden University Medical Center, The Netherlands","https://ieeexplore.ieee.org/author/37294130400","5","Boudewijn P.F. Lelieveldt","37294130400","Computer Graphics and Visualization Group, Delft University of Technology, The Netherlands","https://ieeexplore.ieee.org/author/37282551500","6","Anna Vilanova","37282551500","","","","","","","","","","","","","","","","","","","","","5","0","Journals","10.1109/TVCG.2017.2744318","748","https://ieeexplore.ieee.org/document/8017575/","Hierarchical Data","HSNE","Single-Cell Analysis","Visual Guidance","","","","","","","Visualization","Data visualization","Tools","Navigation","Biomedical imaging","Manuals","","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8017575","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","24","739","CyteGuide: Visual Guidance for Hierarchical Single-Cell Analysis","24"
"Visualization designers regularly use color to encode quantitative or categorical data. However, visualizations “in the wild” often violate perceptual color design principles and may only be available as bitmap images. In this work, we contribute a method to semi-automatically extract color encodings from a bitmap visualization image. Given an image and a legend location, we classify the legend as describing either a discrete or continuous color encoding, identify the colors used, and extract legend text using OCR methods. We then combine this information to recover the specific color mapping. Users can also correct interpretation errors using an annotation interface. We evaluate our techniques using a corpus of images extracted from scientific papers and demonstrate accurate automatic inference of color mappings across a variety of chart types. In addition, we present two applications of our method: automatic recoloring to improve perceptual effectiveness, and interactive overlays to enable improved reading of static visualizations.","https://ieeexplore.ieee.org/document/8017646/","LOCKED","8017646","University of Washington","https://ieeexplore.ieee.org/author/38548192600","1","Jorge Poco","38548192600","Universidad Católica San Pablo","https://ieeexplore.ieee.org/author/37086249474","2","Angela Mayhua","37086249474","University of Washington","https://ieeexplore.ieee.org/author/37550791300","3","Jeffrey Heer","37550791300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","Journals","10.1109/TVCG.2017.2744320","646","https://ieeexplore.ieee.org/document/8017646/","Visualization","color","chart understanding","information extraction","redesign","computer vision","","","","","Image color analysis","Data visualization","Data mining","Encoding","Image coding","Optical character recognition software","Feature extraction","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8017646","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","25","637","Extracting and Retargeting Color Mappings from Bitmap Images of Visualizations","24"
"Effective communication using visualization relies in part on the use of viable encoding strategies. For example, a viewer's ability to rapidly and accurately discern between two or more categorical variables in a chart or figure is contingent upon the distinctiveness of the encodings applied to each variable. Research in perception suggests that color is a more salient visual feature when compared to shape and although that finding is supported by visualization studies, characteristics of shape also yield meaningful differences in distinctiveness. We propose that open or closed shapes (that is, whether shapes are composed of line segments that are bounded across a region of space or not) represent a salient characteristic that influences perceptual processing. Three experiments were performed to test the reliability of the open/closed category; the first two from the perspective of attentional allocation, and the third experiment in the context of multi-class scatterplot displays. In the first, a flanker paradigm was used to test whether perceptual load and open/closed feature category would modulate the effect of the flanker on target processing. Results showed an influence of both variables. The second experiment used a Same/Different reaction time task to replicate and extend those findings. Results from both show that responses are faster and more accurate when closed rather than open shapes are processed as targets, and there is more processing interference when two competing shapes come from the same rather than different open or closed feature categories. The third experiment employed three commonly used visual analytic tasks - perception of average value, numerosity, and linear relationships with both single and dual displays of open and closed symbols. Our findings show that for numerosity and trend judgments, in particular, that different symbols from the same open or closed feature category cause more perceptual interference when they are presented together in a plot than symbols from different categories. Moreover, the extent of the interference appears to depend upon whether the participant is focused on processing open or closed symbols.","https://ieeexplore.ieee.org/document/8019826/","LOCKED","8019826","Department of Computer Science, The University of North Carolina, Charlotte","https://ieeexplore.ieee.org/author/37086259335","1","David Burlinson","37086259335","Department of Computer Science, The University of North Carolina, Charlotte","https://ieeexplore.ieee.org/author/37086256647","2","Kalpathi Subramanian","37086256647","Department of Psychology, The University of North Carolina, Charlotte","https://ieeexplore.ieee.org/author/37297347600","3","Paula Goolkasian","37297347600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2017.2745086","583","https://ieeexplore.ieee.org/document/8019826/","scatterplot","visualization design","perceptual category","open shape","closed shape","","","","","","Shape","Encoding","Visual analytics","Data visualization","Visual perception","Interference","","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8019826","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","26","574","Open vs. Closed Shapes: New Perceptual Categories?","24"
"Mock-ups are rapid, low fidelity prototypes, that are used in many design-related fields to generate and share ideas. While their creation is supported by many mature methods and tools, surprisingly few are suited for the needs of information visualization. In this article, we introduce a novel approach to creating visualizations mock-ups, based on a dialogue between graphic design and parametric toolkit explorations. Our approach consists in iteratively subdividing the display space, while progressively informing each division with realistic data. We show that a wealth of mock-ups can easily be created using only temporary data attributes, as we wait for more realistic data to become available. We describe the implementation of this approach in a D3-based toolkit, which we use to highlight its generative power, and we discuss the potential for transitioning towards higher fidelity prototypes.","https://ieeexplore.ieee.org/document/8017650/","LOCKED","8017650","LIRIS, Univ Lyon, École Centrale de Lyon, CNRS, UMR5205, France","https://ieeexplore.ieee.org/author/37681739300","1","Romain Vuillemot","37681739300","UN Global Pulse","https://ieeexplore.ieee.org/author/37085379303","2","Jeremy Boy","37085379303","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","Journals","10.1109/TVCG.2017.2743998","434","https://ieeexplore.ieee.org/document/8017650/","Design Methodologies","Rapid Prototyping","Graphic Design","Mock-Ups","Toolkit Design","","","","","","Data visualization","Visualization","Tools","Prototypes","Rendering (computer graphics)","Pipelines","","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8017650","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","27","424","Structuring Visualization Mock-Ups at the Graphical Level by Dividing the Display Space","24"
"In addition to visualizing input data, interactive visualizations have the potential to be social artifacts that reveal other people's perspectives on the data. However, how such social information embedded in a visualization impacts a viewer's interpretation of the data remains unknown. Inspired by recent interactive visualizations that display people's expectations of data against the data, we conducted a controlled experiment to evaluate the effect of showing social information in the form of other people's expectations on people's ability to recall the data, the degree to which they adjust their expectations to align with the data, and their trust in the accuracy of the data. We found that social information that exhibits a high degree of consensus lead participants to recall the data more accurately relative to participants who were exposed to the data alone. Additionally, participants trusted the accuracy of the data less and were more likely to maintain their initial expectations when other people's expectations aligned with their own initial expectations but not with the data. We conclude by characterizing the design space for visualizing others' expectations alongside data.","https://ieeexplore.ieee.org/document/8019830/","LOCKED","8019830","University of Washington","https://ieeexplore.ieee.org/author/37086229639","1","Yea-Seul Kim","37086229639","University of Washington","https://ieeexplore.ieee.org/author/37086250784","2","Katharina Reinecke","37086250784","University of Washington","https://ieeexplore.ieee.org/author/38016234500","3","Jessica Hullman","38016234500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","0","Journals","10.1109/TVCG.2017.2745240","769","https://ieeexplore.ieee.org/document/8019830/","Social influence","Social visualization","Data interpretation","","","","","","","","Data visualization","Uncertainty","Collaboration","Social network services","Market research","Focusing","Data analysis","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8019830","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","28","760","Data Through Others' Eyes: The Impact of Visualizing Others' Expectations on Visualization Interpretation","24"
"We present VisTiles, a conceptual framework that uses a set of mobile devices to distribute and coordinate visualization views for the exploration of multivariate data. In contrast to desktop-based interfaces for information visualization, mobile devices offer the potential to provide a dynamic and user-defined interface supporting co-located collaborative data exploration with different individual workflows. As part of our framework, we contribute concepts that enable users to interact with coordinated & multiple views (CMV) that are distributed across several mobile devices. The major components of the framework are: (i) dynamic and flexible layouts for CMV focusing on the distribution of views and (ii) an interaction concept for smart adaptations and combinations of visualizations utilizing explicit side-by-side arrangements of devices. As a result, users can benefit from the possibility to combine devices and organize them in meaningful spatial layouts. Furthermore, we present a web-based prototype implementation as a specific instance of our concepts. This implementation provides a practical application case enabling users to explore a multivariate data collection. We also illustrate the design process including feedback from a preliminary user study, which informed the design of both the concepts and the final prototype.","https://ieeexplore.ieee.org/document/8017609/","LOCKED","8017609","Interactive Media Lab, Technische Universität Dresden, Germany","https://ieeexplore.ieee.org/author/37086253091","1","Ricardo Langner","37086253091","Interactive Media Lab, Technische Universität Dresden, Germany","https://ieeexplore.ieee.org/author/37086248715","2","Tom Horak","37086248715","Interactive Media Lab, Technische Universität Dresden, Germany","https://ieeexplore.ieee.org/author/37313321900","3","Raimund Dachselt","37313321900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","0","Journals","10.1109/TVCG.2017.2744019","636","https://ieeexplore.ieee.org/document/8017609/","Mobile devices","coordinated & multiple views","multi-display environment","cross-device interaction","","","","","","","Data visualization","Visualization","Mobile communication","Prototypes","Smart phones","Collaboration","","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8017609","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","29","626","VisTiles: Coordinating and Combining Co-located Mobile Devices for Visual Data Exploration","24"
"We present a novel type of circular treemap, where we intentionally allocate extra space for additional visual variables. With this extended visual design space, we encode hierarchically structured data along with their uncertainties in a combined diagram. We introduce a hierarchical and force-based circle-packing algorithm to compute Bubble Treemaps, where each node is visualized using nested contour arcs. Bubble Treemaps do not require any color or shading, which offers additional design choices. We explore uncertainty visualization as an application of our treemaps using standard error and Monte Carlo-based statistical models. To this end, we discuss how uncertainty propagates within hierarchies. Furthermore, we show the effectiveness of our visualization using three different examples: the package structure of Flare, the S&P 500 index, and the US consumer expenditure survey.","https://ieeexplore.ieee.org/document/8017613/","LOCKED","8017613","University of Konstanz","https://ieeexplore.ieee.org/author/37086226996","1","Jochen Görtler","37086226996","VISUSUniversity of Stuttgart","https://ieeexplore.ieee.org/author/37085884246","2","Christoph Schulz","37085884246","VISUSUniversity of Stuttgart","https://ieeexplore.ieee.org/author/37268045000","3","Daniel Weiskopf","37268045000","University of Konstanz","https://ieeexplore.ieee.org/author/37266781000","4","Oliver Deussen","37266781000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","Journals","10.1109/TVCG.2017.2743959","728","https://ieeexplore.ieee.org/document/8017613/","Uncertainty visualization","hierarchy visualization","treemaps","tree layout","circle packing","contours","","","","","Uncertainty","Data visualization","Layout","Visualization","Computational modeling","Standards","Indexes","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8017613","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","30","719","Bubble Treemaps for Uncertainty Visualization","24"
"Data scientists and other analytic professionals often use interactive visualization in the dissemination phase at the end of a workflow during which findings are communicated to a wider audience. Visualization scientists, however, hold that interactive representation of data can also be used during exploratory analysis itself. Since the use of interactive visualization is optional rather than mandatory, this leaves a “visualization gap” during initial exploratory analysis that is the onus of visualization researchers to fill. In this paper, we explore areas where visualization would be beneficial in applied research by conducting a design study using a novel variation on contextual inquiry conducted with professional data analysts. Based on these interviews and experiments, we propose a set of interactive initial exploratory visualization guidelines which we believe will promote adoption by this type of user.","https://ieeexplore.ieee.org/document/8017577/","LOCKED","8017577","College Park, University of Maryland, MD, USA","https://ieeexplore.ieee.org/author/37086246405","1","Andrea Batch","37086246405","College Park, University of Maryland, MD, USA","https://ieeexplore.ieee.org/author/37295438200","2","Niklas Elmqvist","37295438200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","0","Journals","10.1109/TVCG.2017.2743990","287","https://ieeexplore.ieee.org/document/8017577/","Data science","visualization","visual analytics","contextual inquiry","semi-structured interviews","","","","","","Data visualization","Data science","Tools","Visualization","Big Data","Interviews","","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8017577","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","31","278","The Interactive Visualization Gap in Initial Exploratory Data Analysis","24"
