"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_11","articles_index_terms_author_terms_terms_12","articles_index_terms_author_terms_terms_13","articles_index_terms_author_terms_terms_14","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_isbn_formats_isbns_1_format","articles_isbn_formats_isbns_1_isbnType","articles_isbn_formats_isbns_1_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Figure 1.(A) Interactive spectrogram and (B) audio glyph - both views (A) and (B) show the same preprocessed supposed audio sample of a pipit call. (A) shows an interactive spectrogram and (B) an audio glyph that maps the spectral roll-off of the audio sample to a global linear color scale. three different bird calls (1-3) are visible in the spectrogram and the audio glyph.The VAST Challenge 2018 aims to clarify the situation of the Rose-Crested Blue Pipit's population in the Boonsong Lekagul Wildlife Preserve. We propose an interactive spectrogram and a representative novel audio glyph to support the classification of bird calls. The second visualization of our system helps to identify spatio-temporal patterns of bird species in the preserve. Using the system, we are able to solve the Mini Challenge 1 (MC1) tasks to classify claimed pipit calls and detect multiple spatio-temporal migratory patterns in the preserve. We find evidence that the pipit population is declining, but we can not identify any clear evidence that the accused company is responsible for the decrease of the pipit population.","https://ieeexplore.ieee.org/document/8802500/","LOCKED","8802500","Data Analysis and Visualization Group, University of Konstanz","https://ieeexplore.ieee.org/author/37087002703","1","Eren Cakmak","37087002703","Data Analysis and Visualization Group, University of Konstanz","https://ieeexplore.ieee.org/author/37086560746","2","Udo Schlegel","37086560746","Data Analysis and Visualization Group, University of Konstanz","https://ieeexplore.ieee.org/author/37086944048","3","Matthias Miller","37086944048","Data Analysis and Visualization Group, University of Konstanz","https://ieeexplore.ieee.org/author/38233607000","4","Juri Buchmüller","38233607000","Data Analysis and Visualization Group, University of Konstanz","https://ieeexplore.ieee.org/author/37086560996","5","Wolfgang Jentner","37086560996","Data Analysis and Visualization Group, University of Konstanz","https://ieeexplore.ieee.org/author/37283138700","6","Daniel A. Keim","37283138700","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802500","111","https://ieeexplore.ieee.org/document/8802500/","Human-centered computing","Visualization","","","","","","Visualization application domains","Visual Analytics","","","","","","","Birds","Spectrogram","Sociology","Statistics","Wildlife","Task analysis","Feature extraction","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802500","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","11","110","Interactive Classification Using Spectrograms and Audio Glyphs"
"The goal of the VAST Challenge 2018 Mini Challenge 2 (MC 2) was to unveil the possible causes and effects of environmental pollution in the Boonsong Lekagul Wildlife Preserve. We propose the ViCCEx (Visual Chemical Contamination Explorer) system that enables to interactively explore the sparse multivariate river network sensor reading dataset to identify characteristics, trends, and outliers of the different sensor reading locations over time. The ViCCEx system uses a t-SNE projection to display an overview visualization, a sampling strategy view to highlight the overall sampling strategies of different chemical measurements at each sensor location, and various extracted statistics to highlight the evolution of chemical measurements. The three views are connected via linking and brushing, which enables to explore and identify possible pollution causes and effects in the preserve.","https://ieeexplore.ieee.org/document/8802502/","LOCKED","8802502","Data Analysis and Visualization Group, University of Konstanz","https://ieeexplore.ieee.org/author/37087002703","1","Eren Cakmak","37087002703","Data Analysis and Visualization Group, University of Konstanz","https://ieeexplore.ieee.org/author/37085831457","2","Daniel Seebacher","37085831457","Data Analysis and Visualization Group, University of Konstanz","https://ieeexplore.ieee.org/author/38233607000","3","Juri Buchmüller","38233607000","Data Analysis and Visualization Group, University of Konstanz","https://ieeexplore.ieee.org/author/37283138700","4","Daniel A. Keim","37283138700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802502","105","https://ieeexplore.ieee.org/document/8802502/","Human-centered computing","Visualization","","","","","","Visualization application domains","Visual Analytics","","","","","","","Chemicals","Pollution measurement","Time series analysis","Market research","Contamination","Temperature measurement","Data visualization","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802502","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","12","104","Time Series Projection to Highlight Trends and Outliers"
"This paper presents our solution to the Mini Challenge 2 (MC2) of the VAST Challenge 2018. We will analyze the provided data set and introduce our visualization tool, which was implemented and tailored to the tasks given by MC2. The tool combines the power of stream graphs, innovative glyph visualizations, box plots, sparklines, heat maps and cross-filter strategies. It allows identifying patterns and anomalies within the provided data set.","https://ieeexplore.ieee.org/document/8802466/","LOCKED","8802466","IEEE Conference on Visual Analytics Science and Technology (VAST) 21-26 October 2018, University of Konstanz, Berlin, Germany","https://ieeexplore.ieee.org/author/37086941382","1","Isabel Piljek","37086941382","IEEE Conference on Visual Analytics Science and Technology (VAST) 21-26 October 2018, University of Konstanz, Berlin, Germany","https://ieeexplore.ieee.org/author/37086943455","2","Giuliana Dehn","37086943455","IEEE Conference on Visual Analytics Science and Technology (VAST) 21-26 October 2018, University of Konstanz, Berlin, Germany","https://ieeexplore.ieee.org/author/37086941902","3","Jannik Frauendorf","37086941902","IEEE Conference on Visual Analytics Science and Technology (VAST) 21-26 October 2018, University of Konstanz, Berlin, Germany","https://ieeexplore.ieee.org/author/37085436157","4","Ziad Salem","37085436157","IEEE Conference on Visual Analytics Science and Technology (VAST) 21-26 October 2018, University of Konstanz, Berlin, Germany","https://ieeexplore.ieee.org/author/37086942677","5","Yerzhan Niyazbayev","37086942677","IEEE Conference on Visual Analytics Science and Technology (VAST) 21-26 October 2018, University of Konstanz, Berlin, Germany","https://ieeexplore.ieee.org/author/38233607000","6","Juri Buchmüller","38233607000","IEEE Conference on Visual Analytics Science and Technology (VAST) 21-26 October 2018, University of Konstanz, Berlin, Germany","https://ieeexplore.ieee.org/author/37087002703","7","Eren Cakmak","37087002703","IEEE Conference on Visual Analytics Science and Technology (VAST) 21-26 October 2018, University of Konstanz, Berlin, Germany","https://ieeexplore.ieee.org/author/37086560996","8","Wolfgang Jentner","37086560996","IEEE Conference on Visual Analytics Science and Technology (VAST) 21-26 October 2018, University of Konstanz, Berlin, Germany","https://ieeexplore.ieee.org/author/38233603600","9","Florian Stoffel","38233603600","IEEE Conference on Visual Analytics Science and Technology (VAST) 21-26 October 2018, University of Konstanz, Berlin, Germany","https://ieeexplore.ieee.org/author/37085433386","10","Daniel A. Keim","37085433386","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802466","99","https://ieeexplore.ieee.org/document/8802466/","","","","","","","","","","","","","","","","Pollution measurement","Time measurement","Crystals","Market research","Rivers","Task analysis","Visual analytics","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802466","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","13","98","Identifying Patterns and Anomalies within Spatiotemporal Water Sampling Data"
"Figure 1.Analysis workflow: we combine automatic and interactive approach in order to analyze complex data. Neither approach alone would have been sufficient for the analysis.We describe our analysis of VAST Challenge 2018 Mini-Challenge 1. Our approach combines automatic analysis and interactive exploration. We improve user interaction and introduce new views to support analysis. At the same time, we design a convolutional neural network in order to compute a classifier of bird-singing audio files. The classifier and the interactive exploration tool are used to answer some of the challenge questions. Our analysis suggest that the audio files are most probably not of Pipits and, moreover, if there are Pipits among them, they are represented in minority. This finding indicates a need for further investigation.","https://ieeexplore.ieee.org/document/8802397/","LOCKED","8802397","VRVis Research Center","https://ieeexplore.ieee.org/author/37086943647","1","Elena Ginina","37086943647","VRVis Research Center","https://ieeexplore.ieee.org/author/37073197900","2","Michael Beham","37073197900","Virginia Tech","https://ieeexplore.ieee.org/author/37323697500","3","Denis Gračanin","37323697500","VRVis Research Center","https://ieeexplore.ieee.org/author/37085338700","4","Rainer Splechtna","37085338700","VRVis Research Center","https://ieeexplore.ieee.org/author/37947312900","5","Krešimir Matković","37947312900","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802397","113","https://ieeexplore.ieee.org/document/8802397/","Human-centered computing","Visualization","","","","","","Visualization Techniques","","","","","","","","Birds","Convolutional neural networks","Companies","Deep learning","Visual analytics","Digital audio players","Metadata","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802397","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","14","112","They do Move! Visual Analytics of Rose-Crested Blue Pipit Habitat"
"The datasets released for VAST 2018 Mini Challenge 2 pertain to sensor readings capturing chemical concentrations and physical properties from water bodies in the Boonsong Lekagul wildlife preserve. This challenge is in continuation to the VAST 2017 Challenge, where the company Kasios was identified as the culprit in dumping the chemical - Methylosmoline. In the absence of actual chemical measurements in the soil, challenge participants need to visualize chemical contamination based on the proximal water bodies to identify trends of interest. A horizon plot developed helps to narrow down the complete list of 106 chemicals provided to only 7, from where control charts are used to identify change points and periods of abnormal activity. In addition, a sequential sampling strategy to capture differences in chemical patterns along the flow of the river is recommended using a sunburst diagram.","https://ieeexplore.ieee.org/document/8802504/","LOCKED","8802504","Singapore Management University","https://ieeexplore.ieee.org/author/37086945829","1","Akangsha Bandalkul","37086945829","Singapore Management University","https://ieeexplore.ieee.org/author/37086942246","2","Angad Srivastava","37086942246","Singapore Management University","https://ieeexplore.ieee.org/author/37086943708","3","Kishan Bharadwaj Shridhar","37086943708","Singapore Management University","https://ieeexplore.ieee.org/author/37086562812","4","Ong Guan Jie Jason","37086562812","Singapore Management University","https://ieeexplore.ieee.org/author/37679547500","5","Zhang Yanrong","37679547500","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802504","103","https://ieeexplore.ieee.org/document/8802504/","Hydrology","Spatiotemporal analysis","","","","","","Horizon plot","Sunburst diagram","","","","","","","Chemicals","Pollution measurement","Frequency measurement","Data visualization","Time measurement","Market research","Rivers","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802504","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","15","102","Unearthing the X-Streams: Visualizing Water Contamination : VAST Mini-Challenge 2 Honorable Mention: Clarity of Narrative"
"The 2018 VAST Challenge Mini-challenge 1 poses a multifaceted data analysis problem requiring specialized insight into several fields of computing and visual analytics. In this paper we present our tool, Audio Explorer, that combines deep learning classification of audio files with geospatial and auditory visualization techniques in a user-friendly interface designed to promote information discovery.","https://ieeexplore.ieee.org/document/8802399/","LOCKED","8802399","Southwestern University","https://ieeexplore.ieee.org/author/37086939921","1","Colin Scruggs","37086939921","Southwestern University","https://ieeexplore.ieee.org/author/37086939105","2","Cameron Henkel","37086939105","Southwestern University","https://ieeexplore.ieee.org/author/38490190000","3","Charles D. Stolper","38490190000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802399","93","https://ieeexplore.ieee.org/document/8802399/","Human-centered computing","Visualization","","","","","","Visualization design and evaluation methods","Machine learning","Machine learning approaches","Classification and regression trees","Neural networks","","","","Spectrogram","Birds","Heating systems","Data visualization","Tools","Libraries","Geospatial analysis","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802399","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","16","92","Audio Explorer - VAST Challenge 2018 MC1 (Awarded “Excellent Comprehensive Submission”)"
"This paper introduces a novel visual analytics tool to analyze water contamination data. Bar charts and contour maps are used to inspect the data on an aggregate level. In order to identify both spatial and temporal patterns across all areas, we created a series of contour maps and used isolines to aggregate the readings. We also encoded the contours with color such that newer data were on the warmer spectrum (red/orange) and the older data were on the cooler spectrum (blue/green). Through panning, selecting, brushing, and filtering time scale, the user is able to identify patterns of interest in the data sets and highlight problem areas in the Preserve.","https://ieeexplore.ieee.org/document/8802508/","LOCKED","8802508","James Madison University","https://ieeexplore.ieee.org/author/37086942751","1","Chen Guo","37086942751","Naperville North High School","https://ieeexplore.ieee.org/author/37086945363","2","Ryan Guan","37086945363","Adlai E. Stevenson High School","https://ieeexplore.ieee.org/author/37086946059","3","Josephine Zhang","37086946059","Purdue University","https://ieeexplore.ieee.org/author/37086942470","4","Yingjie Victor Chen","37086942470","Purdue University","https://ieeexplore.ieee.org/author/38238364000","5","Zhenyu Cheryl Qian","38238364000","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802508","126","https://ieeexplore.ieee.org/document/8802508/","spatiotemporal visualization","visual analytics","","","","","","contour map","small multiples","","","","","","","Chemicals","Bars","Image color analysis","Data visualization","Spatiotemporal phenomena","Visual analytics","Water pollution","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802508","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","17","125","Contourmap: Contour Based Visualization Of Water Chemical Data"
"The VAST 2018 contest provided an opportunity to explore solutions in the pattern identification of 811 incomplete time-series in water samples. In this paper, we present two multilevel approaches (sorted clusters and MCLEAN) to explore and identify trends. Sorted clusters is a combination of clustering with multidimensional scaling to safeguard the similarity in the visualisation of clusters. MCLEAN transforms a multi-dimensional dataset into a network so that it can be investigated at different levels of details.","https://ieeexplore.ieee.org/document/8802480/","LOCKED","8802480","Faculty of Engineering, ESAT/STADIUS, KU Leuven, Belgium","https://ieeexplore.ieee.org/author/37086944276","1","Daniel Alcaide","37086944276","Faculty of Engineering, ESAT/STADIUS, KU Leuven, Belgium","https://ieeexplore.ieee.org/author/37085389683","2","Jan Aerts","37085389683","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802480","117","https://ieeexplore.ieee.org/document/8802480/","","","","","","","","","","","","","","","","Chemicals","Heating systems","Visualization","Peer-to-peer computing","Data visualization","Image color analysis","Wildlife","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802480","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","18","116","Multilevel Visual Clustering Exploration for Incomplete Time-Series in Water Samples"
"VAST Challenge 2018 Mini Challenge 1 presents a challenge to analyze some patterns under the given spatio-temporal data. However, sometimes it is difficult to acquire the underlying ones. Hence we propose an interactive visual analytic system to allow users to get some useful information more efficiently from the data. We manage to meet the challenge using our system to discover the hidden information.","https://ieeexplore.ieee.org/document/8802447/","LOCKED","8802447","Key Laboratory of Machine Perception (Ministry of Education), School of EECS, Peking University","https://ieeexplore.ieee.org/author/37086945793","1","Chuyue Ye","37086945793","Key Laboratory of Machine Perception (Ministry of Education), School of EECS, Peking University","https://ieeexplore.ieee.org/author/37086941868","2","Sihang Li","37086941868","Sky Eye Lab, 360 Enterprise Security Corp., Endpoint Security, Inc","https://ieeexplore.ieee.org/author/37086945791","3","Gang Li","37086945791","Sky Eye Lab, 360 Enterprise Security Corp., Endpoint Security, Inc","https://ieeexplore.ieee.org/author/37086941823","4","Liang Tang","37086941823","Sky Eye Lab, 360 Enterprise Security Corp., Endpoint Security, Inc","https://ieeexplore.ieee.org/author/37086939657","5","Dengfeng Zhang","37086939657","Sky Eye Lab, 360 Enterprise Security Corp., Endpoint Security, Inc","https://ieeexplore.ieee.org/author/37086941454","6","Xinyue Luan","37086941454","Sky Eye Lab, 360 Enterprise Security Corp., Endpoint Security, Inc","https://ieeexplore.ieee.org/author/37086943057","7","Zhuo Zhang","37086943057","Key Laboratory of Machine Perception (Ministry of Education), School of EECS, Peking University","https://ieeexplore.ieee.org/author/37403856700","8","Xiaoru Yuan","37403856700","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802447","95","https://ieeexplore.ieee.org/document/8802447/","","","","","","","","","","","","","","","","Birds","Visual analytics","Bars","Machine learning","Predictive models","Security","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802447","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","19","94","Visual Bird Watcher: Interactive Visual Analysis on Bird Distribution and Migration"
"We present SMARTEXPLORE, a novel visual analytics technique that simplifies the identification and understanding of clusters, correlations, and complex patterns in high-dimensional data. The analysis is integrated into an interactive table-based visualization that maintains a consistent and familiar representation throughout the analysis. The visualization is tightly coupled with pattern matching, subspace analysis, reordering, and layout algorithms. To increase the analyst's trust in the revealed patterns, SMARTEXPLORE automatically selects and computes statistical measures based on dimension and data properties. While existing approaches to analyzing high-dimensional data (e.g., planar projections and Parallel coordinates) have proven effective, they typically have steep learning curves for non-visualization experts. Our evaluation, based on three expert case studies, confirms that non-visualization experts successfully reveal patterns in high-dimensional data when using SMARTEXPLORE.","https://ieeexplore.ieee.org/document/8802486/","LOCKED","8802486","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37086249850","1","Michael Blumenschein","37086249850","Harvard University, USA","https://ieeexplore.ieee.org/author/38551542600","2","Michael Behrisch","38551542600","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37086943825","3","Stefanie Schmid","37086943825","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37683008700","4","Simon Butscher","37683008700","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37086941601","5","Deborah R. Wahl","37086941601","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37086943082","6","Karoline Villinger","37086943082","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37086940776","7","Britta Renner","37086940776","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37326200300","8","Harald Reiterer","37326200300","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37283138700","9","Daniel A. Keim","37283138700","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802486","47","https://ieeexplore.ieee.org/document/8802486/","High-dimensional data","visual exploration","","","","","","pattern-driven analysis","tabular visualization","subspace","aggregation","","","","","Data visualization","Correlation","Tools","Reliability","Visual analytics","Task analysis","","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802486","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","20","36","SMARTexplore: Simplifying High-Dimensional Data Analysis through a Table-Based Visual Analytics Approach"
"Social data charts - visual presentations of quantitative data about peer behaviors - may offer new means to motivate individuals to participate in group goals. However, to do so these charts need to create a semantic response of `unity' among the chart viewers in order to overcome the problems of social loafing where people act selfishly and undervalue the group's goal. In this paper, we focus on two properties of social data charts that may affect a viewer's perceptions of unity: (1) The skewness in the data structure - the statistical distribution of the social data, and (2) the proximity in the visual structure of the chart - the spatial organization of the data points. We performed a controlled perceptual experiment to examine the effect of proximity and skewness on four different semantic facets of perceived group unity: similarity, entitativity, rapport, and centrality. We exposed 179 participants on Amazon Mechanical Turk to different group charts using a 2 x 2 factorial design, varying both proximity and skewness. Our two-way ANCOVA analyses reveal three important findings: (1) Across all conditions, proximity has a strong positive effect on perceived group unity and conveys a social meaning of group entitativity, as well as, member similarity and rapport; (2) Skewness and proximity interact in a non-linear way, suggesting that skewness creates a negative force that modifies the semantic responses to high proximity; and (3) The perceptual responses to proximity have different semantic facets that are either stable or sensitive to skewness. These findings contribute to perceptual as well as social InfoVis literature.","https://ieeexplore.ieee.org/document/8802449/","LOCKED","8802449","Purdue University","https://ieeexplore.ieee.org/author/37086942182","1","Marlen Promann","37086942182","Purdue University","https://ieeexplore.ieee.org/author/37598999800","2","Sabine Brunswicker","37598999800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802449","12","https://ieeexplore.ieee.org/document/8802449/","Social visualization","information visualization","Human-centered computing","Empirical studies in HCI","Displays and imagers","Social engineering (social sciences)","Visualization theory, concepts and paradigms","Gestalt theory","controlled experiment","data density","data spread","perception","group identity","unity","priming","Visualization","Data visualization","Semantics","Data structures","Psychology","Social groups","Task analysis","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802449","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","21","1","The Effect of Proximity in Social Data Charts on Perceived Unity"
"Completing text analysis tasks is a continuous sensemaking loop of foraging for information and incrementally synthesizing it into hypotheses. Past research has shown the advantages of using spatial workspaces as a means for synthesizing information through externalizing hypotheses and creating spatial schemas. However, spatializing the entirety of datasets becomes prohibitive as the number of documents available to the analysts grows, particularly when only a small subset are relevant to the task at hand. StarSPIRE is a visual analytics tool designed to explore collections of documents, leveraging users' semantic interactions to steer (1) a synthesis model that aids in document layout, and (2) a foraging model to automatically retrieve new relevant information. In contrast to traditional keyword search foraging (KSF), “semantic interaction foraging” (SIF) occurs as a result of the user's synthesis actions. To quantify the value of semantic interaction foraging, we use StarSPIRE to evaluate its utility for an intelligence analysis sensemaking task. Semantic interaction foraging accounted for 26% of useful documents found, and it also resulted in increased synthesis interactions and improved sensemaking task performance by users in comparison to only using keyword search.","https://ieeexplore.ieee.org/document/8802424/","LOCKED","8802424","Virginia Tech Computer Science","https://ieeexplore.ieee.org/author/38233577000","1","John Wenskovitch","38233577000","Department of Defense","https://ieeexplore.ieee.org/author/37071531400","2","Lauren Bradel","37071531400","Virginia Tech Computer Science","https://ieeexplore.ieee.org/author/37086544634","3","Michelle Dowling","37086544634","Virginia Tech Statistics","https://ieeexplore.ieee.org/author/38241765600","4","Leanna House","38241765600","Virginia Tech Computer Science","https://ieeexplore.ieee.org/author/37419565900","5","Chris North","37419565900","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","21-26 Oct. 2018","Berlin, Germany","Conferences","10.1109/VAST.2018.8802424","24","https://ieeexplore.ieee.org/document/8802424/","Human-centered computing","Visualization","","","","","","Empirical studies in visualization","Human-centered computing","Visualization","Visual analytics","","","","","Semantics","Layout","Task analysis","Analytical models","Computational modeling","Data visualization","Visual analytics","","8802370","978-1-5386-6862-7","Print on Demand(PoD) ISBN","New-2005","978-1-5386-6862-7","Electronic ISBN","New-2005","978-1-5386-6861-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8802424","21-26 Oct. 2018","8792226","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","2018","IEEE","22","13","The Effect of Semantic Interaction on Foraging in Text Analysis"
