title,author,year,ee
conf/ieeevast/WangMCLWWY14,Story explorer: A visual analysis tool for heterogeneous text data.,Chenglong Wang::Zhengjie Miao::Siming Chen 0001::Zipeng Liu::Zuchao Wang::Zhenhuang Wang::Xiaoru Yuan,2014,https://doi.org/10.1109/VAST.2014.7042553::https://doi.ieeecomputersociety.org/10.1109/VAST.2014.7042553
conf/ieeevast/SperrleSKE19,VIANA: Visual Interactive Annotation of Argumentation.,Fabian Sperrle::Rita Sevastjanova::Rebecca Kehlbeck::Mennatallah El-Assady,2019,https://doi.org/10.1109/VAST47406.2019.8986917
conf/ieeevast/RuppertK10,A radial visualization tool for depicting hierarchically structured video content.,Tobias Ruppert::Jörn Kohlhammer,2010,https://doi.org/10.1109/VAST.2010.5650177
conf/ieeevast/FernstadG14,Visual analysis of missing data - To see what isn't there.,Sara Johansson Fernstad::Robert C. Glen,2014,https://doi.org/10.1109/VAST.2014.7042514::https://doi.ieeecomputersociety.org/10.1109/VAST.2014.7042514
conf/ieeevast/OlislagersW12,The spatiotemporal multivariate hypercube for discovery of patterns in event data.,Fred Olislagers::Marcel Worring,2012,https://doi.org/10.1109/VAST.2012.6400536::https://doi.ieeecomputersociety.org/10.1109/VAST.2012.6400536
conf/ieeevast/PanJLR07,TextPlorer: An application supporting text analysis.,Chi-Chun Pan::Anuj R. Jaiswal::Junyan Luo::Anthony C. Robinson,2007,https://doi.org/10.1109/VAST.2007.4389019::https://doi.ieeecomputersociety.org/10.1109/VAST.2007.4389019
conf/ieeevast/OttleyCZC12,Priming Locus of Control to affect performance.,Alvitta Ottley::R. Jordan Crouser::Caroline Ziemkiewicz::Remco Chang,2012,https://doi.org/10.1109/VAST.2012.6400535::https://doi.ieeecomputersociety.org/10.1109/VAST.2012.6400535
conf/ieeevast/IsenbergFMIC10,An exploratory study of co-located collaborative visual analytics around a tabletop display.,Petra Isenberg::Danyel Fisher::Meredith Ringel Morris::Kori Inkpen::Mary Czerwinski,2010,https://doi.org/10.1109/VAST.2010.5652880
conf/ieeevast/KwonFY11,Visual analytic roadblocks for novice investigators.,Bum Chul Kwon::Brian D. Fisher::Ji Soo Yi,2011,https://doi.org/10.1109/VAST.2011.6102435
conf/ieeevast/BenjaminMAV15,Group identification from visitor movement data: VAST 2015 mini-challenge 1.,Perakath C. Benjamin::Karthic Madanagopal::Kumar V. Akella::Kalyan Vadakkeveedu,2015,https://doi.org/10.1109/VAST.2015.7347651::https://doi.ieeecomputersociety.org/10.1109/VAST.2015.7347651
conf/ieeevast/JonkerLSC12,"Agile visual analytics for banking cyber ""big data"".",David Jonker::Scott Langevin::Peter Schretlen::Casey M. Canfield,2012,https://doi.org/10.1109/VAST.2012.6400507::https://doi.ieeecomputersociety.org/10.1109/VAST.2012.6400507
conf/ieeevast/BaumleBBMBCJK18,Interactive Webtool for Tempospatial Data and Visual Audio Analysis : VAST Challenge 2018: Honorable Mention for Interactive Analytic Tool.,Benedikt Bäumle::Ina Boesecke::Raphael Buchmüller::Yannick Metz::Juri Buchmüller::Eren Cakmak::Wolfgang Jentner::Daniel A. Keim,2018,https://doi.org/10.1109/VAST.2018.8802517
conf/ieeevast/MullerMK17,Temporal and Spatial Analysis of VAST 2017's Mini-Challenge 1.,Chris Muller::Kevin McGurgan::Stephanie Kane,2017,https://doi.org/10.1109/VAST.2017.8585475::https://doi.ieeecomputersociety.org/10.1109/VAST.2017.8585475
conf/ieeevast/MokhtariBLG10,Visual tools for dynamic analysis of complex situations.,Marielle Mokhtari::Eric Boivin::Denis Laurendeau::Maxime Girardin,2010,https://doi.org/10.1109/VAST.2010.5654451
conf/ieeevast/XuEJJ11,Analysis of large digital collections with interactive visualization.,Weijia Xu::Maria Esteva::Suyog Dott Jain::Varun Jain,2011,https://doi.org/10.1109/VAST.2011.6102462
conf/ieeevast/JoorabchiYS10,EmailTime: Visual analytics of emails.,Minoo Erfani Joorabchi::Ji-Dong Yim::Christopher D. Shaw,2010,https://doi.org/10.1109/VAST.2010.5652968::https://www.wikidata.org/entity/Q62589443
conf/ieeevast/CaoMMENM12,Dynamic analysis of large datasets with animated and correlated views: VAST 2012 Mini Challenge # award: Honorable mention for good use of coordinated displays.,Yong Cao::Reese Moore::Peng Mi::Alex Endert::Chris North 0001::Randy C. Marchany,2012,https://doi.org/10.1109/VAST.2012.6400515::https://doi.ieeecomputersociety.org/10.1109/VAST.2012.6400515
conf/ieeevast/BuchmullerJSK17,ODIX: A Rapid Hypotheses Testing System for Origin-Destination Data IEEE VAST Challenge Award for Excellence in Spatio-temporal Graph Analytics.,Juri Buchmüller::Wolfgang Jentner::Dirk Streeb::Daniel A. Keim,2017,https://doi.org/10.1109/VAST.2017.8585686::https://doi.ieeecomputersociety.org/10.1109/VAST.2017.8585686
conf/ieeevast/BrandesL07,Visual Analysis of Controversy in User-generated Encyclopedias.,Ulrik Brandes::Jürgen Lerner,2007,https://doi.org/10.1109/VAST.2007.4389012::https://doi.ieeecomputersociety.org/10.1109/VAST.2007.4389012
conf/ieeevast/Nguyen0BSHW16,SenseMap: Supporting browser-based online sensemaking through analytic provenance.,Phong Hai Nguyen::Kai Xu 0003::Andy Bardill::Betul Salman::Kate Herd::B. L. William Wong,2016,https://doi.org/10.1109/VAST.2016.7883515::https://doi.ieeecomputersociety.org/10.1109/VAST.2016.7883515
conf/ieeevast/VelampalliME17,Detecting Vehicular Patterns Using a Graph-Based Approach.,Sirisha Velampalli::Lenin Mookiah::William Eberle,2017,https://doi.org/10.1109/VAST.2017.8585667
conf/ieeevast/HeldBK15,Exploring dinofun park happenings.,Pascal Held::Christian Braune::Rudolf Kruse,2015,https://doi.org/10.1109/VAST.2015.7347658::https://doi.ieeecomputersociety.org/10.1109/VAST.2015.7347658
conf/ieeevast/AccorsiLFBPSBTC14,HydroQual: Visual analysis of river water quality.,Pierre Accorsi::Nathalie Lalande::Mickaël Fabrègue::Agnès Braud::Pascal Poncelet::Arnaud Sallaberry::Sandra Bringay::Maguelonne Teisseire::Flavie Cernesson::Florence Le Ber,2014,https://doi.org/10.1109/VAST.2014.7042488::https://doi.ieeecomputersociety.org/10.1109/VAST.2014.7042488
conf/ieeevast/KnittelKE19,Pattern-Based Semantic and Temporal Exploration of Social Media Messages.,Johannes Knittel::Steffen Koch 0001::Thomas Ertl,2019,https://doi.org/10.1109/VAST47406.2019.8986950
conf/ieeevast/LiuXGLAS16,SocialBrands: Visual analysis of public perceptions of brands on social media.,Xiaotong Liu::Anbang Xu::Liang Gou::Haibin Liu::Rama Akkiraju::Han-Wei Shen,2016,https://doi.org/10.1109/VAST.2016.7883513::https://doi.ieeecomputersociety.org/10.1109/VAST.2016.7883513
conf/ieeevast/GreenRF08,Visual analytics for complex concepts using a human cognition model.,Tera Marie Green::William Ribarsky::Brian D. Fisher,2008,https://doi.org/10.1109/VAST.2008.4677361
conf/ieeevast/PolackCKSC15,TimeStitch: Interactive multi-focus cohort discovery and comparison.,Peter J. Polack Jr.::Shang-Tse Chen::Minsuk Kahng::Moushumi Sharmin::Duen Horng Chau,2015,https://doi.org/10.1109/VAST.2015.7347682::https://doi.ieeecomputersociety.org/10.1109/VAST.2015.7347682
conf/ieeevast/YashaswiNC14,Regular and unusual data visualization IIIT-H.,Pochampally Yashaswi::Yarrabelly Navya::Veera Raghavendra Chikka,2014,https://doi.org/10.1109/VAST.2014.7042570::https://doi.ieeecomputersociety.org/10.1109/VAST.2014.7042570
conf/ieeevast/Lupi17,VIS Capstone Address Data Humanism: The Revolution will be Visualized.,Giorgia Lupi,2017,https://doi.org/10.1109/VAST.2017.8585625
conf/ieeevast/Pascual-Cid08,An information visualisation system for the understanding of web data.,Victor Pascual-Cid,2008,https://doi.org/10.1109/VAST.2008.4677377
conf/ieeevast/WongsuphasawatL14,Using visualizations to monitor changes and harvest insights from a global-scale logging infrastructure at Twitter.,Krist Wongsuphasawat::Jimmy Lin,2014,https://doi.org/10.1109/VAST.2014.7042487::https://doi.ieeecomputersociety.org/10.1109/VAST.2014.7042487
conf/ieeevast/MigutGW11,Interactive decision making using dissimilarity to visually represented prototypes.,Malgorzata Migut::Jan C. van Gemert::Marcel Worring,2011,https://doi.org/10.1109/VAST.2011.6102451
conf/ieeevast/EickMR06,Visualizing the Performance of Computational Linguistics Algorithms.,Stephen G. Eick::Justin Mauger::Alan Ratner,2006,https://doi.org/10.1109/VAST.2006.261417::https://doi.ieeecomputersociety.org/10.1109/VAST.2006.261417
conf/ieeevast/DudzicGK10,Visualization of temporal relationships within coordinated views.,Stephanie Dudzic::J. Alex Godwin::Ryan M. Kilgore,2010,https://doi.org/10.1109/VAST.2010.5651617
conf/ieeevast/BowmanJGH12,Feature-similarity visualization of MRI cortical surface data.,Ian Bowman::Shantanu H. Joshi::Vaughan Greer::John Darrell Van Horn,2012,https://doi.org/10.1109/VAST.2012.6400548::https://doi.ieeecomputersociety.org/10.1109/VAST.2012.6400548
conf/ieeevast/Cai07,Formalizing Analytical Discourse in Visual Analytics.,Guoray Cai,2007,https://doi.org/10.1109/VAST.2007.4389025::https://doi.ieeecomputersociety.org/10.1109/VAST.2007.4389025
conf/ieeevast/PinaudDM11,PORGY: Interactive and visual reasoning with graph rewriting systems.,Bruno Pinaud::Jonathan Dubois::Guy Melançon,2011,https://doi.org/10.1109/VAST.2011.6102480
conf/ieeevast/PiringerB11,Exploring proportions: Comparative visualization of categorical data.,Harald Piringer::Matthias Buchetics,2011,https://doi.org/10.1109/VAST.2011.6102481
conf/ieeevast/ZahalkaW14,"Towards interactive, intelligent, and integrated multimedia analytics.",Jan Zahálka::Marcel Worring,2014,https://doi.org/10.1109/VAST.2014.7042476::https://doi.ieeecomputersociety.org/10.1109/VAST.2014.7042476
conf/ieeevast/RaidouMEBV14,Visual analytics for the exploration of multiparametric cancer imaging.,Renata G. Raidou::Marta Paes Moreira::Wouter van Elmpt::Marcel Breeuwer::Anna Vilanova,2014,https://doi.org/10.1109/VAST.2014.7042521::https://doi.ieeecomputersociety.org/10.1109/VAST.2014.7042521
conf/ieeevast/TomaszewskiM10,"Geo-historical context support for information foraging and sensemaking: Conceptual model, implementation, and assessment.",Brian M. Tomaszewski::Alan M. MacEachren,2010,https://doi.org/10.1109/VAST.2010.5652895
conf/ieeevast/GhoniemLYR07,NewsLab: Exploratory Broadcast News Video Analysis.,Mohammad Ghoniem::Dongning Luo::Jing Yang 0001::William Ribarsky,2007,https://doi.org/10.1109/VAST.2007.4389005::https://doi.ieeecomputersociety.org/10.1109/VAST.2007.4389005
conf/ieeevast/ItohYTK15,A System for visual exploration of caution spots from vehicle recorder data.,Masahiko Itoh::Daisaku Yokoyama::Masashi Toyoda::Masaru Kitsuregawa,2015,https://doi.org/10.1109/VAST.2015.7347677::https://doi.ieeecomputersociety.org/10.1109/VAST.2015.7347677
conf/ieeevast/XiaoGH06,Enhancing Visual Analysis of Network Traffic Using a Knowledge Representation.,Ling Xiao 0005::John Gerth::Pat Hanrahan,2006,https://doi.org/10.1109/VAST.2006.261436::https://doi.ieeecomputersociety.org/10.1109/VAST.2006.261436
conf/ieeevast/AndryscoBG08,Interactive poster: Visual analytic techniques for CO2 emissions and concentrations in the United States.,Nathan Andrysco::Bedrich Benes::Kevin R. Gurney,2008,https://doi.org/10.1109/VAST.2008.4677372
conf/ieeevast/SolteszovaFEJ15,Evolution inspector: Interactive visual analysis for evolutionary molecular design.,Veronika Soltészová::Marco Foscato::Sondre H. Eliasson::Vidar R. Jensen,2015,https://doi.org/10.1109/VAST.2015.7347687::https://doi.ieeecomputersociety.org/10.1109/VAST.2015.7347687
conf/ieeevast/CuadrosPMT07,Point Placement by Phylogenetic Trees and its Application to Visual Analysis of Document Collections.,Ana M. Cuadros::Fernando Vieira Paulovich::Rosane Minghim::Guilherme P. Telles,2007,https://doi.org/10.1109/VAST.2007.4389002::https://doi.ieeecomputersociety.org/10.1109/VAST.2007.4389002
conf/ieeevast/WeaverFRHPM06,Visual Analysis of Historic Hotel Visitation Patterns.,Chris E. Weaver::David Fyfe::Anthony C. Robinson::Deryck W. Holdsworth::Donna J. Peuquet::Alan M. MacEachren,2006,https://doi.org/10.1109/VAST.2006.261428::https://doi.ieeecomputersociety.org/10.1109/VAST.2006.261428
conf/ieeevast/GargRM10,A visual analytics approach to model learning.,Supriya Garg::I. V. Ramakrishnan::Klaus Mueller 0001,2010,https://doi.org/10.1109/VAST.2010.5652484
conf/ieeevast/ChoWKSSD17,The Anchoring Effect in Decision-Making with Visual Analytics.,Isaac Cho::Ryan Wesslen::Alireza Karduni::Sashank Santhanam::Samira Shaikh::Wenwen Dou,2017,https://doi.org/10.1109/VAST.2017.8585665
conf/ieeevast/Lammarsch08,A compound approach for interactive visualization of time-oriented data.,Tim Lammarsch,2008,https://doi.org/10.1109/VAST.2008.4677374
conf/ieeevast/ShurkhovetskyyBG12,Visual analytics for network security.,Georgiy Shurkhovetskyy::Ahmed Bahey::Mohammad Ghoniem,2012,https://doi.org/10.1109/VAST.2012.6400506::https://doi.ieeecomputersociety.org/10.1109/VAST.2012.6400506
conf/ieeevast/ChooFLW09,Timeline analysis of undercover activities VAST 2009 traffic mini challenge award: Good analytical technique.,Jaegul Choo::Emily Fujimoto::Hanseung Lee::Pedro R. Walteros,2009,https://doi.org/10.1109/VAST.2009.5334460
conf/ieeevast/PerkinsC15,Using visualization and analysis with efficient dimension Reduction to determine underlying factors in hospital inpatient procedure costs.,Miriam Perkins::Yanlai Chen,2015,https://doi.org/10.1109/VAST.2015.7347680::https://doi.ieeecomputersociety.org/10.1109/VAST.2015.7347680
conf/ieeevast/LimaSM19,IDUVis: An Interactive Dashboard for Uncertainty Visualization and Analysis - Vast Challenge 2019 MC1 Award for Supporting Situation Awareness and Anomaly Detection.,Rodrigo Santos Do Amor Divino Lima::Carlos Gustavo Resque dos Santos::Bianchi Serique Meiguins,2019,https://doi.org/10.1109/VAST47406.2019.8986919
conf/ieeevast/VadlapudiSSD12,LensingWikipedia: Parsing text for the interactive visualization of human history.,Ravikiran Vadlapudi::Maryam Siahbani::Anoop Sarkar::John Dill,2012,https://doi.org/10.1109/VAST.2012.6400530::https://doi.ieeecomputersociety.org/10.1109/VAST.2012.6400530::https://www.wikidata.org/entity/Q66693227
conf/ieeevast/KangGS09,Evaluating visual analytics systems for investigative analysis: Deriving design principles from a case study.,Youn ah Kang::Carsten Görg::John T. Stasko,2009,https://doi.org/10.1109/VAST.2009.5333878
conf/ieeevast/YangFHGLRW06,Semantic Image Browser: Bridging Information Visualization with Automated Intelligent Image Analysis.,Jing Yang 0001::Jianping Fan 0001::Daniel Hubball::Yuli Gao::Hangzai Luo::William Ribarsky::Matthew O. Ward,2006,https://doi.org/10.1109/VAST.2006.261425::https://doi.ieeecomputersociety.org/10.1109/VAST.2006.261425
conf/ieeevast/KangGS07,C-GROUP: A Visual Analytic Tool for Pairwise Analysis of Dynamic Group Membership.,Hyunmo Kang::Lise Getoor::Lisa Singh,2007,https://doi.org/10.1109/VAST.2007.4389022::https://doi.ieeecomputersociety.org/10.1109/VAST.2007.4389022
conf/ieeevast/BehrischKSS14,Feedback-driven interactive exploration of large multidimensional data supported by visual classifier.,Michael Behrisch 0001::Fatih Korkmaz::Lin Shao 0001::Tobias Schreck,2014,https://doi.org/10.1109/VAST.2014.7042480::https://doi.ieeecomputersociety.org/10.1109/VAST.2014.7042480
conf/ieeevast/LamRTM07,Session Viewer: Visual Exploratory Analysis of Web Session Logs.,Heidi Lam::Daniel M. Russell::Diane Tang::Tamara Munzner,2007,https://doi.org/10.1109/VAST.2007.4389008::https://doi.ieeecomputersociety.org/10.1109/VAST.2007.4389008
conf/ieeevast/LiuGKLCPS10,Data ingestion and evidence marshalling in Jigsaw VAST 2010 Mini Challenge 1 award: Good support for data ingest.,Zhicheng Liu 0001::Carsten Görg::Jaeyeon Kihm::Hanseung Lee::Jaegul Choo::Haesun Park::John T. Stasko,2010,https://doi.org/10.1109/VAST.2010.5653042
conf/ieeevast/CaiCZZZZ14,VAST 2014 mini-challenge 1: MEAT - Multiview event analysis tool of diverse data sources.,Zhuang Cai::Meng-Yao Chen::Hanqing Zhao::Ying Zhao 0001::Fangfang Zhou::Kang Zhang 0001,2014,https://doi.org/10.1109/VAST.2014.7042544::https://doi.ieeecomputersociety.org/10.1109/VAST.2014.7042544
conf/ieeevast/ChaeWAGZCXZHMKE15,Visual analytics of heterogeneous data for criminal event analysis VAST challenge 2015: Grand challenge.,Junghoon Chae::Guizhen Wang::Benjamin Ahlbrand::Mahesh Babu Gorantla::Jiawei Zhang 0003::Siqaio Chen::Hanye Xu::Jieqiong Zhao::William Hatton::Abish Malik::Sungahn Ko::David S. Ebert,2015,https://doi.org/10.1109/VAST.2015.7347654::https://doi.ieeecomputersociety.org/10.1109/VAST.2015.7347654
conf/ieeevast/MingCZLCSQ17,Understanding Hidden Memories of Recurrent Neural Networks.,Yao Ming::Shaozu Cao::Ruixiang Zhang::Zhen Li 0044::Yuanzhe Chen::Yangqiu Song::Huamin Qu,2017,https://doi.org/10.1109/VAST.2017.8585721
conf/ieeevast/BarloweZLYJ08,Multivariate visual explanation for high dimensional datasets.,Scott Barlowe::Tianyi Zhang::Yujie Liu::Jing Yang 0001::Donald J. Jacobs,2008,https://doi.org/10.1109/VAST.2008.4677368::https://www.wikidata.org/entity/Q84699687
conf/ieeevast/MurrayF14,StretchPlot: Interactive visualization of multi-dimensional trajectory data.,Paul Murray::Angus G. Forbes,2014,https://doi.org/10.1109/VAST.2014.7042520::https://doi.ieeecomputersociety.org/10.1109/VAST.2014.7042520
conf/ieeevast/ChenFKA14,Emoticons and linguistic alignment: How visual analytics can elicit storytelling.,Nan-Chen Chen::Laurie Beth Feldman::Judith F. Kroll::Cecilia R. Aragon,2014,https://doi.org/10.1109/VAST.2014.7042508::https://doi.ieeecomputersociety.org/10.1109/VAST.2014.7042508
conf/ieeevast/CrouserCFHLWS18,VAST Challenge 2018: Suspense at the Wildlife Preserve.,R. Jordan Crouser::Kristin A. Cook::John Fallon::Jereme Haack::Kristen Liggett::Mark A. Whiting::Diane Staheli,2018,https://doi.org/10.1109/VAST.2018.8802465
conf/ieeevast/CookSW15,A software developer's guide to informal evaluation of Visual Analytics environments using VAST Challenge information.,Kristin A. Cook::Jean Scholtz::Mark A. Whiting,2015,https://doi.org/10.1109/VAST.2015.7347674::https://doi.ieeecomputersociety.org/10.1109/VAST.2015.7347674
conf/ieeevast/WongCFMT06,Have Green - A Visual Analytics Framework for Large Semantic Graphs.,Pak Chung Wong::George Chin Jr.::Harlan Foote::Patrick Mackey::James J. Thomas,2006,https://doi.org/10.1109/VAST.2006.261432::https://doi.ieeecomputersociety.org/10.1109/VAST.2006.261432
conf/ieeevast/SuhCPK07,Us vs. Them: Understanding Social Dynamics in Wikipedia with Revert Graph Visualizations.,Bongwon Suh::Ed H. Chi::Bryan A. Pendleton::Aniket Kittur,2007,https://doi.org/10.1109/VAST.2007.4389010::https://doi.ieeecomputersociety.org/10.1109/VAST.2007.4389010::https://www.wikidata.org/entity/Q66710227
conf/ieeevast/Chen17,VIS Keynote Address: Analytics Inspired Visualization: a Holistic In-situ Scientific Workflow at Extreme Scale.,Jacqueline H. Chen,2017,https://doi.org/10.1109/VAST.2017.8585481
conf/ieeevast/AndrewsHGRN11,Analyst's workspace: Protecting vastopolis.,Christopher Andrews 0001::Mahmud Shahriar Hossain::Samah Gad::Naren Ramakrishnan::Chris North 0001,2011,https://doi.org/10.1109/VAST.2011.6102495
conf/ieeevast/Ebert16,The 2016 Visualization Technical Achievement Award.,David S. Ebert,2016,https://doi.org/10.1109/VAST.2016.7883503::https://doi.ieeecomputersociety.org/10.1109/VAST.2016.7883503
