key,title,author,year,ee
conf/vissym/KerrenKLS17,MDS-based Visual Survey of Biological Data Visualization Techniques.,Andreas Kerren::Kostiantyn Kucher::Yuan-Fang Li::Falk Schreiber,2017,https://doi.org/10.2312/eurp.20171175
conf/vissym/LeitteFLHLMW12,Visualization Software for 3D Video Microscopy: A Design Study.,Heike Leitte::Jens Fangerau::Xinghua Lou::Burkhard Höckendorf::Steffen Lemke 0002::Alexis Maizel::Jochen Wittbrodt,2012,https://doi.org/10.2312/PE/EuroVisShort/EuroVisShort2012/073-077
conf/vissym/MuXCDWQ19,MOOCad: Visual Analysis of Anomalous Learning Activities in Massive Open Online Courses.,Xing Mu::Ke Xu::Qing Chen 0001::Fan Du::Yun Wang 0012::Huamin Qu,2019,https://doi.org/10.2312/evs.20191176
conf/vissym/Filipov0M18,"CV3: Visual Exploration, Assessment, and Comparison of CVs.",Velitchko Andreev Filipov::Paolo Federico 0001::Silvia Miksch,2018,https://doi.org/10.2312/eurp.20181115
conf/vissym/KarallGR18,ChemoExplorer: A Dashboard for the Visual Analysis of Chemotherapy Response in Breast Cancer Patients.,Nikolaus Karall::M. Eduard Gröller::Renata Georgia Raidou,2018,https://doi.org/10.2312/eurovisshort.20181077
conf/vissym/JangWHHEGE04,Interactively Visualizing Procedurally Encoded Scalar Fields.,Yun Jang::Manfred Weiler::Matthias Hopf::Jingshu Huang::David S. Ebert::Kelly P. Gaither::Thomas Ertl,2004,https://doi.org/10.2312/VisSym/VisSym04/035-044::http://dl.acm.org/citation.cfm?id=2384230
conf/vissym/WeinkaufTHS04,Boundary Switch Connectors for Topological Visualization of Complex 3D Vector Fields.,Tino Weinkauf::Holger Theisel::Hans-Christian Hege::Hans-Peter Seidel,2004,https://doi.org/10.2312/VisSym/VisSym04/183-192::http://dl.acm.org/citation.cfm?id=2384253
conf/vissym/BrucknerGKG05,Illustrative Context-Preserving Volume Rendering.,Stefan Bruckner::Sören Grimm::Armin Kanitsar::M. Eduard Gröller,2005,https://doi.org/10.2312/VisSym/EuroVis05/069-076
conf/vissym/StahlET02,Bag-of-Particles as a Deformable Model.,David J. Stahl Jr.::Norberto Ezquerra::Greg Turk,2002,https://doi.org/10.2312/VisSym/VisSym02/141-150
conf/vissym/CechKSD24,A Dashboard for Simplifying Machine Learning Models using Feature Importances and Spurious Correlation Analysis.,Tim Cech::Erik Kohlros::Willy Scheibel::Jürgen Döllner,2024,https://doi.org/10.2312/evp.20241075
conf/vissym/FoutAMLK05,High-Quality Rendering of Compressed Volume Data Formats.,Nathaniel Fout::Hiroshi Akiba::Kwan-Liu Ma::Aaron E. Lefohn::Joe Kniss,2005,https://doi.org/10.2312/VisSym/EuroVis05/077-084
conf/vissym/StrzodkaT04,Generalized Distance Transforms and Skeletons in Graphics Hardware.,Robert Strzodka::Alexandru C. Telea,2004,https://doi.org/10.2312/VisSym/VisSym04/221-230::http://dl.acm.org/citation.cfm?id=2384258
conf/vissym/SongLKS12,DiffMatrix: Matrix-based Interactive Visualization for Comparing Temporal Trends.,Hyunjoo Song::Bongshin Lee::Bo Hyoung Kim::Jinwook Seo,2012,https://doi.org/10.2312/PE/EuroVisShort/EuroVisShort2012/103-107
conf/vissym/ReisBLH04,Adaptive Volume Construction from Ultrasound Images of a Human Heart.,Gerd Reis::Martin Bertram 0001::Rolf Hendrik van Lengen::Hans Hagen,2004,https://doi.org/10.2312/VisSym/VisSym04/321-330::http://dl.acm.org/citation.cfm?id=2384274
conf/vissym/BorsEMTSG20,Exploring Time Series Segmentations Using Uncertainty and Focus+Context Techniques.,Christian Bors::Christian Eichner::Silvia Miksch::Christian Tominski::Heidrun Schumann::Theresia Gschwandtner,2020,https://doi.org/10.2312/evs.20201040
conf/vissym/ZhangBR02,Parallel and Out-of-core View-dependent Isocontour Visualization Using Random Data Distribution.,Xiaoyu Zhang::Chandrajit Bajaj::Vijaya Ramachandran,2002,https://doi.org/10.2312/VisSym/VisSym02/009-018
conf/vissym/Koren04,Graph Drawing by Subspace Optimization.,Yehuda Koren,2004,https://doi.org/10.2312/VisSym/VisSym04/065-074::http://dl.acm.org/citation.cfm?id=2384234
conf/vissym/DemelioBGL01,Three-dimensional Reconstruction and Visualization of the Cerebral Cortex in Primates.,Sergio Demelio::Fabio Bettio::Enrico Gobbetti::Giuseppe Luppino,2001,https://doi.org/10.1007/978-3-7091-6215-6_16::https://doi.org/10.2312/VisSym/VisSym01/147-156::https://www.wikidata.org/entity/Q57544641
conf/vissym/SchlemmerHHMH07,Priority Streamlines: A context-based Visualization of Flow Fields.,Michael Schlemmer::Ingrid Hotz::Bernd Hamann::Florian Morr::Hans Hagen,2007,https://doi.org/10.2312/VisSym/EuroVis07/227-234
conf/vissym/SvicarovicPL21,Evaluating Interactive Comparison Techniques in a Multiclass Density Map for Visual Crime Analytics.,Lukas Svicarovic::Denis Parra::María-Jesús Lobo,2021,https://doi.org/10.2312/evs.20211059
conf/vissym/BeermannMH05,"Scalable, Robust Visualization of Very Large Trees.",Dale Beermann::Tamara Munzner::Greg Humphreys,2005,https://doi.org/10.2312/VisSym/EuroVis05/037-044
conf/vissym/GarthTSBS04,Surface Techniques for Vortex Visualization.,Christoph Garth::Xavier Tricoche::Tobias Salzbrunn::Tom Bobach::Gerik Scheuermann,2004,https://doi.org/10.2312/VisSym/VisSym04/155-164::http://dl.acm.org/citation.cfm?id=2384250
conf/vissym/AmabiliKMORSY18,Improving Provenance Data Interaction for Visual Storytelling in Medical Imaging Data Exploration.,Lorenzo Amabili::Jirí Kosinka::Maarten A. J. van Meersbergen::Peter M. A. van Ooijen::Jos B. T. M. Roerdink::Pjotr Svetachov::Lingyun Yu 0001,2018,https://doi.org/10.2312/eurovisshort.20181076
conf/vissym/BrulsHW00,Squarified Treemaps.,Mark Bruls::Kees Huizing::Jarke J. van Wijk,2000,https://doi.org/10.1007/978-3-7091-6783-0_4::https://doi.org/10.2312/VisSym/VisSym00/033-042
conf/vissym/Pascucci04,Isosurface Computation Made Simple.,Valerio Pascucci,2004,https://doi.org/10.2312/VisSym/VisSym04/293-300::http://dl.acm.org/citation.cfm?id=2384270
conf/vissym/GueunetC23,VESPA: VTK Enhanced with Surface Processing Algorithms.,Charles Gueunet::Tiffany L. Chhim,2023,https://doi.org/10.2312/evp.20231074
conf/vissym/CorvoCW19,SurviVIS: Visual Analytics for Interactive Survival Analysis.,Alberto Corvò::Humberto Simon Garcia Caballero::Michel A. Westenberg,2019,https://doi.org/10.2312/eurova.20191128
conf/vissym/HansenAS24,A Web Framework for Explainable and Malleable Visualisation.,Simon Malthe Hansen::Ira Assent::Hans-Jörg Schulz,2024,https://doi.org/10.2312/evp.20241080
conf/vissym/BlascheckKRBWE14,State-of-the-Art of Visualization for Eye Tracking Data.,Tanja Blascheck::Kuno Kurzhals::Michael Raschke::Michael Burch::Daniel Weiskopf::Thomas Ertl,2014,https://doi.org/10.2312/eurovisstar.20141173
conf/vissym/BauerleOJR23,Semantic Hierarchical Exploration of Large Image Datasets.,Alex Bäuerle::Christian van Onzenoodt::Daniel Jönsson::Timo Ropinski,2023,https://doi.org/10.2312/evs.20231051
conf/vissym/JalbaR06,Efficient Surface Reconstruction from Noisy Data using Regularized Membrane Potentials.,Andrei C. Jalba::Jos B. T. M. Roerdink,2006,https://doi.org/10.2312/VisSym/EuroVis06/083-090
conf/vissym/RumpfT02,A Continuous Skeletonization Method Based on Level Sets.,Martin Rumpf::Alexandru C. Telea,2002,https://doi.org/10.2312/VisSym/VisSym02/151-157
conf/vissym/IsaacsGJGB0HB14,State of the Art of Performance Visualization.,Katherine E. Isaacs::Alfredo Giménez::Ilir Jusufi::Todd Gamblin::Abhinav Bhatele::Martin Schulz 0001::Bernd Hamann::Peer-Timo Bremer,2014,https://doi.org/10.2312/eurovisstar.20141177
conf/vissym/UchikiBZTMUF20,Accurate Visualization of Galaxy Velocity Fields from Three-Dimensional Integral Field Spectroscopy Data.,Rikuo Uchiki::Malik Olivier Boussejra::Liyu Zhu::Yuriko Takeshima::Kazuya Matsubayashi::Makoto Uemura::Issei Fujishiro,2020,https://doi.org/10.2312/eurp.20201123
conf/vissym/SridharamurthyD13,Extraction of Robust Voids and Pockets in Proteins.,Raghavendra Sridharamurthy::Harish Doraiswamy::Siddharth Patel::Raghavan Varadarajan::Vijay Natarajan,2013,https://doi.org/10.2312/PE.EuroVisShort.EuroVisShort2013.067-071
conf/vissym/RauberFT16,Visualizing Time-Dependent Data Using Dynamic t-SNE.,Paulo E. Rauber::Alexandre X. Falcão::Alexandru C. Telea,2016,https://doi.org/10.2312/eurovisshort.20161164
conf/vissym/KypridemouZB22,The Effect of Graph Layout on the Perception of Graph Density: An Empirical Study.,Elektra Kypridemou::Michele Zito 0001::Marco Bertamini,2022,https://doi.org/10.2312/evs.20221089
conf/vissym/KosaraS16,Judgment Error in Pie Chart Variations.,Robert Kosara::Drew Skau,2016,https://doi.org/10.2312/eurovisshort.20161167
conf/vissym/NielsonGHHP03,Shrouds: Optimal Separating Surfaces for Enumerated Volumes.,Gregory M. Nielson::Gary Graf::Ryan Holmes::Adam Huang::Mariano Phielipp,2003,https://doi.org/10.2312/VisSym/VisSym03/075-084::http://dl.acm.org/citation.cfm?id=769930
conf/vissym/BeckK22,Visually Explaining Publication Ranks in Citation-based Literature Search with PURE Suggest.,Fabian Beck 0001::Cedric Krause,2022,https://doi.org/10.2312/evp.20221110::https://www.wikidata.org/entity/Q130387126
conf/vissym/MuhlerNTP07,Viewpoint Selection for Intervention Planning.,Konrad Mühler::Mathias Neugebauer::Christian Tietjen::Bernhard Preim,2007,https://doi.org/10.2312/VisSym/EuroVis07/267-274
conf/vissym/SchussmanBHJ00,Hierarchical Data Representations Based on Planar Voronoi Diagrams.,Gregory L. Schussman::Martin Bertram 0001::Bernd Hamann::Kenneth I. Joy,2000,https://doi.org/10.1007/978-3-7091-6783-0_7::https://doi.org/10.2312/VisSym/VisSym00/063-072
conf/vissym/SchnorrFK016,Tracking Space-Filling Features by Two-Step Optimization.,Andrea Schnorr::Sebastian Freitag::Torsten W. Kuhlen::Bernd Hentschel 0001,2016,https://doi.org/10.2312/eurp.20161146
conf/vissym/LuoD16,Transfer Function Optimization Based on a Combined Model of Visibility and Saliency.,Shengzhou Luo::John Dingliana,2016,https://doi.org/10.2312/eurp.20161135
conf/vissym/PostWHH17,A High-Dimensional Data Quality Metric using Pareto Optimality.,Tobias Post::Thomas Wischgoll::Bernd Hamann::Hans Hagen,2017,https://doi.org/10.2312/eurp.20171187
conf/vissym/KnittelKE19,Interactive Hierarchical Quote Extraction for Content Insights.,Johannes Knittel::Steffen Koch 0001::Thomas Ertl,2019,https://doi.org/10.2312/eurp.20191134
conf/vissym/WangKV21,Discussion Flows: An Interactive Visualization for Analyzing Engagement in Multi-Party Meetings.,Tao Wang::Mandy Keck::Zana Vosough,2021,https://doi.org/10.2312/evs.20211060
conf/vissym/Kosara19,The Impact of Distribution and Chart Type on Part-to-Whole Comparisons.,Robert Kosara,2019,https://doi.org/10.2312/evs.20191162
conf/vissym/RohligLPSS17,Visually Analyzing Parameter Influence on Optical Coherence Tomography Data in Ophthalmology.,Martin Röhlig::Martin Luboschik::Ruby Kala Prakasam::Oliver Stachs::Heidrun Schumann,2017,https://doi.org/10.2312/eurp.20171176
conf/vissym/IslamBI22,Context Specific Visualizations on Smartwatches.,Alaul Islam::Tanja Blascheck::Petra Isenberg,2022,https://doi.org/10.2312/evp.20221122
conf/vissym/UlbrichHK19,LOOPS: Visual Analysis Tool for Non-Periodic Protein Structures.,Pavol Ulbrich::Michal Hornák::Barbora Kozlíková,2019,https://doi.org/10.2312/eurp.20191154
conf/vissym/KrishnanSW01,A Hardware-Assisted Visibility-Ordering Algorithm With Applications To Volume Rendering.,Shankar Krishnan::Cláudio T. Silva::Bin Wei,2001,https://doi.org/10.1007/978-3-7091-6215-6_25::https://doi.org/10.2312/VisSym/VisSym01/235-242
conf/vissym/BartroliWKGS01,Virtual Colon Flattening.,Anna Vilanova Bartrolí::Rainer Wegenkittl::Andreas König 0002::M. Eduard Gröller::Erich Sorantin,2001,https://doi.org/10.1007/978-3-7091-6215-6_14::https://doi.org/10.2312/VisSym/VisSym01/127-136
conf/vissym/PekarHKBW03,Efficient Visualization of Large Medical Image Datasets on Standard PC Hardware.,Vladimir Pekar::Daniel Hempel::Gundolf Kiefer::Marc Busch::Jürgen Weese,2003,https://doi.org/10.2312/VisSym/VisSym03/135-140::http://dl.acm.org/citation.cfm?id=769937
conf/vissym/LiebersA023,CohExplore: Visually Supporting Students in Exploring Text Cohesion.,Carina Liebers::Shivam Agarwal::Fabian Beck 0001,2023,https://doi.org/10.2312/evp.20231058
conf/vissym/SchieweAK15,State of the Art in Mobile Volume Rendering on iOS Devices.,Alexander Schiewe::Mario Anstoots::Jens Krüger 0001,2015,https://doi.org/10.2312/eurovisshort.20151139
conf/vissym/SchultzTS07,Segmentation of DT-MRI Anisotropy Isosurfaces.,Thomas Schultz 0001::Holger Theisel::Hans-Peter Seidel,2007,https://doi.org/10.2312/VisSym/EuroVis07/187-194
conf/vissym/KriglsteinP15,Choosing the Right Sample? Experiences of Selecting Participants for Visualization Evaluation.,Simone Kriglstein::Margit Pohl,2015,https://doi.org/10.2312/eurorv3.20151146
conf/vissym/LuME06,Volume Composition Using Eye Tracking Data.,Aidong Lu::Ross Maciejewski::David S. Ebert,2006,https://doi.org/10.2312/VisSym/EuroVis06/115-122
conf/vissym/FranzkeMSW24,Visplorify: Interactive Visual Analysis of Spotify Listening Histories.,Louis Franzke::Christofer Meinecke::Jeremias Schebera::Daniel Wiegreffe,2024,https://doi.org/10.2312/evp.20241094
conf/vissym/AgibetovVFPSW14,Integrated Visualization and Analysis of a Multi-scale Biomedical Knowledge Space.,Asan Agibetov::Ricardo Manuel Millán Vaquero::Karl-Ingo Friese::Giuseppe Patanè 0001::Michela Spagnuolo::Franz-Erich Wolter,2014,https://doi.org/10.2312/eurova.20141141
conf/vissym/MedocCPG22,Visualizing Prediction Provenance in Regression Random Forests.,Nicolas Médoc::Vasile Ciorna::Frank Petry::Mohammad Ghoniem,2022,https://doi.org/10.2312/evp.20221124
conf/vissym/BarethGGP023,Detection and Visual Analysis of Pathological Abnormalities in Diffusion Tensor Imaging with an Anomaly Lens.,Marlo Bareth::Samuel Groeschel::Johannes Gruen::Pablo Pretzel::Thomas Schultz 0001,2023,https://doi.org/10.2312/evs.20231041
conf/vissym/JatnieksSLD15,Towards Interactive Definition of Fast Surrogate Models for Geochemical Simulations Using Visual Analysis.,Janis Jatnieks::Mike Sips::Marco De Lucia::Doris Dransch,2015,https://doi.org/10.2312/envirvis.20151088
conf/vissym/AravindBI19,A Survey on Sleep Visualizations for Fitness Trackers.,Ranjini Aravind::Tanja Blascheck::Petra Isenberg,2019,https://doi.org/10.2312/eurp.20191152
conf/vissym/JanickeFCS15,On Close and Distant Reading in Digital Humanities: A Survey and Future Challenges.,Stefan Jänicke::Greta Franzini::Muhammad Faisal Cheema::Gerik Scheuermann,2015,https://doi.org/10.2312/eurovisstar.20151113
conf/vissym/LaanJR07,Multiresolution MIP Rendering of Large Volumetric Data Accelerated on Graphics Hardware.,Wladimir J. van der Laan::Andrei C. Jalba::Jos B. T. M. Roerdink,2007,https://doi.org/10.2312/VisSym/EuroVis07/243-250
conf/vissym/GrottelSHVG15,Real-Time Visualization of Urban Flood Simulation Data for Non-Professionals.,Sebastian Grottel::Joachim Staib::Torsten Heyer::Benjamin Vetter::Stefan Gumhold,2015,https://doi.org/10.2312/envirvis.20151089
conf/vissym/Strobel0N24,"Hey ChatGPT, can you visualize my data? - A Multi-Dimensional Study on using an LLM for Constructing Data Visualizations.",Mara Ströbel::Kai Eckert 0001::Till Nagel,2024,https://doi.org/10.2312/evp.20241083
conf/vissym/AlemzadehHNCIVS17,Subpopulation Discovery and Validation in Epidemiological Data.,Shiva Alemzadeh::Tommy Hielscher::Uli Niemann::Lena Cibulski::Till Ittermann::Henry Völzke::Myra Spiliopoulou::Bernhard Preim,2017,https://doi.org/10.2312/eurova.20171118
conf/vissym/DuttaBMWB19,Leveraging Lagrangian Analysis for Discriminating Nutrient Origins.,Soumya Dutta::Riley X. Brady::Mathew E. Maltrud::Philip J. Wolfram::Roxana Bujack,2019,https://doi.org/10.2312/envirvis.20191100
conf/vissym/HuberNS23,An Initial Visual Analysis of German City Dashboards.,Christoph Huber::Till Nagel::Heiner Stuckenschmidt,2023,https://doi.org/10.2312/evp.20231056
conf/vissym/WiebelPVH13,3D Strokes on Visible Structures in Direct Volume Rendering.,Alexander Wiebel::Philipp Preis::Frans M. Vos::Hans-Christian Hege,2013,https://doi.org/10.2312/PE.EuroVisShort.EuroVisShort2013.091-095
conf/vissym/Vehlow0W15,The State of the Art in Visualizing Group Structures in Graphs.,Corinna Vehlow::Fabian Beck 0001::Daniel Weiskopf,2015,https://doi.org/10.2312/eurovisstar.20151110
conf/vissym/TietjenIP05,"Combining Silhouettes, Surface, and Volume Rendering for Surgery Education and Planning.",Christian Tietjen::Tobias Isenberg 0001::Bernhard Preim,2005,https://doi.org/10.2312/VisSym/EuroVis05/303-310
conf/vissym/NeumannCA06,PhylloTrees: Phyllotactic Patterns for Tree Layout.,Petra Neumann 0001::Sheelagh Carpendale::Anand Agarawala,2006,https://doi.org/10.2312/VisSym/EuroVis06/059-066
conf/vissym/May05,Dynamically Modelling Interaction.,Jon May,2005,https://doi.org/10.2312/VisSym/EuroVis05/009-011
conf/vissym/LeiteGMGK16,Visual Analytics for Fraud Detection: Focusing on Profile Analysis.,Roger Almeida Leite::Theresia Gschwandtner::Silvia Miksch::Erich Gstrein::Johannes Kuntner,2016,https://doi.org/10.2312/eurp.20161138
conf/vissym/Thomas04,New Frontiers for Visualization.,James J. Thomas,2004,
conf/vissym/JentnerJEKS18,A Concept for Consensus-based Ordering of Views.,Wolfgang Jentner::Dominik Jäckle::Ulrich Engelke::Daniel A. Keim::Tobias Schreck,2018,https://doi.org/10.2312/eurova.20181114
conf/vissym/Poddar024,Exploring Designs for Combined Visual Encoding of Absolute and Fractional Values.,Madhav Poddar::Fabian Beck 0001,2024,https://doi.org/10.2312/evp.20241082
conf/vissym/MolinaV22,Accurate Molecular Atom Selection in VR.,Elena Molina::Pere-Pau Vázquez,2022,https://doi.org/10.2312/evp.20221121
conf/vissym/LandesbergerWBH19,Visual-Interactive Exploration of Pathogen Outbreaks in Hospitals.,Tatiana von Landesberger::Marcel Wunderlich::Tom Baumgartl::Markus Höhn::Michael Marschollek::Simone Scheithauer,2019,https://doi.org/10.2312/eurp.20191133
conf/vissym/StoffelPSK18,polimaps: Supporting Predictive Policing with Visual Analytics.,Florian Stoffel::Hanna Post::Marcus Stewen::Daniel A. Keim,2018,https://doi.org/10.2312/eurova.20181111
conf/vissym/JiangFG16,Spiral Theme Plot.,Shenghui Jiang::Shiaofen Fang::Shaun J. Grannis,2016,https://doi.org/10.2312/eurovisshort.20161170
conf/vissym/CiornaMMPG23,A Tour Through the Zoo of Scented Widgets.,Vasile Ciorna::Nicolas Médoc::Guy Melançon::Frank Petry::Mohammad Ghoniem,2023,https://doi.org/10.2312/evp.20231055
conf/vissym/MchedlidzeS22,Metaphoric Maps for Dynamic Vertex-weighted Graphs.,Tamara Mchedlidze::Christian Schnorr,2022,https://doi.org/10.2312/evs.20221090
conf/vissym/OzmenJGMWO23,Comparative Visualization of Longitudinal 24-hour Ambulatory Blood Pressure Measurements in Pediatric Patients with Chronic Kidney Disease.,Mahmut Özmen::Mohamed Yaseen Jabarulla::Carl Robert Grabitz::Anette Melk::Elke Wühl::Steffen Oeltze-Jafra,2023,https://doi.org/10.2312/evp.20231059
conf/vissym/DahshanTP22,Exploration and Analysis of Image-base Simulation Ensembles.,Mai Dahshan::Terece L. Turton::Nicholas F. Polys,2022,https://doi.org/10.2312/evp.20221128
conf/vissym/BroersenL05,Transfer Functions for Imaging Spectroscopy Data using Principal Component Analysis.,Alexander Broersen::Robert van Liere,2005,https://doi.org/10.2312/VisSym/EuroVis05/117-123
conf/vissym/EblingS06,Segmentation of Flow Fields using Pattern Matching.,Julia Ebling::Gerik Scheuermann,2006,https://doi.org/10.2312/VisSym/EuroVis06/147-154
conf/vissym/HungY05,A Simple and Novel Seed-Set Finding Approach for Iso-Surface Extraction.,Chiang-Han Hung::Chuan-Kai Yang,2005,https://doi.org/10.2312/VisSym/EuroVis05/125-132
conf/vissym/KobourovPS14,Visualizing Graphs as Maps with Contiguous Regions.,Stephen G. Kobourov::Sergey Pupyrev::Paolo Simonetto,2014,https://doi.org/10.2312/eurovisshort.20141153
conf/vissym/Bauer04,Visualization of Cardio-CT Data on Standard PC Hardware.,Michael Bauer 0002,2004,https://doi.org/10.2312/VisSym/VisSym04/243-248::http://dl.acm.org/citation.cfm?id=2384262
conf/vissym/KasselR19,Online Learning of Visualization Preferences through Dueling Bandits for Enhancing Visualization Recommendations.,Jan-Frederik Kassel::Michael Rohs,2019,https://doi.org/10.2312/evs.20191175
conf/vissym/YangC01,I/O-Conscious Volume Rendering.,Chuan-Kai Yang::Tzi-cker Chiueh,2001,https://doi.org/10.1007/978-3-7091-6215-6_28::https://doi.org/10.2312/VisSym/VisSym01/263-272
conf/vissym/DouRC10,Capturing Reasoning Process through User Interaction.,Wenwen Dou::William Ribarsky::Remco Chang,2010,https://doi.org/10.2312/PE/EuroVAST/EuroVAST10/033-038
conf/vissym/AmirKKNW04,Shape-Embedded-Histograms for Visual Data Mining.,Amihood Amir::Reuven Kashi::Daniel A. Keim::Nathan S. Netanyahu::Markus Wawryniuk,2004,https://doi.org/10.2312/VisSym/VisSym04/055-064::http://dl.acm.org/citation.cfm?id=2384233
conf/vissym/CoFGVBJ05,Interactive Methods for Exploring Particle Simulation Data.,Christopher S. Co::Alex Friedman::David P. Grote::Jean-Luc Vay::E. Wes Bethel::Kenneth I. Joy,2005,https://doi.org/10.2312/VisSym/EuroVis05/279-286
conf/vissym/PuigTN00,Hybrid Model for Vascular Tree Structures.,Anna Puig::Dani Tost::Isabel Navazo,2000,https://doi.org/10.1007/978-3-7091-6783-0_13::https://doi.org/10.2312/VisSym/VisSym00/125-136
conf/vissym/SilvaSF12,Ontology Visualization: One Size Does Not Fit All.,Isabel Cristina Siqueira da Silva::Giuseppe Santucci::Carla del Sasso Freitas,2012,https://doi.org/10.2312/PE/EuroVAST/EuroVA12/091-095
conf/vissym/RosenthalRKH16,OphthalVis - Making Data Analytics of Optical Coherence Tomography Reproducible.,Paul Rosenthal::Marc Ritter::Danny Kowerko::Christian Heine 0002,2016,https://doi.org/10.2312/eurorv3.20161109
conf/vissym/AdnanNRT19,Visual Analytics of Event Data using Multiple Mining Methods.,Muhammad Adnan 0001::Phong H. Nguyen::Roy A. Ruddle::Cagatay Turkay,2019,https://doi.org/10.2312/eurova.20191126
conf/vissym/Torsney-WeirASM18,Risk Fixers and Sweet Spotters: a Study of the Different Approaches to Using Visual Sensitivity Analysis in an Investment Scenario.,Thomas Torsney-Weir::Shahrzad Afroozeh::Michael Sedlmair::Torsten Möller,2018,https://doi.org/10.2312/eurovisshort.20181089
conf/vissym/SyedaSRPSMDB24,Vis Repligogy: Towards a Culture of Facilitating Replication Studies in Visualization Pedagogy and Research.,Uzma Haque Syeda::Laura South::Justin Raynor::Liudas Panavas::David Saffo::Tommy Morriss::Cody Dunne::Michelle A. Borkin,2024,https://doi.org/10.2312/eved.20241054
conf/vissym/LundstromYLPK06,The alpha -histogram: Using Spatial Coherence to Enhance Histograms and Transfer Function Design.,Claes Lundström::Anders Ynnerman::Patric Ljung::Anders Persson::Hans Knutsson,2006,https://doi.org/10.2312/VisSym/EuroVis06/227-234
conf/vissym/RuppertBBLK17,Visual Access to Performance Indicators in the Mining Sector.,Tobias Ruppert::Andreas Bannach::Jürgen Bernard::Martin Lokanc::Jörn Kohlhammer,2017,https://doi.org/10.2312/eurovisshort.20171150
conf/vissym/ScharsachHNWB06,Perspective Isosurface and Direct Volume Rendering for Virtual Endoscopy Applications.,Henning Scharsach::Markus Hadwiger::André Neubauer 0002::Stefan Wolfsberger::Katja Bühler,2006,https://doi.org/10.2312/VisSym/EuroVis06/315-322
conf/vissym/HanelDAG0K17,Interactive Level-of-Detail Visualization of 3D-Polarized Light Imaging Data Using Spherical Harmonics.,Claudia Hänel::Ali C. Demiralp::Markus Axer::David Gräßel::Bernd Hentschel 0001::Torsten W. Kuhlen,2017,https://doi.org/10.2312/eurovisshort.20171145
conf/vissym/LiTH06,GPUFLIC: Interactive and Accurate Dense Visualization of Unsteady Flows.,Guo-Shi Li::Xavier Tricoche::Charles D. Hansen,2006,https://doi.org/10.2312/VisSym/EuroVis06/029-034
