"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"We introduce the concept of streamballs for flow visualization. Streamballs are based upon implicit surface generation techniques adopted from the well-known metaballs. Their property to split or merge automatically in areas of significant divergence or convergence makes them an ideal tool for the visualization of arbitrary complex fields. Using convolution surfaces generated by continuous skeletons for streamball construction offers the possibility to visualize even tensor fields.<>","https://ieeexplore.ieee.org/document/346315/","LOCKED","346315","Dept. of Comput. Sci., Kaiserslautern Univ., Germany","https://ieeexplore.ieee.org/author/37391683900","1","M. Brill","37391683900","Dept. of Comput. Sci., Kaiserslautern Univ., Germany","https://ieeexplore.ieee.org/author/37282578800","2","H. Hagen","37282578800","Dept. of Comput. Sci., Kaiserslautern Univ., Germany","https://ieeexplore.ieee.org/author/37427262100","3","H.-C. Rodrian","37427262100","","https://ieeexplore.ieee.org/author/37659291300","4","W. Djatschin","37659291300","","https://ieeexplore.ieee.org/author/37388732400","5","S.V. Klimenko","37388732400","","","","","","","","","","","","","","","","18","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346315","231","Skeleton","Computer science","Convergence","Data visualization","Computer displays","Topology","Convolution","Tensile stress","Hydrogen","Clouds","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346315","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","11","225","Streamball techniques for flow visualization"
"Pseudocoloring is a frequently used technique in scientific visualization for mapping a color to a data value. When using pseudocolor and animation to visualize data that contain missing regions displayed as black or transparent, the missing regions popping in and out can distract the viewer from the more relevant information. Filling these gaps with interpolated data could lead to a misinterpretation of the data. The paper presents a method for combining pseudocoloring and grayscale in the same colormap. Valid data are mapped to colors in the colormap. The luminance values of the colors bounding areas of missing data are used in interpolating over these regions. The missing data are mapped to the grayscale portion of the colormap. This approach has the advantages of eliminating distracting gaps caused by missing data and distinguishing between those areas that represent valid data and those areas that do not. This approach was inspired by a technique used in the restoration of paintings.<>","https://ieeexplore.ieee.org/document/346317/","LOCKED","346317","Hughes STX Corp., NASA Goddard Space Flight Center, Greenbelt, MD, USA","https://ieeexplore.ieee.org/author/37659258900","1","R. Twiddy","37659258900","Hughes STX Corp., NASA Goddard Space Flight Center, Greenbelt, MD, USA","https://ieeexplore.ieee.org/author/37659261200","2","J. Cavallo","37659261200","Hughes STX Corp., NASA Goddard Space Flight Center, Greenbelt, MD, USA","https://ieeexplore.ieee.org/author/37659260900","3","S.M. Shiri","37659260900","","","","","","","","","","","","","","","","","","","","","","","","","","7","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346317","216","Data visualization","Image restoration","Brightness","Painting","Art","Filling","Gray-scale","Color","Interpolation","NASA","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346317","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","12","212","Restorer: a visualization technique for handling missing data"
"We describe how techniques from computer graphics are used to visualize pool fire data and compute radiative effects from pool fires. The basic tools are ray casting and accurate line integration using the RADCAL program. Example images in the visible and infrared band are shown which are given of irradiation calculations and novel methods to visualize the results of irradiation calculations.<>","https://ieeexplore.ieee.org/document/346291/","LOCKED","346291","Nat. Inst. of Stand. & Technol., Gaithersburg, MD, USA","https://ieeexplore.ieee.org/author/37298450200","1","H.E. Rushmeier","37298450200","Nat. Inst. of Stand. & Technol., Gaithersburg, MD, USA","https://ieeexplore.ieee.org/author/37658795400","2","A. Hamins","37658795400","","https://ieeexplore.ieee.org/author/37653029600","3","M.-Y. Choi","37653029600","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346291","385","Fires","Data visualization","Fuels","Computational modeling","Probes","Optical surface waves","Temperature","Rendering (computer graphics)","NIST","Casting","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346291","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","13","382","Volume rendering of pool fire data"
"Visualization will be vital to the success of the NASA EOS Mission to Planet Earth (MTPE), which will gather, generate, and distribute an unprecedented volume of data for the purpose of global change research and environmental policy decisions. The paper focuses on the challenges and opportunities for visualization with regard to the Mission to Planet Earth. Directions presently being taken within NASA to fund and assist development of new tools are also discussed.<>","https://ieeexplore.ieee.org/document/346289/","LOCKED","346289","Alabama Univ., Huntsville, AL, USA","https://ieeexplore.ieee.org/author/37399659100","1","M. Botts","37399659100","","https://ieeexplore.ieee.org/author/37659722200","2","J.D. Dykstra","37659722200","","https://ieeexplore.ieee.org/author/37658792900","3","L.S. Elson","37658792900","","https://ieeexplore.ieee.org/author/38180426300","4","S.J. Goodman","38180426300","","https://ieeexplore.ieee.org/author/37067501400","5","Meemong Lee","37067501400","","","","","","","","","","","","","","","","1","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346289","395","NASA","Earth Observing System","Planets","Data visualization","Propulsion","Intelligent sensors","Algorithm design and analysis","Space missions","Geology","Atmospheric modeling","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346289","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","14","392","Challenges and opportunities in visualization for NASA's EOS Mission to Planet Earth"
"The recent advent of computer graphics techniques has helped to bridge the gap between architectural concepts and actual buildings. Closing this gap is especially critical in healthcare facilities. We present new techniques to support the design decision process and apply them to the design of a neonatal intensive care unit. Two issues are addressed: ergonometric accessibility and visual supervision of spaces. These two issues can be investigated utilizing new technologies that demonstrate that computers are more then a medium of communication in the field of architecture; the computer can make a significant contribution as a proactive design tool.<>","https://ieeexplore.ieee.org/document/346293/","LOCKED","346293","Visualization Lab., Texas A&M Univ., College Station, TX, USA","https://ieeexplore.ieee.org/author/37376744200","1","T. Alameldin","37376744200","","https://ieeexplore.ieee.org/author/37659208100","2","M. Shepley","37659208100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346293","377","Medical services","Process design","Space technology","Visualization","Buildings","Laboratories","Computer graphics","Testing","Bridges","Pediatrics","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346293","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","15","374","New techniques in the design of healthcare facilities"
"Augmented reality systems with see-through headmounted displays have been used primarily for applications that are possible with today's computational capabilities. We explore possibilities for a particular application-in-place, real-time 3D ultrasound visualization-without concern for such limitations. The question is not ""How well could we currently visualize the fetus in real time,"" but ""How well could we see the fetus if we had sufficient compute power?"" Our video sequence shows a 3D fetus within a pregnant woman's abdomen-the way this would look to a HMD user. Technical problems in making the sequence are discussed. This experience exposed limitations of current augmented reality systems; it may help define the capabilities of future systems needed for applications as demanding as real-time medical visualization.<>","https://ieeexplore.ieee.org/document/346295/","LOCKED","346295","North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/37565489200","1","A. State","37565489200","North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/37652072800","2","D.T. Chen","37652072800","North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/37659378600","3","C. Tector","37659378600","North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/37663829500","4","A. Brandt","37663829500","North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/37657346300","5","Hong Chen","37657346300","North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/37282411600","6","R. Ohbuchi","37282411600","North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/38180023500","7","M. Bajura","38180023500","North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/37285537200","8","H. Fuchs","37285537200","30","34","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346295","368","Fetus","Pregnancy","Ultrasonic imaging","Real time systems","Data visualization","Augmented reality","Displays","Video sequences","Rendering (computer graphics)","Image reconstruction","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346295","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","16","364","Observing a volume rendered fetus within a pregnant patient"
"This paper presents a technique for performing volume morphing between two volumetric datasets in the wavelet domain. The idea is to decompose the volumetric datasets into a set of frequency bands, apply smooth interpolation to each band, and reconstruct to form the morphed model. In addition, a technique for establishing a suitable correspondence among object voxels is presented. The combination of these two techniques results in a smooth transition between the two datasets and produces morphed volume with fewer high frequency distortions than those obtained from spatial domain volume morphing.<>","https://ieeexplore.ieee.org/document/346333/","LOCKED","346333","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37350343500","1","Taosong He","37350343500","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37351033000","2","S. Wang","37351033000","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37268052800","3","A. Kaufman","37268052800","","","","","","","","","","","","","","","","","","","","","","","","","","22","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346333","92","Frequency","Wavelet domain","Interpolation","Deformable models","Facial animation","Topology","Helium","Computer science","Shape","Graphics","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346333","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","17","85","Wavelet-based volume morphing"
"Environmental issues such as global warming are an active area of international research and concern today. This case study describes various visualization paradigms that have been developed and applied in an attempt to elucidate the information provided by environmental models and observations. The ultimate goal is to accurately measure the existence of any long term climatological change. The global ocean is the starting point, since it is a major source and sink of heat within our global environment.<>","https://ieeexplore.ieee.org/document/346297/","LOCKED","346297","NSF Eng. Res. Center for Comput. Field Simulation, Mississippi State Univ., MS, USA","https://ieeexplore.ieee.org/author/37444949500","1","A. Johannsen","37444949500","NSF Eng. Res. Center for Comput. Field Simulation, Mississippi State Univ., MS, USA","https://ieeexplore.ieee.org/author/37282559500","2","R. Moorhead","37282559500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346297","358","Data visualization","Ocean temperature","Computational modeling","Physics computing","Acoustic propagation","Global warming","Solid modeling","Acoustic signal detection","Acoustic measurements","Sea measurements","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346297","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","18","355","Visualization of mesoscale flow features in ocean basins"
"In this paper we show how SAVS, a tool for visualization and data analysis in space and atmospheric science, can be used to quickly and easily address problems that would previously have been far more laborious to solve. Based on the popular AVS package, SAVS presents the user with an environment tailored specifically for the physical scientist. Thus there is minimal ""startup"" time, and the scientist can immediately concentrate on his science problem. The SAVS concept readily generalizes to many other fields of science and engineering.<>","https://ieeexplore.ieee.org/document/346300/","LOCKED","346300","Sci. Applications Int. Corp., McLean, VA, USA","https://ieeexplore.ieee.org/author/37355831300","1","A. Mankofsky","37355831300","Sci. Applications Int. Corp., McLean, VA, USA","https://ieeexplore.ieee.org/author/37647622000","2","E.P. Szuszczewicz","37647622000","Sci. Applications Int. Corp., McLean, VA, USA","https://ieeexplore.ieee.org/author/37661825700","3","P. Blanchard","37661825700","","https://ieeexplore.ieee.org/author/37662543900","4","C. Goodrich","37662543900","","https://ieeexplore.ieee.org/author/37659038800","5","D. McNabb","37659038800","","https://ieeexplore.ieee.org/author/37063581200","6","R. Kulkarni","37063581200","","https://ieeexplore.ieee.org/author/37062832500","7","D. Kamins","37062832500","","","","","","1","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346300","344","Data visualization","Data analysis","Packaging","Mathematical model","Visual databases","Space missions","Libraries","User interfaces","Data engineering","Design engineering","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346300","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","19","341","Visualization and data analysis in space and atmospheric science"
"In this paper we present a method, and a software based on this method, making highly inter-active visualization possible for computational results on nonlinear BVPs associated with ODEs. The program PCR relies partly on computer graphics tools and partly on real-time computations, the combination of which not only helps the understanding of complex problems, it also permits the reduction of stored data by orders of magnitude. The method has been implemented on PCs (running on DOS) and on the Application Visualization System (AVS) for UNIX machines, this paper provides a brief introduction to the latter version besides describing the mathematical background of the method.<>","https://ieeexplore.ieee.org/document/346299/","LOCKED","346299","Dept. of Strength of Mater., Tech. Univ. Budapest, Hungary","https://ieeexplore.ieee.org/author/37659239700","1","G. Domokos","37659239700","","https://ieeexplore.ieee.org/author/37659240600","2","R. Paffenroth","37659240600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346299","348","Computer aided software engineering","Boundary value problems","Bifurcation","Data visualization","Application software","Microcomputers","Mathematical model","Ear","Computer graphics","Personal communication networks","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346299","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","20","345","A case study on visualization for boundary value problems"
"Addresses the needs and requirements of integrating visualization and geographic information system technologies. There are three levels of integration methods: rudimentary, operational and functional. The rudimentary approach uses the minimum amount of data sharing and exchange between these two technologies. The operational level attempts to provide consistency of the data while removing redundancies between the two technologies. The functional form attempts to provide transparent communication between these respective software environments. At this level, the user only needs to request information and the integrated system retrieves or generates the information depending upon the request. This paper examines the role and impact of these three levels of integration. Stepping further into the future, the paper also questions the long-term survival of these separate disciplines.<>","https://ieeexplore.ieee.org/document/346284/","LOCKED","346284","Martin Marietta/US EPA Visualization Center, USA","https://ieeexplore.ieee.org/author/37282569700","1","T.M. Rhyne","37282569700","","https://ieeexplore.ieee.org/author/37659205100","2","W. Ivey","37659205100","","https://ieeexplore.ieee.org/author/37659204100","3","L. Knapp","37659204100","","https://ieeexplore.ieee.org/author/37659207200","4","P. Kochevar","37659207200","","https://ieeexplore.ieee.org/author/37661428600","5","T. Mace","37661428600","","","","","","","","","","","","","","","","2","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346284","403","Geographic Information Systems","Data visualization","Displays","Decision making","Synthetic aperture sonar","Supercomputers","Graphics","Image generation","Protection","Hardware","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346284","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","21","400","Visualization and geographic information system integration: what are the needs and the requirements, if any?"
"We present a new method for creating n-dimensional rotation matrices from manipulating the projections of n-dimensional data coordinate axes onto a viewing plane. A user interface for n-dimensional rotation is implemented. The interface is shown to have no rotational hysteresis.<>","https://ieeexplore.ieee.org/document/346318/","LOCKED","346318","Brigham Young Univ., Provo, UT, USA","https://ieeexplore.ieee.org/author/37663438100","1","K.L. Duffin","37663438100","Brigham Young Univ., Provo, UT, USA","https://ieeexplore.ieee.org/author/37339053800","2","W.A. Barrett","37339053800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","2","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346318","211","User interfaces","Matrices","Hysteresis","Interpolation","Kirk field collapse effect","Data visualization","Computer graphics","Data encapsulation","","","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346318","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","22","205","Spiders: a new user interface for rotation and visualization of n-dimensional point sets"
"A visualization goal is to simplify the analysis of large-quantity, numerical data by rendering the data as an image that can be intuitively manipulated. The question the article addresses is whether or not virtual reality techniques are the cure-all to the dilemma of visualizing increasing amounts of data. It determines the usefulness of techniques available today and in the near future that will ease the problem of visualizing complex data. In regards to visualization, the article discusses characteristics of virtual reality systems, data in three-dimensional environments, augmented reality, and virtual reality market opportunities.<>","https://ieeexplore.ieee.org/document/346286/","LOCKED","346286","LORAL Space & Range Syst., Sunnyvale, CA, USA","https://ieeexplore.ieee.org/author/37659441100","1","L.M. Stone","37659441100","","https://ieeexplore.ieee.org/author/37608641000","2","T. Erickson","37608641000","","https://ieeexplore.ieee.org/author/37279760100","3","B.B. Bederson","37279760100","","https://ieeexplore.ieee.org/author/37659316200","4","P. Rothman","37659316200","","https://ieeexplore.ieee.org/author/37659318600","5","R. Muzzy","37659318600","","","","","","","","","","","","","","","","1","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346286","413","Data visualization","Virtual reality","Multiuser detection","Collaboration","Avatars","Image analysis","Rendering (computer graphics)","Augmented reality","Market opportunities","Feedback","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346286","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","23","410","Visualizing data: is virtual reality the key?"
"Ash clouds resulting from volcanic eruptions are a serious hazard to aviation safety. In Alaska alone, there are over 40 active volcanoes whose eruptions may affect more than 40,000 flights using the great circle polar routes each year. The clouds are especially problematic because they are invisible to radar and nearly impossible to distinguish from weather clouds. The Arctic Region Supercomputing Center and the Alaska Volcano Observatory have collaborated to develop a system for predicting and visualizing the movement of volcanic ash clouds when an eruption occurs. The output from the model is combined with a digital elevation model to produce a realistic view of the ash cloud which may be examined interactively from any desired point of view at any time during the prediction period. This paper describes the visualization techniques employed in the system and includes a video animation of the 1989 Mount Redoubt eruption which caused complete engine failure on a 747 passenger jet.<>","https://ieeexplore.ieee.org/document/346290/","LOCKED","346290","Arctic Region Supercomput. Center, Alaska Univ., Fairbanks, AK, USA","https://ieeexplore.ieee.org/author/37439279300","1","M. Roth","37439279300","","https://ieeexplore.ieee.org/author/37331284900","2","R. Guritz","37331284900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346290","390","Visualization","Volcanic ash","Clouds","Volcanoes","Hazards","Safety","Meteorological radar","Weather forecasting","Arctic","Observatories","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346290","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","24","386","Visualization of volcanic ash clouds"
"We study the topology of symmetric, second-order tensor fields. The goal is to represent their complex structure by a simple set of carefully chosen points and lines analogous to vector field topology. We extract topological skeletons of the eigenvector fields, and we track their evolution over time. We study tensor topological transitions and correlate tensor and vector data. The basic constituents of tensor topology are the degenerate points, or points where eigenvalues are equal to each other. Degenerate points play a similar role as critical points in vector fields. We identify two kinds of elementary degenerate points, which we call wedges and trisectors. They can combine to form more familiar singularities-such as saddles, nodes, centers, or foci. However, these are generally unstable structures in tensor fields. Finally, we show a topological rule that puts a constraint on the topology of tensor fields defined across surfaces, extending to tensor fields the Poincare-Hopf theorem for vector fields.<>","https://ieeexplore.ieee.org/document/346326/","LOCKED","346326","Dept. of Appl. Phys., Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37378372200","1","T. Delmarcelle","37378372200","","https://ieeexplore.ieee.org/author/37274095200","2","L. Hesselink","37274095200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346326","147","Topology","Tensile stress","Skeleton","Eigenvalues and eigenfunctions","Data visualization","Joining processes","Physics","Data mining","Constraint theory","Fluid flow","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346326","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","25","140","The topology of symmetric, second-order tensor fields"
"Flow fields, geodesics, and deformed volumes are natural sources of families of space curves that can be characterized by intrinsic geometric properties such as curvature, torsion, and Frenet frames. By expressing a curve's moving Frenet coordinate frame as an equivalent unit quaternion, we reduce the number of components that must be displayed from nine with six constraints to four with one constraint. We can then assign a color to each curve point by dotting its quaternion frame with a 4D light vector, or we can plot the frame values separately as a curve in the three-sphere. As examples, we examine twisted volumes used in topology to construct knots and tangles, a spherical volume deformation known as the Dirac string trick, and streamlines of 3D vector flow fields.<>","https://ieeexplore.ieee.org/document/346330/","LOCKED","346330","Dept. of Comput. Sci., Indiana Univ., Bloomington, IN, USA","https://ieeexplore.ieee.org/author/37333439100","1","A.J. Hanson","37333439100","Dept. of Comput. Sci., Indiana Univ., Bloomington, IN, USA","https://ieeexplore.ieee.org/author/37654495700","2","Hui Ma","37654495700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346330","115","Quaternions","Computer science","Topology","Data visualization","Extraterrestrial phenomena","Geometry","Equations","","","","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346330","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","26","108","Visualizing flow with quaternion frames"
"Air flowing around the wing tips of an airplane forms horizontal tornado-like vortices that can be dangerous to following aircraft. The dynamics of such vortices, including ground and atmospheric effects, can be predicted by numerical simulation, allowing the safety and capacity of airports to be improved. We introduce three-dimensional techniques for visualizing time-dependent, two-dimensional wake vortex computations, and the hazard strength of such vortices near the ground. We describe a vortex core tracing algorithm and a local tiling method to visualize the vortex evolution. The tiling method converts time-dependent, two-dimensional vortex cores into three-dimensional vortex tubes. Finally, a novel approach is used to calculate the induced rolling moment on the following airplane at each grid point within a region near the vortex tubes and thus allows three-dimensional visualization of the hazard strength of the vortices.<>","https://ieeexplore.ieee.org/document/346328/","LOCKED","346328","Inst. for Comput. Applications in Sci. & Eng., NASA Langley Res. Center, Hampton, VA, USA","https://ieeexplore.ieee.org/author/37275869400","1","Kwan-Liu Ma","37275869400","","https://ieeexplore.ieee.org/author/37656565200","2","Z.C. Zheng","37656565200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346328","131","Visualization","Airplanes","Hazards","Aircraft","Airports","Skeleton","Postal services","NASA","Numerical simulation","Air safety","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346328","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","27","124","3D visualization of unsteady 2D airplane wake vortices"
"An important issue in scientific visualization systems is the management of data sets. Most data sets in scientific visualization, whether created by measurement or simulation, are usually voluminous. The goal of data management is to reduce the storage space and the access time of these data sets to speed up the visualization process. A new progressive transmission scheme using spline biorthogonal wavelet bases is proposed in this paper. By exploiting the properties of this set of wavelet bases, a fast algorithm involving only additions and subtractions is developed. Due to the multiresolutional nature of the wavelet transform, this scheme is compatible with hierarchical-structured rendering algorithms. The formula for reconstructing the functional values in a continuous volume space is given in a simple polynomial form. Lossless compression is possible, even when using floating-point numbers. This algorithm has been applied to data from a global ocean model. The lossless compression ratio is about 1.5:1. With a compression ratio of 50:1, the reconstructed data is still of good quality. Several other wavelet bases are compared with the spline biorthogonal wavelet bases. Finally the reconstructed data is visualized using various algorithms and the results are demonstrated.<>","https://ieeexplore.ieee.org/document/346332/","LOCKED","346332","NSF Eng. Res. Center for Comput. Field Simulation, Mississippi Univ., MS, USA","https://ieeexplore.ieee.org/author/37652845200","1","Hai Tao","37652845200","NSF Eng. Res. Center for Comput. Field Simulation, Mississippi Univ., MS, USA","https://ieeexplore.ieee.org/author/37282559500","2","R.J. Moorhead","37282559500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346332","99","Wavelet transforms","Data visualization","Continuous wavelet transforms","Spline","Polynomials","Discrete cosine transforms","Discrete wavelet transforms","Decoding","Filters","Computational modeling","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346332","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","28","93","Progressive transmission of scientific data using biorthogonal wavelet transform"
