"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"The authors describe an innovative personal visualization system and its application to several research and engineering problems. The system bridges both hardware and software components to permit a user to graphically describe a visualization problem to the computer; thereby reducing program development time to a few hours. Low-cost visualization is achieved using PC-based software that can either be executed on a PC or drive graphic workstations for high-resolution displays. In either case, supercomputer computation rates are available for the visualization process. On PCs this is done with one or more PiP plug in cards, each of which is capable of 100 million floating point operations per second. On workstations this is done with the QUEN array processor. Applications mentioned include: ocean wave imaging; characterizing superconductors; and solar sail visualization.<>","https://ieeexplore.ieee.org/document/146418/","LOCKED","146418","Appl. Phys. Lab., Johns Hopkins Univ., Laurel, MD, USA","https://ieeexplore.ieee.org/author/37428175700","1","Q.E. Dolecek","37428175700","Appl. Phys. Lab., Johns Hopkins Univ., Laurel, MD, USA","https://ieeexplore.ieee.org/author/37326689900","2","K. Moorjani","37326689900","Appl. Phys. Lab., Johns Hopkins Univ., Laurel, MD, USA","https://ieeexplore.ieee.org/author/37631217900","3","B.F. Kim","37631217900","Appl. Phys. Lab., Johns Hopkins Univ., Laurel, MD, USA","https://ieeexplore.ieee.org/author/37664444100","4","D.G. Tilley","37664444100","Appl. Phys. Lab., Johns Hopkins Univ., Laurel, MD, USA","https://ieeexplore.ieee.org/author/37268582900","5","T.S. Denney","37268582900","","","","","","0","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146418","448","Visualization","Application software","Workstations","Bridges","Hardware","Drives","Computer graphics","Computer displays","Supercomputers","Personal communication networks","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146418","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","11","443","Personal visualization system: applications in research and engineering"
"The VIS-5D system provides highly interactive visual access to five-dimensional data sets containing up to 50 million data points. VIS-5D runs on the Stardent ST-1000 and ST-2000 workstations and generates animated three-dimensional graphics from gridded data sets in real time. It provides a widget-based user interface and fast visual response which allows scientists to interactively explore their data sets. VIS-5D generates literal and intuitive depictions of data, has user controls that are data oriented rather than graphics oriented, and provides a WYSIWYG (what-you-see-is-what-you-get) response. The result is a system that enables scientists to produce and direct their own animations.<>","https://ieeexplore.ieee.org/document/146361/","LOCKED","146361","Space Sci. & Eng. Center, Wisconsin Univ., Madison, WI, USA","https://ieeexplore.ieee.org/author/37270681400","1","B. Hibbard","37270681400","Space Sci. & Eng. Center, Wisconsin Univ., Madison, WI, USA","https://ieeexplore.ieee.org/author/37378731100","2","D. Santek","37378731100","","","","","","","","","","","","","","","","","","","","","27","1","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146361","35","Animation","Data visualization","Graphics","Workstations","Software tools","Earth","Atmospheric modeling","Hydrology","Land surface temperature","Ocean temperature","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146361","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","12","28","The VIS-5D system for easy interactive visualization"
"The authors describe several dynamic graphics tools for visualizing network data involving statistics associated with the nodes or links in a network. The authors suggest a number of ideas for the static display of network data, while motivating the need for interaction through dynamic graphics. A brief discussion of dynamic graphics in general is presented. The authors specialize this to the case of network data. An example is presented.<>","https://ieeexplore.ieee.org/document/146369/","LOCKED","146369","AT&T Bell Lab., Murray Hill, NJ, USA","https://ieeexplore.ieee.org/author/38156954600","1","R.A. Becker","38156954600","AT&T Bell Lab., Murray Hill, NJ, USA","https://ieeexplore.ieee.org/author/37282570100","2","S.G. Eick","37282570100","AT&T Bell Lab., Murray Hill, NJ, USA","https://ieeexplore.ieee.org/author/38225586000","3","E.O. Miller","38225586000","AT&T Bell Lab., Murray Hill, NJ, USA","https://ieeexplore.ieee.org/author/38140574900","4","A.R. Wilks","38140574900","","","","","","","","","","","3","5","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146369","96","Statistics","Displays","Data visualization","Computer networks","Computer graphics","Explosives","Explosions","Fluid flow measurement","Volume measurement","Data analysis","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146369","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","13","93","Dynamic graphics for network visualization"
"Progress in scientific visualization could be accelerated if workers could more readily find visualization techniques relevant to a given problem. The authors describe an approach to this problem, based on a classification of visualization techniques, that is independent of particular application domains. A user breaks up a problem into subproblems, describes these subproblems in terms of the objects to be represented and the operations to be supported by a representation, locates applicable visualization techniques in a catalog, and combines these representations into a composite representation for the original problem. The catalog and its underlying classification provide a way for workers in different application disciplines to share methods.<>","https://ieeexplore.ieee.org/document/146375/","LOCKED","146375","Colorado Univ., Boulder, CO, USA","https://ieeexplore.ieee.org/author/38222492800","1","S. Wehrend","38222492800","Colorado Univ., Boulder, CO, USA","https://ieeexplore.ieee.org/author/37380191400","2","C. Lewis","37380191400","","","","","","","","","","","","","","","","","","","","","106","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146375","143","Data visualization","Displays","Bars","Computer science","Acceleration","Application software","Earth","Brain","Logic","","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146375","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","14","139","A problem-oriented classification of visualization techniques"
"An approach that uses advanced computer graphics workstations and volume rendering algorithms for accurate reconstruction of volumetric microscopy data is described. It has been found that excellent reconstructions can be made from serial sections acquired using a charge-coupled device and a conventional light microscope. Both confocal and nonconfocal reconstructions are examined. The effects of differing light sources are considered 3D image processing results are presented.<>","https://ieeexplore.ieee.org/document/146413/","LOCKED","146413","Washington Univ. Sch. of Med., St. Louis, MO, USA","https://ieeexplore.ieee.org/author/38222512800","1","S.L. Senft","38222512800","","https://ieeexplore.ieee.org/author/38222513300","2","V.J. Argiro","38222513300","","https://ieeexplore.ieee.org/author/38222511400","3","W.L. VanZandt","38222511400","","","","","","","","","","","","","","","","2","1","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146413","428","Rendering (computer graphics)","Image reconstruction","Optical imaging","Data visualization","Biomedical optical imaging","Computer graphics","Optical microscopy","Geometrical optics","Workstations","Nervous system","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146413","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","15","424","Volume microscopy of biological specimens based on non-confocal imaging techniques"
"The authors discuss various visualization techniques that have the goal of identifying unwanted curvature regions interactively on screen. The authors give a critical survey of surface interrogation methods. Several isoline and contouring techniques are presented, and the reflection line method, which simulates the so-called light cage by computer graphics, is presented. The isophote method analyzes surfaces by determining lines of equal light intensity. Silhouettes are special isophotes. A different approach to these problems is the mapping-technique. The mapping methods recognize unwanted curvature regions by detecting singularities of a special mapping of the curve or surface investigated. Curvature plots are a practical means of analyzing free-form surfaces. All these methods are effective, but generally need a lot of computational effort. The free-form surface visualization by ray tracing is discussed.<>","https://ieeexplore.ieee.org/document/146381/","LOCKED","146381","Kaiserslautern Univ., Germany","https://ieeexplore.ieee.org/author/37282578800","1","H. Hagen","37282578800","Kaiserslautern Univ., Germany","https://ieeexplore.ieee.org/author/38181577200","2","T. Schreiber","38181577200","","https://ieeexplore.ieee.org/author/38222534800","3","E. Gschwind","38222534800","","","","","","","","","","","","","","","","6","3","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146381","193","Computer graphics","Gaussian processes","Transmission line matrix methods","Eigenvalues and eigenfunctions","Solid modeling","Design automation","Process design","Data visualization","Optical reflection","Ray tracing","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146381","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","16","187","Methods for surface interrogation"
"The problem of presenting and gaining deeper understanding of a multidimensional system, a mathematical model Predicting 20-90 s oscillations in breathing, is presented. The authors utilized custom software for interactive analysis of a three-dimensional model, plus Wavefront software to render translucent images of the 3D surfaces. The results show that under conditions of no peripheral chemosensor sensitivity, periodic breathing is predicted to occur with (1) an increase in circulatory transit time between the lungs and brain, (2) the presence of marked steady state hypoventilation, and/or (3) an increase in brain blood flow rate. It is concluded that the peripheral chemosensors (carotid bodies) are not essential for the development of periodic breathing.<>","https://ieeexplore.ieee.org/document/146415/","LOCKED","146415","Res. Comput. Services, Syracuse Univ., NY, USA","https://ieeexplore.ieee.org/author/38227569300","1","W.E. Fordyce","38227569300","Res. Comput. Services, Syracuse Univ., NY, USA","https://ieeexplore.ieee.org/author/38222513900","2","J.J. Ventrella","38222513900","","","","","","","","","","","","","","","","","","","","","1","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146415","","Computer aided software engineering","Visualization","Humans","Control systems","Blood","Lungs","Centralized control","Muscles","Ventilation","Delay effects","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146415","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","17","430","Case study in scientific visualization: factors inducing periodic breathing in humans with blunted hypoxic sensitivity"
"A hierarchical triangulation built from a digital elevation model in grid form is described. The authors present an algorithm that produces a hierarchy of triangulations in which each level of the hierarchy corresponds to a guaranteed level of accuracy. The number of very thin triangles (slivers) is significantly reduced. Such triangles produced undesirable effects in animation. In addition the number of levels of the triangulated irregular network (TIN) tree is reduced. This speeds up searching within the data structure. Tests on data with digital elevation input have confirmed the theoretical expectations. On eight such sets the average sliveriness with the method was between 1/5 and 1/10 of old triangulations and number of levels was about one third. There was an increase in the number of descendants at each level, but the total number of triangles was also lower.<>","https://ieeexplore.ieee.org/document/146379/","LOCKED","146379","Grumman Data Syst., Woodbury, NY, USA","https://ieeexplore.ieee.org/author/37378511100","1","L. Scarlatos","37378511100","","https://ieeexplore.ieee.org/author/37357427000","2","T. Pavlidis","37357427000","","","","","","","","","","","","","","","","","","","","","9","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146379","175","Tin","Animation","Surface treatment","Data systems","Geometry","Tree data structures","Testing","Writing","Analytical models","Medical simulation","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146379","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","18","168","Hierarchical triangulation using terrain features"
"It is shown that by a simple (one-way) mapping from quaternions to complex numbers, the problem of generating a four-dimensional Mandelbrot set by iteration of a quadratic function in quaternions can be reduced to iteration of the same function in the complex domain, and thus, the function values in 4-D can be obtained by a simple table lookup. The computations are cut down by an order. Simple ways of displaying the fractal without shading and ways of fast ray tracing such a fractal using the table so generated are discussed. Further speedup in ray tracing can be achieved by estimates of a distance of a point from the Mandelbrot set. Animation is a key factor in visualizing 4-D objects. Three types of animation are attempted: translation in 4-D, rotation in 4-D, and fly-through in 3-D.<>","https://ieeexplore.ieee.org/document/146385/","LOCKED","146385","Dept. of Comput. Sci., Saskatchewan Univ., Saskatoon, Sask., Canada","https://ieeexplore.ieee.org/author/38225470800","1","Y. Ke","38225470800","","https://ieeexplore.ieee.org/author/38222550000","2","E.S. Panduranga","38222550000","","","","","","","","","","","","","","","","","","","","","1","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146385","229","Visualization","Fractals","Quaternions","Animation","H infinity control","Computer science","Table lookup","Books","Solid modeling","Shape","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146385","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","19","219","A journey into the fourth dimension (visualization)"
"Experimental investigations into the application of intelligent robot control technology to the problem of removing waste stored in tanks is discussed. The authors describe the experimental environment used, with particular attention to the hardware and software control environment and the graphical interface. Intelligent system control is achieved through the integration of extensive geometric and kinematic world models with real-time sensor-based control. All operator interactions with the system are through fully animated graphical representations which validate all operator commands before execution to provide for safe operation. Sensing is used to add information to the robot system's world model and to allow sensor-based servo control during selected operations. The results of an initial critical features test are reported, and the potential to apply advanced intelligent control concepts to the removal of waste in storage tanks is discussed.<>","https://ieeexplore.ieee.org/document/146419/","LOCKED","146419","Sandia Nat. Lab., Albuquerque, NM, USA","https://ieeexplore.ieee.org/author/37387962300","1","B.K. Christensen","37387962300","Sandia Nat. Lab., Albuquerque, NM, USA","https://ieeexplore.ieee.org/author/38221967100","2","L.M. Desjarlais","38221967100","","","","","","","","","","","","","","","","","","","","","2","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146419","456","Intelligent robots","Intelligent control","Application software","Robot control","Hardware","Intelligent systems","Intelligent sensors","Control system synthesis","Kinematics","Solid modeling","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146419","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","20","449","A graphical interface for robotic remediation of underground storage tanks"
"The author describes a visualization model for three-dimensional scalar data fields based on linear transport theory. The concept of virtual particles for the extraction of information from data fields in introduced. The role of different types of interaction of the data field with those particles such as absorption, scattering, source and color shift are discussed and demonstrated. Special attention is given to possible tools for the enhancement of interesting data features. Random texturing can provide visual insights as to the magnitude and distribution of deviations of related data fields, e.g., originating from analytic models, and measurements, or in the noise content of a given data field. Hidden symmetries of a data set can often be identified visually by allowing it to interact with a preselected beam of physical particles with the attendant appearance of characteristic structural effects such as channeling.<>","https://ieeexplore.ieee.org/document/146391/","LOCKED","146391","ART+COM e.V., Berlin, Germany","https://ieeexplore.ieee.org/author/37382195100","1","W. Krueger","37382195100","","","","","","","","","","","","","","","","","","","","","","","","","","11","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146391","280","Data visualization","Particle scattering","Extraterrestrial measurements","Data mining","Absorption","Particle beams","Geophysical measurements","Application software","Meteorology","Mathematical model","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146391","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","21","273","The application of transport theory to visualization of 3D scalar data fields"
"The authors address the problem of visualizing a scalar dependent variable which is a function of many independent variables. In particular, cases where the number of independent variables is three or greater are discussed. A new hierarchical method of plotting that allows one to interactively view millions of data points with up to 10 independent variables is presented. The technique is confined to the case where each independent variable is sampled in a regular grid or lattice-like fashion, i.e., in equal increments. The proposed technique can be described in either an active or a passive manner. In the active view the points of the N-dimensional independent variables lattice are mapped to a single horizontal axis in a hierarchical manner, while in the passive view an observer samples the points of the N-dimensional lattice in a prescribed fashion and notes the values of the dependent variable. In the passive view a plot of the dependent variable versus a single parametric variable, which is simply the sampling number, forms the multidimensional graph.<>","https://ieeexplore.ieee.org/document/146389/","LOCKED","146389","Dept. of Phys., Temple Univ., Philadelphia, PA, USA","https://ieeexplore.ieee.org/author/37314757900","1","T. Mihalisin","37314757900","Dept. of Phys., Temple Univ., Philadelphia, PA, USA","https://ieeexplore.ieee.org/author/37312472600","2","E. Gawlinski","37312472600","Dept. of Phys., Temple Univ., Philadelphia, PA, USA","https://ieeexplore.ieee.org/author/37567607700","3","J. Timlin","37567607700","Dept. of Phys., Temple Univ., Philadelphia, PA, USA","https://ieeexplore.ieee.org/author/37938366000","4","J. Schwegler","37938366000","","","","","","","","","","","11","1","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146389","262","Lattices","Data visualization","Physics","Graphics","Sampling methods","","","","","","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146389","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","22","255","Visualizing a scalar field on an N-dimensional lattice"
"Methods of rendering reflections in curved surfaces are examined. A numerical algorithm to derive spherical reflections is presented. This algorithm has many attractive qualities, such as low computation costs, object space coherence, device and resolution independence, and generation of maximum information about reflections in curved surfaces. The authors demonstrate that rendering reflections is a difficult problem, as it defies analytic solutions. The authors indicate several alternatives for generalizing this method to a broader domain.<>","https://ieeexplore.ieee.org/document/146393/","LOCKED","146393","Dept. of Comput. Sci., Princeton Univ., NJ, USA","https://ieeexplore.ieee.org/author/37371403900","1","D. Dobkin","37371403900","","https://ieeexplore.ieee.org/author/38222550000","2","E.S. Panduranga","38222550000","","https://ieeexplore.ieee.org/author/38226089400","3","M. Zhu","38226089400","","","","","","","","","","","","","","","","0","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146393","297","Optical reflection","Ray tracing","Layout","Visualization","Application software","Geometrical optics","Computer science","Computer graphics","Light sources","Computational efficiency","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146393","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","23","289","A numerical method for rendering spherical reflections"
"The authors discuss FAST (flow analysis software toolkit), an implementation of a software system for fluid mechanics analysis. Visualization of computational aerodynamics requires flexible, extensible, and adaptable software tools for performing analysis tasks. An overview of FAST is given, and its architecture is discussed. Interactive visualization control is addressed. The advantages and disadvantages of FAST are discussed.<>","https://ieeexplore.ieee.org/document/146360/","LOCKED","146360","Sterling Federal Syst. Inc., Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37671091700","1","G.V. Bancroft","37671091700","Sterling Federal Syst. Inc., Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37667865200","2","F.J. Merritt","37667865200","Sterling Federal Syst. Inc., Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37671091300","3","T.C. Plessel","37671091300","Sterling Federal Syst. Inc., Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/38222555400","4","P.G. Kelaita","38222555400","Sterling Federal Syst. Inc., Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/38223652700","5","R.K. McCabe","38223652700","Sterling Federal Syst. Inc., Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/38220532900","6","A. Globus","38220532900","29","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146360","27","Visualization","Computational fluid dynamics","NASA","Software tools","Computational modeling","Fluid dynamics","Aircraft","Aerodynamics","Supercomputers","Workstations","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146360","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","24","14","FAST: a multi-processed environment for visualization of computational fluid dynamics"
"The authors present techniques for automating the illustration of geometric models based on traditional hand illustration methods. A system based on the techniques of traditional illustrators for automatically generating illustrations of complex three-dimensional models is described. The system relies on a richer set of display primitives, which are also outlined. Algorithmic details for emphasizing significant model components are discussed, and some preliminary results are presented.<>","https://ieeexplore.ieee.org/document/146395/","LOCKED","146395","Dept. of Comput. Sci., Utah Univ., Salt Lake City, UT, USA","https://ieeexplore.ieee.org/author/38220531600","1","D. Dooley","38220531600","Dept. of Comput. Sci., Utah Univ., Salt Lake City, UT, USA","https://ieeexplore.ieee.org/author/37269827100","2","M.F. Cohen","37269827100","","","","","","","","","","","","","","","","","","","","","9","1","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146395","314","Solid modeling","Computer displays","Biological system modeling","Computer graphics","Data visualization","Rendering (computer graphics)","Hardware","Computer science","Cities and towns","Shape","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146395","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","25","307","Automatic illustration of 3D geometric models: surfaces"
"The author presents a simple, procedural interface for volume rendering. The interface is built on three types of objects: volumes, which contain the data to be visualized, environments, which set up viewing and lighting, and image objects, which convert results to a user-definable format. A volume is rendered against a particular environment with the results sent to an image object for conversion. By defining volume qualities such as color, opacity, and gradient in terms of user-definable transfer functions, the rendering process is made independent of the data set's underlying representation.<>","https://ieeexplore.ieee.org/document/146362/","LOCKED","146362","Alliant Comput. Syst., Littleton, MA, USA","https://ieeexplore.ieee.org/author/38222638800","1","J.L. Montine","38222638800","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146362","44","Rendering (computer graphics)","Transfer functions","Data visualization","Image converters","Data structures","Drives","Color","Light sources","","","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146362","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","26","36","A procedural interface for volume rendering"
"Computer graphics has long been concerned with representing and displaying surfaces in three-dimensional space. The author addresses the questions of representation and display in a higher dimensional setting, specifically, that of 3-manifolds immersed in four-dimensional space. The author describes techniques for visualizing the cross-section surfaces of a 3-manifold formed by a cutting hyperplane. The manifold is first triangulated, so that the cross-section may be computed on a per tetrahedron basis. The triangulated manifold is stored in a data structure which efficiently supports calculation of curvature. These techniques have been implemented on Personal IRIS.<>","https://ieeexplore.ieee.org/document/146400/","LOCKED","146400","Dept. of Electr. Eng. & Comput. Sci., Illinois Univ., Chicago, IL, USA","https://ieeexplore.ieee.org/author/37419567600","1","M.J. Laszlo","37419567600","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146400","352","Manifolds","Computer displays","Data visualization","Solids","Computer graphics","Data structures","Iris","Surface treatment","Topology","Interactive systems","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146400","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","27","342","Techniques for visualizing 3-dimensional manifolds"
"The use of qualitative shape synthesis for the display of 3-D binary objects is presented. The proposed approach is applicable to multi-object scenes and to outdoor scenery as well. It makes use of a new method, the diffusion process, that simulates diffusion of particles within the interior of a 3-D discrete object. Starting with initial concentrations of particles at the boundary-voxels, the diffusion procedure simulates the propagation of these particles inwards. Boundary voxels of the object are colored according to the concentration of particles obtained by suspending the diffusion process. This method assists shape characterization by providing a qualitative measure of boundary curvature and was used in achieving display of a variety of voxel-based objects. Examples of the use of this approach on synthetic, terrain, and range data, are provided.<>","https://ieeexplore.ieee.org/document/146364/","LOCKED","146364","Dept. of Comput. Sci., Maryland Univ., College Park, MD, USA","https://ieeexplore.ieee.org/author/37332039100","1","Y. Yacoob","37332039100","","","","","","","","","","","","","","","","","","","","","","","","","","0","2","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146364","58","Computer displays","Layout","Diffusion processes","Shape measurement","Data mining","Computed tomography","Nuclear magnetic resonance","Data structures","Pixel","Computer science","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146364","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","28","51","Displaying voxel-based objects according to their qualitative shape synthesis"
"A methodology for visualizing analytic and synthetic geometry in R/sup N/ is presented. It is based on a system of parallel coordinates which induces a nonprojective mapping between N-dimensional and two-dimensional sets. Hypersurfaces are represented by their planar images which have some geometrical properties analogous to the properties of the hypersurface that they represent. A point from to line duality when N=2 generalizes to lines and hyperplanes enabling the representation of polyhedra in R/sup N/. The representation of a class of convex and non-convex hypersurfaces is discussed, together with an algorithm for constructing and displaying any interior point. The display shows some local properties of the hypersurface and provides information on the point's proximity to the boundary. Applications are discussed.<>","https://ieeexplore.ieee.org/document/146402/","LOCKED","146402","IBM Sci. Center, Los Angeles, CA, USA","https://ieeexplore.ieee.org/author/37294162600","1","A. Inselberg","37294162600","IBM Sci. Center, Los Angeles, CA, USA","https://ieeexplore.ieee.org/author/37426169800","2","B. Dimsdale","37426169800","","","","","","","","","","","","","","","","","","","","","373","15","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146402","378","Visualization","Computational geometry","Air traffic control","Robot kinematics","Statistics","Computer science","Computer displays","Application software","Orbital robotics","Robot vision systems","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146402","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","29","361","Parallel coordinates: a tool for visualizing multi-dimensional geometry"
