"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_affiliation","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_affiliation","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_12_affiliation","articles_authors_authors_12_authorUrl","articles_authors_authors_12_author_order","articles_authors_authors_12_full_name","articles_authors_authors_12_id","articles_authors_authors_13_affiliation","articles_authors_authors_13_authorUrl","articles_authors_authors_13_author_order","articles_authors_authors_13_full_name","articles_authors_authors_13_id","articles_authors_authors_14_affiliation","articles_authors_authors_14_authorUrl","articles_authors_authors_14_author_order","articles_authors_authors_14_full_name","articles_authors_authors_14_id","articles_authors_authors_15_affiliation","articles_authors_authors_15_authorUrl","articles_authors_authors_15_author_order","articles_authors_authors_15_full_name","articles_authors_authors_15_id","articles_authors_authors_16_affiliation","articles_authors_authors_16_authorUrl","articles_authors_authors_16_author_order","articles_authors_authors_16_full_name","articles_authors_authors_16_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_isbn_formats_isbns_1_format","articles_isbn_formats_isbns_1_isbnType","articles_isbn_formats_isbns_1_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"We present an iterative strategy for finding a relevant subset of attributes for the purpose of classification in high-dimensional, heterogeneous data sets. The attribute subset is used for the construction of a classifier function. In order to cope with the challenge of scalability, the analysis is split into an overview of all attributes and a detailed analysis of small groups of attributes. The overview provides generic information on statistical dependencies between attributes. With this information the user can select groups of attributes and an analytical method for their detailed analysis. The detailed analysis involves the identification of redundant attributes (via classification or regression) and the creation of summarizing attributes (via clustering or dimension reduction). Our strategy does not prescribe specific analytical methods. Instead, we recursively combine the results of different methods to find or generate a subset of attributes to use for classification.","https://ieeexplore.ieee.org/document/5654445/","LOCKED","5654445","Fraunhofer Institute for Computer Graphics Research","https://ieeexplore.ieee.org/author/37603783600","1","Thorsten May","37603783600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fraunhofer Institute for Computer Graphics Research","https://ieeexplore.ieee.org/author/37603822500","2","James Davey","37603822500","Fraunhofer Institute for, Computer Graphics, Research","https://ieeexplore.ieee.org/author/37449689200","3","Jörn Kohlhammer","37449689200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5654445","240","https://ieeexplore.ieee.org/document/5654445/","High-Dimensional Data","Dimensionality Reduction","Data Clustering","Data Filtering","","","","Visualization","Data visualization","Clustering methods","Testing","USA Councils","Electronic mail","","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5654445","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","11","239","Combining statistical independence testing, visual attribute selection and automated analysis to find relevant attributes for classification"
"The Self-Organizing Map (SOM) algorithm is a popular and widely used cluster algorithm. Its constraint to organize clusters on a grid structure makes it very amenable to visualization. On the other hand, the grid constraint may lead to reduced cluster accuracy and reliability, compared to other clustering methods not implementing this restriction. We propose a visual cluster analysis system that allows to validate the output of the SOM algorithm by comparison with alternative clustering methods. Specifically, visual mappings overlaying alternative clustering results onto the SOM are proposed. We apply our system on an example data set, and outline main analytical use cases.","https://ieeexplore.ieee.org/document/5651676/","LOCKED","5651676","Interactive Graphics Systems Group, TU Darmstadt, Germany","https://ieeexplore.ieee.org/author/37606179600","1","Jürgen Bernard","37606179600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Interactive Graphics Systems Group, TU Darmstadt, Germany, and, Fraunhofer IGD, Darmstadt","https://ieeexplore.ieee.org/author/37586276100","2","Tatiana von Landesberger","37586276100","Interactive Graphics Systems Group, TU Darmstadt, Germany","https://ieeexplore.ieee.org/author/37586274500","3","Sebastian Bremm","37586274500","Interactive Graphics Systems Group, TU Darmstadt, Germany","https://ieeexplore.ieee.org/author/37282557600","4","Tobias Schreck","37282557600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5651676","218","https://ieeexplore.ieee.org/document/5651676/","H.4 [Information Systems]: Information Systems Applications","I.3.6 [Computing Methodologies]: Methodology and Techniques","","","","","","Clustering algorithms","Data visualization","Trajectory","Visualization","Image color analysis","Clustering methods","Algorithm design and analysis","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5651676","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","12","217","Cluster correspondence views for enhanced analysis of SOM displays"
"This paper presents an interactive interface synchronized with a simulation framework for exploring complex scenarios. This interface exploits visual analysis for facilitating the understanding of complex situation by human users.","https://ieeexplore.ieee.org/document/5654451/","LOCKED","5654451","System of Systems Section, Defence R&D Canada Quebec (QC), Canada","https://ieeexplore.ieee.org/author/37593942300","1","Marielle Mokhtari","37593942300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","System of Systems Section, Defence R&D Canada Quebec (QC), Canada","https://ieeexplore.ieee.org/author/37283610000","2","Eric Boivin","37283610000","Computer Vision and Systems Laboratory Dept. of ECE, Laval University, Quebec (QC), Canada","https://ieeexplore.ieee.org/author/37269074000","3","Denis Laurendeau","37269074000","Computer Vision and Systems Laboratory Dept. of ECE, Laval University, Quebec (QC), Canada","https://ieeexplore.ieee.org/author/37593467200","4","Maxime Girardin","37593467200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5654451","242","https://ieeexplore.ieee.org/document/5654451/","Information visualization","2D1/2 animation","line & surface graph animation","interaction","synchronization","","","Radio frequency","Visualization","Image color analysis","Data models","Synchronization","Psychology","","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5654451","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","13","241","Visual tools for dynamic analysis of complex situations"
"Data sets that contain geospatial and temporal elements can be challenging to analyze. In particular, it can be difficult to determine how the data have changed over spatial and temporal ranges. In this poster, we present a visual approach for representing the pair-wise differences between geographically and temporally binned data. In addition to providing a novel method for visualizing such geo-temporal differences, GTdiff provides a high degree of interactivity that supports the exploration and analysis of the data.","https://ieeexplore.ieee.org/document/5652951/","LOCKED","5652951","Department of Computer Science, Memorial University","https://ieeexplore.ieee.org/author/37565349100","1","Orland Hoeber","37565349100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Department of Computer Science, Memorial University","https://ieeexplore.ieee.org/author/37595914500","2","Garnett Wilson","37595914500","Department of Computer Science, Memorial University","https://ieeexplore.ieee.org/author/37266745700","3","Simon Harding","37266745700","Department of Geography, Memorial University","https://ieeexplore.ieee.org/author/37591138200","4","René Enguehard","37591138200","Department of Geography, Memorial University","https://ieeexplore.ieee.org/author/37570903200","5","Rodolphe Devillers","37570903200","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5652951","230","https://ieeexplore.ieee.org/document/5652951/","H.5.2 [Information Systems]: Information Interfaces and Presentation-User Interfaces","I.3.6 [Computing Methodologies]: Computer Graphics-Methodology and Techniques","","","","","","Visualization","Geospatial analysis","Image color analysis","Java","Geography","Electronic mail","","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5652951","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","14","229","Visually representing geo-temporal differences"
"Predicting protein structures has long been a grand-challenge problem. Fine-grained computational simulation of folding events from a protein's synthesis to its final stable structure remains computationally intractable. Therefore, methods which derive constraints from other sources are attractive. To date, constraints derived from known structures have proven to be highly successful. However, these cannot be applied to molecules with no identifiable neighbors having already-determined structures. For such molecules, structural constraints must be derived in other ways. One popular approach has been the statistical analysis of large families of proteins, with the hope that residues that “change together” (co-evolve) imply that those residues are in contact. Unfortunately, despite repeated attempts to use this data to deduce structural constraints, this approach has met with minimal success. The consensus of current literature concludes that there is simply too little information contained within the correlated mutations of many protein families to reliably and generally predict structural constraints. Recent work in my laboratory challenges this conclusion. For some time we have been developing methods (MAVL/StickWRLD) to visualize the pattern of co-evolved mutations within sequence families. While our analysis of individual correlations agrees with the literature consensus, we have recently discovered that the visualized pattern of correlations is highly suggestive of structural relationships. In our preliminary test cases, human researchers can unambiguously determine many positive structural constraints by visual analysis of statistical sequence information alone, often with no training on interpretation of the visualization results. Herein we report the visualization design that supports this Visual Analytics approach to identifying high-confidence hypotheses about protein folding from protein sequence, and illustrate preliminary results from this research. Our approach entails a higher-dimensional extension of parallel coordinates which illuminates distant shared sub-tuples of the vectors representing each protein sequence when these sub-tuples occur with an over abundance compared to expectations. It simultaneously eliminates all representations of tuples which occur with frequency near the expected norm. The result is a minimally-occluded representation of outlier, and only outlier co-occurrences within the sequence families.","https://ieeexplore.ieee.org/document/5650199/","LOCKED","5650199","The Research Institute at Nationwide Children's Hospital, The Ohio State University Biophysics Program","https://ieeexplore.ieee.org/author/37270070300","1","William C. Ray","37270070300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5650199","250","https://ieeexplore.ieee.org/document/5650199/","Bioinformatics","Clustering Classification and Association Rules","Interactive Data Exploration","","","","","Correlation","Protein sequence","Clouds","Visual analytics","Protein engineering","","","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5650199","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","15","249","A Visual Analytics approach to identifying protein structural constraints"
"This paper presents a case study with Enron email dataset to explore the behaviors of email users within different organizational positions. We defined email behavior as the email activity level of people regarding a series of measured metrics e.g. sent and received emails, numbers of email addresses, etc. These metrics were calculated through EmailTime, a visual analysis tool of email correspondence over the course of time. Results showed specific patterns in the email datasets of different organizational positions.","https://ieeexplore.ieee.org/document/5649905/","LOCKED","5649905","Simon Fraser University","https://ieeexplore.ieee.org/author/37598481900","1","Minoo Erfani Joorabchi","37598481900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Simon Fraser University","https://ieeexplore.ieee.org/author/37605674700","2","Ji-Dong Yim","37605674700","Simon Fraser University","https://ieeexplore.ieee.org/author/37598482000","3","Mona Erfani Joorabchi","37598482000","Simon Fraser University","https://ieeexplore.ieee.org/author/37358198200","4","Christopher D. Shaw","37358198200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5649905","236","https://ieeexplore.ieee.org/document/5649905/","Email","Enron","Case Study","EmailTime","Visual Analysis","","","Electronic mail","Indexes","Receivers","Visualization","Benchmark testing","Time measurement","","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5649905","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","16","235","Enron case study: Analysis of email behavior using EmailTime"
"We created a visual chat application for use during hazardous weather events. The application, NWSChat2, allows National Weather Service forecasters, media members, and storm trackers to communicate with each other, basing their conversation on a common shared radar map of the storm. Users can additionally annotate the map with `pins' or draw notes with a stylus. These annotations are automatically shared with all other users. The collaborative nature of NWSChat2 makes it well-suited for disseminating information to all users during weather emergencies.","https://ieeexplore.ieee.org/document/5650815/","LOCKED","5650815","School of Computer Science and School of Meteorology, University of Oklahoma","https://ieeexplore.ieee.org/author/37587979100","1","Moshe Gutman","37587979100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","School of Computer Science and School of Meteorology, University of Oklahoma","https://ieeexplore.ieee.org/author/37594341400","2","Gina Eosco","37594341400","School of Computer Science and School of Meteorology, University of Oklahoma","https://ieeexplore.ieee.org/author/37594207000","3","Monica Zappa","37594207000","School of Computer Science and School of Meteorology, University of Oklahoma","https://ieeexplore.ieee.org/author/37564883300","4","Chris Weaver","37564883300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5650815","226","https://ieeexplore.ieee.org/document/5650815/","Collaboration","coordinated multiple views","instant messaging","emergency response","hazardous weather","","","Storms","Visualization","Weather forecasting","Pins","Media","Communities","","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5650815","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","17","225","Enhancing text-based chat with visuals for hazardous weather decision making"
"Optimization problems are typically addressed by purely automatic approaches. For multi-objective problems, however, a single best solution often does not exist. In this case, it is necessary to analyze trade-offs between many conflicting goals within a given application context. This poster describes an approach that tightly integrates automatic algorithms for multi-objective optimization and interactive multivariate visualizations. Ad-hoc selections support a flexible definition of input data for subsequent algorithms. These algorithms in turn represent their result as derived data attributes that can be assigned to visualizations or be used as a basis for further selections (e.g., to constrain the result set). This enables a guided search that still involves the knowledge of domain experts. We describe our approach in the context of multi-run simulation data from the application domain of car engine design.","https://ieeexplore.ieee.org/document/5651694/","LOCKED","5651694","VRVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37546977900","1","Wolfgang Berger","37546977900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","VRVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37282562500","2","Harald Piringer","37282562500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5651694","216","https://ieeexplore.ieee.org/document/5651694/","H.1.2 [Models and Principles]: User/Machine Systems-Human factors","H.5.2 [Information Interfaces and Presentation]: User Interfaces-Interaction Styles","","","","","","Optimization","Engines","Data visualization","Context","Load modeling","Visual analytics","","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5651694","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","18","215","Interactive visual analysis of multiobjective optimizations"
"In this paper, we introduce ALIDA, an Active Learning Intent Discerning Agent for visual analytics interfaces. As users interact with and explore data in a visual analytics environment they are each developing their own unique analytic process. The goal of ALIDA is to observe and record the human-computer interactions and utilize these observations as a means of supporting user exploration; ALIDA does this by using interaction to make decision about user interest. As such, ALIDA is designed to track the decision history (interactions) of a user. This history is then utilized to enhance the user's decision-making process by allowing the user to return to previously visited search states, as well as providing suggestions of other search states that may be of interest based on past exploration modalities. The agent passes these suggestions (or decisions) back to an interactive visualization prototype, and these suggestions are used to guide the user, either by suggesting searches or changes to the visualization view. Current work has tested ALIDA under the exploration of homonyms for users wishing to explore word linkages within a dictionary. Ongoing work includes using ALIDA to guide users in transfer function design for volume rendering within scientific gateways.","https://ieeexplore.ieee.org/document/5650854/","LOCKED","5650854","School of Interactive Arts + Technology - Simon Fraser University","https://ieeexplore.ieee.org/author/37403562900","1","Tera Marie Green","37403562900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Purdue Visual Analytics Center - Purdue University","https://ieeexplore.ieee.org/author/37396008400","2","Ross Maciejewski","37396008400","School of Interactive Arts + Technology - Simon Fraser University","https://ieeexplore.ieee.org/author/37326092700","3","Steve DiPaola","37326092700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5650854","224","https://ieeexplore.ieee.org/document/5650854/","artificial intelligence","cognition","intent discernment","volume rendering","","","","Cognition","Humans","Visual analytics","History","Data visualization","Rendering (computer graphics)","Transfer functions","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5650854","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","19","223","ALIDA: Using machine learning for intent discernment in visual analytics interfaces"
"The 5th VAST Challenge consisted of three mini-challenges that involved both intelligence analysis and bioinformatics. Teams could solve one, two or all three mini-challenges and assess the overall situation to enter the Grand Challenge. Mini-challenge one involved text reports about people and events giving information about arms dealers, situations in various countries and linkages between different countries. Mini-challenge two involved hospital admission and death records from various countries providing information about the spread of a world wide pandemic. Mini-challenge three involved genetic data to be used to identify the origin of the pandemic and the most dangerous viral mutations. The Grand Challenge was to determine how these various mini-challenges were connected. As always the goal was to analyze the data and provide novel interactive visualizations useful in the analytic process. We received 58 submissions in total and gave 15 awards.","https://ieeexplore.ieee.org/document/5649054/","PROMOTIONAL","5649054","University of Massachusetts Lowell","https://ieeexplore.ieee.org/author/37360588500","1","Georges Grinstein","37360588500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Massachusetts Lowell","https://ieeexplore.ieee.org/author/37590124000","2","Shawn Konecni","37590124000","University of Maryland","https://ieeexplore.ieee.org/author/37283026800","3","Catherine Plaisant","37283026800","Pacific Northwest National Laboratory","https://ieeexplore.ieee.org/author/37268671300","4","Jean Scholtz","37268671300","Pacific Northwest National Laboratory","https://ieeexplore.ieee.org/author/37357067600","5","Mark Whiting","37357067600","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5649054","264","https://ieeexplore.ieee.org/document/5649054/","visual analytics","human information interaction","sense making","evaluation","metrics","contest","","Data visualization","Pandemics","Genetics","Task analysis","Visual analytics","Social networking (online)","Software","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5649054","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","20","263","VAST 2010 Challenge: Arms dealings and pandemics"
"Complex combinations of coordinated multiple views are increasingly used to design tools for highly interactive visual exploration and analysis of multidimensional data. While complex coordination patterns provide substantial utility through expressive querying, they also exhibit usability problems for users when learning required interaction sequences, recalling past queries, and interpreting visual states. As visual analysis tools grow more sophisticated, there is a growing need to make them more understandable as well. Our long-term goal is to exploit natural language familiarity and literacy to directly facilitate individual and collaborative use of visual analysis tools. In this poster, we present work in progress on an automatically generated query-to-question user interface to translate interactive states during visual analysis into an accompanying visual log of formatted text. Our effort currently focuses on a symmetric and thus relatively simple coordination pattern: cross-filtered views. We describe our current thinking about query-to-question translation in a typical cross-filtered visualization of movies, people, and genres in the Internet Movie Database.","https://ieeexplore.ieee.org/document/5650251/","LOCKED","5650251","School of Computer Science and Center for Spatial Analysis The University of Oklahoma","https://ieeexplore.ieee.org/author/37593329400","1","Maryam Nafari","37593329400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","School of Computer Science and Center for Spatial Analysis The University of Oklahoma","https://ieeexplore.ieee.org/author/37564883300","2","Chris Weaver","37564883300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5650251","246","https://ieeexplore.ieee.org/document/5650251/","Coordinated multiple views","cross-filtered queries","interaction states","natural language generation","visual provenance","","","Visualization","Data visualization","Natural languages","Motion pictures","Weaving","Internet","Encoding","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5650251","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","21","245","Poster: Translating cross-filtered queries into questions"
"Geometric Wavelets is a new multi-scale data representation technique which is useful for a variety of applications such as data compression, interpretation and anomaly detection. We have developed an interactive visualization with multiple linked views to help users quickly explore data sets and understand this novel construction. Currently the interface is being used by applied mathematicians to view results and gain new insights, speeding methods development.","https://ieeexplore.ieee.org/document/5653822/","LOCKED","5653822","Duke Visualization Technology Group","https://ieeexplore.ieee.org/author/37597529800","1","Eric E. Monson","37597529800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Duke Mathematics","https://ieeexplore.ieee.org/author/37403718100","2","Guangliang Chen","37403718100","Duke Visualization Technology Group","https://ieeexplore.ieee.org/author/38179702200","3","Rachael Brady","38179702200","Duke Mathematics and, Computer Science","https://ieeexplore.ieee.org/author/37395814700","4","Mauro Maggioni","37395814700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5653822","244","https://ieeexplore.ieee.org/document/5653822/","H.5.2 [Information Interfaces and Presentation]: User Interfaces-Graphical user interfaces (GUI)","I.5.1 [Pattern Recognition]: Models-Geometric","","","","","","Graphical user interfaces","Data visualization","Pixel","Dictionaries","Principal component analysis","Wavelet analysis","Manifolds","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5653822","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","22","243","Data representation and exploration with Geometric Wavelets"
"The detection of previously unknown, frequently occurring patterns in time series, often called motifs, has been recognized as an important task. To find these motifs, we use an advanced temporal data mining algorithm. Since our algorithm usually finds hundreds of motifs, we need to analyze and access the discovered motifs. For this purpose, we introduce three novel visual analytics methods: (1) motif layout, using colored rectangles for visualizing the occurrences and hierarchical relationships of motifs in a multivariate time series, (2) motif distortion, for enlarging or shrinking motifs as appropriate for easy analysis and (3) motif merging, to combine a number of identical adjacent motif instances without cluttering the display. We have applied and evaluated our methods using two real-world data sets: data center cooling and oil well production.","https://ieeexplore.ieee.org/document/5650766/","LOCKED","5650766","Hewlett Packard Laboratories, USA","https://ieeexplore.ieee.org/author/37274264300","1","M. C. Hao","37274264300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hewlett Packard Laboratories, USA","https://ieeexplore.ieee.org/author/37419093700","2","M. Marwah","37419093700","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37594026300","3","H. Janetzko","37594026300","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37283138700","4","D. A. Keim","37283138700","Hewlett Packard Laboratories, USA","https://ieeexplore.ieee.org/author/37275646700","5","U. Dayal","37275646700","Hewlett Packard Laboratories, USA","https://ieeexplore.ieee.org/author/37276219200","6","R. Sharma","37276219200","Virginia Tech, USA","https://ieeexplore.ieee.org/author/37593035500","7","D. Patnaik","37593035500","Virginia Tech, USA","https://ieeexplore.ieee.org/author/37273204200","8","N. Ramakrishnan","37273204200","","","","","","","","","","","2","1","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5650766","228","https://ieeexplore.ieee.org/document/5650766/","","","","","","","","Time series analysis","Petroleum","Visual analytics","Production","Merging","Layout","Data mining","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5650766","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","23","227","Visual analysis of frequent patterns in large time series"
