"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorAffiliations_authorAffiliation_1","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorAffiliations_authorAffiliation_1","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation_0","articles_authors_authors_4_authorAffiliations_authorAffiliation_1","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorAffiliations_authorAffiliation_0","articles_authors_authors_5_authorAffiliations_authorAffiliation_1","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorAffiliations_authorAffiliation_0","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorAffiliations_authorAffiliation_0","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorAffiliations_authorAffiliation_0","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_insert_date","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume" 
"A new type of glyph is introduced to visualize unsteady flow with static images, allowing easier analysis of time-dependent phenomena compared to animated visualization. Adopting the visual metaphor of radar displays, this glyph represents flow directions by angles and time by radius in spherical coordinates. Dense seeding of flow radar glyphs on the flow domain naturally lends itself to multi-scale visualization: zoomed-out views show aggregated overviews, zooming-in enables detailed analysis of spatial and temporal characteristics. Uncertainty visualization is supported by extending the glyph to display possible ranges of flow directions. The paper focuses on 2D flow, but includes a discussion of 3D flow as well. Examples from CFD and the field of stochastic hydrogeology show that it is easy to discriminate regions of different spatiotemporal flow behavior and regions of different uncertainty variations in space and time. The examples also demonstrate that parameter studies can be analyzed because the glyph design facilitates comparative visualization. Finally, different variants of interactive GPU-accelerated implementations are discussed.","https://ieeexplore.ieee.org/document/6064958/","LOCKED","6064958","Visualization Research Center (VISUS), University of Stuttgart, Germany","","Visualization Research Center (VISUS), University of Stuttgart, Germany","","https://ieeexplore.ieee.org/author/37546168600","1","Marcel Hlawatsch","37546168600","Institut of Hydraulic Engineering (LH2), University of Stuttgart, Germany","Institut of Hydraulic Engineering (LH2), University of Stuttgart, Germany","","https://ieeexplore.ieee.org/author/38017000700","2","Philipp Leube","38017000700","Institut of Hydraulic Engineering (LH2), University of Stuttgart, Germany","Institut of Hydraulic Engineering (LH2), University of Stuttgart, Germany","https://ieeexplore.ieee.org/author/38018564200","3","Wolfgang Nowak","38018564200","Visualization Research Center (VISUS), University of Stuttgart, Germany","Visualization Research Center (VISUS), University of Stuttgart, Germany","https://ieeexplore.ieee.org/author/37268045000","4","Daniel Weiskopf","37268045000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","0","Journals","10.1109/TVCG.2011.203","1450","1958","https://ieeexplore.ieee.org/document/6064958/","Visualization","glyph","uncertainty","unsteady flow.","","","","","","Data visualization","Three dimensional displays","Vectors","Radar imaging","Uncertainty","","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064958","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","32","1949","Flow Radar Glyphs—Static Visualization of Unsteady Flow with Uncertainty","17"
"The unguided visual exploration of volumetric data can be both a challenging and a time-consuming undertaking. Identifying a set of favorable vantage points at which to start exploratory expeditions can greatly reduce this effort and can also ensure that no important structures are being missed. Recent research efforts have focused on entropy-based viewpoint selection criteria that depend on scalar values describing the structures of interest. In contrast, we propose a viewpoint suggestion pipeline that is based on feature-clustering in high-dimensional space. We use gradient/normal variation as a metric to identify interesting local events and then cluster these via k-means to detect important salient composite features. Next, we compute the maximum possible exposure of these composite feature for different viewpoints and calculate a 2D entropy map parameterized in longitude and latitude to point out promising view orientations. Superimposed onto an interactive track-ball interface, users can then directly use this entropy map to quickly navigate to potentially interesting viewpoints where visibility-based transfer functions can be employed to generate volume renderings that minimize occlusions. To give full exploration freedom to the user, the entropy map is updated on the fly whenever a view has been selected, pointing to new and promising but so far unseen view directions. Alternatively, our system can also use a set-cover optimization algorithm to provide a minimal set of views needed to observe all features. The views so generated could then be saved into a list for further inspection or into a gallery for a summary presentation.","https://ieeexplore.ieee.org/document/6064959/","LOCKED","6064959","Visual Analytics and Imaging (VAI) Laboratory, Center for Visual Computing, Computer Science Department, Stony Brook University, NY, USA","","Visual Analytics and Imaging (VAI) Laboratory, Center for Visual Computing, Computer Science Department, Stony Brook University, NY, USA","","https://ieeexplore.ieee.org/author/37599599100","1","Ziyi Zheng","37599599100","Visual Analytics and Imaging (VAI) Laboratory, Center for Visual Computing, Computer Science Department, Stony Brook University, NY, USA","Visual Analytics and Imaging (VAI) Laboratory, Center for Visual Computing, Computer Science Department, Stony Brook University, NY, USA","","https://ieeexplore.ieee.org/author/38021380500","2","Nafees Ahmed","38021380500","Visual Analytics and Imaging (VAI) Laboratory, Center for Visual Computing, Computer Science Department, Stony Brook University, NY, USA","Visual Analytics and Imaging (VAI) Laboratory, Center for Visual Computing, Computer Science Department, Stony Brook University, NY, USA","https://ieeexplore.ieee.org/author/37273119700","3","Klaus Mueller","37273119700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","0","Journals","10.1109/TVCG.2011.218","787","1968","https://ieeexplore.ieee.org/document/6064959/","Direct volume rendering","k-means","entropy","view suggestion","set-cover problem","ant colony optimization.","","","","Transfer functions","Entropy","Rendering (computer graphics)","Feature extraction","Clustering algorithms","","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064959","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","33","1959","iView: A Feature Clustering Framework for Suggesting Informative Views in Volume Visualization","17"
"The combination of volume data acquired by multiple modalities has been recognized as an important but challenging task. Modalities often differ in the structures they can delineate and their joint information can be used to extend the classification space. However, they frequently exhibit differing types of artifacts which makes the process of exploiting the additional information non-trivial. In this paper, we present a framework based on an information-theoretic measure of isosurface similarity between different modalities to overcome these problems. The resulting similarity space provides a concise overview of the differences between the two modalities, and also serves as the basis for an improved selection of features. Multimodal classification is expressed in terms of similarities and dissimilarities between the isosurfaces of individual modalities, instead of data value combinations. We demonstrate that our approach can be used to robustly extract features in applications such as dual energy computed tomography of parts in industrial manufacturing.","https://ieeexplore.ieee.org/document/6064960/","LOCKED","6064960","Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria","","Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria","","https://ieeexplore.ieee.org/author/37403983600","1","Martin Haidacher","37403983600","Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria","Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria","","https://ieeexplore.ieee.org/author/37265895700","2","Stefan Bruckner","37265895700","Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria","Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria","https://ieeexplore.ieee.org/author/37284271200","3","Eduard Groller","37284271200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","0","Journals","10.1109/TVCG.2011.258","598","1978","https://ieeexplore.ieee.org/document/6064960/","Multimodal data","volume visualization","surface similarity.","","","","","","","Isosurfaces","Histograms","Computed tomography","Transfer functions","Mutual information","","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064960","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","34","1969","Volume Analysis Using Multimodal Surface Similarity","17"
"Asymmetric tensor field visualization can provide important insight into fluid flows and solid deformations. Existing techniques for asymmetric tensor fields focus on the analysis, and simply use evenly-spaced hyperstreamlines on surfaces following eigenvectors and dual-eigenvectors in the tensor field. In this paper, we describe a hybrid visualization technique in which hyperstreamlines and elliptical glyphs are used in real and complex domains, respectively. This enables a more faithful representation of flow behaviors inside complex domains. In addition, we encode tensor magnitude, an important quantity in tensor field analysis, using the density of hyperstreamlines and sizes of glyphs. This allows colors to be used to encode other important tensor quantities. To facilitate quick visual exploration of the data from different viewpoints and at different resolutions, we employ an efficient image-space approach in which hyperstreamlines and glyphs are generated quickly in the image plane. The combination of these techniques leads to an efficient tensor field visualization system for domain scientists. We demonstrate the effectiveness of our visualization technique through applications to complex simulated engine fluid flow and earthquake deformation data. Feedback from domain expert scientists, who are also co-authors, is provided.","https://ieeexplore.ieee.org/document/6064961/","LOCKED","6064961","SCI, University of Utah, USA","","SCI, University of Utah, USA","","https://ieeexplore.ieee.org/author/37087942878","1","Darrel Palke","37087942878","Oregon State University, USA","Oregon State University, USA","","https://ieeexplore.ieee.org/author/37897252000","2","Zhongzang Lin","37897252000","Oregon State University, USA","Oregon State University, USA","https://ieeexplore.ieee.org/author/37069800000","3","Guoning Chen","37069800000","Oregon State University, USA","Oregon State University, USA","https://ieeexplore.ieee.org/author/37889942300","4","Harry Yeh","37889942300","Oregon State University, USA","Oregon State University, USA","","https://ieeexplore.ieee.org/author/38024282800","5","Paul Vincent","38024282800","Swansea University, UK","Swansea University, UK","","https://ieeexplore.ieee.org/author/37267247900","6","Robert Laramee","37267247900","Oregon State University, USA","Oregon State University, USA","https://ieeexplore.ieee.org/author/37398562200","7","Eugene Zhang","37398562200","","","","","","","","","","","","","21","0","Journals","10.1109/TVCG.2011.170","698","1988","https://ieeexplore.ieee.org/document/6064961/","Tensor field visualization","asymmetric tensor fields","vector field visualization","fluid dynamics","solid deformation","earthquakeengineering","glyph packing","hyperstreamline placement","view-dependent visualization.","Tensile stress","Visualization","Eigenvalues and eigenfunctions","Data visualization","Manifolds","","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064961","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","35","1979","Asymmetric Tensor Field Visualization for Surfaces","17"
"Analyzing either high-frequency shape detail or any other 2D fields (scalar or vector) embedded over a 3D geometry is a complex task, since detaching the detail from the overall shape can be tricky. An alternative approach is to move to the 2D space, resolving shape reasoning to easier image processing techniques. In this paper we propose a novel framework for the analysis of 2D information distributed over 3D geometry, based on a locally smooth parametrization technique that allows us to treat local 3D data in terms of image content. The proposed approach has been implemented as a sketch-based system that allows to design with a few gestures a set of (possibly overlapping) parameterizations of rectangular portions of the surface. We demonstrate that, due to the locality of the parametrization, the distortion is under an acceptable threshold, while discontinuities can be avoided since the parametrized geometry is always homeomorphic to a disk. We show the effectiveness of the proposed technique to solve specific Cultural Heritage (CH) tasks: the analysis of chisel marks over the surface of a unfinished sculpture and the local comparison of multiple photographs mapped over the surface of an artwork. For this very difficult task, we believe that our framework and the corresponding tool are the first steps toward a computer-based shape reasoning system, able to support CH scholars with a medium they are more used to.","https://ieeexplore.ieee.org/document/6064962/","LOCKED","6064962","CNR-ISTI, Pisa, Italy","","CNR-ISTI, Pisa, Italy","","https://ieeexplore.ieee.org/author/37680454000","1","Nico Pietroni","37680454000","Consiglio Nazionale delle Ricerche Area di Ricerca di Napoli 1, Napoli, Campania, IT","Consiglio Nazionale delle Ricerche Area di Ricerca di Napoli 1, Napoli, Campania, IT","","https://ieeexplore.ieee.org/author/37087946638","2","Corsini Massimiliano","37087946638","CNR-ISTI, Pisa, Italy","CNR-ISTI, Pisa, Italy","https://ieeexplore.ieee.org/author/37265783400","3","Paolo Cignoni","37265783400","CNR-ISTI, Pisa, Italy","CNR-ISTI, Pisa, Italy","https://ieeexplore.ieee.org/author/37270887900","4","Roberto Scopigno","37270887900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","0","Journals","10.1109/TVCG.2011.165","434","1996","https://ieeexplore.ieee.org/document/6064962/","Surface characterization","interactive inspection","Cultural Heritage","mesh parameterization","image processing.","","","","","Three dimensional displays","Shape analysis","Surface treatment","Geometry","Image processing","Length measurement","Solid modeling","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064962","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","36","1989","An Interactive Local Flattening Operator to Support Digital Investigations on Artwork Surfaces","17"
"When visualizing tubular 3D structures, external representations are often used for guidance and display, and such views in 2D can often contain occlusions. Virtual dissection methods have been proposed where the entire 3D structure can be mapped to the 2D plane, though these will lose context by straightening curved sections. We present a new method of creating maps of 3D tubular structures that yield a succinct view while preserving the overall geometric structure. Given a dominant view plane for the structure, its curve skeleton is first projected to a 2D skeleton. This 2D skeleton is adjusted to account for distortions in length, modified to remove intersections, and optimized to preserve the shape of the original 3D skeleton. Based on this shaped 2D skeleton, a boundary for the map of the object is obtained based on a slicing path through the structure and the radius around the skeleton. The sliced structure is conformally mapped to a rectangle and then deformed via harmonic mapping to match the boundary placement. This flattened map preserves the general geometric context of a 3D object in a 2D display, and rendering of this flattened map can be accomplished using volumetric ray casting. We have evaluated our method on real datasets of human colon models.","https://ieeexplore.ieee.org/document/6064963/","LOCKED","6064963","Computer Science Department, Stony Brook University, USA","","Computer Science Department, Stony Brook University, USA","","https://ieeexplore.ieee.org/author/37605959300","1","Joseph Marino","37605959300","Computer Science Department, Stony Brook University, USA","Computer Science Department, Stony Brook University, USA","","https://ieeexplore.ieee.org/author/37393948000","2","Wei Zeng","37393948000","Computer Science Department, Stony Brook University, USA","Computer Science Department, Stony Brook University, USA","https://ieeexplore.ieee.org/author/37276603700","3","Xianfeng Gu","37276603700","Computer Science Department, Stony Brook University, USA","Computer Science Department, Stony Brook University, USA","https://ieeexplore.ieee.org/author/37268052800","4","Arie Kaufman","37268052800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","1","Journals","10.1109/TVCG.2011.182","472","2004","https://ieeexplore.ieee.org/document/6064963/","Geometry-based technique","volume rendering","biomedical visualization","medical visualization","conformal mapping.","","","","","Three dimensional displays","Volume measurement","Shape analysis","Geometry","Navigation","","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064963","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","37","1997","Context Preserving Maps of Tubular Structures","17"
"Parameterization of complex surfaces constitutes a major means of visualizing highly convoluted geometric structures as well as other properties associated with the surface. It also enables users with the ability to navigate, orient, and focus on regions of interest within a global view and overcome the occlusions to inner concavities. In this paper, we propose a novel area-preserving surface parameterization method which is rigorous in theory, moderate in computation, yet easily extendable to surfaces of non-disc and closed-boundary topologies. Starting from the distortion induced by an initial parameterization, an area restoring diffeomorphic flow is constructed as a Lie advection of differential 2-forms along the manifold, which yields equality of the area elements between the domain and the original surface at its final state. Existence and uniqueness of result are assured through an analytical derivation. Based upon a triangulated surface representation, we also present an efficient algorithm in line with discrete differential modeling. As an exemplar application, the utilization of this method for the effective visualization of brain cortical imaging modalities is presented. Compared with conformal methods, our method can reveal more subtle surface patterns in a quantitative manner. It, therefore, provides a competitive alternative to the existing parameterization techniques for better surface-based analysis in various scenarios.","https://ieeexplore.ieee.org/document/6064964/","LOCKED","6064964","Wayne State University, USA","","Wayne State University, USA","","https://ieeexplore.ieee.org/author/37301933100","1","Guangyu Zou","37301933100","Wayne State University, USA","Wayne State University, USA","","https://ieeexplore.ieee.org/author/38006143400","2","Jiaxi Hu","38006143400","State University of New York, Stony Brook, USA","State University of New York, Stony Brook, USA","https://ieeexplore.ieee.org/author/37276603700","3","Xianfeng Gu","37276603700","Wayne State University, USA","Wayne State University, USA","https://ieeexplore.ieee.org/author/37285799200","4","Jing Hua","37285799200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","0","Journals","10.1109/TVCG.2011.171","505","2014","https://ieeexplore.ieee.org/document/6064964/","Area-preserving surface parameterization","differential forms","Lie advection","surface visualization.","","","","","","Vectors","Surface treatment","Geometry","Boundary conditions","Manifolds","Measurement","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064964","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","38","2005","Authalic Parameterization of General Surfaces Using Lie Advection","17"
"A fundamental challenge for time-varying volume data analysis and visualization is the lack of capability to observe and track data change or evolution in an occlusion-free, controllable, and adaptive fashion. In this paper, we propose to organize a timevarying data set into a hierarchy of states. By deriving transition probabilities among states, we construct a global map that captures the essential transition relationships in the time-varying data. We introduce the TransGraph, a graph-based representation to visualize hierarchical state transition relationships. The TransGraph not only provides a visual mapping that abstracts data evolution over time in different levels of detail, but also serves as a navigation tool that guides data exploration and tracking. The user interacts with the TransGraph and makes connection to the volumetric data through brushing and linking. A set of intuitive queries is provided to enable knowledge extraction from time-varying data. We test our approach with time-varying data sets of different characteristics and the results show that the TransGraph can effectively augment our ability in understanding time-varying data.","https://ieeexplore.ieee.org/document/6064965/","LOCKED","6064965","Department of Computer Science, Michigan Technological University, Houghton, MI, USA","","Department of Computer Science, Michigan Technological University, Houghton, MI, USA","","https://ieeexplore.ieee.org/author/38021343000","1","Yi Gu","38021343000","Department of Computer Science, Michigan Technological University, Houghton, MI, USA","Department of Computer Science, Michigan Technological University, Houghton, MI, USA","","https://ieeexplore.ieee.org/author/37405886900","2","Chaoli Wang","37405886900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","0","Journals","10.1109/TVCG.2011.246","981","2024","https://ieeexplore.ieee.org/document/6064965/","Time-varying data visualization","hierarchical representation","states","transition relationship","user interface.","","","","","Data visualization","Hierarchical systems","Histograms","Data mining","User interfaces","","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064965","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","39","2015","TransGraph: Hierarchical Exploration of Transition Relationships in Time-Varying Volumetric Data","17"
"Visual analysis is widely used to study the behavior of molecules. Of particular interest are the analysis of molecular interactions and the investigation of binding sites. For large molecules, however, it is difficult to detect possible binding sites and paths leading to these sites by pure visual inspection. In this paper, we present new methods for the computation and visualization of potential molecular paths. Using a novel filtering method, we extract the significant paths from the Voronoi diagram of spheres. For the interactive visualization of molecules and their paths, we present several methods using deferred shading and other state-of-theart techniques. To allow for a fast overview of reachable regions of the molecule, we illuminate the molecular surface using a large number of light sources placed on the extracted paths. We also provide a method to compute the extension surface of selected paths and visualize it using the skin surface. Furthermore, we use the extension surface to clip the molecule to allow easy visual tracking of even deeply buried paths. The methods are applied to several proteins to demonstrate their usefulness.","https://ieeexplore.ieee.org/document/6064966/","LOCKED","6064966","Zuse Institute Berlin, Germany","","Zuse Institute Berlin, Germany","","https://ieeexplore.ieee.org/author/38017029700","1","Norbert Lindow","38017029700","Zuse Institute Berlin, Germany","Zuse Institute Berlin, Germany","","https://ieeexplore.ieee.org/author/38182750200","2","Daniel Baum","38182750200","Zuse Institute Berlin, Germany","Zuse Institute Berlin, Germany","https://ieeexplore.ieee.org/author/37282272000","3","Hans-Christian Hege","37282272000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","0","Journals","10.1109/TVCG.2011.259","882","2034","https://ieeexplore.ieee.org/document/6064966/","Molecular visualization","data filtering","geometry-based techniques","view-dependent visualization.","","","","","","Topology","Logic gates","Atomic measurements","Cavity resonators","Molecular computing","Filtering theory","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064966","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","40","2025","Voronoi-Based Extraction and Visualization of Molecular Paths","17"
"Study of symmetric or repeating patterns in scalar fields is important in scientific data analysis because it gives deep insights into the properties of the underlying phenomenon. Though geometric symmetry has been well studied within areas like shape processing, identifying symmetry in scalar fields has remained largely unexplored due to the high computational cost of the associated algorithms. We propose a computationally efficient algorithm for detecting symmetric patterns in a scalar field distribution by analysing the topology of level sets of the scalar field. Our algorithm computes the contour tree of a given scalar field and identifies subtrees that are similar. We define a robust similarity measure for comparing subtrees of the contour tree and use it to group similar subtrees together. Regions of the domain corresponding to subtrees that belong to a common group are extracted and reported to be symmetric. Identifying symmetry in scalar fields finds applications in visualization, data exploration, and feature detection. We describe two applications in detail: symmetry-aware transfer function design and symmetry-aware isosurface extraction.","https://ieeexplore.ieee.org/document/6064967/","LOCKED","6064967","Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India","","Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India","","https://ieeexplore.ieee.org/author/38258503300","1","Dilip Mathew Thomas","38258503300","Department of Computer Science and Automation, and Supercomputer Education Research Centre, Indian Institute of Science, Bangalore, India","Department of Computer Science and Automation, and Supercomputer Education Research Centre, Indian Institute of Science, Bangalore, India","","https://ieeexplore.ieee.org/author/37278509300","2","Vijay Natarajan","37278509300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","0","Journals","10.1109/TVCG.2011.236","630","2044","https://ieeexplore.ieee.org/document/6064967/","Scalar field symmetry","contour tree","similarity measure","persistence","isosurface extraction","transfer function design.","","","","Shape analysis","Vectors","Level set","Topology","Robustness","Transfer functions","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064967","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","41","2035","Symmetry in Scalar Field Topology","17"
"This paper introduces a novel importance measure for critical points in 2D scalar fields. This measure is based on a combination of the deep structure of the scale space with the well-known concept of homological persistence. We enhance the noise robust persistence measure by implicitly taking the hill-, ridge- and outlier-like spatial extent of maxima and minima into account. This allows for the distinction between different types of extrema based on their persistence at multiple scales. Our importance measure can be computed efficiently in an out-of-core setting. To demonstrate the practical relevance of our method we apply it to a synthetic and a real-world data set and evaluate its performance and scalability.","https://ieeexplore.ieee.org/document/6064968/","LOCKED","6064968","Zuse Institute Berlin, Germany","","Zuse Institute Berlin, Germany","","https://ieeexplore.ieee.org/author/37590998600","1","Jan Reininghaus","37590998600","Technische Universitat Kaiserslautern, Kaiserslautern, Rheinland-Pfalz, DE","Technische Universitat Kaiserslautern, Kaiserslautern, Rheinland-Pfalz, DE","","https://ieeexplore.ieee.org/author/38233218800","2","Natallia Kotava","38233218800","Zuse Institute Berlin, Germany","Zuse Institute Berlin, Germany","https://ieeexplore.ieee.org/author/37087448816","3","David Guenther","37087448816","Zuse Institute Berlin, Germany","Zuse Institute Berlin, Germany","https://ieeexplore.ieee.org/author/38028453100","4","Jens Kasten","38028453100","University of Kaiserslautern, Germany","University of Kaiserslautern, Germany","","https://ieeexplore.ieee.org/author/37282578800","5","Hans Hagen","37282578800","Zuse Institute Berlin, Germany","Zuse Institute Berlin, Germany","","https://ieeexplore.ieee.org/author/37282721800","6","Ingrid Hotz","37282721800","","","","","","","","","","","","","","","","","","","22","0","Journals","10.1109/TVCG.2011.159","502","2052","https://ieeexplore.ieee.org/document/6064968/","Scale space","persistence","discrete Morse theory.","","","","","","","Feature extraction","Noise measurement","Noise robustness","Laplace equations","Scalability","","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064968","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","42","2045","A Scale Space Based Persistence Measure for Critical Points in 2D Scalar Fields","17"
"Multi-valued data sets are increasingly common, with the number of dimensions growing. A number of multi-variate visualization techniques have been presented to display such data. However, evaluating the utility of such techniques for general data sets remains difficult. Thus most techniques are studied on only one data set. Another criticism that could be levied against previous evaluations of multi-variate visualizations is that the task doesn't require the presence of multiple variables. At the same time, the taxonomy of tasks that users may perform visually is extensive. We designed a task, trend localization, that required comparison of multiple data values in a multi-variate visualization. We then conducted a user study with this task, evaluating five multivariate visualization techniques from the literature (Brush Strokes, Data-Driven Spots, Oriented Slivers, Color Blending, Dimensional Stacking) and juxtaposed grayscale maps. We report the results and discuss the implications for both the techniques and the task.","https://ieeexplore.ieee.org/document/6064969/","LOCKED","6064969","Naval Research Laboratory, USA","","Naval Research Laboratory, USA","","https://ieeexplore.ieee.org/author/37300434300","1","Mark A. Livingston","37300434300","Naval Research Laboratory, USA","Naval Research Laboratory, USA","","https://ieeexplore.ieee.org/author/37681593700","2","Jonathan W. Decker","37681593700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","0","Journals","10.1109/TVCG.2011.194","598","2062","https://ieeexplore.ieee.org/document/6064969/","User study","multi-variate visualization","visual task design","visual analytics.","","","","","","Data visualization","Image color analysis","Data visualization","Gray-scale","Shape analysis","","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064969","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","43","2053","Evaluation of Trend Localization with Multi-Variate Visualizations","17"
