"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorAffiliations_authorAffiliation_1","articles_authors_authors_0_authorAffiliations_authorAffiliation_2","articles_authors_authors_0_authorAffiliations_authorAffiliation_3","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorAffiliations_authorAffiliation_1","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorAffiliations_authorAffiliation_1","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorAffiliations_authorAffiliation_1","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation_0","articles_authors_authors_4_authorAffiliations_authorAffiliation_1","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorAffiliations_authorAffiliation_0","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorAffiliations_authorAffiliation_0","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorAffiliations_authorAffiliation_0","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorAffiliations_authorAffiliation_0","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_11","articles_index_terms_author_terms_terms_12","articles_index_terms_author_terms_terms_13","articles_index_terms_author_terms_terms_14","articles_index_terms_author_terms_terms_15","articles_index_terms_author_terms_terms_16","articles_index_terms_author_terms_terms_17","articles_index_terms_author_terms_terms_18","articles_index_terms_author_terms_terms_19","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_20","articles_index_terms_author_terms_terms_21","articles_index_terms_author_terms_terms_22","articles_index_terms_author_terms_terms_23","articles_index_terms_author_terms_terms_24","articles_index_terms_author_terms_terms_25","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_insert_date","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume" 
"Multivariate time series data can be found in many application domains. Examples include data from computer networks, healthcare, social networks, or financial markets. Often, patterns in such data evolve over time among multiple dimensions and are hard to detect. Dimensionality reduction methods such as PCA and MDS allow analysis and visualization of multivariate data, but per se do not provide means to explore multivariate patterns over time. We propose Temporal Multidimensional Scaling (TMDS), a novel visualization technique that computes temporal one-dimensional MDS plots for multivariate data which evolve over time. Using a sliding window approach, MDS is computed for each data window separately, and the results are plotted sequentially along the time axis, taking care of plot alignment. Our TMDS plots enable visual identification of patterns based on multidimensional similarity of the data evolving over time. We demonstrate the usefulness of our approach in the field of network security and show in two case studies how users can iteratively explore the data to identify previously unknown, temporally evolving patterns.","https://ieeexplore.ieee.org/document/7192673/","LOCKED","7192673","University of Konstanz, Germany","University of Konstanz, Germany","","","","https://ieeexplore.ieee.org/author/38233561600","1","Dominik Jäckle","38233561600","University of Konstanz, Germany","University of Konstanz, Germany","","https://ieeexplore.ieee.org/author/38242836400","2","Fabian Fischer","38242836400","Graz University of Technology, Austria","","Graz University of Technology, Austria","","https://ieeexplore.ieee.org/author/37282557600","3","Tobias Schreck","37282557600","University of Konstanz, Germany","","University of Konstanz, Germany","","https://ieeexplore.ieee.org/author/37283138700","4","Daniel A. Keim","37283138700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","1","Journals","10.1109/TVCG.2015.2467553","1864","150","https://ieeexplore.ieee.org/document/7192673/","Multivariate Data","Time Series","","","","","","","","","","","Data Reduction","","","","","","","Multidimensional Scaling","Multivariate Data","Time Series","Data Reduction","Multidimensional Scaling","","","Data visualization","Visualization","Correlation","Security","Communication networks","Indexes","Layout","20150812","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192673","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","27","141","Temporal MDS Plots for Analysis of Multivariate Data","22"
"Sketching designs has been shown to be a useful way of planning and considering alternative solutions. The use of lo-fidelity prototyping, especially paper-based sketching, can save time, money and converge to better solutions more quickly. However, this design process is often viewed to be too informal. Consequently users do not know how to manage their thoughts and ideas (to first think divergently, to then finally converge on a suitable solution). We present the Five Design Sheet (FdS) methodology. The methodology enables users to create information visualization interfaces through lo-fidelity methods. Users sketch and plan their ideas, helping them express different possibilities, think through these ideas to consider their potential effectiveness as solutions to the task (sheet 1); they create three principle designs (sheets 2,3 and 4); before converging on a final realization design that can then be implemented (sheet 5). In this article, we present (i) a review of the use of sketching as a planning method for visualization and the benefits of sketching, (ii) a detailed description of the Five Design Sheet (FdS) methodology, and (iii) an evaluation of the FdS using the System Usability Scale, along with a case-study of its use in industry and experience of its use in teaching.","https://ieeexplore.ieee.org/document/7192707/","LOCKED","7192707","School of Computer Science, Bangor University","School of Computer Science, Bangor University","","","","https://ieeexplore.ieee.org/author/37278794800","1","Jonathan C. Roberts","37278794800","School of Computer Science, Bangor University","School of Computer Science, Bangor University","","https://ieeexplore.ieee.org/author/37085672046","2","Chris Headleand","37085672046","Department of Computer Science, University of Chester","","Department of Computer Science, University of Chester","","https://ieeexplore.ieee.org/author/37563585800","3","Panagiotis D. Ritsos","37563585800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","0","Journals","10.1109/TVCG.2015.2467271","2883","428","https://ieeexplore.ieee.org/document/7192707/","Lo-fidelity prototyping","User-centred design","C1140Z","C1160","","","","","","","","","Sketching for visualization","","","","","","","Ideation","Lo-fidelity prototyping","User-centred design","Sketching for visualization","Ideation","C4240C","C4210L","Visualization","Data visualization","Prototypes","Planning","Computer science","Companies","","20150812","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192707","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","28","419","Sketching Designs Using the Five Design-Sheet Methodology","22"
"RadViz and star coordinates are two of the most popular projection-based multivariate visualization techniques that arrange variables in radial layouts. Formally, the main difference between them consists of a nonlinear normalization step inherent in RadViz. In this paper we show that, although RadViz can be useful when analyzing sparse data, in general this design choice limits its applicability and introduces several drawbacks for exploratory data analysis. In particular, we observe that the normalization step introduces nonlinear distortions, can encumber outlier detection, prevents associating the plots with useful linear mappings, and impedes estimating original data attributes accurately. In addition, users have greater flexibility when choosing different layouts and views of the data in star coordinates. Therefore, we suggest that analysts and researchers should carefully consider whether RadViz's normalization step is beneficial regarding the data sets' characteristics and analysis tasks.","https://ieeexplore.ieee.org/document/7192699/","LOCKED","7192699","URJC","URJC","","","","https://ieeexplore.ieee.org/author/37085558323","1","Manuel Rubio-Sánchez","37085558323","U-tad","U-tad","","https://ieeexplore.ieee.org/author/37713856400","2","Laura Raya","37713856400","UPM","","UPM","","https://ieeexplore.ieee.org/author/37085686255","3","Francisco Díaz","37085686255","URJC and CCS","","URJC and CCS","","https://ieeexplore.ieee.org/author/37270045700","4","Alberto Sanchez","37270045700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","0","Journals","10.1109/TVCG.2015.2467324","1303","628","https://ieeexplore.ieee.org/document/7192699/","RadViz","Star coordinates","Classification","Outlier detection","","","","","","","","","Exploratory data analysis","","","","","","","Cluster analysis","Classication","Outlier detection","RadViz","Star coordinates","Exploratory data analysis","Cluster analysis","Distributed databases","Data visualization","Layout","Springs","Shape","Data analysis","Nonlinear distortion","20150812","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192699","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","29","619","A comparative study between RadViz and Star Coordinates","22"
"We present results from an experiment aimed at using logs of interactions with a visual analytics application to better understand how interactions lead to insight generation. We performed an insight-based user study of a visual analytics application and ran post hoc quantitative analyses of participants' measured insight metrics and interaction logs. The quantitative analyses identified features of interaction that were correlated with insight characteristics, and we confirmed these findings using a qualitative analysis of video captured during the user study. Results of the experiment include design guidelines for the visual analytics application aimed at supporting insight generation. Furthermore, we demonstrated an analysis method using interaction logs that identified which interaction patterns led to insights, going beyond insight-based evaluations that only quantify insight characteristics. We also discuss choices and pitfalls encountered when applying this analysis method, such as the benefits and costs of applying an abstraction framework to application-specific actions before further analysis. Our method can be applied to evaluations of other visualization tools to inform the design of insight-promoting interactions and to better understand analyst behaviors.","https://ieeexplore.ieee.org/document/7192662/","LOCKED","7192662","Brown University","Brown University","","","","https://ieeexplore.ieee.org/author/38489241200","1","Hua Guo","38489241200","Brown University","Brown University","","https://ieeexplore.ieee.org/author/38489539100","2","Steven R. Gomez","38489539100","Aptima Inc.","","Aptima Inc.","","https://ieeexplore.ieee.org/author/37548028800","3","Caroline Ziemkiewicz","37548028800","Brown University","","Brown University","","https://ieeexplore.ieee.org/author/37275712600","4","David H. Laidlaw","37275712600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","0","Journals","10.1109/TVCG.2015.2467613","2089","60","https://ieeexplore.ieee.org/document/7192662/","Evaluation","visual analytics","","","","","","","","","","","interaction","","","","","","","intelligence analysis","insight-based evaluation","Evaluation","visual analytics","interaction","intelligence analysis","insight-based evaluation","Visual analytics","History","Encoding","Correlation","Measurement","Statistical analysis","","20150812","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192662","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","30","51","A Case Study Using Visualization Interaction Logs and Insight Metrics to Understand How Analysts Arrive at Insights","22"
"Over the last 50 years a wide variety of automatic network layout algorithms have been developed. Some are fast heuristic techniques suitable for networks with hundreds of thousands of nodes while others are multi-stage frameworks for higher-quality layout of smaller networks. However, despite decades of research currently no algorithm produces layout of comparable quality to that of a human. We give a new “human-centred” methodology for automatic network layout algorithm design that is intended to overcome this deficiency. User studies are first used to identify the aesthetic criteria algorithms should encode, then an algorithm is developed that is informed by these criteria and finally, a follow-up study evaluates the algorithm output. We have used this new methodology to develop an automatic orthogonal network layout method, HOLA, that achieves measurably better (by user study) layout than the best available orthogonal layout algorithm and which produces layouts of comparable quality to those produced by hand.","https://ieeexplore.ieee.org/document/7192690/","LOCKED","7192690","Monash University and NICTA Victoria","Monash University and NICTA Victoria","","","","https://ieeexplore.ieee.org/author/37085607255","1","Steve Kieffer","37085607255","Monash University","Monash University","","https://ieeexplore.ieee.org/author/37326161000","2","Tim Dwyer","37326161000","Monash University and NICTA Victoria","","Monash University and NICTA Victoria","","https://ieeexplore.ieee.org/author/37354163600","3","Kim Marriott","37354163600","Monash University","","Monash University","","https://ieeexplore.ieee.org/author/37867777700","4","Michael Wybrow","37867777700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","0","Journals","10.1109/TVCG.2015.2467451","1720","358","https://ieeexplore.ieee.org/document/7192690/","Graph layout","orthogonal layout","","","","","","","","","","","automatic layout algorithms","","","","","","","user-generated layout","graph-drawing aesthetics","Graph layout","orthogonal layout","automatic layout algorithms","user-generated layout","graph-drawing aesthetics","Layout","Algorithm design and analysis","Manuals","Standards","Software algorithms","Visualization","Software","20150812","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192690","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","31","349","HOLA: Human-like Orthogonal Network Layout","22"
"Although there has been a great deal of interest in analyzing customer opinions and breaking news in microblogs, progress has been hampered by the lack of an effective mechanism to discover and retrieve data of interest from microblogs. To address this problem, we have developed an uncertainty-aware visual analytics approach to retrieve salient posts, users, and hashtags. We extend an existing ranking technique to compute a multifaceted retrieval result: the mutual reinforcement rank of a graph node, the uncertainty of each rank, and the propagation of uncertainty among different graph nodes. To illustrate the three facets, we have also designed a composite visualization with three visual components: a graph visualization, an uncertainty glyph, and a flow map. The graph visualization with glyphs, the flow map, and the uncertainty analysis together enable analysts to effectively find the most uncertain results and interactively refine them. We have applied our approach to several Twitter datasets. Qualitative evaluation and two real-world case studies demonstrate the promise of our approach for retrieving high-quality microblog data.","https://ieeexplore.ieee.org/document/7192694/","LOCKED","7192694","Tsinghua University","Tsinghua University","","","","https://ieeexplore.ieee.org/author/37077049000","1","Mengchen Liu","37077049000","Tsinghua University","Tsinghua University","","https://ieeexplore.ieee.org/author/37406039100","2","Shixia Liu","37406039100","USTC","","USTC","","https://ieeexplore.ieee.org/author/37086226296","3","Xizhou Zhu","37086226296","Microsoft","","Microsoft","","https://ieeexplore.ieee.org/author/37085674690","4","Qinying Liao","37085674690","Microsoft","","Microsoft","","https://ieeexplore.ieee.org/author/37085490145","5","Furu Wei","37085490145","University of Maryland, Baltimore County","University of Maryland, Baltimore County","https://ieeexplore.ieee.org/author/37085387717","6","Shimei Pan","37085387717","","","","","","","","","","","","","","","","","","","46","0","Journals","10.1109/TVCG.2015.2467554","1259","259","https://ieeexplore.ieee.org/document/7192694/","microblog data","mutual reinforcement model","","","","","","","","","","","uncertainty modeling","","","","","","","uncertainty visualization","uncertainty propagation","microblog data","mutual reinforcement model","uncertainty modeling","uncertainty visualization","uncertainty propagation","Uncertainty","Twitter","Tagging","Data visualization","Visual analytics","Monte Carlo methods","Data models","20150812","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192694","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","32","250","An Uncertainty-Aware Approach for Exploratory Microblog Retrieval","22"
"We present a new visualization approach for displaying eye tracking data from multiple participants. We aim to show the spatio-temporal data of the gaze points in the context of the underlying image or video stimulus without occlusion. Our technique, denoted as gaze stripes, does not require the explicit definition of areas of interest but directly uses the image data around the gaze points, similar to thumbnails for images. A gaze stripe consists of a sequence of such gaze point images, oriented along a horizontal timeline. By displaying multiple aligned gaze stripes, it is possible to analyze and compare the viewing behavior of the participants over time. Since the analysis is carried out directly on the image data, expensive post-processing or manual annotation are not required. Therefore, not only patterns and outliers in the participants' scanpaths can be detected, but the context of the stimulus is available as well. Furthermore, our approach is especially well suited for dynamic stimuli due to the non-aggregated temporal mapping. Complementary views, i.e., markers, notes, screenshots, histograms, and results from automatic clustering, can be added to the visualization to display analysis results. We illustrate the usefulness of our technique on static and dynamic stimuli. Furthermore, we discuss the limitations and scalability of our approach in comparison to established visualization techniques.","https://ieeexplore.ieee.org/document/7194851/","LOCKED","7194851","University of Stuttgart","University of Stuttgart","","","","https://ieeexplore.ieee.org/author/38489885500","1","Kuno Kurzhals","38489885500","University of Stuttgart","University of Stuttgart","","https://ieeexplore.ieee.org/author/37546168600","2","Marcel Hlawatsch","37546168600","University of Stuttgart","","University of Stuttgart","","https://ieeexplore.ieee.org/author/38490630000","3","Florian Heimerl","38490630000","University of Stuttgart","","University of Stuttgart","","https://ieeexplore.ieee.org/author/37586953400","4","Michael Burch","37586953400","University of Stuttgart","","University of Stuttgart","","https://ieeexplore.ieee.org/author/37268023800","5","Thomas Ertl","37268023800","University of Stuttgart","University of Stuttgart","https://ieeexplore.ieee.org/author/37268045000","6","Daniel Weiskopf","37268045000","","","","","","","","","","","","","","","","","","","46","0","Journals","10.1109/TVCG.2015.2468091","2408","1014","https://ieeexplore.ieee.org/document/7194851/","Eye tracking","time-dependent data","","","","","","","","","","","spatio-temporal visualization","","","","","","","Eye tracking","time-dependent data","spatio-temporal visualization","","","","","Data visualization","Context","Gaze tracking","Visualization","Histograms","Clustering algorithms","Manuals","20150813","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7194851","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","33","1005","Gaze Stripes: Image-Based Visualization of Eye Tracking Data","22"
"We present TimeSpan, an exploratory visualization tool designed to gain a better understanding of the temporal aspects of the stroke treatment process. Working with stroke experts, we seek to provide a tool to help improve outcomes for stroke victims. Time is of critical importance in the treatment of acute ischemic stroke patients. Every minute that the artery stays blocked, an estimated 1.9 million neurons and 12 km of myelinated axons are destroyed. Consequently, there is a critical need for efficiency of stroke treatment processes. Optimizing time to treatment requires a deep understanding of interval times. Stroke health care professionals must analyze the impact of procedures, events, and patient attributes on time-ultimately, to save lives and improve quality of life after stroke. First, we interviewed eight domain experts, and closely collaborated with two of them to inform the design of TimeSpan. We classify the analytical tasks which a visualization tool should support and extract design goals from the interviews and field observations. Based on these tasks and the understanding gained from the collaboration, we designed TimeSpan, a web-based tool for exploring multi-dimensional and temporal stroke data. We describe how TimeSpan incorporates factors from stacked bar graphs, line charts, histograms, and a matrix visualization to create an interactive hybrid view of temporal data. From feedback collected from domain experts in a focus group session, we reflect on the lessons we learned from abstracting the tasks and iteratively designing TimeSpan.","https://ieeexplore.ieee.org/document/7192713/","LOCKED","7192713","Department of Computer Science, University of Calgary","Department of Computer Science, University of Calgary","","","","https://ieeexplore.ieee.org/author/37085698406","1","Mona Hosseinkhani Loorak","37085698406","Department of Computer Science, University of Calgary","Department of Computer Science, University of Calgary","","https://ieeexplore.ieee.org/author/37077505300","2","Charles Perin","37077505300","Department of Clinical Neurosciences, University of Calgary","","Department of Clinical Neurosciences, University of Calgary","","https://ieeexplore.ieee.org/author/37085696341","3","Noreen Kamal","37085696341","Department of Clinical Neurosciences, University of Calgary","","Department of Clinical Neurosciences, University of Calgary","","https://ieeexplore.ieee.org/author/37085692671","4","Michael Hill","37085692671","Department of Computer Science, University of Calgary","","Department of Computer Science, University of Calgary","","https://ieeexplore.ieee.org/author/37285000100","5","Sheelagh Carpendale","37285000100","","","","","","","","","","","","","","","","","","","","","","","","","45","0","Journals","10.1109/TVCG.2015.2467325","1656","418","https://ieeexplore.ieee.org/document/7192713/","Multi-dimensional data,","Temporal event sequences","","","","","","","","","","","Electronic health records","","","","","","","Multi-dimensional data","Temporal event sequences","Electronic health records","","","","","Data visualization","Hospitals","Delays","Visualization","Interviews","Computed tomography","Needles","20150812","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192713","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","34","409","TimeSpan: Using Visualization to Explore Temporal Multi-dimensional Data of Stroke Patients","22"
"Topic modeling, a method of statistically extracting thematic content from a large collection of texts, is used for a wide variety of tasks within text analysis. Though there are a growing number of tools and techniques for exploring single models, comparisons between models are generally reduced to a small set of numerical metrics. These metrics may or may not reflect a model's performance on the analyst's intended task, and can therefore be insufficient to diagnose what causes differences between models. In this paper, we explore task-centric topic model comparison, considering how we can both provide detail for a more nuanced understanding of differences and address the wealth of tasks for which topic models are used. We derive comparison tasks from single-model uses of topic models, which predominantly fall into the categories of understanding topics, understanding similarity, and understanding change. Finally, we provide several visualization techniques that facilitate these tasks, including buddy plots, which combine color and position encodings to allow analysts to readily view changes in document similarity.","https://ieeexplore.ieee.org/document/7194832/","LOCKED","7194832","University of Wisconsin-Madison","University of Wisconsin-Madison","","","","https://ieeexplore.ieee.org/author/37085354962","1","Eric Alexander","37085354962","University of Wisconsin-Madison","University of Wisconsin-Madison","","https://ieeexplore.ieee.org/author/37282585700","2","Michael Gleicher","37282585700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","0","Journals","10.1109/TVCG.2015.2467618","1766","329","https://ieeexplore.ieee.org/document/7194832/","Text visualization","topic modeling","","","","","","","","","","","Text visualization","","","","","","","topic modeling","","","","","","","Measurement","Computational modeling","Encoding","Visualization","Color","Analytical models","Numerical models","20150813","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7194832","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","35","320","Task-Driven Comparison of Topic Models","22"
"An eddy is a feature associated with a rotating body of fluid, surrounded by a ring of shearing fluid. In the ocean, eddies are 10 to 150 km in diameter, are spawned by boundary currents and baroclinic instabilities, may live for hundreds of days, and travel for hundreds of kilometers. Eddies are important in climate studies because they transport heat, salt, and nutrients through the world's oceans and are vessels of biological productivity. The study of eddies in global ocean-climate models requires large-scale, high-resolution simulations. This poses a problem for feasible (timely) eddy analysis, as ocean simulations generate massive amounts of data, causing a bottleneck for traditional analysis workflows. To enable eddy studies, we have developed an in situ workflow for the quantitative and qualitative analysis of MPAS-Ocean, a high-resolution ocean climate model, in collaboration with the ocean model research and development process. Planned eddy analysis at high spatial and temporal resolutions will not be possible with a postprocessing workflow due to various constraints, such as storage size and I/O time, but the in situ workflow enables it and scales well to ten-thousand processing elements.","https://ieeexplore.ieee.org/document/7192723/","LOCKED","7192723","Los Alamos National Laboratory, USA","Los Alamos National Laboratory, USA","","","","https://ieeexplore.ieee.org/author/37542815100","1","Jonathan Woodring","37542815100","Los Alamos National Laboratory, USA","Los Alamos National Laboratory, USA","","https://ieeexplore.ieee.org/author/37529329300","2","Mark Petersen","37529329300","Computer Graphics and HCI Group, University of Kaiserslautern, Germany","","Computer Graphics and HCI Group, University of Kaiserslautern, Germany","","https://ieeexplore.ieee.org/author/37088704468","3","Andre Schmeißer","37088704468","Los Alamos National Laboratory, USA","","Los Alamos National Laboratory, USA","","https://ieeexplore.ieee.org/author/37570501800","4","John Patchett","37570501800","Los Alamos National Laboratory, USA","","Los Alamos National Laboratory, USA","","https://ieeexplore.ieee.org/author/37282713700","5","James Ahrens","37282713700","Computer Graphics and HCI Group, University of Kaiserslautern, Germany","Computer Graphics and HCI Group, University of Kaiserslautern, Germany","https://ieeexplore.ieee.org/author/37282578800","6","Hans Hagen","37282578800","","","","","","","","","","","","","","","","","","","44","0","Journals","10.1109/TVCG.2015.2467411","881","866","https://ieeexplore.ieee.org/document/7192723/","In situ analysis","online analysis","software engineering","collaborative development","revision control","In situ analysis","online analysis","mesoscale eddies","ocean modeling","climate modeling","simulation","feature extraction","mesoscale eddies","feature analysis","high performance computing","supercomputing","software engineering","collaborative development","revision control","ocean modeling","climate modeling","simulation","feature extraction","feature analysis","high performance computing","supercomputing","Oceans","Analytical models","Computational modeling","Meteorology","Computer architecture","Atmospheric modeling","Microprocessors","20150812","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192723","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","36","857","In Situ Eddy Analysis in a High-Resolution Ocean Climate Model","22"
"In this paper we discuss the creation of visual mementos as a new application area for visualization. We define visual mementos as visualizations of personally relevant data for the purpose of reminiscing, and sharing of life experiences. Today more people collect digital information about their life than ever before. The shift from physical to digital archives poses new challenges and opportunities for self-reflection and self-representation. Drawing on research on autobiographical memory and on the role of artifacts in reminiscing, we identified design challenges for visual mementos: mapping data to evoke familiarity, expressing subjectivity, and obscuring sensitive details for sharing. Visual mementos can make use of the known strengths of visualization in revealing patterns to show the familiar instead of the unexpected, and extend representational mappings beyond the objective to include the more subjective. To understand whether people's subjective views on their past can be reflected in a visual representation, we developed, deployed and studied a technology probe that exemplifies our concept of visual mementos. Our results show how reminiscing has been supported and reveal promising new directions for self-reflection and sharing through visual mementos of personal experiences.","https://ieeexplore.ieee.org/document/7192708/","LOCKED","7192708","University of Calgary","University of Calgary","","","","https://ieeexplore.ieee.org/author/37085741208","1","Alice Thudt","37085741208","An Independent Researcher","An Independent Researcher","","https://ieeexplore.ieee.org/author/37590949400","2","Dominikus Baur","37590949400","IRI","","IRI","University of Calgary","https://ieeexplore.ieee.org/author/37077910700","3","Samuel Huron","37077910700","University of Calgary","","University of Calgary","","https://ieeexplore.ieee.org/author/37285000100","4","Sheelagh Carpendale","37285000100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","3","Journals","10.1109/TVCG.2015.2467831","1880","378","https://ieeexplore.ieee.org/document/7192708/","Visual Memento","Memories","","","","","","","","","","","Personal Visualization","","","","","","","Movement Data","World Wide Web","Visual Memento","Memories","Personal Visualization","Movement Data","World Wide Web","Visualization","Data visualization","History","Data privacy","Privacy","Loading","Global Positioning System","20150812","7307919","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7192708","31 Jan. 2016","2945","IEEE Transactions on Visualization and Computer Graphics","2016","IEEE","37","369","Visual Mementos: Reflecting Memories with Personal Data","22"
