"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Studies have found conflicting results regarding the effectiveness of tube-like structures for representing 3D flow data. This paper presents the findings of a small-scale pilot study contrasting static monoscopic depth cues to ascertain their importance in perceiving the orientation of a three-dimensional glyph with respect to a cutting plane. A simple striped texture and shading were found to reduce judgement errors when used with a 3D tube glyph as compared to plain or shaded line glyphs. A discussion of considerations for a full-scale study and possible future work follows.","https://ieeexplore.ieee.org/document/7429513/","LOCKED","7429513","University of New Hampshire","https://ieeexplore.ieee.org/author/37265850800","1","Colin Ware","37265850800","University of New Hampshire","https://ieeexplore.ieee.org/author/37085713831","2","Andrew H. Stevens","37085713831","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429513","162","https://ieeexplore.ieee.org/document/7429513/","Cutting plane","depth cues","flow visualization","","","","Visualization","Conferences","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429513","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","11","161","Visualizing 3D flow through cutting planes"
"We present a novel model based on high-order access dependencies for high performance pathline computation in flow field. The high-order access dependencies are defined as transition probabilities from one data block to other blocks based on a few historical data accesses. Compared with existing methods which employed first-order access dependencies, our approach takes the advantages of high order access dependencies with higher accuracy and reliability in data access prediction. In our work, high-order access dependencies are calculated by tracing densely-seeded pathlines. The efficiency of our proposed approach is demonstrated through a parallel particle tracing framework with high-order data prefetching. Results show that our method can achieve higher data locality than the first-order access dependencies based method, thereby reducing the I/O requests and improving the efficiency of pathline computation in various applications.","https://ieeexplore.ieee.org/document/7429515/","LOCKED","7429515","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37085458356","1","Jiang Zhang","37085458356","Argonne National Laboratory","https://ieeexplore.ieee.org/author/37085681553","2","Hanqi Guo","37085681553","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37403856700","3","Xiaoru Yuan","37403856700","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429515","166","https://ieeexplore.ieee.org/document/7429515/","Flow visualization","High-Order","Data prefetching","","","","Prefetching","Data visualization","Computational modeling","Data models","Electronic mail","Scalability","Computational fluid dynamics","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429515","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","12","165","High performance flow field visualization with high-order access dependencies"
"This paper presents a novel application that visualizes dark matter halo merger trees and their evolution through space and time. Our application enables users to interact with individual halos within these trees in order to perform a range of visual analysis tasks, including: identifying the substructure and superstructure of the halos; observing the movement of halos across a custom range of time steps; and comparing the branching attributes of multiple trees. Central to our application is the ability to navigate the halos by interactively ""jumping"" from tree to tree. By clearly marking halos that have ""tributaries"" — that is, that split off into multiple halos or merge with one or more halos — we make it easy for the user to traverse the complex structure of the universe. Our application is publicly available1 online and runs at interactive rates on the browser using hardware-accelerated graphics.","https://ieeexplore.ieee.org/document/7429495/","LOCKED","7429495","University of Illinois at Chicago","https://ieeexplore.ieee.org/author/37085728341","1","Kyle R. Almryde","37085728341","University of Illinois at Chicago","https://ieeexplore.ieee.org/author/38180697500","2","Angus G. Forbes","38180697500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429495","77","https://ieeexplore.ieee.org/document/7429495/","","","","","","","","","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429495","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","13","73","Halos in a dark sky: Interactively exploring the structure of dark matter halo merger trees"
"We present the design and implementation of an immersive visual mining and analysis tool for cosmological data. The tool consists of an immersive linked multiview display which allows domain experts to interact with visual representations of spatial and nonspatial cosmology data. Nonspatial data is represented as time-aligned merger trees, and through a pixel-based heatmap. Spatial data is represented through GPU-accelerated point clouds and geometric primitives. The user can select a halo and visualize a 3D representation of the raw particles, as well as of the halos at the particular time stamp. We have demonstrated the tool to a senior staff member of the Adler Planetarium and report their feedback. The tool can assist researchers in the interaction navigation and mining of large scale cosmological simulation data.","https://ieeexplore.ieee.org/document/7429497/","LOCKED","7429497","Electronic Visualization Laboratory University of Illinois at Chicago","https://ieeexplore.ieee.org/author/37085778645","1","Peter Hanula","37085778645","Electronic Visualization Laboratory University of Illinois at Chicago","https://ieeexplore.ieee.org/author/37085775128","2","Kamil Piekutowski","37085775128","Electronic Visualization Laboratory University of Illinois at Chicago","https://ieeexplore.ieee.org/author/38181235500","3","Carlos Uribe","38181235500","Electronic Visualization Laboratory University of Illinois at Chicago","https://ieeexplore.ieee.org/author/37085728341","4","Kyle Almryde","37085728341","Electronic Visualization Laboratory University of Illinois at Chicago","https://ieeexplore.ieee.org/author/37085621999","5","Arthur Nishimoto","37085621999","Adler Planetarium, Chicago, IL","https://ieeexplore.ieee.org/author/38119648300","6","Julieta Aguilera","38119648300","Electronic Visualization Laboratory University of Illinois at Chicago","","7","G. Elisabeta Marai","","","","","","","3","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429497","99","https://ieeexplore.ieee.org/document/7429497/","","","","","","","Three-dimensional displays","Data visualization","Data mining","Spatial databases","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429497","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","14","87","Cavern Halos: Exploring spatial and nonspatial cosmological data in an immersive virtual environment"
"Our system design is motivated by the need to simultaneously observe multiple data modalities. The main output from the cosmological simulation is a set of particle data, where each particle represents a dark matter parcel which coalesces into larger structures over time. Next, the data is run through a halo finding algorithm (Rockstar [1]), which detects groups of gravitationally bound particles and identifies them as halos. Lastly, a merger tree generation tool (Consistent Trees [2]) analyzes the hierarchical evolution of halos as they continue to merge into larger structures. Although each of these data modalities are generated through an iterative process, an understanding of their interplay is essential. Since information about the raw particle data and the extracted halos inform one another, we designed a multi-view exploration tool and enhance these views with both qualitative and quantitative information. Because of the scale of the data and the multitude of features, we aim to provide capability to both locate and focus analysis on specific features of interest.","https://ieeexplore.ieee.org/document/7429499/","LOCKED","7429499","University of California at Davis, CA, USA","https://ieeexplore.ieee.org/author/37085609111","1","Annie Preston","37085609111","University of California at Davis, CA, USA","https://ieeexplore.ieee.org/author/37085492886","2","Franz Sauer","37085492886","University of California at Davis, CA, USA","https://ieeexplore.ieee.org/author/37085625778","3","Ramyar Ghods","37085625778","University of California at Davis, CA, USA","https://ieeexplore.ieee.org/author/38667320300","4","Nick Leaf","38667320300","University of California at Davis, CA, USA","https://ieeexplore.ieee.org/author/38581201000","5","Jinrong Xie","38581201000","University of California at Davis, CA, USA","https://ieeexplore.ieee.org/author/37275869400","6","Kwan-Liu Ma","37275869400","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429499","114","https://ieeexplore.ieee.org/document/7429499/","","","","","","","","","","","","","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429499","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","15","107","Integrated explorer for cosmological evolution"
"One of the most vital challenges for weather forecasters is the correlation between two geographical phenomena that are distributed continuously in multidimensional multivariate time-varying datasets. In this research, we have visualized the correlation between Pressure and Temperature in the climate datasets. Pearson correlation is used in this study to measure the major linear relationship between two variables in the dataset. Using glyphs in the spatial location, we highlighted the significant association between variables. Based on the positive or negative slope of correlation lines, we can conclude how much they are correlated. The principal of this research is visualizing the local trend of variables versus each other in multidimensional multivariate time-varying datasets, which needs to be visualized with their spatial locations in meteorological datasets. Using glyphs, not only can we visualize the correlation between two variables in the coordinate system, but we can also discern whether any of these variables is separately increasing or decreasing. Moreover, we can visualize the background color as another variable and see the correlation lines around of a particular zone such as storm area.","https://ieeexplore.ieee.org/document/7429502/","LOCKED","7429502","Mississippi State University","https://ieeexplore.ieee.org/author/37085733903","1","Najmeh Abedzadeh","37085733903","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429502","140","https://ieeexplore.ieee.org/document/7429502/","","","","","","","Correlation","Data visualization","Mathematical model","Image color analysis","Market research","Weather forecasting","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429502","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","16","139","Correlation analysis in multidimensional multivariate time-varying datasets"
"Various cardiac diseases can be diagnosed by the analysis of myocardial motion. Relevant biomarkers are radial, longitudinal, and rotational velocities of the cardiac muscle computed locally from MR images. We designed a visual encoding that maps these three attributes to glyph shapes according to a barycentric space formed by 3D superquadric glyphs. The glyphs show aggregated myocardial motion information following the AHA model and are displayed in a respective 3D layout.","https://ieeexplore.ieee.org/document/7429504/","LOCKED","7429504","FraunhoferMEVIS, Jacobs University Bremen","https://ieeexplore.ieee.org/author/37085522322","1","Teodora Chitiboi","37085522322","Fraunhofer MEVIS","https://ieeexplore.ieee.org/author/38030357700","2","Mathias Neugebauer","38030357700","Northwestern University","https://ieeexplore.ieee.org/author/37085645064","3","Susanne Schnell","37085645064","Northwestern University","https://ieeexplore.ieee.org/author/37860494300","4","Michael Markl","37860494300","Jacobs University Bremen","https://ieeexplore.ieee.org/author/37266826500","5","Lars Linsen","37266826500","","","","","","","","","","","","","","","","2","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429504","144","https://ieeexplore.ieee.org/document/7429504/","","","","","","","Shape","Myocardium","Three-dimensional displays","Visualization","Heart","Tensile stress","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429504","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","17","143","3D superquadric glyphs for visualizing myocardial motion"
"Diffusion weighted magnetic resonance imaging (dMRI) together with tractography algorithms allow to probe for principal white matter tracts in the living human brain. Specifically, probabilistic tractography quantifies the existence of physical connections to a given seed region as a 3D scalar map of confidence scores. Fiber-Stippling is a visualization for probabilistic tracts that effectively communicates the diffusion pattern, connectivity score, and anatomical context. Unfortunately, it cannot handle multiple diffusion orientations per voxel, which exist in high angular resolution diffusion imaging (HARDI) data. Such data is needed to resolve tracts in complex configurations, such as crossings. In this work, we suggest a visualization based on Fiber-Stippling but sensible to multiple diffusion orientations from HARDI-based diffusion models. With such a technique, it is now possible to visualize probabilistic tracts from HARDI-based tractography algorithms. This implies that tract crossings may now be visualized as crossing stipples, which is an essential step towards an accurate visualization of the neuroanatomy, as crossing tracts are widespread phenomena in the brain.","https://ieeexplore.ieee.org/document/7429506/","LOCKED","7429506","Leipzig University","https://ieeexplore.ieee.org/author/38230608700","1","Mathias Goldau","38230608700","Leipzig University","https://ieeexplore.ieee.org/author/37085615642","2","André Reichenbach","37085615642","Leipzig University","https://ieeexplore.ieee.org/author/37403333700","3","Mario Hlawitschka","37403333700","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429506","148","https://ieeexplore.ieee.org/document/7429506/","I.3.3 [Computer Graphics]","Picture/Image Generation — Line and curve generation","","","","","Probabilistic logic","Data visualization","Context","Electronic mail","Phantoms","Optical fiber networks","Magnetic resonance imaging","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429506","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","18","147","Visualizing crossing probabilistic tracts"
"Most of the existing approaches to visualize vector field ensembles are achieved by visualizing the uncertainty of individual variables from different simulation runs. However, the comparison of the derived feature or user-defined feature, such as the vortex in ensemble flow is also of vital significance since they often make more sense according to the domain knowledge. In this work, we present a framework to extract user-defined feature from different simulation runs. Specially, we use a bottom-up searching scheme to help to extract vortex with a user-defined shape, and further compute the geometry information including the size, and the geo-spatial location of the extracted vortex. Finally we design some linked views to compare the feature between different runs.","https://ieeexplore.ieee.org/document/7429510/","LOCKED","7429510","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37085456802","1","Richen Liu","37085456802","Argonne National Laboratory","https://ieeexplore.ieee.org/author/37595201300","2","Hanqi Guo","37595201300","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37403856700","3","Xiaoru Yuan","37403856700","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429510","156","https://ieeexplore.ieee.org/document/7429510/","","","","","","","Three-dimensional displays","Meteorology","Visualization","Feature extraction","Computational modeling","Data models","Data visualization","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429510","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","19","155","A bottom-up scheme for user-defined feature exploration in vector field ensembles"
"Species distribution models (SDM) are used to help understand what drives the distribution of various plant and animal species. These models are typically high dimensional scalar functions, where the dimensions of the domain correspond to predictor variables of the model algorithm. Understanding and exploring the differences between models help ecologists understand areas where their data or understanding of the system is incomplete and will help guide further investigation in these regions. These differences can also indicate an important source of model to model uncertainty. However, it is cumbersome and often impractical to perform this analysis using existing tools, which allows for manual exploration of the models usually as 1-dimensional curves. In this paper, we propose a topology-based framework to help ecologists explore the differences in various SDMs directly in the high dimensional domain. In order to accomplish this, we introduce the concept of maximum topology matching that computes a locality-aware correspondence between similar extrema of two scalar functions. The matching is then used to compute the similarity between two functions. We also design a visualization interface that allows ecologists to explore SDMs using their topological features and to study the differences between pairs of models found using maximum topological matching. We demonstrate the utility of the proposed framework through several use cases using different data sets and report the feedback obtained from ecologists.","https://ieeexplore.ieee.org/document/7429486/","LOCKED","7429486","New York University","https://ieeexplore.ieee.org/author/38548192600","1","Jorge Poco","38548192600","New York University","https://ieeexplore.ieee.org/author/38228713200","2","Harish Doraiswamy","38228713200","U.S. Geological Survey","https://ieeexplore.ieee.org/author/37085626687","3","Marian Talbert","37085626687","U.S. Geological Survey","https://ieeexplore.ieee.org/author/37085614504","4","Jeffrey Morisette","37085614504","New York University","https://ieeexplore.ieee.org/author/37275249200","5","Cláudio T. Silva","37275249200","","","","","","","","","","","","","","","","1","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429486","16","https://ieeexplore.ieee.org/document/7429486/","Function similarity","computational topology","species distribution models","persistence","high dimensional visualization","","Biological system modeling","Topology","Vegetation","Data models","Predictive models","Data visualization","Computational modeling","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429486","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","20","9","Using maximum topology matching to explore differences in species distribution models"
"In this work we propose an effective method for frequency-controlled dense flow visualization derived from a generalization of the Line Integral Convolution (LIC) technique. Our approach consists in considering the spectral properties of the dense flow visualization process as an integral operator defined in a local curvilinear coordinate system aligned with the flow. Exploring LIC from this point of view, we suggest a systematic way to design a flow visualization process with particular local spatial frequency properties of the resulting image. Our method is efficient, intuitive, and based on a long-standing model developed as a result of numerous perception studies. The method can be described as an iterative application of line integral convolution, followed by a one-dimensional Gabor filtering orthogonal to the flow. To demonstrate the utility of the technique, we generated novel adaptive multi-frequency flow visualizations, that according to our evaluation, feature a higher level of frequency control and higher quality scores than traditional approaches in texture-based flow visualization.","https://ieeexplore.ieee.org/document/7429490/","LOCKED","7429490","Saarland University","https://ieeexplore.ieee.org/author/38236609900","1","Victor Matvienko","38236609900","University Duisburg-Essen","https://ieeexplore.ieee.org/author/37548560500","2","Jens Krüger","37548560500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429490","48","https://ieeexplore.ieee.org/document/7429490/","flow visualization","texture-based visualization","LIC","Gabor filter","spatial frequency","image contrast","Visualization","Frequency control","Convolution","Kernel","Frequency-domain analysis","Context","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429490","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","21","41","Explicit frequency control for high-quality texture-based flow visualization"
"Numerical weather predictions have been widely used for weather forecasting. Many large meteorological centers are producing highly accurate ensemble forecasts routinely to provide effective weather forecast services. However, biases frequently exist in forecast products because of various reasons, such as the imperfection of the weather forecast models. Failure to identify and neutralize the biases would result in unreliable forecast products that might mislead analysts; consequently, unreliable weather predictions are produced. The analog method has been commonly used to overcome the biases. Nevertheless, this method has some serious limitations including the difficulties in finding effective similar past forecasts, the large search space for proper parameters and the lack of support for interactive, real-time analysis. In this study, we develop a visual analytics system based on a novel voting framework to circumvent the problems. The framework adopts the idea of majority voting to combine judiciously the different variants of analog methods towards effective retrieval of the proper analogs for calibration. The system seamlessly integrates the analog methods into an interactive visualization pipeline with a set of coordinated views that characterizes the different methods. Instant visual hints are provided in the views to guide users in finding and refining analogs. We have worked closely with the domain experts in the meteorological research to develop the system. The effectiveness of the system is demonstrated using two case studies. An informal evaluation with the experts proves the usability and usefulness of the system.","https://ieeexplore.ieee.org/document/7429488/","LOCKED","7429488","School of Software, Tsinghua National Laboratory for Information Science and Technology, Tsinghua University","https://ieeexplore.ieee.org/author/38542881800","1","Hongsen Liao","38542881800","State Key Lab of CAD & CG, Zhejiang University","https://ieeexplore.ieee.org/author/37085794116","2","Yingcai Wu","37085794116","School of Software, Tsinghua National Laboratory for Information Science and Technology, Tsinghua University","https://ieeexplore.ieee.org/author/37280383900","3","Li Chen","37280383900","NOAA Earth System Research Lab, Physical Sciences Division","https://ieeexplore.ieee.org/author/37085798879","4","Thomas M. Hamill","37085798879","Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences","https://ieeexplore.ieee.org/author/37407581200","5","Yunhai Wang","37407581200","National Meteorological Center of CMA","https://ieeexplore.ieee.org/author/37085790510","6","Kan Dai","37085790510","School of Software, Tsinghua National Laboratory for Information Science and Technology, Tsinghua University","https://ieeexplore.ieee.org/author/37293131500","7","Hui Zhang","37293131500","State Key Lab of CAD & CG, Zhejiang University","https://ieeexplore.ieee.org/author/37291847800","8","Wei Chen","37291847800","5","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429488","32","https://ieeexplore.ieee.org/document/7429488/","Weather forecast","analog method","calibration","majority voting","visual analytics","","Data visualization","Weather forecasting","Calibration","Visualization","Uncertainty","Probabilistic logic","","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429488","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","22","25","A visual voting framework for weather forecast calibration"
"We present a novel approach to rendering large particle data sets from molecular dynamics, astrophysics and other sources. We employ a new data structure adapted from the original balanced k-d tree, which allows for representation of data with trivial or no overhead. In the OSPRay visualization framework, we have developed an efficient CPU algorithm for traversing, classifying and ray tracing these data. Our approach is able to render up to billions of particles on a typical workstation, purely on the CPU, without any approximations or level-of-detail techniques, and optionally with attribute-based color mapping, dynamic range query, and advanced lighting models such as ambient occlusion and path tracing.","https://ieeexplore.ieee.org/document/7429492/","LOCKED","7429492","Intel Corporation","https://ieeexplore.ieee.org/author/37282958300","1","Ingo Wald","37282958300","SCI Institute, University of Utah","https://ieeexplore.ieee.org/author/37692671900","2","Aaron Knoll","37692671900","Intel Corporation","https://ieeexplore.ieee.org/author/37085723598","3","Gregory P. Johnson","37085723598","SCI Institute, University of Utah","https://ieeexplore.ieee.org/author/37085735276","4","Will Usher","37085735276","SCI Institute, University of Utah","https://ieeexplore.ieee.org/author/37284312600","5","Valerio Pascucci","37284312600","Argonne National Laboratory, Northern Illinois University","https://ieeexplore.ieee.org/author/37267817200","6","Michael E. Papka","37267817200","","","","","","","","","","","14","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429492","64","https://ieeexplore.ieee.org/document/7429492/","Ray tracing","Visualization","Particle Data","k-d Trees","","","Ray tracing","Rendering (computer graphics)","Data visualization","Graphics processing units","Data models","Acceleration","Memory management","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429492","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","23","57","CPU ray tracing large particle data with balanced P-k-d trees"
"Empirical findings from studies in one scientific domain have very limited applicability to other domains, unless we formally establish deeper insights on the generalizability of task types. We present a domain-independent classification of visual analysis tasks with volume visualizations. This taxonomy will help researchers design experiments, ensure coverage, and generate hypotheses in empirical studies with volume datasets. To develop our taxonomy, we first interviewed scientists working with spatial data in disparate domains. We then ran a survey to evaluate the design participants in which were scientists and professionals from around the world, working with volume data in various scientific domains. Respondents agreed substantially with our taxonomy design, but also suggested important refinements. We report the results in the form of a goal-based generic categorization of visual analysis tasks with volume visualizations. Our taxonomy covers tasks performed with a wide variety of volume datasets.","https://ieeexplore.ieee.org/document/7429485/","LOCKED","7429485","Stanford University","https://ieeexplore.ieee.org/author/37400143500","1","Bireswar Laha","37400143500","Virginia Tech","https://ieeexplore.ieee.org/author/37282977600","2","Doug A. Bowman","37282977600","Brown University","https://ieeexplore.ieee.org/author/37275712600","3","David H. Laidlaw","37275712600","Virginia Tech","https://ieeexplore.ieee.org/author/37085744497","4","John J. Socha","37085744497","","","","","","","","","","","","","","","","","","","","","6","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429485","8","https://ieeexplore.ieee.org/document/7429485/","Task Taxonomy","Empirical Evaluation","Volume Visualization","Scientific Visualization","Virtual Reality","3D Interaction","Data visualization","Taxonomy","Visualization","Rendering (computer graphics)","Three-dimensional displays","Biomedical imaging","Market research","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429485","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","24","1","A classification of user tasks in visual analysis of volume data"
"We propose a system to analyze and contextualize simulations of coronal mass ejections. As current simulation techniques require manual input, uncertainty is introduced into the simulation pipeline leading to inaccurate predictions that can be mitigated through ensemble simulations. We provide the space weather analyst with a multi-view system providing visualizations to: 1. compare ensemble members against ground truth measurements, 2. inspect time-dependent information derived from optical flow analysis of satellite images, and 3. combine satellite images with a volumetric rendering of the simulations. This three-tier workflow provides experts with tools to discover correlations between errors in predictions and simulation parameters, thus increasing knowledge about the evolution and propagation of coronal mass ejections that pose a danger to Earth and interplanetary travel.","https://ieeexplore.ieee.org/document/7429487/","LOCKED","7429487","Linkoping University","https://ieeexplore.ieee.org/author/38489536800","1","Alexander Bock","38489536800","NASA Goddard Space Flight Center","https://ieeexplore.ieee.org/author/37085737408","2","Asher Pembroke","37085737408","NASA Goddard Space Flight Center","https://ieeexplore.ieee.org/author/37085721511","3","M. Leila Mays","37085721511","NASA Goddard Space Flight Center","https://ieeexplore.ieee.org/author/37085724534","4","Lutz Rastaetter","37085724534","Ulm University","https://ieeexplore.ieee.org/author/37295281400","5","Timo Ropinski","37295281400","Linköping University","https://ieeexplore.ieee.org/author/37284192000","6","Anders Ynnerman","37284192000","","","","","","","","","","","8","0","25-30 Oct. 2015","Chicago, IL, USA","Conferences","10.1109/SciVis.2015.7429487","24","https://ieeexplore.ieee.org/document/7429487/","Visual Verification","Space Weather","Coronal Mass Ejections","Ensemble","","","Meteorology","Satellites","Space vehicles","Earth","Extraterrestrial measurements","Analytical models","Sun","7429473","978-1-4673-9785-8","Electronic ISBN","New-2005","978-1-4673-9785-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7429487","25-30 Oct. 2015","7411953","2015 IEEE Scientific Visualization Conference (SciVis)","2015","IEEE","25","17","Visual verification of space weather ensemble simulations"
