"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_issn","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Since the crash of the dot.coms, investors have gotten a lot more careful with where they place their money. Now more than ever it becomes really important for venture capitalists (VCs) to monitor the state of the startups market and continually update their investment strategy to suit the rapidly changing market conditions. This paper presents three new visualization metaphors (Spiral Map, TimeTicker, and Double Histogram) for monitoring the startups market. While we are focusing on the VC domain, the visual metaphors developed are general and can be easily applied to other domains.","https://ieeexplore.ieee.org/document/1173162/","LOCKED","1173162","Accenture Technol. Labs., Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37062567500","1","Mei Chuah","37062567500","","","","","","","","","","","","","","","1","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173162","164","https://ieeexplore.ieee.org/document/1173162/","Venture capital","Investments","Virtual colonoscopy","Spirals","Milling machines","Computer crashes","Condition monitoring","Visualization","Histograms","Medical services","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173162","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","11","161","Demystifying venture capital investing"
"","https://ieeexplore.ieee.org/document/1173164/","LOCKED","1173164","Harvard University","https://ieeexplore.ieee.org/author/37378570400","1","S.M. Kosslyn","37378570400","","","","","","","","","","","","","","","0","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173164","171","","Displays","Psychology","Humans","Books","Finance","Information processing","Graphics","Reflection","Nervous system","Hospitals","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173164","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","12","171","Display design for the eye and mind"
"Most analysts start with an overview of the data before gradually refining their view to be more focused and detailed. Multiscale pan-and-zoom systems are effective because they directly support this approach. However generating abstract overviews of large data sets is difficult, and most systems take advantage of only one type of abstraction: visual abstraction. Furthermore, these existing systems limit the analyst to a single zooming path on their data and thus a single set of abstract views. This paper presents: (1) a formalism for describing multiscale visualizations of data cubes with both data and visual abstraction, and (2) a method for independently zooming along one or more dimensions by traversing a zoom graph with nodes at different levels of detail. As an example of how to design multiscale visualizations using our system, we describe four design patterns using our formalism. These design patterns show the effectiveness of multiscale visualization of general relational databases.","https://ieeexplore.ieee.org/document/1173141/","LOCKED","1173141","Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37442008700","1","C. Stolte","37442008700","Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37652594600","2","D. Tang","37652594600","Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37349803800","3","P. Hanrahan","37349803800","","","","","14","11","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173141","14","https://ieeexplore.ieee.org/document/1173141/","Data visualization","Relational databases","Switches","Polarization","Data analysis","Pattern analysis","Filters","Filtering","Visual databases","","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173141","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","13","7","Multiscale visualization using data cubes"
"Example-based graphics generation systems automatically create new information visualizations by learning from existing graphic examples. As part of the effort on developing a general-purpose example-based generation system, we are building a visual database of graphic examples. In this paper, we address two main issues involved in constructing such a database: example selection and example modeling. As a result, our work offers three unique contributions: First, we build a visual database that contains a diverse collection of well-designed examples. Second, we develop a feature-based scheme to model all examples uniformly and accurately. Third, our visual database brings several important implications to the area of information visualization.","https://ieeexplore.ieee.org/document/1173143/","LOCKED","1173143","IBM Thomas J. Watson Res. Center, Hawthorne, NY, USA","https://ieeexplore.ieee.org/author/37399569300","1","M.X. Zhou","37399569300","IBM Thomas J. Watson Res. Center, Hawthorne, NY, USA","https://ieeexplore.ieee.org/author/38151550800","2","Min Chen","38151550800","","https://ieeexplore.ieee.org/author/38102799300","3","Ying Feng","38102799300","","","","","5","1","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173143","30","https://ieeexplore.ieee.org/document/1173143/","Visual databases","Computer graphics","Data visualization","Spatial databases","Computer science","Engines","Buildings","Performance evaluation","Performance analysis","Displays","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173143","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","14","23","Building a visual database for example-based graphics generation"
"A large body of results on the characteristics of human spatial vision suggests that space perception is distorted. Recent studies indicate that the geometry of visual space is best understood as Affine. If this is the case, it has far reaching implications on how 3D visualizations can be successfully employed. For instance, all attempts to build visualization systems where users are expected to discover relations based on Euclidean distances or shapes will be ineffective. Because visualization can, and sometimes do, employ all possible types of depth information and because the results from vision research usually concentrates on one or two such types, three experiments were performed under near optimal viewing conditions. The aim of the experiments was twofold: To test whether the earlier findings generalize to optimal viewing conditions and to get a sense of the size of the error under such conditions. The results show that the findings do generalize and that the errors are large. The implications of these results for successful visualizations are discussed.","https://ieeexplore.ieee.org/document/1173147/","LOCKED","1173147","Dept. of Inf. Sci., Uppsala Univ., Sweden","https://ieeexplore.ieee.org/author/37561614400","1","M. Lind","37561614400","","https://ieeexplore.ieee.org/author/38136880400","2","G.P. Bingham","38136880400","","","3","C. Forser","","","","","","1","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173147","56","https://ieeexplore.ieee.org/document/1173147/","Geometry","Data visualization","Humans","Shape","Information science","Psychology","Testing","","","","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173147","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","15","51","The illusion of perceived metric 3D structure"
"Radial, space-filling (RSF) techniques for hierarchy visualization have several advantages over traditional node-link diagrams, including the ability to efficiently use the display space while effectively conveying the hierarchy structure. Several RSF systems and tools have been developed to date, each with varying degrees of support for interactive operations such as selection and navigation. We describe what we believe to be a complete set of desirable operations on hierarchical structures. We then present InterRing, an RSF hierarchy visualization system that supports a significantly more extensive set of these operations than prior systems. In particular, InterRing supports multi-focus distortions, interactive hierarchy reconfiguration, and both semi-automated and manual selection. We show the power and utility of these and other operations, and describe our on-going efforts to evaluate their effectiveness and usability.","https://ieeexplore.ieee.org/document/1173151/","LOCKED","1173151","Dept. of Comput. Sci., Worcester Polytech. Inst., MA, USA","https://ieeexplore.ieee.org/author/37292632600","1","Jing Yang","37292632600","Dept. of Comput. Sci., Worcester Polytech. Inst., MA, USA","https://ieeexplore.ieee.org/author/37268441700","2","M.O. Ward","37268441700","Dept. of Comput. Sci., Worcester Polytech. Inst., MA, USA","https://ieeexplore.ieee.org/author/37279217900","3","E.A. Rundensteiner","37279217900","","","","","21","2","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173151","84","https://ieeexplore.ieee.org/document/1173151/","Navigation","Data visualization","Computer science","Computer displays","Usability","Data structures","File systems","Manuals","Feedback","Joining processes","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173151","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","16","77","InterRing: an interactive tool for visually navigating and manipulating hierarchical structures"
"Beamtrees are a new method for the visualization of large hierarchical data sets. Nodes are shown as stacked circular beams, such that both the hierarchical structure as well as the size of nodes are depicted. The dimensions of beams are calculated using a variation of the treemap algorithm. A small user study indicated that beamtrees are significantly more effective than nested treemaps and cushion treemaps for the extraction of global hierarchical information.","https://ieeexplore.ieee.org/document/1173153/","LOCKED","1173153","Dept. of Math. & Comput. Sci., Technische Universiteit Eindhoven, Netherlands","https://ieeexplore.ieee.org/author/37326291000","1","F. van Ham","37326291000","Dept. of Math. & Comput. Sci., Technische Universiteit Eindhoven, Netherlands","https://ieeexplore.ieee.org/author/37267249200","2","J.J. van Wijk","37267249200","","","","","","","","","","23","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173153","100","https://ieeexplore.ieee.org/document/1173153/","Data visualization","Mathematics","Computer science","Data mining","Three dimensional displays","Testing","","","","","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173153","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","17","93","Beamtrees: compact visualization of large hierarchies"
"We present an extremely fast graph drawing algorithm for very large graphs, which we term ACE (for Algebraic multigrid Computation of Eigenvectors). ACE exhibits an improvement of something like two orders of magnitude over the fastest algorithms we are aware of; it draws graphs of millions of nodes in less than a minute. ACE finds an optimal drawing by minimizing a quadratic energy function. The minimization problem is expressed as a generalized eigenvalue problem, which is rapidly solved using a novel algebraic multigrid technique. The same generalized eigenvalue problem seems to come up also in other fields, hence ACE appears to be applicable outside of graph drawing too.","https://ieeexplore.ieee.org/document/1173159/","LOCKED","1173159","Dept. of Comput. Sci. & Appl. Math., Weizmann Inst. of Sci., Rehovot, Israel","https://ieeexplore.ieee.org/author/37414256700","1","Yehuda Koren","37414256700","Dept. of Comput. Sci. & Appl. Math., Weizmann Inst. of Sci., Rehovot, Israel","https://ieeexplore.ieee.org/author/38144155300","2","L. Carmel","38144155300","Dept. of Comput. Sci. & Appl. Math., Weizmann Inst. of Sci., Rehovot, Israel","https://ieeexplore.ieee.org/author/37266021800","3","D. Harel","37266021800","","","","","29","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173159","144","https://ieeexplore.ieee.org/document/1173159/","Laplace equations","Eigenvalues and eigenfunctions","Clustering algorithms","Partitioning algorithms","Computer science","Mathematics","Joining processes","Data visualization","Image segmentation","Minimization methods","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173159","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","18","137","ACE: a fast multiscale eigenvectors computation for drawing huge graphs"
"Relational databases provide significant flexibility to organize, store, and manipulate an infinite variety of complex data collections. This flexibility is enabled by the concept of relational data schemas, which allow data owners to easily design custom databases according to their unique needs. However, user interfaces and information visualizations for accessing and utilizing databases have not kept pace with this level of flexibility. This paper introduces the concept of visualization schemas, based on the Snap-Together Visualization model, which are analogous to relational data schemas. Visualization schemas enable users to rapidly construct customized multiple-view visualizations for databases in a similarly flexible fashion without programming. Since the design of appropriate visualizations for a given database depends on the data schema, visualization schemas are a natural analogy to the data schema concept.","https://ieeexplore.ieee.org/document/1173142/","LOCKED","1173142","Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/37419565900","1","C. North","37419565900","Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/38137891600","2","N. Conklin","38137891600","Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/38152592400","3","V. Saini","38152592400","","","","","5","2","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173142","22","https://ieeexplore.ieee.org/document/1173142/","Data visualization","Visual databases","Relational databases","User interfaces","Database systems","Design methodology","Human computer interaction","Computer science","Appropriate technology","Bioinformatics","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173142","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","19","15","Visualization schemas for flexible information visualization"
"Research in several areas provides scientific guidance for use of graphical encoding to convey information in an information visualization display. By graphical encoding we mean the use of visual display elements such as icon color, shape, size, or position to convey information about objects represented by the icons. Literature offers inconclusive and often conflicting viewpoints, including the suggestion that the effectiveness of a graphical encoding depends on the type of data represented. Our empirical study suggests that the nature of the users' perceptual task is more indicative of the effectiveness of a graphical encoding than the type of data represented.","https://ieeexplore.ieee.org/document/1173146/","LOCKED","1173146","Battelle Pacific Northwest Lab., Richland, WA, USA","https://ieeexplore.ieee.org/author/37725426400","1","L. Nowell","37725426400","","https://ieeexplore.ieee.org/author/37974832100","2","R. Schulman","37974832100","","https://ieeexplore.ieee.org/author/37295140000","3","D. Hix","37295140000","","","","","7","3","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173146","50","https://ieeexplore.ieee.org/document/1173146/","Encoding","Psychology","Computer displays","Shape","Data visualization","Context","Signal detection","Statistics","Computer science","Software libraries","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173146","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","20","43","Graphical encoding for information visualization: an empirical study"
"We present a novel tree browser that builds on the conventional node link tree diagrams. It adds dynamic rescaling of branches of the tree to best fit the available screen space, optimized camera movement, and the use of preview icons summarizing the topology of the branches that cannot be expanded. In addition, it includes integrated search and filter functions. This paper reflects on the evolution of the design and highlights the principles that emerged from it. A controlled experiment showed benefits for navigation to already previously visited nodes and estimation of overall tree topology.","https://ieeexplore.ieee.org/document/1173148/","LOCKED","1173148","Human-Comput. Interaction Lab., Maryland Univ., MD, USA","https://ieeexplore.ieee.org/author/37283026800","1","C. Plaisant","37283026800","Human-Comput. Interaction Lab., Maryland Univ., MD, USA","https://ieeexplore.ieee.org/author/37279773300","2","J. Grosjean","37279773300","Human-Comput. Interaction Lab., Maryland Univ., MD, USA","https://ieeexplore.ieee.org/author/37279760100","3","B.B. Bederson","37279760100","","","","","100","7","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173148","64","https://ieeexplore.ieee.org/document/1173148/","Evolution (biology)","Visualization","Displays","Navigation","Filling","Monitoring","Network topology","Laboratories","Cameras","Filters","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173148","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","21","57","SpaceTree: supporting exploration in large node link tree, design evolution and empirical evaluation"
"We describe a new method for the visualization of tree structured relational data. It can be used especially for the display of very large hierarchies in a 2-dimensional space. We discuss the advantages and limitations of current techniques of tree visualization. Our strategy is to optimize the drawing of trees in a geometrical plane and maximize the utilization of display space by allowing more nodes and links to be displayed at a limit screen resolution. We use the concept of enclosure to partition the entire display space into a collection of local regions that are assigned to all nodes in tree T for the display of their sub-trees and themselves. To enable the exploration of large hierarchies, we use a modified semantic zooming technique to view the detail of a particular part of the hierarchy at a time based on user's interest. Layout animation is also provided to preserve the mental map while the user is exploring the hierarchy by changing zoomed views.","https://ieeexplore.ieee.org/document/1173152/","LOCKED","1173152","Fac. of Inf. Technol., Univ. of Technol., Sydney, NSW, Australia","https://ieeexplore.ieee.org/author/37267169300","1","Quang Vinh Nguyen","37267169300","Fac. of Inf. Technol., Univ. of Technol., Sydney, NSW, Australia","https://ieeexplore.ieee.org/author/37273547300","2","Mao Lin Huang","37273547300","","","","","","","","","","7","4","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173152","92","https://ieeexplore.ieee.org/document/1173152/","Data visualization","Tree graphs","Space technology","Large screen displays","Humans","Tree data structures","Information technology","Australia","Animation","Navigation","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173152","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","22","85","A space-optimized tree visualization"
"Data-mining of information by the process of pattern discovery in protein sequences has been predominantly algorithm based. We discuss a visualization approach, which uses texture mapping and blending techniques to perform visual data-mining on text data obtained from discovering patterns in protein sequences. This visual approach, investigates the possibilities of representing text data in three dimensions and provides new possibilities of representing more dimensions of information in text data visualization and analysis. We also present a generic framework derived from this visualization approach to visualize text in biosequence data.","https://ieeexplore.ieee.org/document/1173154/","LOCKED","1173154","Biotechnol. Inst., Delaware Univ., Newark, DE, USA","https://ieeexplore.ieee.org/author/38153582400","1","P.R. Thiagarajan","38153582400","Biotechnol. Inst., Delaware Univ., Newark, DE, USA","https://ieeexplore.ieee.org/author/37067926200","2","G.R. Gao","37067926200","","","","","","","","","","0","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173154","109","https://ieeexplore.ieee.org/document/1173154/","Data visualization","Bioinformatics","Sequences","Proteins","DNA","Data analysis","Pattern analysis","Amino acids","Biotechnology","Technological innovation","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173154","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","23","103","Visualizing biosequence data using texture mapping"
"Existing information visualization techniques are usually limited to the display of a few thousand items. This article describes new interactive techniques capable of handling a million items (effectively visible and manageable on screen). We evaluate the use of hardware-based techniques available with newer graphics cards, as well as new animation techniques and non-standard graphical features such as stereovision and overlap count. These techniques have been applied to two popular information visualizations: treemaps and scatter plot diagrams; but are generic enough to be applied to other 2D representations as well.","https://ieeexplore.ieee.org/document/1173156/","LOCKED","1173156","Human Comput. Interaction Lab., Maryland Univ., Baltimore, MD, USA","https://ieeexplore.ieee.org/author/37407972900","1","J.-D. Fekete","37407972900","Human Comput. Interaction Lab., Maryland Univ., Baltimore, MD, USA","https://ieeexplore.ieee.org/author/37283026800","2","C. Plaisant","37283026800","","","","","","","","","","91","8","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173156","124","https://ieeexplore.ieee.org/document/1173156/","Data visualization","Displays","Scattering","Animation","Tree graphs","Data analysis","Information analysis","Scalability","Sampling methods","Human computer interaction","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173156","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","24","117","Interactive information visualization of a million items"
"A new method for visualizing the class of incrementally evolving networks is presented. In addition to the intermediate states of the network it conveys the nature of the change between them by unrolling the dynamics of the network. Each modification is shown in a separate layer of a three-dimensional representation, where the stack of layers corresponds to a time line of the evolution. We focus on discourse networks as the driving application, but our method extends to any type of network evolving in similar ways.","https://ieeexplore.ieee.org/document/1173160/","LOCKED","1173160","Dept. of Comput. & Inf. Sci., Konstanz Univ., Germany","https://ieeexplore.ieee.org/author/37550836200","1","U. Brandes","37550836200","","https://ieeexplore.ieee.org/author/38014884900","2","S.R. Corman","38014884900","","","","","","","","","","20","1","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173160","151","https://ieeexplore.ieee.org/document/1173160/","Data visualization","Text analysis","Computer networks","Humans","Animation","Information science","Application software","Social network services","Software engineering","Engineering drawings","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173160","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","25","145","Visual unrolling of network evolution and the analysis of dynamic discourse"
"Presents the front cover of the proceedings record.","","EPHEMERA","1173139","","","","","","","","","","","","","","","","","","","","0","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173139","","","","","","","","","","","","","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173139","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","26","","IEEE Symposium on Information Visualization 2002. INFOVIS 2002. Proceedings"
"The author index contains an entry for each author and coauthor included in the proceedings record.","","EPHEMERA","1173165","","","","","","","","","","","","","","","","","","","","0","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173165","173","","","","","","","","","","","","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173165","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","27","173","Author index"
