"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title" 
"The evolving technology of computer auto-fabrication (""3D printing"") now makes it possible to produce physical models for complex biological molecules and assemblies. We report on an application that demonstrates the use of auto-fabricated tangible models and augmented reality for research and education in molecular biology, and for enhancing the scientific environment for collaboration and exploration. We have adapted an augmented reality system to allow virtual 3D representations (generated by the Python Molecular Viewer) to be overlaid onto a tangible molecular model. Users can easily change the overlaid information, switching between different representations of the molecule, displays of molecular properties such as electrostatics, or dynamic information. The physical model provides a powerful, intuitive interface for manipulating the computer models, streamlining the interface between human intent, the physical model, and the computational activity.","https://ieeexplore.ieee.org/document/1372202/","LOCKED","1372202","","https://ieeexplore.ieee.org/author/37282625300","1","A. Gillet","37282625300","","https://ieeexplore.ieee.org/author/37282613800","2","M. Sanner","37282613800","","https://ieeexplore.ieee.org/author/37282612900","3","D. Stoffler","37282612900","","https://ieeexplore.ieee.org/author/37282613100","4","D. Goodsell","37282613100","","https://ieeexplore.ieee.org/author/37283384700","5","A. Olson","37283384700","","","","","","","","","","","","","","","","","","","","","30","1","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.7","241","https://ieeexplore.ieee.org/document/1372202/","Molecular Modeling","Molecular Visualization","","Augmented Reality","","","","","","","","Augmented reality","Biological system modeling","Computational biology","Physics computing","Application software","Power system modeling","Computer interfaces","Biology computing","Printing","Assembly","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372202","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","41","235","Augmented reality with tangible auto-fabricated models for molecular biology applications"
"Endonasal transsphenoidal pituitary surgery is a minimally invasive endoscopic procedure, applied to remove various kinds of pituitary tumors. To reduce the risk associated with this treatment, the surgeon must be skilled and well-prepared. Virtual endoscopy can be beneficial as a tool for training, preoperative planning and intraoperative support. This work introduces STEPS, a virtual endoscopy system designed to aid surgeons in getting acquainted with the endoscopic view, the handling of instruments, the transsphenoidal approach and challenges associated with the procedure. STEPS also assists experienced surgeons in planning a real endoscopic intervention by getting familiar with the individual patient anatomy, identifying landmarks, planning the approach and deciding upon the ideal target position of the actual surgical activity. Besides interactive visualization using two different first-hit ray casting techniques, the application provides navigation and perception aids and the possibility to simulate the procedure, including haptic feedback and simulation of surgical instruments.","https://ieeexplore.ieee.org/document/1372237/","LOCKED","1372237","VRVis Res. Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37270727300","1","A. Neubauer","37270727300","","https://ieeexplore.ieee.org/author/37282641800","2","L. Mroz","37282641800","","https://ieeexplore.ieee.org/author/37282642600","3","S. Wolfsberger","37282642600","","https://ieeexplore.ieee.org/author/37267822600","4","R. Wegenkittl","37267822600","","https://ieeexplore.ieee.org/author/37282643000","5","M.-T. Forster","37282643000","","https://ieeexplore.ieee.org/author/37267821300","6","K. Buhler","37267821300","","","","","","","","","","","","","","","","12","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.98","520","https://ieeexplore.ieee.org/document/1372237/","virtual endoscopy","ray casting","","iso-surfacing","pituitary surgery","","","","","","","Surges","Minimally invasive surgery","Endoscopes","Neoplasms","Instruments","Anatomy","Visualization","Casting","Navigation","Haptic interfaces","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372237","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","42","513","STEPS - an application for simulation of transsphenoidal endonasal pituitary surgery"
"We present a tool for real-time visualization of motion features in 2D image sequences. The motion is estimated through an eigenvector analysis of the spatio-temporal structure tensor at every pixel location. This approach is computationally demanding but allows reliable velocity estimates as well as quality indicators for the obtained results. We use a 2D color map and a region of interest selector for the visualization of the velocities. On the selected velocities we apply a hierarchical smoothing scheme which allows the choice of the desired scale of the motion field. We demonstrate several examples of test sequences in which some persons are moving with different velocities than others. These persons are visually marked in the real-time display of the image sequence. The tool is also applied to angiography sequences to emphasize the blood flow and its distribution. An efficient processing of the data streams is achieved by mapping the operations onto the stream architecture of standard graphics cards. The card receives the images and performs both the motion estimation and visualization, taking advantage of the parallelism in the graphics processor and the superior memory bandwidth. The integration of data processing and visualization also saves on unnecessary data transfers and thus allows the real-time analysis of 320/spl times/240 images. We expect that on the newest generation of graphics hardware our tool could run in real time for the standard VGA format.","https://ieeexplore.ieee.org/document/1372241/","LOCKED","1372241","Caesar Res. Center, Bonn, Germany","https://ieeexplore.ieee.org/author/37282542600","1","R. Strzodka","37282542600","","https://ieeexplore.ieee.org/author/37282542100","2","C. Garbe","37282542100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","1","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.88","552","https://ieeexplore.ieee.org/document/1372241/","motion estimation","motion visualization","","structure tensor","eigenvector analysis","real-time processing","graphics hardware","","","","","Motion estimation","Graphics","Image sequences","Streaming media","Data visualization","Motion analysis","Image motion analysis","Tensile stress","Smoothing methods","Testing","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372241","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","43","545","Real-time motion estimation and visualization on graphics cards"
"We present a new level set method for reconstructing interfaces from point aggregations. Although level-set-based methods are advantageous because they can handle complicated topologies and noisy data, most tend to smooth the inherent roughness of the original data. Our objective is to enhance the quality of a reconstructed surface by preserving certain roughness-related characteristics of the original dataset. Our formulation employs the total variation of the surface as a roughness measure. The algorithm consists of two steps: a roughness-capturing flow and a roughness-preserving flow. The roughness capturing step attempts to construct a surface for which the original roughness is captured - distance flow is well suited for roughness capturing. Surface reconstruction is enhanced by using a total variation preserving (TVP) scheme for the roughness-preserving flow. The shock filter formulation of Osher and Rudin is exploited to achieve this goal. In practice, we have found that better results arc obtained by balancing the TVP term with a smoothing term based on curvature. The algorithm is applied to both fractal surface growth simulations and scanned data sets to demonstrate the efficacy of our approach.","https://ieeexplore.ieee.org/document/1372204/","LOCKED","1372204","Ohio State Univ., Columbus, OH, USA","https://ieeexplore.ieee.org/author/37280939900","1","Y. Kim","37280939900","Ohio State Univ., Columbus, OH, USA","https://ieeexplore.ieee.org/author/37269516700","2","Raghu Machiraju","37269516700","","https://ieeexplore.ieee.org/author/37265831900","3","D. Thompson","37265831900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.94","258","https://ieeexplore.ieee.org/document/1372204/","point sampled data","surface reconstruction","","level set method","shock filter","total variation preserving","rough surface","","","","","Level set","Rough surfaces","Surface roughness","Surface reconstruction","Topology","Noise level","Electric shock","Filters","Smoothing methods","Fractals","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372204","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","44","251","Rough interface reconstruction using the level set method"
"ImageSurfer is a tool designed to explore correlations between two 3D scalar fields. Our scientific goal was to determine where a protein is located, and how much its concentration varies along the membrane of a neuronal dendrite. The 3D scalar field data sets fall into two categories: dendritic plasma membranes (defining the structure) and immunofluorescent staining (defining protein concentration along the structure). ImageSurfer enables scientists to analyze relationships between multiple data sets obtained with confocal microscopy by providing 3D surface view, height field, and graphing tools. Each tool reduces the complexity of the problem by extracting a restricted subset of data: finding a region of interest in 3D; getting a sense of relative concentrations in 2D, and getting exact concentration values in 1D. The current design is presented, along with the rationale for each design decision. The tool is already proving useful for data exploration, analysis, and presentation.","https://ieeexplore.ieee.org/document/1372239/","LOCKED","1372239","Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/37282583900","1","D. Jen","37282583900","Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/37282583400","2","P. Parente","37282583400","Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/37282583100","3","J. Robbins","37282583100","Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/37282585600","4","C. Weigle","37282585600","Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/38183525100","5","R.M. Taylor","38183525100","","https://ieeexplore.ieee.org/author/37282585200","6","A. Burette","37282585200","","https://ieeexplore.ieee.org/author/37282585000","7","R. Weinberg","37282585000","","","","","","","","","","","4","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.46","536","https://ieeexplore.ieee.org/document/1372239/","scientific visualization","volume visualization","","data exploration","biology","confocal microscopy","immunofluorescence","","","","","Microscopy","Neurons","Computer science","Data visualization","Cells (biology)","Biomembranes","Proteins","Computer graphics","Biology","Plasmas","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372239","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","45","529","ImageSurfer: a tool for visualizing correlations between two volume scalar fields"
"All orientable metric surfaces are Riemann surfaces and admit global conformal parameterizations. Riemann surface structure is a fundamental structure and governs many natural physical phenomena, such as heat diffusion and electro-magnetic fields on the surface. A good parameterization is crucial for simulation and visualization. This paper provides an explicit method for finding optimal global conformal parameterizations of arbitrary surfaces. It relies on certain holomorphic differential forms and conformal mappings from differential geometry and Riemann surface theories. Algorithms are developed to modify topology, locate zero points, and determine cohomology types of differential forms. The implementation is based on a finite dimensional optimization method. The optimal parameterization is intrinsic to the geometry, preserves angular structure, and can play an important role in various applications including texture mapping, remeshing, morphing and simulation. The method is demonstrated by visualizing the Riemann surface structure of real surfaces represented as triangle meshes.","https://ieeexplore.ieee.org/document/1372206/","LOCKED","1372206","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37279448300","1","M. Jin","37279448300","","https://ieeexplore.ieee.org/author/37281424800","2","Y. Wang","37281424800","","https://ieeexplore.ieee.org/author/37272109300","3","S.-T. Yau","37272109300","","https://ieeexplore.ieee.org/author/37068514100","4","X. Gu","37068514100","","","","","","","","","","","","","","","","","","","","","","","","","","48","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.75","274","https://ieeexplore.ieee.org/document/1372206/","Computational geometry and object modeling","Curve","","surface","solid","and object representations","Surface parameterization","","","","","Surface texture","Visualization","Optimization methods","Surface structures","Solid modeling","Computer science","Topology","Computational geometry","Conformal mapping","Computational modeling","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372206","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","46","267","Optimal global conformal surface parameterization"
"Surface texture is among the most salient haptic characteristics of objects; it can induce vibratory contact forces that lead to perception of roughness. We present a new algorithm to display haptic texture information resulting from the interaction between two textured objects. We compute contact forces and torques using low-resolution geometric representations along with texture images that encode surface details. We also introduce a novel force model based on directional penetration depth and describe an efficient implementation on programmable graphics hardware that enables interactive haptic texture rendering of complex models. Our force model takes into account important factors identified by psychophysics studies and is able to haptically display interaction due to fine surface textures that previous algorithms do not capture.","https://ieeexplore.ieee.org/document/1372210/","LOCKED","1372210","Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/37282557800","1","M.A. Otaduy","37282557800","Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/37282557100","2","N. Jain","37282557100","Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/37282556700","3","A. Sud","37282556700","Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/37278387400","4","M.C. Lin","37278387400","","","","","","","","","","","","","","","","","","","","","","","","","","27","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.37","304","https://ieeexplore.ieee.org/document/1372210/","haptics","textures","","graphics hardware","","","","","","","","Haptic interfaces","Surface texture","Rendering (computer graphics)","Solid modeling","Graphics","Hardware","Computer displays","Rough surfaces","Surface roughness","Psychology","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372210","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","47","297","Haptic display of interaction between textured models"
"We derive piecewise linear and piecewise cubic box spline reconstruction filters for data sampled on the body centered cubic (BCC) lattice. We analytically derive a time domain representation of these reconstruction filters and using the Fourier slice-projection theorem we derive their frequency responses. The quality of these filters, when used in reconstructing BCC sampled volumetric data, is discussed and is demonstrated with a raycaster. Moreover, to demonstrate the superiority of the BCC sampling, the resulting reconstructions are compared with those produced from similar filters applied to data sampled on the Cartesian lattice.","https://ieeexplore.ieee.org/document/1372174/","LOCKED","1372174","Graphics, Usability, & Visualization Lab., Simon Fraser Univ., Burnaby, BC, Canada","https://ieeexplore.ieee.org/author/37268675600","1","A. Entezari","37268675600","Graphics, Usability, & Visualization Lab., Simon Fraser Univ., Burnaby, BC, Canada","https://ieeexplore.ieee.org/author/37282718000","2","R. Dyer","37282718000","Graphics, Usability, & Visualization Lab., Simon Fraser Univ., Burnaby, BC, Canada","https://ieeexplore.ieee.org/author/37275858700","3","T. Moller","37275858700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.65","18","https://ieeexplore.ieee.org/document/1372174/","Body Centered Cubic Lattice","Reconstruction","","Optimal Regular Sampling","","","","","","","","Lattices","Filters","Sampling methods","Signal sampling","FCC","Multidimensional signal processing","Numerical analysis","Biomedical engineering","Signal design","Filtering theory","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372174","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","48","11","Linear and cubic box splines for the body centered cubic lattice"
"We introduce Light Collages - a lighting design system for effective visualization based on principles of human perception. Artists and illustrators enhance perception of features with lighting that is locally consistent and globally inconsistent. Inspired by these techniques, we design the placement of light sources to convey a greater sense of realism and better perception of shape with globally inconsistent lighting. Our algorithm segments the objects into local surface patches and uses a number of perceptual heuristics, such as highlights, shadows, and silhouettes, to enhance the perception of shape. We show our results on scientific and sculptured datasets.","https://ieeexplore.ieee.org/document/1372208/","LOCKED","1372208","Dept. of Comput. Sci., Maryland Univ., College Park, MD, USA","https://ieeexplore.ieee.org/author/37280411700","1","C.H. Lee","37280411700","Dept. of Comput. Sci., Maryland Univ., College Park, MD, USA","https://ieeexplore.ieee.org/author/37285087600","2","Xuejun Hao","37285087600","Dept. of Comput. Sci., Maryland Univ., College Park, MD, USA","https://ieeexplore.ieee.org/author/37282560200","3","A. Varshney","37282560200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.62","288","https://ieeexplore.ieee.org/document/1372208/","Lighting design","scientific illustration","","inconsistent lighting","light placement","silhouette enhancement","proximity shadows","","","","","Visualization","Humans","Light sources","Art","Geometry","Educational institutions","Shape","Inverse problems","Painting","Computer science","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372208","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","49","281","Light Collages: lighting design for effective visualization"
"Visualization of 3D tensor fields continues to be a major challenge in terms of providing intuitive and uncluttered images that allow the users to better understand their data. The primary focus of this paper is on finding a formulation that lends itself to a stable numerical algorithm for extracting stable and persistent topological features from 2nd order real symmetric 3D tensors. While features in 2D tensors can be identified as either wedge or trisector points, in 3D, the corresponding stable features are lines, not just points. These topological feature lines provide a compact representation of the 3D tensor field and are essential in helping scientists and engineers understand their complex nature. Existing techniques work by finding degenerate points and are not numerically stable, and worse, produce both false positive and false negative feature points. This work seeks to address this problem with a robust algorithm that can extract these features in a numerically stable, accurate, and complete manner.","https://ieeexplore.ieee.org/document/1372212/","LOCKED","1372212","Dept. of Comput. Sci., California Univ., Santa Cruz, CA, USA","https://ieeexplore.ieee.org/author/37274785100","1","X. Zheng","37274785100","Dept. of Comput. Sci., California Univ., Santa Cruz, CA, USA","https://ieeexplore.ieee.org/author/37267352000","2","A. Pang","37267352000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","1","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.105","320","https://ieeexplore.ieee.org/document/1372212/","hyperstreamlines","real symmetric tensors","","degenerate tensors","tensor topology","topological lines","","","","","","Tensile stress","Topology","Data visualization","Data mining","Feature extraction","Computer science","Focusing","Robustness","Chromium","Computer graphics","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372212","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","50","313","Topological lines in 3D tensor fields"
"Hardware-accelerated direct volume rendering of unstructured volumetric meshes is often based on tetrahedral cell projection, in particular, the projected tetrahedra (PT) algorithm and its variants. Unfortunately, even implementations of the most advanced variants of the PT algorithm are very prone to rendering artifacts. In this work, we identify linear interpolation in screen coordinates as a cause for significant rendering artifacts and implement the correct perspective interpolation for the PT algorithm with programmable graphics hardware. We also demonstrate how to use features of modern graphics hardware to improve the accuracy of the coloring of individual tetrahedra and the compositing of the resulting colors, in particular, by employing a logarithmic scale for the preintegrated color lookup table, using textures with high color resolution, rendering to floating-point color buffers, and alpha dithering. Combined with a correct visibility ordering, these techniques result in the first implementation of the PT algorithm without objectionable rendering artifacts. Apart from the important improvement in rendering quality, our approach also provides a test bed for different implementations of the PT algorithm that allows us to study the particular rendering artifacts introduced by these variants.","https://ieeexplore.ieee.org/document/1372176/","LOCKED","1372176","Purdue Univ., West Lafayette, IN, USA","https://ieeexplore.ieee.org/author/37284293000","1","M. Kraus","37284293000","Purdue Univ., West Lafayette, IN, USA","https://ieeexplore.ieee.org/author/37282552800","2","Wei Qiao","37282552800","Purdue Univ., West Lafayette, IN, USA","https://ieeexplore.ieee.org/author/37282598900","3","D.S. Ebert","37282598900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.85","34","https://ieeexplore.ieee.org/document/1372176/","volume visualization","volume rendering","","cell projection","projected tetrahedra","perspective interpolation","dithering","programmable graphics hardware","","","","Rendering (computer graphics)","Interpolation","Hardware","Computer graphics","Attenuation","Electronic mail","Color","Table lookup","Testing","Chromium","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372176","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","51","27","Projecting tetrahedra without rendering artifacts"
"The continuing advancement of plasma science is central to realizing fusion as an inexpensive and safe energy source. Gryokinetic simulations of plasmas are fundamental to the understanding of turbulent transport in fusion plasma. This work discusses the visualization challenges presented by gyrokinetic simulations using magnetic field line following coordinates, and presents an effective solution exploiting programmable graphics hardware to enable interactive volume visualization of 3D plasma flow on a toroidal coordinate system. The new visualization capability can help scientists better understand three-dimensional structures of the modeled phenomena. Both the limitations and future promise of the hardware-accelerated approach are also discussed.","https://ieeexplore.ieee.org/document/1372180/","LOCKED","1372180","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37266518200","1","D. Crawford","37266518200","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37275869400","2","K.-L. Ma","37275869400","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37273548600","3","Min-Yu Huang","37273548600","","https://ieeexplore.ieee.org/author/37267815000","4","S. Klasky","37267815000","","https://ieeexplore.ieee.org/author/37282568500","5","S. Ethier","37282568500","","","","","","","","","","","","","","","","","","","","","3","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.122","66","https://ieeexplore.ieee.org/document/1372180/","graphics hardware","non-rectilinear mesh","","plasma physics","scientific visualization","texture methods","volume visualization","","","","","Plasma simulation","Data visualization","Plasma transport processes","Plasma confinement","Magnetic confinement","Plasma applications","Plasma sources","Physics","Computational modeling","Toroidal magnetic fields","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372180","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","52","59","Visualizing gyrokinetic simulations"
"We present an approach for monitoring the positions of vector field singularities and related structural changes in time-dependent datasets. The concept of singularity index is discussed and extended from the well-understood planar case to the more intricate three-dimensional setting. Assuming a tetrahedral grid with linear interpolation in space and time, vector field singularities obey rules imposed by fundamental invariants (Poincare index), which we use as a basis for an efficient tracking algorithm. We apply the presented algorithm to CFD datasets to illustrate its purpose. We examine structures that exhibit topological variations with time and describe some of the insight gained with our method. Examples are given that show a correlation in the evolution of physical quantities that play a role in vortex breakdown.","https://ieeexplore.ieee.org/document/1372214/","LOCKED","1372214","Dept. of Comput. Sci., Kaiserslautern Univ., Germany","https://ieeexplore.ieee.org/author/37282573700","1","C. Garth","37282573700","","https://ieeexplore.ieee.org/author/37282575100","2","X. Tricoche","37282575100","","https://ieeexplore.ieee.org/author/37282574800","3","G. Scheuermann","37282574800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.107","336","https://ieeexplore.ieee.org/document/1372214/","flow visualization","topology tracking","","time-dependent datasets","vortex breakdown","","","","","","","Electric breakdown","Aircraft","Computer simulation","Computer science","Vectors","Computational modeling","Analytical models","Aerospace engineering","Design engineering","Virtual prototyping","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372214","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","53","329","Tracking of vector field singularities in unstructured 3D time-dependent datasets"
"A new method for the simplification and the visualization of vector fields is presented based on the notion of centroidal Voronoi tessellations (CVT's). A CVT is a special Voronoi tessellation for which the generators of the Voronoi regions in the tessellation are also the centers of mass (or means) with respect to a prescribed density. A distance function in both the spatial and vector spaces is introduced to measure the similarity of the spatially distributed vector fields. Based on such a distance, vector fields are naturally clustered and their simplified representations are obtained. Our method combines simple geometric intuitions with the rigorously established optimality properties of the CVTs. It is simple to describe, easy to understand and implement. Numerical examples are also provided to illustrate the effectiveness and competitiveness of the CVT-based vector simplification and visualization methodology.","https://ieeexplore.ieee.org/document/1372178/","LOCKED","1372178","Dept. of Math., Pennsylvania State Univ., University Park, PA, USA","https://ieeexplore.ieee.org/author/37267188300","1","Qiang Du","37267188300","Dept. of Math., Pennsylvania State Univ., University Park, PA, USA","https://ieeexplore.ieee.org/author/37281384800","2","Xiaoquiang Wang","37281384800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.13","50","https://ieeexplore.ieee.org/document/1372178/","Flow Visualization","Vector Field","","Simplification","Segmentation","Clustering","Centroidal Voronoi tessellation","","","","","Data visualization","Computer vision","Data flow computing","Image segmentation","Displays","Noise shaping","Data mining","Statistical distributions","Mathematics","Convolution","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372178","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","54","43","Centroidal Voronoi tessellation based algorithms for vector fields visualization and segmentation"
