Journal,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited_CrossRef,Downloads_Xplore,Award,GraphicsReplicabilityStamp
CG&A,2017,A Decision-Support System for Sustainable Water Distribution System Planning,10.1109/mcg.2015.120,http://dx.doi.org/10.1109/MCG.2015.120,44,55,MAG,"An interactive decision-support system (DSS) can help experts prepare water resource management plans for decision makers and stakeholders. The design of the proposed prototype incorporates visualization techniques such as circle views, grid layout, small multiple maps, and node simplification to improve the data readability of water distribution systems. A case study with three urban water management and sanitary engineering experts revealed that the proposed DSS is satisfactory, efficient, and effective.",Alina Freund;Nazli Yonca Aydin;Dirk Zeckzer;Hans Hagen,Alina Freund;Nazli Yonca Aydin;Dirk Zeckzer;Hans Hagen,University of Kaiserslautern;University of Kaiserslautern;Leipzig University;University of Kaiserslautern,,"computer graphics,multiattribute visualization,,,,,,,,,,,network graphs,,,,,,,,,,,time-dependent attributes,,,,decision-support system,water resource management",,4,32,806,,
CG&A,2017,Glyph Visualization: A Fail-Safe Design Scheme Based on Quasi-Hamming Distances,10.1109/mcg.2016.66,http://dx.doi.org/10.1109/MCG.2016.66,31,41,MAG,"In many spatial and temporal visualization applications, glyphs provide an effective means for encoding multivariate data. However, because glyphs are typically small, they are vulnerable to various perceptual errors. This article introduces the concept of a quasi-Hamming distance in the context of glyph design and examines the feasibility of estimating the quasi-Hamming distance between a pair of glyphs and the minimal Hamming distance for a glyph set. The authors demonstrate the design concept by developing a file-system event visualization that can depict the activities of multiple users.",Philip A. Legg;Eamonn Maguire;Simon J. Walton;Min Chen 0001,Philip A. Legg;Eamonn Maguire;Simon Walton;Min Chen,University of the West of England;CERN European Laboratory for Particle Physics;University of Oxford;University of Oxford,0.1109/infvis.2004.27;10.1109/tvcg.2012.271;10.1109/visual.1991.175815;10.1109/tvcg.2010.132,"computer graphics,glyph-based visualization,,,,,,,,,,,information visualization,,,,,,,,,,,glyph designs",,3,18,502,,
CG&A,2017,Layered Graph Drawing for Visualizing Evaluation Structures,10.1109/mcg.2016.40,http://dx.doi.org/10.1109/MCG.2016.40,20,30,MAG,"An evaluation structure is a hierarchical structure of human cognition extracted from interviews based on the evaluation grid method. An evaluation structure can be defined as a directed acyclic graph (DAG). The authors propose a layer-assignment method that is part of the Sugiyama framework, a popular method for drawing DAGs, to satisfy the requirements for drawing evaluation structures. Their evaluations demonstrate that the layered graph drawing produced by the proposed layer-assignment method is preferred by users and aids in the understanding of evaluation structures.",Yosuke Onoue;Nobuyuki Kukimoto;Naohisa Sakamoto;Kazuo Misue;Koji Koyamada,Yosuke Onoue;Nobuyuki Kukimoto;Naohisa Sakamoto;Kazuo Misue;Koji Koyamada,Kyoto University;Kyoto University;Kyoto University;University of Tsukuba;Kyoto University,0.1109/tvcg.2009.109;10.1109/tvcg.2008.155;10.1109/tvcg.2011.185,"computer graphics,layered graph drawing,,,,,,,,,,,Sugiyama framework,,,,,,,,,,,evaluation grid method,,,,Kansei engineering",,3,29,446,,
CG&A,2015,A Graph-Based Method for Detecting Rare Events: Identifying Pathologic Cells,10.1109/mcg.2014.78,http://dx.doi.org/10.1109/MCG.2014.78,65,73,MAG,"Detection of outliers and anomalous behavior is a well-known problem in the data mining and statistics fields. Although the problem of identifying single outliers has been extensively studied in the literature, little effort has been devoted to detecting small groups of outliers that are similar to each other but markedly different from the entire population. Many real-world scenarios have small groups of outliers--for example, a group of students who excel in a classroom or a group of spammers in an online social network. In this article, the authors propose a novel method to solve this challenging problem that lies at the frontiers of outlier detection and clustering of similar groups. The method transforms a multidimensional dataset into a graph, applies a network metric to detect clusters, and renders a representation for visual assessment to find rare events. The authors tested the proposed method to detect pathologic cells in the biomedical science domain. The results are promising and confirm the available ground truth provided by the domain experts.",Eniko Szekely;Arnaud Sallaberry;Faraz Zaidi;Pascal Poncelet,Enikö Székely;Arnaud Sallaberry;Faraz Zaidi;Pascal Poncelet,"New York University;Universite Paul Valery;University of Lausanne, Karachi Institute of Economics and Technology;Université Montpellier 2",0.1109/infvis.2003.1249011,"computer graphics,outlier detection,,,,,,,,,,,rare events,,,,,,,,,,,group of outliers,,,,visualization,clustering,pathologic cells",,1,14,633,,
TVCG,2012,Unified Boundary-Aware Texturing for Interactive Volume Rendering,10.1109/tvcg.2011.285,http://dx.doi.org/10.1109/TVCG.2011.285,1942,1955,J,"In this paper, we describe a novel approach for applying texture mapping to volumetric data sets. In contrast to previous approaches, the presented technique enables a unified integration of 2D and 3D textures and thus allows to emphasize material boundaries as well as volumetric regions within a volumetric data set at the same time. One key contribution of this paper is a parametrization technique for volumetric data sets, which takes into account material boundaries and volumetric regions. Using this technique, the resulting parametrizations of volumetric data sets enable texturing effects which create a higher degree of realism in volume rendered images. We evaluate the quality of the parametrization and demonstrate the usefulness of the proposed concepts by combining volumetric texturing with volumetric lighting models to generate photorealistic volume renderings. Furthermore, we show the applicability in the area of illustrative visualization.",Timo Ropinski;Stefan Diepenbrock;Stefan Bruckner;Klaus H. Hinrichs;M. Eduard Gröller,Timo Ropinski;Stefan Diepenbrock;Stefan Bruckner;Klaus Hinrichs;Eduard Gröller,"University of Linköping, Norrköping, Sweden;University of Münster, Muenster, Germany;Vienna University of Technology, Wien, Austria;University of Münster, Muenster, Germany;Technical University Vienna, Vienna",0.1109/visual.2002.1183787;10.1109/visual.2000.885696;10.1109/tvcg.2008.120;10.1109/tvcg.2008.161;10.1109/visual.2001.964519;10.1109/visual.1998.745325;10.1109/tvcg.2008.170,"Volumetric texturing,interactive volume rendering",,0,63,531,,
TVCG,2013,Visualization and Visual Analysis of Multifaceted Scientific Data: A Survey,10.1109/tvcg.2012.110,http://dx.doi.org/10.1109/TVCG.2012.110,495,513,J,"Visualization and visual analysis play important roles in exploring, analyzing, and presenting scientific data. In many disciplines, data and model scenarios are becoming multifaceted: data are often spatiotemporal and multivariate; they stem from different data sources (multimodal data), from multiple simulation runs (multirun/ensemble data), or from multiphysics simulations of interacting phenomena (multimodel data resulting from coupled simulation models). Also, data can be of different dimensionality or structured on various types of grids that need to be related or fused in the visualization. This heterogeneity of data characteristics presents new opportunities as well as technical challenges for visualization research. Visualization and interaction techniques are thus often combined with computational analysis. In this survey, we study existing methods for visualization and interactive visual analysis of multifaceted scientific data. Based on a thorough literature review, a categorization of approaches is proposed. We cover a wide range of fields and discuss to which degree the different challenges are matched with existing solutions for visualization and visual analysis. This leads to conclusions with respect to promising research directions, for instance, to pursue new solutions for multirun and multimodel data as well as techniques that support a multitude of facets.",Johannes Kehrer;Helwig Hauser,Johannes Kehrer;Helwig Hauser,"Department of Informatics, University of Bergen, Norway, Austria;Department of Informatics, University of Bergen, Norway",0.1109/tvcg.2007.70569;10.1109/visual.2005.1532781;10.1109/visual.1994.346302;10.1109/visual.2000.885739;10.1109/tvcg.2009.197;10.1109/tvcg.2006.170;10.1109/infvis.2005.1532138;10.1109/tvcg.2007.70617;10.1109/infvis.2002.1173157;10.1109/tvcg.2007.70591;10.1109/infvis.2004.3;10.1109/visual.1999.809905;10.1109/visual.2003.1250386;10.1109/tvcg.2008.116;10.1109/tvcg.2006.117;10.1109/visual.1997.663913;10.1109/tvcg.2009.199;10.1109/visual.1994.346298;10.1109/infvis.1999.801851;10.1109/infvis.2005.1532142;10.1109/tvcg.2006.165;10.1109/tvcg.2006.164;10.1109/tvcg.2007.70588;10.1109/tvcg.2007.70560;10.1109/tvcg.2010.111;10.1109/visual.1999.809873;10.1109/visual.1996.568140;10.1109/tvcg.2007.70534;10.1109/visual.2000.885736;10.1109/visual.2001.964550;10.1109/tvcg.2008.139;10.1109/infvis.2005.1532144;10.1109/tvcg.2010.171;10.1109/tvcg.2008.145;10.1109/visual.1993.398859;10.1109/infvis.2004.10;10.1109/vast.2009.5332611;10.1109/tvcg.2010.190;10.1109/vast.2010.5652460;10.1109/tvcg.2010.181;10.1109/tvcg.2006.152;10.1109/tvcg.2011.229;10.1109/tvcg.2008.153;10.1109/tvcg.2009.155;10.1109/tvcg.2011.183;10.1109/tvcg.2007.70515,"Visualization,interactive visual analysis,,,,,,,,,,,multirun,,,,,,,,,,,multimodel,,,,multimodal,multivariate,spatiotemporal data",,258,178,8223,,
TVCG,2011,The Design Space of Implicit Hierarchy Visualization: A Survey,10.1109/tvcg.2010.79,http://dx.doi.org/10.1109/TVCG.2010.79,393,411,J,"Apart from explicit node-link representations, implicit visualizations and especially the Treemap as their frontrunner have acquired a solid position among the available techniques to visualize hierarchies. Their advantage is a highly space-efficient graphical representation that does not require explicit drawing of edges. In this paper, we survey the design space for this class of visualization techniques. We establish the design space along the four axes of dimensionality, edge representation, node representation, and layout by examining existing implicit hierarchy visualization techniques. The survey is completed by casting some light into regions of the design space that have not yet been explored. Our design space is not a mere theoretical construct, but a practically usable tool for rapid visualization development. To that end, we discuss a software implementation of the introduced design space.",Hans-Jörg Schulz;Steffen Hadlak;Heidrun Schumann,Hans-Jorg Schulz;Steffen Hadlak;Heidrun Schumann,"Department of Computer Graphics, Institute of Computer Science, Faculty of Computer Science and Electrical Engineering, University of Rostock, Rostock, Germany;Department of Computer Graphics, Institute of Computer Science, Faculty of Computer Science and Electrical Engineering, University of Rostock, Rostock, Germany;Department of Computer Graphics, Institute of Computer Science, Faculty of Computer Science and Electrical Engineering, University of Rostock, Rostock, Germany",0.1109/infvis.1996.559212;10.1109/infvis.2003.1249027;10.1109/infvis.2001.963291;10.1109/tvcg.2008.165;10.1109/visual.2004.39;10.1109/visual.1992.235217;10.1109/infvis.2002.1173153;10.1109/visual.1996.567745;10.1109/infvis.1999.801860;10.1109/infvis.2005.1532145;10.1109/tvcg.2007.70529;10.1109/visual.1991.175815;10.1109/infvis.2000.885091;10.1109/tvcg.2006.200;10.1109/infvis.1998.729557;10.1109/tvcg.2009.128;10.1109/infvis.2005.1532128,"Information visualization,hierarchy visualization,,,,,,,,,,,Treemaps,,,,,,,,,,,visualization design space,,,,rapid visualization prototyping.",,108,79,3081,,
TVCG,2013,Splatterplots: Overcoming Overdraw in Scatter Plots,10.1109/tvcg.2013.65,http://dx.doi.org/10.1109/TVCG.2013.65,1526,1538,J,"We introduce Splatterplots, a novel presentation of scattered data that enables visualizations that scale beyond standard scatter plots. Traditional scatter plots suffer from overdraw (overlapping glyphs) as the number of points per unit area increases. Overdraw obscures outliers, hides data distributions, and makes the relationship among subgroups of the data difficult to discern. To address these issues, Splatterplots abstract away information such that the density of data shown in any unit of screen space is bounded, while allowing continuous zoom to reveal abstracted details. Abstraction automatically groups dense data points into contours and samples remaining points. We combine techniques for abstraction with perceptually based color blending to reveal the relationship between data subgroups. The resulting visualizations represent the dense regions of each subgroup of the data set as smooth closed shapes and show representative outliers explicitly. We present techniques that leverage the GPU for Splatterplot computation and rendering, enabling interaction with massive data sets. We show how Splatterplots can be an effective alternative to traditional methods of displaying scatter data communicating data trends, outliers, and data set relationships much like traditional scatter plots, but scaling to data sets of higher density and up to millions of points on the screen.",Adrian Mayorga;Michael Gleicher,Adrian Mayorga;Michael Gleicher,"Department of Computer Sciences, University of Wisconsin-Madison, Madison, WI, USA;Department of Computer Sciences, University of Wisconsin-Madison, Madison, WI, USA",0.1109/tvcg.2007.70535;10.1109/tvcg.2008.119;10.1109/tvcg.2007.70596;10.1109/tvcg.2010.197;10.1109/tvcg.2009.175;10.1109/tvcg.2007.70623;10.1109/tvcg.2009.122;10.1109/tvcg.2008.153,"Scalability issues,visual design,,,,,,,,,,,perception theory,,,,,,,,,,,statistical graphics",,106,38,3282,,
TVCG,2013,KelpFusion: A Hybrid Set Visualization Technique,10.1109/tvcg.2013.76,http://dx.doi.org/10.1109/TVCG.2013.76,1846,1858,J,"We present KelpFusion: a method for depicting set membership of items on a map or other visualization using continuous boundaries. KelpFusion is a hybrid representation that bridges hull techniques such as Bubble Sets and Euler diagrams and line- and graph-based techniques such as LineSets and Kelp Diagrams. We describe an algorithm based on shortest-path graphs to compute KelpFusion visualizations. Based on a single parameter, the shortest-path graph varies from the minimal spanning tree to the convex hull of a point set. Shortest-path graphs aim to capture the shape of a point set and smoothly adapt to sets of varying densities. KelpFusion fills enclosed faces based on a set of simple legibility rules. We present the results of a controlled experiment comparing KelpFusion to Bubble Sets and LineSets. We conclude that KelpFusion outperforms Bubble Sets both in accuracy and completion time and outperforms LineSets in completion time.",Wouter Meulemans;Nathalie Henry Riche;Bettina Speckmann;Basak Alper;Tim Dwyer,Wouter Meulemans;Nathalie Henry Riche;Bettina Speckmann;Basak Alper;Tim Dwyer,"Technische Universitat Eindhoven, Eindhoven, Netherlands;Microsoft Research, Redmond, WA, USA;Technische Universitat Eindhoven, Eindhoven, Netherlands;University of California, Santa Barbara, Santa Barbara, CA, USA;Monash University, Caulfield East, VIC, Australia",0.1109/tvcg.2009.122;10.1109/tvcg.2010.210;10.1109/tvcg.2011.186,"Information visualization,visualization techniques and methodologies",,76,19,1568,,
TVCG,2012,Conceptual Recurrence Plots: Revealing Patterns in Human Discourse,10.1109/tvcg.2011.100,http://dx.doi.org/10.1109/TVCG.2011.100,988,997,J,"Human discourse contains a rich mixture of conceptual information. Visualization of the global and local patterns within this data stream is a complex and challenging problem. Recurrence plots are an information visualization technique that can reveal trends and features in complex time series data. The recurrence plot technique works by measuring the similarity of points in a time series to all other points in the same time series and plotting the results in two dimensions. Previous studies have applied recurrence plotting techniques to textual data; however, these approaches plot recurrence using term-based similarity rather than conceptual similarity of the text. We introduce conceptual recurrence plots, which use a model of language to measure similarity between pairs of text utterances, and the similarity of all utterances is measured and displayed. In this paper, we explore how the descriptive power of the recurrence plotting technique can be used to discover patterns of interaction across a series of conversation transcripts. The results suggest that the conceptual recurrence plotting technique is a useful tool for exploring the structure of human discourse.",Daniel Angus;Andrew E. Smith;Janet Wiles,Daniel Angus;Andrew Smith;Janet Wiles,"School of Information Technology and Electrical Engineering, University of Queensland, St Lucia, QLD, Australia;School of Information Technology and Electrical Engineering, Institute for Social Science Research, University of Queensland, St Lucia, QLD, Australia;School of Information Technology and Electrical Engineering, University of Queensland, St Lucia, QLD, Australia",0.1109/infvis.2002.1173155;10.1109/infvis.2004.10;10.1109/visual.1995.485140;10.1109/infvis.2000.885098,"Concept map,recurrence,,,,,,,,,,,concept,,,,,,,,,,,plotting,,,,conversation analysis,text analysis.",,65,18,1770,,
TVCG,2011,Forecasting Hotspots—A Predictive Analytics Approach,10.1109/tvcg.2010.82,http://dx.doi.org/10.1109/TVCG.2010.82,440,453,J,"Current visual analytics systems provide users with the means to explore trends in their data. Linked views and interactive displays provide insight into correlations among people, events, and places in space and time. Analysts search for events of interest through statistical tools linked to visual displays, drill down into the data, and form hypotheses based upon the available information. However, current systems stop short of predicting events. In spatiotemporal data, analysts are searching for regions of space and time with unusually high incidences of events (hotspots). In the cases where hotspots are found, analysts would like to predict how these regions may grow in order to plan resource allocation and preventative measures. Furthermore, analysts would also like to predict where future hotspots may occur. To facilitate such forecasting, we have created a predictive visual analytics toolkit that provides analysts with linked spatiotemporal and statistical analytic views. Our system models spatiotemporal events through the combination of kernel density estimation for event distribution and seasonal trend decomposition by loess smoothing for temporal predictions. We provide analysts with estimates of error in our modeling, along with spatial and temporal alerts to indicate the occurrence of statistically significant hotspots. Spatial data are distributed based on a modeling of previous event locations, thereby maintaining a temporal coherence with past events. Such tools allow analysts to perform real-time hypothesis testing, plan intervention strategies, and allocate resources to correspond to perceived threats.",Ross Maciejewski;Ryan Hafen;Stephen Rudolph;Stephen G. Larew;Michael A. Mitchell;William S. Cleveland;David S. Ebert,Ross Maciejewski;Ryan Hafen;Stephen Rudolph;Stephen G. Larew;Michael A. Mitchell;William S. Cleveland;David S. Ebert,"Purdue University, West Lafayette, IN, USA;Purdue University, West Lafayette, IN, USA;Purdue University, West Lafayette, IN, USA;Purdue University, West Lafayette, IN, USA;Purdue University, West Lafayette, IN, USA;Purdue University, West Lafayette, IN, USA;Purdue University, West Lafayette, IN, USA",0.1109/visual.2000.885679;10.1109/tvcg.2008.149;10.1109/infvis.2004.27;10.1109/vast.2007.4389006;10.1109/vast.2007.4388993;10.1109/infvis.1998.729563,"Predictive analytics,visual analytics,,,,,,,,,,,syndromic surveillance.",,64,47,2968,,
TVCG,2013,The Five Ws for Information Visualization with Application to Healthcare Informatics,10.1109/tvcg.2013.89,http://dx.doi.org/10.1109/TVCG.2013.89,1895,1910,J,"The Five Ws is a popular concept for information gathering in journalistic reporting. It captures all aspects of a story or incidence: who, when, what, where, and why. We propose a framework composed of a suite of cooperating visual information displays to represent the Five Ws and demonstrate its use within a healthcare informatics application. Here, the who is the patient, the where is the patient's body, and the when, what, why is a reasoning chain which can be interactively sorted and brushed. The patient is represented as a radial sunburst visualization integrated with a stylized body map. This display captures all health conditions of the past and present to serve as a quick overview to the interrogating physician. The reasoning chain is represented as a multistage flow chart, composed of date, symptom, data, diagnosis, treatment, and outcome. Our system seeks to improve the usability of information captured in the electronic medical record (EMR) and we show via multiple examples that our framework can significantly lower the time and effort needed to access the medical patient information required to arrive at a diagnostic conclusion.",Zhiyuan Zhang 0006;Bing Wang 0007;Faisal Ahmed 0001;I. V. Ramakrishnan;Rong Zhao;Asa Viccellio;Klaus Mueller 0001,Zhiyuan Zhang;Bing Wang;Faisal Ahmed;I.V. Ramakrishnan;Rong Zhao;Asa Viccellio;Klaus Mueller,"Visual Analytics and Imaging Laboratory at the Computer Science Department, Stony Brook University, NY, USA;Visual Analytics and Imaging Laboratory at the Computer Science Department, Stony Brook University, NY, USA;Applied Logic Laboratory at the Computer Science Department, Stony Brook University, NY, USA;Applied Logic Laboratory at the Computer Science Department, Stony Brook University, NY, USA;Computer Science Department, Stony Brook University, NY, USA;Department of Emergency Medicine, Stony Brook University Hospital, NY, USA;Visual Analytics and Imaging Laboratory at the Computer Science Department, Stony Brook University, NY, USA",0.1109/visual.1991.175815;10.1109/tvcg.2006.147;10.1109/tvcg.2012.225;10.1109/tvcg.2010.209;10.1109/infvis.2000.885091;10.1109/tvcg.2010.179,"Visual knowledge representation,data fusion and integration,,,,,,,,,,,coordinated and multiple views,,,,,,,,,,,focus and context,,,,health informatics,electronic medical record (EMR),electronic health record (EHR)",,53,41,2710,,
TVCG,2012,Streamline Embedding for 3D Vector Field Exploration,10.1109/tvcg.2011.78,http://dx.doi.org/10.1109/TVCG.2011.78,407,420,J,"We propose a new technique for visual exploration of streamlines in 3D vector fields. We construct a map from the space of all streamlines to points in IRn based on the preservation of the Hausdorff metric in streamline space. The image of a vector field under this map is a set of 2-manifolds in IRn with characteristic geometry and topology. Then standard clustering methods applied to the point sets in IRn yield a segmentation of the original vector field. Our approach provides a global analysis of 3D vector fields which incorporates the topological segmentation but yields additional information. In addition to a pure segmentation, the established map provides a natural ""parametrization” visualized by the manifolds. We test our approach on a number of synthetic and real-world data sets.",Christian Rössl;Holger Theisel,Christian Rossl;Holger Theisel,"Institut für Simulation und Graphik, AG Visual Computing, Otto-von-Guericke-Universität Magdeburg, Magdeburg, Germany;Institut für Simulation und Graphik, AG Visual Computing, Otto-von-Guericke-Universität Magdeburg, Magdeburg, Germany",0.1109/visual.2004.32;10.1109/visual.1999.809904;10.1109/visual.1999.809865;10.1109/visual.2005.1532778;10.1109/visual.1999.809863;10.1109/visual.2003.1250376;10.1109/visual.1997.663858;10.1109/visual.2005.1532779;10.1109/visual.2000.885690;10.1109/tvcg.2009.112,"Vector fields,streamline embedding,,,,,,,,,,,clustering.",,49,41,1083,,
TVCG,2013,A Survey of Visualization Pipelines,10.1109/tvcg.2012.133,http://dx.doi.org/10.1109/TVCG.2012.133,367,378,J,"The most common abstraction used by visualization libraries and applications today is what is known as the visualization pipeline. The visualization pipeline provides a mechanism to encapsulate algorithms and then couple them together in a variety of ways. The visualization pipeline has been in existence for over 20 years, and over this time many variations and improvements have been proposed. This paper provides a literature review of the most prevalent features of visualization pipelines and some of the most recent research directions.",Kenneth Moreland,Kenneth Moreland,"Sandia National Laboratories, Albuquerque, NM",0.1109/visual.1997.663888;10.1109/visual.1999.809864;10.1109/tvcg.2006.128;10.1109/visual.2005.1532788;10.1109/visual.2002.1183791;10.1109/tvcg.2010.259;10.1109/tvcg.2008.174;10.1109/tvcg.2007.70584;10.1109/visual.1996.568115;10.1109/visual.1992.235219;10.1109/visual.1992.235205;10.1109/visual.1993.398879;10.1109/visual.1991.175811;10.1109/visual.1995.480821;10.1109/visual.1999.809891;10.1109/tvcg.2007.70600;10.1109/tvcg.2008.184;10.1109/tvcg.2008.157;10.1109/visual.1998.745299,"Visualization pipelines,dataflow networks,temporal visualization,pipeline contracts,prioritized streaming,query-driven visualization,parallel visualization,task parallelism,pipeline parallelism,data parallelism,rendering,hybrid parallel,event driven,provenance,scheduling,in situ visualization,functional field model,MapReduce,domain specific languages,,,,,push model,,,,demand driven,pull model,central control,distributed control,pipeline executive,out-of-core streaming",,52,106,2802,,
TVCG,2012,"Toward Visualization for Games: Theory, Design Space, and Patterns",10.1109/tvcg.2012.77,http://dx.doi.org/10.1109/TVCG.2012.77,1956,1968,J,"Electronic games are starting to incorporate in-game telemetry that collects data about player, team, and community performance on a massive scale, and as data begins to accumulate, so does the demand for effectively analyzing this data. In this paper, we use examples from both old and new games of different genres to explore the theory and design space of visualization for games. Drawing on these examples, we define a design space for this novel research topic and use it to formulate design patterns for how to best apply visualization technology to games. We then discuss the implications that this new framework will potentially have on the design and development of game and visualization technology in the future.",Brian Bowman;Niklas Elmqvist;T. J. Jankun-Kelly,Brian Bowman;Niklas Elmqvist;T.J. Jankun-Kelly,"School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN, USA;School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN, USA;Department of Computer Science and Engineering, Bagley College of Engineering, Mississippi State University, MS, USA",0.1109/visual.2004.120;10.1109/tvcg.2008.166;10.1109/tvcg.2007.70541,"Computer games,video games,,,,,,,,,,,interactive entertainment,,,,,,,,,,,entertainment,,,,visualization,game analytics",,50,91,2517,,
TVCG,2013,TimeSeer: Scagnostics for High-Dimensional Time Series,10.1109/tvcg.2012.128,http://dx.doi.org/10.1109/TVCG.2012.128,470,483,J,"We introduce a method (Scagnostic time series) and an application (TimeSeer) for organizing multivariate time series and for guiding interactive exploration through high-dimensional data. The method is based on nine characterizations of the 2D distributions of orthogonal pairwise projections on a set of points in multidimensional euclidean space. These characterizations include measures, such as, density, skewness, shape, outliers, and texture. Working directly with these Scagnostic measures, we can locate anomalous or interesting subseries for further analysis. Our application is designed to handle the types of doubly multivariate data series that are often found in security, financial, social, and other sectors.",Dang Tuan Nhon;Anushka Anand;Leland Wilkinson,Tuan Nhon Dang;Anushka Anand;Leland Wilkinson,"Department of Computer Science, University of Illinois at Chicago, Chicago, IL;Department of Computer Science, University of Illinois at Chicago, Chicago, IL;SYSTAT Software Inc, University of Illinois at Chicago, Chicago, IL",0.1109/vast.2006.261423;10.1109/tvcg.2010.184;10.1109/infvis.2005.1532136;10.1109/infvis.2001.963273;10.1109/infvis.2005.1532142;10.1109/tvcg.2008.166;10.1109/infvis.1999.801851;10.1109/infvis.2000.885098;10.1109/tvcg.2008.131,"Scagnostics,scatterplot matrix,,,,,,,,,,,high-dimensional visual analytics,,,,,,,,,,,multiple time series",,43,48,1446,,
TVCG,2012,Model-Driven Design for the Visual Analysis of Heterogeneous Data,10.1109/tvcg.2011.108,http://dx.doi.org/10.1109/TVCG.2011.108,998,1010,J,"As heterogeneous data from different sources are being increasingly linked, it becomes difficult for users to understand how the data are connected, to identify what means are suitable to analyze a given data set, or to find out how to proceed for a given analysis task. We target this challenge with a new model-driven design process that effectively codesigns aspects of data, view, analytics, and tasks. We achieve this by using the workflow of the analysis task as a trajectory through data, interactive views, and analytical processes. The benefits for the analysis session go well beyond the pure selection of appropriate data sets and range from providing orientation or even guidance along a preferred analysis path to a potential overall speedup, allowing data to be fetched ahead of time. We illustrate the design process for a biomedical use case that aims at determining a treatment plan for cancer patients from the visual analysis of a large, heterogeneous clinical data pool. As an example for how to apply the comprehensive design approach, we present Stack'n'flip, a sample implementation which tightly integrates visualizations of the actual data with a map of available data sets, views, and tasks, thus capturing and communicating the analytical workflow through the required data sets.",Marc Streit;Hans-Jörg Schulz;Alexander Lex;Dieter Schmalstieg;Heidrun Schumann,Marc Streit;Hans-Jorg Schulz;Alexander Lex;Dieter Schmalstieg;Heidrun Schumann,"Institute for Computer Graphics and Vision, Graz University of Technology, Graz, Austria;Department of Computer Graphics, Institute of Computer Science, Faculty of Computer Science and Electrical Engineering, University of Rostock, Rostock, Germany;Institute for Computer Graphics and Vision, Graz University of Technology, Graz, Austria;Institute for Computer Graphics and Vision, Graz University of Technology, Graz, Austria;Department of Computer Graphics, Institute of Computer Science, Faculty of Computer Science and Electrical Engineering, University of Rostock, Rostock, Germany",0.1109/tvcg.2008.174;10.1109/tvcg.2007.70589;10.1109/infvis.2004.2;10.1109/tvcg.2008.137;10.1109/tvcg.2007.70521;10.1109/tvcg.2009.111,"Visual analytics,analysis guidance,,,,,,,,,,,model-driven design,,,,,,,,,,,multiple data sets.",,38,28,1208,,
TVCG,2013,TripAdvisor^{N-D}: A Tourism-Inspired High-Dimensional Space Exploration Framework with Overview and Detail,10.1109/tvcg.2012.65,http://dx.doi.org/10.1109/TVCG.2012.65,291,305,J,"Gaining a true appreciation of high-dimensional space remains difficult since all of the existing high-dimensional space exploration techniques serialize the space travel in some way. This is not so foreign to us since we, when traveling, also experience the world in a serial fashion. But we typically have access to a map to help with positioning, orientation, navigation, and trip planning. Here, we propose a multivariate data exploration tool that compares high-dimensional space navigation with a sightseeing trip. It decomposes this activity into five major tasks: 1) Identify the sights: use a map to identify the sights of interest and their location; 2) Plan the trip: connect the sights of interest along a specifyable path; 3) Go on the trip: travel along the route; 4) Hop off the bus: experience the location, look around, zoom into detail; and 5) Orient and localize: regain bearings in the map. We describe intuitive and interactive tools for all of these tasks, both global navigation within the map and local exploration of the data distributions. For the latter, we describe a polygonal touchpad interface which enables users to smoothly tilt the projection plane in high-dimensional space to produce multivariate scatterplots that best convey the data relationships under investigation. Motion parallax and illustrative motion trails aid in the perception of these transient patterns. We describe the use of our system within two applications: 1) the exploratory discovery of data configurations that best fit a personal preference in the presence of tradeoffs and 2) interactive cluster analysis via cluster sculpting in N-D.",Julia Eunju Nam;Klaus Mueller 0001,Julia EunJu Nam;Klaus Mueller,"Microsoft Corporation, Redmond, WA, USA;Department of Computer Science, Stony Brook University (State University of New York), Stony Brook, NY, USA",0.1109/vast.2007.4388999;10.1109/visual.1990.146402;10.1109/infvis.2004.3;10.1109/tvcg.2007.70581;10.1109/tvcg.2008.153;10.1109/vast.2010.5652484;10.1109/vast.2008.4677352,"High-dimensional data,coordinated and multiple views,,,,,,,,,,,zooming and navigation techniques,,,,,,,,,,,data transformation and representation,,,,data clustering,visual analytics",,37,35,1665,,
