"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"We present a new algorithm for extracting adaptive multiresolution triangle meshes from volume datasets. The algorithm guarantees that the topological genus of the generated mesh is the same as the genus of the surface embedded in the volume dataset at all levels of detail. In addition to this ""hard constraint"" on the genus of the mesh, the user can choose to specify some number of soft geometric constraints, such as triangle aspect ratio, minimum or maximum total number of vertices, minimum and/or maximum triangle edge lengths, maximum magnitude of various error metrics per triangle or vertex, including maximum curvature (area) error, maximum distance to the surface, and others. The mesh extraction process is fully automatic and does not require manual adjusting of parameters to produce the desired results as long as the user does not specify incompatible constraints. The algorithm robustly handles special topological cases, such as trimmed surfaces (intersections of the surface with the volume boundary), and manifolds with multiple disconnected components (several closed surfaces embedded in the same volume dataset). The meshes may self-intersect at coarse resolutions. However, the self-intersections are corrected automatically as the resolution of the meshes increase. We show several examples of meshes extracted from complex volume datasets.","https://ieeexplore.ieee.org/document/964524/","LOCKED","964524","Comput. Sci. Dept., California Inst. of Technol., USA","https://ieeexplore.ieee.org/author/37726527300","1","M. Gavriliu","37726527300","Comput. Sci. Dept., California Inst. of Technol., USA","https://ieeexplore.ieee.org/author/37726527100","2","J. Carranza","37726527100","Comput. Sci. Dept., California Inst. of Technol., USA","https://ieeexplore.ieee.org/author/37349884100","3","D.E. Breen","37349884100","Comput. Sci. Dept., California Inst. of Technol., USA","https://ieeexplore.ieee.org/author/37360174300","4","A.H. Barr","37360174300","","","","","","","","","","","","","","","","","","","","","","","","","","","8","0","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964524","565","https://ieeexplore.ieee.org/document/964524/","Data mining","Mesh generation","Biomedical imaging","Data visualization","Computer science","Robustness","Application software","Fluid dynamics","Computational modeling","Medical simulation","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964524","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","11","295","Fast extraction of adaptive multiresolution meshes with guaranteed properties from volumetric data"
"We introduce a simple but effective extension to the existing pure point rendering systems. Rather than using only points, we use both points and polygons to represent and render large mesh models. We start from triangles as leaf nodes and build up a hierarchical tree structure with intermediate nodes as points. During the rendering, the system determines whether to use a point (of a certain intermediate level node) or a triangle (of a leaf node) for display depending on the screen contribution of each node. While points are used to speedup the rendering of distant objects, triangles are used to ensure the quality of close objects. Our method can accelerate the rendering of large models, compromising little in image quality.","https://ieeexplore.ieee.org/document/964492/","LOCKED","964492","Dept. of Comput. Sci. & Eng., Minnesota Univ., Twin Cities, MN, USA","https://ieeexplore.ieee.org/author/37559619200","1","Baoquan Chen","37559619200","Dept. of Comput. Sci. & Eng., Minnesota Univ., Twin Cities, MN, USA","https://ieeexplore.ieee.org/author/37565615300","2","Minh Xuan Nguyen","37565615300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","1","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964492","540","https://ieeexplore.ieee.org/document/964492/","Rendering (computer graphics)","Electrical capacitance tomography","Costs","Interpolation","Acceleration","Image quality","Computer graphics","Computer science","Cities and towns","Tree data structures","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964492","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","12","45","POP: a hybrid point and polygon rendering system for large data"
"Traditional methods for displaying weather products are generally two-dimensional (2D) plots or just text format. It is hard for forecasters to get the entire picture of the atmosphere using these methods. The problems apparent in 2D with comparing and correlating multiple layers are overcome simply by adding a dimension. This is important because pertinent features in the data sets may lie in multiple layers and span several time steps. However, simply using a three-dimensional (3D) approach is not enough. The capacity for analysis of small-scale, but important, features in 2D are lost when transitioning to 3D. We propose that 3D's advantages can be incorporated with 2D's small-scale analysis by using an immersive virtual environment. In this case study, we evaluate our current standing with the project: have we met our goals, and how should we proceed from this point? To evaluate our application, we invited meteorologists to use the application to explore a data set. Then we presented our goals and asked which ones had we met, from a meteorologist's perspective. The results qualitatively reflected that our application was effective and further research would be worthwhile.","https://ieeexplore.ieee.org/document/964559/","LOCKED","964559","NSF Eng. Res. Center, Mississippi State Univ., MS, USA","https://ieeexplore.ieee.org/author/37400175300","1","S. Ziegeler","37400175300","NSF Eng. Res. Center, Mississippi State Univ., MS, USA","https://ieeexplore.ieee.org/author/37282559500","2","R.J. Moorhead","37282559500","","https://ieeexplore.ieee.org/author/38180788900","3","P.J. Croft","38180788900","","https://ieeexplore.ieee.org/author/37731096900","4","Duanjun Lu","37731096900","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964559","596","https://ieeexplore.ieee.org/document/964559/","Computer aided software engineering","Meteorology","Virtual environment","Atmospheric modeling","Atmosphere","Physics","Weather forecasting","Virtual reality","Data visualization","Equations","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964559","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","13","489","The MetVR case study: meteorological visualization in an immersive virtual environment"
"We present several techniques for user-centric viewing of the virtual objects or datasets under haptic exploration and manipulation. Depending on the type of tasks performed by the user, our algorithms compute automatic placement of the user viewpoint to navigate through the scene, to display the near-optimal views, and to reposition the viewpoint for haptic visualization. This is accomplished by conjecturing the user's intent based on the user's actions, the object geometry, and intra- and inter-object occlusion relationships. These algorithms have been implemented and interfaced with both a 3-DOF and a 6-DOF PHANToM arms. We demonstrate their application on haptic exploration and visualization of a complex structure, as well as multiresolution modeling and 3D painting with a haptic interface.","https://ieeexplore.ieee.org/document/964526/","LOCKED","964526","Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/37282557800","1","M.A. Otaduy","37282557800","Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/37278387400","2","M.C. Lin","37278387400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","4","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964526","567","https://ieeexplore.ieee.org/document/964526/","Haptic interfaces","Probes","Virtual reality","Cameras","Navigation","Layout","Computer graphics","Three dimensional displays","Data visualization","Force feedback","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964526","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","14","311","User-centric viewpoint computation for haptic exploration and manipulation"
"Presents an efficient method to automatically compute a smooth approximation of large functional scattered data sets given over arbitrarily shaped planar domains. Our approach is based on the construction of a C/sup 1/-continuous bivariate cubic spline and our method offers optimal approximation order. Both local variation and nonuniform distribution of the data are taken into account by using local polynomial least squares approximations of varying degree. Since we only need to solve small linear systems and no triangulation of the scattered data points is required, the overall complexity of the algorithm is linear in the total number of points. Numerical examples dealing with several real-world scattered data sets with up to millions of points demonstrate the efficiency of our method. The resulting spline surface is of high visual quality and can be efficiently evaluated for rendering and modeling. In our implementation we achieve real-time frame rates for typical fly-through sequences and interactive frame rates for recomputing and rendering a locally modified spline surface.","https://ieeexplore.ieee.org/document/964530/","LOCKED","964530","Max-Planck-Inst. fur Inf., Saarbrucken, Germany","https://ieeexplore.ieee.org/author/37267942700","1","J. Haber","37267942700","Max-Planck-Inst. fur Inf., Saarbrucken, Germany","https://ieeexplore.ieee.org/author/37565780500","2","F. Zeilfelder","37565780500","","https://ieeexplore.ieee.org/author/37728419900","3","O. Davydov","37728419900","","https://ieeexplore.ieee.org/author/37271851300","4","H.-P. Seidel","37271851300","","","","","","","","","","","","","","","","","","","","","","","","","","","16","0","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964530","571","https://ieeexplore.ieee.org/document/964530/","Scattering","Least squares approximation","Spline","Surface fitting","Polynomials","Approximation algorithms","Distributed computing","Rendering (computer graphics)","Computer graphics","Image coding","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964530","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","15","341","Smooth approximation and rendering of large scattered data sets"
"The visualization of time-dependent flow is an important and challenging topic in scientific visualization. Its aim is to represent transport phenomena governed by time-dependent vector fields in an intuitively understandable way, using images and animations. Here we pick up the recently presented anisotropic diffusion method, expand and generalize it to allow a multiscale visualization of long-term, complex transport problems. Instead of streamline type patterns generated by the original method now streakline patterns are generated and advected. This process obeys a nonlinear transport diffusion equation with typically dominant transport. Starting from some noisy initial image, the diffusion actually generates and enhances patterns which are then transported in the direction of the flow field. Simultaneously the image is again sharpened in the direction orthogonal to the flow field. A careful adjustment of the models parameters is derived to balance diffusion and transport effects in a reasonable way. Properties of the method can be discussed for the continuous model, which is solved by an efficient upwind finite element discretization. As characteristic for the class of multiscale image processing methods, we can in advance select a suitable scale for representing the flow field.","https://ieeexplore.ieee.org/document/964494/","LOCKED","964494","Inst. fur Angewandte Math., Freiburg Univ., Germany","https://ieeexplore.ieee.org/author/37726857000","1","D. Burkle","37726857000","","https://ieeexplore.ieee.org/author/37282573000","2","T. Preusser","37282573000","","https://ieeexplore.ieee.org/author/37268036500","3","M. Rumpf","37268036500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964494","542","https://ieeexplore.ieee.org/document/964494/","Anisotropic magnetoresistance","Image processing","Animation","Data visualization","Finite element methods","Streaming media","Nonlinear equations","Noise generators","Surface texture","Convolution","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964494","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","16","61","Transport and anisotropic diffusion in time-dependent flow visualization"
"Commonly-used subdivision schemes require manifold control meshes and produce manifold surfaces. However, it is often necessary to model nonmanifold surfaces, such as several surface patches meeting at a common boundary. In this paper, we describe a subdivision algorithm that makes it possible to model nonmanifold surfaces. Any triangle mesh, subject only to the restriction that no two vertices of any triangle coincide, can serve as an input to the algorithm. Resulting surfaces consist of collections of manifold patches joined along nonmanifold curves and vertices. If desired, constraints may be imposed on the tangent planes of manifold patches sharing a curve or a vertex. The algorithm is an extension of a well-known Loop subdivision scheme, and uses techniques developed for piecewise smooth surfaces.","https://ieeexplore.ieee.org/document/964528/","LOCKED","964528","New York Univ., NY, USA","https://ieeexplore.ieee.org/author/37729225400","1","Lexing Ying","37729225400","New York Univ., NY, USA","https://ieeexplore.ieee.org/author/37392248400","2","D. Zorin","37392248400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964528","569","https://ieeexplore.ieee.org/document/964528/","Biological system modeling","Surface treatment","Solid modeling","Topology","Heart","Chromium","Computer graphics","Computational geometry","Marine animals","Interpolation","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964528","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","17","325","Nonmanifold subdivision"
"Presents an algorithm that uses partitioning and gluing to compress large triangular meshes which are too complex to fit in main memory. The algorithm is based largely on the existing mesh compression algorithms, most of which require an 'in-core' representation of the input mesh. Our solution is to partition the mesh into smaller submeshes and compress these submeshes separately using existing mesh compression techniques. Since a direct partition of the input mesh is out of question, instead we partition a simplified mesh and use the partition on the simplified model to obtain a partition on the original model. In order to recover the full connectivity, we present a simple scheme for encoding/decoding the resulting boundary structure from the mesh partition. When compressing large models with few singular vertices, a negligible portion of the compressed output is devoted to gluing information. On desktop computers, we have run experiments on models with millions of vertices, which could not be compressed using standard compression software packages, and have observed compression ratios as high as 17 to 1 using our technique.","https://ieeexplore.ieee.org/document/964532/","LOCKED","964532","Beckman Inst. for Adv. Sci. & Technol., Illinois Univ., Urbana, IL, USA","https://ieeexplore.ieee.org/author/37273198100","1","J. Ho","37273198100","","https://ieeexplore.ieee.org/author/37281495700","2","Kuang-Chih Lee","37281495700","","https://ieeexplore.ieee.org/author/37269726900","3","D. Kriegman","37269726900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","0","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964532","573","https://ieeexplore.ieee.org/document/964532/","Compression algorithms","Geometry","Partitioning algorithms","Encoding","Decoding","Computer graphics","Solid modeling","Software standards","Software packages","Chromium","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964532","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","18","357","Compressing large polygonal models"
"Remote experience of sporting events has thus far been limited mostly to watching video and the scores and statistics associated with the sport. However, a fast-developing trend is the use of visualization techniques to give new insights into performance, style, and strategy of the players. Automated techniques can extract accurate information from video about player performance that not even the most skilled observer is able to discern. When presented as static images or as a three-dimensional virtual replay, this information makes viewing a game an entirely new and exciting experience. This paper presents one such sports visualization system called LucentVision, which has been developed for the sport of tennis. LucentVision uses real-time video analysis to obtain motion trajectories of players and the ball, and offers a rich set of visualization options based on this trajectory data. The system has been used extensively in the broadcast of international tennis tournaments, both on television and the Internet.","https://ieeexplore.ieee.org/document/964496/","LOCKED","964496","IBM Thomas J. Watson Res. Center, Hawthorne, NY, USA","https://ieeexplore.ieee.org/author/37325202600","1","G. Pingali","37325202600","","https://ieeexplore.ieee.org/author/37328557700","2","A. Opalach","37328557700","","https://ieeexplore.ieee.org/author/37340405400","3","Y. Jean","37340405400","","https://ieeexplore.ieee.org/author/37270560600","4","I. Carlbom","37270560600","","","","","","","","","","","","","","","","","","","","","","","","","","","16","4","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964496","544","https://ieeexplore.ieee.org/document/964496/","Data visualization","Multimedia communication","TV broadcasting","Internet","Virtual environment","Cameras","Production","Rivers","Statistics","Data mining","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964496","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","19","75","Visualization of sports using motion trajectories: providing insights into performance, style, and strategy"
"We present an approach that integrates occlusion culling within the view-dependent rendering framework. View-dependent rendering provides the ability to change level of detail over the surface seamlessly and smoothly in real-time. The exclusive use of view-parameters to perform level-of-detail selection causes even occluded regions to be rendered in high level of detail. To overcome this serious drawback we have integrated occlusion culling into the level selection mechanism. Because computing exact visibility is expensive and it is currently not possible to perform this computation in real time, we use a visibility estimation technique instead. Our approach reduces dramatically the resolution at occluded regions.","https://ieeexplore.ieee.org/document/964534/","LOCKED","964534","Dept. of Comput. Sci., Ben-Gurion Univ. of the Negev, Beer-Sheva, Israel","https://ieeexplore.ieee.org/author/38274901700","1","J. El-Sana","38274901700","Dept. of Comput. Sci., Ben-Gurion Univ. of the Negev, Beer-Sheva, Israel","https://ieeexplore.ieee.org/author/37564187400","2","N. Sokolovsky","37564187400","","https://ieeexplore.ieee.org/author/37275249200","3","C.T. Silva","37275249200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","8","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964534","575","https://ieeexplore.ieee.org/document/964534/","Rendering (computer graphics)","Computer graphics","Hardware","Computer science","Application software","Geometry","Image quality","Lighting","Niobium","","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964534","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","20","371","Integrating occlusion culling with view-dependent rendering"
"The classification of volumetric data sets as well as their rendering algorithms are typically based on the representation of the underlying grid. Grid structures based on a Cartesian lattice are the de-facto standard for regular representations of volumetric data. In this paper we introduce a more general concept of regular grids for the representation of volumetric data. We demonstrate that a specific type of regular lattice-the so-called body-centered cubic-is able to represent the same data set as a Cartesian grid to the same accuracy but with 29.3% fewer samples. This speeds up traditional volume rendering algorithms by the same ratio, which we demonstrate by adopting a splatting implementation for these new lattices. We investigate different filtering methods required for computing the normals on this lattice. The lattice representation results also in lossless compression ratios that are better than previously reported. Although other regular grid structures achieve the same sample efficiency, the body-centered cubic is particularly easy to use. The only assumption necessary is that the underlying volume is isotropic and band-limited-an assumption that is valid for most practical data sets.","https://ieeexplore.ieee.org/document/964498/","LOCKED","964498","Inst. of Comput. Graphics & Algorithms, Technische Univ. Wien, Vienna, Austria","https://ieeexplore.ieee.org/author/37946467000","1","T. Theussl","37946467000","","https://ieeexplore.ieee.org/author/37275858700","2","T. Moller","37275858700","","https://ieeexplore.ieee.org/author/37282552200","3","M.E. Groller","37282552200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","0","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964498","546","https://ieeexplore.ieee.org/document/964498/","Sampling methods","Lattices","Signal sampling","Computer graphics","Data visualization","Signal processing algorithms","Physics","Energy states","Image processing","Image sampling","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964498","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","21","91","Optimal regular volume sampling"
"The paper describes a novel application of feature preserving mesh simplification to the problem of managing large, multidimensional datasets during scientific visualization. To allow this, we view a scientific dataset as a triangulated mesh of data elements, where the attributes embedded in each element form a set of properties arrayed across the surface of the mesh. Existing simplification techniques were not designed to address the high dimensionality that exists in these types of datasets. In addition, vertex operations that relocate, insert, or remove data elements may need to be modified or restricted. Principal component analysis provides an algorithm-independent method for compressing a dataset's dimensionality during simplification. Vertex locking forces certain data elements to maintain their spatial locations; this technique is also used to guarantee a minimum density in the simplified dataset. The result is a visualization that significantly reduces the number of data elements to display, while at the same time ensuring that high-variance regions of potential interest remain intact. We apply our techniques to a number of well-known feature preserving algorithms, and demonstrate their applicability in a real-world context by simplifying a multidimensional weather dataset. Our results show a significant improvement in execution time with only a small reduction in accuracy; even when the dataset was simplified to 10% of its original size, average per attribute error was less than 1%.","https://ieeexplore.ieee.org/document/964501/","LOCKED","964501","Dept. of Comput. Sci., North Carolina State Univ., Raleigh, NC, USA","https://ieeexplore.ieee.org/author/37725610600","1","J.D. Walter","37725610600","Dept. of Comput. Sci., North Carolina State Univ., Raleigh, NC, USA","https://ieeexplore.ieee.org/author/37298406100","2","C.G. Healey","37298406100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964501","549","https://ieeexplore.ieee.org/document/964501/","Data visualization","Computer science","Principal component analysis","Computer graphics","Computational geometry","Computer displays","Electrical capacitance tomography","Surface fitting","Application software","Computer errors","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964501","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","22","113","Attribute preserving dataset simplification"
"The majority of virtual endoscopy techniques tries to simulate a real endoscopy. A real endoscopy does not always give the optimal information due to the physical limitations it is subject to. In this paper, we deal with the unfolding of the surface of the colon as a possible visualization technique for diagnosis and polyp detection. A new two-step technique is presented which deals with the problems of double appearance of polyps and nonuniform sampling that other colon unfolding techniques suffer from. In the first step, a distance map from a central path induces nonlinear rays for unambiguous parameterization of the surface. The second step compensates for locally varying distortions of the unfolded surface. A technique similar to magnification fields in information visualization is hereby applied. The technique produces a single view of a complete, virtually dissected colon.","https://ieeexplore.ieee.org/document/964540/","LOCKED","964540","Inst. of Comput. Graphics & Algorithms, Vienna Univ. of Technol., Austria","https://ieeexplore.ieee.org/author/37728231400","1","A.V. Vilanova Bartroli","37728231400","","https://ieeexplore.ieee.org/author/37267822600","2","R. Wegenkittl","37267822600","","https://ieeexplore.ieee.org/author/37297779800","3","A. Konig","37297779800","","https://ieeexplore.ieee.org/author/37284271200","4","E. Groller","37284271200","","","","","","","","","","","","","","","","","","","","","","","","","","","15","12","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964540","579","https://ieeexplore.ieee.org/document/964540/","Colon","Endoscopes","Visualization","Colonic polyps","Colonography","Computed tomography","Inspection","Biomedical imaging","Magnetic resonance imaging","Computer graphics","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964540","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","23","411","Nonlinear virtual colon unfolding"
"The growing availability of massive polygonal models, and the inability of most existing visualization tools to work with such data, has created a pressing need for memory-efficient methods capable of simplifying very large meshes. In this paper, we present a method for performing adaptive simplification of polygonal meshes that are too large to fit in-core. Our algorithm performs two passes over an input mesh. In the first pass, the model is quantized using a uniform grid, and surface information is accumulated in the form of quadrics and dual quadrics. This sampling is then used to construct a BSP-tree in which the partitioning planes are determined by the dual quadrics. In the final pass, the original vertices are clustered using the BSP-tree, yielding an adaptive approximation of the original mesh. The BSP-tree describes a natural simplification hierarchy, making it possible to generate a progressive transmission and construct level-of-detail representations. In this way, the algorithm provides some of the features associated with more expensive edge contraction methods while maintaining greater computational efficiency. In addition to performing adaptive simplification, our algorithm exhibits output-sensitive memory requirements and allows fine control over the size of the simplified mesh.","https://ieeexplore.ieee.org/document/964503/","LOCKED","964503","Dept. of Comput. Sci., Illinois Univ., Urbana, IL, USA","https://ieeexplore.ieee.org/author/37446940600","1","E. Shaffer","37446940600","Dept. of Comput. Sci., Illinois Univ., Urbana, IL, USA","https://ieeexplore.ieee.org/author/37272036400","2","M. Garland","37272036400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","5","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964503","551","https://ieeexplore.ieee.org/document/964503/","Clustering algorithms","Data visualization","Partitioning algorithms","Availability","Sampling methods","Computational efficiency","Solid modeling","Data structures","Pressing","Programmable control","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964503","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","24","127","Efficient adaptive simplification of massive meshes"
"We describe a pipeline of image processing steps for deriving symbolic models of vascular structures from radiological data which reflect the branching pattern and diameter of vessels. For the visualization of these symbolic models, concatenated truncated cones are smoothly blended at branching points. We put emphasis on the quality of the visualizations which is achieved by anti-aliasing operations in different stages of the visualization. The methods presented are referred to as HQVV (high quality vessel visualization). Scalable techniques are provided to explore vascular structures of different orders of magnitude. The hierarchy as well as the diameter of the branches of vascular systems are used to restrict visualizations to relevant subtrees and to emphasize parts of vascular systems. Our research is inspired by clear visualizations in textbooks and is targeted toward medical education and therapy planning. We describe the application of vessel visualization techniques for liver surgery planning. For this application it is crucial to recognize the morphology and branching pattern of vascular systems as well as the basic spatial relations between vessels and other anatomic structures.","https://ieeexplore.ieee.org/document/964538/","LOCKED","964538","MeVis-Center for Med. Diagnostic Syst., Bremen, Germany","https://ieeexplore.ieee.org/author/37729702200","1","H.K. Hahn","37729702200","MeVis-Center for Med. Diagnostic Syst., Bremen, Germany","https://ieeexplore.ieee.org/author/37424645300","2","B. Preim","37424645300","MeVis-Center for Med. Diagnostic Syst., Bremen, Germany","https://ieeexplore.ieee.org/author/37728223900","3","D. Selle","37728223900","MeVis-Center for Med. Diagnostic Syst., Bremen, Germany","https://ieeexplore.ieee.org/author/37442956900","4","H.-O. Peitgen","37442956900","","","","","","","","","","","","","","","","","","","","","","","","","","","47","8","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964538","578","https://ieeexplore.ieee.org/document/964538/","Data visualization","Pipelines","Image processing","Concatenated codes","Biomedical imaging","Medical treatment","Liver","Surgery","Pattern recognition","Morphology","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964538","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","25","395","Visualization and interaction techniques for the exploration of vascular structures"
