"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_affiliation","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_affiliation","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_12_affiliation","articles_authors_authors_12_authorUrl","articles_authors_authors_12_author_order","articles_authors_authors_12_full_name","articles_authors_authors_12_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"As a solution to the VAST 2009 Traffic Mini Visualization Challenge, we built the Badge and Network Traffic (BNT) tool to create animations of the events taking place in the embassy. Using the embassy layout, the prox-card and web-access entries and their time-stamps, we animated color-based flagging of events. The BNT tool highlights logical anomalies occuring in the badge and network traffic data with color-coded alerts. Prior to the animated visualization, the tool analyzes data with respect to various aspects using (i) the amount of data transfers, (ii) destination IPs access patterns, (iii) employee's browsing patterns and (iv) employee's entry log into the restricted area. Any abnormality noticed is immediately reported to the user in the form of plots. In this presentation, we list out the various analyses performed and how they were utilized in the visualization. A few screenshots of the tool are provided to illustrate our analytic information presentation.","https://ieeexplore.ieee.org/document/5334301/","LOCKED","5334301","Centre for Data Engineering, International Institute of Information Technology, Hyderabad, India","https://ieeexplore.ieee.org/author/37678509500","1","Shraddha Agrawal","37678509500","","","","","","","","","","","","","","","","Centre for Data Engineering, International Institute of Information Technology, Hyderabad, India","https://ieeexplore.ieee.org/author/37680791500","2","Kollukuduru Sravanthi","37680791500","Centre for Data Engineering, International Institute of Information Technology, Hyderabad, India","https://ieeexplore.ieee.org/author/37681354900","3","Soujanya Vadapalli","37681354900","Centre for Data Engineering, International Institute of Information Technology, Hyderabad, India","https://ieeexplore.ieee.org/author/37281960300","4","Kamalakar Karlapalem","37281960300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5334301","272","https://ieeexplore.ieee.org/document/5334301/","","","","","","","","","","Information analysis","Telecommunication traffic","Data visualization","Data analysis","Electronic mail","Data engineering","Information technology","","","","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5334301","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","14","271","VAST 2009 Traffic Mini Challenge: Intuitive analytic information presentation"
"A team of five worked on this challenge to identify a possible criminal structure within the Flitter social network. Initially we worked on the problem individually, deliberately not sharing any data, results or conclusions. This maximised the chances of spotting any blunders, unjustified assumptions or inferences and allowed us to triangulate any common conclusions. After an agreed period we shared our results demonstrating the visualization applications we had built and the reasoning behind our conclusions. This sharing of assumptions encouraged us to incorporate uncertainty in our visualization approaches as it became clear that there was a number of possible interpretations of the rules and assumptions governing the challenge. This summary of the work emphasises one of those applications detailing the geographic analysis and uncertainty handling of the network data.","https://ieeexplore.ieee.org/document/5333965/","LOCKED","5333965","School of Informatics, City University London, UK","https://ieeexplore.ieee.org/author/37399045100","1","Jo Wood","37399045100","","","","","","","","","","","","","","","","School of Informatics, City University London, UK","https://ieeexplore.ieee.org/author/37590960700","2","Aidan Slingsby","37590960700","School of Informatics, City University London, UK","https://ieeexplore.ieee.org/author/38272131500","3","Naz Khalili-Shavarini","38272131500","School of Informatics, City University London, UK","https://ieeexplore.ieee.org/author/37605079900","4","Jason Dykes","37605079900","School of Informatics, City University London, UK","https://ieeexplore.ieee.org/author/37370770900","5","David Mountain","37370770900","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5333965","262","https://ieeexplore.ieee.org/document/5333965/","","","","","","","","","","Data visualization","Data analysis","Cities and towns","Electronic mail","Geography","Informatics","Social network services","Databases","Performance analysis","","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5333965","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","15","261","Visualization of uncertainty and analysis of geographical data"
"In this article, I describe the tools and techniques used to generate competing hypotheses for the VAST 2009 Flitter mini challenge. I will describe how I approached solving the social networks and the importance of the geospatial relationships to determine that ldquoSocial Structure Form Ardquo was the best matching social network.","https://ieeexplore.ieee.org/document/5333967/","LOCKED","5333967","Penn State University Research Computing & Cyberinfrastructure, USA","https://ieeexplore.ieee.org/author/37671261300","1","Lorne Leonard","37671261300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5333967","266","https://ieeexplore.ieee.org/document/5333967/","Visual analytics","investigative analysis","geovisualization","information visualization","","","","","","Social network services","Intrusion detection","Data visualization","Cities and towns","Visual analytics","Web services","Information analysis","Information systems","","","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5333967","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","16","265","EAKOS: VAST 2009"
"The current visual analytics literature highlights design and evaluation processes that are highly variable and situation dependent, which raises at least two broad challenges. First, lack of a standardized evaluation criterion leads to costly re-designs for each task and specific user community. Second, this inadequacy in criterion validation raises significant uncertainty regarding visualization outputs and their related decisions, which may be especially troubling in high consequence environments like those of the intelligence community. As an attempt to standardize the ldquoapples and orangesrdquo of the extant situation, we propose the creation of standardized evaluation tools using general principles of human cognition. Theoretically, visual analytics enables the user to see information in a way that should attenuate the user's memory load and increase the user's task-available cognitive resources. By using general cognitive abilities like available working memory resources as our dependent measures, we propose to develop standardized evaluative capabilities that can be generalized across contexts, tasks, and user communities.","https://ieeexplore.ieee.org/document/5333468/","LOCKED","5333468","Sandia National Laboratories, USA","https://ieeexplore.ieee.org/author/37681577100","1","Courtney C. Dornburg","37681577100","","","","","","","","","","","","","","","","Sandia National Laboratories, USA","https://ieeexplore.ieee.org/author/37681577000","2","Laura E. Matzen","37681577000","Sandia National Laboratories, USA","https://ieeexplore.ieee.org/author/37665492000","3","Travis L. Bauer","37665492000","Sandia National Laboratories, USA","https://ieeexplore.ieee.org/author/37681575600","4","Laura A. McNamara","37681575600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5333468","218","https://ieeexplore.ieee.org/document/5333468/","Visual analytics","evaluation","cognitive load","","","","","","","Visual analytics","Data visualization","Uncertainty","Data analysis","Testing","Laboratories","Feedback","Process design","Humans","Cognition","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5333468","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","17","217","Working memory load as a novel tool for evaluating visual analytics"
"Space- and time-referenced data published on the Web by general people can be viewed in a dual way: as independent spatio-temporal events and as trajectories of people in the geographical space. These two views suppose different approaches to the analysis, which can yield different kinds of valuable knowledge about places and about people. We define possible types of analysis tasks related to the two views of the data and present several analysis methods appropriate for these tasks. The methods are suited to large amounts of the data.","https://ieeexplore.ieee.org/document/5333472/","LOCKED","5333472","University of Bonn and Fraunhofer Institute IAIS, Germany","https://ieeexplore.ieee.org/author/37283047100","1","Gennady Andrienko","37283047100","","","","","","","","","","","","","","","","University of Bonn and Fraunhofer Institute IAIS, Germany","https://ieeexplore.ieee.org/author/37283047700","2","Natalia Andrienko","37283047700","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37392085400","3","Peter Bak","37392085400","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37392087800","4","Slava Kisilevich","37392087800","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37283138700","5","Daniel Keim","37283138700","","","","","","","","","","","","","","","","","","","","","","","","","","12","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5333472","214","https://ieeexplore.ieee.org/document/5333472/","","","","","","","","","","Pattern analysis","Trajectory","Spatiotemporal phenomena","Mobile handsets","Cities and towns","Visualization","Earth","Clustering algorithms","Advertising","Humans","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5333472","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","18","213","Analysis of community-contributed space- and time-referenced data (example of flickr and panoramio photos)"
"The 4th VAST Challenge centered on a cyber analytics scenario and offered three mini-challenges with datasets of badge and network traffic data, a social network including geospatial information, and security video. Teams could also enter the Grand challenge which combined all three datasets. In this paper, we summarize the dataset, the overall scenario and the questions asked in the challenges. We describe the judging process and new infrastructure developed to manage the submissions and compute accuracy measures in the social network mini challenge. We received 49 entries from 30 teams, and gave 23 different awards to a total of 16 teams.","https://ieeexplore.ieee.org/document/5334454/","LOCKED","5334454","University of Massachusetts Lowell, USA","https://ieeexplore.ieee.org/author/37360588500","1","Georges Grinstein","37360588500","","","","","","","","","","","","","","","","Pacific Northwest National Laboratory, USA","https://ieeexplore.ieee.org/author/37268671300","2","Jean Scholtz","37268671300","Pacific Northwest National Laboratory, USA","https://ieeexplore.ieee.org/author/37357067600","3","Mark Whiting","37357067600","University of Maryland, USA","https://ieeexplore.ieee.org/author/37283026800","4","Catherine Plaisant","37283026800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5334454","244","https://ieeexplore.ieee.org/document/5334454/","visual analytics","human information interaction","sense making","evaluation","metrics","contest","","","","Social network services","Visual analytics","Telecommunication traffic","Information analysis","Computer security","Data security","Information security","National security","Computer network management","","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5334454","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","19","243","VAST 2009 challenge: An insider threat"
"The poster introduces interactive multiobjective optimization (IMO) as a field offering new application possibilities and challenges for visual analytics (VA), and aims at inspiring collaboration between the two fields. Our aim is to collect new ideas in order to be able to utilize VA techniques more effectively in our user interface development. Simulation-based IMO methods are developed for complex problem solving, where the expert decision maker (analyst) should be supported during the iterative process of eliciting preference information and examining the resulting output data. IMO is a subfield of multiple criteria decision making (MCDM). In simulation-based IMO, the optimization task is formulated in a mathematical model containing several conflicting objectives and constraints depending on decision variables. While using IMO methods the analyst progressively provides preference information in order to find the most satisfactory compromise between the conflicting objectives. In the poster, the implementations of two new IMO methods are used as examples to demonstrate concrete challenges of interaction design. One of them is described in this summary.","https://ieeexplore.ieee.org/document/5333081/","LOCKED","5333081","Department of Mathematical Information Technology, University of Jyväskylä, Finland","https://ieeexplore.ieee.org/author/37681626500","1","Suvi Tarkkanen","37681626500","","","","","","","","","","","","","","","","Department of Mathematical Information Technology, University of Jyväskylä, Finland","https://ieeexplore.ieee.org/author/37546691200","2","Kaisa Miettinen","37546691200","Department of Mathematical Information Technology, University of Jyväskylä, Finland","https://ieeexplore.ieee.org/author/37681627000","3","Jussi Hakanen","37681627000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5333081","238","https://ieeexplore.ieee.org/document/5333081/","Interactive multiobjective optimization","visual analytics","information visualization","interaction design","","","","","","Visual analytics","Information analysis","Collaboration","User interfaces","Analytical models","Problem-solving","Iterative methods","Decision making","Constraint optimization","Mathematical model","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5333081","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","20","237","Interactive poster: Interactive multiobjective optimization - a new application area for visual analytics"
"Although many in the community have advocated user-centered evaluations for visual analytic environments, a significant barrier exists. The users targeted by the visual analytics community (law enforcement personnel, professional information analysts, financial analysts, health care analysts, etc.) are often inaccessible to researchers. These analysts are extremely busy and their work environments and data are often classified or at least confidential. Furthermore, their tasks often last weeks or even months. It is simply not feasible to do such long-term observations to understand their jobs. How then can we hope to gather enough information about the diverse user populations to understand their needs? Some researchers, including the author, have been successful in getting access to specific end-users. A reasonable approach, therefore, would be to find a way to share user information. This work outlines a proposal for developing a handbook of user profiles for use by researchers, developers, and evaluators.","https://ieeexplore.ieee.org/document/5333474/","LOCKED","5333474","Pacific Northwest National Laboratory, USA","https://ieeexplore.ieee.org/author/37268671300","1","Jean Scholtz","37268671300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5333474","216","https://ieeexplore.ieee.org/document/5333474/","user-centered evaluation","visual analytics","user requirements","","","","","","","Proposals","Visual analytics","Information analysis","Visualization","Law enforcement","Best practices","Personnel","Medical services","User interfaces","Social network services","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5333474","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","21","215","Interactive poster: A proposal for sharing user requirements for visual analytic tools"
"We present our visualization systems and findings for the badge and network traffic as well as the social network and geospatial challenges of the 2009 VAST contest. The summary starts by presenting an overview of our time series encoding of badge information and network traffic. Our findings suggest that employee 30 may be of interest. In the second part of the paper, we describe our system for finding subgraphs in the social network subject to degree constraints. Subsequently, we present our most likely candidate network which is similar to scenario B.","https://ieeexplore.ieee.org/document/5334456/","LOCKED","5334456","INRIA Bordeaux Sud-Ouest and LaBRI, Université de Bordeaux I, France","https://ieeexplore.ieee.org/author/37680680500","1","Paolo Simonetto","37680680500","INRIA Bordeaux Sud-Ouest and LaBRI, Université de Bordeaux I, France","https://ieeexplore.ieee.org/author/37680683500","11","Mathieu Brulin","37680683500","INRIA Bordeaux Sud-Ouest and LaBRI, Université de Bordeaux I, France","https://ieeexplore.ieee.org/author/38272889400","12","Remy Vieux","38272889400","INRIA Bordeaux Sud-Ouest and LaBRI, Université de Bordeaux I, France","https://ieeexplore.ieee.org/author/37283186100","13","Guy Melancon","37283186100","INRIA Bordeaux Sud-Ouest and LaBRI, Université de Bordeaux I, France","https://ieeexplore.ieee.org/author/38270983500","2","Pierre-Yves Koenig","38270983500","INRIA Bordeaux Sud-Ouest and LaBRI, Université de Bordeaux I, France","https://ieeexplore.ieee.org/author/37566667500","3","Faraz Zaidi","37566667500","INRIA Bordeaux Sud-Ouest and LaBRI, Université de Bordeaux I, France","https://ieeexplore.ieee.org/author/37396011500","4","Daniel Archambault","37396011500","INRIA Bordeaux Sud-Ouest and LaBRI, Université de Bordeaux I, France","https://ieeexplore.ieee.org/author/37547988500","5","Frederic Gilbert","37547988500","INRIA Bordeaux Sud-Ouest and LaBRI, Université de Bordeaux I, France","https://ieeexplore.ieee.org/author/38273314200","6","Trung-Tien Phan-Quang","38273314200","INRIA Bordeaux Sud-Ouest and LaBRI, Université de Bordeaux I, France","https://ieeexplore.ieee.org/author/38276855000","7","Morgan Mathiaut","38276855000","INRIA Bordeaux Sud-Ouest and LaBRI, Université de Bordeaux I, France","https://ieeexplore.ieee.org/author/37545018500","8","Antoine Lambert","37545018500","INRIA Bordeaux Sud-Ouest and LaBRI, Université de Bordeaux I, France","https://ieeexplore.ieee.org/author/38269861900","9","Jonathan Dubois","38269861900","INRIA Bordeaux Sud-Ouest and LaBRI, Université de Bordeaux I, France","https://ieeexplore.ieee.org/author/37546877300","10","Ronan Sicre","37546877300","0","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5334456","248","https://ieeexplore.ieee.org/document/5334456/","H.5.0 [Information Systems]: Information Interfaces and Presentation—General","F.2.2 [Theory of Computation]: Nonnumerical Algorithms and Problems—Pattern matching","","","","","","","","Visualization","Social network services","Telecommunication traffic","Encoding","Information systems","Computer interfaces","Computer networks","Software algorithms","","","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5334456","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","22","247","Solving the traffic and flitter challenges with tulip"
"Our visualization tool for the VAST 2009 traffic mini challenge, Timeliner, visualizes badge and network traffic data together in a single timeline. The two views of per-employee and per-day with various filtering interactions enable users to analyze easily employees activities at a particular moment of interest as well as their general daily patterns. Using Timeliner, we present several hypotheses for the task at hand and their validation processes, which reveals various aspects of the data.","https://ieeexplore.ieee.org/document/5334460/","LOCKED","5334460","Georgia Institute of Technology, 266 Ferst Drive, Atlanta, 30332, USA","https://ieeexplore.ieee.org/author/37602784600","1","Jaegul Choo","37602784600","","","","","","","","","","","","","","","","Georgia Institute of Technology, 266 Ferst Drive, Atlanta, 30332, USA","https://ieeexplore.ieee.org/author/37666138100","2","Emily Fujimoto","37666138100","Georgia Institute of Technology, 266 Ferst Drive, Atlanta, 30332, USA","https://ieeexplore.ieee.org/author/37599320600","3","Hanseung Lee","37599320600","Georgia Institute of Technology, 266 Ferst Drive, Atlanta, 30332, USA","https://ieeexplore.ieee.org/author/37680745000","4","Pedro R. Walteros","37680745000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5334460","246","https://ieeexplore.ieee.org/document/5334460/","H.1.2 [Information Systems]: User/Machine Systems—Human information processing","H.2.8 [Database Management]: Database Applications—Data mining","","","","","","","","Visual analytics","","","","","","","","","","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5334460","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","23","245","Timeline analysis of undercover activities VAST 2009 traffic mini challenge award: Good analytical technique"
"Palantir is an analytic platform currently used worldwide by both governmental and financial analysts. This paper provides a brief overview of the platform, examines our 2009 IEEE VAST Challenge submission, and highlights several key analytic and visualization features we used in our analysis.","https://ieeexplore.ieee.org/document/5334462/","LOCKED","5334462","Palantir Technologies, USA","https://ieeexplore.ieee.org/author/37670980900","1","Brandon Wright","37670980900","","","","","","","","","","","","","","","","Palantir Technologies, USA","https://ieeexplore.ieee.org/author/37668192900","2","Jason Payne","37668192900","Palantir Technologies, USA","https://ieeexplore.ieee.org/author/37680714600","3","Matthew Steckman","37680714600","Palantir Technologies, USA","https://ieeexplore.ieee.org/author/37680715300","4","Scott Stevson","37680715300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5334462","250","https://ieeexplore.ieee.org/document/5334462/","Palantir","VAST 2009","visual analytics","data integration","collaboration","","","","","Ontologies","Filtering","Data visualization","Visual analytics","Collaboration","Graphical user interfaces","Space missions","Bayesian methods","Information systems","","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5334462","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","24","249","Palantir: A visualization platform for real-world analysis"
"Today's challenging task in intelligent data processing is not to store large volumes of interlinked data but to visualize, explore, and understand its explicit or implicit relationships. Our solution to this is the VIScover system. VIScover combines semantic technologies with interactive exploration and visualization techniques able to analyze large volumes of structured data. We briefly describe our VIScover system and show its potential using the example of the VAST 2009 social network and geospatial data set.","https://ieeexplore.ieee.org/document/5333946/","LOCKED","5333946","Ulm University, derivo GmbH, Germany","https://ieeexplore.ieee.org/author/37320000600","1","Thorsten Liebig","37320000600","","","","","","","","","","","","","","","","Ulm University, derivo GmbH, Germany","https://ieeexplore.ieee.org/author/37681697800","2","Olaf Noppens","37681697800","Ulm University, Germany","https://ieeexplore.ieee.org/author/37443230700","3","Friedrich von Henke","37443230700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5333946","260","https://ieeexplore.ieee.org/document/5333946/","I.2.4 [Computing Methodologies]: Artificial Intelligence—Knowledge Representation Formalisms and Methods","H.3.3 [Information Systems]: Information Storage And Retrieval—Information Search and Retrieval H.5.2 [Information Interfaces And Presentation]: User Interfaces—","","","","","","","","Data visualization","Data analysis","Social network services","Ontologies","Information retrieval","OWL","Displays","Intelligent structures","Data processing","Computer interfaces","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5333946","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","25","259","VIScover: Visualizing, exploring, and analysing structured data"
"We hypothesized that potential spies would try to use other employees' terminals in order to not draw attention to themselves. We define one type of suspicious activity as IP use on a terminal when the owner is inside the classified area. We created a timeline visualization of IP usage, overlaid with classified area entrances and exits. The vertical axis divides the timelines into 31 rows, one for each day of the month. The horizontal axis represents the time of day from early morning to late evening. A single employee's entire month is viewed all at once using this visualization. The employee being viewed can be changed using the arrow keys. Every IP event is represented by a vertical bar positioned at the exact time of its appearance. We color the IP events by port number, which is either intranet, HTTP, tomcat, or email, and size the bar based on the outgoing data size. Whenever an employee enters the classified area, a semi-transparent yellow region is drawn until that user exits the classified area. In rare cases when the user double enters, the region is twice as opaque, and in the other rare case where a user leaves the exits without entering, a red region is drawn until the next time the employee enters. The legend key and office diagram showing the current selected employee, highlighted in red, can be seen in the top left-hand corner.","https://ieeexplore.ieee.org/document/5333950/","LOCKED","5333950","VIDI Group, University of California, Davis, USA","https://ieeexplore.ieee.org/author/37598134900","1","Chad Jones","37598134900","","","","","","","","","","","","","","","","VIDI Group, University of California, Davis, USA","https://ieeexplore.ieee.org/author/37287357700","2","Michael Ogawa","37287357700","VIDI Group, University of California, Davis, USA","https://ieeexplore.ieee.org/author/38181769500","3","James Shearer","38181769500","VIDI Group, University of California, Davis, USA","https://ieeexplore.ieee.org/author/37404049100","4","Anna Tikhonova","37404049100","VIDI Group, University of California, Davis, USA","https://ieeexplore.ieee.org/author/37275869400","5","Kwan-Liu Ma","37275869400","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5333950","258","https://ieeexplore.ieee.org/document/5333950/","","","","","","","","","","Surveillance","Packaging","Visualization","Computer security","Cameras","Software packages","Robustness","","","","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5333950","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","26","257","VIDI surveillance - embassy monitoring and oversight system"
