"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume" 
"Modern web clickstream data consists of long, high-dimensional sequences of multivariate events, making it difficult to analyze. Following the overarching principle that the visual interface should provide information about the dataset at multiple levels of granularity and allow users to easily navigate across these levels, we identify four levels of granularity in clickstream analysis: patterns, segments, sequences and events. We present an analytic pipeline consisting of three stages: pattern mining, pattern pruning and coordinated exploration between patterns and sequences. Based on this approach, we discuss properties of maximal sequential patterns, propose methods to reduce the number of patterns and describe design considerations for visualizing the extracted sequential patterns and the corresponding raw sequences. We demonstrate the viability of our approach through an analysis scenario and discuss the strengths and limitations of the methods based on user feedback.","https://ieeexplore.ieee.org/document/7539341/","LOCKED","7539341","Adobe Research","https://ieeexplore.ieee.org/author/37592993600","1","Zhicheng Liu","37592993600","University of California, Davis","https://ieeexplore.ieee.org/author/37085638369","2","Yang Wang","37085638369","Adobe Research","https://ieeexplore.ieee.org/author/37546957000","3","Mira Dontcheva","37546957000","Adobe Research","https://ieeexplore.ieee.org/author/38469672300","4","Matthew Hoffman","38469672300","Adobe Research","https://ieeexplore.ieee.org/author/37085897313","5","Seth Walker","37085897313","Adobe Systems Inc.","https://ieeexplore.ieee.org/author/37085897146","6","Alan Wilson","37085897146","","","","","","","","","","","","","","","","","","","","","21","0","Journals & Magazines","10.1109/TVCG.2016.2598797","330","https://ieeexplore.ieee.org/document/7539341/","Clickstream Data","sequence mining","visual analytics","event sequences","","","","Data visualization","Data mining","Visual analytics","Companies","Navigation","Interviews","","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7539341","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","24","321","Patterns and Sequences: Interactive Exploration of Clickstreams to Understand Common Visitor Paths","23"
"Heterogeneous multi-dimensional data are now sufficiently common that they can be referred to as ubiquitous. The most frequent approach to visualizing these data has been to propose new visualizations for representing these data. These new solutions are often inventive but tend to be unfamiliar. We take a different approach. We explore the possibility of extending well-known and familiar visualizations through including Heterogeneous Embedded Data Attributes (HEDA) in order to make familiar visualizations more powerful. We demonstrate how HEDA is a generic, interactive visualization component that can extend common visualization techniques while respecting the structure of the familiar layout. HEDA is a tabular visualization building block that enables individuals to visually observe, explore, and query their familiar visualizations through manipulation of embedded multivariate data. We describe the design space of HEDA by exploring its application to familiar visualizations in the D3 gallery. We characterize these familiar visualizations by the extent to which HEDA can facilitate data queries based on attribute reordering.","https://ieeexplore.ieee.org/document/7536142/","LOCKED","7536142","Department of Computer Science, University of Calgary","https://ieeexplore.ieee.org/author/37085698406","1","Mona Hosseinkhani Loorak","37085698406","Department of Computer Science, University of Calgary","https://ieeexplore.ieee.org/author/37077505300","2","Charles Perin","37077505300","University of Ontario","https://ieeexplore.ieee.org/author/37669874100","3","Christopher Collins","37669874100","Department of Computer Science, University of Calgary","https://ieeexplore.ieee.org/author/37285000100","4","Sheelagh Carpendale","37285000100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","Journals & Magazines","10.1109/TVCG.2016.2598586","590","https://ieeexplore.ieee.org/document/7536142/","Multi-dimensional data","Hybrid visualization","","","","","","Data visualization","Layout","Visualization","Space exploration","Context","Joining processes","Encoding","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7536142","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","25","581","Exploring the Possibilities of Embedding Heterogeneous Data Attributes in Familiar Visualizations","23"
"Cities are inherently dynamic. Interesting patterns of behavior typically manifest at several key areas of a city over multiple temporal resolutions. Studying these patterns can greatly help a variety of experts ranging from city planners and architects to human behavioral experts. Recent technological innovations have enabled the collection of enormous amounts of data that can help in these studies. However, techniques using these data sets typically focus on understanding the data in the context of the city, thus failing to capture the dynamic aspects of the city. The goal of this work is to instead understand the city in the context of multiple urban data sets. To do so, we define the concept of an “urban pulse” which captures the spatio-temporal activity in a city across multiple temporal resolutions. The prominent pulses in a city are obtained using the topology of the data sets, and are characterized as a set of beats. The beats are then used to analyze and compare different pulses. We also design a visual exploration framework that allows users to explore the pulses within and across multiple cities under different conditions. Finally, we present three case studies carried out by experts from two different domains that demonstrate the utility of our framework.","https://ieeexplore.ieee.org/document/7539380/","LOCKED","7539380","New York University","https://ieeexplore.ieee.org/author/37085886059","1","Fabio Miranda","37085886059","New York University","https://ieeexplore.ieee.org/author/38228713200","2","Harish Doraiswamy","38228713200","Universidade Federal Fluminense","https://ieeexplore.ieee.org/author/37721747800","3","Marcos Lage","37721747800","New York University","https://ieeexplore.ieee.org/author/37085889914","4","Kai Zhao","37085889914","New York University","https://ieeexplore.ieee.org/author/37085888316","5","Bruno Gonçalves","37085888316","Kohn Pedersen Fox Associates PC","https://ieeexplore.ieee.org/author/37085896574","6","Luc Wilson","37085896574","Kohn Pedersen Fox Associates PC","https://ieeexplore.ieee.org/author/37085890990","7","Mondrian Hsieh","37085890990","New York University","https://ieeexplore.ieee.org/author/37275249200","8","Cláudio T. Silva","37275249200","","","","","","","","","","","13","0","Journals & Magazines","10.1109/TVCG.2016.2598585","800","https://ieeexplore.ieee.org/document/7539380/","Topology-based techniques","urban data","visual exploration","","","","","Urban areas","Data visualization","Topology","Context","Visual analytics","Flickr","","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7539380","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","26","791","Urban Pulse: Capturing the Rhythm of Cities","23"
"The problem of formulating solutions immediately and comparing them rapidly for billboard placements has plagued advertising planners for a long time, owing to the lack of efficient tools for in-depth analyses to make informed decisions. In this study, we attempt to employ visual analytics that combines the state-of-the-art mining and visualization techniques to tackle this problem using large-scale GPS trajectory data. In particular, we present SmartAdP, an interactive visual analytics system that deals with the two major challenges including finding good solutions in a huge solution space and comparing the solutions in a visual and intuitive manner. An interactive framework that integrates a novel visualization-driven data mining model enables advertising planners to effectively and efficiently formulate good candidate solutions. In addition, we propose a set of coupled visualizations: a solution view with metaphor-based glyphs to visualize the correlation between different solutions; a location view to display billboard locations in a compact manner; and a ranking view to present multi-typed rankings of the solutions. This system has been demonstrated using case studies with a real-world dataset and domain-expert interviews. Our approach can be adapted for other location selection problems such as selecting locations of retail stores or restaurants using trajectory data.","https://ieeexplore.ieee.org/document/7534856/","LOCKED","7534856","Zhejiang UniversityHong Kong University of Science and Technology","https://ieeexplore.ieee.org/author/37085866160","1","Dongyu Liu","37085866160","State Key Lab of CAD & CGZhejiang University","https://ieeexplore.ieee.org/author/37085887051","2","Di Weng","37085887051","University of Macau","https://ieeexplore.ieee.org/author/37085590355","3","Yuhong Li","37085590355","Microsoft Research, Beijing, China","https://ieeexplore.ieee.org/author/37085887993","4","Jie Bao","37085887993","Microsoft Research, Beijing, China","https://ieeexplore.ieee.org/author/37600606700","5","Yu Zheng","37600606700","Hong Kong University of Science and Technology","https://ieeexplore.ieee.org/author/37272637300","6","Huamin Qu","37272637300","State Key Lab of CAD & CGZhejiang University","https://ieeexplore.ieee.org/author/37407308300","7","Yingcai Wu","37407308300","","","","","","","","","","","","","","","","28","0","Journals & Magazines","10.1109/TVCG.2016.2598432","10","https://ieeexplore.ieee.org/document/7534856/","optimal billboard locations","taxi trajectory","visual analytics","comparative analysis","","","","Trajectory","Data visualization","Public transportation","Advertising","Visual analytics","Data mining","","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7534856","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","27","1","SmartAdP: Visual Analytics of Large-scale Taxi Trajectories for Selecting Billboard Locations","23"
"Visual analytics plays a key role in the era of connected industry (or industry 4.0, industrial internet) as modern machines and assembly lines generate large amounts of data and effective visual exploration techniques are needed for troubleshooting, process optimization, and decision making. However, developing effective visual analytics solutions for this application domain is a challenging task due to the sheer volume and the complexity of the data collected in the manufacturing processes. We report the design and implementation of a comprehensive visual analytics system, ViDX. It supports both real-time tracking of assembly line performance and historical data exploration to identify inefficiencies, locate anomalies, and form hypotheses about their causes and effects. The system is designed based on a set of requirements gathered through discussions with the managers and operators from manufacturing sites. It features interlinked views displaying data at different levels of detail. In particular, we apply and extend the Marey's graph by introducing a time-aware outlier-preserving visual aggregation technique to support effective troubleshooting in manufacturing processes. We also introduce two novel interaction techniques, namely the quantiles brush and samples brush, for the users to interactively steer the outlier detection algorithms. We evaluate the system with example use cases and an in-depth user interview, both conducted together with the managers and operators from manufacturing plants. The result demonstrates its effectiveness and reports a successful pilot application of visual analytics for manufacturing in smart factories.","https://ieeexplore.ieee.org/document/7536610/","LOCKED","7536610","Bosch Research North America","https://ieeexplore.ieee.org/author/37085776768","1","Panpan Xu","37085776768","Zhejiang University","https://ieeexplore.ieee.org/author/37085541429","2","Honghui Mei","37085541429","Bosch Research North America","https://ieeexplore.ieee.org/author/37889672100","3","Liu Ren","37889672100","Zhejiang University","https://ieeexplore.ieee.org/author/37291847800","4","Wei Chen","37291847800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","0","Journals & Magazines","10.1109/TVCG.2016.2598664","300","https://ieeexplore.ieee.org/document/7536610/","Temporal Data","Marey's Graph","Visual Analytics","Manufacturing","Smart Factory","Connected Industry","Industry 4.0","Data visualization","Visual analytics","Industries","Manufacturing processes","Real-time systems","","","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7536610","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","28","291","ViDX: Visual Diagnostics of Assembly Line Performance in Smart Factories","23"
"Study of flow instability in turbine engine compressors is crucial to understand the inception and evolution of engine stall. Aerodynamics experts have been working on detecting the early signs of stall in order to devise novel stall suppression technologies. A state-of-the-art Navier-Stokes based, time-accurate computational fluid dynamics simulator, TURBO, has been developed in NASA to enhance the understanding of flow phenomena undergoing rotating stall. Despite the proven high modeling accuracy of TURBO, the excessive simulation data prohibits post-hoc analysis in both storage and I/O time. To address these issues and allow the expert to perform scalable stall analysis, we have designed an in situ distribution guided stall analysis technique. Our method summarizes statistics of important properties of the simulation data in situ using a probabilistic data modeling scheme. This data summarization enables statistical anomaly detection for flow instability in post analysis, which reveals the spatiotemporal trends of rotating stall for the expert to conceive new hypotheses. Furthermore, the verification of the hypotheses and exploratory visualization using the summarized data are realized using probabilistic visualization techniques such as uncertain isocontouring. Positive feedback from the domain scientist has indicated the efficacy of our system in exploratory stall analysis.","https://ieeexplore.ieee.org/document/7539561/","LOCKED","7539561","The Department of Computer Science and Engineering, GRAVITY research group, The Ohio State University","https://ieeexplore.ieee.org/author/37077202300","1","Soumya Dutta","37077202300","The Department of Computer Science and Engineering, GRAVITY research group, The Ohio State University","https://ieeexplore.ieee.org/author/38240940700","2","Chun-Ming Chen","38240940700","The Department of Mechanical and Aerospace Engineering, The Ohio State University","https://ieeexplore.ieee.org/author/37085665689","3","Gregory Heinlein","37085665689","The Department of Computer Science and Engineering, GRAVITY research group, The Ohio State University","https://ieeexplore.ieee.org/author/37085596184","4","Han-Wei Shen","37085596184","The Department of Mechanical and Aerospace Engineering, The Ohio State University","https://ieeexplore.ieee.org/author/37085677253","5","Jen-Ping Chen","37085677253","","","","","","","","","","","","","","","","","","","","","","","","","","6","0","Journals & Magazines","10.1109/TVCG.2016.2598604","820","https://ieeexplore.ieee.org/document/7539561/","In situ analysis","rotating stall analysis","Gaussian mixture model","incremental distribution modeling","feature analysis","high performance computing","collaborative development","Data visualization","Data models","Analytical models","Computational modeling","Blades","Engines","Compressors","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7539561","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","29","811","In Situ Distribution Guided Analysis and Visualization of Transonic Jet Engine Simulations","23"
"Data analysis involves constantly formulating and testing new hypotheses and questions about data. When dealing with a new dataset, especially one with many dimensions, it can be cumbersome for the analyst to clearly remember which aspects of the data have been investigated (i.e., visually examined for patterns, trends, outliers etc.) and which combinations have not. Yet this information is critical to help the analyst formulate new questions that they have not already answered. We observe that for tabular data, questions are typically comprised of varying combinations of data dimensions (e.g., what are the trends of Sales and Profit for different Regions?). We propose representing analysis history from the angle of dimension coverage (i.e., which data dimensions have been investigated and in which combinations). We use scented widgets to incorporate dimension coverage of the analysts' past work into interaction widgets of a visualization tool. We demonstrate how this approach can assist analysts with the question formation process. Our approach extends the concept of scented widgets to reveal aspects of one's own analysis history, and offers a different perspective on one's past work than typical visualization history tools. Results of our empirical study showed that participants with access to embedded dimension coverage information relied on this information when formulating questions, asked more questions about the data, generated more top-level findings, and showed greater breadth of their analysis without sacrificing depth.","https://ieeexplore.ieee.org/document/7534787/","LOCKED","7534787","University of Victoria","https://ieeexplore.ieee.org/author/37591344300","1","Ali Sarvghad","37591344300","Tableau Research","https://ieeexplore.ieee.org/author/37275861300","2","Melanie Tory","37275861300","University of British Columbia","https://ieeexplore.ieee.org/author/37591344800","3","Narges Mahyar","37591344800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","Journals & Magazines","10.1109/TVCG.2016.2598466","30","https://ieeexplore.ieee.org/document/7534787/","Dimension coverage","Tabular data","History","Empirical laboratory study","Exploratory data analysis","Scented widgets","","History","Data visualization","Visualization","Data analysis","Navigation","Prototypes","Market research","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7534787","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","30","21","Visualizing Dimension Coverage to Support Exploratory Analysis","23"
"Trends like decentralized energy production lead to an exploding number of time series from sensors and other sources that need to be assessed regarding their data quality (DQ). While the identification of DQ problems for such routinely collected data is typically based on existing automated plausibility checks, an efficient inspection and validation of check results for hundreds or thousands of time series is challenging. The main contribution of this paper is the validated design of Visplause, a system to support an efficient inspection of DQ problems for many time series. The key idea of Visplause is to utilize meta-information concerning the semantics of both the time series and the plausibility checks for structuring and summarizing results of DQ checks in a flexible way. Linked views enable users to inspect anomalies in detail and to generate hypotheses about possible causes. The design of Visplause was guided by goals derived from a comprehensive task analysis with domain experts in the energy sector. We reflect on the design process by discussing design decisions at four stages and we identify lessons learned. We also report feedback from domain experts after using Visplause for a period of one month. This feedback suggests significant efficiency gains for DQ assessment, increased confidence in the DQ, and the applicability of Visplause to summarize indicators also outside the context of DQ.","https://ieeexplore.ieee.org/document/7536111/","LOCKED","7536111","VrVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37085897224","1","Clemens Arbesser","37085897224","VrVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37085886756","2","Florian Spechtenhauser","37085886756","VrVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37077342500","3","Thomas Mühlbacher","37077342500","VrVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37282562500","4","Harald Piringer","37282562500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","0","Journals & Magazines","10.1109/TVCG.2016.2598592","650","https://ieeexplore.ieee.org/document/7536111/","Data Quality Assessment","High-Dimensional Data","Hierarchical Aggregation","Linked Views","","","","Time series analysis","Sensors","Inspection","Production","Data models","Photovoltaic systems","","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7536111","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","31","641","Visplause: Visual Data Quality Assessment of Many Time Series Using Plausibility Checks","23"
"Physical data representations, or data physicalizations, are a promising new medium to represent and communicate data. Previous work mostly studied passive physicalizations which require humans to perform all interactions manually. Dynamic shape-changing displays address this limitation and facilitate data exploration tasks such as sorting, navigating in data sets which exceed the fixed size of a given physical display, or preparing “views” to communicate insights about data. However, it is currently unclear how people approach and interact with such data representations. We ran an exploratory study to investigate how non-experts made use of a dynamic physical bar chart for an open-ended data exploration and presentation task. We asked 16 participants to explore a data set on European values and to prepare a short presentation of their insights using a physical display. We analyze: (1) users' body movements to understand how they approach and react to the physicalization, (2) their hand-gestures to understand how they interact with physical data, (3) system interactions to understand which subsets of the data they explored and which features they used in the process, and (4) strategies used to explore the data and present observations. We discuss the implications of our findings for the use of dynamic data physicalizations and avenues for future work.","https://ieeexplore.ieee.org/document/7542185/","LOCKED","7542185","Lancaster University","https://ieeexplore.ieee.org/author/37085886811","1","Faisal Taher","37085886811","University of Copenhagen","https://ieeexplore.ieee.org/author/37076983200","2","Yvonne Jansen","37076983200","Lancaster University","https://ieeexplore.ieee.org/author/37078418900","3","Jonathan Woodruff","37078418900","Lancaster University","https://ieeexplore.ieee.org/author/37903133900","4","John Hardy","37903133900","University of Copenhagen","https://ieeexplore.ieee.org/author/38201832000","5","Kasper Hornbæk","38201832000","Lancaster University","https://ieeexplore.ieee.org/author/37085617240","6","Jason Alexander","37085617240","","","","","","","","","","","","","","","","","","","","","5","0","Journals & Magazines","10.1109/TVCG.2016.2598498","460","https://ieeexplore.ieee.org/document/7542185/","Shape-changing displays","physicalization","physical visualization","bar charts","user behaviour","data presentation","","Bars","Data visualization","Training","Cameras","Navigation","Pressing","","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7542185","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","32","451","Investigating the Use of a Dynamic Physical Bar Chart for Data Exploration and Presentation","23"
"Information hierarchies are difficult to express when real-world space or time constraints force traversing the hierarchy in linear presentations, such as in educational books and classroom courses. We present booc.io, which allows linear and non-linear presentation and navigation of educational concepts and material. To support a breadth of material for each concept, booc.io is Web based, which allows adding material such as lecture slides, book chapters, videos, and LTIs. A visual interface assists the creation of the needed hierarchical structures. The goals of our system were formed in expert interviews, and we explain how our design meets these goals. We adapt a real-world course into booc.io, and perform introductory qualitative evaluation with students.","https://ieeexplore.ieee.org/document/7536150/","LOCKED","7536150","Harvard Paulson SEAS","https://ieeexplore.ieee.org/author/37085898951","1","Michail Schwab","37085898951","Harvard Paulson SEAS","https://ieeexplore.ieee.org/author/38108845300","2","Hendrik Strobelt","38108845300","Harvard Paulson SEAS","https://ieeexplore.ieee.org/author/38234180400","3","James Tompkin","38234180400","HarvardX","https://ieeexplore.ieee.org/author/37085902633","4","Colin Fredericks","37085902633","Harvard Institute for Quantitative Social Sciences","https://ieeexplore.ieee.org/author/37085902626","5","Connor Huff","37085902626","Harvard Institute for Quantitative Social Sciences","https://ieeexplore.ieee.org/author/37085902268","6","Dana Higgins","37085902268","Harvard Institute for Quantitative Social Sciences","https://ieeexplore.ieee.org/author/37085906153","7","Anton Strezhnev","37085906153","Harvard Institute for Quantitative Social Sciences","https://ieeexplore.ieee.org/author/37085907080","8","Mayya Komisarchik","37085907080","Harvard Institute for Quantitative Social Sciences","https://ieeexplore.ieee.org/author/37085901376","9","Gary King","37085901376","Harvard Paulson SEAS","https://ieeexplore.ieee.org/author/37275698100","10","Hanspeter Pfister","37275698100","3","0","Journals & Magazines","10.1109/TVCG.2016.2598518","580","https://ieeexplore.ieee.org/document/7536150/","Hierarchies","information visualization","education","","","","","Education","Visualization","Context","Navigation","Data visualization","Face","Videos","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7536150","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","33","571","booc.io: An Education System with Hierarchical Concept Maps and Dynamic Non-linear Learning Plans","23"
"Dimensionality Reduction (DR) is a core building block in visualizing multidimensional data. For DR techniques to be useful in exploratory data analysis, they need to be adapted to human needs and domain-specific problems, ideally, interactively, and on-the-fly. Many visual analytics systems have already demonstrated the benefits of tightly integrating DR with interactive visualizations. Nevertheless, a general, structured understanding of this integration is missing. To address this, we systematically studied the visual analytics and visualization literature to investigate how analysts interact with automatic DR techniques. The results reveal seven common interaction scenarios that are amenable to interactive control such as specifying algorithmic constraints, selecting relevant features, or choosing among several DR algorithms. We investigate specific implementations of visual analysis systems integrating DR, and analyze ways that other machine learning methods have been combined with DR. Summarizing the results in a “human in the loop” process model provides a general lens for the evaluation of visual interactive DR systems. We apply the proposed model to study and classify several systems previously described in the literature, and to derive future research opportunities.","https://ieeexplore.ieee.org/document/7536217/","LOCKED","7536217","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37085566394","1","Dominik Sacha","37085566394","Middlesex University, UK","https://ieeexplore.ieee.org/author/37085501238","2","Leishi Zhang","37085501238","University of Vienna, Austria","https://ieeexplore.ieee.org/author/37590945600","3","Michael Sedlmair","37590945600","SSS, IREC, MIRO, Université catholique de LouvainUCLBelgian F.R.S.-FNRS.","https://ieeexplore.ieee.org/author/37676969200","4","John A. Lee","37676969200","Helsinki Institute for Information Technology HIIT, Aalto University, University of Tampere, Finland","https://ieeexplore.ieee.org/author/37410843300","5","Jaakko Peltonen","37410843300","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37268045000","6","Daniel Weiskopf","37268045000","Infovisible LLC, Oldwick, U.S.A.","https://ieeexplore.ieee.org/author/37372818600","7","Stephen C. North","37372818600","VISUS, University of Stuttgart, Germany","https://ieeexplore.ieee.org/author/37283138700","8","Daniel A. Keim","37283138700","","","","","","","","","","","33","0","Journals & Magazines","10.1109/TVCG.2016.2598495","250","https://ieeexplore.ieee.org/document/7536217/","Interactive visualization","machine learning","visual analytics","dimensionality reduction","","","","Data visualization","Visualization","Algorithm design and analysis","Data models","Manuals","Machine learning algorithms","Analytical models","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7536217","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","34","241","Visual Interaction with Dimensionality Reduction: A Structured Literature Analysis","23"
"Constraint programming allows difficult combinatorial problems to be modelled declaratively and solved automatically. Advances in solver technologies over recent years have allowed the successful use of constraint programming in many application areas. However, when a particular solver's search for a solution takes too long, the complexity of the constraint program execution hinders the programmer's ability to profile that search and understand how it relates to their model. Therefore, effective tools to support such profiling and allow users of constraint programming technologies to refine their model or experiment with different search parameters are essential. This paper details the first user-centred design process for visual profiling tools in this domain. We report on: our insights and opportunities identified through an on-line questionnaire and a creativity workshop with domain experts carried out to elicit requirements for analytical and visual profiling techniques; our designs and functional prototypes realising such techniques; and case studies demonstrating how these techniques shed light on the behaviour of the solvers in practice.","https://ieeexplore.ieee.org/document/7536109/","LOCKED","7536109","Adaptive Visualisation LabMonash University","https://ieeexplore.ieee.org/author/37077419200","1","Sarah Goodwin","37077419200","Faculty of Information Technology, Monash University","https://ieeexplore.ieee.org/author/37297701000","2","Christopher Mears","37297701000","Adaptive Visualisation LabMonash University","https://ieeexplore.ieee.org/author/37326161000","3","Tim Dwyer","37326161000","Faculty of Information Technology, Monash University","https://ieeexplore.ieee.org/author/37284899000","4","Maria Garcia de la Banda","37284899000","Faculty of Information Technology, Monash University","https://ieeexplore.ieee.org/author/37085891841","5","Guido Tack","37085891841","Faculty of Information Technology, Monash University","https://ieeexplore.ieee.org/author/38082195400","6","Mark Wallace","38082195400","","","","","","","","","","","","","","","","","","","","","8","0","Journals & Magazines","10.1109/TVCG.2016.2598545","290","https://ieeexplore.ieee.org/document/7536109/","visual analytics","user-centred design","profiling","constraint programming","tree visualisations","","","Visualization","Programming","Search problems","Computational modeling","Conferences","Prototypes","Creativity","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7536109","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","35","281","What do Constraint Programming Users Want to See? Exploring the Role of Visualisation in Profiling of Models and Search","23"
