"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_insert_date","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_issn","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Information analysis often involves decomposing data into sub-groups to allow for comparison and identification of relationships. Breakdown Visualization provides a mechanism to support this analysis through user guided drill-down of polyarchical metadata. This metadata describes multiple hierarchical structures for organizing tuple aggregations and table attributes. This structure is seen in financial data, organizational structures, sport statistics, and other domains. A spreadsheet format enables comparison of visualizations at any level of the hierarchy. Breakdown Visualization allows users to drill-down a single hierarchy then pivot into another hierarchy within the same view. It utilizes a fix and move technique that allows users to select multiple foci for drill-down.","https://ieeexplore.ieee.org/document/1173158/","LOCKED","1173158","Department of Computer Science, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","Department of Computer Science, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/38137891600","1","N. Conklin","38137891600","Department of Computer Science, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","Department of Computer Science, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/38150082500","2","S. Prabhakar","38150082500","Department of Computer Science, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","","Department of Computer Science, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/37419565900","3","C. North","37419565900","","","","","","","7","3","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173158","177","134","https://ieeexplore.ieee.org/document/1173158/","Data visualization","Electric breakdown","Organizing","Performance analysis","Data analysis","Pattern analysis","Computer science","Information analysis","Statistics","Geography","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173158","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","11","131","Multiple foci drill-down through tuple and attribute aggregation polyarchies in tabular data"
"Cartograms are a well-known technique for showing geography-related statistical information, such as population demographics and epidemiological data. The basic idea is to distort a map by resizing its regions according to a statistical parameter, but in a way that keeps the map recognizable. We deal with the problem of making continuous cartograms that strictly retain the topology of the input mesh. We compare two algorithms to solve the continuous cartogram problem. The first one uses an iterative relocation of the vertices based on scanlines. The second one is based on the Gridfit technique, which uses pixel-based distortion based on a quadtree-like data structure.","https://ieeexplore.ieee.org/document/1173144/","LOCKED","1173144","AT&T Shannon Lab., Florham Park, NJ, USA","AT&T Shannon Lab., Florham Park, NJ, USA","https://ieeexplore.ieee.org/author/37283138700","1","D.A. Keim","37283138700","AT and T Shannon Laboratories, NJ, USA","AT and T Shannon Laboratories, NJ, USA","https://ieeexplore.ieee.org/author/37372818600","2","S.C. North","37372818600","University of Constance, Germany","","University of Constance, Germany","https://ieeexplore.ieee.org/author/37282557300","3","C. Panse","37282557300","University of Halle, Germany","University of Halle, Germany","https://ieeexplore.ieee.org/author/37669961800","4","J. Schneidewind","37669961800","6","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173144","411","36","https://ieeexplore.ieee.org/document/1173144/","Shape","Nominations and elections","Demography","Topology","Iterative algorithms","Data structures","Data visualization","Laboratories","Humans","Displays","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173144","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","12","33","Efficient cartogram generation: a comparison"
"We describe a system for analyzing the flow of traffic through Web sites. We decomposed the general path analysis problem into a set of distinct subproblems, and created a visual metaphor for analyzing each of them. Our system works off of multiple representations of the clickstream, and exposes the path extraction algorithms and data to the visual metaphors as Web services. We have combined the visual metaphors into a Web-based ""path analysis portal"" that lets the user easily switch between the different modes of analysis.","https://ieeexplore.ieee.org/document/1173163/","LOCKED","1173163","Visintuit LLC, USA","Visintuit LLC, USA","https://ieeexplore.ieee.org/author/37349418300","1","T.A. Keahey","37349418300","Visintuit LLC, USA","Visintuit LLC, USA","https://ieeexplore.ieee.org/author/37282570100","2","S.G. Eick","37282570100","","","","","","","","","","","","","","3","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173163","198","168","https://ieeexplore.ieee.org/document/1173163/","Data mining","Switches","Navigation","Algorithm design and analysis","Uniform resource locators","Web services","Aggregates","Web page design","Search engines","Pattern analysis","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173163","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","13","165","Visual path analysis"
"A large body of results on the characteristics of human spatial vision suggests that space perception is distorted. Recent studies indicate that the geometry of visual space is best understood as Affine. If this is the case, it has far reaching implications on how 3D visualizations can be successfully employed. For instance, all attempts to build visualization systems where users are expected to discover relations based on Euclidean distances or shapes will be ineffective. Because visualization can, and sometimes do, employ all possible types of depth information and because the results from vision research usually concentrates on one or two such types, three experiments were performed under near optimal viewing conditions. The aim of the experiments was twofold: To test whether the earlier findings generalize to optimal viewing conditions and to get a sense of the size of the error under such conditions. The results show that the findings do generalize and that the errors are large. The implications of these results for successful visualizations are discussed.","https://ieeexplore.ieee.org/document/1173147/","LOCKED","1173147","Dept. of Information Science, Uppsala University, Uppsala, Sweden","Dept. of Information Science, Uppsala University, Uppsala, Sweden","https://ieeexplore.ieee.org/author/37561614400","1","M. Lind","37561614400","Dept. of Psychology, Indiana University, Bloomington, Indiana, USA","Dept. of Psychology, Indiana University, Bloomington, Indiana, USA","https://ieeexplore.ieee.org/author/37088094206","2","G.P. Bingham","37088094206","","None","","https://ieeexplore.ieee.org/author/37088093941","3","C. Forser","37088093941","","","","","","","1","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173147","125","56","https://ieeexplore.ieee.org/document/1173147/","Geometry","Data visualization","Humans","Shape","Information science","Psychology","Testing","","","","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173147","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","14","51","The illusion of perceived metric 3D structure"
"Since the crash of the dot.coms, investors have gotten a lot more careful with where they place their money. Now more than ever it becomes really important for venture capitalists (VCs) to monitor the state of the startups market and continually update their investment strategy to suit the rapidly changing market conditions. This paper presents three new visualization metaphors (Spiral Map, TimeTicker, and Double Histogram) for monitoring the startups market. While we are focusing on the VC domain, the visual metaphors developed are general and can be easily applied to other domains.","https://ieeexplore.ieee.org/document/1173162/","LOCKED","1173162","Accenture Technology Laboratories, Palo Alto, CA, USA","Accenture Technology Laboratories, Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37088075680","1","Mei Chuah","37088075680","","","","","","","","","","","","","","","","","","","","1","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173162","140","164","https://ieeexplore.ieee.org/document/1173162/","Venture capital","Investments","Virtual colonoscopy","Spirals","Milling machines","Computer crashes","Condition monitoring","Visualization","Histograms","Medical services","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173162","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","15","161","Demystifying venture capital investing"
"For a decade, the ruling common wisdom for Internet traffic held that it was everywhere bursty: over periods lasting tens of milliseconds to hundreds, the traffic was either much below its average rate or much above. In other words, the traffic was not smooth, not staying at all times close to its average. It was bursty on the cable running down a street, carrying the merged traffic of a small number of cable modem users in one section of a town. It was bursty on the core fiber of an Internet service provider, carrying the merged traffic of thousands of users from all over the country. The Internet was designed to accommodate the bursty traffic. The routers and switches that forward traffic from one place to the next were designed for burstiness, and Internet service providers allocated traffic loads on the devices based on an assumption of burstiness. Recently, it was discovered that the old common wisdom is not true. Visualization played a fundamental role in the discovery. The old wisdom held up for links with a small numbers of users. But as the number of users increases, the burstiness dissipates, and the traffic becomes smooth. Design of the high-load part of the Internet needs to be rethought. The old wisdom had persisted for high-load links because the databases of traffic measurements from them are immense, and the traffic measurements had not been studied in their fullest detail, which is necessary to see the smoothing. Visualization tools allowed the detail to be seen, and allowed the verification of a mathematical theory that predicts the smoothing. To see the detail, individual visual displays were created that take up an amount of virtual screen real estate measured in hundreds of pages. It is a simple idea: if you have a lot of data, and you want to see it in detail, you need a lot of space. What is needed now is a rich set of ideas and methods for navigating such very large displays.","https://ieeexplore.ieee.org/document/1173140/","LOCKED","1173140","Statistics Research Bell Laboratories, USA","Statistics Research Bell Laboratories, USA","https://ieeexplore.ieee.org/author/37282344300","1","W.S. Cleveland","37282344300","","","","","","","","","","","","","","","","","","","","0","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173140","177","4","https://ieeexplore.ieee.org/document/1173140/","Visualization","Displays","Web and internet services","Smoothing methods","Modems","Cities and towns","Optical fiber cables","Switches","Telecommunication traffic","Visual databases","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173140","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","16","3","Internet traffic: visualization, discovery, and very large displays"
"Data-mining of information by the process of pattern discovery in protein sequences has been predominantly algorithm based. We discuss a visualization approach, which uses texture mapping and blending techniques to perform visual data-mining on text data obtained from discovering patterns in protein sequences. This visual approach, investigates the possibilities of representing text data in three dimensions and provides new possibilities of representing more dimensions of information in text data visualization and analysis. We also present a generic framework derived from this visualization approach to visualize text in biosequence data.","https://ieeexplore.ieee.org/document/1173154/","LOCKED","1173154","Delaware Biotechnology Institute, University of Delaware, Newark, DE, USA","Delaware Biotechnology Institute, University of Delaware, Newark, DE, USA","https://ieeexplore.ieee.org/author/37088178368","1","P.R. Thiagarajan","37088178368","Delaware Biotechnology Institute, University of Delaware, Newark, DE, USA","Delaware Biotechnology Institute, University of Delaware, Newark, DE, USA","https://ieeexplore.ieee.org/author/37334741200","2","G.R. Gao","37334741200","","","","","","","","","","","","","","0","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173154","146","109","https://ieeexplore.ieee.org/document/1173154/","Data visualization","Bioinformatics","Sequences","Proteins","DNA","Data analysis","Pattern analysis","Amino acids","Biotechnology","Technological innovation","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173154","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","17","103","Visualizing biosequence data using texture mapping"
"We present a novel tree browser that builds on the conventional node link tree diagrams. It adds dynamic rescaling of branches of the tree to best fit the available screen space, optimized camera movement, and the use of preview icons summarizing the topology of the branches that cannot be expanded. In addition, it includes integrated search and filter functions. This paper reflects on the evolution of the design and highlights the principles that emerged from it. A controlled experiment showed benefits for navigation to already previously visited nodes and estimation of overall tree topology.","https://ieeexplore.ieee.org/document/1173148/","LOCKED","1173148","Human-Computer Interaction Laboratory, University of Maryland, USA","Human-Computer Interaction Laboratory, University of Maryland, USA","https://ieeexplore.ieee.org/author/37283026800","1","C. Plaisant","37283026800","Human-Computer Interaction Laboratory, University of Maryland, USA","Human-Computer Interaction Laboratory, University of Maryland, USA","https://ieeexplore.ieee.org/author/37279773300","2","J. Grosjean","37279773300","Human-Computer Interaction Laboratory, University of Maryland, USA","","Human-Computer Interaction Laboratory, University of Maryland, USA","https://ieeexplore.ieee.org/author/37279760100","3","B.B. Bederson","37279760100","","","","","","","107","9","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173148","1981","64","https://ieeexplore.ieee.org/document/1173148/","Evolution (biology)","Visualization","Displays","Navigation","Filling","Monitoring","Network topology","Laboratories","Cameras","Filters","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173148","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","18","57","SpaceTree: supporting exploration in large node link tree, design evolution and empirical evaluation"
"Existing information visualization techniques are usually limited to the display of a few thousand items. This article describes new interactive techniques capable of handling a million items (effectively visible and manageable on screen). We evaluate the use of hardware-based techniques available with newer graphics cards, as well as new animation techniques and non-standard graphical features such as stereovision and overlap count. These techniques have been applied to two popular information visualizations: treemaps and scatter plot diagrams; but are generic enough to be applied to other 2D representations as well.","https://ieeexplore.ieee.org/document/1173156/","LOCKED","1173156","Human Computer Interaction Laboratory, University of Maryland, USA","Human Computer Interaction Laboratory, University of Maryland, USA","https://ieeexplore.ieee.org/author/37407972900","1","J.-D. Fekete","37407972900","Human Computer Interaction Laboratory, University of Maryland, USA","Human Computer Interaction Laboratory, University of Maryland, USA","https://ieeexplore.ieee.org/author/37283026800","2","C. Plaisant","37283026800","","","","","","","","","","","","","","93","8","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173156","1541","124","https://ieeexplore.ieee.org/document/1173156/","Data visualization","Displays","Scattering","Animation","Tree graphs","Data analysis","Information analysis","Scalability","Sampling methods","Human computer interaction","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173156","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","19","117","Interactive information visualization of a million items"
"We present an extremely fast graph drawing algorithm for very large graphs, which we term ACE (for Algebraic multigrid Computation of Eigenvectors). ACE exhibits an improvement of something like two orders of magnitude over the fastest algorithms we are aware of; it draws graphs of millions of nodes in less than a minute. ACE finds an optimal drawing by minimizing a quadratic energy function. The minimization problem is expressed as a generalized eigenvalue problem, which is rapidly solved using a novel algebraic multigrid technique. The same generalized eigenvalue problem seems to come up also in other fields, hence ACE appears to be applicable outside of graph drawing too.","https://ieeexplore.ieee.org/document/1173159/","LOCKED","1173159","Department of Computer Science and Applied Mathematics, Weizmann Institute of Science, Rehovot, Israel","Department of Computer Science and Applied Mathematics, Weizmann Institute of Science, Rehovot, Israel","https://ieeexplore.ieee.org/author/37088178931","1","Yehuda Koren","37088178931","Department of Computer Science and Applied Mathematics, Weizmann Institute of Science, Rehovot, Israel","Department of Computer Science and Applied Mathematics, Weizmann Institute of Science, Rehovot, Israel","https://ieeexplore.ieee.org/author/38144155300","2","L. Carmel","38144155300","Department of Computer Science and Applied Mathematics, Weizmann Institute of Science, Rehovot, Israel","","Department of Computer Science and Applied Mathematics, Weizmann Institute of Science, Rehovot, Israel","https://ieeexplore.ieee.org/author/37266021800","3","D. Harel","37266021800","","","","","","","30","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173159","526","144","https://ieeexplore.ieee.org/document/1173159/","Laplace equations","Eigenvalues and eigenfunctions","Clustering algorithms","Partitioning algorithms","Computer science","Mathematics","Joining processes","Data visualization","Image segmentation","Minimization methods","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173159","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","20","137","ACE: a fast multiscale eigenvectors computation for drawing huge graphs"
"Radial, space-filling (RSF) techniques for hierarchy visualization have several advantages over traditional node-link diagrams, including the ability to efficiently use the display space while effectively conveying the hierarchy structure. Several RSF systems and tools have been developed to date, each with varying degrees of support for interactive operations such as selection and navigation. We describe what we believe to be a complete set of desirable operations on hierarchical structures. We then present InterRing, an RSF hierarchy visualization system that supports a significantly more extensive set of these operations than prior systems. In particular, InterRing supports multi-focus distortions, interactive hierarchy reconfiguration, and both semi-automated and manual selection. We show the power and utility of these and other operations, and describe our on-going efforts to evaluate their effectiveness and usability.","https://ieeexplore.ieee.org/document/1173151/","LOCKED","1173151","Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA","Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA","https://ieeexplore.ieee.org/author/37087513015","1","Jing Yang","37087513015","Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA","Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA","https://ieeexplore.ieee.org/author/37268441700","2","M.O. Ward","37268441700","Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA","","Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA","https://ieeexplore.ieee.org/author/37279217900","3","E.A. Rundensteiner","37279217900","","","","","","","22","2","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173151","931","84","https://ieeexplore.ieee.org/document/1173151/","Navigation","Data visualization","Computer science","Computer displays","Usability","Data structures","File systems","Manuals","Feedback","Joining processes","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173151","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","21","77","InterRing: an interactive tool for visually navigating and manipulating hierarchical structures"
"Most analysts start with an overview of the data before gradually refining their view to be more focused and detailed. Multiscale pan-and-zoom systems are effective because they directly support this approach. However generating abstract overviews of large data sets is difficult, and most systems take advantage of only one type of abstraction: visual abstraction. Furthermore, these existing systems limit the analyst to a single zooming path on their data and thus a single set of abstract views. This paper presents: (1) a formalism for describing multiscale visualizations of data cubes with both data and visual abstraction, and (2) a method for independently zooming along one or more dimensions by traversing a zoom graph with nodes at different levels of detail. As an example of how to design multiscale visualizations using our system, we describe four design patterns using our formalism. These design patterns show the effectiveness of multiscale visualization of general relational databases.","https://ieeexplore.ieee.org/document/1173141/","LOCKED","1173141","University of Stanford, USA","University of Stanford, USA","https://ieeexplore.ieee.org/author/37442008700","1","C. Stolte","37442008700","University of Stanford, USA","University of Stanford, USA","https://ieeexplore.ieee.org/author/37652594600","2","D. Tang","37652594600","University of Stanford, USA","","University of Stanford, USA","https://ieeexplore.ieee.org/author/37349803800","3","P. Hanrahan","37349803800","","","","","","","14","16","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173141","365","14","https://ieeexplore.ieee.org/document/1173141/","Data visualization","Relational databases","Switches","Polarization","Data analysis","Pattern analysis","Filters","Filtering","Visual databases","","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173141","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","22","7","Multiscale visualization using data cubes"
"Research in several areas provides scientific guidance for use of graphical encoding to convey information in an information visualization display. By graphical encoding we mean the use of visual display elements such as icon color, shape, size, or position to convey information about objects represented by the icons. Literature offers inconclusive and often conflicting viewpoints, including the suggestion that the effectiveness of a graphical encoding depends on the type of data represented. Our empirical study suggests that the nature of the users' perceptual task is more indicative of the effectiveness of a graphical encoding than the type of data represented.","https://ieeexplore.ieee.org/document/1173146/","LOCKED","1173146","Battelle Pacific Northwest Laboratories, Richland, WA, USA","Battelle Pacific Northwest Laboratories, Richland, WA, USA","https://ieeexplore.ieee.org/author/37725426400","1","L. Nowell","37725426400","Department of Statistics, Virginia Technology, Blacksburg, VA, USA","Department of Statistics, Virginia Technology, Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/37974832100","2","R. Schulman","37974832100","Department of Computer Science, Virginia Technology, Blacksburg, VA, USA","","Department of Computer Science, Virginia Technology, Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/37295140000","3","D. Hix","37295140000","","","","","","","10","4","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173146","679","50","https://ieeexplore.ieee.org/document/1173146/","Encoding","Psychology","Computer displays","Shape","Data visualization","Context","Signal detection","Statistics","Computer science","Software libraries","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173146","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","23","43","Graphical encoding for information visualization: an empirical study"
"Relational databases provide significant flexibility to organize, store, and manipulate an infinite variety of complex data collections. This flexibility is enabled by the concept of relational data schemas, which allow data owners to easily design custom databases according to their unique needs. However, user interfaces and information visualizations for accessing and utilizing databases have not kept pace with this level of flexibility. This paper introduces the concept of visualization schemas, based on the Snap-Together Visualization model, which are analogous to relational data schemas. Visualization schemas enable users to rapidly construct customized multiple-view visualizations for databases in a similarly flexible fashion without programming. Since the design of appropriate visualizations for a given database depends on the data schema, visualization schemas are a natural analogy to the data schema concept.","https://ieeexplore.ieee.org/document/1173142/","LOCKED","1173142","Center for Human Computer Interaction Department of Computer Science, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","Center for Human Computer Interaction Department of Computer Science, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/37419565900","1","C. North","37419565900","Center for Human Computer Interaction Department of Computer Science, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","Center for Human Computer Interaction Department of Computer Science, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/38137891600","2","N. Conklin","38137891600","Center for Human Computer Interaction Department of Computer Science, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","","Center for Human Computer Interaction Department of Computer Science, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/37087906028","3","V. Saini","37087906028","","","","","","","7","2","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173142","380","22","https://ieeexplore.ieee.org/document/1173142/","Data visualization","Visual databases","Relational databases","User interfaces","Database systems","Design methodology","Human computer interaction","Computer science","Appropriate technology","Bioinformatics","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173142","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","24","15","Visualization schemas for flexible information visualization"
"Example-based graphics generation systems automatically create new information visualizations by learning from existing graphic examples. As part of the effort on developing a general-purpose example-based generation system, we are building a visual database of graphic examples. In this paper, we address two main issues involved in constructing such a database: example selection and example modeling. As a result, our work offers three unique contributions: First, we build a visual database that contains a diverse collection of well-designed examples. Second, we develop a feature-based scheme to model all examples uniformly and accurately. Third, our visual database brings several important implications to the area of information visualization.","https://ieeexplore.ieee.org/document/1173143/","LOCKED","1173143","IBM Thomas J. Watson Research Center, Hawthorne, NY, USA","IBM Thomas J. Watson Research Center, Hawthorne, NY, USA","https://ieeexplore.ieee.org/author/37399569300","1","M.X. Zhou","37399569300","IBM Thomas J. Watson Research Center, Hawthorne, NY, USA","IBM Thomas J. Watson Research Center, Hawthorne, NY, USA","https://ieeexplore.ieee.org/author/37280982800","2","Min Chen","37280982800","Department of Computer Science, Indiana University, Bloomington, IN, USA","","Department of Computer Science, Indiana University, Bloomington, IN, USA","https://ieeexplore.ieee.org/author/37089310079","3","Ying Feng","37089310079","","","","","","","5","1","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173143","175","30","https://ieeexplore.ieee.org/document/1173143/","Visual databases","Computer graphics","Data visualization","Spatial databases","Computer science","Engines","Buildings","Performance evaluation","Performance analysis","Displays","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173143","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","25","23","Building a visual database for example-based graphics generation"
"Presents the front cover of the proceedings record.","","EPHEMERA","1173139","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173139","188","","https://ieeexplore.ieee.org/document/1173139/","","","","","","","","","","","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173139","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","26","","IEEE Symposium on Information Visualization 2002. INFOVIS 2002. Proceedings"
"The author index contains an entry for each author and coauthor included in the proceedings record.","","EPHEMERA","1173165","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173165","48","173","https://ieeexplore.ieee.org/document/1173165/","","","","","","","","","","","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173165","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","27","173","Author index"
