"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation_0","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorAffiliations_authorAffiliation_0","articles_authors_authors_5_authorAffiliations_authorAffiliation_1","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorAffiliations_authorAffiliation_0","articles_authors_authors_6_authorAffiliations_authorAffiliation_1","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorAffiliations_authorAffiliation_0","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorAffiliations_authorAffiliation_0","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorAffiliations_authorAffiliation_0","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_11","articles_index_terms_author_terms_terms_12","articles_index_terms_author_terms_terms_13","articles_index_terms_author_terms_terms_14","articles_index_terms_author_terms_terms_15","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_insert_date","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"MobiVis is a visual analytics tools to aid in the process of processing and understanding complex relational data, such as social networks. At the core of these tools is the ability to filter complex networks structurally and semantically, which helps us discover clusters and patterns in the organization of social networks. Semantic filtering is obtained via an ontology graph, based on another visual analytics tool, called OntoVis. In this summary, we describe how these tools where used to analyze one of the mini-challenges of the 2008 VAST challenge.","https://ieeexplore.ieee.org/document/4677391/","LOCKED","4677391","Visualization and Interface Design Innovation (VIDI) Group, University of California, Davis, USA","Visualization and Interface Design Innovation (VIDI) Group, University of California, Davis, USA","https://ieeexplore.ieee.org/author/37282925900","1","Carlos D. Correa","37282925900","Visualization and Interface Design Innovation (VIDI) Group, University of California, Davis, USA","Visualization and Interface Design Innovation (VIDI) Group, University of California, Davis, USA","https://ieeexplore.ieee.org/author/37597152500","2","Tarik Crnovrsanin","37597152500","Visualization and Interface Design Innovation (VIDI) Group, University of California, Davis, USA","Visualization and Interface Design Innovation (VIDI) Group, University of California, Davis, USA","https://ieeexplore.ieee.org/author/37299311900","3","Christopher Muelder","37299311900","Visualization and Interface Design Innovation (VIDI) Group, University of California, Davis, USA","Visualization and Interface Design Innovation (VIDI) Group, University of California, Davis, USA","https://ieeexplore.ieee.org/author/37852129700","4","Zeqian Shen","37852129700","Visualization and Interface Design Innovation (VIDI) Group, University of California, Davis, USA","Visualization and Interface Design Innovation (VIDI) Group, University of California, Davis, USA","https://ieeexplore.ieee.org/author/37872070400","5","Ryan Armstrong","37872070400","Visualization and Interface Design Innovation (VIDI) Group, University of California, Davis, USA","Visualization and Interface Design Innovation (VIDI) Group, University of California, Davis, USA","","https://ieeexplore.ieee.org/author/38181769500","6","James Shearer","38181769500","Visualization and Interface Design Innovation (VIDI) Group, University of California, Davis, USA","Visualization and Interface Design Innovation (VIDI) Group, University of California, Davis, USA","","https://ieeexplore.ieee.org/author/37087183639","7","Kwan-Liu Ma","37087183639","","","","","","","","","","","","","","","","","","","3","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677391","262","212","https://ieeexplore.ieee.org/document/4677391/","Visual Analytics","Heterogeneous Graph Visualization","","","","","","","I.3.6 [Methodology and Techniques]—Interaction Techniques","","","","","","","","Visual analytics","","","","","","","","","","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677391","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","11","211","Cell phone mini challenge award: Intuitive social network graphs visual analytics of cell phone data using mobivis and ontovis"
"I describe how SocialAction was used to find insights in an evolving social structure VAST Challenge 2008psilas Mini-Challenge 3. This analysis and SocialAction were given the award, ldquoCell Phone Mini Challenge Award: Time Visualizations of Cell Phone Activityrdquo.","https://ieeexplore.ieee.org/document/4677392/","LOCKED","4677392","Human-Computer Interaction Lab & Department of Computer Science, University of Maryland, USA","Human-Computer Interaction Lab & Department of Computer Science, University of Maryland, USA","https://ieeexplore.ieee.org/author/37294938400","1","Adam Perer","37294938400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677392","115","214","https://ieeexplore.ieee.org/document/4677392/","VAST Challenge","SocialAction","","","","","","","","","","","","","","","Social network services","Cellular phones","Data visualization","Computer science","Statistical analysis","Data analysis","Performance analysis","Histograms","Data mining","","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677392","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","12","213","Using SocialAction to uncover structure in social networks over time"
"The Prajna Project is a Java toolkit designed to provide various capabilities for visualization, knowledge representation, geographic displays, semantic reasoning, and data fusion. Rather than attempt to recreate the significant capabilities provided in other tools, Prajna instead provides software bridges to incorporate other toolkits where appropriate. This challenge required the development of a custom application for visual analysis. By applying the utilities within the Prajna project, I developed a robust and diverse set of capabilities to solve the analytical challenge.","https://ieeexplore.ieee.org/document/4677396/","LOCKED","4677396","Vision Systems and Technology, Inc.","Vision Systems and Technology, Inc.","https://ieeexplore.ieee.org/author/37374975000","1","Edward Swing","37374975000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677396","97","222","https://ieeexplore.ieee.org/document/4677396/","Information Visualization","Software Toolkit","","","","","","","Knowledge Representation","Toolkit Integration","D.2.11 [Software Engineering]: Software Architectures - Domain-specific architectures","[Computer Graphics]: Methodology and Techniques - Interaction Techniques","","","","","Visual analytics","","","","","","","","","","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677396","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","13","221","Award: Efficient toolkit integration solving the cell phone calls challenge with the Prajna Project"
"From instant messaging and email to wikis and blogs, millions of individuals are generating content that reflects their relationships with others in the world, both online and offline. Since communication artifacts are recordings of life events, we can gain insights into the social attributes and structures of the people within this communication history. In this paper, we describe SocialRank, an ego- and time-centric workflow for identifying social relationships in an email corpus. This workflow includes four high-level tasks: discovery, validation, annotation and dissemination. SocialRank combines relationship ranking algorithms with timeline, social network diagram, and multidimensional scaling visualization techniques to support these tasks.","https://ieeexplore.ieee.org/document/4677375/","LOCKED","4677375","Milton Eisenhower Research Center,Applied Physics Laboratory, Johns Hopkins University, USA","Milton Eisenhower Research Center,Applied Physics Laboratory, Johns Hopkins University, USA","https://ieeexplore.ieee.org/author/37295585500","1","Jaime Montemayor","37295585500","Milton Eisenhower Research Center,Applied Physics Laboratory, Johns Hopkins University, USA","Milton Eisenhower Research Center,Applied Physics Laboratory, Johns Hopkins University, USA","https://ieeexplore.ieee.org/author/37331563200","2","Chris Diehl","37331563200","Milton Eisenhower Research Center,Applied Physics Laboratory, Johns Hopkins University, USA","Milton Eisenhower Research Center,Applied Physics Laboratory, Johns Hopkins University, USA","https://ieeexplore.ieee.org/author/38497064700","3","Mike Pekala","38497064700","Milton Eisenhower Research Center,Applied Physics Laboratory, Johns Hopkins University, USA","Milton Eisenhower Research Center,Applied Physics Laboratory, Johns Hopkins University, USA","https://ieeexplore.ieee.org/author/37871719400","4","David Patrone","37871719400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677375","109","180","https://ieeexplore.ieee.org/document/4677375/","H.5.2 [Information Systems]: Information Interfaces and Presentation—User interfaces","H.4.3 [Information Systems]: Communications Applications—Information browsers","","","","","","","I.3.6 [Computing Methodologies]: Methodology and Techniques—Interaction techniques","","","","","","","","Social network services","Electronic mail","Blogs","Information systems","Algorithm design and analysis","Physics","Laboratories","History","Multidimensional systems","Data visualization","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677375","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","14","179","Interactive poster - SocialRank: An ego- and time-centric workflow for relationship identification"
"The VAST 2008 Challenge consisted of four heterogeneous synthetic data sets each organized into separate mini-challenges. The Grand Challenge required integrating the raw data from these four data sets as well as integrating results and findings from team members working on specific mini-challenges. Modeling the problem with a semantic network provided a means for integrating both the raw data and the subjective findings.","https://ieeexplore.ieee.org/document/4677384/","LOCKED","4677384","Drexel University","Drexel University","https://ieeexplore.ieee.org/author/38237532300","1","Donald Pellegrino","38237532300","Penn State University, USA","Penn State University, USA","https://ieeexplore.ieee.org/author/37087585773","2","Chi-Chun Pan","37087585773","Penn State University, USA","Penn State University, USA","https://ieeexplore.ieee.org/author/37829187900","3","Anthony Robinson","37829187900","Penn State University, USA","Penn State University, USA","https://ieeexplore.ieee.org/author/38181445400","4","Michael Stryker","38181445400","Penn State University, USA","Penn State University, USA","https://ieeexplore.ieee.org/author/37087821355","5","Junyan Luo","37087821355","Pennsylvania State University, USA","Pennsylvania State University, USA","Drexel University","https://ieeexplore.ieee.org/author/37564883300","6","Chris Weaver","37564883300","Drexel University, USA","Drexel University, USA","Penn State University","https://ieeexplore.ieee.org/author/37286730000","7","Prasenjit Mitra","37286730000","Penn State University, USA","Penn State University, USA","https://ieeexplore.ieee.org/author/37087197581","8","Chaomei Chen","37087197581","Penn State University, USA","Penn State University, USA","https://ieeexplore.ieee.org/author/37872420000","9","Ian Turton","37872420000","Penn State University, USA","Penn State University, USA","https://ieeexplore.ieee.org/author/37374699000","10","Alan MacEachren","37374699000","1","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677384","144","198","https://ieeexplore.ieee.org/document/4677384/","Visual analytics","investigative analysis","","","","","","","intelligence analysis","information visualization","geovisualization","data integration","E.1 [Data]: Data Structures—Graphs and networks","H.5.3 [Information Systems]: Information Interfaces and Presentation—Group and Organization Interfaces","","","Visual analytics","","","","","","","","","","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677384","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","15","197","Grand challenge award: Data integration visualization and collaboration in the VAST 2008 Challenge"
"Summary form only given. As practitioners and educators in the field of Visual Analytics Science and Technology, youpsilave seen the power of visual analytics for scientific and technical applications including Homeland Security. But visual analytics is spreading to the general business population solving unexpected problems and challenges. In this talk, Tableau Software CEO Christian Chabot will highlight the areas of opportunity for visual analytics and demonstrate real examples of practical problems being solved by visual analytics. Hepsilall share his vision for the future of this industry - how everyday people can and are using visual analytics to solve some of businesspsilas and societypsilas most challenging issues. Hepsilall also identify whatpsilas needed to bring visual analytics to the forefront of main-stream data analysis and how the industry is helping to deliver on those needs.","https://ieeexplore.ieee.org/document/4677347/","LOCKED","4677347","Tableau Software","Tableau Software","https://ieeexplore.ieee.org/author/37872418500","1","Christian Chabot","37872418500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677347","175","xi","https://ieeexplore.ieee.org/document/4677347/","","","","","","","","","","","","","","","","","","","","","","","","","","","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677347","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","16","xi","Keynote address Practical applications of visual analytics: On the cusp of widespread adoption"
"The adoption of visual analytics methodologies in security applications is an approach that could lead to interesting results. Usually, the data that has to be analyzed finds in a graphical representation its preferred nature, such as spatial or temporal relationships. Due to the nature of these applications, it is very important that key-details are made easy to identify. In the context of the VAST 2008 Challenge, we developed a visualization tool that graphically displays the movement of 82 employees of the Miami Department of Health (USA). We also asked 13 users to identify potential suspects and observe what happened during an evacuation of the building caused by an explosion. In this paper we explain the results of the user testing we conducted and how the users interpreted the event taken into account.","https://ieeexplore.ieee.org/document/4677390/","LOCKED","4677390","University of Bari, Bari, Italy","University of Bari, Bari, Italy","https://ieeexplore.ieee.org/author/37605768200","1","Adalberto L. Simeone","37605768200","University of Bari, Bari, Italy","University of Bari, Bari, Italy","https://ieeexplore.ieee.org/author/37875736700","2","Buono Paolo","37875736700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677390","118","210","https://ieeexplore.ieee.org/document/4677390/","user testing","evacuation","","","","","","","visual analytics","casualties detection","H.1.2 [Models and principles]: User/Machine Systems—Human information processing","H.1.2 [Models and principles]: User/Machine Systems—Software psychology","","","","","Animation","Data visualization","Visual analytics","System testing","Data security","Information processing","Psychology","Discrete event simulation","","","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677390","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","17","209","Evacuation traces mini challenge: User testing to obtain consensus discovering the terrorist"
"The Geospatial Visual Analytics Toolkit intended for exploratory analysis of spatial and spatio-temporal data has been recently enriched with specific visual and computational techniques supporting analysis of data about movement. We applied these and other techniques to the data and tasks of Mini Challenge 4, where it was necessary to analyze tracks of moving people.CR Categories and Subject Descriptors: H.1.2 [User/Machine Systems]: Human information processing - Visual Analytics; 1.6.9 [Visualization]: information visualization.","https://ieeexplore.ieee.org/document/4677388/","LOCKED","4677388","Fraunhofer Institute of Intelligent Analysis and Information Systems (IAIS), Sankt-Augustin, Germany","Fraunhofer Institute of Intelligent Analysis and Information Systems (IAIS), Sankt-Augustin, Germany","https://ieeexplore.ieee.org/author/37283047700","1","Natalia Andrienko","37283047700","Fraunhofer Institute of Intelligent Analysis and Information Systems (IAIS), Sankt-Augustin, Germany","Fraunhofer Institute of Intelligent Analysis and Information Systems (IAIS), Sankt-Augustin, Germany","https://ieeexplore.ieee.org/author/37283047100","2","Gennady Andrienko","37283047100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677388","147","206","https://ieeexplore.ieee.org/document/4677388/","Movement data","spatio-temporal data","","","","","","","aggregation","scalable visualization","geovisualization","","","","","","Visual analytics","","","","","","","","","","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677388","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","18","205","Evacuation trace Mini Challenge award: Tool integration analysis of movements with Geospatial Visual Analytics Toolkit"
"We provide a description of the tools and techniques used in our analysis of the VAST 2008 Challenge dealing with mass movement of persons departing Isla Del Sue.no on boats for the United States during 2005–2007. We used visual analytics to explore migration patterns, characterize the choice and evolution of landing sites, characterize the geographical patterns of interdictions and determine the successful landing rate. Our ComVis tool, in connection with some helper applications and Google Earth, allowed us to explore geo-temporal characteristics of the data set and answer the challenge questions. The ComVis project file captures the visual analysis context and facilitates better collaboration among team members.","https://ieeexplore.ieee.org/document/4677387/","LOCKED","4677387","Department of Telecom-FER, University of Zagreb, Croatia","Department of Telecom-FER, University of Zagreb, Croatia","https://ieeexplore.ieee.org/author/38190846400","1","R. Miklin","38190846400","Department of Telecom-FER, University of Zagreb, Croatia","Department of Telecom-FER, University of Zagreb, Croatia","https://ieeexplore.ieee.org/author/37088088507","2","T. Lipic","37088088507","VRVis Research Center, Vienna, Austria","VRVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/38190845700","3","Z. Konyha","38190845700","Department of Telecom-FER, University of Zagreb, Croatia","Department of Telecom-FER, University of Zagreb, Croatia","https://ieeexplore.ieee.org/author/37088090327","4","M. Beric","37088090327","VRVis Research Center, Vienna, Austria","VRVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/38017008700","5","W. Freiler","38017008700","VRVis Research Center, Vienna, Austria","VRVis Research Center, Vienna, Austria","","https://ieeexplore.ieee.org/author/37947312900","6","K. Matkovic","37947312900","Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","","https://ieeexplore.ieee.org/author/37323697500","7","D. Gracanin","37323697500","","","","","","","","","","","","","","","","","","","1","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677387","97","204","https://ieeexplore.ieee.org/document/4677387/","Visual analytics","geo-temporal data","","","","","","","I.3.0 [Computer Graphics]: General—","I.3.6 [Computer Graphics]: Methodology and Techniques—(Interaction techniques)","J.4.1 [Social and Behavioral Sciences]: Sociology—","","","","","","Histograms","Telecommunications","Visual analytics","Computer graphics","Application software","Collaboration","","","","","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677387","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","19","203","Migrant Boat Mini Challenge Award: Simple and Effective Integrated Display Geo-Temporal Analysis of migrant boats"
"Climate Change has emerged as one of the grand global challenges facing humanity. The dominant anthropogenic greenhouse gas that seems to be contributing to the climate change problem, carbon dioxide (CO2), has a complex cycle through the atmosphere, oceans and biosphere. The combustion of fossil fuels (power production, transportation, etc.) remains the largest source of anthropogenic CO2 to the Earth’s atmosphere. Up until very recently, the quantification of fossil fuel CO2 was understood only at coarse space and time scales. A recent research effort has greatly improved this space/time quantification resulting in source data at a resolution of less than 10 km2/hr at the surface of North America. By providing visual tools to examine this new, high resolution CO2 data, we can better understand the way that CO2 is transmitted within the atmosphere and how it is exchanged with other components of the Earth System. We have developed interactive visual analytic tools, which allows for easy data manipulation, analysis, and extraction. The visualization system is aimed for a wide range of users which include researchers and political leaders. The goal is to help assist these people in analyzing data and enabling new policy options in mitigation of fossil fuel CO2 emissions in the U.S.","https://ieeexplore.ieee.org/document/4677372/","LOCKED","4677372","Department of Computer Science, Purdue University, USA","Department of Computer Science, Purdue University, USA","https://ieeexplore.ieee.org/author/37660812000","1","Nathan Andrysco","37660812000","Department of Computer Graphics Technolog, Purdue University, USA","Department of Computer Graphics Technolog, Purdue University, USA","https://ieeexplore.ieee.org/author/37658673700","2","Bedrich Benes","37658673700","Department of Atmospheric Sciences, Purdue University, USA","Department of Atmospheric Sciences, Purdue University, USA","https://ieeexplore.ieee.org/author/38181840300","3","Kevin Gurney","38181840300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677372","215","174","https://ieeexplore.ieee.org/document/4677372/","Visual Analytics","CO2","","","","","","","Multivariate and Spatio-Temporal Data","Volume Visualization","GIS","Interactive Visualization","I.3.8 [Computer Graphics]: Applications—","","","","Visual analytics","Atmosphere","Fossil fuels","Data analysis","Global warming","Carbon dioxide","Oceans","Biosphere","Combustion","Production","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677372","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","20","173","Interactive poster: Visual analytic techniques for CO2 emissions and concentrations in the United States"
"Many real-world visual analytics applications involve time-oriented data. I am working in a research project related to this challenge where I am responsible for the interactive visualization part. My goal are interactive visualizations to explore such time-oriented data according to the user tasks while considering the structure of time. Time is composed of many granularities that are likely to have crucial influence on the formation of the data. The challenge is to integrate the granularities into a detailed compound view on the data, like the compound eye of insects integrates many images into one view. Other members of our team are experts in temporal data mining and user centered design. The goal is to combine our research topics to an integrated system that helps domain experts to get more insight from their time-oriented data.","https://ieeexplore.ieee.org/document/4677374/","LOCKED","4677374","Department of Information and Knowledge Engineering (ike), Danube-University of Krems, Krems, Austria","Department of Information and Knowledge Engineering (ike), Danube-University of Krems, Krems, Austria","https://ieeexplore.ieee.org/author/37646290500","1","Tim Lammarsch","37646290500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677374","207","178","https://ieeexplore.ieee.org/document/4677374/","I.3.6 [Computing Methodologies]: Computer Graphics—Methodology and Techniques","H.5.m [Information Systems]: Information Interfaces And Presentation (e.g., HCI)—Miscellaneous","","","","","","","","","","","","","","","Data visualization","Visual analytics","Data mining","Computer interfaces","Calendars","Knowledge engineering","User centered design","Information systems","Business","","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677374","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","21","177","A compound approach for interactive visualization of time-oriented data"
"Mutual funds are one of the most important investment instruments available. However, choosing among mutual funds is not an easy task because they vary in many different dimensions, such as asset size, turnover and fee structure, and these characteristics may affect fund returns. It is thus important to understand the relation between fund performance and these properties. In this work, we use a new visual analytical tool, the density-based distribution map, to assist in this task. By visualizing various important fund characteristics from a real-world database of the US stock funds, our new visual representations greatly help understand the relation between fund characteristics and returns.","https://ieeexplore.ieee.org/document/4677376/","LOCKED","4677376","Kent University, USA","Kent University, USA","https://ieeexplore.ieee.org/author/37087910725","1","Ye Zhao","37087910725","Kent University, USA","Kent University, USA","https://ieeexplore.ieee.org/author/37846905500","2","Jamal Alsakran","37846905500","Kent University, USA","Kent University, USA","https://ieeexplore.ieee.org/author/37087528800","3","Xinlei Zhao","37087528800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","19-24 Oct. 2008","Columbus, OH","Conferences","10.1109/VAST.2008.4677376","206","182","https://ieeexplore.ieee.org/document/4677376/","Financial Data Visualization","Mutual Funds","","","","","","","Distribution Map","Decision Making","Regression Analysis","H.1.2 [User/Machine Systems]: Human Information Processing—Visualization","H.4.2 [Information Systems Applications]: Types of Systems—Decision Support","","","","Performance analysis","Mutual funds","Visual databases","Instruments","Data visualization","Investments","Decision making","Regression analysis","Humans","Information systems","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677376","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","22","181","Visual analysis for mutual fund performance"
