"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorAffiliations_authorAffiliation_1","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorAffiliations_authorAffiliation_1","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorAffiliations_authorAffiliation_1","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorAffiliations_authorAffiliation_1","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation_0","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorAffiliations_authorAffiliation_0","articles_authors_authors_5_authorAffiliations_authorAffiliation_1","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorAffiliations_authorAffiliation_0","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorAffiliations_authorAffiliation_0","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorAffiliations_authorAffiliation_0","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorAffiliations_authorAffiliation_0","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_11","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_10","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_insert_date","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume" 
"Many graph layout algorithms optimize visual characteristics to achieve useful representations. Implicitly, their goal is to create visual representations that are more intuitive to human observers. In this paper, we asked users to explicitly manipulate nodes in a network diagram to create layouts that they felt best captured the relationships in the data. This allowed us to measure organizational behavior directly, allowing us to evaluate the perceptual importance of particular visual features, such as edge crossings and edge-lengths uniformity. We also manipulated the interior structure of the node relationships by designing data sets that contained clusters, that is, sets of nodes that are strongly interconnected. By varying the degree to which these clusters were “masked” by extraneous edges we were able to measure observers’ sensitivity to the existence of clusters and how they revealed them in the network diagram. Based on these measurements we found that observers are able to recover cluster structure, that the distance between clusters is inversely related to the strength of the clustering, and that users exhibit the tendency to use edges to visually delineate perceptual groups. These results demonstrate the role of perceptual organization in representing graph data and provide concrete recommendations for graph layout algorithms.","https://ieeexplore.ieee.org/document/4658147/","LOCKED","4658147","IBM Research Cambridge, MA, USA","","IBM Research Cambridge, MA, USA","","https://ieeexplore.ieee.org/author/37326291000","1","Frank van Ham","37326291000","IBM Research Hawthorne, NY, USA","","IBM Research Hawthorne, NY, USA","","https://ieeexplore.ieee.org/author/37332114400","2","Bernice Rogowitz","37332114400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","1","Journals","10.1109/TVCG.2008.155","746","1339","https://ieeexplore.ieee.org/document/4658147/","Index Terms—","Network layout visualization","","","perceptual organization","graph layout","user studies","","","","","","Humans","Clustering algorithms","","Algorithm design and analysis","Particle measurements","Concrete","Data visualization","Neural networks","Communication networks","Social network services","Performance analysis","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658147","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","22","1333","Perceptual Organization in User-Generated Graph Layouts","14"
"Radviz is a radial visualization with dimensions assigned to points called dimensional anchors (DAs) placed on the circumference of a circle. Records are assigned locations within the circle as a function of its relative attraction to each of the DAs. The DAs can be moved either interactively or algorithmically to reveal different meaningful patterns in the dataset. In this paper we describe Vectorized Radviz (VRV) which extends the number of dimensions through data flattening. We show how VRV increases the power of Radviz through these extra dimensions by enhancing the flexibility in the layout of the DAs. We apply VRV to the problem of analyzing the results of multiple clusterings of the same data set, called multiple cluster sets or cluster ensembles. We show how features of VRV help discern patterns across the multiple cluster sets. We use the Iris data set to explain VRV and a newt gene microarray data set used in studying limb regeneration to show its utility. We then discuss further applications of VRV.","https://ieeexplore.ieee.org/document/4658161/","LOCKED","4658161","Department of Computer Science, University of Massachusetts, Lowell, USA","","Department of Computer Science, University of Massachusetts, Lowell, USA","","https://ieeexplore.ieee.org/author/37869996300","1","John Sharko","37869996300","Department of Computer Science, University of Massachusetts, Lowell, USA","","Department of Computer Science, University of Massachusetts, Lowell, USA","","https://ieeexplore.ieee.org/author/37360588500","2","Georges Grinstein","37360588500","Department of Chemistry, University of Massachusetts, Lowell, USA","Department of Chemistry, University of Massachusetts, Lowell, USA","","https://ieeexplore.ieee.org/author/37606703800","3","Kenneth A. Marx","37606703800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","0","Journals","10.1109/TVCG.2008.173","912","1427","https://ieeexplore.ieee.org/document/4658161/","Index Terms—","Visualization","","","Radviz","Vectorized Radviz","Clustering","Multiple Clustering","Cluster Ensembles","Flattening Datasets","","","Clustering algorithms","Partitioning algorithms","","Displays","Iris","Data visualization","Heuristic algorithms","Voting","","","","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658161","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","23","1444","Vectorized Radviz and Its Application to Multiple Cluster Datasets","14"
"Building visualization and analysis pipelines is a large hurdle in the adoption of visualization and workflow systems by domain scientists. In this paper, we propose techniques to help users construct pipelines by consensus-automatically suggesting completions based on a database of previously created pipelines. In particular, we compute correspondences between existing pipeline subgraphs from the database, and use these to predict sets of likely pipeline additions to a given partial pipeline. By presenting these predictions in a carefully designed interface, users can create visualizations and other data products more efficiently because they can augment their normal work patterns with the suggested completions. We present an implementation of our technique in a publicly-available, open-source scientific workflow system and demonstrate efficiency gains in real-world situations.","https://ieeexplore.ieee.org/document/4658192/","LOCKED","4658192","School of Computing, University of Utah, USA","","School of Computing, University of Utah, USA","","https://ieeexplore.ieee.org/author/37647314800","1","D. Koop","37647314800","Scientific Computing and Imaging (SCI) Institute, University of Utah, USA","","Scientific Computing and Imaging (SCI) Institute, University of Utah, USA","","https://ieeexplore.ieee.org/author/37550809300","2","C.E. Scheidegger","37550809300","Scientific Computing and Imaging (SCI) Institute, University of Utah, USA","Scientific Computing and Imaging (SCI) Institute, University of Utah, USA","","https://ieeexplore.ieee.org/author/37426872800","3","S.P. Callahan","37426872800","School of Computing, University of Utah, USA","School of Computing, University of Utah, USA","","https://ieeexplore.ieee.org/author/37283149600","4","J. Freire","37283149600","Scientific Computing and Imaging (SCI) Institute, University of Utah, USA","Scientific Computing and Imaging (SCI) Institute, University of Utah, USA","https://ieeexplore.ieee.org/author/37275249200","5","C.T. Silva","37275249200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","2","Journals","10.1109/TVCG.2008.174","738","1698","https://ieeexplore.ieee.org/document/4658192/","Index Terms—","Scientific Workflows","","","Scientific Visualization","Auto Completion","","","","","","","Pipelines","Data visualization","","Visual databases","Open source software","Software systems","Computer interfaces","Data flow computing","Feedback","Programming profession","Reproducibility of results","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658192","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","24","1691","VisComplete: Automating Suggestions for Visualization Pipelines","14"
"Point placement strategies aim at mapping data points represented in higher dimensions to bi-dimensional spaces and are frequently used to visualize relationships amongst data instances. They have been valuable tools for analysis and exploration of data sets of various kinds. Many conventional techniques, however, do not behave well when the number of dimensions is high, such as in the case of documents collections. Later approaches handle that shortcoming, but may cause too much clutter to allow flexible exploration to take place. In this work we present a novel hierarchical point placement technique that is capable of dealing with these problems. While good grouping and separation of data with high similarity is maintained without increasing computation cost, its hierarchical structure lends itself both to exploration in various levels of detail and to handling data in subsets, improving analysis capability and also allowing manipulation of larger data sets.","https://ieeexplore.ieee.org/document/4658134/","LOCKED","4658134","ICMC, Instituto de Ciências Matemáticas e de Computaçãao, University of São Paulo, Sao Paulo, Brazil","","ICMC, Instituto de Ciências Matemáticas e de Computaçãao, University of São Paulo, Sao Paulo, Brazil","","https://ieeexplore.ieee.org/author/37590969400","1","Fernando V. Paulovich","37590969400","ICMC, Instituto de Ciências Matemáticas e de Computaçãao, University of São Paulo, Sao Paulo, Brazil","","ICMC, Instituto de Ciências Matemáticas e de Computaçãao, University of São Paulo, Sao Paulo, Brazil","","https://ieeexplore.ieee.org/author/37371567600","2","Rosane Minghim","37371567600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","0","Journals","10.1109/TVCG.2008.138","764","1236","https://ieeexplore.ieee.org/document/4658134/","Index Terms—","Text and document visualization","","","hierarchical multidimensional visualization","visual knowledge discovery","high-dimensional data.","","","","","","Data visualization","Displays","","Multidimensional systems","Data mining","Computational efficiency","Text analysis","","","","","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658134","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","25","1229","HiPP: A Novel Hierarchical Point Placement Strategy and its Application to the Exploration of Document Collections","14"
"The visualization and exploration of multivariate data is still a challenging task. Methods either try to visualize all variablessimultaneously at each position using glyph-based approaches or use linked views for the interaction between attribute space andphysical domain such as brushing of scatterplots. Most visualizations of the attribute space are either difficult to understand or sufferfrom visual clutter. We propose a transformation of the high-dimensional data in attribute space to 2D that results in a point cloud,called attribute cloud, such that points with similar multivariate attributes are located close to each other. The transformation isbased on ideas from multivariate density estimation and manifold learning. The resulting attribute cloud is an easy to understandvisualization of multivariate data in two dimensions. We explain several techniques to incorporate additional information into theattribute cloud, that help the user get a better understanding of multivariate data. Using different examples from fluid dynamics andclimate simulation, we show how brushing can be used to explore the attribute cloud and find interesting structures in physical space.","https://ieeexplore.ieee.org/document/4658163/","LOCKED","4658163","Universität Leipzig","","Universität Leipzig","","https://ieeexplore.ieee.org/author/37393638200","1","Heike Jänicke","37393638200","German Climate Computing Center","","German Climate Computing Center","","https://ieeexplore.ieee.org/author/37869987100","2","Michael Böttinger","37869987100","Universität Leipzig","Universität Leipzig","","https://ieeexplore.ieee.org/author/37282574800","3","Gerik Scheuermann","37282574800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","0","Journals","10.1109/TVCG.2008.116","935","1466","https://ieeexplore.ieee.org/document/4658163/","Index Terms—","Multivariate data","","","brushing","data transformation","manifold learning","linked views.","","","","","Clouds","Data visualization","","Scattering","Fluid dynamics","Principal component analysis","Temperature","","","","","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658163","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","26","1459","Brushing of Attribute Clouds for the Visualization of Multivariate Data","14"
"Understanding fluid flow data, especially vortices, is still a challenging task. Sophisticated visualization tools help to gain insight. In this paper, we present a novel approach for the interactive comparison of scalar fields using isosurfaces, and its application to fluid flow datasets. Features in two scalar fields are defined by largest contour segmentation after topological simplification. These features are matched using a volumetric similarity measure based on spatial overlap of individual features. The relationships defined by this similarity measure are ranked and presented in a thumbnail gallery of feature pairs and a graph representation showing all relationships between individual contours. Additionally, linked views of the contour trees are provided to ease navigation. The main render view shows the selected features overlapping each other. Thus, by displaying individual features and their relationships in a structured fashion, we enable exploratory visualization of correlations between similar structures in two scalar fields. We demonstrate the utility of our approach by applying it to a number of complex fluid flow datasets, where the emphasis is put on the comparison of vortex related scalar quantities.","https://ieeexplore.ieee.org/document/4658165/","LOCKED","4658165","University of Leipzig, Germany","","University of Leipzig, Germany","","https://ieeexplore.ieee.org/author/37869538100","1","Dominic Schneider","37869538100","University of Leipzig, Germany","","University of Leipzig, Germany","","https://ieeexplore.ieee.org/author/37565763400","2","Alexander Wiebel","37565763400","University College Dublin, Ireland","University College Dublin, Ireland","","https://ieeexplore.ieee.org/author/37282624500","3","Hamish Carr","37282624500","University of Leipzig, Germany","University of Leipzig, Germany","","https://ieeexplore.ieee.org/author/37403333700","4","Mario Hlawitschka","37403333700","University of Leipzig, Germany","University of Leipzig, Germany","https://ieeexplore.ieee.org/author/37282574800","5","Gerik Scheuermann","37282574800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","0","Journals","10.1109/TVCG.2008.143","582","1482","https://ieeexplore.ieee.org/document/4658165/","Index Terms—","Scalar topology","","","comparative visualization","contour tree","largest contours","flow visualization","","","","","Data visualization","Isosurfaces","","Fluid flow","Tree graphs","Data mining","Computer vision","Volume measurement","Navigation","Topology","Shape","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658165","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","27","1475","Interactive Comparison of Scalar Fields Based on Largest Contours with Applications to Flow Visualization","14"
"We present an interactive algorithm to compute sound propagation paths for transmission, specular reflection and edge diffraction in complex scenes. Our formulation uses an adaptive frustum representation that is automatically sub-divided to accurately compute intersections with the scene primitives. We describe a simple and fast algorithm to approximate the visible surface for each frustum and generate new frusta based on specular reflection and edge diffraction. Our approach is applicable to all triangulated models and we demonstrate its performance on architectural and outdoor models with tens or hundreds of thousands of triangles and moving objects. In practice, our algorithm can perform geometric sound propagation in complex scenes at 4-20 frames per second on a multi-core PC.","https://ieeexplore.ieee.org/document/4658194/","LOCKED","4658194","University of North Carolina at Chapel Hill, Chapel Hill, NC, US","","University of North Carolina at Chapel Hill, Chapel Hill, NC, US","","https://ieeexplore.ieee.org/author/37883391100","1","Anish Chandak","37883391100","University of North Carolina at Chapel Hill, Chapel Hill, NC, US","","University of North Carolina at Chapel Hill, Chapel Hill, NC, US","","https://ieeexplore.ieee.org/author/37606258500","2","Christian Lauterbach","37606258500","University of North Carolina at Chapel Hill, Chapel Hill, NC, US","University of North Carolina at Chapel Hill, Chapel Hill, NC, US","","https://ieeexplore.ieee.org/author/37874722500","3","Micah Taylor","37874722500","University of North Carolina at Chapel Hill, Chapel Hill, NC, US","University of North Carolina at Chapel Hill, Chapel Hill, NC, US","","https://ieeexplore.ieee.org/author/37401362100","4","Zhimin Ren","37401362100","University of North Carolina at Chapel Hill, Chapel Hill, NC, US","University of North Carolina at Chapel Hill, Chapel Hill, NC, US","https://ieeexplore.ieee.org/author/37267825600","5","Dinesh Manocha","37267825600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","13","Journals","10.1109/TVCG.2008.111","415","1722","https://ieeexplore.ieee.org/document/4658194/","Index Terms—","Sound propagation","","","interactive system","auralization","","","","","","","Acoustic propagation","Layout","","Acoustic diffraction","Computational modeling","Solid modeling","Virtual environment","Interactive systems","Visualization","Auditory displays","Real time systems","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658194","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","28","1707","AD-Frustum: Adaptive Frustum Tracing for Interactive Sound Propagation","14"
"Parallel coordinate plots (PCPs) are commonly used in information visualization to provide insight into multi-variate data. These plots help to spot correlations between variables. PCPs have been successfully applied to unstructured datasets up to a few millions of points. In this paper, we present techniques to enhance the usability of PCPs for the exploration of large, multi-timepoint volumetric data sets, containing tens of millions of points per timestep. The main difficulties that arise when applying PCPs to large numbers of data points are visual clutter and slow performance, making interactive exploration infeasible. Moreover, the spatial context of the volumetric data is usually lost. We describe techniques for preprocessing using data quantization and compression, and for fast GPU-based rendering of PCPs using joint density distributions for each pair of consecutive variables, resulting in a smooth, continuous visualization. Also, fast brushing techniques are proposed for interactive data selection in multiple linked views, including a 3D spatial volume view. These techniques have been successfully applied to three large data sets: Hurricane Isabel (Vis'04 contest), the ionization front instability data set (Vis'08 design contest), and data from a large-eddy simulation of cumulus clouds. With these data, we show how PCPs can be extended to successfully visualize and interactively explore multi-timepoint volumetric datasets with an order of magnitude more data points.","https://ieeexplore.ieee.org/document/4658160/","LOCKED","4658160","Data Visualization Group, Delft University of Technnology, Netherlands","","Data Visualization Group, Delft University of Technnology, Netherlands","","https://ieeexplore.ieee.org/author/37550793100","1","Jorik Blaas","37550793100","Data Visualization Group, Delft University of Technnology, Netherlands","","Data Visualization Group, Delft University of Technnology, Netherlands","","https://ieeexplore.ieee.org/author/37373834100","2","Charl Botha","37373834100","Data Visualization Group, Delft University of Technnology, Netherlands","Data Visualization Group, Delft University of Technnology, Netherlands","","https://ieeexplore.ieee.org/author/37295045800","3","Frits Post","37295045800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","0","Journals","10.1109/TVCG.2008.131","790","1451","https://ieeexplore.ieee.org/document/4658160/","Index Terms—","Parallel coordinate plots","","","time-varying","multi-field","linked related views.","","","","","","Data visualization","Quantization","","Data analysis","Scattering","Scalability","Usability","Data preprocessing","Hurricanes","Ionization","Clouds","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658160","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","29","1436","Extensions of Parallel Coordinates for Interactive Exploration of Large Multi-Timepoint Data Sets","14"
"We present a novel approach for the direct computation of integral surfaces in time-dependent vector fields. As opposed to previous work, which we analyze in detail, our approach is based on a separation of integral surface computation into two stages: surface approximation and generation of a graphical representation. This allows us to overcome several limitations of existing techniques. We first describe an algorithm for surface integration that approximates a series of time lines using iterative refinement and computes a skeleton of the integral surface. In a second step, we generate a well-conditioned triangulation. Our approach allows a highly accurate treatment of very large time-varying vector fields in an efficient, streaming fashion. We examine the properties of the presented methods on several example datasets and perform a numerical study of its correctness and accuracy. Finally, we investigate some visualization aspects of integral surfaces.","https://ieeexplore.ieee.org/document/4658156/","LOCKED","4658156","Institute of Data Analysis and Visualization, University of California, Davis, USA","","Institute of Data Analysis and Visualization, University of California, Davis, USA","","https://ieeexplore.ieee.org/author/37282573700","1","Christoph Garth","37282573700","Institute of Data Analysis and Visualization, University of California, Davis, USA","","Institute of Data Analysis and Visualization, University of California, Davis, USA","","https://ieeexplore.ieee.org/author/38556273200","2","Han Krishnan","38556273200","Computer Science Dept., Purdue University, USA","Computer Science Dept., Purdue University, USA","","https://ieeexplore.ieee.org/author/37282575100","3","Xavier Tricoche","37282575100","Geometric Algorithms Group, University of Kaiserslautern","Geometric Algorithms Group, University of Kaiserslautern","","https://ieeexplore.ieee.org/author/37728450600","4","Tom Bobach","37728450600","Institute of Data Analysis and Visualization, University of California, Davis, USA","Institute of Data Analysis and Visualization, University of California, Davis, USA","https://ieeexplore.ieee.org/author/37267811400","5","Kenneth I. Joy","37267811400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","0","Journals","10.1109/TVCG.2008.133","342","1411","https://ieeexplore.ieee.org/document/4658156/","Index Terms—","3D vector field visualization","","","flow visualization","time-varying and time-series visualization","surface extraction","","","","","","Surface treatment","Visualization","","Electronic mail","Data analysis","Computational fluid dynamics","Iterative algorithms","Skeleton","Computational modeling","Analytical models","Fluid flow measurement","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658156","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","30","1404","Generation of Accurate Integral Surfaces in Time-Dependent Vector Fields","14"
"This paper proposes novel methods for visualizing specifically the large power-law graphs that arise in sociology and the sciences. In such cases a large portion of edges can be shown to be less important and removed while preserving component connectedness and other features (e.g. cliques) to more clearly reveal the networkpsilas underlying connection pathways. This simplification approach deterministically filters (instead of clustering) the graph to retain important node and edge semantics, and works both automatically and interactively. The improved graph filtering and layout is combined with a novel computer graphics anisotropic shading of the dense crisscrossing array of edges to yield a full social network and scale-free graph visualization system. Both quantitative analysis and visual results demonstrate the effectiveness of this approach.","https://ieeexplore.ieee.org/document/4658141/","LOCKED","4658141","University of Illinois, USA","","University of Illinois, USA","","https://ieeexplore.ieee.org/author/37532721900","1","Yuntao Jia","37532721900","University of Illinois, USA","","University of Illinois, USA","","https://ieeexplore.ieee.org/author/37869982300","2","Jared Hoberock","37869982300","NVidia Corporation","NVidia Corporation","","https://ieeexplore.ieee.org/author/37272036400","3","Michael Garland","37272036400","University of Illinois, USA","University of Illinois, USA","","https://ieeexplore.ieee.org/author/37301161800","4","John Hart","37301161800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","0","Journals","10.1109/TVCG.2008.151","1216","1292","https://ieeexplore.ieee.org/document/4658141/","Index Terms—","Scale-free network","","","edge filtering","betweenness centrality","anisotropic shading","","","","","","Visualization","Filtering","","Sociology","Anisotropic magnetoresistance","Displays","Stochastic processes","Filters","Layout","Computer graphics","Social network services","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658141","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","31","1285","On the Visualization of Social and other Scale-Free Networks","14"
"Smoke rendering is a standard technique for flow visualization. Most approaches are based on a volumetric, particle based, or image based representation of the smoke. This paper introduces an alternative representation of smoke structures: as semi-transparent streak surfaces. In order to make streak surface integration fast enough for interactive applications, we avoid expensive adaptive retriangulations by coupling the opacity of the triangles to their shapes. This way, the surface shows a smoke-like look even in rather turbulent areas. Furthermore, we show modifications of the approach to mimic smoke nozzles, wool tufts, and time surfaces. The technique is applied to a number of test data sets.","https://ieeexplore.ieee.org/document/4658155/","LOCKED","4658155","MPI Informatik Saarbrücken","","MPI Informatik Saarbrücken","","https://ieeexplore.ieee.org/author/37869714300","1","Wolfram von Funck","37869714300","Zuse Institute Berlin","","Zuse Institute Berlin","","https://ieeexplore.ieee.org/author/37282635100","2","Tino Weinkauf","37282635100","University of Magdeburg, Germany","University of Magdeburg, Germany","","https://ieeexplore.ieee.org/author/37266875400","3","Holger Theisel","37266875400","MPI Informatik Saarbrücken","MPI Informatik Saarbrücken","","https://ieeexplore.ieee.org/author/37271851300","4","Hans-Peter Seidel","37271851300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","0","Journals","10.1109/TVCG.2008.163","1509","1403","https://ieeexplore.ieee.org/document/4658155/","Index Terms—","Unsteady flow visualization","","","streak surfaces","smoke visualization.","","","","","","","Data visualization","Wool","","Rendering (computer graphics)","Shape","Testing","Gases","Surface structures","Topology","Image motion analysis","","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658155","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","32","1396","Smoke Surfaces: An Interactive Flow Visualization Technique Inspired by Real-World Flow Experiments","14"
"Exploring communities is an impor tant task in social network analysis. Such communities are currently identified using clustering methods to group actors. This approach often leads to actors belonging to one and only one cluster, whereas in real life a person can belong to several communities. As a solution we propose duplicating actors in social networks and discuss potential impact of such a move. Several visual duplication designs are discussed and a controlled experiment comparing network visualization with and without duplication is performed, using 6 tasks that are impor tant for graph readability and visual interpretation of social networks. We show that in our experiment, duplications significantly improve community-related tasks but sometimes interfere with other graph readability tasks. Finally, we propose a set of guidelines for deciding when to duplicate actors and choosing candidates for duplication, and alternative ways to render them in social network representations.","https://ieeexplore.ieee.org/document/4658145/","LOCKED","4658145","INRIA-LRI and Univ. of Sydney","","INRIA-LRI and Univ. of Sydney","","https://ieeexplore.ieee.org/author/37087757168","1","Nathalie y Henr","37087757168","NICTA","","NICTA","NICTA","https://ieeexplore.ieee.org/author/37267832500","2","Anastasia Bezerianos","37267832500","INRIA","INRIA","INRIA","https://ieeexplore.ieee.org/author/37407972900","3","Jean-Daniel Fekete","37407972900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","2","Journals","10.1109/TVCG.2008.141","801","1324","https://ieeexplore.ieee.org/document/4658145/","Index Terms—","Clustering","","","Graph Visualization","Node Duplications","Social Networks","","","","","","Social network services","Clustering","","Layout","Communities","","","","","","","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658145","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","33","1317","Improving the Readability of Clustered Social Networks using Node Duplication","14"
