Authors
Gina Venolia
Thorsten Holtkämper
John Patchett
Robert A. Amar
Shiqing He
Zhengxiang Wang
Guang Lin
David Coblentz
Gerhard Daiber
Joseph A. Konstan
Pearl Pu
Brian K. Christensen
Luc Beaudoin
Nora D. Volkow
André Guéziec
Christian Rieder
Boris Müller
Wawan Solihin
Sven Kuschfeldt
Robert F. Woodbury
Peter Bak
Susan Brennan
Thomas Baudel
Theresia Gschwandtner
Hidenori Higashida
Holly Schmidt
Clio Andris
Seymour Knowles-Barley
Simon Butscher
Johannes Weissenböck
Daniel E. Laney
Lloyd Treinish
Ryan A. Rossi
Patrick Wickenhauser
Pheng-Ann Heng
Qianwen Wang
Lynette Hirschman
Norbert Lindow
Waqas Javed
Qian Chen 0022
John Shrout
Kevin Boone
Clifton D. Fuller
M. L. Lantin
Stanley J. Osher
Mark Dieckmann
Jon Reisner
Audrey Bowerman
Edward J. Coyle
Keith Voegele
Daniel Angus
Andreas Ammer
Alex T. Pang
Lei Fang 0004
Sebastian Weiss
Annemieke Verbraeck
David J. Cowperthwaite
Holger Stitz
Jianben He
Harish Doraiswamy
Christoph Müller 0001
Daniel Patel
Hayder Al-Maneea
Chaitanya Chandurkar
Terry S. Yoo
Alberto Gonzalez
Cristina C. Gomberg
Naoki Yoshinaga 0001
Casey M. Canfield
Walter Jiménez
Kenneth L. Pilgreen
Mieka West
Travis L. Bauer
Elke A. Rundensteiner
Dino Pedreschi
Ramesh Raskar
Monika Hannemann
Jin Wen
Hans-Peter Meinzer
Michael Gorman
Eric LaMar
Chenhui Li
Victor Sanh
Feng Tian 0006
Denise Royle
Rudolf Fahlbusch
Qianliang Wu
Matt Grayson
Dimitrios Papadopoulos 0001
Leslie M. Blaha
Richard A. Holub
Rock Leung
Vlado Keselj
Hongguang Xiao
D. I. Abramov
Marco da Silva
Allen McPherson
Di Wang
See-Kiong Ng
Raj Shekhar
Marius Horga
Julia Eunju Nam
L. van der Sluis
Gary W. Meyer
Joseph F. JáJá
Paolo Crisafulli
Dylan Cashman
Sean McCullough
Christopher R. Schwalm
Euan Freeman
Maja Ruby
Steve Haroz
Ankur Kapoor
David Fyfe
James Slack
Xavier Llorà
Changhyun Lee
Lijing Lin
Graeme Gange
Chris Pelkie
Niklas Röber
Li Yu
Julie Gerdes
Claurissa Tuttle
Thomas Grechenig
Christian Teitzel
Tobias Preußer
Raoul Kopelman
Samer S. Barakat
Andrea K. Steiner
Minjung Kim
Bryan McDonnel
Ed H. Chi
Bill Barrett
Robin Bader
Song Han
Ying Wang 0060
Gordon Erlebacher
Luca Gianaroli
William F. Garrett
Simon Attfield
Alan Wilson 0004
Rao P. Gullapalli
Thierry Delmarcelle
J. Croall
Haojing Jiang
Gabriel Taubin
David Schroeder
Michael Buser
Wen Zhong
Lichan Hong
Tova Roth
John C. Gore
Xi Zhu 0002
Sabine Bauer 0001
Shankar Krishnan
Yulei Fan
Michael Regenscheit
Tamara Flemisch
Qin Shen
Ken Been
Christoph Wimmer
Ian G. Angus
David Gotz
Nathaniel Fout
Lexing Ying
Katherine E. Isaacs
Tetsuya Kamijo
Connor Huff
Erik Reinhard
Manish Marwah
Neel Parekh
Shang-Tse Chen
Katrin Bidmon
Jens H. Krüger
Peter J. Passmore
Florian Gerhardt
Sara Jones 0001
Wolfgang Berger
Monica Tavanti
Xidao Wen
Ryan Armstrong
Emil Praun
Padraic Neville
Alice Thudt
Ellen Gasparovic
Benjamin Mora
José Matute
Zijie J. Wang
Funda Kivran-Swaine
Jatin Chhugani
Alexis Kai-Hon Lau
Bryan A. Pendleton
Brian Yin
Meredith Ringel Morris
Caroline Paxson
Vladimir Pekar
Sebastian Bremm
Jeff Yarch
J. Finger
Marc D. Hansen
Günter Knittel
David Bailey
Yuzuru Tanahashi
Marcel Hlawatsch
Jiun-Yi Tsai
Christian Frisson
Zhongzang Lin
Daniel Haug
Rui Shi
Florence Nicol
Raghu Machiraju
Tamal K. Dey
Justin Jang
Christopher deFilippi
Usman R. Alim
Anbang Xu
Fariba Khan
Xiangtong Chu
Scott C. Trager
Jim Gaffney
Takayuki Itoh
Geoffrey P. Bingham
Udo Adamy
Florian Reichl
James B. Salem
E. L. Raible
Hyejin Im
Quang Vinh Nguyen
Andrei State
David P. Schissel
Minsu Ahn
Jorge A. Wagner Filho
Jochen Fröhlich
Pourang Irani
Zhiqi Liu
Detlev Stalling
Jun Zhang
Marcel Wunderlich
Ngan V. T. Nguyen
Stewart C. Loken
André Calero Valdez
Christopher Taylor
Ángel del Río
Rudy Hashim
Chaoguang Lin
Nanxiang Li
Roman Gurbat
Wendell Anderson
Michael G. Surette
Xingyu Lan
William A. McNeely
Nikhil Thorat
Arden V. Nelson
Yong Zhou 0001
John Lee 0005
David H. Porter
Jamie L. Dyer
Dawei Cheng
Prateek Mantri
John Plate
Andruid Kerne
Qi Ye
Rachel Shadoan
Daniel Nüesch
Felix Brodkorb
Scott Houde
Annelot Kraima
Sarah S. Poon
Chris Bryan
W. Krueger
Pascal Gros
Kaisa Miettinen
Xin Zhao
Bart Moberts
Richard Greco
Phong H. Nguyen
Lucy Y. Pao
Justine I. Blanford
Suvi Tarkkanen
Monika Jankun-Kelly
Cindy Grimm
Bilkis J. Ferdosi
Birgit Walter
Richard D. Lawrence
R. R. Springmeyer
Marc Weber
Maguelonne Teisseire
Jimmy Johansson 0001
Woohyuk Choi
Lejun Shen
Jonathan McLean
Gabriela Ferracutti
Adam Jansen
Yiwen Zhong
Ernesto A. Bjerg
Atsumi Imamiya
Kim Marriott
Eugene Zhang
Ningyu Mao
Andrew Brandt
Aleksander Stompel
Zahid Hossain 0001
Andrea Batch
Jeremy Millar
Anuj R. Shah
Beresford N. Parlett
Claudia Müller-Birn
Yoshinori Hara
Reiner Lenz
Björn Hartmann
Yu Dong
David A. Prawel
Christian Blecha
Ruwen Schnabel
Elizabeth Braunstein
Charles R. G. Guttmann
Hoi Ying Tsang
Fernando Vieira Paulovich
Mingze Ma
Lawrence Lee
Guodao Sun
Arun Reddy Nelakurthi
John J. Rieser
Jürgen Pleiss
Wendy Cowley
Nicola Pezzotti
Jakub Wejchert
M. Vigil
Julien Tierny
E. A. Chiocca
Robert Carnecky
Olav Lenz
Thomas Alexander
Stéphane Conreaux
Stefan Barp
Michael F. Cohen
Jonathan Leidig
Peter N. Glaskowsky
Anya Samak
Ikhyun Park
Chufeng Wang
Jianguang Weng
Eric S. Cowgill
Jeongjin Lee
Subhashis Hazarika
Mourad Ouzzani
Bram Platel
Jimbo Wilson
Zhifang Jiang
Peter Mindek
Stephan Rosswog
Yoonsoo Nam
Kenny Wong
Mark H. Chignell
Scott S. Fisher
David L. Strayer
Terry Winograd
Valerio Pascucci
Junxiu Tang
Jason Leboe-McGowan
Karel J. Zuiderveld
Jianfei Chen 0001
Howard D. Wactlar
Philippas Tsigas
Wilmot Li
Jörn Kohlhammer
Trustin A. Clear
Michael Gessat
Liang Zhou 0001
Dennis P. Groth
Yue Li
George Celniker
Gunther H. Weber
Alexander Rind
Oleg Davydov
Richard Bonneau
Hrvoje Ribicic
Sami Khoury
Russell H. Taylor
Ariel Shamir
Benjamin P. Bowen
Lynne Petterson
Courtney C. Dornburg
Johanna Fulda
S. Tyson
Agata Opalach
Hao Yang 0007
Judith Winterkamp
Praveen Bhaniramka
Loey Knapp
Anna Barford
Winniefried Kuan
Magnus Borga
Wan-Yi Sabrina Lin
Peter Zolliker
Min-Feng Zhu
Loretta Auvil
Audra Buck-Coleman
Sven Mayer
Timothy C. Housel
E. Mark Haacke
Yarden Livnat
Gianmaria Silvello
Zezheng Feng
Cristina R. Ceja
René Caubet
Victoria L. Lemieux
Zhongjie Wang 0001
Ian M. Thornton
John Thompson 0002
Jan Byska
Karl Kashofer
Gordon V. Bancroft
Edwin Puttmann
Haneen Mohammed
Markus Stommel
Lola W. Anacker
E. Pepke
Alireza Entezari
Lawrence J. Rosenblum
Georges Grinstein
Benjamin G. Wilde
Joseph F. DeRose
Michael Brudno
Peter Kerpedjiev
Hans-Peter Kriegel
Stefan Jänicke
Jeremy J. Loomis
Joshua V. Dillon
Jun Zhu 0001
Matthew Fleenor
Zaixian Xie
Falk Schreiber
Katrien Verbert
Bernard Gosselin
D. McNabb
Yu Ye
David Lu
Zhonghua Lu
Lars Linsen
Younis Hijazi
Martin Riemer
Zhao Geng
Stefan Weber 0004
Tiziana Catarci
Steve Petruzza
Richard D. Christie
Simon J. Cox
Soo-Yeon Ji
Young J. Kim
Geoffrey M. Draper
Emily Fujimoto
Eduardo E. Veas
Phillip J. Wolfram
Samuel H. Payne
Angela Mayhua
Ji Hwan Park
Adam Hunter
Hanyi Chen
Christopher Olston
Doug A. Bowman
D. Song
Roxana Bujack
Yumeng Hou
Dominik S. Meier
Junjie Chen
Haikuan Zhu
Silvia Mabel Castro
Oliver G. Staadt
Joon-Yong Lee
Sebastian Baltes
R. Kriz
Soon Tee Teoh
David Akers
Sue-Ling C. Wang
Arvid Lundervold
Matthew J. Avalos
Janine Bennett
Ralph Brecheisen
Christopher P. Kappe
Yuanyuan Tang
Jonghun Park
Faraz Zaidi
Charl P. Botha
Haomian Wang
Jian Zhao 0010
Philipp C. Leube
Alexander Wolff 0001
James Abello
Volodymyr V. Kindratenko
Robert Spence
Christopher Schwartz
Paul Brewster
Lisa Singh
Guadalupe Canahuate
Johanna Schmidt
Li Zhang
Aviv Madar
Jiayao Wang
Dale A. Lawrence
Tak Yeon Lee
Gerome Miklau
Joe Groner
Yasuko Suzuki
David S. Thompson
Florian Lindemann
Nan Cao
João Rulff
Sarah Burke
Thomas A. Wagner
Min Shih
Eugene Wu 0002
Pierre Ermes
Ethan R. Deyle
Uta Hinrichs
Robert L. Grossman
Ezekiel S. Bhasker
David Murray-Rust
Edward H. Theil
Thomas Schiemann
Yijie Hou
Sanghyun Hong 0001
Michel A. Westenberg
Jason K. Wong
R. Brunella
Haim Levkowitz
Jürgen P. Schulze
Ian T. Ruginski
Lars Schuchardt
Rajesh Batra
Sérgio M. Marques
Kevin Stamper
Peter Lüders
Yukun Ren
Andreas Reh
Christian Rohrdantz
Bridget Moynihan
Didier Loisel
Feiran Wu
Maxim Makhinya
Gaëlle Richer
Ying Mao
Charles Perin
Min Chen
Paolo Angelelli
Sheila Bonde
Eric Bouvier
Joscha Eirich
Thomas A. Funkhouser
Jingtao Zhou
Snehal Pokharkar
Jeremy S. Meredith
George Otto
Enrico Bertini
Naz Khalili-Shavarini
Kushin Mukherjee
Kelly M. T. Huffer
Stina S. Bridgeman
Adeel Khamisa
Marielle Mokhtari
Xiangyang Wu
Guido Tack
Bradford Smith
Calle Winskog
P. Langham Gleason
William P. Horn
Harry Yeh
Tongshuang Wu
Shengdong Zhao
Kai-Lun Chung
Michael Sühling
Sriram Karthik Badam
N. E. Harrison
Mathias Hummel
Nadir Weibel
Xiaoqiang Zheng
Steve Aukstakalnis
Pierre-Luc Hemery
Luc Girardin
Hessam Sokooti
Artem Konev
Eric C. Lundberg
Mona Hosseinkhani Loorak
Qingmin Shi
Eddie Polanco
Youhao Wei
John Rasure
Christoph Berger
Yan Li
Kang Zhang 0001
Gregory J. Zelinsky
Dylan Wootton
Robert P. Grzeszczuk
Marc-Antoine Parent
John T. Stasko
David Günther
Edyta Paulina Bogucka
Zhouhong Shi
K. Evan Nowak
Praveen R. Thiagarajan
Dan Gruen
Helen Wright
Ali K. Al-Awami
Marek Behr
Samah Gad
Shuaiqi Wang
Daniel Baumgartner
David Talmage
Nan Du
Maurice Termeer
Krishna P. C. Madhavan
Robert M. Kirby
Darrel Palke
Dan Zhang
Johannes Roth
Wen-Chin Chen
Markus Sonntag
Anton Strezhnev
Lars Huettenberger
Lambertus Hesselink
Miguel A. Nacenta
Georg Fuchs
Dan Maljovec
Raimund Dachselt
Lorna Role
Thomas Butkiewicz
Doris Dransch
Adam James Bradley
George Fekete
Anuj R. Jaiswal
A. J. S. Hin
D. A. Epstien
Ghassan Hamarneh
Theresa Harbig
Ian Bowman
Hamed Bouzari
David Altobelli
Dan Imre
Mikael Jern
Franz Wanner
Alex Hauptmann 0001
Igor Jurisica
Jiayun Fu
Jan Mican
M. Leila Mays
Tae Jung Kim
Polina Kondratieva
Frank Staals
Stephan Pajer
Naveen Pitipornvivat
XiongFei Luo
Robert J. Hendley
Alon Y. Halevy
My T. Thai
Clifford Beshers
Gregor Schlosser
Robert Quimby
Christophe Mion
Gennady L. Andrienko
Lucy T. Nowell
Heinz Krüger
Ted Selker
Carolyn Dunmire
Michael Woodward
Albert Amor-Amoros
Ulrich Neumann
Ting-Chuen Pong
Mel Krokos
Vincent van Unen
J. Michael Boyle
John C. Hart
Alexander Wiebel
Torin McDonald
Kang Li 0005
Chris Hendrickson
Jon D. Dykstra
Ingrid Carlbom
Abdallah Sherif Radwan Mohamed
Daehyun Kim 0001
Roman Y. Novoselov
Prashant Chopra
Roberto Lario
Rolf Westerteiger
Mihaela Vorvoreanu
Joel A. Ferstay
Alan Liu
Peter M. A. van Ooijen
Michael S. Brown
Joseph D. Gaggiano
Jiachen Zhuo
Luis Enrique Correa da Rocha
Andrew H. Stevens
Scott C. Burleigh
Martin Graham 0001
Junyan Luo
Jonathan Lazar
Johannes Ruisz
Colin Runciman
Gargi Bhattacharya
Dai Li
Guangchen Ruan
David M. Krum
Samuel Huron
Daniel M. Best
Jeff Klingner
Eliot Feibush
Wei Xu 0020
Scott E. Parker
Michael Higgins
Charidimos E. Gasparakis
Simone Kriglstein
Nan C. Schaller
Steve Kieffer
Michel F. Sanner
Frank Dachille
Saul Greenberg
Tommy Dang
Larry L. Smarr
Christopher James Headleand
Jie Lu
Hadley Wickham
Susan S. Hubbard
Zhiqiang Ma 0004
Nils Gehlenborg
F. James Rohlf
Baoquan Chen
Douglas Markant
David Pointer
Zhijian Zheng
Hangzai Luo
R. Clay Reid
Minjeong Kim
J. Harris
David Seneker
Christoph Lürig
Najmeh Abedzadeh
M. DaSilva
Andreas Mathisen
Michael J. Daily
Gérard Lecina
Alex Szalay
Steve Kubica
Björn Zehner
Dimitrios Mitsouras
Kai Lawonn
Neeraj Krishnan
Stanislav Goja
Srinivasan Parthasarathy 0001
Linhao Meng
Nan Tang 0001
Mario Correa
Angelos Chatzimparmpas
Louise C. Abbott
László Dudás
Laura Fritz
Felipe S. L. G. Duarte
Lauren R. Samuels
Simon Harding
Larry Seiler
Mennatallah El-Assady
Scott Pezanowski
Thibaud Porphyre
Robert Harper 0002
Gonzalo A. Ramos
Alex Godwin
Xun Zhao
Jeffrey Ho
Michael Correll
Huan Song
Paolo Cignoni
Vinod Anupam
René Pischel
Christian Scheible
Nathan Gossett
Colin Swindells
Shizhuo Long
Patricia Ganea
Kanupriya Singhal
Lendie Follett
Ben Jacobsen
Oliver Hahn
Mustafa Bilgic 0001
Dong Hyun Jeong
Katja Bühler
Sonja Schär
Miguel A. Otaduy
Liz Sonenberg
Benjamin Niedermann
David A. Rushall
Henk Bekker
Rhazes Spell
Victor Matvienko
Jacky Yuan
Xuedi Qin
Cheng Zheng
James W. Durkin
Jean-Claude Paul
Shuai Chen 0001
Guo-Shi Li
Yucong Yao
Nils Thune
Voicu Popescu
Noel F. C. C. de Miranda
Zhiyuan Wang
Runzhen Huang
Freek Nossin
Hsiang-Yun Wu
Jeffrey Senn
Dean F. Jerding
Lukas Mroz
Chengbo Zheng
Daniel Plakinger
David J. Muraki
Fred Olislagers
Thomas Schreiber
Gromit Yeuk-Yin Chan
Billy Cheung
Jinyan Chen
Gregory Heinlein
Jianping Kelvin Li
Ramsay Dyer
Noel Llopis-Artime
Anna Vilanova
Florian Frieß
Mario Luis Arrieta-Ortiz
Andreas Kerren
Ming-Te Chi
Daniele Chiappalupi
Philip Berger
Giovane R. Kuhn
Harald Piringer
James A. Hall
John Allen Crow
James D. Hollan
Allen Van Gelder
Jane Hoffswell
Leslie Wu
Taeko Azuma
Maylis Delest
Xiaohong Ye
Offir Remez
Yueting Zhuang
Jaebum Kim
Giuseppe Santucci
Qiang Wei
D. G. Fabricant
Joshua A. Breslau
Antonio Zorcolo
Jaakko Peltonen
E. J. Mayland
Peter Jörg Plath
Andrew J. Hanson
Robert E. Marshall
Thomas Wischgoll
Guozhong Zhuang
Bernhard Geiger
Walter Marcelo Lamagna
Lu Liu 0017
Xin Li
Shaun Kennedy
Matthew Berger
Mingqian Zhao
Klaus Engel
Roberto Therón
Elke Moritz
Donghao Ren
Haochao Ying
Zhen Wen
Nan Chen
Michael D. Wagner
Sehi L'Yi
Brian Barr
Jürgen Ebert
Milos Krstajic
Erik Rydow
Hannah K. Bako
M. Stella Atkins
Andreas M. Olligschlaeger
Cory Quammen
Thomas Torsney-Weir
Garnett Carl Wilson
Marc Levoy
Lars-Erik Haug
Gene Golovchinsky
Lucas Schutz
Qingguang Cui
Gregory W. Shirah
Bjørn Heckel
Devanshu Arya
Stefan Lindholm
Sunghee Kim
Laura Raya
Lei Qin
Jörg Meyer 0003
Przemyslaw Prusinkiewicz
Zhaoqiang Lai
Scott Ruble
Weiwei Cui
Alec Jacobson
Markus Wallinger
David W. Sprague
Rainer Burgkart
Fritz Gschwantner
David Small
Markus Billeter
Michael McLennan
Joel Lanir
Brian M. Tomaszewski
Lukas Birn
Adam M. Smith 0001
Hans-Peter Bunge
François Guimbretière
Po-Ming Law
Elizabeth Munch
Kurt Augustine
D. Kuhm
Yishay Levanoni
Ronald Peikert
Junping Zhang
Anna MacKay-Brandt
Ingmar Bitter
Hiroko Nakamura
Ángel Alexander Cabrera
Joseph A. Cottam
Tianxiang Chen
Hao Wei
Anthony S. Wexler
Bram C. M. Cappers
David Hägele
Stefan Müller Arisona
MingJie Tang
Jagoda Walny
Thomas Gerstner
Adam Perer
Shaozhang Dai
Brenda Caldwell Phillips
M. Zhu
Zhipeng Wang
Takeo Kanade
Reinhard Sainitzer
William M. Wells III
Helen C. Purchase
Arthur D. Gregory
Leilani Battle
Michael Traoré
P. Samuel Quinan
Peter Kohlmann
Elizabeth M. Wenzel
Jouke Dijkstra
Roberto Álvarez Boto
Gleb Bahmutov
Chaomei Chen
Timothy Major
Daniel G. Aliaga
Simon J. Walton
Xiaoming Li 0001
Shaun D. Jackman
Spencer C. Castro
Nathan Morrical
Michael Henry
Kevin Bensema
Neff Walker
Alexandra Zytek
Keith Andrews
Konstantin Dmitriev
Daqing Xue
Tran S. Gieng
Maik Schulze
Van L. Jacobson
Michael Böttinger
Leila De Floriani
Chang Ha Lee
Kedar Shrikhande
Michelle L. Gregory
Peihong Guo
Sabine Iserhardt-Bauer
Weifeng Chen 0002
Amy K. Karlson
Veronica J. Vieland
Xinyue Ye
Enamul Hoque
David Koop
Markus Bögl
Robert D. Russell
Marcus Dostie
Andrew Higginbotham
Harinarayan Krishnan
E. Delahaye
Cem Yuksel
Zhiyuan Lin 0001
Matthew Cooper 0001
Matthias Zwicker
Dongshi Xu
Stephanie Ozenne
Haoren Wang
Prasenjit Mitra
John L. Sibert
Karla Vega
Yinqi Zhang
David A. Santek
Zelin Ye
Layne T. Watson
Jihad El-Sana
Udo Diewald
Hui Xie 0001
Cong Guo 0004
Salvatore Rinzivillo
Dieter W. Fellner
JoAnn Kuchera-Morin
Haojin Jiang
Cynthia M. Furse
Xue Bai
Georgia Panagiotidou
Sana Malik
Kim H. Esbensen
Ronald A. Metoyer
Russell Gayle
Simon Schubiger-Banz
Eric Hoffman
Jeff T. Inman
Alexander M. Rush
Emmanuel Frécon
Julie Heiser
Hans Hagen
Sihang Li
James V. Miller
Shih-Hsuan Hung
Iain Dillingham
Fuqu Wu
Guillermo Wiese
Tobias Schreck
John Riedl
Seah Hock Soon
Adrien Bibal
Wladimir Djatschin
Paul Rosenthal
Hongsen Liao
Chieh-Cheng Yen
Chandrajit L. Bajaj
Christian Richter
Patrick Butler
Stacey Choi
Creon Levit
SungYe Kim
Tingkai Sha
Thomas Spengler
Amitabh Varshney
Guillaume Caumon
Ke Zhou 0003
Daisuke Sakurai
Dongyu Liu
Andrea Pinceti
Christopher G. Healey
Aaron J. Quigley
Ana Jofre
Florian Spechtenhauser
Anoop Sarkar
Ashley Suh
Jiabao Li
Haekyu Park
Hanning Shao
Sukwon Lee
Jochen Ehret
Olaf Konrad-Verse
Bobo Nick
Joel Winstead
Guangyu Zou
Yoshihiko Ichikawa
Hanns Ruder
Steven Skiena
Martin Suter
Kimani C. Toussaint
Wendy E. Mackay
David Ellsworth
Marco Hutter 0002
Christopher Mears
Shahid Latif
Yixuan Zhang
Adam Gepner
Michael J. Pekala
Bruno Gonçalves
Bo Hyoung Kim
Musbah Shahop Sagar
John Staudhammer
David Bürkle
Thomas P. Caudell
Harrison H. Barrett
John Stevens
Chris E. Weaver
Tobias Ruppert
Sagar Joglekar 0001
Yoon Kim
Chris Morley
Emily Kuang
Douglas C. Montgomery
Indranil Chakravarty
Michael V. Capps
Bela Soni
Min Zhu
Alan Ratner
Bill Geisler
Georg Zotti
Conrad Albrecht-Buehler
Staffan Björk
Patrick Houthuizen
Daniel N. Fox
Eihachiro Nakamae
Greg Humphreys
David Cline
Tom Brunet
Robert Wyatt
Baldwin Nsonga
Lisa G. Ice
Melanie Tory
Dongxing Teng
Steve Blackburn
Jan Kretschmer
David C. Martin
Vanessa Serrano
Matthew P. LeGendre
Mingming Fan 0001
Yuanzhe Chen
Tom M. Morrow
Alexandra Landsberg
Ricardo Langner
Stephen B. Webb
Yasmin Reyazuddin
Fei Wang
Andrew Thomas Burks
Claude Andriot
Norine Coenen
Kenneth K. Jung
Gordon D. Mallison
Jingmin Chen
Mie Sato
Paul Chapman
Thomas F. Banchoff
Mats Lind
Hyungsuk Choi
Seungyeon Kim
Hao Wang 0005
Cheng-Kai Chen
Paul Klemm
Behzad Kamgar-Parsi
Elisa Portes dos Santos
Adam B. Forgang
Michael Holzner
John Harer
Florian Jürgen Gerhardt
Boyu Wang 0001
Jack Pegg
Xizhou Zhu
Xiaoyu Yang
Jing Wu 0004
Duane Searsmith
Peter Flynn
Craig M. Wittenbrink
Andreas Hubeli
Rafael Veras
Kelly P. Gaither
Enrico Gobbetti
Xinli Hou
Piero Molino
Tobias Schafhitzel
Zhutian Chen
Eric Lecolinet
David Selassie
Randall Frank
Ivo Grosse
Bing Ni
Jun Liao
Frederick Federer
Derek Overby
Ming C. Hao
Ragini Rathore
Ravish Chawla
Qiaoan Chen
Puripant Ruchikachorn
Andy Bardill
Peter Stevens
Pavel Gritsai
Roger Crawfis
Gary L. Kinzel
Armin Pobitzer
Alan D. Kalvin
Matthew Kay 0001
Jaeyoung Kim
Feng Wang 0012
Michael Kerber
Herb Taylor
Gerhard Klimeck
