university,country,city,total students,domain,ranking,address,foundation year,description,undergraduate students,graduate students,international students,latitude,longitude,logo link
Harbin Institute of Technology,China,Harbin,36258.0,hit.edu.cn,149,"Harbin Institute of Technology, 92 West Dazhi Street, Nangang District, Harbin, Heilongjiang Province 150001, China",1920.0,,15675.0,14200.0,1772.0,45.75,126.65,https://www.shanghairanking.cn/_uni/logo/88331082.png
Michigan State University,United States,Lansing,35863.0,msu.edu,167,"Michigan State University, East Lansing, Michigan 48824, United States of America",1855.0,"Michigan State University has been advancing the common good with uncommon will for more than 165 years. The nation’s pioneer land-grant university, MSU was founded as a bold experiment that democratized higher education and helped bring science and innovation into everyday life. In communities from East Lansing to East Africa, MSU Spartans push the boundaries of discovery and forge enduring partnerships to create solutions that make a better tomorrow—from ensuring safe food and water supplies and developing lifesaving vaccines to advancing rare isotope research and preparing a new generation of urban educators. One of the top research universities in the world and a member of the Association of American Universities, MSU offers nationally ranked and recognized academic, undergraduate research, residential college, study abroad, and service-learning programs and is the nation’s top public research university for student engagement. A diverse and inclusive academic community, MSU enrolls more than 50,000 students from all 50 states and more than 130 countries, employs 2,000 tenure-system faculty members, and offers more than 200 programs of study in 17 degree-granting colleges.",27057.0,8806.0,3830.0,42.7325,-84.55556,https://www.shanghairanking.cn/_uni/logo/3be5907be.png
East China Normal University,China,Shanghai,35817.0,ecnu.edu.cn,296,"3663 Zhongshan Road North, Shanghai, China",1951.0,"Founded in Shanghai in October 1951, East China Normal University (ECNU) is one of the most prestigious universities in China and is sponsored by the national programs “Project 211” and “Project 985”.
Adhering to the university motto of "" Seek Truth, Foster Originality, and Live up to the Name of a Teacher"", ECNU has made enormous achievements in talent-training, scientific research, community service and international exchanges. In so doing, it has significantly contributed to the development of Chinese basic education and teacher training, and the advancement of economics, sciences and society, both locally and nationally. The development and transformation of the country and the modern international metropolis of Shanghai bring huge opportunities to the university for its progress. ECNU is steadily and enthusiastically working towards its goal of establishing itself as an internationally renowned high-level research university, with a number of first-class disciplines and a well coordinated discipline development, while also taking the lead in the development of China's teacher training.",15743.0,20074.0,1906.0,31.045555,121.39972,https://www.shanghairanking.cn/_uni/logo/47430452.png
Fuzhou University,China,Fuzhou,35717.0,fzu.edu.cn,349,"2 Xue Yuan Road，University Town, Fujian Province, China",1958.0,"Co-sponsored by the Provincial Government and the Ministry of Education, Fuzhou University is one of the national key universities that are selected into the “211 Project”, a Chinese government programme for the 21st century to support 100 selected universities for their further rapid development. Founded in 1958, it has now developed into a key comprehensive university in Fujian Province, giving priority to engineering courses and also enjoying a reputation for excellence in other fields including sciences, economics, management, liberal arts, law, arts and design, etc.
Now Fuzhou University covers more than 346 hectares, including several campuses such as Yishan campus, Qishan campus, Tongpan campus and the College of Industrial Art in Xiamen. The main running campus is Qishan campus, located in the University Town of Fuzhou Region. The present floor space of the whole university buildings for public use has reached over 1.1 million square meters and the sports field covers over 200,000 square meters. The total value of fixed assets is more than ,3.4 billion Yuan, among which 819 million are instruments and equipments for teaching and research. Its central library holds a collection of approximately 2.49 million volumes of books, 75,000 (GB) digital resources, and 13,500 (GB) e-books. Fuzhou University Network and Information Center is used as the main connection to Chinese Education and Scientific Research Network in Fuzhou.
There are 19 colleges in Fuzhou University, mainly for full-time undergraduate education and postgraduate education and two independently operated colleges -- Zhicheng College and Yangguang College. The University boasts 1 national key subject, 1 national key supporting subject, 7 national key developing subjects for “211 Project,” 4 provincial Superior Discipline Innovation platforms，6 provincial characteristic subjects and 26 provincial key subjects. There are 8 post-doctoral research stations, 9 doctoral degree programmes for the first-rank disciplines, 58 doctoral degree programmes for the second-rank disciplines, 35 master’s degree programmes for the first-rank disciplines and 141 master’s degree programmes for the second-rank disciplines and 11 professional degree authorization stations.
Fuzhou University has a staff of 3108, including 1,876 full-time teachers. Among them there are 6 academicians of the Chinese Academy of Engineering (4 of them are double-employed), 1 academician of the International Eurasian Academy of Science, 1 academician of the Royal Dutch Academy of Arts and Sciences, 1 chief scientist of the national “973” project, 4 professors selected into the National One-Thousand Talents Schemes (1000-Plan), 3 professors honored as Changjiang Scholar, 5 winners of the National Science Fund for Distinguished Young Scholars, 4 candidates selected into the national project of “Hundred, Thousand, Ten Thousand Talent Project”, 11 candidates selected into “Excellent Talents Supporting Project for New Century” sponsored by the Ministry of Education, 2 candidates selected into “Leading Talents in the West-Strait habitat of Industrial Talents,” 15 scholars selected into the provincial “High-level Innovative Entrepreneurship Talent Project,” 28 professors honored as Minjiang River Scholars and 8 lecture professors, 55 candidates for the provincial project of “Hundred, Thousand, Ten Thousand Talent Project”, 76 candidates for the “Program for New Century Excellent Talents in Universities of Fujian Province”, 2 professors with the title of Excellent Talents of Fujian Province, 10 scholars with the title of Provincial Outstanding Talents for Scientific Research, 2 winners of Provincial Award for Excellent Teachers, 15 winners of the Provincial Science Fund for Distinguished Young Scholars, 29 candidates for the Provincial Program to Fostering Distinguished Young Scholars of Scientific Research in Universities of Fujian Province”, 114 specialists and scholars who enjoy special government allowances, and 224 doctoral supervisors. The University also has 2 scientific innovation teams selected into “Changjiang Scholar and Innovation Team Developing Project”, which is sponsored by the Ministry of Education, 1 team selected by the Ministry of Science and Technology in to its “Innovation Teams in Key Fields”, and 12 scientific innovation teams selected into “Fujian Province University Scientific Innovation Team Supporting Project.”
Fuzhou University has been approved by the Ministry of Education to offer undergraduate and postgraduate programmes to students from Hong Kong, Macau, Taiwan regions and also abroad. At present, there are about 53,000 full-time students in Fuzhou University, including about 24,000 undergraduate students and 9,300 graduate students, among which over 570 are Ph.D. students. There are more than 11,900 bachelor’s degree seekers in Zhicheng College, while the number is over 8,000 in Yangguang College. Since its establishment, over 200,000 students graduated from Fuzhou University, including full-time doctoral and master’s degree students as well as those with the bachelor’s degrees and associate degrees. Fuzhou University also has 2 national personnel training bases, 5 national experimental teaching demonstration centers, 1 national innovation experimental zone for talents cultivating mode, 3 national key courses, 1 national bilingual teaching demonstration course, 3 national quality resources sharing courses, 1 national quality video course, 7 national special majors, 3 national comprehensive subject reform pilot project, and 1 national teaching team, 6 national education centers for engineering practice, cooperated with enterprises, 9 series of teaching materials of the national “11th five-year plan” and “12th five-year plan,” and 10 provincial bases for innovations in graduate education. Fuzhou University is one of the pilot universities for the “National Education and Training Plan of Outstanding Engineers” and the implementing university in the “National University Students Innovation and Enterprising Training Plan”, both sponsored by the Ministry of Education. Since 2006, the University has been awarded 1 national teaching achievement prize (second prize), 8 provincial teaching achievement prizes. Its undergraduate students have received 83 international awards and 1127 national awards in various competitions in various disciplines. In the year of 2010, Fuzhou University was selected as one of the pilot institutions for the national comprehensive reform of graduate education with professional degrees, and became one of the 50 universities renowned for their innovations in the graduate education with Master of Engineering degrees.
At present Fuzhou University has developed 65 scientific innovation platforms at provincial level or above, including 1 National Key Laboratory of Energy and Environmental Photocatalysis sponsored by Fujian Province and the Ministry of Technology, 1 National Engineering Research Center of Chemical Fertilizer Catalyst, 1 National Engineering Technology Research Center of Environmental Photocatalysis, 3 National & Local United Engineering Research Center/Laboratory, 1 state key laboratory breeding base sponsored by Fujian Province and the Ministry of Education, 3 ministerial key laboratories sponsored by Fujian Province and the Ministry of Education, 1 ministerial engineering research center of the Ministry of Education and 54 provincial engineering (technology) research (design) centers, engineering experimental laboratories and development research bases. Since the implementation of “the Eleventh 5-year Development Plan” in 2006, Fuzhou University has obtained over 6,405 scientific and technological projects with supporting funds of over 1,287 billion Yuan. The University has received 103 awards at provincial level or above for its achievements in the fields of natural sciences and technologies, including 4 National Awards for Science and Technology，and the amount of granted patents has increased to 840 pieces. More than 6,073 academic papers in the fields of science and technology have been indexed by the top three international search systems. Its scientific supporting services are under rapid development, and its cooperation with the local government and enterprises is on the boom, Over 1,943 technology contracts have been signed with outside units and the available fund now has reached 394 million Yuan. Fuzhou University is the first university in Fujian Province approved by the Ministry of Science and Technology to establish a national technology transfer demonstration organization. The University has received for many times the Golden Bridge Award of the Technology Market Association of China, the Innovation and Promotion Award of China Industry-University-Research Institute Cooperation and the Award for Excellence in the transformation of project achievements. The National University Science and Technology Park is now under construction on full scale to integrate multiple functions like scientific research, enterprise breeding, entrepreneurship talent cultivation, cooperation and exchange betweenTaiwanand Fujian Province, and public service.
Fuzhou University has been taking great efforts to develop the cooperation and exchange with the outside world. The University has established good collaborative relationship with scores of domestic universities and scientific institutes and has been endeavoring to improve cooperation with enterprises, local government and the army services so as to make more contribution to the regional social and economic development. Large academic conferences, both international and national, have been conducted successfully in Fuzhou University and have further enhanced the social and academic influence of the University. Academic exchanges on science, education and culture withTaiwan, Hong Kong and Macau regions have also been actively carried out and so far over 20 universities inTaiwan, Hong Kong and Macau regions have signed cooperation agreements with Fuzhou University. The University is also engaged in promoting the exchanges between Chinese civilization and Western civilization. It has established the “Library of the Western Belvedere”, the first western works center inChina, and the Institute of International Sinology. Moreover, the University has built a friendly and collaborative relationship with more than 20 universities in different countries, including theUnited States, theUnited Kingdom,Germany,France,Italy,Japan,South Koreaand so on. Fuzhou University has become an important window for scientific, academic, educational and cultural exchanges between Fujian Province and the outside world.
Fuzhou University has established its fast development strategy, that is, an entrepreneurial university with regional characteristics, under the guidance of which the University is now striving to become a university with superiority in its key subjects, a university renowned for its teaching and research, a university open-minded in its administration and plan of development, and a university that will become one of the most prestigious universities in the southeast region of China and make more contributions to the economic zone on the west bank of the Taiwan Straits and the whole nation.",24320.0,11397.0,572.0,26.06139,119.306114,https://www.shanghairanking.cn/_uni/logo/77372849.png
Lanzhou University,China,Lanzhou,35629.0,lzu.edu.cn,294,"Lanzhou University, 298 Tianshui Road, Lanzhou, Gansu Province 730000, China",1909.0,,19939.0,13131.0,578.0,36.05639,103.79222,https://www.shanghairanking.cn/_uni/logo/84317715.png
Deakin University,Australia,Geelong,35513.0,deakin.edu.au,314,1 Gheringhap Street,1974.0,"Since its establishment in 1974, Deakin University has always been ahead of the curve.
Year after year, advancements in technology, groundbreaking research outcomes and course delivery methods have put Deakin at the forefront of higher education. We’ve gone from strength to strength – from being the first Australian university to specialise in distance education to cementing our position in the top 1% of universities globally.*
Located in Victoria, Australia, Deakin has four campuses equipped with state-of-the-art teaching and research facilities – one in Melbourne's eastern suburbs, two in the port city of Geelong, and one in Warrnambool on the south-west coast of Victoria. We also offer online study via our premium online learning platform, affording students the flexibility to fit in study with their lifestyle. We are proud of our inclusive and student-focused culture, having been ranked Victoria’s #1 university for course satisfaction for 13 years running.^
With approximately 60,000 students, Deakin is the 7th largest of Australia’s 39 universities. We’re focused on delivering practical, industry-informed courses, ensuring our students graduate highly-skilled and career ready – that’s why we’re the #1 Victorian university for graduate employment.~ Deakin’s four faculties offer a comprehensive range of courses across several study areas, many of which have received global recognition – we’re ranked #1 in the world for sport science,¹ #5 in the world for education² and #16 in the world for nursing.³
An enrolment of more than 14,000 international students from more than 130 countries supports Deakin’s strong international reputation. Entering a new era in Australia–India education collaboration, in 2024, Deakin became the first international university in the world to open a teaching campus in GIFT City, India. The campus focuses on bridging and building capacities in technology and business to prepare postgraduate students for the rapidly advancing digital economy; in India and across the globe.
Deakin’s worldwide impact is also evident in our impactful research endeavours. Home to more than 14 research institutes and centres, our key research areas aim to address some of the biggest, most complex global challenges. Enabling a sustainable world is of particular importance, and we’re committed to making impactful change through environmental education, innovative research and climate ready campuses to help preserve our planet and grow sustainability for a brighter future.
*2023 ARWU Rankings, 2024 QS World University Rankings.
^Australian Graduate Survey 2010–2015, Graduate Outcomes Survey 2016–2022, Quality Indicators for Learning and Teaching (QILT).
~Graduate Outcomes Survey 2022, Quality Indicators for Learning and Teaching (QILT), based on overall employment for undergraduate students.
¹ ShanghaiRanking’s Global Ranking of Sport Science Schools and Departments 2023.
² U.S. News & World Report, Best Global Universities Subject Rankings 2022–2023.
³ ShanghaiRanking's Ranking of Academic Subjects 2023.",28272.0,7241.0,7002.0,-38.15346,144.3581,https://www.shanghairanking.cn/_uni/logo/b20086809.png
"University of Nevada, Las Vegas",United States,Paradise,35512.0,unlv.edu,767,"Paradise, Nevada, U.S.",1957.0,,29098.0,6414.0,1775.0,36.09722,-115.145836,https://www.shanghairanking.cn/_uni/logo/e505d9c36.png
Queensland University of Technology,Australia,Brisbane,35257.0,qut.edu.au,312,2 George Street,1989.0,"Queensland University of Technology (QUT) is a major Australian university with a global outlook and a 'real-world' focus. With around 50,000 students, including approximately 9000 international students from more than 120 countries, QUT maintains close links with business representatives and industry professionals who contribute to course development and lend practical perspectives to students’ theoretical education. QUT is located in subtropical Brisbane, which is Australia’s third largest city and known for its vibrant urban precincts, outdoor lifestyle, friendly locals, superb climate and safety, by world standards.
QUT offers hundreds of undergraduate and postgraduate study options that include extensive research programs and delivers real world outcomes for students through its provision of leading academics, state-of the-art-teaching facilities and a focussed approach to learning.
As a multi-campus institution, QUT accommodates an internationally and nationally awarded Science and Engineering Centre which incorporates one of the world’s largest and most advanced digital interactive learning and display spaces (The Cube). 2016 saw a major expansion of the Creative Industries Precinct while the new Education Precinct opened in 2019.
The university has two major thematically focused research institutes: The Institute for Future Environments and the Institute of Health and Biomedical Innovation. Additionally, QUT leads seven nationally endorsed research centres including the ARC Industrial Transformation Training Centre in Additive Biomanufacturing and the ARC Centre of Excellence in Robotic Vision.",29955.0,5302.0,5818.0,-27.47101,153.02429,https://www.shanghairanking.cn/_uni/logo/1bf5888c9.png
Polytechnic University of Milan,Italy,Milan,35184.0,polimi.it,302,piazza Leonardo da Vinci 32,1863.0,"Politecnico Milano is a scientific-technological university which trains engineers, architects and industrial designers.
The University has always focused on the quality and innovation of its teaching and research, developing a fruitful relationship with business and productive world by means of experimental research and technological transfer.
Research has always been linked to didactics and it is a priority commitment which has allowed Politecnico Milano to achieve high quality results at an international level as to join the university to the business world. Research constitutes a parallel path to that formed by cooperation and alliances with the industrial system.
Knowing the world in which you are going to work is a vital requirement for training students. By referring back to the needs of the industrial world and public administration, research is facilitated in following new paths and dealing with the need for constant and rapid innovation. The alliance with the industrial world, in many cases favored by Fondazione Politecnico and by consortiums to which Politecnico belong, allows the university to follow the vocation of the territories in which it operates and to be a stimulus for their development.
The challenge which is being met today projects this tradition which is strongly rooted in the territory beyond the borders of the country, in a relationship which is developing first of all at the European level with the objective of contributing to the creation of a single professional training market. Politecnico takes part in several research, sites and training projects collaborating with the most qualified European universities. Politecnico's contribution is increasingly being extended to other countries: from North America to Southeast Asia to Eastern Europe. Today the drive to internationalization sees Politecnico Milano taking part into the European and world network of leading technical universities and it offers several courses beside many which are entirely taught in English.",26092.0,18969.0,6638.0,45.466667,9.2,https://www.shanghairanking.cn/_uni/logo/84ea078dc.png
Shenzhen University,China,Shenzhen,35145.0,szu.edu.cn,234,"Shenzhen, Guangdong Province, China",1983.0,,27778.0,7367.0,401.0,22.533333,114.13333,https://www.shanghairanking.cn/_uni/logo/88823168.png
"University of California, Irvine",United States,Irvine,35017.0,uci.edu,76,"260 Aldrich Hall, Irvine, CA 92697, USA",1965.0,"UCI is consistently ranked among the nation’s best universities. Achievements in the sciences, arts, humanities, medicine, and management have garnered top 50 national rankings for more than 40 academic programs. Five UCI researchers have won Nobel Prizes. We were the youngest campus ever to be welcomed into the prestigious Association of American Universities. The New York Times twice ranked UCI as number one in the nation for economic diversity in its student body, citing us as ""doing the most for the American dream."" And you will be especially glad to hear that Money magazine named UCI the top university for beach lovers.
These are some of the reasons why UCI attracted more than 142,000 undergraduate applications in 2022, the fourth largest number of applications in the entire nation. Our graduate programs are also extremely competitive. You are on this campus because we know you have what it takes to succeed at the highest level.
UCI reaches beyond the classroom and laboratory to help solve societal issues and support human development. We are a hub for stem cell research, a trailblazer in understanding global warming, and a leader in promoting health and wellness. Our nationally ranked medical center in Orange is the home of the only National Institutes of Health-designated comprehensive cancer center and the only Level 1 trauma center in Orange County. The UCI Medical Center-Irvine, under construction near the main campus, will bring the finest academic health care to south Orange County. The Susan and Henry Samueli College of Health Sciences is the first university-based health sciences enterprise to incorporate integrative health research, teaching, and patient care across its schools and programs. Our law school is widely recognized for its public service. Orange County’s largest employer, UCI generates an annual economic impact on the county of $7 billion.
We are also national leaders in research and practice relating to sustainability and environmental protection. UCI is the most energy-efficient campus in California, and is consistently among the top 10 “Coolest Schools” in Sierra magazine’s annual ranking of the nation’s greenest universities.
A major intellectual and cultural center, UCI offers numerous public activities and events. The Claire Trevor School of the Arts and the School of Humanities produce engaging and entertaining cultural programs, and UCI’s Anteater athletes have won more than two dozen national championships.",28167.0,6850.0,8348.0,33.669445,-117.82222,https://www.shanghairanking.cn/_uni/logo/b1df85949.png
Chiang Mai University,Thailand,Chiang Mai,35013.0,cmu.ac.th,811,239 Huay Kaew Road,1964.0,"Founded in January 1964, under a Royal Charter granted by His Majesty King Bhumibol Adulyadej, Chiang Mai University (CMU) was established as the first institution of higher education in Northern Thailand, and as the first provincial university in our kingdom. Ever since its founding, CMU has been aiming at becoming a comprehensive institution of higher learning providing a broad range of academic programs. In the field of research, CMU has been launching innovative initiatives and development projects, the results of which are utilized to ever advancing standards of teaching, learning and technology transfer, all for the sake of social and economic development of the region and, naturally, the country as a whole.
At country level, CMU is recognized as one of Thailand’s nine “National Research Universities”. It is also worth noting that CMU is ranked 91 among Asian and 501 among World Universities respectively as published in “QS Asian Universities Ranking 2012”.
As internationalization continues to be an essential factor of higher education development and in order to respond to the continuously growing domestic demand for international-level programs, CMU currently offers 6 international undergraduate degree, and 27 international postgraduate degree programs. Through constructive interaction with more than 250 partners worldwide, we seek to enhance both the quantity and quality of research and development projects conducted at CMU. The increasing number of our international students reassures us that we are successfully working towards our goal of providing world-class education.
We strive to ensure that our range of disciplines, our teaching methodology and our research activities reflect world standards and to become a “University of Excellence” to the benefit of local communities, the country and international education as a whole.",,,700.0,18.790377,98.98468,https://www.shanghairanking.cn/_uni/logo/6639a709b.png
University of Rome Tor Vergata,Italy,Rome,34965.0,uniroma2.it,412,"Università degli Studi di Roma Tor Vergata, Via Orazio Raimondo, 18, 00173 RM Roma, Italy",1982.0,,17791.0,6459.0,3846.0,41.9,12.483333,https://www.shanghairanking.cn/_uni/logo/71a9fac11.png
Utrecht University,Netherlands,Utrecht,34958.0,uu.nl,64,P.O. Box 80125,1636.0,"Established in 1636 and ranked the best in the Netherlands, Utrecht University offers 96 English-taught master programmes and 10 English-taught bachelor programmes across 7 faculties. Internationally oriented with an interdisciplinary approach Utrecht University develops students capable of providing innovative solutions to the problems of today and tomorrow.",20694.0,14264.0,3815.0,52.093815,5.119095,https://www.shanghairanking.cn/_uni/logo/5063041ca.png
University of Salerno,Italy,Salerno,34826.0,unisa.it,765,"Via Giovanni Paolo II, 132 ",1968.0,"The University of Salerno is ideally linked to the oldest academic institution in the Old Continent: the Schola Medica Salernitana. Founded in the eighth century AD, the School reached its peak between the 10th and 13th century. In addition to medicine, its lectures included philosophy, theology and law. Closed by royal decree in 1811 under Joachim Murat’s Napoleonic government, the School earned Salerno the title of Hippocratica Civitas (City of Hippocrates) after the famous Greek physician and treatise writer. In 1944, by decree of king Victor Emmanuel III, the Istituto Universitario di Magistero “Giovanni Cuomo” was founded. This became state-owned in 1968, changing its name into Facoltà di Magistero dell’Università degli Studi di Salerno. Within a few years, the Faculty was joined by many others which contributed to the formation of a major university. The Faculty of Arts was established in 1969; then the Faculty of Economics (1970); the Faculty of Mathematical, Physical and Natural Sciences and the Faculty of Law (1972); the Full Degree in Engineering (1983); the Faculty of Pharmacy (1991); the Faculty of Political Science (1992); the Faculty of Foreign Languages and Literature (1996); finally, the Faculty of Medicine and Surgery (2006). As of 2013, in accordance with Law 240/2010, the faculties have been reorganized, the departments reconfigured and their respective functions redesigned. The University – which currently counts around 40,000 students – has a very large catchment area including, beside Campania, the Italian regions of Basilicata, Calabria and Apulia. Since 1987, the University has had its headquarters in the Irno Valley, a few kilometers from Salerno, at the junction of motorway intersections that make it central and easy to reach. Organized in the form of a campus (the Fisciano and Baronissi campuses), the University boasts modern facilities and efficient services for orientation, teaching, studying and leisure. It is a very large and still expanding complex, which covers an area of about one hundred thousand square meters.
Modern service centres – such as libraries, the International/Erasmus Office, the University Language Centre, the University Centre for Orientation and Mentoring, the Placement Office, the Spin-Off Incubator – represent vital and valuable support for training. Furthermore, the Campus offers many other services such as residence halls for students and teachers, sports facilities, an indoor swimming pool, a theatre, a lecture hall, a nursery, open-air museum of contemporary art, parking areas, green areas and a thematic arboretum, thus providing a student-friendly environment to facilitate the entire academic journey. Thus, from traditionally being a place for integration of learning, the University becomes a place for integration of projects, cultures and - above all – people, by constantly encouraging study, research and life experiences to enhance cultural and human growth.
The mission of the University of Salerno is to carry out research and educational programmes, developing links with the surrounding area while respecting the environment, with the aim of creating, enriching and, at the same time, offering a scientific, cultural heritage to students, enterprises, institutions and in general to the whole community. In keeping with this mission and core values, which are a constant reference point, the institutional goals are as follows: Research, Teaching and Education, Support for outstanding students and the diversely able, Development of the Campus as a community of individuals who share the same interests and values, Development of links with key players in the local area.",21027.0,13799.0,586.0,40.683334,14.783333,https://www.shanghairanking.cn/_uni/logo-jpg/fc4e3f80000.jpg
University College London,United Kingdom,London,34785.0,ucl.ac.uk,16,Gower Street,1826.0,"University College London (UCL) is one of the world's top universities. Based in the heart of London, it is a modern, outward-looking institution. At its establishment in 1826, UCL was radical and responsive to the needs of society, and this ethos – that excellence should go hand-in-hand with enriching society – continues today. UCL opened up university education in England to those who had been excluded from it. In 1878, it became the first university in England to admit women students on equal terms with men. Academic excellence and conducting research that addresses real-world problems inform our ethos to this day and our plans for the future.
UCL's excellence extends across all academic disciplines; from one of Europe's largest and most productive hubs for biomedical science interacting with several leading London hospitals, to world-renowned centres for architecture (UCL Bartlett) and fine art (UCL Slade School).
UCL is in practice a university in its own right, although constitutionally a college within the federal University of London. With an annual turnover exceeding £1 billion, it is financially and managerially independent of the University of London.
The UCL community
UCL's staff and former students have included 29 Nobel prizewinners. It is a truly international community: more than one-third of our student body – more than 35,000 strong – come from 150 countries and nearly one-third of staff are from outside the UK.
UCL offers postgraduate research opportunities in all of its subjects, and provides more than 200 undergraduate programmes and more than 400 taught postgraduate programmes. Approximately 54% of the student community is engaged in graduate studies, with about 29% of these graduate students pursuing research degrees.
Quality of UCL's teaching and learning
UCL has the best academic to student ratio in the UK (1:10), enabling small class sizes and outstanding individual support (Times 2013).
In the Research Excellence Framework 2014 (REF2014, published in December 2014) – a new system for assessing the quality of research in UK higher education institutions – UCL was rated the top university in the UK for ‘research power’ (the overall quality of its submission multiplied by the number of FTE researchers submitted). It was rated top not only in the overall results, but in each of the assessed components: publications and other research outputs; research environment; and research impact.
REF2014 confirmed UCL’s multidisciplinary research strength, with many leading performances across subject areas ranging from biomedicine, science and engineering and the built environment to laws, social sciences and arts and humanities.
Equality
UCL is proud of its longstanding commitment to equality and to providing a learning, working and social environment in which the rights and dignity of its diverse members are respected.
Location and working environment
Based in Bloomsbury, UCL is a welcoming, inclusive university situated at the heart of one of the world's greatest cities. UCL's central campus is spread across approximately three square kilometres of central London.
Further details at http://www.ucl.ac.uk/",18500.0,16285.0,16465.0,51.514126,-0.093689,https://www.shanghairanking.cn/_uni/logo/9f3188b58.png
Nanjing Tech University,China,Nanjing,34694.0,njtech.edu.cn,411,,1902.0,,26644.0,7249.0,317.0,32.06167,118.77778,https://www.shanghairanking.cn/_uni/logo/18208126.png
