"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_issn","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"As part of an inter-disciplinary effort, we are visually exploring a current problem in philosophical logic related to information processing. Given a set of inconsistent sentences or inputs, a processor cannot unambiguously infer any specific consequence. Traces represent subsets of possible consequences which can be inferred classically from partitions of the set of inputs. We are interested in the relationship between a given set of Boolean inputs and its respective trace(s). We have developed a visualization paradigm which allows us to view and explore this relationship effectively.","https://ieeexplore.ieee.org/document/485147/","LOCKED","485147","Dept. of Philos., Simon Fraser Univ., Burnaby, BC, Canada","https://ieeexplore.ieee.org/author/38149049900","1","N. Prevost","38149049900","Dept. of Philos., Simon Fraser Univ., Burnaby, BC, Canada","https://ieeexplore.ieee.org/author/37283081100","2","R.E. Jennings","37283081100","","https://ieeexplore.ieee.org/author/38149049500","3","L. Jorgenson","38149049500","","https://ieeexplore.ieee.org/author/37611726800","4","F.D. Fracchia","37611726800","","","","","","","","","","","","","","0","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485147","341","Visualization","Mathematics","Logic testing","Statistics","Multimedia computing","Laboratories","Information processing","Natural languages","Computer graphics","Collaboration","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485147","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","11","338","Propositional n-traces: visualizing a problem in philosophical logic"
"Three topics of aerodynamic research at DLR are chosen to illustrate the need for visualization. These include aircraft configuration design variations, adaptation devices and unsteady flow simulation in the transonic, the supersonic and the hypersonic speed regime call for the combined use of a geometry generator, a powerful graphic system and video technology. Projects currently under investigation are illustrated and generic case studies are presented.","https://ieeexplore.ieee.org/document/485151/","LOCKED","485151","German Aerosp. Res. Establ., Gottingen, Germany","https://ieeexplore.ieee.org/author/38145346300","1","M. Hannemann","38145346300","German Aerosp. Res. Establ., Gottingen, Germany","https://ieeexplore.ieee.org/author/38152302600","2","H. Sobieczky","38152302600","","","","","","","","","","","","","","","","","","","","","","","","4","2","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485151","358","Visualization","Aerodynamics","Solid modeling","Geometry","Graphics","Computational fluid dynamics","Design optimization","Aircraft","Fluid dynamics","Performance analysis","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485151","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","12","355","Visualization of high speed aerodynamic configuration design"
"A general framework for visualization of statistical properties of high-dimensional pattern samples and the related computational steps are introduced. These procedures are exemplified on applications in anthropometrical research (shape information in faces) but can be easily generalized to various other morphometrical questions and data sets with pattern structure, e.g., data stemming from sensor arrays. Presently, the visualization techniques illustrated concentrate on (higher) moments of first order. It is suggested, how moments of second order can be visualized by animations and how this approach can be used in the context of comparative visualization.","https://ieeexplore.ieee.org/document/485149/","LOCKED","485149","IWSP, Gottingen Univ., Germany","https://ieeexplore.ieee.org/author/38146059900","1","A.A. Muller","38146059900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485149","349","Statistical distributions","Sensor arrays","Data visualization","Prototypes","Shape","Distributed computing","Facial animation","Samarium","Image sensors","Digital images","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485149","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","13","346","Pictorial statistics-visualization of high-dimensional statistical distributions"
"The investigation of mechanisms responsible for the morphogenesis of complex biological organisms is an important area in biology. P. patens is an especially suitable plant for this research because it is a rather simple organism, facilitating its observation, yet it possesses developmental phenomena analogous to those which occur in higher plants, allowing the extrapolation of hypotheses to more complex organisms. The visualization consists of three components: biological data collection, computer-modelling (using L-systems), and model verification. The simulated developmental process is quite realistic and provides an excellent means for verifying the underlying hypotheses of morphogenesis.","https://ieeexplore.ieee.org/document/485153/","LOCKED","485153","Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada","https://ieeexplore.ieee.org/author/37611726800","1","F.D. Fracchia","37611726800","","https://ieeexplore.ieee.org/author/38257512300","2","N.W. Ashton","38257512300","","","","","","","","","","","","","","","","","","","","","","","","1","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485153","367","Biological system modeling","Biology computing","Computational biology","Organisms","Genetics","Biological systems","Extrapolation","Data visualization","Computational modeling","Biological processes","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485153","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","14","364","A visualization tool for studying the development of the moss Physcomitrella patens"
"The vast quantities of data which may be produced by modern radio telescopes have outstripped conventional visualisation techniques available to astronomers. While research in other areas of visualisation finds some application in astronomy, problems peculiar to the field require new techniques. This paper presents a brief overview of some of the problems of visualisation for astronomy and compares different shading algorithms. A more comprehensive overview may be found in Norris (1994) and Gooch (1995).","https://ieeexplore.ieee.org/document/485155/","LOCKED","485155","CSIRO Australia Telescope Nat. Facility, Sydney, NSW, Australia","https://ieeexplore.ieee.org/author/38138560000","1","R.E. Gooch","38138560000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485155","377","Radio astronomy","Australia","Telescopes","Data visualization","Frequency","Pixel","Space technology","Spatial resolution","Instruments","Optical sensors","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485155","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","15","374","Astronomers and their shady algorithms"
"In the research described, we have constructed a tightly coupled set of methods for monitoring, steering, and applying visual analysis to large scale simulations. The work shows how a collaborative, interdisciplinary process that teams application and computer scientists can result in a powerful integrated approach. The integrated design allows great flexibility in the development and use of analysis tools. The work also shows that visual analysis is a necessary component for full understanding of spatially complex, time dependent atmospheric processes.","https://ieeexplore.ieee.org/document/485157/","LOCKED","485157","Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA","https://ieeexplore.ieee.org/author/38155998800","1","Y. Jean","38155998800","","https://ieeexplore.ieee.org/author/38139234800","2","T. Kindler","38139234800","","https://ieeexplore.ieee.org/author/37300425000","3","W. Ribarsky","37300425000","","https://ieeexplore.ieee.org/author/37651400700","4","Weiming Gu","37651400700","","https://ieeexplore.ieee.org/author/37267863000","5","G. Eisenhauer","37267863000","https://ieeexplore.ieee.org/author/37268091800","6","K. Schwan","37268091800","https://ieeexplore.ieee.org/author/38152282900","7","F. Alyea","38152282900","9","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485157","387","Computer aided software engineering","Atmospheric modeling","Analytical models","Computational modeling","Information analysis","Monitoring","Data visualization","Chemicals","Atmosphere","Geoscience","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485157","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","16","383","Case study: an integrated approach for steering, visualization, and analysis of atmospheric simulations"
"As part of a large effort evaluating the effect of the Exxon Valdez oil spill, we are using the spatial selection features of an object relational database management system to support the visualization of the ecological data. The effort, called the Sound Ecosystem Assessment project (SEA), is collecting and analyzing oceanographic and biological data from Prince William Sound in Alaska. To support visualization of the SEA data we are building a data management system which includes a spatial index over a bounding polygon for all of the datasets which are collected. In addition to other selection criteria the prototype provides several methods for selecting data within an arbitrary region. This case study presents the requirements and the implementation for the application prototype which combines visualization and database technology. The spatial indexing features of the Illustra object relational database management system are linked with the visualization capabilities of AVS to create an interactive environment for analysis of SEA data.","https://ieeexplore.ieee.org/document/485171/","LOCKED","485171","Dept. of Comput. Sci., Maryland Univ., College Park, MD, USA","https://ieeexplore.ieee.org/author/38139746200","1","C. Falkenberg","38139746200","","https://ieeexplore.ieee.org/author/37063581200","2","R. Kulkarni","37063581200","","","","","","","","","","","","","","","","","","","","","","","","0","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485171","403","Data visualization","Relational databases","Prototypes","Petroleum","Ecosystems","Spatial indexes","Spatial databases","Visual databases","Indexing","Environmental management","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485171","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","17","400","Case study: using spatial access methods to support the visualization of environmental data"
"The paper presents a splatting algorithm for volume rendering of curvilinear grids. A stochastic sampling technique called Poisson sphere/ellipsoid sampling is employed to adaptively resample a curvilinear grid with a set of randomly distributed points whose energy support extents are well approximated by spheres and ellipsoids. Filter kernels corresponding to these spheres and ellipsoids are used to generate the volume rendered image of the curvilinear grid with a conventional footprint evaluation algorithm. Experimental results show that our approach can be regarded as an alternative to existing fast volume rendering techniques of curvilinear grids.","https://ieeexplore.ieee.org/document/480796/","LOCKED","480796","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/38147407800","1","Xiaoyang Mao","38147407800","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37347459100","2","Lichan Hong","37347459100","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37268052800","3","A. Kaufman","37268052800","","","","","","","","","","","","","","","","","","","12","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.480796","68","Ellipsoids","Rendering (computer graphics)","Image sampling","Kernel","Mesh generation","Feedforward systems","Shape","Face detection","Computer science","Stochastic processes","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=480796","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","18","61","Splatting of curvilinear volumes"
"An important goal of visualization technology is to support the exploration and analysis of very large amounts of data. In this paper, we propose a new visualization technique called a 'recursive pattern', which has been developed for visualizing large amounts of multidimensional data. The technique is based on a generic recursive scheme which generalizes a wide range of pixel-oriented arrangements for displaying large data sets. By instantiating the technique with adequate data- and application-dependent parameters, the user may greatly influence the structure of the resulting visualizations. Since the technique uses one pixel for presenting each data value, the amount of data which can be displayed is only limited by the resolution of current display technology and by the limitations of human perceptibility. Beside describing the basic idea of the 'recursive pattern' technique, we provide several examples of useful parameter settings for the various recursion levels. We further show that our 'recursive pattern' technique is particularly advantageous for the large class of data sets which have a natural order according to one dimension (e.g. time series data). We demonstrate the usefulness of our technique by using a stock market application.","https://ieeexplore.ieee.org/document/485140/","LOCKED","485140","Inst. for Comput. Sci., Munchen Univ., Germany","https://ieeexplore.ieee.org/author/37283138700","1","D.A. Keim","37283138700","Inst. for Comput. Sci., Munchen Univ., Germany","https://ieeexplore.ieee.org/author/37276747000","2","H.-P. Kriegel","37276747000","Inst. for Comput. Sci., Munchen Univ., Germany","https://ieeexplore.ieee.org/author/37371609900","3","M. Ankerst","37371609900","","","","","","","","","","","","","","","","","","","79","5","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485140","286","Data visualization","Humans","Multidimensional systems","Computer science","Pattern analysis","Displays","Stock markets","Visual databases","Decision making","Automation","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485140","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","19","279","Recursive pattern: a technique for visualizing very large amounts of data"
"Reconstruction is used frequently in visualization of one, two, and three dimensional data. Data uncertainty is typically ignored, and a deficiency of many interpolation schemes is smoothing which may indicate features or characteristics of the data that are not there. The author investigates the use of iterated function systems (IFS's) for interpolation. He shows new derivations for fractal interpolation in two and three dimensional scalar data, and new point and polytope rendering algorithms with tremendous speed advantages over ray tracing. The interpolations may be used to give an indication of the uncertainty of the data, statistically represent the data at a variety of scales, allow tunability from the data, and may allow more accurate data analysis.","https://ieeexplore.ieee.org/document/480798/","LOCKED","480798","Baskin Center for Comput. Eng. & Inf. Sci., California Univ., Santa Cruz, CA, USA","https://ieeexplore.ieee.org/author/37351416000","1","C.M. Wittenbrink","37351416000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.480798","84","Fractals","Interpolation","Data visualization","Uncertainty","Ocean temperature","Smoothing methods","Sea surface","Surface reconstruction","Graphics","Data engineering","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=480798","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","20","77","IFS fractal interpolation for 2D and 3D visualization"
"Presents a simple, robust and practical method for object simplification for applications where gradual elimination of high-frequency details is desired. This is accomplished by sampling and low-pass filtering the object into multi-resolution volume buffers and applying the marching cubes algorithm to generate a multi-resolution triangle-mesh hierarchy. Our method simplifies the genus of objects and can also help existing object simplification algorithms achieve better results. At each level of detail, a multi-layered mesh can be used for an optional and efficient antialiased rendering.","https://ieeexplore.ieee.org/document/485142/","LOCKED","485142","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37350343500","1","Taosong He","37350343500","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37347459100","2","Lichan Hong","37347459100","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37268052800","3","A. Kaufman","37268052800","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37282560200","4","A. Varshney","37282560200","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37351033000","5","S. Wang","37351033000","","","","","","","","","20","5","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485142","303","Topology","Geometry","Robustness","Sampling methods","Layout","Low pass filters","Helium","Computer science","Application software","Frequency","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485142","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","21","296","Voxel based object simplification"
"A software architecture is presented to integrate a database management system with data visualization. One of its primary objectives, the retention of user-data interactions, is detailed. By storing all queries over the data along with high-level descriptions of the query results and the associated visualization, the processes by which a database is explored can be analyzed. This approach can lead to important contributions in the development of user models as ""data explorers"", metadata models for scientific databases, intelligent assistants and data exploration services. We describe the underlying elements of this approach, specifically the visual database exploration model and the metadata objects that support the model.","https://ieeexplore.ieee.org/document/480801/","LOCKED","480801","Inst. for Visualization & Perception Res., Massachusetts Univ., Lowell, MA, USA","https://ieeexplore.ieee.org/author/38146973000","1","J.P. Lee","38146973000","Inst. for Visualization & Perception Res., Massachusetts Univ., Lowell, MA, USA","https://ieeexplore.ieee.org/author/37360588500","2","G.G. Grinstein","37360588500","","","","","","","","","","","","","","","","","","","","","","","","15","2","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.480801","108","Visual databases","Data visualization","Object oriented modeling","Relational databases","Object oriented databases","Spatial databases","Software architecture","Image databases","Computer architecture","Database systems","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=480801","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","22","101","An architecture for retaining and analyzing visual explorations of databases"
"","https://ieeexplore.ieee.org/document/485144/","LOCKED","485144","","https://ieeexplore.ieee.org/author/37282332900","1","S.K. Ueng","37282332900","","https://ieeexplore.ieee.org/author/37379767900","2","K. Sikorski","37379767900","","https://ieeexplore.ieee.org/author/37275869400","3","Kwan-Liu Ma","37275869400","","","","","","","","","","","","","","","","","","","11","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485144","","Visualization","Power engineering and energy","Computer science","Cities and towns","Performance analysis","Testing","Fluid flow","Postal services","NASA","Computational efficiency","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485144","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","23","313","Fast Algorithms for Visualizing Fluid Motion in Steady Flow on Unstructured Grids"
"The paper presents an interactive approach for guiding the user's select of colormaps in visualization. PRAVDAColor, implemented as a module in the IBM Visualization Data Explorer, provides the user a selection of appropriate colormaps given the data type and spatial frequency, the user's task, and properties of the human perceptual system.","https://ieeexplore.ieee.org/document/480803/","LOCKED","480803","IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA","https://ieeexplore.ieee.org/author/37271768100","1","L.D. Bergman","37271768100","IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA","https://ieeexplore.ieee.org/author/37332114400","2","B.E. Rogowitz","37332114400","IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA","https://ieeexplore.ieee.org/author/37372175500","3","L.A. Treinish","37372175500","","","","","","","","","","","","","","","","","","","83","4","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.480803","125","Data visualization","Frequency","Computer architecture","Humans","Control systems","Software libraries","Software packages","Application software","Color","Testing","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=480803","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","24","118","A rule-based tool for assisting colormap selection"
"Flow volumes are extended for use in unsteady (time-dependent) flows. The resulting unsteady flow volumes are the 3D analogs of streaklines. There are few examples where methods other than particle tracing have been used to visualize time-varying flows. Since particle paths can become convoluted in time, there are additional considerations to be made when extending any visualization technique to unsteady flows. We present some solutions to the problems which occur in subdivision, rendering and system design. We apply the unsteady flow volumes to a variety of field types, including moving multi-zoned curvilinear grids.","https://ieeexplore.ieee.org/document/485146/","LOCKED","485146","Lawrence Livermore Nat. Lab., CA, USA","https://ieeexplore.ieee.org/author/37363099200","1","B.G. Becker","37363099200","","https://ieeexplore.ieee.org/author/37356915500","2","D.A. Lane","37356915500","","https://ieeexplore.ieee.org/author/37267387800","3","N.L. Max","37267387800","","","","","","","","","","","","","","","","","","","13","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485146","335","Fluid flow measurement","Scientific visualization","Image generation","","","","","","","","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485146","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","25","329","Unsteady flow volumes"
"Presents a new method for adaptive surface meshing and triangulation which controls the local level-of-detail of the surface approximation by local spectral estimates. These estimates are determined by a wavelet representation of the surface data. The basic idea is to decompose the initial data set by means of an orthogonal or semi-orthogonal tensor product wavelet transform (WT) and to analyze the resulting coefficients. In surface regions where the partial energy of the resulting coefficients is low, the polygonal approximation of the surface can be performed with larger triangles without losing too much fine-grain detail. However, since the localization of the WT is bound by the Heisenberg principle, the meshing method has to be controlled by the detail signals rather than directly by the coefficients. The dyadic scaling of the WT stimulated us to build a hierarchical meshing algorithm which transforms the initially regular data grid into a quadtree representation by rejection of unimportant mesh vertices. The optimum triangulation of the resulting quadtree cells is carried out by selection from a look-up table. The tree grows recursively, as controlled by the detail signals, which are computed from a modified inverse WT. In order to control the local level-of-detail, we introduce a new class of wavelet space filters acting as ""magnifying glasses"" on the data.","https://ieeexplore.ieee.org/document/480805/","LOCKED","480805","Dept. of Comput. Sci., Eidgenossische Tech. Hochschule, Zurich, Switzerland","https://ieeexplore.ieee.org/author/37275694700","1","M.H. Gross","37275694700","Dept. of Comput. Sci., Eidgenossische Tech. Hochschule, Zurich, Switzerland","https://ieeexplore.ieee.org/author/37355330500","2","R. Gatti","37355330500","Dept. of Comput. Sci., Eidgenossische Tech. Hochschule, Zurich, Switzerland","https://ieeexplore.ieee.org/author/37355334600","3","O. Staadt","37355334600","","","","","","","","","","","","","","","","","","","39","16","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.480805","142","Energy resolution","Signal resolution","Programmable control","Adaptive control","Surface waves","Tensile stress","Wavelet analysis","Wavelet transforms","Table lookup","Filters","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=480805","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","26","135","Fast multiresolution surface meshing"
"Proposes as a generalization of isosurfaces, the 'interval volume', which is a new type of geometric model representing 3D subvolumes with field values belonging to a closed interval. A dominant surface fitting algorithm called 'marching cubes' is extended to obtain a solid fitting algorithm, which extracts from a given volumetric dataset a high-resolution polyhedral solid data structure of the interval volume. Rendering methods for the interval volume and principal related operations are also presented. The effectiveness of this approach is illustrated with 4D simulated data from atomic collision research.","https://ieeexplore.ieee.org/document/480807/","LOCKED","480807","Dept. of Inf. Sci., Ochanomizu Univ., Tokyo, Japan","https://ieeexplore.ieee.org/author/37282596600","1","I. Fujishiro","37282596600","","https://ieeexplore.ieee.org/author/37348582700","2","Y. Maeda","37348582700","","https://ieeexplore.ieee.org/author/37349040300","3","H. Sato","37349040300","","","","","","","","","","","","","","","","","","","20","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.480807","158","Solids","Displays","Data analysis","Surface fitting","Data mining","Isosurfaces","Data visualization","Biomedical measurements","Data structures","Atomic measurements","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=480807","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","27","151","Interval volume: a solid fitting technique for volumetric data display and analysis"
"Wavelet transforms include data decompositions and reconstructions. This paper is concerned with the authenticity issues of the data decomposition, particularly for data visualization. A total of six datasets are used to clarify the approximation characteristics of compactly supported orthogonal wavelets. We present an error tracking mechanism, which uses the available wavelet resources to measure the quality of the wavelet approximations.","https://ieeexplore.ieee.org/document/480811/","LOCKED","480811","Dept. of Comput. Sci., New Hampshire Univ., Durham, NH, USA","https://ieeexplore.ieee.org/author/38193849400","1","Pak Chung Wong","38193849400","Dept. of Comput. Sci., New Hampshire Univ., Durham, NH, USA","https://ieeexplore.ieee.org/author/38227675400","2","R.D. Bergeron","38227675400","","","","","","","","","","","","","","","","","","","","","","","","7","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.480811","191","Wavelet analysis","Data visualization","Computer science","Wavelet transforms","Area measurement","Application software","Computer graphics","Painting","Shape","Loss measurement","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=480811","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","28","184","Authenticity analysis of wavelet approximations in visualization"
"An important challenge in the visualization of three-dimensional volume data is the efficient processing and rendering of time-resolved sequences. Only the use of compression techniques, which allow the reconstruction of the original domain from the compressed one locally, makes it possible to evaluate these sequences in their entirety. In this paper, a new approach for the extraction and visualization of so-called time features from within time-resolved volume data is presented. Based on the asymptotic decay of multiscale representations of spatially localized time evolutions of the data, singular points can be discriminated. Also, the corresponding Lipschitz exponents, which describe the signals' local regularity, can be determined, and can be taken as a measure of the variation in time. The compression ratio and the comprehension of the underlying signal is improved if we first restore the extracted regions which contain the most important information.","https://ieeexplore.ieee.org/document/480809/","LOCKED","480809","German Nat. Res. Center for Comput. Sci., St. Augustin, Germany","https://ieeexplore.ieee.org/author/37444424000","1","R. Westermann","37444424000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.480809","175","Data visualization","Data mining","Optical attenuators","Signal resolution","Spatial resolution","Computer science","Time measurement","Image restoration","Signal restoration","Integral equations","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=480809","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","29","168","Compression domain rendering of time-resolved volume data"
