"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_11","articles_index_terms_author_terms_terms_12","articles_index_terms_author_terms_terms_13","articles_index_terms_author_terms_terms_14","articles_index_terms_author_terms_terms_15","articles_index_terms_author_terms_terms_16","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume" 
"We present an integrated camera motion design and path generation system for building volume data animations. Creating animations is an essential task in presenting complex scientific visualizations. Existing visualization systems use an established animation function based on keyframes selected by the user. This approach is limited in providing the optimal in-between views of the data. Alternatively, computer graphics and virtual reality camera motion planning is frequently focused on collision free movement in a virtual walkthrough. For semi-transparent, fuzzy, or blobby volume data the collision free objective becomes insufficient. Here, we provide a set of essential criteria focused on computing camera paths to establish effective animations of volume data. Our dynamic multi-criteria solver coupled with a force-directed routing algorithm enables rapid generation of camera paths. Once users review the resulting animation and evaluate the camera motion, they are able to determine how each criterion impacts path generation. In this paper, we demonstrate how incorporating this animation approach with an interactive volume visualization system reduces the effort in creating context-aware and coherent animations. This frees the user to focus on visualization tasks with the objective of gaining additional insight from the volume data.","https://ieeexplore.ieee.org/document/6634149/","LOCKED","6634149","University of California, Davis","https://ieeexplore.ieee.org/author/38494276500","1","Wei-Hsien Hsu","38494276500","University of California, Davis","https://ieeexplore.ieee.org/author/37061756800","2","Yubo Zhang","37061756800","University of California, Davis","https://ieeexplore.ieee.org/author/37275869400","3","Kwan-Liu Ma","37275869400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","0","Journals","10.1109/TVCG.2013.123","2801","","Motion control","Animation","","","","","","","","Data visualization","Cameras","Rendering (computer graphics)","Three-dimensional displays","animation","Camera motion planning","volume rendering","visualization","Motion control","Animation","Data visualization","Cameras","Rendering (computer graphics)","Three-dimensional displays","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634149","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","22","2792","A Multi-Criteria Approach to Camera Motion Design for Volume Data Animation","19"
"Cardiovascular diseases (CVD) are the leading cause of death worldwide. Their initiation and evolution depends strongly on the blood flow characteristics. In recent years, advances in 4D PC-MRI acquisition enable reliable and time-resolved 3D flow measuring, which allows a qualitative and quantitative analysis of the patient-specific hemodynamics. Currently, medical researchers investigate the relation between characteristic flow patterns like vortices and different pathologies. The manual extraction and evaluation is tedious and requires expert knowledge. Standardized, (semi-)automatic and reliable techniques are necessary to make the analysis of 4D PC-MRI applicable for the clinical routine. In this work, we present an approach for the extraction of vortex flow in the aorta and pulmonary artery incorporating line predicates. We provide an extensive comparison of existent vortex extraction methods to determine the most suitable vortex criterion for cardiac blood flow and apply our approach to ten datasets with different pathologies like coarctations, Tetralogy of Fallot and aneurysms. For two cases we provide a detailed discussion how our results are capable to complement existent diagnosis information. To ensure real-time feedback for the domain experts we implement our method completely on the GPU.","https://ieeexplore.ieee.org/document/6634153/","LOCKED","6634153","Visualization and Visual Computing, University of Magdeburg","https://ieeexplore.ieee.org/author/37077733400","1","Benjamin Köhler","37077733400","Visualization and Visual Computing, University of Magdeburg","https://ieeexplore.ieee.org/author/38017015100","2","Rocco Gasteiger","38017015100","Herzzentrum in Leipzig","https://ieeexplore.ieee.org/author/37073913700","3","Uta Preim","37073913700","Visualization and Visual Computing, University of Magdeburg","https://ieeexplore.ieee.org/author/37266875400","4","Holger Theisel","37266875400","Herzzentrum in Leipzig","https://ieeexplore.ieee.org/author/38580444300","5","Matthias Gutberlet","38580444300","Visualization and Visual Computing, University of Magdeburg","https://ieeexplore.ieee.org/author/37424645300","6","Bernhard Preim","37424645300","","","","","","","","","","","","","","","","40","0","Journals","10.1109/TVCG.2013.189","2782","","Data mining","Heart","cardiac blood flow","hemodynamics","line predicates","","","","","Pathology","Arteries","Cardiovascular system","Biomedical monitoring","Smoothing methods","Blood flow","vortex extraction","4D PC-MRI","Data mining","Heart","Pathology","Arteries","Cardiovascular system","Biomedical monitoring","Smoothing methods","Blood flow","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634153","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","23","2773","Semi-Automatic Vortex Extraction in 4D PC-MRI Cardiac Blood Flow Data using Line Predicates","19"
"Ensemble run simulations are becoming increasingly widespread. In this work, we couple particle advection with pathline analysis to visualize and reveal the differences among the flow fields of ensemble runs. Our method first constructs a variation field using a Lagrangian-based distance metric. The variation field characterizes the variation between vector fields of the ensemble runs, by extracting and visualizing the variation of pathlines within ensemble. Parallelism in a MapReduce style is leveraged to handle data processing and computing at scale. Using our prototype system, we demonstrate how scientists can effectively explore and investigate differences within ensemble simulations.","https://ieeexplore.ieee.org/document/6634188/","LOCKED","6634188","Key Laboratory of Machine Perception (Ministry of Education), School of EECS, and Center for Computational Science and Engineering, Peking University","https://ieeexplore.ieee.org/author/37595201300","1","Hanqi Guo","37595201300","Key Laboratory of Machine Perception (Ministry of Education), School of EECS, and Center for Computational Science and Engineering, Peking University","https://ieeexplore.ieee.org/author/37403856700","2","Xiaoru Yuan","37403856700","University of Tennessee","https://ieeexplore.ieee.org/author/37281262900","3","Jian Huang","37281262900","National Super Computing Center in Jinan, Shandong, China","https://ieeexplore.ieee.org/author/37077233500","4","Xiaomin Zhu","37077233500","","","","","","","","","","","","","","","","","","","","","","","","","","28","0","Journals","10.1109/TVCG.2013.144","2742","","Data visualization","Uncertainty","","","","","","","","Spatiotemporal phenomena","Computational modeling","Scalability","field line advection","Ensemble analysis","parallel processing","","","Data visualization","Uncertainty","Spatiotemporal phenomena","Computational modeling","Scalability","","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634188","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","24","2733","Coupled Ensemble Flow Line Advection and Analysis","19"
"High-dimensional data visualization has been attracting much attention. To fully test related software and algorithms, researchers require a diverse pool of data with known and desired features. Test data do not always provide this, or only partially. Here we propose the paradigm WYDIWYGS (What You Draw Is What You Get). Its embodiment, SketchPadND, is a tool that allows users to generate high-dimensional data in the same interface they also use for visualization. This provides for an immersive and direct data generation activity, and furthermore it also enables users to interactively edit and clean existing high-dimensional data from possible artifacts. SketchPadND offers two visualization paradigms, one based on parallel coordinates and the other based on a relatively new framework using an N-D polygon to navigate in high-dimensional space. The first interface allows users to draw arbitrary profiles of probability density functions along each dimension axis and sketch shapes for data density and connections between adjacent dimensions. The second interface embraces the idea of sculpting. Users can carve data at arbitrary orientations and refine them wherever necessary. This guarantees that the data generated is truly high-dimensional. We demonstrate our tool's usefulness in real data visualization scenarios.","https://ieeexplore.ieee.org/document/6634118/","LOCKED","6634118","Visual Analytics and Imaging Laboratory, Computer Science Department, Stony Brook University","https://ieeexplore.ieee.org/author/37073902300","1","Bing Wang","37073902300","Visual Analytics and Imaging Laboratory, Computer Science Department, Stony Brook University, and Chulalongkorn Business School, Chulalongkorn University","https://ieeexplore.ieee.org/author/37077393400","2","Puripant Ruchikachorn","37077393400","Visual Analytics and Imaging Laboratory, Computer Science Department, Stony Brook University, and SUNY Korea","https://ieeexplore.ieee.org/author/37273119700","3","Klaus Mueller","37273119700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","Journals","10.1109/TVCG.2013.190","2069","","Data visualization","Shape analysis","user interface","parallel coordinates","scatterplot","N-D navigation","","","","Image color analysis","multiple views","Synthetic data generation","data editing","data acquisition and management","multivariate data","high-dimensional data","interaction","Data visualization","Shape analysis","Image color analysis","","","","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634118","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","25","2060","SketchPadN-D: WYDIWYG Sculpting and Editing in High-Dimensional Space","19"
"Sets of simulation runs based on parameter and model variation, so-called ensembles, are increasingly used to model physical behaviors whose parameter space is too large or complex to be explored automatically. Visualization plays a key role in conveying important properties in ensembles, such as the degree to which members of the ensemble agree or disagree in their behavior. For ensembles of time-varying vector fields, there are numerous challenges for providing an expressive comparative visualization, among which is the requirement to relate the effect of individual flow divergence to joint transport characteristics of the ensemble. Yet, techniques developed for scalar ensembles are of little use in this context, as the notion of transport induced by a vector field cannot be modeled using such tools. We develop a Lagrangian framework for the comparison of flow fields in an ensemble. Our techniques evaluate individual and joint transport variance and introduce a classification space that facilitates incorporation of these properties into a common ensemble visualization. Variances of Lagrangian neighborhoods are computed using pathline integration and Principal Components Analysis. This allows for an inclusion of uncertainty measurements into the visualization and analysis approach. Our results demonstrate the usefulness and expressiveness of the presented method on several practical examples.","https://ieeexplore.ieee.org/document/6634122/","LOCKED","6634122","University of Kaiserslautern","https://ieeexplore.ieee.org/author/37587428300","1","Mathias Hummel","37587428300","University of California, Davis","https://ieeexplore.ieee.org/author/38228357000","2","Harald Obermaier","38228357000","University of Kaiserslautern","https://ieeexplore.ieee.org/author/37282573700","3","Christoph Garth","37282573700","University of California, Davis","https://ieeexplore.ieee.org/author/37267811400","4","Kenneth I. Joy","37267811400","","","","","","","","","","","","","","","","","","","","","","","","","","36","0","Journals","10.1109/TVCG.2013.141","2752","","Visual analytics","Principal component analysis","visualization","Lagrangian","variance","","","","","Data visualization","Computational modeling","Trajectory","principal components analysis","Ensemble","flow field","time-varying","comparison","Visual analytics","Principal component analysis","Data visualization","Computational modeling","Trajectory","","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634122","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","26","2743","Comparative Visual Analysis of Lagrangian Transport in CFD Ensembles","19"
"The precise modeling of vascular structures plays a key role in medical imaging applications, such as diagnosis, therapy planning and blood flow simulations. For the simulation of blood flow in particular, high-precision models are required to produce accurate results. It is thus common practice to perform extensive manual data polishing on vascular segmentations prior to simulation. This usually involves a complex tool chain which is highly impractical for clinical on-site application. To close this gap in current blood flow simulation pipelines, we present a novel technique for interactive vascular modeling which is based on implicit sweep surfaces. Our method is able to generate and correct smooth high-quality models based on geometric centerline descriptions on the fly. It supports complex vascular free-form contours and consequently allows for an accurate and fast modeling of pathological structures such as aneurysms or stenoses. We extend the concept of implicit sweep surfaces to achieve increased robustness and applicability as required in the medical field. We finally compare our method to existing techniques and provide case studies that confirm its contribution to current simulation pipelines.","https://ieeexplore.ieee.org/document/6634086/","LOCKED","6634086","Computer Science Department, FAU Erlangen, and Siemens Healthcare, Computed Tomography","https://ieeexplore.ieee.org/author/37077443200","1","Jan Kretschmer","37077443200","Computer Science Department, FAU Erlangen, and Siemens Healthcare, Computed Tomography","https://ieeexplore.ieee.org/author/37077198500","2","Christian Godenschwager","37077198500","University of Magdeburg","https://ieeexplore.ieee.org/author/37424645300","3","Bernhard Preim","37424645300","Department of Computer Graphics, FAU Erlangen","https://ieeexplore.ieee.org/author/37373910900","4","Marc Stamminger","37373910900","","","","","","","","","","","","","","","","","","","","","","","","","","19","1","Journals","10.1109/TVCG.2013.169","2837","","Computational modeling","Splines (mathematics)","","","","","","","","Interpolation","Vascular structures","Image segmentation","Biomedical imaging","centerline-based modeling","Surface modeling","vascular visualization","","Computational modeling","Splines (mathematics)","Interpolation","Vascular structures","Image segmentation","Biomedical imaging","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634086","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","27","2828","Interactive Patient-Specific Vascular Modeling with Sweep Surfaces","19"
"We propose a novel video visual analytics system for interactive exploration of surveillance video data. Our approach consists of providing analysts with various views of information related to moving objects in a video. To do this we first extract each object's movement path. We visualize each movement by (a) creating a single action shot image (a still image that coalesces multiple frames), (b) plotting its trajectory in a space-time cube and (c) displaying an overall timeline view of all the movements. The action shots provide a still view of the moving object while the path view presents movement properties such as speed and location. We also provide tools for spatial and temporal filtering based on regions of interest. This allows analysts to filter out large amounts of movement activities while the action shot representation summarizes the content of each movement. We incorporated this multi-part visual representation of moving objects in sViSIT, a tool to facilitate browsing through the video content by interactive querying and retrieval of data. Based on our interaction with security personnel who routinely interact with surveillance video data, we identified some of the most common tasks performed. This resulted in designing a user study to measure time-to-completion of the various tasks. These generally required searching for specific events of interest (targets) in videos. Fourteen different tasks were designed and a total of 120 min of surveillance video were recorded (indoor and outdoor locations recording movements of people and vehicles). The time-to-completion of these tasks were compared against a manual fast forward video browsing guided with movement detection. We demonstrate how our system can facilitate lengthy video exploration and significantly reduce browsing time to find events of interest. Reports from expert users identify positive aspects of our approach which we summarize in our recommendations for future video visual analytics systems.","https://ieeexplore.ieee.org/document/6634090/","LOCKED","6634090","Department of Computer Science, University of Manitoba","https://ieeexplore.ieee.org/author/38185147700","1","Amir H. Meghdadi","38185147700","Department of Computer Science, University of Manitoba","https://ieeexplore.ieee.org/author/37283481700","2","Pourang Irani","37283481700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","3","Journals","10.1109/TVCG.2013.168","2128","","Interactive states","Image segmentation","video visualization","video summarization","","","","","","Data visualization","Visual analytics","Surveillance","Tracking","Navigation","video browsing and exploration","Video visual analytics","surveillance video","Interactive states","Image segmentation","Data visualization","Visual analytics","Surveillance","Tracking","Navigation","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634090","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","28","2119","Interactive Exploration of Surveillance Video through Action Shot Summarization and Trajectory Visualization","19"
"Representation of molecular surfaces is a well established way to study the interaction of molecules. The state-of-theart molecular representation is the SES model, which provides a detailed surface visualization. Nevertheless, it is computationally expensive, so the less accurate Gaussian model is traditionally preferred. We introduce a novel surface representation that resembles the SES and approaches the rendering performance of the Gaussian model. Our technique is based on the iterative blending of implicit functions and avoids any pre-computation. Additionally, we propose a GPU-based ray-casting algorithm that efficiently visualize our molecular representation. A qualitative and quantitative comparison of our model with respect to the Gaussian and SES models is presented. As showcased in the paper, our technique is a valid and appealing alternative to the Gaussian representation. This is especially relevant in all the applications where the cost of the SES is prohibitive.","https://ieeexplore.ieee.org/document/6634161/","LOCKED","6634161","University of Bergen","https://ieeexplore.ieee.org/author/38233234400","1","Julius Parulek","38233234400","University of Bergen","https://ieeexplore.ieee.org/author/37077809300","2","Andrea Brambilla","37077809300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","Journals","10.1109/TVCG.2013.158","2662","","Solvents","Atomic measurements","","","","","","","","Computational modeling","Rendering (computer graphics)","Mathematical model","implicit surfaces","Molecular visualization","geometry-based techniques","","","Solvents","Atomic measurements","Computational modeling","Rendering (computer graphics)","Mathematical model","","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634161","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","29","2653","Fast Blending Scheme for Molecular Surface Representation","19"
"Analysis of dynamic object deformations such as cardiac motion is of great importance, especially when there is a necessity to visualize and compare the deformation behavior across subjects. However, there is a lack of effective techniques for comparative visualization and assessment of a collection of motion data due to its 4-dimensional nature, i.e., timely varying three-dimensional shapes. From the geometric point of view, the motion change can be considered as a function defined on the 2D manifold of the surface. This paper presents a novel classification and visualization method based on a medial surface shape space, in which two novel shape descriptors are defined, for discriminating normal and abnormal human heart deformations as well as localizing the abnormal motion regions. In our medial surface shape space, the geodesic distance connecting two points in the space measures the similarity between their corresponding medial surfaces, which can quantify the similarity and disparity of the 3D heart motions. Furthermore, the novel descriptors can effectively localize the inconsistently deforming myopathic regions on the left ventricle. An easy visualization of heart motion sequences on the projected space allows users to distinguish the deformation differences. Our experimental results on both synthetic and real imaging data show that this method can automatically classify the healthy and myopathic subjects and accurately detect myopathic regions on the left ventricle, which outperforms other conventional cardiac diagnostic methods.","https://ieeexplore.ieee.org/document/6634092/","LOCKED","6634092","Wayne State University and Children’s Hospital Boston, Harvard Medical School","https://ieeexplore.ieee.org/author/37846036700","1","Vahid Taimouri","37846036700","Wayne State University","https://ieeexplore.ieee.org/author/37285799200","2","Jing Hua","37285799200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","Journals","10.1109/TVCG.2013.230","2652","","Shape analysis","Cardiology","comparative visualization","","","","","","","Heart","Biomedical monitoring","Atomic measurements","Data visualization","Level measurement","left ventricle diagnosis","Medial surface","shape space","Shape analysis","Cardiology","Heart","Biomedical monitoring","Atomic measurements","Data visualization","Level measurement","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634092","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","30","2644","Visualization of Shape Motions in Shape Space","19"
"Histograms computed from local regions are commonly used in many visualization applications, and allowing the user to query histograms interactively in regions of arbitrary locations and sizes plays an important role in feature identification and tracking. Computing histograms in regions with arbitrary location and size, nevertheless, can be time consuming for large data sets since it involves expensive I/O and scan of data elements. To achieve both performance- and storage-efficient query of local histograms, we present a new algorithm called WaveletSAT, which utilizes integral histograms, an extension of the summed area tables (SAT), and discrete wavelet transform (DWT). Similar to SAT, an integral histogram is the histogram computed from the area between each grid point and the grid origin, which can be be pre-computed to support fast query. Nevertheless, because one histogram contains multiple bins, it will be very expensive to store one integral histogram at each grid point. To reduce the storage cost for large integral histograms, WaveletSAT treats the integral histograms of all grid points as multiple SATs, each of which can be converted into a sparse representation via DWT, allowing the reconstruction of axis-aligned region histograms of arbitrary sizes from a limited number of wavelet coefficients. Besides, we present an efficient wavelet transform algorithm for SATs that can operate on each grid point separately in logarithmic time complexity, which can be extended to parallel GPU-based implementation. With theoretical and empirical demonstration, we show that WaveletSAT can achieve fast preprocessing and smaller storage overhead than the conventional integral histogram approach with close query performance.","https://ieeexplore.ieee.org/document/6634159/","LOCKED","6634159","The Ohio State University","https://ieeexplore.ieee.org/author/37403060100","1","Teng-Yok Lee","37403060100","The Ohio State University","https://ieeexplore.ieee.org/author/37279493500","2","Han-Wei Shen","37279493500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","0","Journals","10.1109/TVCG.2013.152","2702","","Histograms","Discrete wavelet transforms","","","","","","","","Statistical analysis","Time complexity","Integral equations","discrete wavelet transform","WaveletSAT","integral histograms","","","Histograms","Discrete wavelet transforms","Statistical analysis","Time complexity","Integral equations","","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634159","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","31","2693","Efficient Local Statistical Analysis via Integral Histograms with Discrete Wavelet Transform","19"
"To verify cluster separation in high-dimensional data, analysts often reduce the data with a dimension reduction (DR) technique, and then visualize it with 2D Scatterplots, interactive 3D Scatterplots, or Scatterplot Matrices (SPLOMs). With the goal of providing guidance between these visual encoding choices, we conducted an empirical data study in which two human coders manually inspected a broad set of 816 scatterplots derived from 75 datasets, 4 DR techniques, and the 3 previously mentioned scatterplot techniques. Each coder scored all color-coded classes in each scatterplot in terms of their separability from other classes. We analyze the resulting quantitative data with a heatmap approach, and qualitatively discuss interesting scatterplot examples. Our findings reveal that 2D scatterplots are often 'good enough', that is, neither SPLOM nor interactive 3D adds notably more cluster separability with the chosen DR technique. If 2D is not good enough, the most promising approach is to use an alternative DR technique in 2D. Beyond that, SPLOM occasionally adds additional value, and interactive 3D rarely helps but often hurts in terms of poorer class separation and usability. We summarize these results as a workflow model and implications for design. Our results offer guidance to analysts during the DR exploration process.","https://ieeexplore.ieee.org/document/6634128/","LOCKED","6634128","University of Vienna","https://ieeexplore.ieee.org/author/37590945600","1","Michael Sedlmair","37590945600","University of British Columbia","https://ieeexplore.ieee.org/author/37349490300","2","Tamara Munzner","37349490300","University of Victoria","https://ieeexplore.ieee.org/author/37275861300","3","Melanie Tory","37275861300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","1","Journals","10.1109/TVCG.2013.153","2643","","Three-dimensional displays","Encoding","","","","","","","","Principal component analysis","Data visualization","Data analysis","quantitative study","Dimensionality reduction","scatterplots","","","Three-dimensional displays","Encoding","Principal component analysis","Data visualization","Data analysis","","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634128","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","32","2634","Empirical Guidance on Scatterplot and Dimension Reduction Technique Choices","19"
"We present a study of linear interpolation when applied to uncertain data. Linear interpolation is a key step for isosurface extraction algorithms, and the uncertainties in the data lead to non-linear variations in the geometry of the extracted isosurface. We present an approach for deriving the probability density function of a random variable modeling the positional uncertainty in the isosurface extraction. When the uncertainty is quantified by a uniform distribution, our approach provides a closed-form characterization of the mentioned random variable. This allows us to derive, in closed form, the expected value as well as the variance of the level-crossing position. While the former quantity is used for constructing a stable isosurface for uncertain data, the latter is used for visualizing the positional uncertainties in the expected isosurface level crossings on the underlying grid.","https://ieeexplore.ieee.org/document/6634171/","LOCKED","6634171","University of Florida","https://ieeexplore.ieee.org/author/37077916100","1","Tushar Athawale","37077916100","University of Florida","https://ieeexplore.ieee.org/author/37268675600","2","Alireza Entezari","37268675600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","0","Journals","10.1109/TVCG.2013.208","2732","","Uncertainty","Interpolation","","","","","","","","Isosurfaces","Random variables","Probability density function","Data models","Marching Cubes","Uncertainty quantification","linear interpolation","isosurface extraction","Uncertainty","Interpolation","Isosurfaces","Random variables","Probability density function","Data models","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634171","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","33","2723","Uncertainty Quantification in Linear Interpolation for Isosurface Extraction","19"
"Summary form only given. In the past decades many new techniques have been developed to visualize and interact with abstract data, but also, many challenges remain. In my talk I will reflect on how to make progress in our field: how to identify interesting problems and next how to find effective solutions. I will begin with an attempt to identify characteristics of interesting problems, and discuss windows of opportunity for data, tasks, and users. Some problems have been solved, some are too hard to deal with, what is the range we should aim at? And what impact can be obtained? Next, I discuss strategies and approaches for finding novel solutions, such as combining existing approaches and finding inspiration in other disciplines, including art and design. This talk is based on lessons we learned while developing new techniques, and will be illustrated with a variety of cases and demos from our group at TU/e, showing successes and failures.","https://ieeexplore.ieee.org/document/6634140/","LOCKED","6634140","","","1","Jarke van Wijk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2013.216","xxviii","","","","","","","","","","","","","","","","","","","","","","","","","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634140","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","34","xxviii","VIS 2013 Capstone Speaker: Information Visualization: Challenges and Opportunities","19"
"An ongoing debate in the Visualization community concerns the role that visualization types play in data understanding. In human cognition, understanding and memorability are intertwined. As a first step towards being able to ask questions about impact and effectiveness, here we ask: 'What makes a visualization memorable?' We ran the largest scale visualization study to date using 2,070 single-panel visualizations, categorized with visualization type (e.g., bar chart, line graph, etc.), collected from news media sites, government reports, scientific journals, and infographic sources. Each visualization was annotated with additional attributes, including ratings for data-ink ratios and visual densities. Using Amazon's Mechanical Turk, we collected memorability scores for hundreds of these visualizations, and discovered that observers are consistent in which visualizations they find memorable and forgettable. We find intuitive results (e.g., attributes like color and the inclusion of a human recognizable object enhance memorability) and less intuitive results (e.g., common graphs are less memorable than unique visualization types). Altogether our findings suggest that quantifying memorability is a general metric of the utility of information, an essential step towards determining how to design effective visualizations.","https://ieeexplore.ieee.org/document/6634103/","LOCKED","6634103","Harvard University","https://ieeexplore.ieee.org/author/38017334100","1","Michelle A. Borkin","38017334100","Harvard University","https://ieeexplore.ieee.org/author/37076959300","2","Azalea A. Vo","37076959300","Massachusetts Institute of Technology","https://ieeexplore.ieee.org/author/37077963800","3","Zoya Bylinskii","37077963800","Massachusetts Institute of Technology","https://ieeexplore.ieee.org/author/37945396900","4","Phillip Isola","37945396900","Harvard University","https://ieeexplore.ieee.org/author/37077466600","5","Shashank Sunkavalli","37077466600","Massachusetts Institute of Technology","https://ieeexplore.ieee.org/author/38358671900","6","Aude Oliva","38358671900","Harvard University","https://ieeexplore.ieee.org/author/37275698100","7","Hanspeter Pfister","37275698100","","","","","","","","","","","171","0","Journals","10.1109/TVCG.2013.234","2315","https://ieeexplore.ieee.org/document/6634103/","Data visualization","Taxonomy","","","","","","","","Information technology","Encoding","memorability","Visualization taxonomy","information visualization","","","","Data visualization","Taxonomy","Information technology","Encoding","","","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634103","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","35","2306","What Makes a Visualization Memorable?","19"
