"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_affiliation","articles_authors_authors_10_authorAffiliations_authorAffiliation_0","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_affiliation","articles_authors_authors_11_authorAffiliations_authorAffiliation_0","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation_0","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorAffiliations_authorAffiliation_0","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorAffiliations_authorAffiliation_0","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorAffiliations_authorAffiliation_0","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorAffiliations_authorAffiliation_0","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorAffiliations_authorAffiliation_0","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_insert_date","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_isbn_formats_isbns_1_format","articles_isbn_formats_isbns_1_isbnType","articles_isbn_formats_isbns_1_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Visualizing monitored traffic over a long period of time is a difficult problem. The trajectories of many traffic participants have to be taken into account to find regular patterns and unusual behavior. We introduce a novel system for visual analysis of spatio-temporal tracking data. This system, developed as response to VAST 2017 Mini-Challenge 1, enables iterative analysis steps by combining textual queries and linking and brushing interactive visualizations in ComVis tool.","https://ieeexplore.ieee.org/document/8585513/","LOCKED","8585513","VRVis Research Center, Vienna, Austria","VRVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37073197900","1","Michael Beham","37073197900","","","","","","","","","","","","","VRVis Research Center, Vienna, Austria","VRVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37086554776","2","Silvana Podaras","37086554776","VRVis Research Center, Vienna, Austria","VRVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37085338700","3","Rainer Splechtna","37085338700","Virginia Tech, Blacksburg, VA, USA","Virginia Tech, Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/37323697500","4","Denis GraČanin","37323697500","VRVis Research Center, Vienna, Austria","VRVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37947312900","5","Krešimir Matković","37947312900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585513","52","228","https://ieeexplore.ieee.org/document/8585513/","Information Search and Retrieval","","","","","","","","","Trajectory","Data visualization","Logic gates","Visualization","Monitoring","Tools","Radiofrequency identification","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585513","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","11","227","MC1 --- Iterative Analysis of Spatio-temporal Data by Textual Queries and Visualizations"
"Summary form only given, as follows. The complete presentation was not made available for publication as part of the conference proceedings. Combustion and turbulence simulations involve highly intermittent localized phenomena that generate high volumes of spatially and temporally varying field and particle data. The current paradigm of posthoc analysis and visualization will become increasingly infeasible as data volumes continue to increase. In the exascale era this problem will be further exacerbated by the difficulty of moving large volumes of data through deep complex memory hierarchies and across the machine network to hard disks on a heterogeneous supercomputer. I will discuss recent advances in in situ massively parallel volume and particle visualization algorithms coupled with analytics - e.g., topological feature segmentation/tracking, distance field construction, multi-variate statistics and eigensolutions of the reaction rate Jacobian - as an integral part of a scientific discovery from high-fidelity combustion simulations. The role of asynchronous task based programming models and runtimes to facilitate an extensible, performance portable computational science workflow at extreme scale will also be discussed in the context of recent turbulent ignition simulations.","https://ieeexplore.ieee.org/document/8585481/","LOCKED","8585481","Sandia National Laboratories","Sandia National Laboratories","","1","Jacqueline H. Chen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585481","792","1","https://ieeexplore.ieee.org/document/8585481/","","","","","","","","","","Combustion","Computational modeling","Mathematical models","Data models","Analytical models","Laboratories","Uncertainty","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585481","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","12","1","VIS Keynote Address: Analytics Inspired Visualization: a Holistic In-situ Scientific Workflow at Extreme Scale"
"In VAST Challenge 2017, we developed a visual exploration system for detection of sensor anomaly, pattern of chemical distribution and responsible factory for each release of chemical. In this report, we discuss details of our data preprocessing, design, implementation and how we found our answer.","https://ieeexplore.ieee.org/document/8585548/","LOCKED","8585548","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37086553994","1","Ruike Jiang","37086553994","","","","","","","","","","","","","QIHOO 360","QIHOO 360","https://ieeexplore.ieee.org/author/37085387861","2","Wei Huang","37085387861","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37086562001","3","Nan Ma","37086562001","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37085503743","4","Fan Hong","37085503743","School of Information Science and Engineering, Central South University","School of Information Science and Engineering, Central South University","https://ieeexplore.ieee.org/author/37085336513","5","Ying Zhao","37085336513","Beijing Engineering Technology Research Center of Virtual Simulation and Visualization, Peking University","Beijing Engineering Technology Research Center of Virtual Simulation and Visualization, Peking University","https://ieeexplore.ieee.org/author/37403856700","6","Xiaoru Yuan","37403856700","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585548","135","190","https://ieeexplore.ieee.org/document/8585548/","","","","","","","","","","Chemicals","Production facilities","Visualization","Time series analysis","Data preprocessing","Monitoring","ISO","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585548","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","13","189","Temporal Pattern Analysis and Source Detection through Visual Analysis on Multi-Dimensional Time Series Data"
"In the Grand Challenge of IEEE VAST Challenge 2017, we explore the systems in each mini-challenge, and combine the discoveries logically to provide a comprehensive story happened in the wildlife preserve. In this report, we present technical details for the systems, in order to discuss how to discover the events, and how to combine them to construct an overall picture considering the additional information, newsletter, in the Grand Challenge.","https://ieeexplore.ieee.org/document/8585552/","LOCKED","8585552","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37086558503","1","Lijing Lin","37086558503","","","","","","","","","","","","","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/38238228600","2","Min Lu","38238228600","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37086047700","3","Guozheng Li","37086047700","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University, Beijing, Beijing, CN","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University, Beijing, Beijing, CN","https://ieeexplore.ieee.org/author/37086146756","4","Shuai Chen","37086146756","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37085501991","5","Chufan Lai","37085501991","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37086553994","6","Ruike Jiang","37086553994","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University","https://ieeexplore.ieee.org/author/37086559373","7","Qiangqiang Liu","37086559373","Beijing Engineering Technology Research Center of Virtual Simulation and Visualization, Peking University","Beijing Engineering Technology Research Center of Virtual Simulation and Visualization, Peking University","https://ieeexplore.ieee.org/author/37403856700","8","Xiaoru Yuan","37403856700","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585552","66","248","https://ieeexplore.ieee.org/document/8585552/","","","","","","","","","","Trajectory","Production facilities","Chemicals","Visual analytics","Chemical sensors","Sensors","","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585552","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","14","247","Visual Analysis for Wildlife Preserve based on Muti-systems"
"In this paper we demonstrate how we can study multivariate event sequences in the VAST Mini Challenge 1 data set using our system Eventpad, a notepad editor for event data. We illustrate the effectiveness of multivariate regular expressions, pattern aggregations, and selections to define custom events of interest, discover patterns within sequences, and study differences between sequences. Finally, we discuss our analysis process and summarize some patterns and anomalies we discovered in the data set.","https://ieeexplore.ieee.org/document/8585619/","LOCKED","8585619","Eindhoven University of Technology","Eindhoven University of Technology","https://ieeexplore.ieee.org/author/37085632323","1","Bram C.M. Cappers","37085632323","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585619","75","194","https://ieeexplore.ieee.org/document/8585619/","Event Visualization","Multivariate Events","Regular Expressions","Sequence Alignment","Interaction","","","","","Logic gates","Data visualization","Visualization","Inspection","Systematics","Vehicle driving","","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585619","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","15","193","Exploring Lekagul Sensor Events using Rules, Aggregations, and Selections"
"We attempted the VAST MC2 challenge following a statistical modelling approach along with interactive visualizations to analyse and extract insights from the data. We use Bayesian networks to model dependencies between given and derived data attributes along with visual analytics techniques to answer the questions posed by the challenge.","https://ieeexplore.ieee.org/document/8585515/","LOCKED","8585515","Tata Consultancy Services Research, Gurugram, India","Tata Consultancy Services Research, Gurugram, India","https://ieeexplore.ieee.org/author/37086549848","1","Bindu Gupta","37086549848","","","","","","","","","","","","","Tata Consultancy Services Research, Gurugram, India","Tata Consultancy Services Research, Gurugram, India","https://ieeexplore.ieee.org/author/37085661842","2","Kaushal Paneri","37085661842","Tata Consultancy Services Research, Gurugram, India","Tata Consultancy Services Research, Gurugram, India","https://ieeexplore.ieee.org/author/37085674838","3","Gunjan Sehgal","37085674838","Tata Consultancy Services Research, Gurugram, India","Tata Consultancy Services Research, Gurugram, India","https://ieeexplore.ieee.org/author/37085503516","4","Karamjit Singh","37085503516","Tata Consultancy Services Research, Gurugram, India","Tata Consultancy Services Research, Gurugram, India","https://ieeexplore.ieee.org/author/37652061400","5","Geetika Sharma","37652061400","Tata Consultancy Services Research, Gurugram, India","Tata Consultancy Services Research, Gurugram, India","https://ieeexplore.ieee.org/author/37296187000","6","Gautam Shroff","37296187000","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585515","53","246","https://ieeexplore.ieee.org/document/8585515/","","","","","","","","","","Chemicals","Production facilities","Bayes methods","Tools","Color","Data visualization","Analytical models","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585515","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","16","245","Visual Statistical Analysis of Environmental Sensor Data"
"As part of the Visual Analytics Science and Technology Challenge 2017, teams were tasked to hypothesize whether or not the traffic within the Boonsong Lekagul Nature Preserve is affecting the nesting Rose-Crested Blue Pipit. With exploratory data analysis, variable generation, and visual analytic techniques, our team worked to uncover patterns within the preserve. Potentially harmful park activity was uncovered through our analysis.","https://ieeexplore.ieee.org/document/8585729/","LOCKED","8585729","AFRL RIEA","AFRL RIEA","https://ieeexplore.ieee.org/author/37086562199","1","Allison Montroy","37086562199","","","","","","","","","","","","","AFRL RIEA","AFRL RIEA","https://ieeexplore.ieee.org/author/37086561213","2","Tyler Witter","37086561213","AFRL RIEA","AFRL RIEA","https://ieeexplore.ieee.org/author/37086556513","3","Christopher Banas","37086556513","AFRL RIEA","AFRL RIEA","https://ieeexplore.ieee.org/author/37086304215","4","Walter Bennette","37086304215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585729","123","238","https://ieeexplore.ieee.org/document/8585729/","visual analysis","interactive","traffic patterns","pattern of life","","","","","","Data visualization","Logic gates","Visual analytics","Tools","Roads","Traffic control","","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585729","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","17","237","Interactive Visual Analysis of Traffic Patterns: Ecological Impact within a Nature Preserve (VAST Challenge 2017)"
"WindNebula joins two datasets, sensor data and meteorological data, to combine wind directions with sensor readings to reveal implicit relations among locations of factories and sensors, pollution intensity, wind direction, and sensor problems. The two major views, vectorial view and temporal view, blend key information of different variables from the IEEE VAST 2017 Mini Challenge 2 dataset. This paper introduces the composition of the WindNebula system, exhibits the components of both views, and discusses the benefits of using this system to gain insights of the dataset.","https://ieeexplore.ieee.org/document/8585631/","LOCKED","8585631","Department of Computer Graphics Technology, Purdue University, West Lafayette, Indiana, USA","Department of Computer Graphics Technology, Purdue University, West Lafayette, Indiana, USA","https://ieeexplore.ieee.org/author/37086559707","1","Hui Tang","37086559707","","","","","","","","","","","","","Department of Computer Graphics Technology, Purdue University, West Lafayette, Indiana, USA","Department of Computer Graphics Technology, Purdue University, West Lafayette, Indiana, USA","https://ieeexplore.ieee.org/author/37086557326","2","Wenjie Wu","37086557326","Department of Computer Graphics Technology, Purdue University, West Lafayette, Indiana, USA","Department of Computer Graphics Technology, Purdue University, West Lafayette, Indiana, USA","https://ieeexplore.ieee.org/author/37086554324","3","Zheng Zhou","37086554324","Department of Computer Graphics Technology, Purdue University, West Lafayette, Indiana, USA","Department of Computer Graphics Technology, Purdue University, West Lafayette, Indiana, USA","https://ieeexplore.ieee.org/author/37086560679","4","Sijin Wang","37086560679","Department of Industrial and Interaction Design, Purdue University, West Lafayette, Indiana, USA","Department of Industrial and Interaction Design, Purdue University, West Lafayette, Indiana, USA","https://ieeexplore.ieee.org/author/37086560165","5","Aijun Huang","37086560165","Schoool of Mechanical Engineering, Southeast University, China","Schoool of Mechanical Engineering, Southeast University, China","https://ieeexplore.ieee.org/author/37086557933","6","Yafeng Niu","37086557933","Department of Computer Graphics Technology, Purdue University, West Lafayette, Indiana, USA","Department of Computer Graphics Technology, Purdue University, West Lafayette, Indiana, USA","https://ieeexplore.ieee.org/author/38241087200","7","Yingjie Victor Chen","38241087200","Department of Industrial and Interaction Design, Purdue University, West Lafayette, Indiana, USA","Department of Industrial and Interaction Design, Purdue University, West Lafayette, Indiana, USA","https://ieeexplore.ieee.org/author/38238364000","8","Zhenyu Cheryl Qian","38238364000","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585631","84","182","https://ieeexplore.ieee.org/document/8585631/","[Human-centered computing]-Visual analytics","Information visualization","User interface design","[Information systems]-Spatial-temporal systems","","","","","","Production facilities","Chemicals","Heating systems","Wind speed","Data visualization","Visual analytics","Pollution","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585631","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","18","181","WindNebula: Vectorial-Temporal Analysis for Environmental Assessment : VAST Challenge MC2 Award: Multi-challenge Award for Aesthetic Design"
"Mini Challenge 2 of the VAST Challenge 2017 focused on a small industrial area south of the fictional Mistford preserve, specifically around four manufacturing factories. Our main goal was to develop a visual analytics tool to explore the spatio-temporal chemical readings and wind data. Specifically, we wanted to determine which factories were responsible for emitting which chemicals and to determine the performance of the nine sensors in the area. In order to help achieve this goal, we developed a web-based application that utilizes interactive visualizations and path line analysis for revealing sensor errors and chemical reading spikes, along with pinpointing the possible sources of chemical reading spikes.","https://ieeexplore.ieee.org/document/8585491/","LOCKED","8585491","Electronic Visualization Laboratory, University of Illinois at Chicago","Electronic Visualization Laboratory, University of Illinois at Chicago","https://ieeexplore.ieee.org/author/37086562277","1","Joshua Castor","37086562277","","","","","","","","","","","","","Electronic Visualization Laboratory, University of Illinois at Chicago","Electronic Visualization Laboratory, University of Illinois at Chicago","https://ieeexplore.ieee.org/author/37086562012","2","Joseph Borowicz","37086562012","Electronic Visualization Laboratory, University of Illinois at Chicago","Electronic Visualization Laboratory, University of Illinois at Chicago","https://ieeexplore.ieee.org/author/37086248228","3","Andrew Burks","37086248228","Electronic Visualization Laboratory, University of Illinois at Chicago","Electronic Visualization Laboratory, University of Illinois at Chicago","https://ieeexplore.ieee.org/author/37086174576","4","Manu Thomas","37086174576","Electronic Visualization Laboratory, University of Illinois at Chicago","Electronic Visualization Laboratory, University of Illinois at Chicago","https://ieeexplore.ieee.org/author/38228955300","5","Timothy Luciani","38228955300","Electronic Visualization Laboratory, University of Illinois at Chicago","Electronic Visualization Laboratory, University of Illinois at Chicago","https://ieeexplore.ieee.org/author/37937697100","6","G. Elisabeta Marai","37937697100","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585491","97","204","https://ieeexplore.ieee.org/document/8585491/","","","","","","","","","","Sensors","Chemical sensors","Chemicals","Production facilities","Data models","Image color analysis","Visual analytics","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585491","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","19","203","MC2 - Mining Factory Pollution Data through a Spatial-Nonspatial Flow Approach (Honorable Mention for Clarity in Visual Communication)"
"The datasets released for the VAST Challenge 2017 comprise vehicle movement data captured with RFID sensors, chemical emission data from factories captured by gas sensors, and image attributes of the wildlife plant health obtained from satellites, all pertaining to a fictional wildlife preserve. Using visual analytics, a compelling hypothesis is established to link the spatiotemporal datasets to the phenomenon, where the count of a bird specimen is found to decline over a given year. Anomalies in vehicle traffic patterns are linked to proximal factory emissions, and further associated with satellite imagery that show proof of degradation in plant quality in the preserve. The evidences are supported with visualizations created in Tableau, R, QGIS & SAS-JMP. Raster image analysis is also done to identify other key features in the preserve, such as the existence of a lake. This is achieved by using NDVI and NDMI measures, which also help understand the change in climate over the years.","https://ieeexplore.ieee.org/document/8585493/","LOCKED","8585493","Singapore Management University","Singapore Management University","https://ieeexplore.ieee.org/author/37086556746","1","Bharadwaj S Kishan","37086556746","","","","","","","","","","","","","Singapore Management University","Singapore Management University","https://ieeexplore.ieee.org/author/37086562812","2","Ong Guan Jie Jason","37086562812","Singapore Management University","Singapore Management University","https://ieeexplore.ieee.org/author/37679547500","3","Zhang Yanrong","37679547500","Singapore Management University","Singapore Management University","https://ieeexplore.ieee.org/author/37086553960","4","Kam Tin Seong","37086553960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585493","84","186","https://ieeexplore.ieee.org/document/8585493/","Spatiotemporal analysis","Geo-spatial analytics","Visual analytics","Traffic pattern detection","Raster image processing","NDVI","","","","Satellites","Visual analytics","Indexes","Image color analysis","Software","Atmospheric modeling","Snow","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585493","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","20","185","Spatiotemporal identification of anomalies in a wildlife preserve VAST Grand Challenge 2017 Award: Clear Presentation of Hypotheses and Supporting Evidence"
"In this paper we describe our approach to the VAST Challenge Mini Challenge 3 which provided time-series multispectral image for visualization and analysis. We used Matlab for rapid prototyping, interface design and implementation of the final software. The resulting application, Multilab, allowed us to interactively explore the collection of multispectral images, generate and test hypotheses, and answer quantitative questions about the images.","https://ieeexplore.ieee.org/document/8585672/","LOCKED","8585672","Purdue University","Purdue University","https://ieeexplore.ieee.org/author/37294450700","1","Tim McGraw","37294450700","","","","","","","","","","","","","Purdue University","Purdue University","https://ieeexplore.ieee.org/author/37086560165","2","Aijun Huang","37086560165","Purdue University","Purdue University","https://ieeexplore.ieee.org/author/37086560679","3","Sijin Wang","37086560679","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585672","62","224","https://ieeexplore.ieee.org/document/8585672/","I.4.9 [Computing Methodologies]: Image Processing and Computer Vision—Applications","D.2.2 [Software]: Software Engineering–Design Tools and Techniques","","","","","","","","Matlab","Color","Image color analysis","Vegetation mapping","Tools","Lakes","Birds","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585672","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","21","223","Multilab: Multispectral image analysis in Matlab"
"The Visual Analytics Science and Technology (VAST) Challenge 2017 Mini-Challenge 1 dataset mirrored the challenging scenarios in analysing large spatiotemporal movement tracking datasets. The datasets provided contains a 13-month movement data generated by five types of sensors, for six types of vehicles passing through the Boonsong Lekagul Nature Preserve. We present an application developed with the market leading visualisation software Tableau to provide an interactive visual analysis of the multi-dimensional spatiotemporal datasets. Our interactive application allows the user to perform an interactive analysis to observe movement patterns, study vehicle trajectories and identify movement anomalies while allowing them to customise the preferred visualisation configurations.","https://ieeexplore.ieee.org/document/8585564/","LOCKED","8585564","Singapore Management University","Singapore Management University","https://ieeexplore.ieee.org/author/37086558219","1","Guan Yifei","37086558219","","","","","","","","","","","","","Singapore Management University","Singapore Management University","https://ieeexplore.ieee.org/author/37086553960","2","Kam Tin Seong","37086553960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3-6 Oct. 2017","Phoenix, AZ, USA","Conferences","10.1109/VAST.2017.8585564","133","196","https://ieeexplore.ieee.org/document/8585564/","Spatiotemporal visualisation","Movement Analysis","User interaction","Tableau","","","","","","Logic gates","Trajectory","Heating systems","Visual analytics","Spatiotemporal phenomena","Anomaly detection","Data visualization","20181223","8585424","978-1-5386-3164-5","Print on Demand(PoD) ISBN","New-2005","978-1-5386-3164-5","Electronic ISBN","New-2005","978-1-5386-3163-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8585564","3-6 Oct. 2017","8574342","2017 IEEE Conference on Visual Analytics Science and Technology (VAST)","2017","IEEE","22","195","Interactive Visual Analytics Application for Spatiotemporal Movement Data VAST Challenge 2017 Mini-Challenge 1: Award for Actionable and Detailed Analysis"
