"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"The microscopic analysis of time dependent 3D live cells provides considerable challenges to visualization. Effective visualization can provide insight into the structure and functioning of living cells. The paper presents a case study in which a number of visualization techniques were applied to analyze a specific problem in cell biology: the condensation and de-condensation of chromosomes during cell division. The spatial complexity of the data required sophisticated presentation techniques. The interactive virtual reality enabled visualization system, proteus, specially equipped for time dependent 3D data sets is described. An important feature of proteus is that it is extendible to cope with application-specific demands.","https://ieeexplore.ieee.org/document/885735/","LOCKED","885735","Centre for Math. & Comput. Sci., Amsterdam, Netherlands","https://ieeexplore.ieee.org/author/37086976616","1","W.C. De Leeuw","37086976616","https://ieeexplore.ieee.org/author/37282925600","2","R. Van Liere","37282925600","https://ieeexplore.ieee.org/author/37340174000","3","P.J. Verschure","37340174000","https://ieeexplore.ieee.org/author/37340814500","4","A.E. Visser","37340814500","","5","E.M.M. Manders","","https://ieeexplore.ieee.org/author/37086980868","6","R. Van Drielf","37086980868","","","","","","","","","1","0","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885735","476","Data visualization","Microscopy","Cells (biology)","DNA","Proteins","Biological cells","Computer graphics","Gene expression","Labeling","Fluorescence","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885735","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","11","473","Visualization of time dependent confocal microscopy data"
"Presents an efficient keyframeless image-based rendering technique. An intermediate image is used to exploit the coherences among neighboring frames. The pixels in the intermediate image are first rendered by a ray-casting method and then warped to the intermediate image at the current viewpoint and view direction. We use an offset buffer to record the precise positions of these pixels in the intermediate image. Every frame is generated in three steps: warping the intermediate image onto the frame, filling in holes, and selectively rendering a group of ""old"" pixels. By dynamically adjusting the number of those ""old"" pixels in the last step, the workload at every frame can be balanced. The pixels generated by the last two steps make contributions to the new intermediate image. Unlike occasional keyframes in conventional image-based rendering, which need to be totally re-rendered, intermediate images only need to be partially updated at every frame. In this way, we guarantee more stable frame rates and more uniform image qualities. The intermediate image can be warped efficiently by a modified incremental 3D warp algorithm. As a specific application, we demonstrate our technique with a voxel-based terrain rendering system.","https://ieeexplore.ieee.org/document/885702/","LOCKED","885702","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","","1","Huamin Qu","","","2","Ming Wan","","","3","Jiafa Qin","","","4","A. Kaufman","","","","","","","","","","","","","","","","","","0","1","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885702","258","Rendering (computer graphics)","Pixel","Image quality","Casting","Layout","Computer science","Filling","Image generation","Application software","Real time systems","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885702","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","12","251","Image based rendering with stable frame rates"
"Visualization techniques enable scientists to interactively explore 3D data sets, segmenting and cutting them to reveal inner structure. While powerful, these techniques suffer from one serious flaw-the images they create are displayed on a flat piece of glass or paper. It is not really 3D-it can only be made to appear 3D. We describe the construction of 3D physical models from volumetric data. Using solid freeform fabrication equipment, these models are built as separate interlocking pieces that express in physical form the segmentation and cutting operations common in display-based visualization.","https://ieeexplore.ieee.org/document/885741/","LOCKED","885741","Supercomput. Center, California Univ., San Diego, La Jolla, CA, USA","https://ieeexplore.ieee.org/author/37374054100","1","D.R. Nadeau","37374054100","https://ieeexplore.ieee.org/author/37280473500","2","M.J. Bailey","37280473500","","","","","","","","","","","","","","","","","","","","","","","","","1","0","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885741","500","Data visualization","Skull","Image segmentation","Biomedical imaging","Humans","Head","Data mining","Glass","Solid modeling","Computer graphics","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885741","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","13","497","Visualizing volume data using physical models"
"We propose a novel approach for segmentation and digital cleansing of endoscopic organs. Our method can be used for a variety of segmentation needs with little or no modification. It aims at fulfilling the dual and often conflicting requirements of a fast and accurate segmentation and also eliminates the undesirable partial volume effect which contemporary approaches cannot. For segmentation and digital cleansing, we use the peculiar characteristics exhibited by the intersection of any two distinct-intensity regions. To detect these intersections we cast rays through the volume, which we call the segmentation rays as they assist in the segmentation. We then associate a certain task of reconstruction and classification with each intersection the ray detects. We further use volumetric contrast enhancement to reconstruct surface lost by segmentation (if any), which aids in improving the quality of the volume rendering.","https://ieeexplore.ieee.org/document/885674/","LOCKED","885674","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37282740200","1","S. Lakare","37282740200","https://ieeexplore.ieee.org/author/37362958300","2","Ming Wan","37362958300","https://ieeexplore.ieee.org/author/37732410200","3","M. Sato","37732410200","https://ieeexplore.ieee.org/author/37268052800","4","A. Kaufman","37268052800","","","","","","","","","","","","","","","","","12","38","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885674","44","Colon","Virtual colonoscopy","Colonic polyps","Biomedical optical imaging","Computer science","Surface reconstruction","Endoscopes","Humans","Cancer detection","Optical materials","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885674","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","14","37","3D digital cleansing using segmentation rays"
"We introduce a new subdivision-surface wavelet transform for arbitrary two-manifolds with boundary that is the first to use simple lifting-style filtering operations with bicubic precision. We also describe a conversion process for re-mapping large-scale isosurfaces to have subdivision connectivity and fair parameterizations so that the new wavelet transform can be used for compression and visualization. The main idea enabling our wavelet transform is the circular symmetrization of the filters in irregular neighborhoods, which replaces the traditional separation of filters into two 1D passes. Our wavelet transform uses polygonal base meshes to represent surface topology, from which a Catmull-Clark-style subdivision hierarchy is generated. The details between these levels of resolution are quickly computed and compactly stored as wavelet coefficients. The isosurface conversion process begins with a contour triangulation computed using conventional techniques, which we subsequently simplify with a variant edge-collapse procedure, followed by an edge-removal process. This provides a coarse initial base mesh, which is subsequently refined, relaxed and attracted in phases to converge to the contour. The conversion is designed to produce smooth, untangled and minimally-skewed parameterizations which improves the subsequent compression after applying the transform. We have demonstrated our conversion and transform for an isosurface obtained from a high-resolution turbulent-mixing hydrodynamics simulation, showing the potential for compression and level-of-detail visualization.","https://ieeexplore.ieee.org/document/885720/","LOCKED","885720","CASC, Lawrence Livermore Nat. Lab., CA, USA","","1","M. Bertram","","","2","M.A. Duchaineau","","","3","B. Hamann","","","4","K.I. Joy","","","","","","","","","","","","","","","","","","12","0","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885720","396","Large-scale systems","Isosurfaces","Wavelet transforms","Solid modeling","Data visualization","Geometry","Image coding","Filters","Hydrodynamics","Physics","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885720","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","15","389","Bicubic subdivision-surface wavelets for large-scale isosurface representation and visualization"
"We present a novel approach to surface reconstruction based on the Delaunay complex. First we give a simple and fast algorithm that picks locally a surface at each vertex. For that, we introduce the concept of /spl lambda/-intervals. It turns out that for smooth regions of the surface this method works very well and at difficult parts of the surface yields an output well-suited for postprocessing. As a postprocessing step we propose a topological clean up and a new technique based on linear programming in order to establish a topologically correct surface. These techniques should be useful also for many other reconstruction schemes.","https://ieeexplore.ieee.org/document/885718/","LOCKED","885718","Inst. for Theor. Comput. Sci., Eidgenossische Tech. Hochschule, Zurich, Switzerland","https://ieeexplore.ieee.org/author/38015316100","1","U. Adamy","38015316100","https://ieeexplore.ieee.org/author/37325999500","2","J. Giesen","37325999500","https://ieeexplore.ieee.org/author/38027270700","3","M. John","38027270700","","","","","","","","","","","","","","","","","","","","","11","0","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885718","380","Surface reconstruction","Image reconstruction","Surface cleaning","Linear programming","Piecewise linear techniques","Image sampling","Reconstruction algorithms","Computational geometry","Computer science","Topology","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885718","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","16","373","New techniques for topologically correct surface reconstruction"
"Specific rendering modes are developed for a combined visual/haptic interface to allow exploration and understanding of fluid dynamics data. The focus is on visualization of shock surfaces and vortex cores. Advantages provided by augmenting traditional graphical rendering modes with haptic rendering modes are discussed. Particular emphasis is placed on synergistic combinations of visual and haptic modes which enable rapid, exploratory interaction with the data. Implementation issues are also discussed.","https://ieeexplore.ieee.org/document/885686/","LOCKED","885686","Dept. of Aerosp. Eng. Sci., Colorado Univ., Boulder, CO, USA","https://ieeexplore.ieee.org/author/37270752800","1","D.A. Lawrence","37270752800","https://ieeexplore.ieee.org/author/37280408300","2","C.D. Lee","37280408300","https://ieeexplore.ieee.org/author/37270749300","3","L.Y. Pao","37270749300","https://ieeexplore.ieee.org/author/37270750300","4","R.Y. Novoselov","37270750300","","","","","","","","","","","","","","","","","20","2","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885686","137","Electric shock","Haptic interfaces","Rendering (computer graphics)","Displays","Data visualization","Computer interfaces","Fluid dynamics","Solids","Aerospace engineering","Data engineering","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885686","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","17","131","Shock and vortex visualization using a combined visual/haptic interface"
"The display of iso-surfaces in medical data sets is an important visualization technique used by radiologists for the diagnosis of volumetric density data sets. The demands put by radiologists on such a display technique are interactivity, multiple stacked transparent surfaces and cutting planes that allow an interactive clipping of the surfaces. This paper presents a Java based, platform independent implementation of a very fast surface rendering algorithm which combines the advantages of explicit surface representation, splatting, and shear-warp projection to fulfill all these requirements. The algorithm is implemented within the context of J-Vision, an application for viewing and diagnosing medical images which is currently in use at various hospitals.","https://ieeexplore.ieee.org/document/885726/","LOCKED","885726","Inst. of Comput. Graphics, Wien Univ. of Technol., Austria","https://ieeexplore.ieee.org/author/37282641800","1","L. Mroz","37282641800","https://ieeexplore.ieee.org/author/37267822600","2","R. Wegenkittl","37267822600","https://ieeexplore.ieee.org/author/37284271200","3","E. Groller","37284271200","","","","","","","","","","","","","","","","","","","","","2","1","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885726","440","Java","Hardware","Rendering (computer graphics)","Application software","Biomedical imaging","Medical diagnostic imaging","Computer graphics","Data visualization","Computer displays","Hospitals","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885726","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","18","437","Mastering interactive surface rendering for Java-based diagnostic applications"
"General relativistic ray tracing is presented as a tool for gravitational physics. It is shown how standard three-dimensional ray tracing can be extended to allow for general relativistic visualization. This visualization technique provides images as seen by an observer under the influence of a gravitational field and allows to probe space-time by null geodesics. Moreover, a technique is proposed for visualizing the caustic surfaces generated by a gravitational lens. The suitability of general relativistic ray tracing is demonstrated by means of two examples, namely the visualization of the rigidly rotating disk of dust and the warp drive metric.","https://ieeexplore.ieee.org/document/885728/","LOCKED","885728","Inst. for Astron. & Astrophys., Tubingen Univ., Germany","https://ieeexplore.ieee.org/author/37268045000","1","D. Weiskopf","37268045000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885728","448","Ray tracing","Visualization","Physics","Astrophysics","Astronomy","Lenses","Drives","Computer graphics","Computational geometry","Electrical capacitance tomography","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885728","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","19","445","Four-dimensional non-linear ray tracing as a visualization tool for gravitational physics"
"Virtual endoscopy presents the cross-sectional acquired 3D-data of a computer tomograph as an endoluminal view. The common approach for the visualization of a virtual endoscopy is surface rendering, yielding images close to a real endoscopy. If external structures are of interest, volume rendering techniques have to be used. These methods do not display the exact shape of the inner lumen very well. For certain applications, e.g. operation planning of a transbronchial biopsy, both the shape of the inner lumen as well as outer structures like blood vessels and the tumor have to be delineated. A method is described, that allows a quick and easy hybrid visualization using overlays of different visualization methods like different surfaces or volume renderings with different transfer functions in real time on a low-end PC. To achieve real time frame rates, image based rendering techniques have been used.","https://ieeexplore.ieee.org/document/885732/","LOCKED","885732","Tiani Medgraph GesmbH, Vienna, Austria","https://ieeexplore.ieee.org/author/37267822600","1","R. Wegenkittl","37267822600","https://ieeexplore.ieee.org/author/37282551500","2","A. Vilanova","37282551500","","3","B. Hegedust","","https://ieeexplore.ieee.org/author/38546611400","4","D. Wagner","38546611400","https://ieeexplore.ieee.org/author/38028756700","5","M.C. Freund","38028756700","https://ieeexplore.ieee.org/author/37284271200","6","E.M. Groller","37284271200","","","","","","","","","7","8","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885732","464","Rendering (computer graphics)","Endoscopes","Visualization","Shape","Computer displays","Biopsy","Blood vessels","Biomedical imaging","Neoplasms","Transfer functions","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885732","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","20","461","Mastering interactive virtual bronchioscopy on a low-end PC"
"The authors present a visualization system for interactive real time animation and visualization of simulation results from a parallel Particle-in-Cell code. The system was designed and implemented for the Onyx2 Infinite Reality hardware. A number of different visual objects, such as volume rendered particle density functionals were implemented. To provide sufficient frame rates for interactive visualization, the system was designed to provide performance close to the hardware specifications both in terms of the I/O and graphics subsystems. The presented case study applies the developed system to the evolution of an instability that gives rise to a plasma surfatron, a mechanism which rapidly can accelerate particles to very high velocities and thus be of great importance in the context of electron acceleration in astrophysical shocks, in the solar corona and in particle accelerators. The produced visualizations have allowed us to identify a previously unknown saturation mechanism for the surfatron and direct research efforts into new areas of interest.","https://ieeexplore.ieee.org/document/885734/","LOCKED","885734","Dept. of Sci. & Technol., Linkopings Univ., Sweden","https://ieeexplore.ieee.org/author/37284208400","1","P. Ljung","37284208400","https://ieeexplore.ieee.org/author/37325011700","2","M. Dieckmann","37325011700","https://ieeexplore.ieee.org/author/37064122400","3","N. Andersson","37064122400","https://ieeexplore.ieee.org/author/37284192000","4","A. Ynnerman","37284192000","","","","","","","","","","","","","","","","","5","0","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885734","472","Visualization","Hardware","Acceleration","Real time systems","Animation","Rendering (computer graphics)","Graphics","Plasma accelerators","Electrons","Electric shock","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885734","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","21","469","Interactive visualization of particle-in-cell simulations"
"Using inductive learning techniques to construct classification models from large, high-dimensional data sets is a useful way to make predictions in complex domains. However, these models can be difficult for users to understand. We have developed a set of visualization methods that help users to understand and analyze the behavior of learned models, including techniques for high-dimensional data space projection, display of probabilistic predictions, variable/class correlation, and instance mapping. We show the results of applying these techniques to models constructed from a benchmark data set of census data, and draw conclusions about the utility of these methods for model understanding.","https://ieeexplore.ieee.org/document/885740/","LOCKED","885740","Dept. of Comput. Sci. & Electr. Eng., Maryland Univ., Baltimore, MD, USA","https://ieeexplore.ieee.org/author/37282292000","1","P. Rheingans","37282292000","https://ieeexplore.ieee.org/author/37552291200","2","M. DesJardins","37552291200","","","","","","","","","","","","","","","","","","","","","","","","","14","3","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885740","496","Predictive models","Machine learning","Data visualization","Input variables","Machine learning algorithms","Diseases","Bayesian methods","Learning systems","Computer science","Artificial intelligence","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885740","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","22","493","Visualizing high-dimensional predictive model quality"
"We present a novel method to extract iso-surfaces from distance volumes. It generates high quality semi-regular multiresolution meshes of arbitrary topology. Our technique proceeds in two stages. First, a very coarse mesh with guaranteed topology is extracted. Subsequently an iterative multi-scale force-based solver refines the initial mesh into a semi-regular mesh with geometrically adaptive sampling rate and good aspect ratio triangles. The coarse mesh extraction is performed using a new approach we call surface wavefront propagation. A set of discrete iso-distance ribbons are rapidly built and connected while respecting the topology of the iso-surface implied by the data. Subsequent multi-scale refinement is driven by a simple force-based solver designed to combine good iso-surface fit and high quality sampling through reparameterization. In contrast to the Marching Cubes technique our output meshes adapt gracefully to the iso-surface geometry, have a natural multiresolution structure and good aspect ratio triangles, as demonstrated with a number of examples.","https://ieeexplore.ieee.org/document/885705/","LOCKED","885705","California Inst. of Technol., Pasadena, CA, USA","https://ieeexplore.ieee.org/author/38014682800","1","Z.J. Wood","38014682800","https://ieeexplore.ieee.org/author/37332366200","2","M. Desbrun","37332366200","https://ieeexplore.ieee.org/author/37282570000","3","P. Schroder","37282570000","https://ieeexplore.ieee.org/author/37349884100","4","D. Breen","37349884100","","","","","","","","","","","","","","","","","51","4","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885705","282","Data mining","Topology","Sampling methods","Surface fitting","Geometry","Data visualization","Surface waves","Level set","Noise reduction","Finite element methods","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885705","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","23","275","Semi-regular mesh extraction from volumes"
"Throughout the design cycle, visualization, whether a sketch scribbled on the back of a spare piece of paper or a fully detailed drawing, has been the mainstay of design: we need to see the product. One of the most important stages of the design cycle is the initial, or concept, stage and it is here that design variants occur in large numbers to be vetted quickly. At this initial stage the human element, the designer is crucial to the success of the product. We describe an interactive environment for concept design which recognises the needs of the designer, not only to see the product and make rapid modifications, but also to monitor the progress of their design towards some preferred solution. This leads to the notion of a design parameter space, typically high-dimensional, which must also be visualized in addition to the product itself. Using a module developed for IRIS Explorer design steering is presented as a navigation of this space in order to search for optimal designs, either manually or by local optimisation.","https://ieeexplore.ieee.org/document/885707/","LOCKED","885707","Dept. of Comput. Sci., Hull Univ., UK","https://ieeexplore.ieee.org/author/37609618400","1","H. Wright","37609618400","https://ieeexplore.ieee.org/author/37271754900","2","K. Brodlie","37271754900","https://ieeexplore.ieee.org/author/37739474000","3","T. David","37739474000","","","","","","","","","","","","","","","","","","","","","7","0","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885707","296","Navigation","Computational modeling","Data visualization","Design engineering","Computer simulation","Humans","Monitoring","Iris","Design optimization","Chromium","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885707","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","24","291","Navigating high-dimensional spaces to support design steering"
"The compression of geometric structures is a relatively new field of data compression. Since about 1995, several articles have dealt with the coding of meshes, using for most of them the following approach: the vertices of the mesh are coded in an order that partially contains the topology of the mesh. In the same time, some simple rules attempt to predict the position of each vertex from the positions of its neighbors that have been previously coded. We describe a compression algorithm whose principle is completely different: the coding order of the vertices is used to compress their coordinates, and then the topology of the mesh is reconstructed from the vertices. This algorithm achieves compression ratios that are slightly better than those of the currently available algorithms, and moreover, it allows progressive and interactive transmission of the meshes.","https://ieeexplore.ieee.org/document/885711/","LOCKED","885711","Inst. Nat. de Recherche en Inf. et Autom., Sophia Antipolis, France","https://ieeexplore.ieee.org/author/37390088800","1","O. Devillers","37390088800","https://ieeexplore.ieee.org/author/37314223500","2","P.-M. Gandoin","37314223500","","","","","","","","","","","","","","","","","","","","","","","","","54","8","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885711","326","Image coding","Topology","Strips","Data compression","Compression algorithms","Image reconstruction","Layout","Image generation","Geometry","Solid modeling","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885711","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","25","319","Geometric compression for interactive transmission"
"We present CEASAR, a centerline extraction algorithm that delivers smooth, accurate and robust results. Centerlines are needed for accurate measurements of length along winding tubular structures. Centerlines are also required in automatic virtual navigation through human organs, such as the colon or the aorta, as they are used to control movement and orientation of the virtual camera. We introduce a concise but general definition of a centerline, and provide an algorithm that finds the centerline accurately and rapidly. Our algorithm is provably correct for general geometries. Our solution is fully automatic, which frees the user from having to engage in data preprocessing. For a number of test datasets, we show the smooth and accurate centerlines computed by our CEASAR algorithm on a single 194 MHz MIPS R10000 CPU within five minutes.","https://ieeexplore.ieee.org/document/885675/","LOCKED","885675","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37300365400","1","I. Bitter","37300365400","https://ieeexplore.ieee.org/author/37732410200","2","M. Sato","37732410200","https://ieeexplore.ieee.org/author/37265216900","3","M. Bender","37265216900","https://ieeexplore.ieee.org/author/37882660300","4","K.T. McDonnell","37882660300","https://ieeexplore.ieee.org/author/37268052800","5","A. Kaufman","37268052800","https://ieeexplore.ieee.org/author/37362958300","6","Ming Wan","37362958300","","","","","","","","","14","2","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885675","52","Robustness","Length measurement","Navigation","Humans","Colon","Automatic control","Cameras","Geometry","Data preprocessing","Testing","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885675","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","26","45","CEASAR: a smooth, accurate and robust centerline extraction algorithm"
"We present a novel architecture which allows rendering of a large-shared dataset at interactive rates on an inexpensive workstation. The idea is based on view-dependent rendering on a client-server network. The server stores the large dataset and manages the selection of the various levels of detail while the inexpensive clients receive a stream of update operations that generate the appropriate level of detail in an incremental fashion. These update operations are based on changes in the clients' view-parameters. Our approach dramatically reduces the amount of memory needed by each client and the entire computing system since the dataset is stored only once on the server's local memory. In addition, it decreases the load on the network as results of the incremental update contributed by view-dependent rendering.","https://ieeexplore.ieee.org/document/885713/","LOCKED","885713","Dept. of Comput. Sci., Ben-Gurion Univ. of the Negev, Beer-Sheva, Israel","","1","J. El-Sana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885713","342","Rendering (computer graphics)","Workstations","Visualization","Network servers","Graphics","Hardware","Computer science","Computer architecture","Computational modeling","Virtual environment","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885713","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","27","335","Multi-user view-dependent rendering"
