"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"A method is presented for juxtaposing 4D space-time vector fields, of which one contains a source variable and the other the response field. Thresholding, ellipsoid fitting, and vortex line generation are used to reduce the amount of information and help analyze the relationship between two 3D vector variables evolving in time. The technique helps to highlight the topological relationship between the two in an effort to understand the causal connection. These concepts are applied to on-going research in evolving fluid dynamics problems.<>","https://ieeexplore.ieee.org/document/175770/","LOCKED","175770","Rutgers Univ., Piscataway, NJ, USA","https://ieeexplore.ieee.org/author/37274132700","1","D. Silver","37274132700","Rutgers Univ., Piscataway, NJ, USA","https://ieeexplore.ieee.org/author/38225199300","2","M. Gao","38225199300","Rutgers Univ., Piscataway, NJ, USA","https://ieeexplore.ieee.org/author/37333395400","3","N. Zabusky","37333395400","","","","","","","","","","","","","","","","","","","","","5","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175770","16","Data visualization","Large-scale systems","Numerical simulation","Fluid flow","Time factors","Navier-Stokes equations","Silver","Marine vehicles","Computational modeling","Computer graphics","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175770","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","11","12","Visualizing causal effects in 4D space-time vector fields"
"The use of ray casting in volume rendering and its uses and advantages over surface rendering algorithms are discussed. Various adaptive algorithms that attempt to overcome its problem of high computational cost by taking advantage of image coherency and the bandlimited nature of volume data are described. A method of subdividing the image plane with isosceles triangles, instead of quadrants as is usually done is proposed. It results in fewer rays being fired without sacrificing image quality. A brief theoretical analysis of the algorithm in comparison with other methods is given.<>","https://ieeexplore.ieee.org/document/175806/","LOCKED","175806","Inst. of Syst. Sci., Nat. Univ. of Singapore, Kent Ridge, Singapore","https://ieeexplore.ieee.org/author/37064514200","1","R. Shu","37064514200","Inst. of Syst. Sci., Nat. Univ. of Singapore, Kent Ridge, Singapore","https://ieeexplore.ieee.org/author/38225641700","2","A. Liu","38225641700","","","","","","","","","","","","","","","","","","","","","","","","","","6","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175806","238","Ray tracing","Casting","Rendering (computer graphics)","Data visualization","Partitioning algorithms","Data mining","Image quality","Algorithm design and analysis","Computational modeling","Image generation","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175806","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","12","232","A fast ray tracing casting algorithm using adaptive isotriangular subdivision"
"The problems and advantages of integrating scientific computations and visualization into one common program system are examined. An important point is the direct feedback of information from the visualization into an ongoing simulation. Some strong and weak points of the varying approaches in different software packages are shown. The visualization component of the authors' program system and the advantages of its integration into the overall system are explained. The weak points in their system and the work remaining to deal with them are described.<>","https://ieeexplore.ieee.org/document/175812/","LOCKED","175812","Stuttgart Univ. Comput. Center, Germany","https://ieeexplore.ieee.org/author/38227139100","1","U. Lang","38227139100","Stuttgart Univ. Comput. Center, Germany","https://ieeexplore.ieee.org/author/38227658000","2","R. Lang","38227658000","Stuttgart Univ. Comput. Center, Germany","https://ieeexplore.ieee.org/author/37086990245","3","R. Ruhle","37086990245","","","","","","","","","","","","","","","","","","","","","6","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175812","274","Software systems","Feedback","Data visualization","Packaging","Command languages","Databases","Computational modeling","Software packages","Computer simulation","High performance computing","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175812","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","13","268","Integration of visualization and scientific calculation in a software system"
"A method for computing isovalue or contour surfaces of a trivariate function is discussed. The input data are values of the trivariate function, F/sub ijk/, at the cuberille grid points (x/sub i/, y/sub j/, z/sub k/), and the output of a collection of triangles representing the surface consisting of all points where F(x,y,z) is a constant value. The method is a modification that is intended to correct a problem with a previous method.<>","https://ieeexplore.ieee.org/document/175782/","LOCKED","175782","Dept. of Comput. Sci., Arizona State Univ., Tempe, AZ, USA","https://ieeexplore.ieee.org/author/37283754100","1","G.M. Nielson","37283754100","Dept. of Comput. Sci., Arizona State Univ., Tempe, AZ, USA","https://ieeexplore.ieee.org/author/37282068700","2","B. Hamann","37282068700","","","","","","","","","","","","","","","","","","","","","","","","","","181","3","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175782","91","Isosurfaces","Computer science","Interpolation","Assembly","","","","","","","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175782","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","14","83","The asymptotic decider: resolving the ambiguity in marching cubes"
"Software tools are traditionally connected using human-readable files, an approach that buys flexibility and understandability at some cost in performance relative to binary file formats. The possibility of using shared-memory functions to retain most of the existing style while leapfrogging the speed of reading binary files, at least in some environments and for some applications, is explored. Results of a benchmarking experiment confirm the benefits of this alternative.<>","https://ieeexplore.ieee.org/document/175816/","LOCKED","175816","AT&T Bell Lab., Murray Hill, NJ, USA","https://ieeexplore.ieee.org/author/37345924200","1","E. Grosse","37345924200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175816","296","Software tools","Costs","Graphics","Scattering","Dictionaries","Differential equations","Software libraries","Pipelines","Software engineering","Parallel processing","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175816","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","15","292","How shall we connect our software tools?"
"The authors maintain that of particular importance for visualization excellence is an understanding of effective deictic facilities, especially new techniques made possible by computation. They explain what deixis is and why it is fundamental to visualization and they analyze some of the requirements for effective deixis in the context of emergent visualization technology.<>","https://ieeexplore.ieee.org/document/175820/","LOCKED","175820","","https://ieeexplore.ieee.org/author/38226914800","1","W.C. Hill","38226914800","","https://ieeexplore.ieee.org/author/37282894500","2","J.D. Hollan","37282894500","","","","","","","","","","","","","","","","","","","","","","","","","","8","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175820","320","Visualization","Computer graphics","Fingers","Turning","Motion pictures","Layout","Mice","Communication effectiveness","Labeling","","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175820","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","16","314","Deixis and the future of visualization excellence"
"A hyperbox is a two-dimensional depiction of an N-dimensional box (rectangular parallelepiped). The authors define the visual syntax of hyperboxes, state some properties, and sketch two applications. Hyperboxes can be evocative visual names for tensors or multidimensional arrays in visual programming languages. They can also be used to simultaneously display all pairwise relationships in an N-dimensional dataset. This can be helpful in choosing a sequence of dimension-reducing transformations that preserve interesting properties of the dataset.<>","https://ieeexplore.ieee.org/document/175790/","LOCKED","175790","IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA","https://ieeexplore.ieee.org/author/37347480400","1","B. Alpern","37347480400","IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA","https://ieeexplore.ieee.org/author/37281754200","2","L. Carter","37281754200","","","","","","","","","","","","","","","","","","","","","","","","","","22","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175790","139","Data visualization","Multidimensional systems","Tensile stress","Displays","","","","","","","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175790","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","17","133","The hyperbox"
"Addresses the issue of the use of color, as compared to monochromatic displays, in visualization. The paper presents the advantages and disadvantages of color displays, and those of monochromic displays, identifies situations where color can improve the representation, those where it will degrade it, and suggest guidelines on how (and when) to use color.<>","https://ieeexplore.ieee.org/document/175824/","LOCKED","175824","Inst. for Visualization & Perception Res., Lowell Univ., MA, USA","https://ieeexplore.ieee.org/author/37282753300","1","H. Levkowitz","37282753300","","https://ieeexplore.ieee.org/author/38224353400","2","R.A. Holub","38224353400","","https://ieeexplore.ieee.org/author/37567312900","3","G.W. Meyer","37567312900","","https://ieeexplore.ieee.org/author/37388066800","4","P.K. Robertson","37388066800","","","","","","","","","","","","","","","","2","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175824","339","Graphics","Degradation","Displays","Computational Intelligence Society","Data visualization","Radiology","Cardiology","Hospitals","Laboratories","Australia","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175824","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","18","336","Color vs. black-and-white in visualization"
"The technique of placing directed line segments at grid points, known as hedgehogging, which has been used for visualizing 2D vector fields, is considered. A means of rapidly rendering a slice of a 3D field, suitable for a bilevel display, is provided. Shape and shadowing are used to disambiguate orientation. Liberal use of lookup tables makes the technique very fast.<>","https://ieeexplore.ieee.org/document/175792/","LOCKED","175792","Xerox Webster Res. Center, Webster, NY, USA","https://ieeexplore.ieee.org/author/37388907800","1","R.V. Klassen","37388907800","Xerox Webster Res. Center, Webster, NY, USA","https://ieeexplore.ieee.org/author/38227614600","2","S.J. Harrington","38227614600","","","","","","","","","","","","","","","","","","","","","","","","","","11","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175792","153","Visualization","Three dimensional displays","Sea surface","Rendering (computer graphics)","Shape","Shadow mapping","Table lookup","Laser modes","Printers","Magnetic field measurement","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175792","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","19","148","Shadowed hedgehogs: a technique for visualizing 2D slices of 3D vector fields"
"This paper looks at the role visualization and visual data analysis play in the technical community. It focuses on the premise that the wide variety of applications of visualization mandate a need for a variety of visualization software packages.<>","https://ieeexplore.ieee.org/document/175826/","LOCKED","175826","","","1","D. Prawel","","","","2","M. Brown","","","","3","C. Harris","","","","4","R. Kriz","","","","5","M. Vigil","","","","","","","","","","","","0","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175826","347","Data visualization","Data analysis","User interfaces","Application software","Workstations","Software tools","Power engineering and energy","Data engineering","Software packages","Satellites","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175826","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","20","345","How visualization applications drive tool selection: one product can't do it all"
"This paper looks at the issues involved in using a visualization software package to extend the scope of an existing suite of semiconductor modeling software. The visualization software and its hardware platform represent the state of the art in powerful interactive workstation visualization systems. A range of important issues to be considered when applying off-the-shelf visualization software to a real-world scientific problem is identified.<>","https://ieeexplore.ieee.org/document/175830/","LOCKED","175830","CSIRO, Canberra, ACT, Australia","https://ieeexplore.ieee.org/author/38224561200","1","D. Stevenson","38224561200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175830","363","Software tools","Software packages","Application software","Data visualization","Geometry","Power system modeling","Displays","Workstations","Computer industry","Data engineering","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175830","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","21","360","Visualisation tools for semiconductor modelling software"
